,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
32,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Мета:
Розвиток у сфері моушн та графічного дизайну.

Досвід роботи:

1. Веб-розробка:
   - Створення сайту для фітнес-тренера з функціями запису на тренування та придбання пакетів персональних тренувань.
   - Розробка сайту для сервісу бронювання елітних авто.

2. Дизайн та реклама:
   - Розробка рекламних креативів для веб-сайтів та соціальних мереж.
   - Створення моушн-реклами для бізнесу.

Навички:
- Веб-розробка
- Графічний дизайн
- Моушн-дизайн
- Розробка рекламних креативів

Освіта:
[Ваша освіта, якщо є]

Додаткова інформація:
[Інша релевантна інформація, якщо є]."
33,"- Три роки досвіду в IT на позиціях QA Manual та BA/PM в одному з найбільших маркетплейсів України Rozetka.ua.
- Участь у розвитку високонавантаженого сервісу (backend).
- Координація роботи команди з 10 осіб.
- Одночасне ведення від 2-х до 4-х проектів у межах одного напрямку.
- Пошук оптимальних рішень для удосконалення сервісу на стику потреб бізнесу та можливостей сервісу.
- Інтеграція з внутрішніми сервісами компанії.
- Створення та підтримка проектної документації.
- Спілкування з командою в процесі розробки та тестування.
- Проведення backlog grooming, planning, retro та demo.
- Робота з PO як PM для визначення пріоритетів задач.
- Цікавлять проекти, основна частина яких зосереджена на backend.
- Не цікавить: фінтех."
34,"Досвідчений менеджер проектів з понад 4-річним досвідом в управлінні проектами у сферах IT, екології, банківського обладнання, HR та медицини. Володію глибоким розумінням командної роботи, мотивації членів команди та управління очікуваннями клієнтів. Маю досвід співпраці з зарубіжними замовниками та управління командами чисельністю понад 15 осіб. Знання методологій Waterfall та Agile/Scrum."
35,"Project Manager  
Involve Software, Київ (FinTech, Cryptocurrency)  
01.2022 – 01.2023  

- Організація роботи трьох команд (Dev, Mob, Crypto: 40 осіб)  
- Впровадження та реалізація організаційних процедур на проекті  
- Планування завдань (спринти)  
- Координація та контроль ходу роботи (burndown)  
- Контроль ресурсів, дотримання часових рамок, умов, якості  
- Спілкування з PO та збір вимог щодо проектів  
- Проведення щоденних мітингів команд та ретроспектив  
- Аналітика та покращення робочих процесів у команді  
- Побудова RoadMap проектів  
- Написання технічних завдань  
- Ведення звітів ефективності команди  
- Ведення бюджету проекту  "
36,"Досягнення:

- Оптимізував процеси для запуску АТМ, що дозволило скоротити час запуску з 30 до 3 банківських днів. Включає логістику, охоронну систему, засоби шифрування передачі даних.

Навички:

- Scrum, Agile, Kanban
- Dynamics 365, Azure (Migrate in Azure MS), PowerBi
- CI/CD, E-commerce, SDLS
- Project management, Jira/Confluence, BPMN
- DWH, REST API, JSON
- CRM/ERP

Освіта:

- Project Management Pro - ITEA, 2022
- ""Project Management and Other Tools of Career Development"" - University of California, Irvine (Coursera), 2020

Інтереси:

- Gamedev, Blockchain/Crypto"
37,"Теоретична і практична база з управління проектами, яку постійно розширюю через книги, YouTube та Laba. Орієнтуюсь на вимоги клієнтів і цілі веб-сайту, планую бюджет, оцінюю терміни, координую команду.

- Взаємодіяю з клієнтами для вирішення їх бізнес-потреб та досягнення спільних цілей.
- Відповідаю за повний цикл управління проектами: ініціювання, планування, виконання, контроль та закриття.
- Створюю та управляю проектними планами, визначаючи цілі, завдання, терміни, бюджет та ресурси.
- Керую командою проекту, забезпечуючи ефективне співробітництво та звітність.
- Впроваджую стратегії зниження ризиків та вирішення конфліктів.
- Моніторю та оцінюю прогрес проекту, забезпечую дотримання графіків та якість виконання.

Шукаю можливості в продуктовій компанії, бажано в галузі медицини або нових технологій."
38,"Project Manager

Досвід роботи: 1 рік

Основні обов'язки:
- Комунікація з клієнтами: виконую роль саппорта, завжди в контакті з клієнтом, відповідаю на запитання, доповідаю про статус задач, готую та надсилаю естімейти, підтримую у важкі моменти.
- Комунікація з командою: формулюю та роз'яснюю задачі, отримані від клієнта, раджу щодо підходів до виконання, налагоджую внутрішню комунікацію.

Досвід:
- Управління проектами на платформі Wordpress.
- Координація розробки мобільних додатків.
- Веб-додатки з використанням Angular, Laravel, PHP, JavaScript.

Навички:
- Високі комунікаційні здібності.
- Підтримка команди та ефективний розподіл відповідальності.
- Орієнтація на користувацький досвід та практичний підхід.

Побажання:
- Працювати з мотивованою командою, яка зацікавлена у пошуку нових рішень.
- Уникати позицій, де потрібно орієнтувати розробників щодо написання коду."
39,"До обов'язків входила повна комунікація з клієнтами, ведення переговорів та контроль правок, виступав містком між клієнтом та реалізацією. Керував командою до 20 осіб, маю відмінні комунікативні навички, швидко вливаюся в колектив і вмію ефективно мотивувати досвідчених співробітників. Працював у сферах діджиталу, вебу та дизайну додатків. Брав участь у архітектурних проектах на посаді PM. IT команди складалися з фронтенд, бекенд розробників, QA, дизайнерів, іноді включали девопсів. Цікавлюся участю у великих проектах з можливістю кар'єрного зростання всередині компанії."
40,"Досвід роботи управління декількома проєктами/командами одночасно. Дотримання строків виконання проєктів. Стресостійкість. Маю досвід роботи HR - інтерв'ю (співбесіди кандидатів на посаду QA).

Менеджер IT проєктів
22.05.2019 р. - теперішній час:
- Супровід понад 10 проєктів з командами 3-7 осіб.
- Підготовка недільних та місячних звітів по проєктах.
- Контроль робочого часу команди.
- Оцінювання задач та контроль їх виконання.
- Ведення протоколів зустрічей та переговорів.
- Розв'язання організаційних питань.
- Встановлення пріоритетів і розподіл задач між членами команди.
- Взаємодія з різними підрозділами компанії.
- Проведення щоденних мітингів з командою.
- Формалізація та декомпозиція задач.
- Укладання договорів на розробку ПЗ.
- Підготовка актів виконаних робіт.
- Комунікація з замовником, збір та оформлення вимог до ПЗ.
- Створення та підтримка проектної документації (КП, устав проєкту).
- Проведення демонстрацій продукту та передача його замовнику.

QA Engineer
22.02.2019 р. - 22.05.2019 р.:
- Ручне тестування веб-ресурсів (публічні та адміністративні частини).
- Написання тест-кейсів та чек-листів.
- Написання тест-плану.
- Написання баг-репортів.
- Тестування API за допомогою Postman.
- Функціональне та нефункціональне тестування програми.
- Робота в баг-трекінговій системі Jira, Trello."
41,"Професійний спортсмен з розвиненими навичками наполегливості та завзятості. Наразі проходжу курси з IT Project Management, прагну здобути практичний досвід у цій галузі. Володію англійською мовою на середньому рівні, активно працюю над покращенням мовних навичок через додаткові курси. Маю можливість регулярно практикувати розмовну англійську."
42,"Робота в digital marketing останні 4 роки.

Навички:
- Ефективна комунікація з клієнтами та командою для внесення змін.
- Розподіл задач між співробітниками для оптимізації робочого процесу.
- Контроль стану проєкту на кожному етапі виконання.
- Забезпечення дотримання дедлайнів.
- Перевірка відповідності проєктів до встановлених бюджетів.
- Розрахунок бюджету для таргетованої та контекстної реклами.
- Управління сторінками Facebook та Instagram.
- Запуск таргетованої та контекстної реклами.
- Підготовка звітності.
- Участь у розробці маркетингової стратегії.
- Наповнення сайту товарами.
- Проведення фотозйомки."
43,"Стала project manager №1 з-поміж 470 кандидатів на платформі Freelancehunt, маю 100% позитивних відгуків від замовників та середню оцінку 10 з 10. Виступала на міжнародній IT конференції VIII International conference “Information Technology and Implementation” (IT&I-2021), на якій мою доповідь визнали однією з кращих.

Ключові компетенції:

- Організація роботи віддалених команд: ефективне планування, чітке формулювання завдань, контроль виконання.
- Управління проектами: від ідеї до реалізації, включаючи складання технічної документації, графіків, робочих планів, визначення контрольних точок та пріоритизацію беклогу.
- Комунікація: налагодження ефективної взаємодії з командою та замовниками, вирішення конфліктів.
- Продажі та маркетинг: up-sale, cross-sale, розробка та презентація маркетингових стратегій.
- Мультипроектність: ведення кількох проектів одночасно в умовах обмежених ресурсів.

Додаткові навички:

- Копірайтинг: створення текстів, що продають, статей, контенту для сайтів, блогів та соцмереж.
- Іноземні мови: англійська Upper intermediate, досвід написання контенту для англомовних сайтів.
- Пошук та інтеграція нових членів команди: від створення вакансій до впровадження у проект.
- Тестування: перевірка продуктів, складання баг репортів, контроль виправлень.
- Робота з CMS, конструкторами сайтів та CRM системами.

Відмінна риса: здатність пояснювати складні технічні процеси простою мовою та забезпечувати реалізацію побажань замовника в обумовлені терміни з належною якістю."
44,"- Управління командою: координація роботи дизайнерів, розробників, тестувальників, контент-менеджерів, команди PM.
- Ведення переговорів та ділового листування.
- Комунікація із замовником на всіх етапах розробки проекту.
- Написання технічної та проектної документації, погодження із замовником.
- Проведення досліджень та пошук референсів.
- Оцінка трудовитрат і термінів реалізації проектів.
- Розробка та затвердження прототипів сторінок із замовником.
- Постановка завдань дизайнерам та програмістам, контроль їх виконання (відповідність ТЗ та дотримання термінів).
- Управління кількома проектами одночасно.
- Підбір персоналу, проведення співбесід.
- Створення та розвиток відділів розробки.
- Визначення принципів роботи відділів розробки.
- Розробка CRM систем."
45,"Запуск та розвиток веб-проектів:
• Публічний сервіс (торги, заявки, блогосфера, чати),
• Корпоративний сервіс пуш-повідомлень (збір підписників, розсилка пуш-повідомлень, статистика),
• Корпоративна CRM під бізнес (продаж, логістика, маркетинг, звіти, продукти, телефонія).

Участь у продуктах:
• Публічний сервіс конструктора сайтів (аналог Wix),
• Маркетплейси.

Досвід роботи в ІТ (комерція, корпоративні проекти та сервіси) понад 10 років. Досвід менеджменту 6 років. Успішно запущені проекти. Виконання завдань від збору вимог, підготовки проектного плану, нарізки завдань, ведення документації до контролю успішності, формування та мотивації команди. Проекти на зв'язках: PHP (Laravel) + Vue.js та Node.js + Angular.js. Команда розробки від 2 до 12 розробників.

Віддаю перевагу проектам продуктового характеру. Отримую задоволення від правильно працюючого продукту. Шукаю позицію Project Manager / Product Manager, оскільки подобається не лише керувати проектами, а й занурюватися у бізнес-процеси, писати вимоги, тестувати та доводити справу до кінця."
46,"Project Team Lead  
Сер 2020 - по сьогодні (2 роки 8 міс)  

Обов'язки:  
• Розробка і супровід чат-ботів для оптимізації роботи чату.  
• Створення інтеграційних додатків для зв'язку CRM з чат-системою.  
• Керування проєктами: планування, організація, координація та контроль.  
• Комунікація із замовником і зацікавленими сторонами, надання звітів.  
• Аналіз роботи чат-системи та чат-ботів для оптимізації процесів.  
• Управління змінами у вимогах і планах проєктів.  
• Організація нарад, оглядів і демонстрацій продуктів.  
• Керування зворотним зв'язком та оцінювання продуктивності команди.  
• Пошук можливостей для розвитку команди.  
• Управління ризиками та вжиття заходів щодо їх зниження.  

Head of Credit Products (SME)  
Сер 2018 - Сер 2020 (2 роки 1 міс)  

Обов'язки:  
• Розробка та впровадження CRM для кредитування з використанням Kanban.  
• Створення нових кредитних продуктів, таких як Бізнес-розстрочка.  
• Трансформація процесу кредитування для малого та середнього бізнесу.  
• Управління командою розробки та команди продуктологів.  

Project Manager  
Чер 2017 - Сер 2018 (1 рік 3 міс)  

Обов'язки:  
• Розробка нових функцій для клієнтів (написання ТЗ, прототипи, тестування).  
• Налаштування автоматичних сервісних і маркетингових комунікацій.  
• Каскадні схеми комунікацій та експерименти з телемаркетингом.  
• Контроль роботи контакт-центру обслуговування клієнтів.  
• Автоматизація процесів списання комісії та генерація актів.  
• Контроль взаєморозрахунків з партнерами і клієнтами.  
• Продакшн навчальних відеороликів: сценарій, озвучування, монтаж.  

Навички:  
• Розробка бізнес-процесів  
• Запуск нових продуктів  
• Телемаркетинг  
• Комунікації з клієнтами  "
47,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль або інша професійна соціальна мережа]

Освіта:
Національний технічний університет України ""Київський політехнічний інститут імені Ігоря Сікорського""

Професійний досвід:

CRM Developer
- Розробка логіки для додатка для обліку даних.
- Робота з MongoDB.
- Використання JavaScript для розробки функціоналу.

Project Manager з розробки CRM системи
- Розробка проекту з продажу товарів.
- Керівництво розробкою CRM системи на базі Retool.

Навички:
- Швидке освоєння нових мов програмування.
- Досвід роботи з JavaScript.
- Знання MongoDB.
- Висока мотивація та комунікабельність.

Особисті якості:
- Постійний розвиток та самовдосконалення.
- Здатність працювати в команді, яка мотивує та з якою приємно співпрацювати.

Очікування:
- Конкурентна заробітна плата."
48,"Агент змін, який втілює місію та цілі компанії. Самостійно розробляю дизайн та верстаю невеликі сайти, з подальшим розміщенням на хостингу. Володію навичками керування дроном. Виконав вісім самостійних стрибків з парашутом.

Менеджер з продажів з фактичним виконанням обов'язків менеджера з управління проектами. Керую понад 20 проектами газифікації об'єктів різної складності на різних етапах: від заяви та обстеження до технічних умов, проектування, будівельно-монтажних робіт, приймання в експлуатацію та пуску газу в мережу замовника. Виконую обов'язки позаштатного бізнес-тренера, проводив тренінги для відділів сервісного обслуговування та з продажів."
49,"- Успішне завершення проектів, які вважалися провальними
- Швидке налагодження баз поставок та логістики в нових умовах
- Ефективна робота під критичними навантаженнями
- Швидке освоєння та впровадження нових технологій, підходів та методів
- Понад 5 років досвіду управління проектами (будівництво, дизайн, архітектура, ремонт)
- Практичні навички найму та управління командами на декількох одночасних проектах (6 проектів, понад 300 осіб, включаючи підрядників)
- Вміння працювати та мотивувати команду, дотримуючись жорсткого графіка та дедлайнів
- Навички вирішення проблем
- Бюджетування та оцінка проектів"
50,"Професійний досвід у сфері ремонту автомобілів, зокрема керівництво автосервісами. Успішно створював та керував командами, оптимізував робочі процеси та забезпечував прибутковість організацій. Прагну змінити напрямок кар'єри та здобути нову, перспективну професію."
51,"Професійні навички:
• Робота з великими масивами даних (АСОПД/КОМТЕХ-W)
• Адміністрування систем
• Робота з ІзОД
• Знання нормативної правової бази
• Впевнене володіння пакетом Office та інтернетом

Знання мов:
• Українська та російська – вільно
• Англійська – Intermediate

Курси:
• Наразі самостійно проходжу онлайн-курс з HTML/CSS на платформі htmlacademy.ru

Особисті якості:
• Комунікабельність, доброзичливість, прагнення до навчання
• Логічне мислення, правдивість, відповідальність
• Бажання бути корисною, професійний розвиток
• Адекватний менеджмент, складні завдання, стартап
• Офіційна заробітна плата"
52,"[Ім'я Прізвище]

Контактна інформація:
[Телефон]
[Електронна пошта]
[Адреса]

Мета:
Змінити сферу діяльності, розвивати навички, вести міжнародні переговори, отримувати досвід, стати Project Manager у продуктовій компанії та створити сильну команду.

Досвід роботи:

Торговий Дім Шевченко / Проект AlcomagFood
Керуючий партнер
- Запуск проекту з нуля
- Підбір персоналу
- Переговори з постачальниками
- Контроль якості, сервісу, технологій

Досягнення:
- Валовий обсяг продажів мережі ресторанів: 600,000 грн/міс
- Найдорожчий продаж нерухомості: 250,000$

Освіта:
IT Школа Hillel
Напрямок: Project Manager
(Зараз закінчую навчання)

Навички:
- Управління проектами
- Підбір та управління персоналом
- Ведення переговорів
- Контроль якості та сервісу

[Дата]."
53,"09.2018 – 10.2019 – Sceel.io GmbH  
Position: Junior Project Manager  

Responsibilities:  
•	Managed the development team effectively  
•	Coordinated and maintained project schedules  
•	Facilitated daily meetings and initiated retrospectives  
•	Clarified requirements and prioritized tasks and issues  
•	Assigned tasks/issues and tracked execution  
•	Communicated with stakeholders  
•	Maintained comprehensive project documentation  

Achievements:  
•	Ensured timely project delivery  
•	Acquired experience with new technologies  
•	Contributed to personal development and growth  
•	Collaborated in a supportive team environment  
•	Participated in the creation of a new product  "
54,"Розробила план стратегічного розвитку для організації, в яку прийшла волонтерити в 15 років. Залучила 6 млн євро на проєкти місцевого економічного розвитку. Організувала і провела понад 40 конференцій і бізнес-форумів для міської ради. Навчила близько 5000 людей проєктному менеджменту і фандрейзингу. Допомогла 34 ініціативним групам започаткувати свої проєкти у сфері соціального підприємництва. Розробила 11 навчальних програм неформальної освіти (фандрейзинг, право, соціальне підприємництво, проєктний менеджмент для ГО). Написала та захистила дисертацію.

Маю 13 років досвіду у громадському і публічному секторі, почавши волонтерити в 15 років. Понад 5 років працювала за методологією PRINCE2, впроваджуючи системний проєктний менеджмент в органах місцевого самоврядування.

Останні 3 роки працювала штатною та незалежною експерткою з фандрейзингу та стратегічного планування: допомагала громадським організаціям перетворювати їхні ідеї в програми і проєкти, шукала фінансування для реалізації цих проєктів і навчала проєктному менеджменту.

З липня минулого року працюю над бізнесовим проєктом, допомагаючи художниці перевести її бренд в онлайн. На цьому проєкті виконувала різноманітні завдання: перебудовувала операційну діяльність, створювала відділ онлайн-продажів і розробляла вебсайти для двох онлайн-крамниць. Дуже цікавий досвід.

Не цікавлять проєкти, пов'язані з фінансами, криптовалютою, нафтою. Захоплююсь проєктами, які підвищують якість життя людей на щоденній основі."
55,"Навички:
- Організація, впорядкування та ведення робочого процесу
- Ведення переговорів
- Робота з клієнтами та постачальниками
- Впевнений користувач ПК (MS Office, 1С)
- Робота з електронною звітністю
- Постійний розвиток (читання психологічної та економічної літератури, відвідування семінарів, бізнес-зустрічей)
- Швидке освоєння нових технологій
- Комунікабельність
- Пунктуальність
- Відповідальність

Досвід роботи:

1996-2000: Підприємець, торгівля автозапчастинами до іномарок.

2000-2002: Підприємець, гуртова торгівля дитячими іграшками.

2002-2016: Підприємець, співзасновник і співвласник ТМ Гойдалка (goydalka.com) - виготовлення дитячих іграшок та меблів з бука, меблів з дерево-стружкових плит та дитячих ігрових споруд з металу та дерева.

Обов’язки:
- Створення замкнутого виробничого циклу: розпилювання лісоматеріалів, сушильні камери, котельня, склад пиломатеріалів, механічна, складальна, меблева дільниця, цех по виготовленню металевих конструкцій, опорядження, пакування, склад готової продукції
- Планування та покращення технологічного процесу, внутрішньої логістики, підтримка технічного стану обладнання, забезпечення безперебійної роботи підприємства
- Робота з постачальниками комплектуючих, пошук нових, розробка меблевої фурнітури
- Співпраця по створенню та супроводу офіційного сайту
- Реєстрація та зміни торгової марки Гойдалка
- Участь у розробці артикулів, етикеток, каталогів, інструкцій, проведенні фотосесій нових виробів
- Нормування праці, аналіз собівартості продукції і загальної господарської діяльності
- Впровадження системи обліку робочого часу
- Організація роботи працівників охорони, котельні та інших служб
- Підбір кадрів для основного виробництва і допоміжних служб
- Підготовка документації та участь у тендерах по закупівлі меблів
- Участь в різноманітних виставках у Львові, Києві, Польщі та Німеччині"
56,"1. Бариста  
MyCOFFEE / травень 2018 - вересень 2018  
Навички спілкування з різними клієнтами.

2. Заступник голови студентського самоврядування  
ГО ""StudHeads"" / лютий 2020 - по теперішній час  
Обов'язки:  
- Ведення сторінки в соціальній мережі  
- Планування діяльності (генерація ідей, складання планів заходів, підготовка та розподіл обов'язків)  
- Організація команди

3. Курсова робота: ""З'ясування технічних можливостей готового веб-додатку для розповсюдження навчальної інформації"" / Лютий 2022 - дотепер  
Проект в процесі доопрацювання, веб-додаток на локальному сервері. Працюю над розміщенням сайту на хостингу та додаванням нових можливостей.

4. Курсова робота: ""Розробка 3D моделі"" / Жовтень 2021 - січень 2022  
Розробка 3D моделі безпілотника в SolidWorks.

Цікавлюсь розвитком у напрямку Project Manager, особливо в ІТ компанії. Об'єктивно підходжу до пошуку роботи, згодна на посаду помічника чи стажиста з можливістю розвитку. Пріоритет — вакансія в ІТ напрямку."
57,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Ефективно використовувати робочий час, реалізовувати цікаві проекти, постійно навчатися новому та мати можливість професійного зростання.

Досвід роботи:

1. Міністерство закордонних справ України
   Дипломат (листопад 2020 - липень 2021)
   - Аналіз міжнародних відносин
   - Планування розвитку подій
   - Переклад
   - Організація зустрічей та участь у переговорах
   - Участь у стратегічних сесіях з розробки політик

2. Львівська міська рада
   Провідний спеціаліст (листопад 2017 - листопад 2020)
   - Переклад
   - Підготовка аналітичних матеріалів
   - Організація зустрічей та поїздок
   - Участь у переговорах
   - Керування проєктами та стажерами

3. ГО «Молода дипломатія»
   Президент (травень 2016 - травень 2017)
   Віце-президент (травень 2015 - травень 2016)
   - Координація роботи ради
   - Реалізація проєктів та заходів
   - Розвиток студентів
   - Організація зустрічей
   - Відкриття нових підрозділів
   - Участь у міжнародній організації “International Week”

Освіта:
[Ваш навчальний заклад]
[Ступінь, спеціальність]
[Роки навчання]

Навички:
- Аналітичні здібності
- Організація та планування
- Переклад
- Управління проєктами
- Комунікація та переговори

Мови:
- Українська (рідна)
- [Інші мови, якими ви володієте]

Додаткова інформація:
[Будь-яка інша релевантна інформація, яку ви хочете додати]."
58,"Посада: Sales Manager  
Основні обов'язки:  
- Ведення клієнтів за розробленою воронкою продаж  
- Контроль над відвантаженнями товару і розрахунками з покупцями  
- Аналіз ринку, конкурентів, цільової аудиторії  
- Забезпечення документообігу при обслуговуванні клієнтів  
- Складання звітів та накладних  

Посада: Researcher-Analyst  
Основні обов'язки:  
- Пошук та обробка інформації  
- Складання аналізу даних  
- Впровадження нових технологій та започаткування нових проєктів на засадах компанії  
- Складання звітів  
- Презентація результатів дослідження  

Посада: Інженер-технолог  
Основні обов'язки:  
- Аналіз конструкторської документації, опрацювання креслень  
- Технологічний супровід процесів складання вузлів, агрегатів вертолітної техніки, написання технологічних карт  
- Підбір оснащення та інструменту  
- Складання паспортів деталей і виробів  

Навички роботи з програмами та застосунками:  
- Bitrix, 1C, ClickUp, Notion, Jira, Slack, Asana  
- Google (весь пакет аплікацій), Microsoft Office (весь пакет аплікацій)  
- Інженерні застосунки/програми: програмне забезпечення для автоматизованого проектування (CAD): Siemens NX, CATIA, Kompas 3D; Mathcad"
59,"Вища освіта:  
Національна академія статистики, обліку і аудиту (НАСОА) (2006-2012)  
Спеціаліст. Факультет «Облік і аудит»

Курси:  
QA Light “IT Project manager” 2022 р.

Досвід роботи:

1. ТОВ «Новотрейдінг» - Менеджер по логістиці  
   грудень 2020 – по теперішній час

2. ТОВ «Redfort» - Керівник складу  
   10.2018 – 07.2020
   - Прийом, облік, раціональне розміщення та збереження товару на складі
   - Облік в базі 1С
   - Моніторинг залишків та аналіз необхідної кількості товару на складі
   - Проведення інвентаризації
   - Управління командою до 10 осіб
   - Планування задач кожному члену команди на певний період

3. ТОВ «Європромоптторг» - Керівник виробництва  
   06.2016 – 09.2018
   - Управління командою на виробництві
   - Організація безперебійного виробництва товару
   - Ефективне виконання виробничих норм
   - Контроль якості товару відповідно до інструкції
   - Контроль технічного стану обладнання
   - Щоденний облік готового та проданого товару
   - Щомісячні звіти про роботу виробництва."
60,"2014-2015  
Sales Manager, Приватбанк  

Обов'язки:  
- Робота з клієнтами: виявлення потреб, обробка заперечень  
- Консультування та адаптація продуктів під індивідуальні обставини  
- Вирішення проблемних ситуацій  

Розвинув навички комунікації, управління запереченнями та створення довіри клієнтів до продуктів  

2015-2017  
Самозайнята особа (Бізнес-посередник із пошуку оптових зв'язків)  

Обов'язки:  
- Активний пошук торгових точок і аналіз конкурентів  
- Складання договорів і нагляд за реалізацією продукції  
- Ефективне вирішення проблемних ситуацій і стратегічне ціноутворення  
- Глибоке розуміння запитів клієнтів  

Успішно організовував пошук оптових постачальників і точок збуту продукції. Розвинув навички пошуку партнерів, аналізу ринку, управління контрактами та клієнтської взаємодії  

2020-2022  
Самозайнята особа (Бізнес-консультант)  

Обов'язки:  
- Організація і координація усіх аспектів проєкту  
- Реалізація концепції та дизайну  
- Робота з інвесторами  
- Управління бюджетами близько 50к$  
- Налаштування операційної діяльності команди  
- Вирішення конфліктних ситуацій  
- Автоматизація бізнес процесів закладів  

Успішно запускав офлайн проєкти в готельно-ресторанній сфері. Допоміг досягти високого рівня клієнтської задоволеності та збільшення прибутку  

Шукаю роботу для зростання як особистості та професіонала. Ціную видимі результати та командну роботу. Готовий вчитися, втілювати проєкти та розвиватися як фахівець в управлінні проєктами."
