Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
12486,"Results-driven professional with over 9 years of experience delivering IT and transformation projects across multiple domains, including retail, mining engineering, energy, and government auctions.

Key strengths include:
- Proven expertise in process modeling and analysis, requirements gathering, and stakeholder engagement
- Adept at conducting interviews, workshops, and documenting requirements using use cases and user stories
- Skilled in leadership and influencing, with a strong ability to engage professionally with stakeholders

Seeking a challenging role as a Business Analyst or Project Manager in an organization that offers innovative products or services providing tangible benefits to people, either through significant impact on a smaller scale or broad benefits to a large audience. Prefer companies that leverage cutting-edge technologies to drive revolutionary solutions and meaningful change."
12487,"Business Analyst/Project Manager
Highly motivated and experienced professional with a strong background in product development and management, seeking a challenging Business Analyst position in a progressive and friendly team.

Summary:
Results-driven Business Analyst and Project Manager with experience in managing the development of an online platform for analyzing satellite imagery focused on the international market. Proven track record of success in requirements elicitation, analysis, and management, with a strong understanding of product development and market research.

Experience:
Business Analyst/Project Manager
- Managed the development of an online platform for analyzing satellite imagery focused on the international market
- Conducted requirements elicitation, analysis, and detailed requirements design
- Created use cases, user stories, and acceptance criteria
- Managed requirements, SRS, backlog tracking, and story task description definition
- Analyzed the product, identifying weak and strong sides
- Conducted market research and competitor analysis
- Supported product documentation

Engineer and Head of Group, Spacecraft Design
- 8 years of experience in the development and promotion of promising projects
- Contributed to the development of spacecraft design projects

Skills:
- Requirements elicitation and analysis
- Use case and user story creation
- Requirements management and tracking
- Product analysis and market research
- Competitor analysis
- Product documentation support

Career Objective:
To obtain a Business Analyst position that offers opportunities for professional and personal growth in a dynamic and collaborative team."
12488,"Senior Business Analyst
Location: USA (TX)
Seeking: Remote position with USA or Canada client, with ability to travel as needed

Summary:
Results-driven Senior Business Analyst with 7+ years of experience in B2C software development and over 10 years in the IT industry, delivering high-impact solutions for websites and mobile applications.

Experience:
- Spearheaded the launch of a web application for IT Career planning, from concept to delivery, conducting stakeholder interviews to validate ideas and achieving significant cost savings of millions of dollars for a FinTech startup
- Streamlined internal processes for a B2C company, resulting in the creation of a new revenue stream through process optimization

Skills:
- Proficient in requirements gathering methodologies
- Experienced in B2C software development, with a focus on websites and mobile applications (iOS/Android)"
12489,"Results-driven Senior Business Consultant with 4 years of experience in optimizing business processes, financial analysis, and operational improvement.

Key areas of expertise include:
- Business Process Modeling utilizing EPC and BPMN notations, with proficiency in MS Visio and ARIS
- IT Strategy Development
- Data Analysis and Modeling as an advanced user of MS Excel, MS PowerQuery, and MS Power BI
- Management Reporting Development
- Organizational Structure and KPI Framework Review and Design
- Methodology and Operational Regulation Drafting
- Presentation Design with proficiency in MS PowerPoint
- Project Management
- Team Leadership"
12490,"Results-driven professional with expertise in internal quality control and process establishment, leveraging strong background in international company mergers to drive business growth.

Key Strengths:
- Proven track record in introducing internal standards for global companies, with a focus on process description, as-is and to-be business process analysis, and automation
- Skilled in implementing business requirements across departments, with expertise in automation and standardization of processes, including report generation
- Proficient in basic business process modeling using UML and BPMN, with familiarity with the software development lifecycle
- Adept at defining business needs, goals, and opportunities, and providing analysis and possible solutions

Professional Experience:
Leading the introduction of internal standards at Craft Brewery (Prague), with a focus on implementation and establishment of processes in a new international company

Education and Training:
- Completed course in Business Analyst (Hillel)
- Completed course in Project Management
- Completed course in Public Speaking

Note: Removed the ""Career Benefits"" section as it appears to be more relevant to a job posting rather than a personal resume."
12491,"Results-driven business analyst and project manager with 7+ years of experience, offering expertise in fintech, data manipulation, processing, reporting, QA, CRM/ERP, software development, and testing principles.

Proven track record of delivering high-impact projects, including CRM/ERP project implementation and sales app development.

Achievements include 5 awards, notably the successful Agile implementation for 3 teams in a Fortune 500 company.

Certified in SCRUM, with a solid understanding of Software Development Life Cycle (SDLC) processes and methodologies, including agile, Waterfall, LeSS, and interactive frameworks.

Proficient in utilizing tools such as Jira, Visio, Confluence, Aha, and Hygger.

Skilled in technology evaluation, assessment, and roadmap development, with a strong reputation for navigating challenging environments while driving career progress and development.

Fluent in English and Spanish, possessing excellent communication skills to facilitate collaboration and success in diverse settings."
12492,"July 2020 – Present
Business Analyst/Project Manager
WePlay Esports
Development

July 2020 – January 2021
Associate Product Manager
WePlay Esports
Development

April 2020 – June 2020
Business Analyst Team Lead
E-consulting
Development of CRM systems

July 2019 – June 2020
Business Analyst
E-consulting
Development of CRM systems
- Documentation (terms of reference, manual, test cases)
- BPMN
- UML
- User story
- ERD
- Testing of the developed functional
- Consultation of programmers during product development

September 2017 – June 2019
Advertising Manager
Megogo
OTT/VOD video service
- Setup and launch advertising campaigns
- Control advertising campaigns
- Forecasting volumes for future campaigns
- Analysis of advertising campaigns
- Preparation and submission of report

December 2016 – August 2017
Office Manager
Megogo
OTT/VOD video service

February 2016 – December 2016
SMM Manager
Social Media Marketing
Digital agency

2011-2016
Tutor of Mathematics and Physics"
12493,"Results-driven professional with expertise in business model development, business process analytics, and SRS documentation, offering proven experience in business development and marketing, people management, education, and content management.

Key Skills:
- SDLC (Agile/Scrum/Kanban) methodology
- Business process modeling (BPMN, UML)
- SRS documentation
- Proficient in Jira and Confluence
- Drafting functional, business, and system requirement specifications
- Strong problem-solving and analytical thinking abilities
- Excellent communication skills

Experience:
Business Development and Operations
- Developed business models and analyzed business processes
- Conducted business development and marketing initiatives
- Managed and educated teams
- Created and managed content

Technical Expertise
- Utilized SDLC methodologies, including Agile, Scrum, and Kanban
- Modeled business processes using BPMN and UML
- Created SRS documentation and drafted functional, business, and system requirement specifications
- Leveraged Jira and Confluence for project management and collaboration"
12494,"Results-driven IT professional with almost three years of experience, possessing excellent written and spoken English skills. Proven strong communication and analytical abilities, with a background in technical support, interacting with global clients.

Key accomplishments include contributing to the establishment of a new department and developing processes from inception, such as document creation and interdepartmental communication. Successfully analyzed existing processes, identifying areas for improvement.

Educational background includes completion of BA courses, providing a solid understanding of SDLC, requirements management, user stories/use cases creation, roadmaps, vision and scope documents, and risk management. Familiarity with BPMN and UML diagrams.

Thrives in a friendly, positive environment with open-minded individuals, with a focus on regular feedback based on achievements."
12495,"Domains: pharmacy and healthcare, e-commerce, marketing automation, FMCG, photography and video production, social networking, sports management

Business Analyst/Project Manager
Electronic Prescriptions Issuing and Receiving Mobile Application
Medical Information System (MIS) Web Service
- Elicited business requirements through interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, task and workflow analysis
- Conducted initial brainstorming and elicitation sessions with clients, integrators, government, doctors, and patients
- Researched market, competitors, and target audience, defined competitive advantages, designed system concept, user portrait, user flow diagram, and customer expectations for cost, volume, and time
- Analyzed technical documentation of the eHealth IT system and implemented requirements for designers and developers, prototyped mobile and web versions of the product
- Managed administrative tasks, including drafting contracts and issuing invoices
- Prepared work breakdown structure for future estimation, assessed risks, and developed work schedule

B2B Marketing Automation Website (beeway.com.ua), Photo Shooting and Video Production Website (recartframe.com)
- Gathered and analyzed requirements, communicated with customers, researched market, competitors, and target audience, defined competitive advantages, built user portrait, and developed system design concept and brand concept
- Wrote specification for WordPress site and prototyped mobile and web versions of the product
- Managed project planning, including drafting contracts, issuing invoices, developing project plans, timelines, and managing risks

Junior Business Analyst/Sales Manager
Medical Messenger Mobile/Web Application
- Researched market and competitors, analyzed target audience, defined hypothesis, tested, and wrote recommendations for promotional material and sites
- Developed and managed doctors' and patients' database, negotiated with potential customers on product and new modules, and developed concept for new services demand creation
- Created promotional content, including scripts, roadmap, promo videos, and led webinars, offline presentations, and presented at the All-Ukrainian specialized medical exhibition ""MedExpo 2020""
- Provided support to other departments, including design, development, quality control, marketing, and support, assisting with tasks and problems as needed"
12496,"Business Analyst & Technical Writer

Summary:
Results-driven business analyst with project management and technical writing background, offering expertise in pre-sale activities, requirements gathering, and documentation creation. Proven ability to work in diverse domains, including financial, healthcare, travel, services, and video streaming.

Experience:
Business Analyst & Technical Writer
- Performed pre-sale and research activities to identify project requirements
- Gathered and documented requirements in Software Requirements Specifications (SRS)
- Created comprehensive documentation for end-users, customers, and developers, including requirements specifications, acceptance test plans, product descriptions, vision and scope documents
- Conducted trainings, presentations, and product demos to effectively communicate project details
- Managed projects from scratch, including pre-sale activities, requirements elicitation, planning, prioritization, and supervision

Skills:
- Technical writing
- Project management
- Requirements gathering and documentation
- Communication and presentation
- Attention to detail and project dedication
- Experience in multiple domains: financial, healthcare, travel, services, video streaming

Achievements:
- Successfully created various types of documentation to bridge communication gaps between stakeholders
- Demonstrated ability to handle multiple projects simultaneously, ensuring timely completion and high-quality results"
12497,"Results-driven professional with experience in project management, business analysis, and data analysis, seeking a challenging role in a product company to leverage skills in software development.

Education and Certifications:
Software Processes and Agile Practices (Coursera)
Advanced English Course (Green Forest)
Agile Planning for Software Products (Coursera)
Client Needs and Software Requirements (Coursera)
Design Thinking for Innovation (Coursera)
Google Analytics for Beginners (Google Analytics Academy)
How to Start a Startup (Stanford University course, Prometheus)
Introduction to Software Product Management (Coursera)

Professional Experience:
Project Manager, US Product Company (Current)
- Managed project roadmaps and backlogs
- Coordinated reporting and stakeholder communication
- Planned and executed BA, development, and QA phases
- Facilitated daily stand-ups, groomings, demo sessions, and retrospectives
- Developed and implemented development processes
- Supported cross-functional teams, including developers, BAs, and QAs
- Managed estimations, releases, risks, and change requests
- Participated in performance reviews and onboarded new team members
- Reviewed BA documentation and conducted BA interviews
- Performed requirements elicitation, analysis, and documentation

Business Analyst, Online Travel Agency
- Conducted business case analysis and verified needs
- Elicited and analyzed business requirements from stakeholders
- Performed market competitor analysis and created user stories
- Designed and proposed solutions based on business needs and market trends
- Created wireframes and presented to customers and teams
- Managed requirements, traced dependencies, and conducted impact and gap analyses
- Coordinated plannings, groomings, estimation sessions, and demos
- Collaborated with UX, tech, UAT, and QA teams

Data Analyst, Media Agency
- Administered databases and created custom SQL queries
- Prepared reports and dashboards
- Analyzed data and worked with media software

Career Objective:
To secure an interesting project in a product company where I can apply my skills to develop great and useful software."
12498,"Results-driven business analyst with experience in IT project management, trade marketing, and commercial system analysis, delivering high-quality products within budget and time constraints.

Professional Experience:

Commercial System Analyst
- Supported systems for field forces across 3 markets, serving over 500 users
- Received Recognition of Excellence Award for outstanding performance

Project Manager, IT Outsource Company
- Led projects in various domains, including CRM, e-commerce, and mobile applications
- Managed a team of 5 developers and up to 5 projects simultaneously

Trade Marketing Manager, Distribution Company
- Responsible for the performance of 3 trademarks across Ukraine, covering minor retail and top chains

Business Analyst, E-commerce Product
- Implemented new functionality from idea to end customers, driving business growth and customer satisfaction

Education:
- Master Diploma in Management of International Business
- English Translation

IT-related Courses:
- Basic WEB Design, Design-School ""Projector""
- Basic WEB UI Development, Lviv IT School
- IT Business Fundamentals, Genesis IT School
- Marketing for Mobile Apps, Wikr Group
- Project Management Basics, Web Academy
- Business Analysis Fundamentals, Web Academy
- Product Management Internship, Tonti Laguna Mobile

Career Ambition:
Eager to develop perfect products for customers within a reasonable budget and time, ideally in a digital/product/web agency with a team of professionals providing innovative solutions."
12499,"Experienced and professional IT Project Manager and Business Analyst with over 6 years of experience delivering projects that drive company and client success. Proven ability in analytical thinking, strategic planning, and leadership, with a strong focus on building and maintaining effective relationships with business partners. Skilled in collaborating directly with clients to identify and address their needs, providing tailored technical solutions. Recognized for exceptional interpersonal skills, facilitating clear and effective communication among employees. Adept at analyzing business processes and procedures, designing and implementing targeted business solutions to drive improvement."
12500,"Attorney License
Certificate of successful completion of training at the IT-cluster academy in the specialty ""Project management"" and ""Business analysis""

Results-driven Junior Project Manager/Business Analyst with a strong foundation in the construction industry, complemented by a unique blend of analytical and legal skills. Proven ability to handle complex data sets and perform in-depth analysis, with a strong focus on stakeholder communication and collaboration.

6 years of experience as a Registrar in the construction field have refined attention to detail and developed expertise in managing large volumes of information, ensuring timely project completion and strict deadline control.

Key strengths include:
- In-depth understanding of the construction industry, encompassing regulatory requirements, processes, and best practices.
- Skilled in data analysis, leveraging analytical tools and techniques to extract insights and inform decision-making.
- Highly organized, with a talent for efficient project management, task prioritization, and proactive risk mitigation.
- Strong problem-solving skills, with a forward-thinking approach to anticipating and addressing challenges.

Eager to leverage skills and experience to contribute to innovative projects and expand professional expertise."
12501,"Head of Department KB ""Yuzhnoe""
Dnipro, 1995 - Present

Key Responsibilities:
- Economics project assessment and management
- Quality assurance management (ISO 9001)
- Certification
- Marketing research
- Business management
- HR management
- Project audit (NPV, IRR)

Notable Achievement:
Dozens of satellites have been launched into Earth orbit."
12502,"Results-driven professional with extensive experience in project management, risk management, and project planning, and a proven track record of publishing over 15 scientific articles on diverse topics, including Business Analysis, Project Management, Project Communication, and Team Management.

Highly skilled Business Analyst and Product Owner with a background in working with start-ups and expertise in e-commerce platforms, healthcare, and finance domains, driving project success through effective leverage of skills and knowledge. Excellent communication and management skills, with a strong ability to navigate complex projects and teams, enable me to deliver results in challenging environments.

With a strong foundation in project management and business analysis, I am a dedicated professional seeking opportunities to expand my professional horizons, tackle complex projects, and apply my exceptional communication skills and project management expertise to unique and challenging cases."
12503,"Business Analysis in IT Course Completion

Key Skills Acquired:

• Stakeholder analysis, including Stakeholder map and Stakeholder register formation
• Utilization of the Business Model Canvas tool
• Identification, presentation, and documentation of project requirements
• Competitor analysis
• Development of Minimum Viable Product (MVP) for projects
• Specification of Epics, User Stories, and Use Cases
• Creation of UML diagrams (sequence and ERD) and BPMN diagrams"
12504,"Auditor/Business Analyst
Roshen, 4 years

Key Responsibilities:
- Conducted on-site visits to retail outlets to ensure compliance and optimize operations
- Delivered presentations to customers, established goals, and facilitated meetings to drive business growth
- Collaborated with distributors to manage product assortment and optimize inventory
- Researched competitors and performed market analysis to inform business strategies
- Implemented and enforced policy controls, and supervised a small team to ensure operational efficiency
- Conducted premises research, audited existing sites, and ensured compliance with company standards
- Analyzed sales data, worked with vendors to identify areas for improvement, and implemented corrective actions
- Monitored product representation, ensured equipment availability, and maintained high standards of quality
- Developed and executed advertising strategies to attract new customers and expand business reach
- Identified and pursued new business opportunities to drive growth and expansion

Seeking a challenging project in the IT sphere that offers:
- Opportunities for professional development and skill enhancement
- A dynamic and growth-oriented work environment that fosters innovation
- A collaborative and supportive team with a strong work ethic
- Competitive compensation and benefits package
- The opportunity to work with modern technologies and contribute to cutting-edge projects"
12505,"LIMS Specialist
TerraLab IT, LTD, Khmelnytskyi, Ukraine
June 2014 – December 2021

Key Responsibilities:
- Project Implementation: Gathered and analyzed user requirements, contributed to designing LIMS implementation plans, configured and maintained database management systems, input reference laboratory data, managed LIMS configurations and settings, connected and set up laboratory equipment, designed reports using FastReport software, trained end-users, and developed user guides and manuals.
- Project Support and Maintenance: Maintained laboratory information management systems, performed software and database maintenance, conducted initial diagnostics of user technical issues, resolved user questions and issues, assisted the development team with software process improvement, designed printing forms and reports, and provided onsite client consulting.
- Project Integration and Maintenance: Developed integration solutions, implemented new and existing integration solutions, configured, customized, and developed new solutions, participated in technical integration planning and presales discussions, gathered requirements for new solutions, and troubleshot code and configuration issues in managed environments, effectively communicating with the team and stakeholders."
12506,"Owner and Maintainer of a Trading Platform (2015-Present)
- Developed platform concept and monetization strategy
- Focused on business growth and risks diversification
- Specified and implemented new feature requirements
- Grew user base to over 85,000

Banking Experience (2007-2013)
Credit Expert, Small and Medium Business Services Department
- Searched for new clients and consulted on loan ability
- Collected and analyzed documents for deals and assessed borrowers' financial state using the IPC method
- Participated in committees to evaluate borrowers' lending ability
- Compiled deal documents and agreements

Head of Small and Medium Enterprises Credit Risks Analysis Department
- Coordinated department work (6 subordinates)
- Analyzed document packages and borrowers' financial state (legal entities and entrepreneurs with up to 30 million UAH annual turnover)
- Made recommendations on lending operations, restructuring, and modification to minimize risks
- Submitted issues to the Head Office Credit Committee
- Improved and developed products, processes, and methods for retail and SME credit operations

Head of Corporate Business Credit Operations Administration Department
- Created and developed projects to centralize credit administration functionality
- Collected and aligned requirements, implemented processes, and developed logistics, budget, and responsibilities

Seeking a Junior BA/Project Manager Assistant position with a strong supervisor to apply previously acquired knowledge and skills in a new area, focusing on banking products and processes automation."
12507,"Highly Motivated IT Professional

Summary:
Results-driven and innovative IT professional with a strong foundation in technology resource management, excellent problem-solving skills, and a passion for staying current with the latest technological advancements.

Education:
Recent Graduate in IT

Technical Skills:
- Technology resource management
- Problem-solving
- Innovative thinking
- Quick learning
- IT strategy integration

Career Objective:
To obtain an opportunity in IT Management where I can apply my skills and knowledge to contribute to the organization's success."
12508,"Results-driven business analysis and project management professional with a strong background in coordinating diverse teams and stakeholders. Proven ability to effectively communicate with internal and external parties, including external suppliers, to build strong working relationships based on trust and collaboration.

Key strengths include:
- Proficiency in business analysis and project management principles, techniques, and tools
- Ability to execute projects with precision and excellence, delivering on time, within budget, and scope
- Strong commitment to maintaining high standards of quality

Previous experience includes:
- Collaborating with business stakeholders to reach a common understanding of solutions
- Collecting and defining business objectives, and translating them into detailed and understandable requirements and tasks
- Supporting functionality development through to production
- Managing the development of clinical outcome assessments for use in clinical trials, overseeing separate projects with distinct objectives, stakeholders, timelines, and budgets
- Fulfilling the role of Business Analyst, driving projects forward with expertise and dedication"
12509,"WORK EXPERIENCE

Administration and Implementation of CRM System
- Implemented CRM in foreign markets, setting up business processes, rules, and conducting system testing
- Tracked and reported bugs to contractors, ensuring timely resolution
- Created test cases for contractors to follow, enhancing system reliability
- Provided staff training and development, focusing on CRM system utilization
- Gathered requirements for CRM launch in foreign markets, tailoring solutions to specific needs
- Led technical support application, writing technical specifications for improvements and new functionality
- Conducted manual testing of systems, identifying and addressing potential issues
- Monitored system operations, including business processes, transactions, and transactional mailings
- Prototyped new features using MS Visio, visualizing and proposing system enhancements
- Managed uploads and adjustments of discounts, bonuses, and coupons within the system
- Revised and monitored product receipts in CRM, performing checks and hand checks for accuracy
- Uploaded and managed customer data in the database, ensuring data integrity
- Generated monthly and weekly reports in Excel, providing insights for business decisions
- Utilized Postman for API testing, evaluating system performance and compatibility
- Applied basic SQL knowledge for data management and analysis
- Tracked logs and resolved issues using JSON, maintaining system efficiency

CAREER OBJECTIVE
Seeking opportunities with challenging projects, allowing for skill acquisition and collaboration with a forward-thinking team under effective management."
12510,"IT Analyst, PrivatBank
- Contributed to web development projects

Business Analyst/Project Manager, ValueTek
- Managed projects in banking and mobile application domains

Project Manager/Business Analyst, Viseven
- Implemented event-driven architecture

Business Analyst, Implementation ISD
- Worked on healthcare and product projects

Skills
- Agile methodologies: Scrum, Kanban
- Diagramming and design tools: Draw.io, UML, Figma, Miro
- Project management and collaboration tools: Jira, Confluence, Hibob
- Database management: SQL
- Graphic design: Photoshop"
12511,"May 2020 - Present
OVR360
Projects: 
  App for real-estate photographers ""Schlep""
  Healthcare Digital Wallet
  App for handmade suits creators
Tasks: 
  Requirements collection
  Drawing up technical specifications

December 2019 - May 2020
JV “OptimaPharm LTD”
Projects: 
  Training of employees in jobs with high risk
  1C WMS
  Weekend standby for drivers
Softwares: 
  DA Directum
  1C
  Application “Logistics”
Processes: 
  Training organization
  Data integration
  Product management
  Data management
Tasks: 
  Requirements collection
  Drawing up technical specifications
  Drawing up test-cases
  Processes testing
  Drawing up user instructions

September 2019 - December 2019
Freelance, CIT Global Consulting
Project: Application Polycard
Softwares: 
  Polycard
  Poster
  BP automation tool
Processes: 
  Product management
  Data integration
Tasks: 
  Requirements collection
  Drawing up test-cases
  Processes testing

August 2019 - December 2019
Freelance
Project: SmartVillage
Software: BP automation tool
Processes: 
  Data integration
  Smart home management
Tasks: 
  Requirements collection
  Drawing up technical specifications
  Drawing up test-cases
  Processes testing

July 2019
Freelance
Project: Web-application for online store of children’s goods
Processes: E-commerce
Tasks: 
  Requirements collection

June 2019
Freelance
Project: Web-application for description manual therapy and work of master
Processes: E-commerce
Tasks: 
  Requirements collection
  Drawing up technical specifications

March 2018 - September 2018
Freelance
Project: Expert order management
Software: BP automation tool
Tasks: 
  Requirements collection
  Drawing up technical specifications
  Processes testing"
12512,"Local Coordinator, Kyiv branch of 15x4 science communication project (15x4.org)

Results-driven professional with two decades of experience in motorbikes, filmmaking, and IT, combining professional expertise with personal passion to achieve exceptional results. Possess strong soft skills acquired over many years, with a willingness to quickly adapt to modern IT business analysis and project management tools and methodologies.

Recent Experience:
Producer / Line Producer / Production Manager / Assistant Director (filmmaking) at Generator Productions / Kiev Design Works / Freelance (2003-2006, 2019-Present)
Regional Marketing and Customer Relations Agent at World's End Motorcycles (UK) in Ukraine, Russia, Belarus, Moldova, Kazakhstan, Kyrgyzstan, with involvement in IT operations and business development (2012-Present)
Regional Manager at Infopulse Ukraine (a TietoEVRY subsidiary), reporting to EVP Business Development, expanding company presence in Ukraine and the EU (2016-2019)
IT Specialist at Mindspeed Technologies UDC (now MACOM Technologies), managing IT assets, procurement, infrastructure projects, and supervision (2009-2014)

Earlier Experience:
Motorbike parts online dealership and trade sales (sole trader, 2007-2014)
Founder of Kiev Design Works (2003-2014)
Founder and Editor-in-Chief at Motomania magazine (ISSN 1993-8306, 2007-2008)
Freelance web developer (PHP/JS/MySQL/Apache stack, 2003-2006)
Project Manager in several small web design studios (2000-2003)

Education:
MSc Computer Sciences at National Technical University of Ukraine (applied math, system analysis, mathematical modelling, statistics, 1994-2000)

Compensation Expectations:
Full-time: $3000-4000
Part-time: negotiable, dependent on workload, with a preference for flexible hours and a ""21st-century workplace"" environment."
12513,"Project Management
Part of Project Management Office
- Analyzed project implementation to minimize delays and key result dismissals
- Reviewed project manager reports for accuracy and completeness
- Created quarterly and yearly project portfolio reports for NBU
- Configured and tested Jira and Confluence
- Developed and implemented project management courses for various participant groups using Jira and Confluence

Compliance Specialist
Part of AML team
- Ensured bank compliance with local and Group AML and Compliance legislation
- Updated and created internal banking documents and procedures
- Prepared and sent statistical forms to National Bank of Ukraine
- Initiated IT developments to simplify processes and replace manual work
- Collaborated with analysts on functional specifications and participated in user testing
- Contributed to Credit Agricole"
12514,"Results-driven professional with experience in blockchain, project management, and business analysis, proven to successfully launch products and manage multiple projects simultaneously, including the development of an NFT marketplace white label solution.

Key Experience:

Product Owner/Business Analyst
Blockchain startup (1 year)
- Conducted market research for similar products
- Brainstormed and systematized existing ideas
- Created documentation, backlogs, user stories, and Business Requirements Documents (BRD)

Project Manager/Business Analyst/Product Owner
Crypto-based outsource company (1.5 years)
- Led multiple crypto and blockchain-focused projects
- Developed business requirements, user stories, and primary backlogs
- Conducted client communication, sprint planning, and daily meetings
- Created General Management (GM) reports, pre-sales materials, and conducted small courses on blockchain

Project Manager
Blockchain-based travel industry startup (10 months)
- Managed sprint planning, weekly, monthly, and half-year plans, and Jira workflow
- Conducted release management, micro-management, Research and Development (R&D), and Proof of Concept (PoC)

Project Manager/Product Owner
Out-stream commercials service (10 months)
- Developed project management processes and participated in decision-making for new product launches
- Conducted release management, Quality Assurance (QA) leading, and delivery management

Project Manager/Head of QA
Silicon Valley-based blockchain trading platform and ICO launcher (15 months)
- Managed project management duties, release management, and QA leading
- Conducted client communication and ensured a smooth development flow

Skills:
- Blockchain ecosystem
- Project management
- Business analysis
- Product ownership
- Team leadership
- Client communication
- Release management
- QA leading

Personal Note:
- Prefer to work in the blockchain ecosystem
- Require a tech lead to work with as a pair
- Not a fan of Microsoft products"
12515,"Results-driven professional with a strong background in managing web projects, leading high-performing teams, and driving business growth globally. Proven track record of delivering successful projects, improving team productivity, and ensuring client satisfaction worldwide.

Key Experience:
- Business Analyst: Gathered and documented high-level business requirements, created Work Breakdown Structures (WBS) and Business Requirements Documents (BRD) to drive project success.
- Project Manager: Successfully managed project execution and control, identified and mitigated risks, and performed backlog grooming to ensure timely project delivery.
- Business Developer: Conducted pre-sale activities, negotiations, marketing research, and R&D to drive business growth and expansion.

Skills:
- Project Management: Expertise in web project management, project execution and control, estimating, and cost control to ensure project success.
- Leadership: Proven ability in people management, change management, risk management, and crisis management to lead high-performing teams.
- Business Operations: Experienced in WDLC, SDLC, and business development to drive business growth and improvement.
- Communication: Effective stakeholder communication to ensure client satisfaction and project success.

Career Highlights:
- Improved team productivity and velocity through effective leadership and management.
- Successfully managed multiple projects simultaneously, ensuring timely delivery and client satisfaction.
- Developed strong relationships with clients and stakeholders worldwide, driving business growth and expansion.
- Acquired valuable experience and skills, driving career growth and new opportunities in the industry."
12516,"Results-driven manager with 7 years of experience in a senior role at a leading Ukrainian retail company, delivering sales performance that exceeded initial targets.

Key strengths include:
- Advanced product management
- Identifying and capitalizing on growth opportunities
- Conducting market research
- Implementing new products
- Staff training and development
- Leveraging emerging technologies
- Creating and implementing technology roadmaps in collaboration with R&D teams

Education:
- Master's degree in Economics
- Bachelor's degree in Metrology and Measurement Technologies, National Technical University of Ukraine 'Kyiv Polytechnic Institute'

Proven track record of driving sales growth and implementing effective sales team management strategies, with a strong background in leveraging technology and innovation to drive business results. Available to discuss details and experiences during an interview."
12518,"Results-driven manager with 5 years of experience in developing innovative business ideas and leading high-impact projects. Entrepreneurial mindset with a passion for technology and a drive for intellectual curiosity. Proficient in applying knowledge and experience in project management, with a desire to expand skills in new techniques.

Key Skills:
Product Development
Project Management
Business Development
Product Marketing
Blockchain
Google Analytics
Microsoft Office
Jira
Azure
HTML5
CSS
Agile
Excel
PowerPoint"
12519,"Results-driven professional with experience in project management, business analysis, and team leadership.

Key Achievements:
- Successfully implemented a new information system, leading a multinational team and driving the adoption of new business processes.
- Implemented a CRM system, managing a multinational team and resulting in the adoption of new business processes.
- Implemented numerous satellite applications to the company's information system.

Professional Experience:
Business Analyst, Project Manager, Risk, and Compliance professional with experience since 2009. Proven track record of working effectively in multinational teams, collaborating with colleagues from diverse backgrounds, including Indian, French, and Spanish cultures.

Current Role:
Head of Sales Support (2016 - Present)

Career Aspirations:
Seeking a challenging role as a Business Analyst or Project Manager, focused on managing interesting projects and driving results-driven objectives, with a preference for the IT sector due to its rapid development and growth opportunities."
12520,"**Project Management Professional**

**Summary**
Results-driven project manager with 5+ years of experience in managing web and mobile (Android) development projects, leading teams of 7-10 people, and delivering e-commerce, B2B, corporate, and media projects with integrated account programs (1C, Капитал).

**Professional Experience**

* Successfully managed multiple projects simultaneously to ensure timely completion and alignment with company goals
* Conducted thorough business requirements analysis, created and managed project plans, and defined project schedules for effective project execution
* Proactively monitored progress, identified and resolved issues, and managed risk tracking processes to minimize delays
* Ensured project objectives aligned with company goals and maintained clear communication with project teams to foster collaboration and productivity
* Collaborated with cross-functional design and development teams to ensure project deliverables met expectations
* Managed resources, maintained budgets, and provided regular project status reports to stakeholders
* Fostered strong partnerships with customers, stakeholders, and sponsors to ensure satisfaction and long-term relationships

**Competencies**

* Detail-oriented with strong analytical and organizational skills, proven ability to manage complex projects
* 5+ years of experience in project management within the IT industry, with a strong understanding of industry best practices
* Excellent communication and collaboration skills, with a proven ability to thrive in fast-paced environments
* Customer-focused mindset with experience in business and IT strategy development
* Proficient in project management tools, including Jira, Teamwork, Trello, Photoshop, and MS Office

**Career Aspirations**
Seeking to join a dynamic team, such as DreamTeam, to develop innovative products, enhance skills, and acquire new knowledge and expertise."
