,resume
3162,"Senior Scrum master role up to 5 teams (35 FTE). Portfolio level management, risk management, release and delivery planning.
Agile coach in LessHuge setup for 1 product area (6 teams), organised the whole flow, coaching PO, teaching teams, facilitating all multi-teams events.
Project/Delivery manager with experience in full-cycle projects ERP (CRM, sales, logistic, finance) at Carlsberg Ukraine, implementation UPS logistic for 60 distributors, Support and consulting more than 3000 users, Participating in the project of automation of «Ukrtelekom» («Record-keeping», «Finances», «Management»). Development and testing web sites.
Project/Delivery manager, Senior Scrum master with experience in different domains - CRM, logistic, sales, finance, marketing desktop and web-platforms. Worked as PM with time and material and fix price approach and as SM with Agile projects. Have experience as a Senior Scrum master for 30+ team members (5 internal teams) and Agile coach in LessHuge for 1 product area (6 teams). Close cooperation with PO and stakeholders. Managing process, coaching the teams, administrative and technical support for projects. Portfolio level management, risk management, release planning. Writing technical specifications, improvements, complete software maintenance documentation, testing of new products and versions, general server managing administration, tendering, negotiations on business processes with both business customers and developers. Participating in big projects, configuration of the system, writing of output forms, additional component, accounting, alpha-testing, conducting trainings for users and making presentations for stakeholders. 
Working with SQL, HTML, CSS, JS, React, .Net, Core. Used GitHub. Jira tools, TFS. Professional English level.
The biggest motivation for me is creative, friendly environment and dynamic process. I’d like to participate in developing product, with high professionals. Share my experience and learn new from others, grow professionally. I am interested in working with different countries and directions. Have desire to improve processes, make it effective and resulted."
3186,"
- Successfully managed and coordinated up to 30 projects, showcasing exceptional multitasking skills and maintaining high standards of quality and efficiency.
- Orchestrated large-scale data operations projects, ensuring seamless collaboration between customers and data labeling teams.
- Assisted customers in developing and implementing production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy.
- Demonstrated a strong customer service orientation by tracking key metrics, promptly addressing customer concerns, and delivering superior results.
- Evaluated and optimized the performance of the data labeling workforce, providing guidance and support to maximize productivity and achieve outstanding outcomes.
- Conducted regular calls with customers and service providers, building and nurturing strong relationships to facilitate effective communication channels.
- Accurately calculated customer budgets and estimated costs for service providers, promoting financial transparency and cost-efficiency.
- Created comprehensive statements of work (SOW) and ensured ongoing alignment with stakeholders, establishing clear expectations for project deliverables.
- Proactively monitored industry trends and emerging technologies, leveraging insights to provide valuable recommendations for product enhancements and process optimizations.
- Effectively supervised and guided the Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement.
- Collaborated closely with service providers, cultivating strong partnerships and driving successful project delivery.
- Demonstrated exceptional leadership skills, fostering a collaborative and inclusive work environment, and encouraging cross-functional cooperation.
- Leveraged outstanding organizational and multitasking abilities to manage a substantial workload, meet deadlines, and achieve project milestones.
"
3225,"- More than 10 cases in different niches
- 6 cases from the scratch.
- My own process of working with reputation
1. AMAZON MARKETING MANAGER - (JAN. 2022 - PRESENT)
DIGIORANGE -  BROOKLYN, NY, USA

2.MARKETING PROJECT MANAGER - (SEP. 2021 - JAN. 2022)
TBI-PRO –  Chicago , IL , USA

3. MARKETPLACES PROJECT MANAGER - (DEC. 2018 – SEP. 2021) 
FDS-IT – , Staten Island , NY, USA

4. AMAZON MANAGER - (2015 - 2018) 
SHOPPING CART ELITE, Brooklyn, NY, USA
"
3315,"
Use cases and User stories writing;
 BPMN;
 Agile, Scrum;
 Planning Business Analysis activities and defining Business Needs;
 Defining Solution Scope;
 Conducting Stakeholder Analysis;
 Conducting Elicitation Activities;
 Collecting, analyzing and documenting the project’s business, functional and non-functional
requirements;
 Managing Solution Scope and Communicating Requirements;
 Conducting Solution Assessment and Validation;
 Knowledge transfering to stakeholders;
 Project Management
Excel, Visual Basic (VB)
Профессиональный рост. Сложные задачи. Дружелюбный коллектив."
3321,"
Organization: Kyivstar Private Joint Stock Company.
Possition: Commodity Market Research Analyst-Specialist.
•	Management of marketing research projects;
•	Negotiations and consultation with customers;
•	Communication with contractors;
•	Document management;
•	Researches & Budget planning;
•	DB management, forming queries by parameters;
•	Studying the Telecom market and providing relevant primary and secondary marketing information.

Organization: Silpo-Food LLC (Fozzy Group).
Possition: Research Manager.
Management of marketing research projects (Qualitative&Quantitative Studies):
•	Negotiations and consultation with customers on research design;
•	Ad-hoc and longitudinal studies;
•	Questionnaire programming; 
•	Data processing and analysis;
•	Preparation of reporting materials;
•	Presentation of research results;
•	Controlling work of field supervisors and operators;
•	Obtaining relevant primary and secondary marketing information.
I am motivated in further development as an Analyst, I would like to get more specified skills in data processing using different instruments (SQL, Tableau, etc.) I am also interested in work as a Analyst for buisness needs by providing survey to test working hypotethises.
"
3332,"Іmplemented software solution (Customer relationship management system and desktop application)
• Market analysis
• Stakeholder communication
• Determining the direction of development
• Setting goals and deadlines
• Prototyping of system
• User Acceptance Testing
• Implementing of system
• Tools: MS Project, Trello, Atlassian, Office 365, Pencil and Paper
"
5877,"Architecture / Databases
- Designed and implemented data storage up to 50 Terabyte using Hadoop
- Serverless architecture with near to zero cost of idle.
- Infrastructure as a code on the k8s and delivery process with minimal DevOps involvement.

Product/Project Management:
- Initiated Messenger project on all popular mobile platforms which full-feature product ready(Apple Store, Google Play publish) in 6 months from scratch.
- Formally recognized for playing an instrumental role in the implementation of cost savings measures in SDLC process.
Human Resources:
- Hire 50+ developers in 4 months with less than 5% turnover.
Latest Projects
NDA , 2019
 - Role - Architect/DevOps - Infrastructure as a code on AWS, Terraform, Kubernetes, Helm, CI/CD.
Ternary Intelligence - http://ternaryintelligence.com, 2018
 - Role - Architect/Project manager - Serverless AWS cloud architecture in the fintech scope.
One space - https://spywords.ru , 2018
 - Role - Architect/Data science - Hadoop infrastructure, web scraping, data engineering.
Defcom - https://defcom.com , 2016 
 - Role - Project manager/Architect. Mobile development. Secure messaging.
Interested in working on live projects."
5981,"As a product manager was responsible for creating an app for the HeyJoy Toy Store, a US based retail-tech startup. Delivered first mvp, proved value hypothesis. 

At Snap was responsible for big AR Projects. Clients: Disney, Nike, Microsoft, Universal, Verizon. 

Lead of internal AR innovations at Sponsored AR department.
Project Manager at Snap. Managing complex and challenging AR projects development at Sponsored Lenses department. Balancing between client's expectations and team capabilities. Evaluating possible risks and accommodating the development strategy accordingly, improving processes between cross-functional teams. 

Experienced with creating new products, from idea to the mvp and launch. Skilled at negotiations with the clients and production teams.
"
6043,"I have 5 years of team management experience and experience in project documentation creation;
I have successfully finished 2 IT project manager courses from Beetroot and SoftServe academies;
I worked as a 3D artist;
I can define and implement team values and communication rules;
I can solve conflicts in an ecological way and can manage specialists whose field of expertise I understand superficially;
I know how to balance between interests of stakeholders;
I have knowledge and understanding of project management processes including risk, scope, schedule, resource, quality management, etc;
I know Agile principles and understand how to work by Scrum and Kanban.
Project Manager at SoftServe
October 2021 - present

Service manager at Veteran Hub Dnipro
September 2020 - October 2020
Managing a team of 6 members. Personnel hiring and onboarding. Setting up work and reporting processes. Managing a specialists` team of different professionals areas (psychological, legal, career directions). Monitoring the compliance with the organization's standards in the operational activities of the team. Conflict management. 

Junior 3D artist, freelance (remote)
December 2019 - September 2020
Low and high-poly modeling, UV unwrapping, texturing, baking, level design.

Hotel manager,  Mykulychyn
November 2018 - November 2019
Being responsible for hotel revenue and client satisfaction. Management of hotel operations, reservations and hotel pages on booking services. Сommunication with guests, receiving payments, personnel management and control over the implementation of tasks. Decision-making about the hotel and territory. Booking.com rate mark increased to 9.0 from 8.7 as a result of work.

Artillery battery control platoon commander, 4th Rapid Reaction Brigade of the National Guard of Ukraine, Gostomel
November 2016 - November 2018
Leading a team of 10 members. Managing people of different ages and levels of motivation, creating and maintaining team spirit in the team. Perform accurate mathematical calculations and geometric drawings in the shortest possible time. Responsibility for maintaining and complying with the conditions storage of high-precision devices of high cost (to 20,000 euros per unit). Analysis of logistics routes, qualitative and quantitative characteristics of the observation objects based on data obtained from various sources.

Hotel manager, remote
April 2015 - November 2016
"
6078,"- Working with major GameDev companies from all over the world
 - Working on several famous titles in GameDev industry
•	estimation of a new scope of work on the basis of provided references and briefs
•	e-mail correspondence and calls with partners
•	managing a project/batch during its full life-cycle (starting with kick-off call with partner and ending with an internal retrospective)
•	creation and allocation of tasks to the team of artists
•	daily meetings with project teams
•	cooperation with Legal and Finance Departments: tacking of existence of all needed legal documents and agreements, issuing invoices, payments tracking
•	calculation of plan project efficiency before the actual start date or internal kick-off, resources re-allocation, dealing with risks 
•	maintaining a project’s efficiency on the same level as it was initially planned
•	dealing with change requests: gathering information, preparation of arguments and proofs, setting up meetings with heads of different departments (if needed)
•	project/batch closure, checking of team’s tracking in Jira, retrospective, issuing of final invoice
- GameDev only
 - Product company only
 - Healthy environment inside the team and in the office in general"
6081,"ACHIEVEMENTS:

- Built a team of 7 people, debugging processes almost from scratch
 - Created a convenient and understandable system for assessing employees of the Art Department
 - Brought employees on the verge of quitting to a new level (using performance reviews)
 - Created a number of documents that all new managers use (own workflow, team framework, department structure, performance review, screenshot guide and many others)

- Creation of illustrations and design for ECO-school in Moscow
- Creation of illustrations for a museum about space in Moscow time
- Illustrations for the restaurant Gorynych
- Illustrations for ISBC

- Suggestions for improving the operation of services that simplified processes within the company
- Drawing up work instructions and regulations for the key account department, thanks to which the training of new employees has become faster and easier
- Resolving controversial and complex situations in favor of clients, without losing further interaction with them
- Fulfillment and overfulfillment of sales plans

- The first one organized a new format of the event in the company - an ecological quest. Increased the amount of a deal with a regular client more than twice as compared to the previous events of the client.
- Accompanying clients on all points, holding the event at a high level, was repeatedly noted by the management for active assistance in organizing events and high-quality performance of their duties.
My expirience:

Art Team manager 2021-until now
- Management of team work (documents, calls, evaluation system, reporting, etc.) - 7 artists
  - Analysis, building processes within the team and its development
  - Documentation of processes
  - Specification of tasks for the team
  - Generation of ideas, formation of technical specifications
  - Monitoring the implementation of tasks by the team, evaluation of results, feedback
  - Quality control of team work
  - Monitoring the motivation and performance of employees
  - Close cooperation with Art Lead on the issues of competent formation of tasks, requirements and deadlines
  - Reporting
  - Building a benchmark / market research
  - Occasional assistance in the preparation of company documents and etc

Illustrator Designer 2018-2021
- Create personal stickers for telegram
- Creation of icons and illustrations for social networks, prints for clothes
- Illustrations for magazines
- Creation of posters (movies, events, etc.)
- Illustrations for presentations
- Development of logos, stickers
- Design of advertising materials for social networks
- Creation of vector characters for animation

Internal and External Communications Manager 2016-2018
- Drawing up instructions, regulations, motivational models for company employees
- Working closely with related departments to achieve better results
- Working with partners
- Negotiating and signing contracts, monitoring compliance with contractual agreements, changing the terms of the contract
- Full management of trading floors - Wildberries and Ozone
- Organization of shipments to Wildberries
- Work in 1C, Bitrix, on the Wildberry platform, Diadoc

Event manager 2015-2016
- Close work with related project departments
- Participation in the preparation and conduct of the event
- Control over the delivery of the project at all stages
- Maintaining constant contact with existing clients, organizing work with them according to established business schemes
- Working with presentations, drawing up proposals, miscalculating estimates
- Keeping a client from the first call to the end of the event
"
6082,"
- task & project management of 2d/3d art (planning workload, creating/giving assignments, process coordination, quality and priority control, communication with clients, retrospectives)
- basic experience with Scrum and Kanban in GameDev
- people management (mentoring and onboarding new artists and PMs, 1:1 meetings with artists, performance and skills review, conflict resolution)
- managed teams of up to 30 people
- creating info-bases and systematization of knowledge and experience (art and inner work guides)
- analyzing and optimization of processes
- art directing (quality and style control)
- GameDev domein is in prority
- Prefer product companies OR long-term projects
- I'm a fast learner and looking for professional growth
- Interested to get more experience with 3D, VFX, VR, video or game production"
6090,"I obtained bachelor degree in economics of enterprise in Kharkov National University of Economic. 
At the moment, I am continuing to do   Master’s degree in project management. 
2017 Courses Project Manager (Source IT)
2016 English courses (Green Forest)
2015 English courses (Language Center )
I have the skills to work in a team, quickly learn. Skills of reference for the project on Agile (SCRUM / KanBan) and Waterfall (at the level of theory and practice from the university and courses that were fixed by writing documents - proposal, terms of reference and those plan, risks, WBS)
As for my work experience, during the studing, I worked in the company that sells electrical goods as an assistant manager. 
I was responsible for attracting new clients, receiving and processing orders, invoicing customers for payment, keeping record, and dealing with the goods.
I'm interested in the vacancy of the project manager's assistant, because working in a team is the most exciting sphere of activity. I want to work in a team, to learn new and develop, to apply to acquire knowledge and skills. I want to grow, create a value and realize myself as a specialist in this area."
6127,"Big experience in ASO, ASA, Incentive Traffic
Seasoned Mobile Product Manager with 2 years of experience in leading successful mobile product initiatives and optimizing app store performance.
Expertise in ASO, including keyword research, metadata optimization, A/B testing, and conversion rate optimization, resulting in increased organic downloads and improved app store rankings.
Proven ability to develop and execute comprehensive ASO strategies that align with business goals, user needs, and market trends.
Strong understanding of mobile app analytics and data-driven decision-making to identify trends, uncover insights, and optimize app performance.
Excellent collaboration and communication skills, with a track record of working effectively with cross-functional teams, including designers, developers, marketers, and data analysts
Proficient in agile methodologies and project management tools to ensure efficient product development cycles and timely releases.
"
6211,"Relevant education:

Master of Economy and Management
2020

Bachelor of Management
2017

Project Management Specialization
University of Colorado Boulder 
2023
Including courses:
•	Project Management: Foundations and Initiation 
•	Project Planning and Execution
•	Agile Project Management

Scrum Master Certification
Learn Quest 
2023
Including courses:
•	Introduction to Scrum Master Training
•	Scrum Master Certification: Scrum Methodologies
•	Scrum Master Certification: Scaling Agile and the Team-of-Teams
•	Combining Scrum with Other Agile Methodologies


Information Systems Specialization
University of Minnesota, Carlson School of Management
2023
Including courses:
•	Enterprise Systems
•	IT Infrastructure and Emerging Trends
•	Analysis for Business Systems

Certificate in Marketing and Communications
International Business Management Institute of Berlin, Germany
2021

Certificate in Leadership and Team Development
International Business Management Institute of Berlin, Germany
2020
Work experience:

Current role: Assistant IT Project Manager

- Experienced professional driving business process optimization and automation by identifying solutions for enhanced efficiency;
- Skilled in analyzing and translating business requirements into effective IT mechanisms
- Specializing in end-to-end implementation of new solutions within a proprietary ERP system;
- Collaborates closely with relevant departments to understand project requirements and priorities within the agile framework;
- Collaborates closely with developers to ensure smooth implementation among users;
- Defines user stories based on customer requirements and prioritizes them for the development team; 
- Seeking opportunities to streamline operations and maximize productivity.


2+ years experience as a Data Analyst

- Managed extensive macroeconomic and financial datasets for multiple countries, both public and private sectors, ensuring accuracy and quality within tight timelines;
- Communicated effectively with sources to maintain data integrity, identify patterns, and address client queries;
- Coordinated external and internal client interactions using the CRM system, overseeing requests, and executing quality improvement projects;
- Utilized in-house project management system to troubleshoot and resolve issue tickets, delivering effective client solutions;
- Proactively identified process enhancement opportunities through regular quality and technology projects;
- Collaborated with IT teams to ensure seamless availability and accessibility of essential data sources.
"
6213,"I am managing my pet project of an Online Shop for developmental children’s toys, with a team 
of four people: a Power Query Developer, a Designer, a Sales Manager, and a Supply Manager. My responsibilities, in particular, include organization and coordination of the team's work, time & task management in Notion, execution and roadmap control, drafting and maintenance of project documentation and instructions, and solving legal issues.
Project Management Intern, We Challenge & UNIT.City
Kyiv, Ukraine (February 2023 - March 2023)

Project type: IT events organization
Responsibilities:
– Led and facilitated the Intern team
– Prepared Impact map of the project
– Prepared Project plan (WBS, Timeline, Resources)
– Prepared Risks register
– Prepared Stakeholder Register, Map, Matrix & RACI Matrix
– Prepared Stakeholder communication plan
– Maintained Business communication with Stakeholders
– Research and analysis

Tools:
– Notion
– Trello
– Slack
– Miro
– Canva
– Google Meet & Gather
– Google Workspace (Docs & Sheets, Calendar)
I am interested in the Assistant / Junior Project Manager position at IT Company. And I believe that I can handle this role’s responsibilities considering the following.

To master the knowledge of project management in the IT area, I have completed the following courses:
– ""Fundamentals of team and project management in IT"" from Lviv IT School (LITS), in 2021;
– ""IT Project Management"" from Creative&Tech Online Institute: Projector, in the period November 2021 – February 2022; 
– ""Become a Project Manager"", LinkedIn Learning Path, in March 2023.

While taking the mentioned courses, I worked with tools like Trello, Jira, Miro, Canva, Confluence, Notion, Gantter, Slack, Gather, Google Workspace / Microsoft Office, in particular, on:
– Impact Map & Work Breakdown Structure (WBS), Gantt Chart;
– Risk Register, Stakeholders Register, Stakeholders Map / Matrix & RACI Matrix;
– User Stories & User Story Map, including preparing Definition of Ready and Definition of Done;
– Task estimation, using different methods, like Big/Small/Uncertain, Poker Planning, and T-Shirt Sizes.

Thus, I have a basic knowledge of project management, software development life cycle (SDLC), and methodologies (Waterfall, Scrum, Kanban).

In addition, I have a master's degree in law and have been working as a legal counsel for more than five years, including in the IT area. I have also overseen a team of five legal counsels, and controlled and coordinated their work. In this case, my experience as a lawyer allows me to perform, among other things, the functions in project management, such as:
– Communication with Customers and Stakeholders;
– Organization and coordination of teamwork;
– Managing the project, deadlines, and tasks, including in task manager;
– Creating a project plan, maintaining project documentation, registers, and preparing reports;
– Preparation of various kinds of legal documents, including Contracts, Invoices, and Services Acceptance Acts.

Also, I am an experienced user of Windows, MS Office, and basic Google applications. I am fluent in Ukrainian and Russian; I speak English at an upper-intermediate level and I am constantly working on improving my English. My soft skills are:
– Proactivity, and communicativeness;
– Multitasking, and self-organization;
– Fast learning, active listening, and teamwork."
6214,"
Hello everyone!
I'm looking for a job as a Junior Project Manager. I'm just starting my way in this field after the completion of the Project Management Course. So, I have a basic knowledge of project management, SDLC and methodologies (Scrum, Agile).
I don't have much practical experience, but as a manager at my previous job I worked with customers and stakeholders, managed projects, organized and coordinated team work, maintained project documentation, prepared different kind of legal documents.
I'm an experienced user of Windows, MS Office, basic Google applications. 
If you are looking for reliable, hard-working team player - I could be your good choice. Just give me a try.
"
6231,"
My current jab position is Project management specialist in the financial consulting department in Grant Tornton Ukraine, in Кyiv. The main areas of my company are audit services, financial consulting, tax consulting, legal services, outsourcing. 

My job description:
- communication with Customers and Contractors;
- maintenance of work documentation and schedule of Projects
execution;
- collection and analysis of information necessary for the
implementation of Projects;
- administrative assistance in conducting work meetings;
- reports making.

Completed Projects:
- Development of a system for monitoring the achievement of the
Sustainable Development Goals at the level of Kyiv city;
- Anti-corruption policy audits;
- Audits of financial statements.

Computer programs: Microsoft Office, 1C/ BAS, CRM Bitrix 24, Smart Tender.

English level - Upper-intermediate.

I pretend to be: Information Technology Manager, Product Manager, Assistant Team Manager, Assistant Project Manager, Project Office Coordinator.

I am responsible, attentive, self-motivated and hard working person. I am a team worker and adaptable to all challenging situations. I am able to work well both in a team environment as well as independant using analytical knowledge.
"
6232,"
Successful performance of 20+ educational projects for over 500+
members of various companies - Boeing, Ubisoft, Xpand etc
Attentive manager with excellent communication skills.Organised and driven with an innate ability to stay on track while dealing with various tasks under pressure.
Quick learner and eager to pursue the career of a manager in IT field.
-Constant implementation of Agile and Scrum methodologies - performing 1-1,
stand-ups, retrospectives, dealing with the team motivation;
-Applying Lean methodology aiming at continuous project improvement;
-Participating in discussions on the appropriate design and set-up of projects while
understanding the key drivers of project profitability and providing cost-saving
solutions where possible;
-Monitoring, maintaining and enhancing the performance of field operations, ensuring
timely and accurate delivery;
-Serving as a link and liaison across the various stakeholders on project-related
matters;
-Direct communication with customers, clarifying specific requirements, managing
customers’ expectations and changes;
-Project planning, task progress monitoring and prioritizing the workload of the team;
-Preparing and organizing the necessary project documentation;
-Planning and giving regular updates on the projects;
-Coordinating the project launch schedule and activities;
-Risk management.
"
6233,"
British Autoclub Assistance, Kiyv – IT-manager
September 2018 – March 2019
Main responsibilities and provided activity.
- Gathered requirements for composing MVP on the Web, app , CRM system projects.
- Provided black box/grey box testing and acceptance testing activities on delivered features on CRM, app projects..
- Managed app projected delivery activities on cooperation with foreign outsource team :project backlog forming, sprint backlog forming, manual testing and bug tracking activities.
- Provided support on 1C accountancy management and new features developing.

Pride International LLC., Kiyv – Project manager assistant / QA manager..August 2017 – September 2018
Main responsibilities and provided activity.
- Facilitated sprint planning and backlog of the product.
- Provided Quality assurance tests during Sprint workflow and final product releases.
- Assisted on resolution of the app and web-version defects.
- Assisted team to remove impediments by having an understanding the control and release processes.
- Tracked and effectively communicated team velocity and sprint/release
progress to all affected teams and management.
- Assisted in defining and deploying new product development processes and in facilitating the continuous improvement of existing processes.

MBM Partners, Kiyv –Head of the Lead-generation and advertising departments.June  2015 – August  2017
Main responsibilities and provided activity.
-Providing and controlling complexes of activities devoted to lead-generation and traffic management.
- Developing of the strategic guidelines and tactics of the company's behavioral activities in social networks (SMM).
-Providing Social media marketing planning, recommendations and it's implementation.
-Composing tasks for script development for social media lead extraction.
-Providing automation and controlling tool integration for social media
content.
"
6239,"• World TESOL Academy
120-Hour TESOL/TEFL Certificate
Accredited by ACCREDITAT & The CPD Certification
Service
• 4+ years of experience teaching English
• Project Management Skills: I play the role of a
teacher, a mentor, a manager and a psychologist
for more than 20 people.
• Fluent English (advanced)
• Excellent in written and verbal communication
• Understand the project lifecycle
• I’m learning to work according to Agile
methodology, analyse my progress regularly and
achieve more than 80% of my goals
• Convinsed that Sprint Retrospectives are
important, since I've been practising this method
with my students
• Understand main metrics for Project Management
• Good working knowledge of MS Office.
• Ability to multitask
• Sense of responsibility and punctuality
• Problem-solving ability
• Aware of copywriter’s and videographer’s
workflow
• My student's successes - my projects
• Understand methodologies (Scrum/ Kanban/
Waterfall)
• Understand roles and functions in project
• Understand principles behind the Agile Manifesto
• During my studentship, I did a lot of volunteering, and if anyone asked where Sofia was back then, I was somewhere taking part at various student startups and volunteer rallies. 
• As a student, I had had an exciting job as part of the student exchange program ""Work and travel in Germany"". I worked as a cashier at McDonald's. 
• After that, I worked as an assistant SMM manager at Instagram, I was a content creator and copywriter. 
• And since 2018, I have been working as an ESL teacher/tutor for children and adults. I have been self-employed since 2018. I received a TESOL/TEFL certificate after completing a 120-hour course. During this rather long period of my teaching experience, I can say that my communication and management skills have been significantly developed.  My responsibilities are: 
• Developing activities and integrating technology to
diversify instruction.
• Increasing ESL students' reading, grammar and
speaking levels and altering lesson plans for students
needing extra guidance.
• Creating monthly academic status reports based on indepth student evaluations.
• Documenting student attendance and progress against
goals.
• Conducting speaking clubs with students.
• Business English.
• Individual and group online English lessons.
• Managing day-to-day meetings.
• Creating and managing class’s
This also includes a quarterly assessment of each student's progress and a small retrospective. This business has some similarities to many positions in the IT field. For example, daily communication with students is daily communication with clients. Working with a project is working on a student's success - that is, a student is a project. Conducting retrospectives and rewards is a managerial branch. Planning, good English, quick response to resolve any issues or problems, punctuality, and computer skills are essential to work with clients and team in these areas. 
• In August, I completed an internship as a customer support specialist, where I interacted with customers via text message interface and calls in Crisp, resolved product and service issues to ensure customer satisfaction, worked with company's CRM system. I had an experience working with such sales tools as Email Finder, Email Verifier, Email Warm-up, Drip
Campaigns.
For the past few months I have been actively looking for a position that directly allows me to communicate with clients and manage good products. 
• Looking forward to starting a career in a project manager role. • Looking forward to joining a growing team to work in a customer-focused, innovative, challenging, and fun learning environment where I want to acquire and hone valuable skills for myself."
6240,"For now want to develop myself as a Project Manager. Visiting a lot of webinars on different types of SDLC, Team Manegement and Project Management.
In October 2021 completed the course ""Fundamentals of Team and Project Management in IT. Preparatory"" by Prometheus.
May 2022 - completed the course ""Project manager Profession | 10.0"" by GeniusMarketing.
July 2022 - completed Basic Course by Online Ukrainian School of Project Management by Denys Prylutskyi
Currently working in Crunch as People Coordinator. 
Under main responsibilities are:
•	Serve as primary point of contact for the client regarding project information and updates
•	Ensure that stakeholders are regularly updated on the status of all sites in project through meetings, correspondence and status trackers
•	Forecast, track and manage resource planning
•	Identify project resources necessary and partner with other company managers to acquire resources
•	Build and nurture an effective and collaborative project team. Promote effective individual and team performance
•	Track internal project team assignments
•	Monitoring of the team states and specialists states inside these teams to identify and prevent risks and their consequences (dismissal, professional burnout, conflicts, etc.);
•	Informing and consulting specialists about the features of social and remuneration policies of the company, etc.;
•	Take part in organization and conducting Team Buildings, according to the needs and the current team state
"
6254,"I can work with platforms such as Facebook ads, Instagram, Miro, Asana, Figma, Pipe Drive, Expandi, LinkedIn, Google Meet, Google Sheets, Google Docs, etc.
I have experience in marketing. Worked for 1 year as a Lead-Generation manager in a company that developed websites. Lately I've been trying myself as an SMM. I was involved in the social networks of companies and promoted them through target advertising on Facebook Ads. 

I worked as a Business developer/SDR/Sales manager/Account manager in a crypto marketing agency. So, I am ready to learn and gain new knowledge.
I am quite a sociable person, so I want my work not to be boring. I love to come up with different ideas and with planning and creating frameworks for the team. Planning and allocating time effectively in Miro brings me pleasure, so it seems to me that the work of a project manager is my calling."
6255,"
Responsible and proactive Delivery Coordinator/Error Manager, experienced Senior Test Engineer with a demonstrated history of working in the automotive industry (8 years of automotive embedded projects). Skilled in customer communication, team organisation, Jira, Confluence, Test Planning. Master's Degree focused in Automobile/Automotive Mechanics Technology from National Transport University.
The main desire for a new place of work is an auto motive project, since all 8 years of my career I have been working in this field. It has its own specifics and I like it."
6342,"
Mrowki-UA
Consulting. HR.
2021-2022
Automation project manager
Providing automation for all company's processes and managing website development in the automation part of the project. 
Also wrote bots in messenger to make communication easier and faster.

Interra
online school
www.interra.bz
2020-2022
Automation project manager/ Business Analyst
As business analytics, I discovered the company's business process and propose some transformations. As a project manager, I provide and install automation in Bitrix and analytics decisions in Power BI, which helped the company to save their money, time and made their service quality better.

RublevFamily
Quest franchise
fr.fortfamily.ru
2018-2022
Automation project manager
Started in the company from automation for the franchise sales department. Then provided automation for all franchise partners for their sales departments and set up for them marketing analytics.

BizRaise
Marketing agency
bizraise.pro
2017-2018
Automation Project Manager / Business Analyst
I had an opportunity to work in various business areas in this company. 
The main object of my work was business processes and their automation. 
All my new projects start by having a transparent view of how the processes of our customers look today. 
Most of the companies had a clear request or problem description, so my task was to find a way how to fix it with automation.
"
7630,"
Market research, SMM, email, Google/Instagram/Facebook ads, managing contractors, basic SEO, backlinks, content creation.

Good at people management: 
• able to coordinate teams and people, create simple and transparent systems, manage conflicts and solve stressful problems;
• know how to maneuver between the reefs of the hierarchy to achieve WIN-WIN.

Google Ads (Editor), GTM, Google Analytics, Facebook Business Manager, LinkedIn, Mailchimp, Tilda, Wix, Bitrix, Ahrefs, Serpstat, SimilarWeb, Excel, PowerPoint.
Basic SQL, HTML, Adobe Photoshop, Illustrator.

Ukrainian, Russian (C2)
English, German (C1)
In progress: 
Spanish, French (A2)
NO to gaming, gambling, dating or fraud. Thank you."
7654,"Achievements:
- launching the business process of dealing with network coverage requests for B2B customers.
My telecom career started 14 years ago. I gained my first professional experience at the customer service division in B2B sales (I learned analytical, managerial, negotiation skills). 
Now I am dealing with network coverage requests of corporate customers. I am sure there can’t be effective sales and long-term relations with customers without high-quality service. 
I improved my analytical skills working on business cases focused on base stations construction for the needs of B2B customers. This process is a complicated chain of interactions with colleagues, contractors, customers, landlords, engineers. It involves calculations of payback, company’s revenue, technical solutions optimization, analyzing relevance of clients’ services, negotiating about equipment placement and rent rates, informing about radiofrequency radiation etc. In the course of my work I need to negotiate with managers of all levels within the company. I see openness and honesty to be a key to success for all types of interaction.
I am constantly learning for my personal and professional development. I have been learning English since March 2018. The global trends increased my interest in social media. In December 2020 I have chosen the course on content marketing which also includes copyrighting as I see it is in demand for freelance work. It is interesting not only to learn these skills but to learn how to find clients, which is especially relevant to my sales skills. 
I deliver training courses to my colleagues on the life cycle of customers’ requests on coverage. During the course I always have good contact with the audience, refer to participants, encourage questions, provide examples, prove the information with photos, digits etc.
I consider the position of B2B sales manager or Project manager would be a good step in my professional development. I like the sense of Adrenaline and proud when the deal is closed.
I respect employers which provide decent financial motivation, high corporate standards and possibility to use the knowledge of English."
8890,"
BA/PM, PM, UI/UX Scrum, Agile, Kanban, Quality Assurance (QA), Knowledge base, IT process optimization, Confluence, Redmine, Jira, RUP,  ERP, CRM, CSS,  HTML, JavaScript, HTML5, UML, Python
I don't like Forex, Gambling, alcohol, smoking industry."
8916,"
I've been in IT business for 10 years. 
Participated in dozen projects of governmental structures of Azerbaijan, such as card system of Central Bank, Inventory system for Treasury of Azerbaijan Republic. 
Also have experience in managing projects in broadcasting (building the online TV system).
About 5 years experience in IT Distribution as a BDM and Channel Manager.
"
