,resume
56801,"
With 10+ years of experience in many graphic design roles, I worked with illustrations, advertising banners, social networking materials, logotypes, animations, and presentations. 

Last year my challenge was to learn UI and UX Design. I have joined the team as a User Interface Designer and prototyped a SaaS Design System in Figma.
"
56802,"
Designing backgronds and characters for the game in it-company, graphic design freelance, presentations, makets and packaging design
3D modeling is not in my priority"
56803,"Previously worked with a startup company, which producing mobile app, in advertising agency, in a publishing house, and directly with manufacturers. As I was working with a variety of design areas, it gave me experience to see the problem from different angles and solve it comprehensively. For example, taking into account both ux -solutions and marketing, I understand what resources would be spent on creating the final design.
I am a designer. I have 7 years of experience in design field. I have a bachelor's degree, i am constantly develiping my skills and willing to study. I would like to work with interesting and complex projects, where I can challenge myself.
would like to work with interesting and complex projects. A professional team"
56804,"I am a UI/UX designer with 3 years of experience. My approach is focused on creating clear and intuitive designs that provide the best user experience and increase user engagement. I specialize in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration. I want to create high-definition interfaces and improve people’s lives simple and discreet but useful products that carry values.
Worked as independent designer and created websites for small and medium-sized businesses. Banners, Landing page, print design.

UI/UX Designer, Comportal
October 2022 - Present
Creating landing page for small and medium-sized businesses

• Developed layouts and prototypes for websites 
• Evaluated and tested user experience 
• Developed user interfaces
 • Collaborated with development teams and project managers  to ensure seamless integration of design into projects.

Graphic Designer (freelance), Resource Group
February 2021 - Present
Development of marketing materials in order to increase the reach, trust and loyalty of the target audience.

• Developed layouts for print 
• Developed banners for targeted advertising 
• Created banners for news on the website 
• Worked with marketers and project managers in a team to ensure timely and quality project completion.

Graphic Designer, Liga.net
September 2021 – December 2021
Development of marketing materials in order to increase the reach, trust and loyalty of the target audience.

• Developed layouts for print  
• Developed banners for targeted advertising 
 • Created collages for news on the website  
• Worked with marketers and journalists in a team to ensure  timely and quality project completion.
"
56805,"I develop sites on the Web Flow platform and draw interfaces and sites on figma.
Worked on Upwork and Fiver on such projects as NFTlook, also created sites for Shopify and Shopify winning product kit. Make car parts landing page for local Ukrainian company.
_____________________________________________________
Looking forward to growing and developing in web design and building a successful career or website development company"
56807,"At my last job, I grew from a junior specialist to an average specialist in 8 months. I became an HR manager in a team of 65 people and I was good at it.
Not about work - visited more than 15 countries, lived in Thailand for a year, became a diver with a great fear of water and never stop learning something new
I worked as a photographer and graphic designer for 3 years in a large team (about 600 people). This is a Youtube channel. I graduated from the university with a degree in Computer Technology, so I also studied programming. I am not strong in these tasks, but I know the structure, so I decided to develop in the field of UX / UI. I studied psychology for 10 years on my own, so it is quite easy for me to feel and understand other people. I am currently finishing my UX/UI courses and really want to share all my ideas with the future team. Yes, I'm currently a junior in ux/ui. But I have a good life experience, I can work in a large or small team. I am a reliable, responsible and creative person.
I don't want to programing, please"
56809,"
Experience in developing a personal style for clients, drawing illustrations and banners for social networks, the layout of magazines/books, preparing and developing marketing materials for printing, creating presentations and presenting them to clients, discussing future ideas with the team, drawing illustrations, creating for marketing companies landing page, UI/UX design for an e-commerce shop.
I expect to do something similar in which I already have experience:) I would not like to work in the gaming industry, casino, and do photo retouching"
56859,"
I have more than 5 years of experience in publishing as a Graphic Designer. Also I have knowledge in Web Design and UI/UX Design, gained at the training courses ""Web Design"" by Skvot, ""Work with Figma"" by Creative Practice and ""UX/UI. Projecting and designing of interfaces"" by Creative Practice.

IMEX LTD, Kropyvnytskyi (2014)
Designer assistant
- creation of corporate catalogs, brochures, certificates and business cards;

PRAGMATIKA.MEDIA, Kyiv (2018-2023)
Graphic designer,
- development of magazine design (layout, visual design);
- drawing up of graphic documentation (presentations, forms, media);
- visual content creation for social networks and sites (visual design of posts, general appearance of pages, collages, leaflets);

Freelance (cooperation with Inka), Kyiv (2020-2023)
Graphic Designer 
- creation of a magazine for the Premier Hotel;
- development of corporate catalogs and brochures;
"
56860,"As a seasoned graphic, web, and UI/UX designer, I've achieved remarkable success in crafting visually appealing websites with seamless navigation and user-friendly interfaces. My meticulous attention to detail and deep understanding of user experience principles have allowed me to create immersive digital experiences that receive positive acclaim from clients and users. Additionally, my expertise extends to developing captivating graphics, logos, and branding materials that effectively communicate brand identities and captivate audiences.
I've embarked on a design journey, investing close to 9 months in comprehensive design courses, and have since ventured into the world of freelance designing for nearly half a year. During this time, I've had the opportunity to craft captivating welcome brochures for a specific country, construct visually appealing websites for a variety of businesses like perfume stores, photographers, start-ups akin to taskrabbit.com, and hotels, showcasing the diversity within my portfolio. Additionally, I took on the challenge of designing a dashboard for a local bank, tackled the unique task of creating a website for a solar panel company, designed a menu for a local restaurant, and even dabbled in the creation of a cinema app. My experience has provided me with a range of exciting and diverse projects that I can't help but be proud of. Now, I'm eagerly seeking new opportunities to further refine and expand my skills in the world of design.
I prefer not to engage in projects involving adult websites or gambling game design. While I respect the diverse nature of design work, I personally find more fulfillment in pursuing projects that align with my values and interests. I believe in using my skills and creativity to contribute to projects that have a positive impact and cater to a wider audience."
56861,"Creating a brand book for Kiton furniture store, creating a brand book for Lviv Botanic garden.
I'm a UI/UX and graphic designer with 2+ years of experience, currently working as a UI/UX designer at Liga Zakon. In the past I have worked for several companies including Coming Agency, Come Back Agency and Fawn Agency. I am a skilled and diligent designer who is passionate about creating user-friendly and aesthetically pleasing interfaces. I'm also a responsible and outgoing person with a wide range of interests including basketball, skiing, and design.
"
56862,"I also completed this year (May 2022) UX designer courses at Projector. Unfortunately, my experience in this direction is not very big / But I already have enough understanding and desire to work in this direction in design) I also have a number of finished working sites
I am a digital Designer with five years of experience. 
For the last two years, I have been working as a graphic designer in a network advertising agency,  where I learned the required technical and communication skills to work with large corporate clients and have been satisfying their requests, both artistically and punctually.
Collaborating with various teams within the company, we developed a wide range of concepts and worked on corporation styles for more than eight brands.

For the last one year I also work as a freelance designer for clients from all over the world.
"
57384,"• designed more than 40 successful digital products;
• leaded design teams and design projects worldwide;
• experience in product management and startups launching;
• mentored junior designers, provided lectures and workshops;
• created and successfully operate in the market more than 30 brands and trademarks;
• respectable UX certification
• international design awards
• jury member at international design competitions
T-shape design generalist with product thinking and 15+ years of experience.
Expertise in setup of product design team/process.
Experience in managing UI/UX design teams.

Clear understanding of full design process and product management from business analysis and research to detailed visual design and implementation. 

Strong hands-on knowledge of UX design, prototyping tools, user testing, mobile and responsive design, branding and HTML/CSS principles.

Skills: UX architecture & design, data mining and data driven design, user testing, usability evaluation, visual design, UI design, logo design, product management, product identity design, visual design, prototyping, iOS and Android, HTML/CSS, AR/VR, business and requirement analysis, user and marketing research, photography, direction, management, tutorings.
• professional and experienced company management that clearly understands and can communicate business needs and goals
• preferably looking for product company
• possibility to influence on direction and product vision is mandatory
• ready to provide part-time design consultancy services in processes or products
• do not interested in project or operation work at outsource
• considering remote or relocate (USA, UK, Europe)
• flexibility, openness to changes and reconstructions
• cross disciplinary design projects
• interested in AR/VR projects (except game dev)"
57400,"Creation of a design department in the company, attracting projects and clients to get additional profit. Product design from idea to launch.

- Due to my work, I saved the business several times.
- Worked on the improvements of existing products
- 50+ successfully implemented projects
Over 10 years experience in UI/UX Design and 5+ years in Design Team Management (20 team members).
Resource management and planning, full-cycle of hiring (interviewing, on-boarding, feedback, and coaching). Design strategy, monitoring, and evaluation of the employee’s performance, distribution of projects among design teams and team members. Growing team members from interns and juniors to senior and team-leads.

Design department budgeting, participation in pre-sales, project estimation, and specifications, control of payments and deliveries between company and review of contract documentation customers.

Experience in a range of medium to large-scale projects in different industries: Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain and crypto, Legal, Sports.

Strong skills in self-management, analytic mindset. Good collaboration skills. Understanding thoughts & feelings. Passion for problem-solving. Able to work under pressure.

Analytical approach to design. Strong knowledge in the design process: research, prototyping, testing, interview, usability audit, design systems. Creative solutions and interface concept development.
I would like to work on a product, develop and go through a complete design process in order to increase profit and product quality. I have gained a lot of experience in creating concepts and entering the market."
62042,"
2023-now
Beetroot academy
Experience in performing practical tasks in the learning process: 
Writing short first letters;
Finding candidates using search systems. Boolean Search, X-RAY search;
Conducting interviews.

2020-now
Web designer, UX/UI designer (freelancer)
There are several completed projects, such as a website for Fortified Capitals (an exchange trading platform), a landing page, business card creation, and a Smart Home mobile app.

2020-2023
Partner Ukraine LLC
Personal assistant, project manager (part-time)
- Maintaining project documentation, negotiating contracts
- Finding solutions to recurring problems
- Setting tasks by all project participants, monitoring the implementation
- Team motivation
- Working with suppliers and customers
- Maintaining documentation, negotiating contracts
- Creation and implementation of business processes (BPMN) for all structures and departments

2018-2020 LLC Trade House Alfa-Komplekt EKB
Deputy General Director for Quality
- Quality control of the supplied products;
- Carrying out reclamation work;
- Development and implementation of the organization's QMS policy and goals;
- Preparation of a complete package of documents for obtaining Certificates and Licenses necessary for the work of the organization;
- Preparation of events for participation in exhibitions, conferences, seminars, etc.

2015-2018 Alfa-Sert LLC
Marketer
- Work with company branding (development, implementation, improvement);
- Preparation, approval and launch of advertising in accordance with the company's policy;
- Development of a product catalog (based on the specifics of the organization's work);
- Development, approval and launch of POSM (leaflets, booklets, souvenirs, etc.);
- Working with contractors (designers, web developers, printing houses, developers, exhibition organizers, etc.).

2012-2014 Albion Trading Company LLC
Marketer
"
63086,"
I’m young web designer that has practical experience in Sketch, Figma, Adobe Photoshop,
Adobe Illustrator, ready to learn new software and processes quickly and efficiently.
COURSES:
LevelUP School – UI/UX- Web Designer 10/2018 – 04/2019
Spalah IT-School – UI/UX- Web Designer 05/2018 – current time
"
63087,"
I don't have real work experience yet. I have basic skills in Adobe Photoshop, Adobe Illustrator and Figma. I am ready to learn from real projects with real people.
I have excellent soft skills that I got while working in the restaurant industry: adaptability, sociability, non-conflict person, open to criticism, discipline, flexibility.
I want to get experience, knowledge from experienced designers. I am ready to spend a lot of time and effort on my work so that the team/mentor/company quickly get a return on the time spent on my training."
83710,"Designing the website for a blockchain traiding company from scratch.
Creating a corporate interective notebook for a employes anniversary in the company.
Creating istagram corporate post which then had been made as an example for the further posts. 
Created an animation for my case for Behance.
Hi! I am Graphic and UI/UX designer who is open for a challenging tasks.:)
I have been working in outsource company which specialized at Fintech and Blockchain. My main tasks were creating web and mobile apps from scratch. Our main market were USA, Canada and the UK. I enjoyed communicating with various clients and solve their problems. Moreover I was working on blockchain corporate project, which was a tokenized game.  

 Besides I also had various tasks for graphic design, so I was working on Brand Book, different corporate products like branding cups, hoodies, t-shirts, pens etc. Also I have been working on banners, printouts and posters in corporate style. Also one of the biggest thing which I am proud of is the stylish notebook which I have created for employees anniversary. My taks was to draw a different characters which then were implemented to the notebook. Also I was working on a different thematic pages in it.

Among office work, I also have been working on freelance basis and had various tasks like logo design for a Ukrainian bag manufature, was working on a redisign of a old fashioned website .

I am ready to study and will be happy to work among experienced designers and business analysts, and get the feedback from them about my work!
I am looking for a friendly team and structured, clear tasks with adequate deadlines. Can not convert my own design to HTML."
83711,"
Creating newsletters for three different target groups from scratch;
Creation of all graphic elements for websites, social networks;
Responsible for marketing plans creation and providing an effective analytical analysis of companies advertisment;
Work on the medical aid infoline for refugees from Ukraine;
Maintaining accounts in social networks of Medimost and subsidiary projects;
"
86666,"
I’m a Web Designer with over two years of experience working for a digital marketing agency. My expertise lie in creating modern, responsive corporate websites and landing pages that are both visually appealing and user-friendly. 

As a Web Designer, I honing skills in designing digital experiences that meet the needs of clients and their customers. I'm proficient in a variety of design tools and software.

Desire to become a UI/UX Designer, understanding that UI/UX design is crucial to creating effective digital experiences, and want to expand my skillset.
"
87779,"
Bank Gutmann: Design and Digital Marketing
Deutsche Börse: Global RM, Sales, Client Services
727.ventures: Growth Assistant/ Product
Manager

You can learn more by contacting me, I will gladly share my CV with you.
"
97622,"
UI/UX Designer with hands-on experience in design for desktop and apps for 1.5 years. 

Also i have experience in creating illustrations/grafics/content for books/booklets/posts for 3 years
 
With proactivity, I am working on the best solution for my clients. My contribution as Designer always includes face-to-face communication with customers, project roadmap creation, design matrix creation, etc. Studied the user experience, based on which I have experience to develop empathy maps, user scenarios and identify their problems and needs. Based on the analysis of this data, I know how to make clickable prototypes and test them.

I have nice experience with web and mobile applications designs and I know their basic patterns of behavior.

I believe I can make a customer's world much better by creating clear, easy to use and attractive designs.
"
98134,"
I took courses in Illustrator, Photoshop, Web Design and also completed the course in animation and motion design in After Effects.
In addition, I obtained Master's Degree and have experience as a project manager in the NGO (3 yr). It taught me to analyze, plan, solve problems and work to achieve results.
I'm looking for a work or trainee program for junior UI/UX designers. I am interested in new experience in IT and professional growth."
98135,"
I am a ui/ux designer with 1+ years of experience. I am looking for a new place to develop my skills and gain more experience. 
I performed such tasks:
- employing industry 
and design best practice through website build process.
- analysis of user behavior, detection and troubleshooting in UX.
- making a prototype in Figma for a landing page. 
- work with style, selection of fonts, colors, illustrations.
- ensuring website function across devices i.e. desktop, mobile, tablet.
- creation of logos.
I am looking for a new place to develop my skills and gain more experience."
98136,"
Hi, I'm UI/UX Designer with 1,5 years of experience. My primary tool is Figma also can be Photoshop. I also know English well. I have a great desire to develop in this direction.
I was working as a freelancer for 8 months on different small projects. 
Tools: Figma, ADOBE Photoshop.

For the last 4 months, I have been working as UI/UX designer for a start-up. 
Product: Online clothes shop for the EU market. 
Team: Product Manager, 2 developers, and one QA. 
Tools: Figma, ADOBE Photoshop.

For the last two months, I have been working on a UI/UX design for a British clothing store
Project responsibilities:  UI/UX Designer 

-the creation of prototypes 
-creating layouts 
-UI Design 
-UX design
"
98137,"
I’m a beginning UI/UX designer from Lviv (Ukraine). I graduated from Projector Institute - Web Design Beginning course. As well I took two online courses of the basic of UI and UX design on Udemy.com. After that I followed the mentorship of Valentine Skliarov (Lead Designer at Cieden).
I want to help enterprises to design and launch new digital products or redesign existing projects. I work based on the user-centered design principles that make the product easy to use.  I am a fast learner, responsible, sociable and I have a great desire to increase and improve my knowlege and skills.
"
98138,"I'm a perfectionist and prefer a cleanliness in layers - I think It's very important !
I'm a team player and quick learner.
I have no experience in commerce but I created and continue creating fake projects for educational courses, test tasks (landing page, forms for authorization). I work with Figma (components, variants, auto layout, bootstrap, prototyping, mockups).
For photo processing I use Adobe Photoshop, I have a little experience with Adobe Illustrator.
I understand in typography, grids system, composition, theory of color and principles of usability. 
I really like to find cool ideas and bring in my design. I always support a user-friendly design, simplicity and aesthetics.
In this time I’m learning Webflow and improving my English.
Dont't write the code :)"
98171,"I have been a UI/UX designer for about a year. During this time, I gained experience as a freelancer, developing creative projects, and also worked in a team on a startup. Like all people, I have strengths and weaknesses. My strengths are: ambitious, proactive, cooperative, polite, creative. my weaknesses are: diligence, modesty, demandingness. The programs I work with are Figma, Photoshop, Illustrator, AutoCad and Blender. I also do photography and music. So let’s create something amazing together.
Freelancer
Startup
"
98172,"
Hello! My name is Dmitry. I'm UI/UX Designer. I'm crazy about Design. I spend a lot of time improving my skills and searching of inspiration to make modern and stylish designs. I'm eager to use all my skills and do my best on real projects.
"
98173,"
I designed websites and mobile applications using various tools and technologies. I have worked with graphic editors such as Figma, Adobe Photoshop, Adobe Illustrator and Coral Draw to create layouts and designs for websites.
I also worked in a team with other designers to ensure the successful completion of projects on time and according to the user's needs. I'm always keeping up with the latest in web design and learning new tools and technologies to ensure the best design and functionality for the websites I design.

Web service for finding lost animals GetPet
All analytics were carried out: competitor assessment, persona creation, user map and user flow. Conducted work with warframes and interface design. The development involved teamwork.

Redesign of the website of the Poltava music school
The interface has been completely changed to a more modern and user-friendly.
I am looking for a remote job with a flexible schedule in a company where you can not only exchange experience with other designers, but also make competitive and high-quality products."
98245,"I studied at the courses on design successfully defended my thesis, now passing pro course. Did Ux research, researched the audience, analyzed competitors, made a design system and the Ui kit, prototyping and adaptive. a little touched on the animation
Worked as a freelancer for 6 months, created posters, rendered videos, made a logo for a dance festival
"
98250,"05.2021 - 08.2021
Hillel (IT School)
Design Basic

10.2021 - 05.2022
Hillel (IT School)
UI/UX Design Pro
03.2016 - 05.2022
Innovation Group - Media Buyer/Marketer
Working with advertising networks, setting up and distributing traffic for advertising campaigns, preparing/creating
creatives/landing pages, monitoring and analyzing the quality of advertising campaigns, campaign optimization.

01.2013 - 02.2016
Sprava - Account Manager
I was engaged in building partnerships and strategic relationships with clients, actively developing accounts.
Introduced new customers, worked closely with them and transferred them to the status of regular customers.
Assistance in setting up SEO for successful monetization of partner accounts.
"
98251,"2022 Successfully completed the course “Basics of web UI development” on Prometeus.
2023 Successfully completed the course “UI/UX design basic” on Prometeus.
04.2017-12.2017 Aviation security
PLC «Master-Avia», Kyiv
Field of activity: Airport Passenger Safety
• A timely and systematic monitoring of the baggage;
• Work with different people.

03.2018-04.2019 Photographer at the registry office
The Svadba, Kyiv
Field of activity: Take a picture from a wedding.
• Taking pictures of bride, groom and guests in the wedding hall and in the photo studio;
• Retouching photo
• Selling photos;
• Making and printing a photo album layout.

09.2020-02.2022 Photographer in the studio
The Moment, Kyiv
Field of activity: Photo sessions, retouching, photo album design.
• Taking pictures of a group of people;
• Retouching photo;
• Teamwork.

03.2023 to now. UX/UI Designer
Freelance
Field of activity: user research, wireframes, user flow, mockups, prototype, user persona, figma.
"
98252,"
05.2021
VBakery
The site is created for lovers of sweets. Here you can view the catalog of pastries, cakes, you can make an order or with the help of a designer to assemble your confectionery. On the site, consumers can leave their feedback, you can also register in the user's personal account and store your favorite sweets so that in the future you can quickly place an order, you can view reviews and order history on the site. Also on the site you can find information about the bakery and location.

06.2021
Dim Kultury
The site is created to attract investment in the renovation of monuments of local importance, the creation of a cultural center, the restoration of the club ЖИВОТ. And to unite and develop the community
This project is divided into 3 separate areas:
-ЖИВОТ - the oldest nightclub in the city, which is planned to turn into a full-fledged youth center, which will work not only at night but also during the day.
-ДІМ КУЛЬТУРИ - It is planned to make a huge cultural center, which will unite financially stable, social business projects.
-ДВІР - In the yard of the house it is planned to create a common urban space, a green theater with a summer stage and a food court.
"
98253,"
06.2023 - till now
Baza Trainee Ukraine -creating real-life products for the social sector.
* Team Lead of designers for the website project of the Volunteer organization ""4.5.0.""
* Team Lead of designers for the project “1000+1 song. Kolyskovi.” Finalist of the Hahathon 4.0: Ukraine Heritage Edition project.
The tools: Figma, Trello, Slack, Discord, Time tracking.

 
01.2023 - 06.2023
CURSOR Education - E-commerce platform for a real craft business. On the project the team conducted an interview with a stakeholder, competitor analysis, user research, SWOT analysis, CJM, IA. After that, I developed wireframes and started the UI part and prototyping.
"
98254,"I successfully completed a UX-UI design course, mastering the fundamentals of design and the Figma tool.

I worked on a project where the task was to redesign the website interface, and I successfully implemented a series of improvements that enhanced user-friendliness.

I have skills in creating interactive design, which improves user interaction with the product
1. Banners for social media
I create banners for social media for a charitable organization.

2. Redesign for Fitness Coach 
A request has been received for the structuring of the webpage, simplifying the current overloaded design, and highlighting the key elements to achieve the goal of attracting future clients.

3. Landing page for handmade artist (UX-UI Case Study, real client)
Create a page for presenting unique products on the international market, a wireframe has been designed, natural colors have been chosen to accentuate the artist's work, and a light parallax animation has been created for the page's start.

4. Mobile App (UX-UI Case Study)
App for the ability to remotely select a gift from the recommendations and send it to someone along with flowers on a specific date/time, precisely for special occasions.
Work in agencies, startups, and product companies. Development of landing pages, mobile applications, and web services."
98255,"1) Created a Mobile Design for a food delivery mobile service, I have done UX Research, Wireframing, UI Design, Prototyping, and launched it on Behance.

2) Have participated in team project full cycle design, starting from UX Research, creating Persons, User Flows, JTBD, CJM, then Wireframing, UI Design, Adaptive, Prototyping and launching it on Behance.
1) DeliverEats mobile service
The idea was to create a service, where users would be able to order different food delivery quickly, without unnecessary action. It was necessary to make several pages for customers (catalog, product page, account and others). Additionally after I determined target audience, analyzed market and competitors, I admitted certain conclusion of things, should be in my design.
Here is some of them:
      search on home page
      filter for quick sorting
      ability to add products to favorites
      convenience and simplicity, for easier understanding


2) PetSearch webservice
It was a team project, the task was the creation of a web service to search for lost animals. It was necessary to think over two users, the one who lost and the one who found. After analyzing the market and competitors, we determined target audience and made a certain conclusion of positive and negative points of similar webservices.
Here are some basic ideas
      warm color scheme
      functionality that will help user to take action faster
      adaptive, since most users are mobile devices
      convenience and clarity
I am highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs. Equipped with a solid foundation in design principles, user research, interactive prototyping and adaptive. I am eager to contribute my skills and enthusiasm to create impactful and user-friendly products that elevate the user's journey."
98256,"
1. FlowerLower
Landing page for flower delivery company, case study
-Competitor analysis, research
-High fidelity wireframing
-UI style guides (typography, responsive layouts, color palette, buttons)
2. Mimino. Redesign of the site of Georgian cuisine, case study
-Competitor analysis, research
-High fidelity wireframing
-UI Kit (typography, responsive layouts, color palette, components)
-Prototyping
-Mobile and tablet adaptation
3. Wanderstay. Couchserfing web-service. Team project. Case study
-Competitor analysis, research
-Design thinking
-JTBD, user persons
-Information Architecture, User Flow
-CJM
-Wireframes
-Dashboards
-Page 404
-Paralax
-Mobile and tablet adaptation
-Prototyping
"
98257,"Independently developed a web cleaning service, completed all stages from competitor analysis to design.
1. Leding for a barbershop ""BARBER""
My task was to go through all the stages. Start by researching competitors and the target audience. Having completed and understood this stage, I moved on to design, because you can create a good leading only by understanding the needs of users.

2. Redesign of the site ""India Cafe""
My goal was to first research the target audience of the site, determine the needs and improve the design not only for visual perception, but also for improved usability.

3. Creating a web service ""CLEAN""
Creation of a platform that will help cleaners to sell their services, and clients to find and choose a cleaner for themselves. In creating this web service, I went through all the UX/UI stages. User flow, prototyping, sitemap, payment pages and design.
I dream of getting a job in a company where people are focused on a common result, positive and purposeful. I expect to be able to work both in the office and remotely as needed. I definitely want to be able to study and develop in my profession, and move up the career ladder rapidly."
98258,"In 2018 I received my master’s degree in law area.
I'm interested in IT sphere, currently studying ui/ux design.
I believe my strength is responsibility.
1. Notary assistant: work with documents, preparation of contracts, client consultations, work with electronic registers, conducting business correspondence. - 3 years.
2. Customer support manager: providing the service regarding the site issues, transferring the requests to the relevant departments. (Gambling) - 1 year.
3. Head of the Quality Control Department of Customer Support (Cyprus) at Rocket delivery. - 6 months.
4. Passed the course in ui/ux design at DanIT academy.
"
98259,"I conduct competitor analysis, create user flow, site maps, create a mood board, develop landing pages, websites and web services, prototyping and adaptive design.
She was part of the team for the ""OURPAWS"" project.
1. OURPAWS - redesign search service for missing animals - service for searching for lost animals.
When creating the project, I used the following technologies: Figma, Adobe illustrator, Adobe photoshop.
2. LA MESA - mobile application for booking tables in restaurants.
When creating the project, I used the following technologies: Figma, Adobe illustrator, Adobe photoshop.
I expect development and learning new things from work.
I want to learn more detailed work at Adobe Illustrator.
I would like to improve my skills in vector graphics.
Communication between colleagues and management is also important for me, so that there is mutual respect and mutual assistance."
98260,"I have 2 own projects and know how to attract more customers with a well-thought-out design.
1. Project: Landing page for flower shop ""FlowerLover""

The goal was to create user friendly landing page for a flower shop ""FlowerLover"" in accordance with the wishes of the client. To solve the task I've studied competitors and analyzed the target audience, developed a clear interface and worked on User Interface part.


2. Project: Redesign website for Alaska Pete's restaurant 

This project is a redesigned website for the Alaska Pete's restaurant. The website design looked outdated and wasn’t very attractive. There was no form for reservation the table. So, the main goal of the project was to create a modern and user- friendly design that could attract potential customers.
"
98261,"Was a team leader in the project ""See World”.
1 project ""See World""
The manager was supposed to create a handy interface for the search for a living with a robotic method and a way to get a new place for the possibility of living for a penny and get the hatni right.
A follow-up was carried out, at some point it became clear that the design of the site can be forgiven and understood, so that the koristuvachs could know the needs of the side, promptly zdijsnyuvat pass and easily draw up an application and publish the voice of the voice.
2 project ""GenieTable""
The design idea of ​​the mobile application Table Genie is based on the association with a cartoon character and calling him out of the lamp, which is similar to booking a table in a restaurant. The first screen shows a lamp that you need to touch to call the genie and ask him to reserve a table.The color scheme of the application is also associated with the main character, in order to attract users.The general theme of the application is designed on the association with the cartoon character, with its magical properties, in order to attract users and provide a booking service in a few clicks.
3 project “Nice view”/ This is team project.
The task was supposed to be at the created landing page for the presentation of the residential complex and spondukati potential client to dії.“Nice view” is the right place for a happy family life and comfortable work, that color scheme was collected in colors, like they sound calm and safe.
The entire landing page was designed to achieve a minimalist style, which gives LCD not only style, but seriousness.
"
98262,"I had 3-PET projects during my studies. Analyzing competitors, searching for information about the company and nuances,
analysis of tasks and ideas, compilation of a mood board, development of minimalism
sites and landing pages, development of CRM systems and mobile applications,
prototyping and responsive design.
1. Redesign of the tattoo salon website. It was individual work on the course GoIT. They had to choose references, analyze the audience, redesign the site, UI-kit, adapt it for the tablet and mobile version and make links.
2. Landing Page. The project had to select references, moodboard UI-kit, create the main page of the site. The topic could be chosen independently.
3. A web service that will help organize a stay in another country very cheaply. It was teamwork on the course. They had to choose references, analyze the audience, prepare the USER FLOW, CJM, choose a design system, make adaptations for the tablet and mobile version, and make links.
1. Focus on results, focus on design and open team
2. Mutual respect and friendly atmosphere
3. Possibility of partially remote work
4. Corporate training and development within the company"
98263,"I have 2 own Pet-projects and 2 team-projects. Set up great communication with a member on the team, which helped create 2 interesting products: a web service for yoga classes and an application to increase productivity.
1. Redesign Tattoo Company, full cycle design
The design of the company's website has been updated in accordance with the needs of the target audience and modern trends. The site has become convenient and understandable for users, which will help increase its conversion and the number of customers of the company.

2. Easy Yoga web service, dekstop and adaptation design
The service was created from scratch. It is designed to simplify communication between yoga teachers and people who want to find a cool yoga teacher who suits them well.

3. Mobile application to improve performance. The mobile application is designed to increase the level of performance . It helps to plan your day as well as monitor physical and mental health through the different functions present in it.
"
98264,"Was a team leader and UX/UI designer in the project ""Travelhaven”. I have 2 own Pet-projects. Participated in a social project: development of a website for volunteers.
1) This project is the website redesign for a Alaska Pete's Roadhouse Grille based in Seven Bridge Rd, USA.
alaskapetes.com
Before the start of the redesign, a study and analysis of competitors was carried out. This helped to understand what successful solutions can be used for our project.

2) A web service that will help organize a stay in another country very cheaply.
To develop a web service interface for ""changing the environment"" - work and leisure in a new place. The idea is similar to couch-surfing, but in exchange for the opportunity to ""stay"" (accommodation, food, etc.), the visitor must pay (or rather, perform work designated by the hosts). The main audience is students/young people who want to see the world but are not willing to pay for accommodation (or simply want to save money).
I will consider all options."
98265,"Was a team leader in the project ""SweepUp Cleaning Web-service"". Participated in addendum project for GoIT and my landing design was implemented by students-developers.
1. TimeWell Daily Planner Mobile App
This app helps users manage their time effectively, plan tasks, and achieve their goals. My team and I carried out detailed analysis of competing applications, created User Personas and User flows, developed high-fidelity prototypes and UI design. Also we did detailed animation in Protopie. This project is still in progress. Instruments: Figma, Photoshop, Illustrator, Protopie.

2. SweepUp Cleaning Web-service
The task was to create a convenient cleaning service for choosing and ordering a specialist. Detailed research was carried out: market and competitor analysis, brainstorming, User Personas, JTBD, CJM and several User flows were developed. At the UI stage were created: prototypes, UI design, relinking and adaptation. This project was done in a team and within the existing design system. Instruments: Figma, Photoshop, Illustrator.

3. Bravo Furniture Site Redesign
The task was to make redesign of the website of a luxury furniture store. What was done: market analysis, competitor research and screen's prototyping, UI design, responsive layouts for mobile and tablet versions and development of a UI-kit. This was my personal pet-project. Instruments: Figma, Photoshop, Illustrator.

4. Citroen C4 Landing Page
This project enables test drive bookings for new Citroen car, developed by me as coursework. It involved market analysis, competitor research and creation of moodboard, wireframes and a final animated interface using Figma.
"
