,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
56544,"**Summary**

Accomplished Graphic and UI/UX Designer with a history of creating user-friendly interfaces, distinct branding identities, and compelling marketing materials. Expertise encompasses layout, typography, illustration, and 2D animation with a strong command of color theory and composition. Notable achievements include designing a Top 5 photography app with over 20 million downloads. Dedicated to delivering high-quality visual solutions for competitive markets.

**Experience**

**Freelance Designer** | *Ongoing*
*   Execute graphic design projects for a diverse client base, specializing in social media assets, advertisements, and print collateral.
*   Deliver high-quality design solutions tailored to meet specific project requirements and deadlines.

**Grls Gang** | *Designer*
*   Develop comprehensive branding identity and visual assets to establish market presence.
*   Design marketing materials, including social media content and print media, to foster user connections and engagement.

**Plarium** | *Designer*
*   Produce competitive advertising designs aimed at maximizing audience engagement.
*   Create 2D banners and dynamic animations optimized for social media platforms.

**Lomogram App** | *Designer* | 2012–2013
*   Led the design of the Lomogram application, achieving status as a Top 5 photography app on the Windows Phone Store.
*   Facilitated user acquisition and retention through effective design, resulting in over 20 million downloads.

**Core Skills**

*   **Design & Strategy:** UI/UX Design, Graphic Design, Branding & Identity, Advertising, Layout Design, Composition.
*   **Visual Arts:** 2D Animation, Illustration, Typography, Color Theory."
56545,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Visual communications specialist experienced in managing online presence and producing diverse design assets. Proficient in the creation and development of creative content for print, web, and social media platforms.

**Professional Experience**

**Advertising Agency**
*   Developed visual communications and brand assets for clients.
*   Executed design projects including print collateral, posters, and advertising banners.
*   Supported web design initiatives to ensure consistent visual messaging.

**Digital Agency**
*   Maintained and managed social media pages for brands and influencers.
*   Produced digital content including social media designs and animation to support online engagement.

**Core Skills**

*   **Print & Advertising:** Print Design, Poster Design, Advertising Banner Design
*   **Digital Media:** Social Media Design, Web Design, Animation"
56618,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL] | [Your Portfolio URL]

**Professional Summary**

Graphic Designer with 7 years of broad experience in visual design, currently seeking to transition into a UI/UX Designer role. Brings a strong foundation in creating digital and print assets combined with recent practical experience in e-commerce user experience optimization. Passionate about expanding skills in game development and 3D modeling.

**Professional Experience**

**Graphic Designer** | [Manufacturing Company Name] | [City, State]
*[Start Date] – [End Date]*

*   Provided UI/UX guidance and executed design improvements for the company’s main e-commerce website over the past two years.
*   Developed and designed a diverse range of digital marketing materials, including web banners and social media assets.
*   Created large-scale print collateral and outdoor advertisements to support brand visibility.
*   Served as a Graphic Designer for the organization for 5 years, managing visual requirements across multiple mediums."
56619,"**LIUDMILA**

**PROFESSIONAL SUMMARY**

Accomplished Graphic Designer with over 10 years of experience specializing in logo design, corporate identity, social media assets, and web design. Expert proficiency in creating and preparing graphics for both digital and print formats. Proven track record of successfully creating over 100 logotypes and style guides for diverse businesses.

**TECHNICAL SKILLS**

*   **Design Software:** Adobe Illustrator, Adobe Photoshop, InDesign, CorelDRAW, Figma
*   **Presentation & Web Tools:** Google Slides, Canva

**PROFESSIONAL EXPERIENCE**

**Graphic Design Experience**
*10+ Years*

*   **Logo and Corporate Identity Design:** Designed and developed unique brand identities, including the successful creation of over 100 logotypes and comprehensive style guides for a diverse range of business clients.
*   **Web and UI Design:** Executed design projects for websites and User Interfaces, utilizing Figma and other design tools to optimize user experience.
*   **Print and Packaging:** Managed the design lifecycle for packaging and printed products, applying expert knowledge of pre-press preparation to ensure high-quality physical output.
*   **Social Media Design:** Created engaging visual content and graphics tailored for various social media platforms.
*   **Presentation Design:** Developed professional visual presentations using Google Slides and other presentation software."
56629,"**[Your Name]**
**UI/UX Designer**

**Professional Summary**
UI/UX Designer leveraging over six years of visual design experience to create intuitive and visually appealing digital interfaces. Skilled in user research, design system development, and responsive design with a strong foundation in graphic identities. Collaborative team player committed to impactful projects, professional growth, and delivering high-quality user experiences.

**Experience**

**UI/UX Designer (Project-Based)** | *Recent*

*   **""LifeLandscape"" Web Service & Mobile App:**
    *   Collaborated with a UX design team to develop a comprehensive web service and mobile application.
    *   Conducted user research and analyzed feedback to create intuitive user flows and interface designs.
    *   Implemented responsive design principles to ensure seamless functionality across devices.
    *   Contributed to the development of design systems to maintain visual consistency.

*   **Tattoo Studio Website Redesign (Destin, Florida):**
    *   Executed a complete website redesign, transforming the interface into a modern and engaging digital presence.
    *   Conducted in-depth research into the target audience to align the visual strategy with user expectations.
    *   Enhanced the overall user experience through improved visual hierarchy and layout.

**Graphic Designer** | 2016 – 2022
*   Developed and executed a wide range of visual design projects from concept to final delivery.
*   Created corporate identities, logos, and advertising materials, delivering tailored graphic solutions for diverse client needs.

**Core Skills**
*   **Design:** UI/UX Design, Graphic Design, Responsive Design, Design System Development.
*   **Research:** User Research, Target Audience Analysis, Feedback Analysis.
*   **Soft Skills:** Team Collaboration, Creative Problem Solving."
56630,"**[Your Name]**
**Web / Graphic Designer**

**Professional Summary**
Versatile Web and Graphic Designer with over 7 years of experience spanning both in-house IT environments and remote freelance collaborations. Proficient in industry-standard design tools with a strong foundation in drawing, color theory, and composition. Expertise ranges from brand identity and print media to responsive UX/UI design.

**Technical Skills**
*   **Software:** Figma, Adobe Illustrator, Adobe Photoshop, Sketch
*   **Artistic:** Strong Drawing Skills, Illustration, Color & Composition

**Professional Experience**

**Freelance Designer**
*   Collaborate remotely with various companies and clients on independent design projects.
*   Deliver end-to-end design solutions ranging from digital interfaces to physical print materials.

**In-House Designer**
*   Previously employed as a Designer within the IT sector across two separate companies.

**Key Areas of Expertise**

**Web & Interface Design**
*   **UX/UI Design:** Execution of website design, redesign, and responsive design projects to ensure optimal user experience across devices.

**Branding & Identity**
*   **Brand Creation:** Development of unique logos and comprehensive brand identity systems.
*   **Illustration:** Creation of unique icons and custom illustrations, leveraging strong freehand drawing capabilities.

**Marketing & Communication Design**
*   **Print & Digital Media:** Design of banners for both print and social media, as well as flyers and posters.
*   **Social Media:** Creation of engaging visual content for social media posts."
56631,"**[Your Name]**
[Your Contact Information] | [Link to your portfolio]

**Professional Summary**

Results-oriented Designer with a background in Product and Outsourcing environments. Experienced in iOS and Android app development, User Experience (UX), and responsive design. Skilled in creating engaging visual communications, GUIs, and promotional assets across various platforms. Seeking new challenges with availability for relocation or remote work.

**Core Competencies**

*   **UI/UX & Web Design:** User Experience (UX), User Interface (UI), Responsive Design, Landing Pages, Graphical User Interface (GUI).
*   **Visual Communication:** Visual Communication, Promotion Design (Banners, POSM), Logo Design, Freehand Drawing.
*   **Motion & Interactive:** Animation, Lottie.

**Technical Proficiency**

*   **Design Software:** Figma, Sketch, Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Affinity, Procreate.
*   **Prototyping & CMS:** InVision, WordPress.
*   **Development:** HTML, CSS, JavaScript, Python Core.
*   **Analytics:** Hotjar.

**Project Management & Collaboration**

*   **Workflow:** Jira, Confluence, Trello, Redmine, Slack, Keybase.

**Professional Background**

*   Experienced in working within both **Product** and **Outsourcing** company structures."
56632,"**[Your Name]**

**Graphic & UI/UX Designer**

**Professional Summary**

Highly skilled Graphic and UI/UX Designer with 4 years of experience delivering engaging visual designs and brand identities. Possesses a strong portfolio demonstrating proficiency in industry-standard software and design principles including typography, color theory, and page layout. Adept at working within agile development processes, conducting user research, and executing projects from requirement gathering to polished presentation.

**Technical Skills & Tools**

*   **Design Software:** Adobe Photoshop, Illustrator, Adobe XD, Figma.
*   **Web & Print Design:** Typography, Color Theory, Page Layouts, Print Preparation, Merchandise Design.
*   **UX Methodology:** User Research, User Stories, Requirement Gathering, Agile Development.

**Professional Experience**

**Graphic Designer & UI/UX Designer** | Freelance
*(4 Years Experience)*

*   **Brand Identity Development:** Create comprehensive brand strategies and visual identities for diverse clients, including the design of logos and associated assets.
*   **Agency Collaboration:** Partnered with branding agency ""onO"" Nova Market to develop and deliver a complete brand identity for a furniture store client.
*   **Digital & Print Production:** Design high-quality assets for social media, landing pages, and physical merchandise, ensuring strict attention to detail in typography and print preparation.
*   **End-to-End Design Process:** Manage full project lifecycles by gathering requirements, conducting user research, creating user stories, and developing final visual designs.
*   **Client Relations:** Utilize strong verbal and written communication skills to present design concepts, document processes, and consult with clients in dynamic environments.

**Core Competencies**

*   **Analytical & Creative:** Combines strong logic and analytical skills with creativity to solve design challenges.
*   **Communication:** Excellent documentation and presentation skills with the ability to articulate complex design concepts.
*   **Work Ethic:** Dedicated to meeting deadlines with a positive attitude and a passion for creating impactful designs."
56633,"**[Your Name]**
[City, State, Zip Code] | [Phone Number] | [Email Address]

**Professional Summary**

Motivated design professional with a diligent work ethic and a strong commitment to productivity. Eager to leverage educational background and project experience in a challenging role. Dedicated to contributing to a collaborative team environment while further developing professional skills and applying design fundamentals.

**Core Competencies**

*   Design Fundamentals
*   Project Execution
*   Creative Application
*   Productivity & Workflow Management

**Project Experience**

**Independent Design Portfolio**
*   Executed two comprehensive non-commercial design projects, translating conceptual ideas into finished visual assets.
*   Applied core design principles to meet project requirements and objectives.
*   Demonstrated self-discipline and initiative by managing projects from start to completion.

**Education**

**Design Coursework** | [Name of Institution/Platform]
*   Successfully completed specialized education courses focused on design theory and application.
*   Acquired a strong foundation in essential design concepts and techniques."
56634,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio URL]

**Professional Summary**

Versatile Designer with a strong foundation in visual communication and digital asset creation. Skilled in utilizing the Adobe Creative Suite and Figma to deliver high-quality designs for both print and digital media. Expertise spans web design, motion graphics, illustration, and brand identity, with a focus on executing diverse creative projects from concept to final production.

**Technical Skills**

*   **Software Proficiency:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects
*   **Core Competencies:** Web Design & Prototyping, Visual Identity, Social Media Design, 2D Animation, Illustration, Character Design, Print Production, Photo Manipulation

**Professional Experience**

**[Your Title/Role]** | [Company Name - Optional] | [Dates]

*   Designed and prototyped interactive website layouts and user interfaces using Figma.
*   Created engaging digital assets, including promotional banners and social media content, to support digital campaigns.
*   Developed comprehensive visual identity materials to establish and maintain branding.
*   Produced custom illustrations and original 2D character designs.
*   Executed motion graphics and animation projects using Adobe After Effects.
*   Performed advanced photo manipulation and retouching for various design requirements.
*   Managed print production workflows to ensure the successful delivery of physical collateral."
56635,"**[Your Name]**
[Your Phone Number] | [Your Email Address]
[Link to Portfolio (Google Drive)]

**Professional Summary**

Accomplished Graphic Designer with a dedicated focus on transitioning into UI/UX design for mobile applications. leveraging a strong foundation in visual design to create engaging user experiences. Committed to applying extensive graphic design expertise while further developing technical skills in the UI/UX field.

**Professional Experience**

**Graphic Designer**
*   Executed a diverse range of graphic design projects, delivering high-quality visual assets for various initiatives.
*   Demonstrated extensive experience in design principles and visual communication through a comprehensive body of work.
*   Curated a professional portfolio showcasing a breadth of creative capabilities and current design projects (accessible via the provided link).

**Skills & Interests**

*   **Core Competencies:** Graphic Design, Visual Communication
*   **Focus Areas:** Mobile Application Design, UI/UX Design Principles"
56637,"**SVITLANA**
**Graphic & Web Designer | 8+ Years Experience**
*Seeking Full-Time Remote Position*

**PROFESSIONAL SUMMARY**

Deadline-driven creative with over 8 years of experience in graphic and web design, including 2+ years specialized in UI/UX. Currently working with the Libertex Group. Possesses a strong understanding of design briefs with a proven ability to implement effective solutions for both print and digital media. Adept at independent self-management and collaborative teamwork. Passionate about design and committed to continuous professional growth.

**PROFESSIONAL EXPERIENCE**

**LIBERTEX GROUP** | *Current*
**Graphic & Web Designer**

**Experience Overview**
*   **Graphic Design:** 8+ Years
*   **UI/UX Design:** 2+ Years

**Industry Focus**
FinTech, Trading, Investing, Marketing, Cryptocurrencies, Blockchain.

**CORE COMPETENCIES**

*   **UI/UX Design:** Creation of interface elements, layouts, style guides, and icons. Focused on user-centric and client-focused design principles.
*   **Advertising & Marketing:** Design of advertising materials, including web banners and social media creatives.
*   **Branding & Identity:** Development of brand books, pitch decks, and logo design.
*   **Corporate Communications:** Design of digital and print presentations, educational materials, and infographic design.
*   **Visual Assets:** Creation of illustrations, design drafts, and high-fidelity mock-ups.
*   **Event Design:** Design of materials for offline exhibitions.

**TECHNICAL SKILLS**

*   **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Adobe InDesign, Sketch, Principle.
*   **Project Management:** Jira, Trello, Asana.

**KEY STRENGTHS**

*   **Execution:** Strong understanding of briefs and deadline management.
*   **Soft Skills:** Analytical mindset, self-management, and cross-functional collaboration."
56638,"**[Your Name]**

**Professional Summary**

Purpose-driven Graphic and UI/UX Designer with eight years of experience in the design industry. Proven track record of delivering high-quality, unique design solutions with exceptional efficiency. Recognized by management for strong communication skills and the ability to work effectively within professional environments. Seeking a collaborative role within a team-oriented culture to utilize established expertise while contributing to engaging projects.

**Core Competencies**

*   Graphic Design
*   UI/UX Design
*   Project Lifecycle Delivery
*   Design Strategy & Solutions
*   Professional Communication
*   Workflow Efficiency

**Professional Experience**

**Design Professional** | [Location/Company Name Optional]
*8 Years Experience*

*   Executed numerous design projects across Graphic and UI/UX disciplines, consistently delivering unique solutions tailored to specific requirements.
*   Maintained a high standard of quality while ensuring rapid project delivery and operational efficiency.
*   Recognized by management for effectiveness in role and superior communication skills throughout the design process.
*   Collaborated effectively to drive project success, ensuring all deliverables met professional standards."
56639,"**[Your Name]**
**[Your Contact Information]**

**Professional Summary**

Enthusiastic UI/UX design student with a foundational understanding of composition and strong communication skills. Dedicated to acquiring new knowledge and seeking opportunities to contribute to engaging projects to gain practical experience within the field.

**Technical Skills**

*   **Advanced:** Figma, Adobe Illustrator, Adobe Photoshop
*   **Intermediate:** InVision, Adobe After Effects, Adobe Lightroom

**Core Competencies**

*   UI/UX Design Fundamentals
*   Visual Composition Basics
*   Communication"
56641,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | LinkedIn Profile URL

**Professional Summary**

Creative Graphic Designer and Illustrator with a strong foundation in digital art, print design, and visual storytelling. Proficient in industry-standard software including Adobe Creative Suite, Figma, and Procreate. Skilled in translating concepts into high-quality visual content, ranging from pattern design to narrative-based illustrations.

**Technical Skills**

*   **Design Software:** Adobe Photoshop, Adobe Illustrator, Figma, Procreate
*   **Core Competencies:** Digital Illustration (Graphic Tablet), Hand-drawing, Graphic Design, Pattern & Print Design, Photo Editing
*   **Administrative:** Microsoft Word, Microsoft Excel
*   **Languages:** English (B2)

**Professional Experience**

**Designer** | Photo Center | [Dates of Employment]

*   Leveraged Adobe Photoshop and Illustrator to execute a wide variety of graphic design projects.
*   Designed original patterns and prints while ensuring strict adherence to established company branding.
*   Developed custom product templates to streamline design workflows.
*   Illustrated portrait art utilizing diverse artistic styles and techniques.
*   Executed professional photo editing and retouching tasks.

**Illustrator** | [NFT Project Name] | [Dates of Employment]

*   Produced original digital illustrations for an NFT project, adapting to various artistic styles as required by project specifications.

**Illustrator** | [YouTube Channel Name] | [Dates of Employment]

*   Conceptualized and executed illustrations aligned with specific storytelling narratives for digital content."
56642,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link]

**PROFESSIONAL SUMMARY**

Versatile Graphic Designer and Illustrator with 5 years of professional experience in freelance and marketing agency environments. Specialized in combining graphic design with illustration and motion design to create engaging visual content. Experienced in collaborating with international organizations and providing art direction for animation. Utilizing skills in Adobe Creative Suite and Figma to create custom interface designs, character sets, and assets for edutainment or casual games.

**TECHNICAL SKILLS**

*   **Design & Illustration:** Graphic Design, Motion Design, Art Direction, Illustration, Drawing, UI/UX Design fundamentals.
*   **Software:** Adobe Creative Suite, Figma.
*   **Languages:** English (Fluent).

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & Illustrator** | Freelance & Agency Experience
*(5 Years Experience)*

*   **International Collaboration:** Partnered with major international organizations, including the World Anti-Doping Agency (WADA) and POLADA, to deliver high-quality design assets.
*   **Art Direction:** Directed visual styles and execution for animation projects, ensuring alignment with client vision and creative standards.
*   **Multidisciplinary Design:** executed diverse projects ranging from traditional graphic design to motion design and illustration.
*   **UI/UX & Digital Design:** Applied proficiency in Figma to support interface design projects and digital asset creation."
56643,"**[Your Name]**
**Graphic Design Specialist | SMM Manager**

**PROFESSIONAL EXPERIENCE**

**LG Electronics**
**Graphic Design Specialist & SMM Manager**

*   **Honors & Awards:** Recipient of ""The Most Innovative Employee of the Year"" Award (2019).

**Social Media Management & Strategy**
*   Directed the annual social media strategy, securing necessary approvals and maintaining oversight throughout the year.
*   Managed an external digital agency, facilitating communication between the agency and internal product managers.
*   Developed monthly content plans with situational adjustments; produced approximately 50% of all published content in-house.
*   Approved all visuals and copywriting to ensure brand consistency.
*   Compiled weekly reports presenting key performance indicators, competitor analysis, activity results, and upcoming visual/copy presentations.
*   Designed comprehensive social media assets, including profile headers, thumbnails, covers, Instagram guides, and Facebook shop elements.
*   Oversaw and managed social media contests.

**Advertising Campaigns & Visual Concepts**
*   Developed visual concepts for advertising campaigns across diverse platforms, including partner websites, mobile search, and social media.
*   Collaborated cross-functionally with sales and product marketing teams to produce high-quality visual assets.
*   Executed large-scale asset resizing projects, processing approximately 170 units.

**Printed Materials & POSM Production**
*   Created and adapted print materials for all product categories, including OOH, catalogs, leaflets, business cards, postcards, stickers, banners, and rollups.
*   Managed the production of Point of Sales Materials (POSM), including toppers, stickers, banners, and posters.
*   Handled pre-press processes to prepare all materials for printing.

**Web Design & Content**
*   Provided design support during the transition to a new website visual concept (2020).
*   Produced and adapted web banners for all product categories.
*   Created and adapted visual materials for online product cards."
56644,"**[Your Name]**
[Your Phone Number] | [Your Email Address]
[Link to Portfolio / Website] | [City, State, Zip Code]

**PROFESSIONAL SUMMARY**

Creative Freelance Graphic Designer with a focus on visual storytelling and brand identity. Experienced in executing diverse design projects, including logo creation, brand book development, and 2D art. Dedicated to delivering high-quality visual assets that align with client vision. Seeking remote and part-time opportunities to leverage design expertise.

**CORE COMPETENCIES**

*   Graphic Design
*   Brand Identity & Strategy
*   Logo Design & Typography
*   Brand Book Development
*   2D Art & Illustration

**PROFESSIONAL EXPERIENCE**

**Freelance Graphic Designer** | [Location/Remote]
*[Dates of Employment]*

*   Provide graphic design services to clients, translating requirements into visual concepts.
*   Design and refine custom logos to establish and enhance client brand identities.
*   Develop comprehensive brand books to ensure consistency across all visual media and communications.
*   Create original 2D art and assets for various digital and print projects.
*   Manage independent design projects from concept through to final delivery."
56645,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Graphic and UI/UX Designer based in Ukraine with proven experience in delivering commercial projects for diverse companies. Skilled in creating comprehensive digital and print solutions, ranging from mobile application interfaces to corporate brand identities. Dedicated to high-quality visual communication and seeking a collaborative team environment to contribute creative expertise.

**Core Competencies**

*   **UI/UX & Web Design:** Website and Landing Page Design/Redesign, Mobile Application Design, Adaptive Design.
*   **Branding & Identity:** Corporate Style Development, Brand Identity Creation.
*   **Digital Marketing:** Web Banners, Social Media Graphics, Digital Marketing Assets.
*   **Visual Communication:** Infographics, Presentation Design, Illustration.
*   **Print & Merchandise:** POS Material Design, Print Preparation, Souvenir Product Development.

**Professional Experience**

**Graphic & UI/UX Designer**
*Commercial Projects for Various Companies*

*   Executed commercial design projects focusing on the creation and redesign of websites and landing pages.
*   Developed user interfaces for mobile applications, ensuring adaptive design standards were met.
*   Created distinct corporate styles and brand identities for diverse business clients.
*   Produced engaging visual content for digital marketing campaigns, including web banners and social media graphics.
*   Designed Point of Sale (POS) materials and souvenir products, handling technical preparation for print.
*   Developed custom illustrations, infographics, and professional presentations to support client objectives."
56646,"**Serhii**
Kyiv, Ukraine

**PROFESSIONAL SUMMARY**

Versatile Graphic Designer with over 14 years of comprehensive experience in the visual arts industry. Proficient in a wide range of design disciplines including print, packaging, and digital media. Expert in taking projects from concept to pre-print preparation. Registered Private Entrepreneur seeking remote, part-time, or project-based opportunities to leverage extensive design expertise.

**CORE COMPETENCIES**

**Print & Packaging Design**
*   Package Design (Gift boxes, cartons, and transport boxes)
*   Catalog Layout and Editorial Design
*   Poster and Flyer Design
*   Pre-Print Preparation

**Branding & Digital Design**
*   Logo Design and Corporate Identity
*   Social Media Banner Design
*   Infographic Design
*   Collage Creation

**Design Fundamentals**
*   Typography
*   Color Theory
*   Composition

**TECHNICAL SKILLS**

**Expert Proficiency**
*   Adobe Photoshop
*   Adobe Illustrator
*   Adobe InDesign

**Foundational Knowledge**
*   UX/UI Design
*   Figma

**PROFESSIONAL EXPERIENCE**

**Graphic Design Professional** | 14+ Years
*    extensive background executing design projects across various mediums.
*   Specialized in creating visual assets for commercial packaging, marketing materials, and corporate branding.

**LANGUAGES**

*   **English:** Intermediate (B1/B2)

**ADDITIONAL INFORMATION**

*   **Work Status:** Registered Private Entrepreneur.
*   **Availability:** Available for remote, part-time, and project-based roles."
56647,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Branding Specialist with nine years of experience delivering impactful visual solutions. Proven track record in developing distinct design strategies that resonate with target audiences. Expertise encompasses logo design, corporate identity, brand guidelines, and website design. Possesses unique technical advantages in production and quality control as the owner of a printing house.

**Technical Skills & Expertise**

*   **Design Software:** Adobe Illustrator, Adobe Photoshop, Figma.
*   **Core Competencies:** Studio-Level Design, Logo Design, Corporate Identity, Brand Books, Guidelines, Website Design.
*   **Production Expertise:** Print Production, Pre-press (Printing House Owner).

**Professional Experience**

**Branding Professional** | (9 Years Experience)

*   Develop comprehensive branding solutions for diverse clients, specializing in logo design, corporate identity, brand books, and visual guidelines.
*   Execute website design projects that align with established brand identities.
*   Leverage technical printing expertise to ensure high-quality physical production of design assets.
*   Manage client relationships through responsive communication, incorporating feedback and revisions to ensure project satisfaction.
*   Ensure efficient workflow management, consistently meeting strict deadlines and project timelines.

**Professional Objectives**

Dedicated to leveraging a strong foundation in visual design and branding to expand expertise into UX/UI design."
56648,"**ANASTASIA**
**Graphic Designer | Branding & Web Development**
Ukraine | Portfolio: Behance – besdna

**PROFESSIONAL SUMMARY**

Co-founder and Graphic Designer specializing in branding and web development. Successfully established Otrazhenie Studio as a business operating solely on referrals, a testament to high client satisfaction and retention. Passionate about delivering innovative solutions and impactful design strategies. Seeking a collaborative environment to apply expertise in visual identity, team leadership, and creative direction.

**PROFESSIONAL EXPERIENCE**

**Co-founder**
*Otrazhenie Studio*

*   **Design Leadership & Management:** Led and mentored a three-person design team, providing guidance on all aspects of project execution. Orchestrated the design, development, and implementation of comprehensive communication materials.
*   **Branding Strategy:** Spearheaded branding development for diverse industries, including fashion, architecture, education, HoReCa, finance, and industrial sectors. Advised clients on graphic design strategies directly aligned with their marketing goals.
*   **Visual Identity:** Developed complete visual design styles for brands, encompassing logo creation, slogan development, font selection, color palettes, custom illustrations, and photography direction.
*   **Web Design & UI:** Created user-focused interfaces and adaptive layouts using Figma. Managed the developer workflow to ensure technical implementation aligned with business objectives.
*   **Marketing Collateral:** Designed extensive promotional materials for both print and digital media, including brochures, infographics, billboards, vehicle wraps, flyers, postcards, email marketing templates, social media ads, and web graphics.
*   **Production Management:** Oversaw the entire print production lifecycle, from initial layout creation to final delivery. Managed photo and video production efforts to generate unique custom illustrations and business assets.
*   **Communication:** Developed engaging presentations designed to captivate audiences and effectively communicate key business messages."
56649,"**[Your Name]**

**Summary**

Graphic Designer with over four years of experience specializing in visual communication and brand identity. Proven track record of driving successful information campaigns and outreach initiatives through high-impact print and digital assets.

**Experience**

**Graphic Designer** | [University Name]

*   Designed comprehensive visual assets for university information campaigns, including banners, flyers, advertisements, greeting cards, presentations, posters, and infographics for both print and digital media.
*   Spearheaded visual strategy for major institutional events:
    *   **100th Anniversary Celebration:** Executed logo adaptations, branded merchandise, and high-level presentation materials.
    *   **Annual Admissions Campaign:** Contributed to media plan development and designed print products, billboards, and digital banners for social media and the official website.
*   Contributed to a marketing strategy resulting in 73% of applicants identifying social networks and the official website as their primary information source.
*   Facilitated the establishment of a new international partnership through a presentation delivered at an international conference in Budapest.

**Freelance Graphic Designer** | [Foreign Beauty School]

*   Developed cohesive social media assets and custom packaging designs to align with brand identity.
*   Designed educational materials, including technical diagrams and step-by-step instructional guides.

**Skills**

*   Logo Creation & Brand Identity
*   Print & Digital Advertising Design
*   Presentation Design
*   Technical Design, Mockups & Pre-press Preparation
*   Photography & Image Editing

**Awards and Recognition**

*   **Winner, ""Nanoscience as Art"" Contest (IEEE NAP-2021):** Awarded for the work ""Invisible Orchid,"" a scanning electron microscope (SEM) image of calcium carbonate powder.
*   **PROM Program Participant:** Conducted SEM investigations as part of the ""International Scholarship Exchange of PhD Candidates and Academic Staff"" at Lodz University of Technology."
56650,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL] | [Your Portfolio URL]

**Professional Summary**

Creative Graphic Designer with two years of professional experience in visual communication, branding, and digital illustration. Proficient in industry-standard tools including Figma and the full Adobe Creative Suite (Photoshop, Illustrator, InDesign, Premiere Pro, After Effects). Proven track record of delivering high-quality design assets for marketing campaigns and brand identity projects. Dedicated to professional excellence and seeking to contribute expertise to a collaborative creative environment.

**Professional Experience**

**Graphic Designer** | [Your Company Name] | [Dates of Employment]

*   Designed and developed comprehensive brand identity systems for a startup organization.
*   Produced engaging visuals and layout designs to support successful marketing campaigns.
*   Managed multiple simultaneous design projects, consistently meeting strict deadlines and project requirements.
*   Recognized by management for exceptional creativity and meticulous attention to detail in design execution.

**Technical Skills**

*   **Software:** Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, Adobe Figma.
*   **Core Competencies:** Graphic Design Principles, Visual Communication, Branding & Identity, Digital Illustration, Layout Design, Marketing Materials, Project Management."
56651,"**Jane Doe**
(Phone Number) | (Email Address) | (LinkedIn Profile URL)

**Professional Summary**
UI/UX Designer with four years of experience utilizing industry-standard design and prototyping tools. Dedicated professional with a specific passion for enterprise startups and projects.

**Technical Skills**
*   **Design & Prototyping:** Figma, Sketch, Axure, Principle
*   **Adobe Creative Suite:** Photoshop, Illustrator"
56652,"**[Your Name]**
**[Your Contact Information]**

**Professional Summary**

Versatile Designer with 9 years of experience across digital and print mediums. Proven expertise in supporting product development through high-quality UI design, prototyping, and creative asset production. Skilled in utilizing Figma and Adobe Creative Cloud to deliver engaging visual solutions for landing pages, advertising, and promotional campaigns. Committed to driving project success through adaptable and results-oriented design strategies.

**Skills**

*   **Design Disciplines:** UI Design, Prototyping, Digital & Print Design, Landing Page Design, Advertising & Promotional Creatives.
*   **Software Proficiency:** Figma, Adobe Creative Cloud (Adobe CC), Autodesk 3ds Max (Basic Knowledge).

**Professional Experience**

**[Company Name]** | Product & Graphic Designer
*Duration: 6 Years*

*   Directed visual strategies for product development, managing design requirements across the full project lifecycle.
*   Designed and executed user interfaces (UI) and interactive prototypes to enhance product usability.
*   Created high-impact digital assets, including advertising banners, promotional creatives, and landing pages.
*   Managed print production workflows, delivering polished designs for physical media.
*   Collaborated with teams to fulfill diverse design needs for various product initiatives and marketing campaigns.

**Freelance Designer** | Independent Creative
*Duration: 3 Years*

*   Provided comprehensive design services, adapting creative approach to meet specific client specifications.
*   Managed diverse project needs, delivering quality assets across multiple design categories."
56653,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Graphic Designer and Marketing Specialist with three years of experience creating visual assets and digital content. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator. Expertise encompasses the design of social media posts, landing pages, sticker packs, and general marketing materials.

**Core Competencies**

*   **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator.
*   **Visual Design:** Social Media Post Design, Landing Page Design, Sticker Pack Design, Marketing Materials Design.

**Professional Experience**

**Graphic Designer-Marketing Specialist**
*[Current Company/Organization]* | *[Dates of Employment]*

**Graphic Designer**
*[Previous Company/Organization]* | *[Dates of Employment]*"
