,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
98262,"# PROFESSIONAL EXPERIENCE

## Design Projects

**Tattoo Salon Website Redesign**
- Conducted competitor analysis and audience research
- Created UI-kit and comprehensive design system
- Developed responsive designs for desktop, tablet, and mobile versions
- Implemented interactive links and functionality

**Landing Page Project**
- Selected design references and created mood board
- Developed UI-kit and designed main page
- Delivered self-directed project

**Travel Organization Web Service**
- Collaborated in team environment on full-scale project
- Analyzed competitors and target audience
- Conducted user flow and customer journey mapping
- Established design system and design standards
- Created responsive layouts for tablet and mobile versions
- Implemented interactive links and navigation

## CORE COMPETENCIES

Competitor and market analysis | UI/UX design and prototyping | Minimalist web design | Responsive design | CRM system design | Mobile application design | Mood board creation | Design systems and UI-kits

## PROFESSIONAL VALUES

Results-oriented design approach | Collaborative team environment | Respect and professional relationships | Open communication | Commitment to continuous learning and development"
98263,"# Resume

## Professional Summary
Skilled designer with expertise in full-cycle design and product development. Demonstrated ability to establish strong team communication and drive successful cross-functional collaboration. Proven track record of creating user-centered solutions that enhance user experience and deliver measurable business results.

## Projects

**Tattoo Company Website Redesign** | Full Cycle Design
- Redesigned company website to align with target audience needs and modern design trends
- Improved user experience and interface clarity, resulting in enhanced conversion rates and customer acquisition

**Easy Yoga Web Service** | Desktop and Responsive Design
- Designed and developed comprehensive web service from inception to launch
- Built platform enabling seamless communication between yoga instructors and students seeking personalized instruction

**Mobile Application for Performance Improvement** | Design
- Designed mobile application to optimize daily planning and productivity
- Developed integrated features for physical and mental health tracking and monitoring"
98264,"**UX/UI Designer & Team Leader**

**Professional Experience**

**Team Leader & UX/UI Designer – Travelhaven**
Led design initiatives and coordinated team efforts on a travel-focused project, overseeing design strategy and team collaboration.

**Social Impact Project**
Developed user experience for a volunteer coordination website, contributing to the platform's design and functionality.

**Projects**

**Alaska Pete's Roadhouse Grille Website Redesign**
- Location: Seven Bridge Rd, USA
- Website: alaskapetes.com
- Conducted competitive analysis and market research to identify successful design solutions and industry best practices
- Redesigned website informed by competitor insights and strategic research findings

**Budget-Friendly Travel Web Service**
- Designed comprehensive web service interface for an international accommodation and work-exchange platform
- Developed peer-to-peer hosting model enabling young travelers and students to experience new countries through work exchange as an alternative to traditional paid accommodation
- Targeted cost-conscious students and young professionals seeking affordable international travel and cultural immersion experiences"
98265,"# PROFESSIONAL EXPERIENCE & PROJECTS

## Team Leader
**SweepUp Cleaning Web-service**
Led team project to create a convenient cleaning service platform for choosing and ordering specialists. Conducted detailed market and competitor analysis, developed User Personas, JTBD framework, Customer Journey Maps, and multiple User flows. Executed UI stage including prototypes, UI design, relinking, and responsive adaptation within existing design system.
- Tools: Figma, Photoshop, Illustrator

## Design Contributor
**GoIT Addendum Project**
Created landing page design that was implemented by student developers.

# PORTFOLIO PROJECTS

## TimeWell Daily Planner Mobile App
Designed mobile app to help users manage time effectively, plan tasks, and achieve goals. Conducted competitive analysis, created User Personas and User flows, developed high-fidelity prototypes and UI design with detailed animation specifications. Project in progress.
- Tools: Figma, Photoshop, Illustrator, Protopie

## Bravo Furniture Site Redesign
Redesigned website for luxury furniture store. Performed market and competitor analysis, created screen prototypes and UI design, developed responsive layouts for mobile and tablet versions, and built comprehensive UI kit.
- Tools: Figma, Photoshop, Illustrator

## Citroen C4 Landing Page
Developed landing page enabling test drive bookings for new Citroen vehicle. Completed market analysis, competitor research, created moodboard and wireframes, and designed final animated interface.
- Tools: Figma"
98266,"# RESUME

## PROFESSIONAL EXPERIENCE

**Team Leader - Travel Joy**
Web Service, Full Cycle Team Design

Led design team in developing a web service to facilitate work and rest in new environments. Organized and monitored work processes while conducting competitor analysis, creating user flows, site maps, and developing wireframes and prototypes in Figma. Managed team collaboration within design system constraints to deliver a web service with convenient functionality and user-friendly interface for travelers.

**Designer - Nice View**
Landing Page, Full Cycle Design

Designed landing page for residential complex apartment sales based on client requirements. Conducted competitor analysis and target audience research to inform design decisions. Created low-fidelity and high-fidelity prototypes in Figma. Selected fonts and color palette to appeal to potential buyers. Delivered final landing page design with application submission and feedback functionality that met client needs and visual appeal objectives.

## CURRENT PROJECTS

**Mobile App for Table Booking in Restaurants**
Currently working in team capacity on mobile app development for restaurant table booking."
98267,"# RESUME

**Volunteering Projects Aggregator for Ukraine**

Developed a user-friendly platform that aggregates and showcases volunteering initiatives throughout Ukraine with detailed project information, donation functionality, and discovery tools for related projects and volunteer organizations to drive engagement and support for community causes.

**Kickstarter Landing Page – Transformable Nightstand**

Designed and built an adaptive landing page promoting an innovative nightstand-to-chair furniture product using the AIDA marketing framework to optimize user conversion. Conducted competitor analysis, performed reference selection, created high-fidelity wireframes, and developed responsive web design.

**Rihanna Information & Engagement Landing Page**

Created an engaging landing page introducing users to Rihanna and building interest in her work. Demonstrated expertise in mood boarding, reference curation, wireframing, complex composition, typography, and interactive prototyping."
98268,"# Resume

## Projects

**Mobile Event App** (In Progress)

**Website Redesign - A Kids Place Childcare**
Redesigned preschool website for parents through full cycle development. Conducted competitor analysis to enhance user experience and site appeal. Implemented responsive design for mobile and tablet devices.

**Pet Service** (Team Project)
Designed webservice for pet search through full cycle development. Built centralized platform enabling users to access pet-related services in one location. Conducted target audience and market research. Collaborated with team to develop comprehensive project scope. Implemented responsive design for mobile and tablet devices."
98269,"# PROFESSIONAL SUMMARY

User Experience and UI Designer with coursework in UX fundamentals and web design. Demonstrated expertise in UX research, problem-solving, and UI design across both independent and collaborative team environments.

## EDUCATION & CERTIFICATIONS

**Projector UX Beginner Course** – Completed
**KronaStudio & School Web Design Course** – Completed

## PROFESSIONAL EXPERIENCE

**University IT HUB – Volunteer Designer** | 1 year
- Redesigned university websites and designed interfaces for university-specific applications
- Conducted UX research and evaluated design solutions to inform strategic decision-making
- Managed tasks and collaborated with team members using Jira
- Partnered with developers and project managers to strengthen cross-functional teamwork and communication
- Rapidly improved UI design skills through hands-on implementation with UI libraries and mentorship

**Web Development Internship** | 2 months
- Collaborated with development team on project initiatives
- Contributed to design and development efforts

## CORE COMPETENCIES

- UX Research & Problem-Solving
- UI Design & Development
- Stakeholder Management
- Team Collaboration
- Jira & Task Management
- UI Libraries
- Website Design & Redesign"
98270,"# RESUME

**PROFESSIONAL EXPERIENCE**

**3D Graphic Specialist** — HOVER Ukraine (Feb 2021 - Jun 2023)
- Modeled 3D exteriors and interiors using SketchUp
- Reviewed and quality-checked finished 3D models from other team members

**PROJECT EXPERIENCE**

**Sophie Scholl Realschule Website Redesign** — UI/UX Study Project
- Redesigned school website into an aesthetically pleasing, user-friendly, and informative online platform
- Presented the school's mission, values, and offerings to its audience
- Conducted research and analysis of competitor school websites and web design best practices in the education sector
- Developed competitive and audience analysis skills throughout the project

**YoHome: Web Service for Hosting and Renting Housing** — UI/UX Study Project
- Led the YoHome team in developing a housing rental platform
- Designed interface from scratch with simple user flow
- Created thoughtful details and stylization for the service
- Implemented responsive design with minimal layout changes across devices

**SKILLS**

UI/UX Design, 3D Modeling (Exteriors and Interiors), SketchUp, HTML, CSS, Responsive Design, Competitive Analysis, Audience Analysis, Quality Assurance and Review"
98271,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
Versatile design professional with 4 years of experience across multiple design disciplines, including interior, graphic, industrial, and web design. Master's degree holder with demonstrated expertise in UI/UX design and commitment to continuous skill development.

## EDUCATION
Master's Degree in Environmental and Industrial Design

## PROFESSIONAL EXPERIENCE

**Interior Designer** | Freelancer & Company-Based
- Developed and executed interior design projects
- Managed projects independently as a freelancer and collaborated within company environments

**Graphic Designer**
- Created logos, business cards, and banners
- Produced original artwork and paintings

## SPECIALIZED TRAINING
- Fundamentals of Web Design | GENIUS & Cases Courses (2022 onwards)
- Working with Figma | GENIUS & Cases Courses
- UX/UI: Projecting and Design of Interfaces | GENIUS & Cases Courses

## CORE COMPETENCIES
- UI/UX Design
- Interior Design
- Graphic Design
- Industrial Design
- Web Design
- Figma
- Logo Design
- Brand Identity

## LANGUAGE PROFICIENCY
- English: B1
- Polish: B2
- Spanish: B1

## PROFESSIONAL OBJECTIVE
Advance expertise in UI/UX design and establish career growth in this specialized field."
98272,"# UI/UX Designer

## Professional Summary

Results-driven UI/UX designer with 6 months of hands-on experience creating compelling, conversion-focused designs across landing pages, e-commerce platforms, and mobile applications. Skilled at executing comprehensive design processes—from competitor analysis and user flows through wireframing, prototyping, and responsive implementation. Proven ability to translate user needs into intuitive, visually appealing interfaces while collaborating effectively with development teams.

## Core Competencies

- Full UI/UX Design Process
- Competitor Analysis & User Flow Mapping
- Wireframing & Prototyping
- Responsive Design
- Mobile Application Design (iOS, Android)
- Website Redesign & Animation
- Cross-functional Collaboration
- Google Material Design Guidelines
- Human Interface Guidelines

## Professional Experience

**UI/UX Designer** – 6 months
- Designed interfaces for landing pages, e-commerce platforms, portfolio sites, and mobile applications (iOS, Android)
- Executed full design process including competitor analysis, user flows, wireframing, prototyping, and responsive design implementation
- Created optimized UI designs for web, mobile, and tablet experiences
- Implemented website animations
- Collaborated with front-end development teams to deliver cohesive design solutions

## Education & Training

**UI/UX Design Coursework** – 5 months
- Completed in-depth study of UI/UX design principles and technologies
- Mastered Google Material Design Guidelines and Human Interface Guidelines
- Applied design knowledge to coursework projects"
98273,"# RESUME

**PROFESSIONAL EXPERIENCE**

Freelance Designer | 6 months
- Created social media content including banners for Instagram, Twitter, and Facebook
- Designed landing pages and banners
- Built blog using Webflow
- Assisted in planning applications and websites

**SKILLS & KNOWLEDGE**

- User-centered design
- UX design process
- Accessibility and equity-focused design
- Design sprints
- Webflow
- Social media design

**EDUCATION**

Hillel IT School — Course Completion"
98274,"**UI/UX DESIGNER**

Professional Summary:
As a Junior UI/UX Designer, I am passionate about creating effective and aesthetically pleasing designs that improve user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services. I am committed to continuously expanding my knowledge and skills in design.

Education:
Completed 6-month UI/UX Design course

Project Experience:

**""Wish"" - Gift Delivery Mobile App**
Designed a flower and gift delivery application featuring product selection and delivery scheduling functionality. Executed full-cycle design process including competitive analysis, UX personas, user flow, wireframes, and UI design.

**""Fitroom"" - Corporate Website Redesign**
Redesigned website for a fitness studio with focus on sales optimization. Performed competitor analysis, established stylistic direction, built prototypes, optimized interfaces for phone and tablet, and developed UI kit.

**""VDOMA"" - Ukrainian Couch-Surfing Web Service**
Designed web service to facilitate affordable stays and promote Ukrainian tourism. Executed full-cycle design process including competitive analysis, UX personas, empathy map, sitemap, MVP definition, and user flow diagrams. Created tablet and mobile adaptations and conducted A/B testing for iterative improvements.

Additional Design Work:
- Accounting services table UI for cleaning company
- Website sidebar UI
- Team page with AutoLayout-based paddings
- User page for online learning resource
- Ed-tech product dashboard for school students
- Desktop start screen UI with animation
- Card-to-card money transfer confirmation modal
- Administrator dashboard for user rights management"
98275,"# JUNIOR UX/UI DESIGNER

## PROFESSIONAL SUMMARY

Passionate and creative Junior UX/UI Designer driven by a love of design and commitment to creating exceptional user experiences. Strong foundation in design principles with a keen eye for aesthetics. Dedicated to staying current with industry trends and evolving technologies. Committed to collaborating on challenging projects while continuously improving design solutions.

## PROJECT EXPERIENCE

**Petsearch – Web Service for Animals**

Designed comprehensive web service to help shelters and promote volunteerism by connecting pet owners with lost animals and individuals who have found pets. Developed all UI elements with focus on creating a user-friendly interface that enables users to achieve desired results quickly and efficiently. Incorporated extensive functionality to serve multiple user needs.

**A Kids Place Childcare – Website Redesign**

Redesigned children's project website through technical and research analysis of existing design and competitor websites. Analyzed three pages to identify weaknesses and strengths, determined user expectations, and developed page visuals based on comprehensive research findings. Created documentation including a complete UI kit with all designed and implemented UI elements.

**FlowerLover – Landing Page**

Designed landing page for flower shop featuring multiple elements including buttons and inputs. Completed thorough research including competitor analysis, moodboard creation, page structure determination, and color palette selection based on natural flower colors.

## CORE COMPETENCIES

User Experience Design • User Interface Design • Design Principles • Research & Analysis • Competitor Analysis • UI Kit Development • Visual Design"
98276,"# JUNIOR UI/UX DESIGNER

## ABOUT ME

Junior UI/UX designer with a strong desire to grow and develop in this field. I have experience working on both team and individual design projects, with a strong foundation in design principles including color theory, typography, and layout design. I am seeking an opportunity to expand my experience and contribute to creating exceptional user experiences while continuing to learn and develop professionally.

## SKILLS & EXPERIENCE

**Design Proficiency**
- Color theory, typography, and layout design
- User interface and user experience design principles
- Portfolio development and continuous quality improvement

**Technical & Professional Development**
- Continuous self-education in UI/UX design through online courses and industry literature
- Exploration of cutting-edge design technologies and current trends
- Collaborative project experience with experienced designers

## PROJECT EXPERIENCE

**Website Redesign | Tattoo Studio**
*December 2022 – January 2023*
- Redesigned tattoo studio website to create a modern, user-friendly interface with improved usability
- Enhanced navigation elements and implemented new ordering functionality for tattoo services
- Elevated presentation of tattoo artists' work through higher quality imagery
- Integrated customer reviews into the design to build trust and engagement

**UI/UX Design | Service for Finding Lost Animals**
*February 2023 – March 2023*
- Designed web service functionality enabling users to create and publish lost and found pet advertisements
- Developed an efficient platform for streamlined information dissemination and communication between pet owners
- Collaborated with experienced designers to develop and refine professional skills
- Stayed current with emerging technologies and trends in UI/UX design"
98277,"# UX/UI Designer

Creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing and user-centered digital products. Specialized experience designing websites, web services, mobile apps, logos, animations, advertisements, and posters.

## Work Experience

**Korg Sound Library Cover Design**
Created two professional illustrations serving as covers for sound libraries. Conducted thorough analysis of reference materials, incorporated iterative client feedback, and delivered final designs that exceeded client expectations.

**Sinevibes Logo (3D Animation)**
Designed and produced a polished animated 3D logo for video intro purposes. Executed full production cycle including modeling, shading, and final rendering with client approval.

## Projects

**UrbanFest Landing Page Design**
Designed a minimalistic landing page from concept through delivery. Developed comprehensive moodboard and wireframe before executing full visual design for UrbanFest website.

**CustomConcepts Tattoo Website Redesign**
Redesigned existing tattoo website through competitive analysis and interactive prototyping. Delivered a modern, functional, and aesthetically pleasing website design that meaningfully improved user experience.

**Web Service UX and UI Design**
Designed end-to-end user experience and interface for web service focused on finding affordable accommodation abroad. Conducted comprehensive UX research including user personas and customer journey mapping. Developed information architecture, user flows, wireframes, and complete design system with full-color specifications.

**Beatcraft Mobile App Design**
Designed intuitive and engaging mobile app experience for music creation and discovery. Performed detailed target audience analysis, created comprehensive wireframes, and designed complete interface including security features and in-app achievement systems.

## About Me

Fast learner with strong attention to detail, experienced in remote collaboration and working effectively with talented teams while embracing new design challenges."
98278,"# UI/UX Designer

## About Me
I am a dedicated UI/UX designer from Ukraine, specializing in creating intuitive, convenient and beautiful design projects. I believe that understanding user problems is the starting point for creating design solutions. My passion for design, attention to detail, and willingness to learn and grow make me a valuable asset to any team committed to creating outstanding products.

## Core Skills
· Figma (auto layout, styles, components, design systems)
· User-centered design with business requirements analysis
· UX problem identification and troubleshooting
· User research and competitive analysis
· Wireframing and prototyping
· Responsive and adaptive design
· Animation and interactive prototypes

## Project Experience

**Lunushka Shop Mobile App**
Designed a mobile application for an online store. Conducted competitive analysis and target audience research to develop personas and identify user needs, wishes and fears. Created user flows, detailed wireframes, intuitive design, onboarding experience, and animated prototypes using Protopie.

**Globetrot Web Service**
Developed a web service for organizing economic stays in different countries. Conducted in-depth research to identify problems and design solutions. Delivered detailed wireframes, UI design, adaptive design and animated prototypes for the web service.

**Tattoo Studio Website Redesign**
Redesigned an existing website through detailed analysis. Developed modern design with an understandable interface and informative pages to attract new customers and tattoo artists.

**Flower Shop with Delivery Landing Page**
Created a landing page for a flower shop with delivery service. Conducted user research and competitor analysis to develop personas. Created moodboard and prototype, then designed an interface with convenient navigation. Optimized the landing page for tablets and mobile devices."
98279,"**JUNIOR UI/UX DESIGNER**

PROFESSIONAL SUMMARY
Junior UI/UX Designer with proven experience in comprehensive design cycles including user research, analysis, ideation, prototyping, and visual interface design. Specialized expertise in creating intuitive, user-friendly interfaces with seamless navigation and responsive adaptation. Skilled at identifying usability gaps, developing data-driven solutions, and delivering designs across multiple devices.

PROJECT EXPERIENCE

Website Redesign | MIMINO Restaurant & Hotel Complex
October 2022 – November 2023
Redesigned website to enhance visual appeal, modernize aesthetics, and improve overall user experience. Conducted comprehensive website analysis and reference research to identify usability gaps and develop effective solutions. Delivered detailed prototypes, comprehensive visual design, and responsive adaptation across multiple devices.

Pet Search Webservice | NADIYA
December 2022 – February 2023
Collaborated on webservice platform designed to help pet owners locate lost animals efficiently. Executed competitor analysis, user persona development, sitemap creation, high-fidelity prototyping, user interface design, and multi-device adaptation. Developed strong communication, organizational, and time-management skills in collaborative team environment.

Landing Page | Yoga Studio
Designed and developed complete landing page for yoga studio, executing full design process from concept through final responsive adaptation across devices.

CORE COMPETENCIES
User Interface Design | User Experience Design | Prototyping | Wireframing | Visual Design | User Research | Responsive Design | Design Analysis"
98280,"**Junior UX/UI Designer**

**Core Competencies**
- Design Tools: Figma, Adobe Photoshop, Adobe Illustrator, Canva
- UX/UI Skills: Design Systems, User Flows, Customer Journey Mapping
- Web Analysis: SimilarWeb
- Self-motivated, detail-oriented professional passionate about creating high-quality digital products

**Professional Experience**

**Barbershop - Landing Page**
Designed and created a comprehensive landing page for a new barbershop in Ukraine to promote services and attract potential customers using Figma and Adobe Photoshop.

**India Cafe - Website Redesign**
Modernized an outdated cafe website to increase visitor engagement and showcase key advantages. Informed redesign strategy through competitor analysis and user interviews, delivering a high-performing website.

**Look for - Web Service**
Developed intuitive interfaces for a multi-stage accommodation platform with focus on user needs and safety. Designed comprehensive interfaces across three deployment phases—user-end, payment, and admin-side—informed by target audience analysis using Figma, Canva, and Adobe Illustrator.

**Professional Goal**
Seeking a collaborative team environment to create high-quality digital products while advancing expertise in web design and user experience."
98281,"# UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Result-oriented UI/UX Designer with 8 years of graphic design experience and 3 years of leadership. Passionate about creating intuitive digital products with modern interfaces and user-centered design. Proven track record of delivering designs that enhance usability and support business growth. Strong team player committed to professional development and delivering exceptional results.

## PROFESSIONAL EXPERIENCE

**Chief Designer (Head of Department)** | 3 years
- Organized and prepared creative projects for the company
- Developed concepts and designs aligned with corporate style guidelines
- Managed department workflow and coordinated team efforts
- Oversaw implementation of multiple design projects
- Directed redesign of company website
- Led interface design project for popcorn machine
- Spearheaded landing page design for KinoboardPRO
- Managed design projects for city café and conference hall interior design

**Graphic Designer** | 8 years
- Extensive experience in graphic design and visual communication

## EDUCATION & TRAINING

UI/UX Design Course

## PROJECT EXPERIENCE

**Website Redesign - MAINSAIL Realty Company**
- Conducted competitor research and analysis
- Created wireframes and UI-kit
- Adapted design for tablet and mobile devices
- Organized content into logical sections with improved navigation
- Maintained original color scheme while modernizing design

**Interface Redesign - Popcorn Machine, Kinoprokat-Sumy**
- Redesigned standard interface in company colors and style
- Updated background, buttons, fonts, and icon design
- Developed animation elements
- Maintained original button size and placement

**Additional Projects Completed:**
- Adaptive redesign of website
- Adaptive design of web service for hiring employees (cleaning company)
- Development of mobile application for restaurant table booking
- Multiple short-term web design projects

## CORE COMPETENCIES

UI/UX Design | Adaptive Design | Web Design | Mobile Application Design | Wireframing | Interface Design | Project Organization | Team Leadership | Creative Concept Development

## WHAT I'M LOOKING FOR

Remote work opportunity with flexible schedule | Career growth | Financial growth | Collaborative team environment"
98282,"# UI-UX Designer

**About Me**

Motivated junior UI-UX designer with a background in HR and a strong passion for design and innovation. I create visually appealing and user-friendly websites and apps with a commitment to continuous learning and improvement. Eager to contribute to innovative and growing companies while collaborating with talented teams.

**Project Experience**

**Eventize – Mobile Application (2023)**
Designed a mobile application that enables users to find and book venues, discover events, and plan special occasions. Developed comprehensive event creation and management capabilities, including filtering items by category and organizing important tasks.

**Guesture – Web Application (2022)**
Designed a web service connecting visitors with hosts through work-exchange and payment-based guest accommodation models. Targeted students and young people seeking affordable travel opportunities worldwide.

**What I'm Looking For**

Full-time or part-time position with an innovative and growing company. Fast learner who is responsible and ready for challenging tasks."
98283,"# UX/UI Designer & Team Leader

## Professional Summary

Results-driven UX/UI Designer with strong attention to detail and commitment to delivering high-quality work. Prioritize user experience (65% focus) while maintaining visual excellence (35% focus). Currently serving as Team Leader for web service project, managing organizational aspects, contributing to design work, and supporting team members. Aspiring to establish a professional brand in UX/UI design.

## Experience

**Team Leader**
Web Service ""Shine"" (Cleaning Companies) - Pet Project
- Lead team on web service project
- Manage organizational aspects and team coordination
- Actively participate in project development
- Inspire and support team members

**Team Leader**
Coursework Team Project
- Lead team collaborating on coursework

## Projects

**Landing Page: ""FlowerLover""**
Pet Project - Flower Delivery Service
- Designed minimalistic one-page website balancing image-heavy content with clean user experience
- Conducted competitor and target audience analysis
- Completed full design workflow: references, moodboard, wireframes, prototype, UI-kit
- Implemented subtle animations
- Created responsive adaptations for tablet and mobile devices
- Published case study on Behance

**Website Redesign: ""A Kids Place Childcare""**
Modern Kindergarten Website
- Redesigned website to increase client attraction and engagement
- Analyzed existing site problems and target audience needs
- Conducted competitor and reference research
- Completed design process: moodboard, wireframes, prototypes, UI-kit
- Implemented responsive adaptations and animations
- Published case study on Behance
- Successfully achieved project goals and improved site performance

## Core Values

Committed to working with clients and partners who value quality work and time investment."
98284,"PROFESSIONAL SUMMARY

Junior UI/UX Designer with foundational knowledge in web design principles, user interaction, and digital design tools. Proven expertise in user-centered design, visual composition, and digital interface development. Seeking a Junior UI/UX Designer position to apply technical skills and creative expertise in creating intuitive user experiences and visually compelling digital interfaces.

EDUCATION & TRAINING

Web Design (UX/UI) Course
UX Energy IT School | Jun 2018 – Sep 2018

CORE COMPETENCIES

User Experience Design
- Site structure and interaction flows
- Page wireframes and interface requirements
- User-centered design principles

Visual Design
- Layout and composition
- Color theory and application
- Typography
- Iconography

TECHNICAL SKILLS

Design Tools:
- Adobe Photoshop
- Adobe Illustrator
- Adobe Experience Design
- Axure
- InVision"
98285,"# DIMA

**Location:** Kyiv

## PROFESSIONAL SUMMARY

Junior UI/UX Designer with a strong passion for creating applications with convenient, modern, and interesting interfaces. Detail-oriented professional proficient in wireframing, prototyping, and component-based design, committed to meeting deadlines and continuous self-improvement.

## CORE COMPETENCIES

- Wireframing and Prototyping
- Figma (Components & Auto-layouts)
- Landing Page Design
- Multi-page Project Development
- UI/UX Design

## EDUCATION

**Projector — Creative & Tech Online Institute**
Web Design Beginning | 2022

**Projector — Creative & Tech Online Institute**
Web Design Junior | 2022–2023"
98286,"# UI/UX and Graphic Designer

## Professional Summary

Highly motivated and creative designer with a passion for delivering excellent user experience and beautiful UI. Strong understanding of design processes and marketing background, with proven expertise as a Marketing Manager/Designer ready to contribute to UI/UX or graphic design roles.

## Core Competencies

- UI/UX Design
- Graphic Design
- Marketing Materials Design
- Social Media Content Creation
- Video Editing
- Content Writing
- Email Marketing
- Web Design
- Figma
- Adobe Photoshop
- Adobe Illustrator

## Professional Experience

**Marketing Manager/Designer**

- Designed marketing materials including brochures, leaflets, and stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Created website, social media, and marketing campaign imagery
- Planned and produced email newsletters
- Edited videos for social media
- Wrote content for website, marketing materials, campaigns, and email newsletters"
98287,"# UI/UX Designer

**CORE COMPETENCIES**

- Interface design process and methodology
- Prototype creation for various product types
- User needs assessment and design best practices
- Condition analysis, prototype testing, and data-driven design improvement
- Web browser layout design
- Interactive UX application design
- Team collaboration and teamwork

**PROFESSIONAL EXPERIENCE**

**Alkima Web & Design**
UI/UX Designer | March 2023 - Present

- Conduct user experience research
- Create sitemaps, wireframes, and user interfaces
- Develop website banners and social media creatives
- Design logos
- Create design systems (concept stage)
- Demonstrate proficiency with Webflow builder

**Vinnytsia Distribution Company**
Sales Manager | Jan 2019 - Feb 2022

- Collaborated in team environments
- Developed interface design experience for websites, mobile applications, and software"
98288,"# RESUME

## PROFESSIONAL EXPERIENCE

**Freelance Developer**

• Collaborated with project managers and web developers across gaming, cryptocurrency, and financial technology industries on multiple cross-sector projects
• Contributed to gaming projects during early-stage development phases
• Developed cryptocurrency exchange platforms and cryptocurrency-related websites
• Coordinated with clients and technical teams to clarify requirements and implement layout specifications"
98289,"# RESUME

## PROFESSIONAL EXPERIENCE

**UI/UX Designer**

**Law Firm Landing Page**
- Conducted client briefing, industry research, and competitive analysis
- Developed comprehensive brand identity including mood boards, typography, and color schemes
- Created wireframes and multiple design concepts
- Delivered final design with responsive layouts optimized for mobile and tablet devices
- Tools: Figma

**Pastry Shop E-Commerce Website**
- Designed and implemented e-commerce website with delivery functionality
- Created and optimized auto layouts in Figma
- Applied design fundamentals and UX principles throughout development
- Tools: Figma

## CORE COMPETENCIES

UI/UX Design • Responsive Design • Brand Identity Development • Wireframing & Prototyping • Typography & Color Theory • Figma"
98290,"# RESUME

## PROFESSIONAL SUMMARY
Quick learner with strong adaptability to new challenges. Demonstrated ability to expand technical skill set and embrace emerging tools and technologies in graphic design.

## CORE COMPETENCIES
- Adobe Photoshop
- Adobe Illustrator
- Figma
- Software proficiency
- Technical learning
- Adaptability to emerging technologies"
98291,"# RESUME

## PROFESSIONAL SUMMARY

Motivated UI/UX designer with strong technical foundation in quality assurance and database management. Fast learner, responsible, and ready for challenging tasks. Seeking flexible work schedule or full-time position in a company focused on creating user-friendly, productive solutions.

## CORE COMPETENCIES

- UI/UX Design
- User Research & Competitive Analysis
- Wireframing & Prototyping
- Test Case Development & Execution
- Bug Reporting & Quality Assurance
- SQL & Database Verification
- Figma, Adobe Illustrator, Slack

## PROFESSIONAL EXPERIENCE

**Quality Assurance & Testing**
- Successfully created and executed comprehensive test cases to ensure software quality and functionality
- Generated detailed and accurate bug reports to facilitate rapid issue identification and resolution by development teams
- Effectively leveraged SQL to access databases and verify data accuracy

## PROJECTS

**Redesign for Website ""A Kids Place Childcare""**

Website redesign for A Kids Place childcare located in North Olmsted, Ohio, creating a well-structured, modern, and user-friendly design.

- Design Process: User Research, Competitive Analysis, Wireframing, Prototyping, Conclusions
- Tools: Figma, Adobe Illustrator

**Web Service ""Medical Clinic""**

Web service for a private medical clinic enabling appointment organization, online consultations, automated documentation, and doctor selection by patient criteria and rating.

- Responsibilities: Baseline Study, Brainstorming, Jobs-to-be-Done Analysis, User Flow Development, Customer Journey Mapping, Prototyping, UI Design, Adaptation
- Tools: Figma, Adobe Illustrator, Slack

## ADDITIONAL INFORMATION

- Developed and executed 2 personal pet-projects"
98292,"# UX/UI Designer

## Professional Summary

Results-driven UX/UI Designer with hands-on experience in mobile app design and a strong foundation in design principles. Skilled at solving complex UX challenges and enhancing user experiences through research-driven design, strategic wireframing, and interactive prototyping. Dedicated to balancing usability, aesthetics, business objectives, and user empathy to deliver optimal user-centered solutions.

## Professional Experience

**Design Studio, Kyiv**
- Designed and developed wireframes and interactive prototypes for mobile app project ""DayDrive""
- Conducted comprehensive user research and analysis to identify pain points and optimize user experience
- Created intuitive user interfaces including landing pages, sign-up forms, and login interfaces
- Applied user-centered design principles to enhance overall product usability and aesthetic appeal

## Education

**UX/UI Design Mentoring Program**
- Completed comprehensive training in UX/UI design fundamentals, principles, and best practices
- Developed practical expertise in creating landing pages, sign-up forms, and login interfaces through hands-on projects

## Core Competencies

- User Experience (UX) Design
- User Interface (UI) Design
- Wireframing & Prototyping
- User Research & Analysis
- Mobile App Design
- Usability Optimization
- Design Strategy

## Technical Skills

- Strategic problem-solving and UX optimization
- User experience research, analysis, and improvement
- Wireframe and interactive prototype development
- Balancing usability with aesthetic design principles
- Aligning business objectives with user empathy and user-centered solutions

## Languages

- English (Advanced)"
