,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
98315,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Junior UI/UX Designer and Plural Code Academy graduate with practical experience in mobile and web design. Proficient in the full design lifecycle, including user research, wireframing, prototyping, and usability testing using Figma. Currently contributing to client projects at a software agency, delivering responsive designs for cryptocurrency and hospitality platforms. Eager to apply technical skills and design principles in a professional environment.

**Technical Skills**

*   **Design & Strategy:** UI/UX Design, Mobile App Design, Web Design, User Research, Usability Testing.
*   **Process:** Wireframing, Prototyping, High-Fidelity Mockups.
*   **Tools:** Figma.

**Professional Experience**

**UI/UX Design Intern** | Software Agency
*Dates of Employment*

*   Designed and delivered a responsive website and mobile interface views for a cryptocurrency platform.
*   Executed the web design for a resort center, focusing on visual layout and user interface requirements.
*   Applied wireframing and prototyping techniques to translate client requirements into functional design solutions.

**Projects**

**Salon Mobile Application** | Plural Code Academy
*   Conceptualized and designed a mobile application for a salon.
*   Utilized Figma to create wireframes and prototypes, incorporating user research and usability testing findings to improve the user experience.

**Education**

**Plural Code Academy** | [Location]
*Certificate in UI/UX Design* | [Graduation Date]"
98316,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | LinkedIn Profile URL (Optional)

**Professional Summary**

Marketing professional with over two years of experience transitioning into UI/UX design. Adept at translating client goals into visually appealing design solutions through a strong understanding of user personas and pain points. Demonstrated history of effective project management and collaboration, leveraging technical proficiency in Figma, Adobe Photoshop, and Protopie to build user-friendly prototypes.

**Technical Skills**

*   **Design & Prototyping:** UI/UX Design, Figma, Adobe Photoshop, Protopie, Design Adaptation, Prototyping
*   **Research & Strategy:** User Research, Market Analysis, User Personas
*   **Professional Skills:** Project Management, Client Communication, Team Leadership, Collaboration

**Experience**

**Marketing Professional** | *Various Clients / Industries* | (2+ Years)
*   Delivered visually appealing design solutions by aligning creative strategies with specific client needs and goals.
*   Analyzed user personas and identified pain points to inform and execute effective design decisions.
*   Managed project lifecycles and maintained effective communication with diverse clients across multiple industries.

**Team Leader** | *Case Studies Project*
*   Led team operations and iteratively modified designs to meet the specific requirements of the target audience.
*   Applied empathy-driven research to modify features and design solutions, resulting in a more user-friendly experience.
*   Facilitated collaborative teamwork and project management to ensure successful task completion.

**Key Projects**

**Scan-and-Go Mobile App** | *UI/UX Designer*
*   Designed a mobile application focused on simplifying the shopping process based on analysis of user patterns.
*   Conducted market analysis to inform feature development and layout.
*   Built functional prototypes utilizing Figma, Adobe Photoshop, and Protopie.

**Travel Service Website** | *UI/UX Researcher & Designer*
*   Executed full-cycle UI/UX processes including initial research, design adaptation, and prototyping.
*   Collaborated within a two-person team to manage project timelines and deliverables effectively."
98317,"**[Your Name]**
UI Designer

**Professional Summary**

Dedicated UI Designer with three years of experience specializing in the creation of intuitive and user-friendly interfaces for web and mobile platforms. Proficient in leveraging Figma, Adobe Photoshop, and Adobe Illustrator to deliver high-quality digital experiences. Committed to crafting aesthetic design solutions that consistently exceed expectations.

**Core Skills**

*   **Design Specialization:** User Interface (UI) Design, Web Design, Mobile Design
*   **Technical Proficiency:** Figma, Adobe Photoshop, Adobe Illustrator"
98318,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

UI/UX Designer focused on creating intuitive and visually engaging digital interfaces to enhance user experience. Skilled in full-cycle design for landing pages, web services, and mobile applications. Collaborative team player proficient in Figma and Adobe Creative Suite, with a focus on user research and visual design. Eager to contribute to a full-time role, utilizing feedback to achieve optimal results within a design team.

**Technical Skills**

*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Canva.
*   **Methodologies:** Competitive Analysis, User Personas, Jobs-to-be-Done (JTBD), Customer Journey Maps, User Flows, Wireframing, Visual Design, Information Architecture.

**Key Projects**

**Cozy House Web Service** | *Team Project*
*   Executed full-cycle design for a web platform connecting travelers with hosts.
*   Conducted comprehensive user research, including competitive analysis, creation of User Personas, and Jobs-to-be-Done frameworks.
*   Developed Customer Journey Maps and user flows to optimize the user experience.
*   Delivered low-fidelity wireframes and high-fidelity visual designs, ensuring proper adaptation across devices.

**Cucina di Catherina Website** | *Individual Redesign*
*   Performed a full-cycle redesign of an existing website to address outdated visuals and distracting content.
*   Restructured the information architecture to improve navigation and user engagement.
*   Updated visual content and imagery to highlight the product's unique selling proposition.

**Experience Overview**

*   Completed three full-cycle design projects, encompassing both independent work and collaborative team environments.
*   Demonstrated ability to work through all stages of the design process, from research and conceptualization to final visual execution."
98319,"**[Your Name]**
UI/UX Designer

**Professional Summary**

Dedicated UI/UX Designer with experience leading design teams and crafting visually appealing, user-friendly solutions for web and mobile applications. Committed to transforming concepts into reality by developing intuitive user flows and adaptive designs that simplify daily tasks. Focused on continuous skill development and delivering excellence in collaborative project environments.

**Professional Experience**

**Commercial Coaches Service** | *Current*
*Team Lead – Travel Service Project*

*   Lead a team in the design and development of a web interface for a ""change of environment"" platform, connecting hosts with travelers offering household assistance in exchange for accommodation.
*   Design comprehensive user flows catering to distinct user personas (hosts and tourists) to ensure seamless interaction.
*   Create detailed wireframes and adaptive versions to ensure functionality across various devices.

**Key Projects**

**Booking Table Service Application**
*   Designed a table booking application focused on reducing user friction by eliminating the need for phone reservations.
*   Developed a visual interface allowing users to view and select specific available tables at restaurants and cafes.

**Redesign of Ukrainian School Platform**
*   Executed the redesign of an educational platform providing school information and contact details.
*   Created structural wireframes and finalized designs for the desktop version.
*   Implemented adaptive design specifications to ensure full optimization for tablet and mobile devices.

**Skills**

*   **Design:** UI/UX Design, Wireframing, User Flows, Adaptive Design, Web & Mobile Interfaces.
*   **Professional:** Team Leadership, Collaboration, Conceptualization."
98320,"**UI/UX Designer**

**Professional Summary**
Dedicated UI/UX Designer focused on creating intuitive, visually appealing user interfaces and optimizing user experiences. Proven ability to translate complex user needs into compelling design solutions across mobile applications and websites. Proficient in the end-to-end design process, utilizing industry-standard tools to deliver high-quality wireframes, prototypes, and visual designs.

**Technical Skills**
*   **Design Tools:** Figma, Sketch, Adobe XD
*   **Prototyping:** InVision, Marvel
*   **Core Skills:** User Research, Wireframing, User Flows, Usability Testing, Visual Design, Accessibility

**Key Projects**

**Mobile Banking Application**
*   Designed the user interface and user experience for a mobile banking platform.
*   Created visual designs and interactive elements to ensure a seamless user journey.

**Health Application**
*   Led user research initiatives to gather insights and understand patient/user needs.
*   Analyzed user feedback to inform the design strategy and improve functionality.

**Core Competencies & Responsibilities**

*   **Stakeholder Collaboration:** Partner with product managers, developers, and fellow designers to align on project requirements and business goals.
*   **User Research & Testing:** Conduct in-depth user research, analyze qualitative and quantitative feedback, and perform usability testing to validate design concepts.
*   **Interaction Design:** Develop detailed wireframes, user flows, and prototypes that effectively communicate interaction and design ideas.
*   **Visual Design & Standards:** Create high-fidelity visual designs focused on usability and accessibility, ensuring adherence to current UI/UX trends and best practices."
98321,"**[Your Name]**

**Professional Summary**

UI/UX Designer experienced in all stages of the design process, from user research and problem definition to prototyping and final product delivery. Proven ability to create user-centered designs for web and mobile applications. Utilizes a comprehensive design approach focused on task analysis, interface prototyping, visual style development, and delivering user-friendly products.

**Skills & Tools**

*   **Design Skills:** UI/UX Design, User Research, Competitive Analysis, Prototyping, Wireframing, Mobile & Tablet Adaptations, Task Analysis, Visual Style Development, User-Friendly Design.
*   **Software:** Figma, FigJam, Adobe Photoshop, Adobe Illustrator.

**Project Experience**

**Travel Go (Web Service)**
*   Designed a web service to facilitate affordable or free international stays through volunteering opportunities.

**ReserveNow (Mobile Application)**
*   Designed a mobile application for restaurant table bookings.
*   Implemented features for layout visualization and table selection.

**Personal & Team Projects | Role: UI/UX Designer**
*   Conducted user research, competitive analysis, and target audience definition.
*   Developed Customer Journey Maps (CJMs) and user flows.
*   Created wireframes, mobile and tablet adaptations, and interactive prototypes."
98322,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio URL (optional)]

**Professional Summary**

Creative and detail-oriented UI/UX Designer with 1.5 years of experience in web design. Passionate about designing user-centered interfaces that are visually appealing, intuitive, and easy to use. A collaborative team player committed to delivering high-quality designs that meet project objectives and deadlines.

**Core Competencies**

*   **UI/UX Design:** User-Centered Design, Visual Design, Interaction Design
*   **Technical Skills:** Wireframing, Prototyping, High-Fidelity Design, Design Software
*   **Web Standards:** Responsive Design, Web Accessibility, Web Applications

**Professional Experience**

**UI/UX Designer** | 1.5 Years Experience

*   Execute the full design process including the creation of wireframes, prototypes, and high-fidelity designs using industry-standard design software.
*   Design responsive and accessible websites and web applications, ensuring interfaces are intuitive and easy to use.
*   Apply UI/UX design principles to create visually appealing user experiences.
*   Collaborate effectively within teams to ensure high-quality deliverables that align with project objectives and strict deadlines."
98323,"**Summary**

Junior UX/UI Designer with a strong foundation in user-centered design principles and professional experience in Ukraine. Demonstrated success in building and leading design teams, conducting comprehensive UX research, and fostering collaborative environments. Committed to delivering high-quality prototyping and interface solutions through effective knowledge sharing and teamwork.

**Experience**

**UX/UI Designer** | 2022 – 2023

*   Established and managed a functional design team, overseeing the full spectrum of UX research, prototyping, and visual design.
*   Facilitated internal knowledge sharing and fostered a collaborative team environment to enhance workflow efficiency.
*   Ensured the consistent delivery of high-quality design projects through effective team leadership and project oversight.

**UX/UI Designer** | February 2023 – March 2023

*   Designed and developed the complete user interface for a medical clinic platform.
*   Conducted UX research to engineer a user-friendly, intuitive, and accessible interface design.
*   Collaborated effectively within a team structure to implement design requirements and meet project goals.

**Freelance Graphic and UX/UI Designer** | March 2023

*   Designed website layouts and created visual content for social media posts.
*   Managed client relationships and collaborated within small teams to deliver tailored design solutions.

**Skills**

*   **Core Competencies:** UX/UI Design, User-Centered Design, UX Research, Prototyping.
*   **Soft Skills:** Team Leadership, Team Building, Cross-functional Collaboration, Project Delivery."
98324,"**[Your Name]**

**Summary**

UX/UI Designer dedicated to creating meaningful digital experiences for web and mobile applications. Specialized in delivering full-cycle design solutions, moving from initial analysis and prototyping to visual style development. Committed to building seamless and intuitive user journeys that align user needs with business goals.

**Skills**

*   **Core Competencies:** UX/UI Design, Web Design, Mobile Design, Full Cycle Design
*   **Design Process:** User Analysis, Prototyping, Visual Style Development, User Journey Mapping
*   **Implementation:** User Interface (UI) Development, Brand Alignment, Motion Design

**Experience**

**UX/UI Designer**

*   Execute end-to-end design processes for diverse web and mobile applications, ensuring a cohesive transition from concept to final product.
*   Develop user interfaces that prioritize user needs while ensuring strict adherence to brand identity.
*   Incorporate motion design elements to enhance interactivity and user engagement.

**Key Projects**

*   **""Unreal"" Mobile Application**
    *   Delivered full-cycle design for a mobile platform enabling users to book tables at unique dining venues.
    *   Focused on creating an accessible interface to connect users with distinctive restaurant experiences.

*   **""Wings of Hope"" Web Service**
    *   Designed a web service dedicated to restoring Ukrainian social infrastructure by connecting aid requests with resources.
    *   Created a platform to facilitate collaboration between communities, officials, organizations, and investors for restoration efforts.

*   **Slavsko Ski Resort Website Redesign**
    *   Executed a comprehensive website redesign, establishing a new information structure and visual style.
    *   Optimized the user experience to attract prospective tourists and increase resort engagement.

*   **Audi Q3 Test Drive Landing Page**
    *   Designed a promotional landing page for the Audi Q3 vehicle.
    *   Integrated functional elements to facilitate test drive ordering and support marketing objectives.

**Education**

*   **Certificate in UX/UI Design, Web Design, and Mobile Design**
    *   8-Month Intensive Course"
98325,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Passionate Web Designer focused on UI/UX principles and user-centered solutions. Proven ability to design visually appealing and functional interfaces, demonstrated through personal projects such as museum website development. Eager to contribute to company objectives in a collaborative team environment, continuously learn new technologies, and address client needs through impactful design experiences.

**Core Competencies**

*   UI/UX Design Principles
*   Web Design & Development
*   Requirements Analysis
*   User Personas & Layout Strategy
*   Visual Perception & Navigation

**Project Experience**

**Museum Website**
*   Designed and developed a visitor-centric website, prioritizing an attractive and informative interface tailored to the museum environment.
*   Conducted detailed requirements analysis to determine optimal page layouts, element positioning, and navigation flow.
*   Created and utilized user personas to inform design decisions regarding exhibit placement and visual perception.
*   Applied UI/UX design principles to ensure the final product was both aesthetically pleasing and highly functional for users."
98326,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Dedicated designer with a strong foundation in Web Design and growing expertise in UX methodologies. Proven ability to execute the full design lifecycle, from client briefing and wireframing to high-fidelity UI creation and mobile adaptation. Experienced in delivering practical solutions for real-world clients and currently advancing skills through specialized UX training.

**Skills**

*   **Design Disciplines:** Web Design, UI Design, UX Design, Wireframing, Mobile-Adaptive Design, Mind Mapping.
*   **Software & Tools:** Adobe Photoshop, WordPress.

**Professional Experience**

**Intern** | Sahu Media (German Design Bureau)
*   Designed and produced digital advertisement banners for client campaigns utilizing Adobe Photoshop.

**Education & Project Experience**

**Projector Institute**
*   **UX Design Module:** Currently Enrolled
*   **Web Design Junior Module:** Completed
*   **Web Design Beginning Module:** Completed

**Key Academic Projects:**
*   **Real Client Coursework:** Successfully delivered comprehensive design projects for two external clients.
    *   Facilitated client briefings to determine requirements and gathered visual references.
    *   Created structural mind maps and wireframes to define user flows.
    *   Executed User Interface (UI) designs.
    *   Developed mobile-adaptive layouts to ensure responsiveness across devices."
98327,"**[Your Name]**

**Professional Summary**

Aspiring Web and UI/UX Designer dedicated to creating intuitive and visually appealing digital experiences. Currently advancing expertise in mobile and web interface design through comprehensive professional training. Proficient in Figma and Adobe Creative Cloud, with a solid foundation in design principles, user research, and responsive layout adaptation. Committed to continuous professional growth and mastering the latest trends in the IT and design sectors.

**Technical Skills**

*   **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator
*   **Core Competencies:** Web Design, UI/UX Design, Mobile App Design
*   **Research & Strategy:** Target Audience Analysis, Competitor Research, Website Redesign

**Projects & Academic Experience**

*   **Web & Interface Design:** Designed and prototyped landing pages, multi-page websites, and web services, focusing on layout composition and visual hierarchy.
*   **Redesign & Adaptation:** Executed website redesign projects to enhance visual appeal and usability. Adapted desktop web designs into mobile application formats to ensure responsiveness across devices.
*   **User Research:** Conducted detailed research on target audiences and competitors to inform design decisions and create user-centric solutions.

**Education**

**IT School ""Hillel""**
*   **Web Design, UI/UX Design, and Mobile Design** | 2023 – Present
*   **Web Design Basic Course** | 2022 – 2023

**Soft Skills**

*   Attention to Detail
*   Responsibility & Time Management
*   Dedication to Continuous Improvement"
98328,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | LinkedIn Profile URL (Optional)

**Professional Summary**

Organized and detail-oriented UX/UI Designer experienced in user-focused research and data-driven design. Proficient in developing user-friendly wireframes and prototypes using creativity and problem-solving skills. Seeking a position within an innovative design team to produce exceptional products and improve user experience.

**Skills**

*   **Research & Strategy:** User Research, Competitive Analysis, Site Structure
*   **Design & Development:** UI Design, Wireframing, Prototyping, Moodboard Creation

**Project Experience**

**Redesign of ""Il Griso"" Italian Roastery Website**
*   Redesigned the website to significantly improve visual appeal and overall usability.
*   Performed in-depth competitor analysis to develop an optimized site structure.
*   Created detailed wireframes and a comprehensive UI kit for selected pages.
*   Prototyped and adapted the redesigned site for responsive use.

**Landing Page for Flower Shop**
*   Developed a landing page specifically to promote the shop's new delivery service.
*   Conducted competitor analysis and curated a moodboard to establish visual direction.
*   Designed wireframes and a UI kit to guide the development process.
*   Executed the final development of the landing page.

**""Mind Map"" Team Project**
*   **Role:** Scrum Master
*   Led the team operations and facilitated project workflows.

**Web-Service for Cleaning Company**
*   Created and delivered a web service solution for a cleaning company."
98329,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Dedicated Web Designer Assistant with diverse experience in creating digital and print assets. Skilled in developing responsive landing pages, online stores, and prototypes utilizing UI/UX principles and the Bootstrap grid system. Proven ability to design for specific target audiences, including the Western market (Etsy), alongside creating cohesive branding for themed events and social media. Committed to continuous improvement with strong organizational and planning capabilities.

**Professional Experience**

**Web Designer Assistant**
*   **Web & Interface Design:** Designed and prototyped landing pages, online stores, and digital banners. Applied adaptive design techniques and the Bootstrap grid system to ensure functional, responsive layouts.
*   **E-Commerce & Market Adaptation:** Created digital products specifically tailored for the Western market, including assets for Etsy shops.
*   **Print & Brand Collateral:** Produced comprehensive print designs for themed events, including invitations, labels, photo banners, business cards, price lists, and order forms.
*   **Social Media Content:** Developed engaging visual content for social media marketing, including Pinterest pins, Instagram posts, and stories.

**Technical Skills**

*   **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Canva.
*   **Core Concepts:** UI/UX Principles, Adaptive Design, Bootstrap Grid System.

**Key Attributes**

*   Self-Disciplined & Organized
*   Team Collaboration & Leadership Qualities
*   Strategic Planning
*   Responsible & Eager to Learn"
98330,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link]

**Professional Summary**

Emerging Freelance Web Designer with practical experience in delivering client-focused web solutions. Committed to continuous professional development with a focus on Figma, product observation, and current UI/UX design trends. Highly motivated to join a collaborative team environment and available immediately for remote internship opportunities.

**Technical Skills**

*   **Core Competencies:** Website Design, UI/UX Design Fundamentals, Product Observation.
*   **Software & Tools:** Figma (Developing proficiency).

**Professional Experience**

**Freelance Website Designer** | Remote
*[Date of Project Completion]*

*   **Project: Dental Clinic Website**
    *   Designed and delivered a functional website for a dental practice, ensuring the client's requirements were met.
    *   Applied design principles to create a user-friendly interface for clinic patients.

**Availability**

*   Available for immediate start.
*   Seeking remote internship opportunities."
98331,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | Portfolio URL

**PROJECTS**

**Foodly (Training Project)**
*   Designed a mobile application for supermarket product delivery, incorporating adaptive design principles.
*   Conducted client briefings, competitor research, and heuristic analysis to accurately define the target audience.
*   Developed the information architecture by creating sitemaps and detailed user flows.
*   Executed the design process from Lo-fi to Hi-fi wireframes and produced a comprehensive UI kit.
*   Validated design concepts through user testing.

**JOCCELLUM (Training Project)**
*   Designed an e-commerce platform specializing in jewelry.
*   Facilitated client briefings and performed competitor analysis to establish project scope and audience.
*   Created sitemaps and conducted heuristic analysis to optimize site navigation.
*   Produced Lo-fi and Hi-fi designs, including a scalable UI kit and adaptive layouts.
*   Conducted user testing to ensure usability and design effectiveness.

**Balance Spa (Training Project)**
*   Developed a promotional landing page, delivering both Lo-fi and Hi-fi wireframes.
*   Built an interactive prototype to demonstrate user interaction and visual design.
*   Created a standard UI kit and organized project assets for developer submission."
98332,"**ANASTASIA**
**UI/UX Designer**

**PROFESSIONAL SUMMARY**

Dedicated and enthusiastic UI/UX Designer currently advancing skills through specialized training at Hillel Computer School. Possesses a strong foundation in design theory, user research, and interface development. Passionate about product design and game development with a commitment to continuous learning. Eager to apply practical design methodologies within a collaborative and productive work environment.

**CORE COMPETENCIES**

**Interface Design & Technical Skills**
*   UI/UX Design Fundamentals
*   UI Kit Development
*   Auto Layout, Styles, and Components
*   Prototyping
*   Grids and Layout Systems
*   Atomic Design Approach
*   Image, Illustration, and Icon Design

**Design Theory & Research**
*   Target Audience Analysis
*   Persona Development
*   Color Theory
*   Typography and Font Theory
*   Website Types and Structures
*   Adaptability

**EDUCATION**

**Hillel Computer School**
*   **UI/UX Design Course** (Ongoing)

**AREAS OF INTEREST**

*   Product Companies
*   Game Development

**CONTACT**

[Phone Number]
[Email Address]
[Portfolio Link / LinkedIn URL]"
98333,"**[Your Name]**

**Professional Summary**

Motivated designer with a strong foundation in graphic design and emerging expertise in UI/UX principles. Dedicated to applying skills in typography, composition, and user-centered design to deliver effective visual solutions in a professional setting.

**Technical Skills**

*   **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator
*   **Design Principles:** UI/UX Design, Typography, Composition, Color Theory, System Design

**Design Projects**

**Turkish Airlines App Redesign** | *UI/UX Design Project*
*   Executed a redesign of the Turkish Airlines mobile application under mentor supervision.
*   Conducted heuristic analysis to identify usability issues and areas for optimization.
*   Implemented user-centered improvements to enhance the overall user experience.

**Richard Bank** | *Course Project (From Zero to Hero)*
*   Created a comprehensive design system for a financial institution.
*   Designed responsive interfaces for both mobile application and website platforms.

**Education**

**Cardiff School of Art and Design, Cardiff Metropolitan University**

**[Art Academy Name/Type]**
*   **Program:** Foundation in Graphic Design
*   **Focus:** Fonts, Composition, Color Science

**Exhibitions**

*   **The Art of Change** – Ukrainian House
*   **24.02 Before and After** – Photo Exhibition
*   **Cardiff School of Art and Design Exhibition** – Cardiff Metropolitan University"
98334,"**Car Wash Mobile Application** | *Team Leader*

*   Led the development of a location-based mobile application that utilizes geodata to identify and locate nearby car wash facilities.
*   Designed the end-to-end user experience, creating user flows, wireframes, and interactive prototypes to define the application's structure.
*   Developed the comprehensive visual design and user interface (UI) for the platform.
*   Oversaw the implementation of core features allowing users to reserve dates and times, customize service packages, and process online payments.
*   Conducted competitor analysis to inform feature development and strategic positioning."
98335,"**[Your Name]**
[Your Contact Information]

**Professional Summary**

Driven Web Designer focused on creating user-friendly and visually appealing interfaces. Proven ability to analyze user flows, conduct competitor research, and develop prototypes. Experienced in teamwork environments with a track record of delivering successful design projects. Seeking freelance projects or a Junior Designer position (remote or in-office).

**Core Competencies**

*   **Design:** Web Design, User Interface (UI) Design, Prototyping, Aesthetics & Layout.
*   **Research & Strategy:** User Flow Analysis, Competitor Research, Site Logic, User Logic.
*   **Soft Skills:** Teamwork, Collaboration, Project Management.

**Project Experience**

**CloudyClean Webservice** | *Web Application Design*
*   Designed the user interface and created prototypes for a cleaning service web application.
*   Developed functionality enabling users to find and order services using specific search filters.
*   Conducted comprehensive competitor analysis and user flow research to inform the design process.

**Alaska Pete's Website Redesign** | *UI/UX Modernization*
*   Modernized the user interface to significantly improve user convenience, comprehensibility, and visual aesthetics.
*   Analyzed existing user flows, site blocks, and site logic to optimize the redesign structure.

**Landing Page for FlowerLover** | *Web Design*
*   Designed a dedicated landing page for a flower shop, prioritizing a high-quality user experience and aesthetic appeal.
*   Analyzed user logic to ensure intuitive navigation and design alignment.

**Additional Experience**

*   **Collaborative Work:** Proven experience working effectively within team environments.
*   **Project Portfolio:** Successfully completed 3 comprehensive web design projects (detailed above)."
98336,"**[Your Name]**

**Summary**

Experience collaborating directly with NOVI Luxe to deliver their e-commerce website. Skilled in the end-to-end design process, from conducting user research and prototyping in Figma to validating concepts through testing. Proven history of delivering projects on time and within budget.

**Professional Experience**

**NOVI Luxe** | E-Commerce Website Project

*   **User Research:** Conducted user research, including surveys and user interviews, to gather insights and inform design direction.
*   **Prototyping & Design:** Created wireframes, user flows, and interactive prototypes using Figma to visualize and communicate design concepts.
*   **Testing & Validation:** Implemented A/B tests to validate design decisions against user needs.
*   **Project Delivery:** Successfully delivered the project on time and within budget, receiving positive client feedback for the results."
98337,"**[Your Name]**

**Professional Summary**

Dedicated UI/UX Designer with over one year of experience in design and commerce. Proven track record of collaborating with diverse partners including Looqme, HoReCa show, S-Prof, and Lviv Organ Hall. Committed to leveraging a strong foundation in design software and principles to contribute to team-based projects and professional development.

**Technical Skills**

*   **Design Software:** Figma, InVision, Adobe Photoshop, Adobe Illustrator
*   **Core Competencies:** UI/UX Principles, Commerce Fundamentals, Team Collaboration

**Professional Experience**

**UI/UX Design & Commerce Collaborator**
*Partners: Looqme, HoReCa show, S-Prof, Lviv Organ Hall*

*   Collaborated with established partners to execute design and commerce-focused initiatives.
*   Engaged in dynamic projects emphasizing teamwork and continuous skill development.
*   Applied UI/UX principles to create effective visual solutions and user experiences.

**Education & Certification**

**Lviv IT School (LITS)**
*   Completed UI/UX Design Course"
98338,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL]

**Summary**

Web development and design professional experienced in creating corporate identities and e-commerce solutions. Skilled in UX research, wireframing, style guide creation, and landing page development.

**Experience**

**Comon Agency** | 28.01.2022 – 24.02.2022
*   Employment tenure concluded due to workforce reductions in connection with the war in Ukraine.

**Independent Private Projects** | Completed prior to 2022
*   Executed design and development projects for private clients.

**Key Projects**

**""Sammy Icon"" E-commerce** (Client: Phillip)
*   Redesigned and developed a multi-page online store website.
*   Conducted User Experience (UX) Research.
*   Created wireframes to establish site structure.
*   Developed comprehensive style guides and visual design.

**""On the Way"" Product Delivery** (Client: Alexey)
*   Developed project landing page.
*   Created website corporate identity."
98339,"**[Your Name]**
[City, State, Zip Code] | [Phone Number]
[Email Address] | [Link to Portfolio]

**PROFESSIONAL SUMMARY**

Emerging UI/UX Designer with a strong foundation in user-centered design principles and a passion for creating engaging digital experiences. Recently completed an intensive 3-month comprehensive training program focused on UX and GUI design. Proficient in industry-standard tools including Figma and Adobe Photoshop, with a demonstrated ability to apply design thinking methodologies to develop effective, user-friendly, and adaptive interfaces.

**TECHNICAL SKILLS**

*   **Design Tools:** Figma, Adobe Photoshop
*   **Methodologies:** Design Thinking, Human-Centered Design, User-Centered Design
*   **Core Competencies:** UX Design, GUI Design, Typography, Adaptive Design

**PROJECTS**

**E-commerce Design**
*   Designed user-friendly interfaces for e-commerce platforms, focusing on intuitive navigation and visual appeal.
*   Applied GUI design principles to enhance the digital shopping experience.

**Landing Page Design**
*   Created engaging landing page layouts utilizing strong typography and visual hierarchy.
*   Focused on effective communication of content through structured design elements.

**Adaptive Design Implementation**
*   Developed adaptive design examples to ensure seamless user experiences across various screen sizes and devices.
*   Demonstrated proficiency in adjusting layouts for optimal usability.

**EDUCATION & TRAINING**

**UI/UX Design Intensive Course** | [Month, Year] – [Month, Year]
*   Completed a comprehensive 3-month program covering the full design spectrum from UX research to GUI execution.
*   Acquired practical skills in typography, layout, and industry-standard design software."
98340,"**[Your Name]**
[Your Phone Number] | [Your Email]
[Your LinkedIn Profile] | [Your Portfolio Link]

**PROFESSIONAL SUMMARY**

UX/UI Designer certified by Beetroot Academy with a strong foundation in design principles and user-centered methodologies. Proficient in Figma, Adobe Creative Suite, and the full UX research lifecycle ranging from empathy mapping to interactive prototyping. Bilingual professional (Italian C1) dedicated to creating intuitive digital experiences and contributing effectively to collaborative design projects.

**TECHNICAL SKILLS**

*   **UI Design & Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Interactive Prototyping, Adaptive UI Design, Grid Systems, Design Patterns, Typography, Color Theory, Composition.
*   **UX Research & Strategy:** Information Architecture, User Flows, Wireframing, Mind Mapping, Brief Analysis, Competitive Analysis, Empathy Mapping, Personas, Customer Journey Mapping (CJM).
*   **Languages:** Italian (CELI4 C1 Certificate).

**PROJECT HIGHLIGHTS**

*   **Mobile Application:** Family Medicine Clinic
*   **Web Design:** Landing Page for a Design Studio
*   **Web Design:** Website for a Beauty Salon
*   **Branding:** Icon and Logo Design

**EDUCATION & CERTIFICATIONS**

*   **Certificate in UX/UI Design** | Beetroot Academy
*   **CELI4 C1 Certificate (Italian)**"
