,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
98272,"# UI/UX Designer

## Professional Summary

Results-driven UI/UX designer committed to creating comprehensive and appealing designs that optimize user conversions and information accessibility. Seeking to leverage practical design experience and technical knowledge in a professional UI/UX design role.

## Professional Experience

**UI/UX Designer** | 6 months
- Created designs for landing pages, e-commerce platforms, portfolio sites, and mobile applications (iOS and Android)
- Executed complete design process including competitor analysis, user flow mapping, wireframing, and prototyping
- Developed responsive UI designs for websites across mobile and tablet formats
- Integrated website animations into designs
- Collaborated with front-end developers on team-based projects

## Education & Training

**UI/UX Design Coursework** | 5 months
- Completed comprehensive coursework in UI/UX design principles and technologies
- Applied Google Material Design Guidelines and Human Interface Guidelines

## Core Competencies

Competitor Analysis • User Flow Analysis • Wireframing • Prototyping • Landing Page Design • E-Commerce Design • Website Redesign • Mobile Application Design (iOS, Android) • Responsive Design • Website Animation • Cross-functional Collaboration"
98273,"# RESUME

## PROFESSIONAL EXPERIENCE

**Freelance UX Designer** | 6 months
- Created social media graphics and banners for Instagram, Twitter, and Facebook
- Designed landing pages and banners
- Built blog using Webflow
- Assisted in planning applications and websites

## CORE COMPETENCIES

- User-centered design
- UX design process
- Accessibility and equity-focused design
- Design sprints
- Social media design
- Web design
- Webflow

## EDUCATION

**IT School Hillel** — Course Completion"
98274,"# UI/UX Designer

## About Me
As a UI/UX Designer, I am passionate about creating effective and aesthetically pleasing designs that improve user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services. I have a strong desire to expand my knowledge and develop my skills in design.

## Education
Successfully completed a 6-month UI/UX Design course.

## Project Experience

**""Wish"" - Gift Delivery Mobile App**
A flower and gift delivery application enabling users to select flowers and gifts and schedule delivery. Performed full-cycle design process including competitive analysis, UX personas, user flow, wireframes, and UI design.

**""Fitroom"" - Corporate Website Redesign**
Website redesign for a fitness studio. Conducted competitor analysis, established stylistic direction using design references, built prototypes, optimized interfaces for phone and tablet, and developed UI kit. Successfully addressed the challenge of designing an attractive and modern user interface to boost sales.

**""VDOMA"" - Ukrainian Couch-Surfing Web Service**
Web service designed to organize affordable stays in Ukraine and promote Ukrainian tourism. Executed full-cycle design process including competitive analysis, UX personas, empathy map, sitemap, MVP definition, and user flow diagram. Created tablet and mobile adaptations and conducted A/B testing to refine the design.

## Additional Design Work
- UI for service accounting table (cleaning company)
- Sidebar UI design
- Team page with AutoLayout-based padding
- User page for online learning resource
- Dashboard for ed-tech product (school students)
- Desktop start screen UI with animation
- Card-to-card money transfer confirmation modal window
- Administrator dashboard for user rights management

## Skills
- Full-cycle design process
- Competitive analysis and user research
- UX personas and empathy mapping
- Wireframing and prototyping
- UI design and design systems
- Mobile and responsive design
- A/B testing and design optimization

I am excited to bring my knowledge, skills, and passion to your team and help create designs that elevate your business."
98275,"# JUNIOR UX/UI DESIGNER

## PROFESSIONAL SUMMARY
Passionate and creative Junior UX/UI Designer committed to creating exceptional user experiences. Strong foundation in design principles with a keen eye for aesthetics and user-centered solutions. Proven ability to identify design opportunities, conduct thorough research, and deliver comprehensive design solutions. Dedicated to staying current with industry trends and evolving technologies.

## PROJECT EXPERIENCE

**Petsearch – Web Service for Animals**
Designed a comprehensive web service connecting shelters with pet owners to promote volunteerism and facilitate pet recovery. Conducted user research and identified key design themes that informed intuitive UI elements and extensive functionality aligned with the service's core mission.

**A Kids Place Childcare – Website Redesign**
Led comprehensive website redesign through technical analysis and competitive research, evaluating product strengths and weaknesses against competitor sites. Synthesized user expectations across multiple pages and developed page visuals informed by research findings. Created complete UI kit documentation containing all UI elements and components.

**FlowerLower – Flower Shop Landing Page**
Designed cohesive landing page for flower shop through extensive research, competitor analysis, and moodboard creation. Developed strategic page structure and color palette aligned with natural themes, incorporating multiple design elements including buttons, inputs, and interactive components.

## CORE COMPETENCIES
User Experience (UX) Design · User Interface (UI) Design · Design Principles · Research & Analysis · Competitor Analysis · UI Kit Development · Attention to Detail"
98276,"# JUNIOR UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Junior UI/UX Designer with a strong foundation in design principles, including color theory, typography, and design fundamentals. Experienced in both team and individual design projects with a proven track record of creating intuitive user experiences. Dedicated to continuous learning and professional growth in UI/UX design.

## CORE COMPETENCIES

- UI/UX Design Principles
- Color Theory & Typography
- Website Redesign
- User Interface Development
- Team Collaboration
- Design Portfolio Development

## PROFESSIONAL EXPERIENCE

**Website Redesign Project – Tattoo Studio**
*December 2022 – January 2023*
- Redesigned tattoo studio website, creating a modern and user-friendly interface
- Improved navigation elements and developed new ordering functionality for tattoo services
- Enhanced presentation of tattoo artists' work and integrated customer review features

**UI/UX Design Project – Service for Finding Lost Animals**
*February 2023 – March 2023*
- Designed web service interface for publishing and discovering lost and found pet advertisements
- Developed functionality to streamline information dissemination and communication between pet owners
- Collaborated with experienced designers to expand knowledge of UI/UX design technologies and current industry trends

## PROFESSIONAL DEVELOPMENT

- Self-directed education in UI/UX design through online courses and industry literature
- Continuous study of cutting-edge design technologies
- Active portfolio development with regular project additions and ongoing quality improvements"
98277,"CREATIVE UX/UI DESIGNER

Professional Summary
Experienced UX/UI Designer with a demonstrated passion for creating aesthetically pleasing and functional digital products. Proven expertise in user research, interface design, and presenting design solutions. Skilled at working collaboratively on complex projects and managing design initiatives from concept to completion.

Core Competencies
- UX Research & Analysis
- UI Design (Websites, Web Services, Mobile Apps)
- User Personas & Customer Journey Mapping
- Information Architecture & User Flows
- Wireframing & Prototyping
- Logo Design & 3D Animation
- Illustration & Graphic Design

Professional Experience

Korg Sound Library Cover Design
Designed two illustrations serving as covers for sound libraries. Conducted client discussions to understand project requirements, analyzed reference materials, and created designs accordingly. Incorporated client feedback and delivered final approved artwork.

Sinevibes Logo (3D Animation)
Created an animated 3D logo designed to rotate as a video introduction. Managed the complete production pipeline including 3D modeling, shading, client approval, and final rendering.

Project Portfolio

UrbanFest Landing Page Design
Designed a minimalistic landing page from scratch, including moodboard creation, wireframing, and full visual design for a music festival website.

CustomConcepts Tattoo Website Redesign
Redesigned an existing tattoo industry website. Conducted competitive analysis of related websites, developed prototypes, and delivered a modern, functional, and visually appealing final design.

Web Service UX and UI Design
Led comprehensive UX analysis for an accommodation booking platform, developing user personas and customer journey maps. Created information architecture, user flows, wireframes, and completed full-color design.

Beatcraft Mobile App Design
Designed a music-related mobile application. Performed target audience analysis and created wireframes and complete interface design, including advanced features such as two-factor authentication and in-app achievements."
98278,"# UI/UX Designer

## About Me
Dedicated UI/UX designer from Ukraine specializing in creating intuitive, convenient, and beautiful design solutions. I believe that understanding user problems is the foundation for effective design. My passion for design, attention to detail, and commitment to continuous learning make me a valuable asset to teams focused on creating outstanding products.

## Skills
· Figma (auto layout, styles, components, design systems)
· User-centered design with business requirement analysis
· UX problem identification and troubleshooting
· User research and competitor analysis
· Wireframing and prototyping
· Responsive and adaptive design
· Animation and interactive prototypes

## Project Experience

**Lunushka Shop Mobile App**
Designed a mobile application for an online store. Conducted competitor and target audience analysis, developed user personas, and mapped user flows. Created wireframes and UI design, designed onboarding experience, and developed animated prototypes with Protopie interactivity.

**Globetrot Web Service**
Designed a web service for organizing economic stays across countries. Identified user problems through research and developed design solutions. Created wireframes, UI design, adaptive layouts, and animated prototypes.

**Tattoo Studio Website Redesign**
Redesigned an existing website through detailed analysis to create a modern design with an intuitive interface and informative pages aimed at attracting new customers and tattoo artists.

**Flower Shop with Delivery Landing Page**
Created a landing page for a flower shop with delivery service. Conducted user research and competitor analysis. Developed user personas and created moodboards. Designed responsive layouts optimized for tablets and mobile devices."
98279,"JUNIOR UI/UX DESIGNER

I am a Junior UI/UX Designer with experience in team and individual design projects. I perform the complete design cycle: analysis, idea development, prototyping, user interface design, and adaptation. I specialize in creating user-friendly interfaces with easily navigable design and am seeking opportunities to work on projects that align with organizational goals and solve user problems.

PROFESSIONAL EXPERIENCE

UI/UX Design Team Member | Pet Search Webservice
December 2022 – Present
- Developed a webservice to help owners of lost animals find them faster
- Performed competitor analysis, user personas, sitemap, high-fidelity prototypes, user interface design, and adaptation
- Created a simple, usable, and visually pleasing webservice
- Enhanced communication, organizational, delegation, and time-management skills through collaborative work

UI/UX Design Team Member | Mobile App for Flower & Gift Delivery
Current Project
- Designing mobile app collaboratively with focus on user experience and visual design

PERSONAL PROJECTS

Website Redesign | MIMINO Restaurant & Hotel Complex
October 2022 – November 2022
- Analyzed existing website to identify disadvantages and develop solutions
- Created detailed prototypes and visual design
- Delivered modern, attractive, and user-friendly website design

Landing Page Design | Yoga Studio
- Designed and delivered a user-friendly landing page with intuitive interface and visual appeal"
98280,"# UX/UI DESIGNER

**CORE COMPETENCIES**

Design Tools: Figma, Adobe Photoshop, Adobe Illustrator, Canva
Expertise: Design Systems, User Flows, Customer Journey Mapping, Web Services (SimilarWeb)
Project Experience: 2 independent projects, 1 team project

**PROFESSIONAL SUMMARY**

Self-motivated and detail-oriented Junior UX/UI Designer passionate about creating high-quality products that deliver value to users and businesses. Committed to leveraging design expertise to develop intuitive, user-centered solutions. Seeking to join a collaborative team and take on new challenges in web design.

**PROJECT EXPERIENCE**

**Barbershop - Landing Page**
Designed and developed a promotional landing page for a new barbershop in Ukraine. Created a visually compelling design that showcases services to attract potential customers and drive business growth. Tools: Figma, Adobe Photoshop.

**India Cafe - Website Redesign**
Led the redesign of an outdated cafe website through competitive analysis and user interviews to inform design decisions. Delivered an attractive, high-performing website that increased visitor engagement, highlighted key business advantages, and improved overall user experience. Tools: Figma, Adobe Photoshop, Adobe Illustrator.

**Look for - Web Service**
Contributed to the design and launch of a safe, user-friendly accommodation platform by analyzing target audience needs and developing intuitive interface design. Managed UI consistency across three implementation phases: user-end interface, payment interface, and admin-side interface. Tools: Figma, Canva, Adobe Illustrator."
98281,"# UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Passionate UI/UX designer with 8 years of graphic design experience and 3 years of leadership in design management. Dedicated to creating intuitive, user-centered digital products with modern interfaces and clear logic. Result-oriented team player committed to delivering exceptional design solutions that enhance user experience and drive business growth.

## PROFESSIONAL EXPERIENCE

**Chief Designer / Head of Design Department** | 3 years
- Organized and prepared creative projects for the company
- Developed concepts and designs in accordance with corporate style guidelines
- Managed design department workflow and team coordination
- Oversaw key projects including website redesign, interface design, and comprehensive design solutions

**Graphic Designer** | 8 years
- Created extensive visual designs and graphics for various digital and print applications
- Developed visual communication strategies to support business objectives

## KEY PROJECTS

**MAINSAIL Realty Company Website Redesign**
- Conducted competitor research and analysis to inform design decisions
- Developed wireframes and UI-kit aligned with project requirements
- Created simple navigation with convenient forms and interactive elements
- Redesigned layout and reorganized content into logical sections
- Adapted responsive design for tablet and mobile devices
- Maintained original site color scheme while improving overall user experience

**Popcorn Machine Interface Redesign** | Kinoprokat-Sumy
- Redesigned standard interface in company colors and style guidelines
- Updated background, button colors, and typography for improved usability
- Developed custom icon design system
- Created multiple animations while maintaining button size and location

**Company Website Redesign**

**Landing Design** | KinoboardPRO

**Interior Design Project** | City Café and Conference Hall

## EDUCATION

**UI/UX Design Course**
- Adaptive website redesign
- Adaptive design for employee hiring web service
- Mobile application for restaurant table booking
- Multiple web design projects per curriculum

## CORE COMPETENCIES

UI/UX Design, Responsive and Adaptive Design, Wireframing, UI-Kit Development, Interface Design, Web and Mobile Design, Project Organization, Team Leadership, Design Concepts and Visual Communication, Visual Communication Strategy"
98282,"# UI-UX Designer

## About Me

Motivated junior UI-UX designer with a background in HR and a strong passion for creating visually appealing, user-friendly digital experiences. Detail-oriented and fast learner with proven ability to tackle challenging design problems and contribute to innovative projects.

## Project Experience

**Eventize – Mobile Application (2023)**
Designed and developed a mobile application that enables users to find and book venues, discover events, and plan special occasions. Created a comprehensive platform featuring event creation and management, category-based item selection, and task planning functionality with an intuitive user interface.

**Guesture – Web Application (2022)**
Designed a web platform connecting travelers with local hosts for affordable travel experiences targeting students and young people. Developed a user-centered interface supporting flexible accommodation arrangements through payment and work-exchange models.

## Objective

Seeking a full-time or part-time UI-UX design position at an innovative and growing company."
98283,"# UX/UI Designer & Team Leader

## Professional Summary
Responsible Junior UX/UI Designer with strong attention to detail and commitment to quality work. Focused 65% on user experience and 35% on visual design. Currently serving as Team Leader for web service development, overseeing organizational aspects, project contribution, and team support. Seeking to advance into a professional UX/UI Designer role and establish an independent brand.

## Experience

**Team Leader**
Web Service ""Shine"" - Cleaning Companies Platform (Pet Project)
- Lead team through all organizational aspects of project development
- Actively contribute to project work while maintaining team inspiration and support

**Team Leader**
Course-Based Development Team
- Oversee team collaboration on current coursework projects

## Projects

**Landing Page ""FlowerLover""**
Flower Delivery Pet Project
- Created minimalistic one-page website prioritizing user experience and preventing visual overload
- Conducted competitor and target audience analysis, selected references, created moodboard, developed wireframes and prototypes, built UI-kit, implemented animations, and adapted design for tablet and mobile devices
- Published case study on Behance

**Website Redesign ""A Kids Place Childcare""**
Modern Kindergarten Website Redesign
- Identified site problems contributing to decreased client attention and coverage decline through comprehensive analysis
- Executed site analysis, target audience and competitor research, reference collection, moodboard creation, wireframes, prototypes, UI-kit development, responsive adaptations, animations, and published case study on Behance
- Successfully achieved project goals and desired outcomes

## Professional Values
Committed to working with clients and teams that value design work and time investment."
98284,"PROFESSIONAL SUMMARY

Junior UI/UX Designer with foundational expertise in web design and digital interface creation. Proficient in industry-standard design tools including Adobe Creative Suite, Axure, and InVision, with a proven ability to develop comprehensive design solutions from concept to execution.

OBJECTIVE

Seeking a Junior UI/UX Designer position to leverage web design knowledge and technical skills in creating intuitive user experiences and visually compelling digital interfaces.

EDUCATION & TRAINING

Web Design (UX/UI) Course
UX Energy IT School | June 2018 – September 2018

CORE COMPETENCIES

• Site structure and interaction flow design
• Page wireframing and interface requirements specification
• Visual design including layout, color theory, typography, and iconography
• User experience design principles
• Prototyping and wireframing tools proficiency

TECHNICAL SKILLS

Design Tools: Adobe Photoshop, Adobe Illustrator, Adobe Experience Design, Axure, InVision"
98285,"# Dima

**Location:** Kyiv

## Professional Summary

Detail-oriented Junior UI/UX Designer with a passion for creating intuitive, modern, and engaging interfaces. Committed to delivering quality work on schedule and pursuing continuous improvement through hands-on design practice.

## Core Skills

- UI/UX Design
- Wireframing and Prototyping
- Figma (Components, Auto Layout)
- Landing Page Design
- Multi-page Project Design

## Education

**Projector — Creative & Tech Online Institute**
Web Design Beginning | 2022

**Projector — Creative & Tech Online Institute**
Web Design Junior | 2022–2023"
98286,"**UI/UX and Marketing Designer**

A highly motivated and creative designer with a passion for delivering excellent user experience and beautiful UI. With a strong understanding of design processes and a background in marketing, I am eager to contribute my expertise as a UI/UX or graphic designer.

**Professional Experience**

**Marketing Manager/Designer**

In my current role, I successfully manage and execute a comprehensive range of marketing and design responsibilities:

- Design marketing materials including brochures, leaflets, and stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Create imagery for websites, social media posts, and marketing campaigns
- Plan and produce email newsletters
- Edit videos for social media platforms
- Write compelling content for websites, marketing materials, campaigns, and email newsletters
- Develop and implement comprehensive marketing strategies
- Manage brand consistency across all design and marketing outputs
- Collaborate with cross-functional teams to align design solutions with business objectives
- Combine UI/UX design expertise with marketing knowledge to create user-focused design solutions"
98287,"# PROFESSIONAL SUMMARY

Experienced UI/UX Designer with a strong understanding of the interface design process and practical expertise in creating prototypes across diverse product types. Proven ability to analyze user needs, conduct thorough research, test prototypes, and leverage data-driven insights to enhance design solutions. Skilled in applying sound design principles to develop intuitive web browser layouts and interactive UX applications. Proficient in modern design tools and collaborative methodologies with a demonstrated ability to work effectively within cross-functional teams.

# PROFESSIONAL EXPERIENCE

**alkima web & design**
UI/UX Designer
March 2023 – Present

Conduct comprehensive user experience research and develop sitemaps, wireframes, and user interfaces. Create logos and design systems. Design website banners and social media creative assets. Proficient with the Webflow builder.

**Vinnytsia Distribution Company**
UI/UX Designer
January 2019 – February 2022

Developed interfaces for websites, mobile applications, and software solutions."
98288,"# Professional Experience

**Freelance Developer**

• Collaborated with project managers and web developers on diverse projects spanning gaming, cryptocurrency exchanges, and cryptocurrency-related websites
• Contributed to gaming projects during early-stage development phases, demonstrating adaptability in fast-paced environments
• Coordinated with clients and team members to clarify requirements and implement design and layout specifications
• Applied technical expertise across multiple project types and industries"
98289,"# DESIGN PORTFOLIO

## CASE STUDY 1: Law Firm Landing Page

**Project Overview**
Designed a comprehensive landing page for a law firm using Figma, encompassing full design and development workflow.

**Process & Responsibilities**
- Conducted client briefing and field research
- Analyzed law industry standards and competitors
- Developed mood boards and established visual direction
- Selected typography and color palette
- Created and refined brand identity guidelines
- Produced wireframes and multiple design concepts
- Delivered final design implementation
- Implemented responsive design for mobile and tablet devices

## CASE STUDY 2: Pastry Shop E-Commerce Website

**Project Overview**
Designed and implemented a pastry shop e-commerce website with integrated delivery functionality using Figma.

**Process & Responsibilities**
- Applied Figma auto layout systems
- Implemented responsive design principles
- Leveraged foundational design principles and best practices
- Created brand identity and visual guidelines
- Produced wireframes and design concepts

## TECHNICAL SKILLS

- Figma
- Responsive design and adaptive layouts
- Brand identity development
- UI/UX design fundamentals
- E-commerce design
- Wireframing and prototyping"
98290,"**Graphic Design Professional**

**Core Competencies**
- Adobe Photoshop
- Adobe Illustrator
- Figma
- Quick learner with strong adaptability
- Proficient in learning new design software and tools

**Professional Strengths**
- Master new design challenges rapidly
- Proactively expand software and design tool expertise
- Committed to continuous professional development"
98291,"# RESUME

## PROFESSIONAL SUMMARY

Motivated UI/UX designer with strong technical foundation in quality assurance and database management. Fast learner, responsible, and ready for challenging tasks. Seeking flexible work schedule or full-time position in a company focused on creating user-friendly solutions that enhance productivity.

## CORE COMPETENCIES

- UI/UX Design
- User Research & Competitive Analysis
- Wireframing & Prototyping
- Test Case Creation & Execution
- Bug Report Documentation
- SQL Database Management & Data Verification
- Figma, Adobe Illustrator, Slack

## PROFESSIONAL EXPERIENCE

**Quality Assurance & Testing**
- Successfully created and executed test cases to ensure software quality and functionality
- Generated comprehensive and accurate bug reports to identify and resolve issues quickly
- Effectively utilized SQL to work with databases and verify data accuracy

## PROJECTS

**Website Redesign: A Kids Place Childcare** (Study Project)
- Redesigned website for A Kids Place childcare located in North Olmsted, Ohio
- Created a well-structured, modern, and user-friendly design reflecting a nurturing, fun, educational, and safe environment
- Executed complete design process: User Research, Competitive Analysis, Wireframing, Prototyping, and Analysis
- Tools: Figma, Adobe Illustrator

**Web Service: Medical Clinic** (Study Project)
- Developed comprehensive visual solution for a private medical clinic web service
- Designed key features including doctor-patient meeting organization and documentation, online consultation capabilities, automated speech recognition documentation, and doctor selection by criteria and rating
- Completed full project scope: Baseline study, brainstorming, Jobs-to-be-done analysis, User Flow mapping, Customer Journey Map creation, prototyping, UI design, and adaptation
- Tools: Figma, Adobe Illustrator, Slack

**Personal Pet Projects**
- Developed and executed 2 personal projects"
98292,"# UX/UI Designer

## Professional Objective

Seeking opportunities to advance UX/UI design career, applying research, wireframing, and prototyping expertise to create balanced solutions that prioritize both user experience and business objectives.

## Professional Experience

**Design Studio, Kyiv**

Mobile App Project – DayDrive
- Created landing pages, sign up forms, and log in forms
- Conducted user research and analysis
- Developed wireframes and interactive prototypes
- Balanced usability and aesthetic design considerations

## Education & Training

**UX/UI Design Mentoring Program**
- Completed comprehensive mentoring in UX/UI Design
- Projects include landing pages, sign up and log in forms, and related design work

## Core Competencies

- User Experience (UX) Design
- User Interface (UI) Design
- Wireframing
- Interactive Prototypes
- User Research
- Problem Solving
- Design-User Empathy Balance

## Professional Skills

- User Experience Research and Analysis
- Wireframe Development
- Interactive Prototype Creation
- Usability and Aesthetic Design
- Business-Focused Design Solutions

## Languages

English – Advanced Level"
98293,"# UI/UX Designer

## Education
**UI/UX Design Advanced Course** – IT School Hillel
- First-Class Degree Diploma
- 2nd Place in Student Rating

## Professional Experience

**Freelance UI/UX Designer** | Upwork (Top Rated)
*Apr 2020 – Present*
- Redesigned CRM systems to improve user experience and workflow efficiency
- Created comprehensive component libraries for site-builder services
- Designed mobile applications across multiple platforms

**UI/UX Design Studies & Diploma Project** | IT School Hillel
*Sep 2019 – Mar 2020*
- Completed comprehensive UX training including user analysis, investigation, and prototyping
- Developed expertise in typography, grid composition, animations, color systems, and responsive design
- Designed and delivered CRM system for sports complex as capstone diploma project

**Web Design & Developer Collaboration**
*Jul – Aug 2019*
- Created responsive landing page for educational courses platform
- Collaborated with development team on design testing and implementation
- Contributed to CRM and web design projects in cross-functional environment

## Skills
- User Experience & Interface Design
- Component Libraries & Design Systems
- Mobile Application Design
- Responsive Web Design
- Typography & Color Systems
- Prototyping & User Analysis

## Continuous Learning
- Actively pursuing advanced design education through online courses and design resources"
98294,"# UI/UX Designer

**Food Delivery App – App Project**
*April – May 2023*

- Conducted comprehensive UX research and analysis including user personas, customer journey maps, empathy maps, and competitor analysis
- Developed site maps and user flows to establish clear information architecture
- Executed full UI design cycle including wireframing, concept development, and visual design

**Craft Brewery – Landing Page Project**
*June 2023*

- Performed UX research through competitor analysis and information architecture development
- Designed UI including wireframing, visual design, and animation
- Established visual direction and design consistency through moodboard creation"
98295,"**UX/UI Designer**

**Professional Summary**

Results-driven UX/UI designer with proven expertise in creating aesthetically refined and functionally effective products. Skilled in translating user research into intuitive design solutions that enhance usability and drive business results.

**Core Competencies**

**Design & Prototyping**
- Low- and high-fidelity prototyping
- Interactive prototyping in Figma
- Adaptive design
- Design systems & UI kits
- Styles, components, variants, and autolayout in Figma

**UX Research & Strategy**
- Target audience research
- User flow, user story, customer journey mapping, and user scenario development
- Problem identification and solution design

**Design Tools & Software**
- Adobe Illustrator
- Adobe Photoshop
- Figma
- Tilda
- HTML and CSS

**Design Principles**
- Color theory
- Typography
- Composition
- Material Design
- Human Interface Guidelines
- Logo design

**Project Portfolio**

- **Vinyl Shop Website** – Desktop and mobile responsive design
- **Sign Language Study App** – UX research, Human Interface design, Material Design, and landing page
- **Car Trip Planning App** – UX research, design system, Human Interface design, and landing page

**Objective**

Seeking a web design position to leverage comprehensive UX/UI expertise in creating user-centered, effective digital products."
98296,"# RESUME

## PROFESSIONAL EXPERIENCE

**Designer** | Charitable Foundation
- Created landing pages applying design principles
- Designed banners for various applications
- Designed logos for brand identity
- Demonstrated expertise in responsive and adaptive design
- Conducted UX research to inform design decisions
- Developed high-fidelity and low-fidelity prototypes

## SKILLS

- Landing page design
- Banner design
- Logo design
- Mobile app design
- High-fidelity prototyping
- Low-fidelity prototyping
- Responsive design
- Adaptive design
- UX research

## EDUCATION

Project-based learning in:
- Landing page design
- Mobile app design
- Prototyping
- Responsive and adaptive design
- UX research

## PROFESSIONAL GOALS

Seeking to develop expertise in design and gain new experience and knowledge in the field."
98297,"# DESIGNER

Creative designer with hands-on experience in landing pages, website redesign, web services, and mobile application projects. Developed 3 projects through collaborative team initiatives. Strong foundation in design principles gained through IT coursework and proficiency with professional design tools. Skilled communicator with proven ability to work effectively in team environments. Open to feedback, committed to timely project completion, and focused on delivering user-centered product design.

## PROJECT EXPERIENCE

**Landing Page: Barbershop in Kyiv**
- Single-page website designed to attract customers and promote services
- Integrated service information, staff descriptions, customer reviews, and competitive differentiators

**Web Service for Medical Clinic**
- Full-cycle website design developed collaboratively with team members
- Designed patient-side user flow and interface
- Implemented appointment scheduling with online and in-person options, medical history access, and payment history tracking

**Website Redesign: KIDS PLACE**
- Comprehensive full-cycle redesign project
- Developed adaptive, mobile-friendly design to enhance accessibility and expand target audience reach
- Modernized visual design and user experience to increase visitor engagement"
98298,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer**

Designed multiple projects including landing pages, website redesigns, housing reservation services, and restaurant/café/bar table booking applications using Figma and Adobe Photoshop. Executed comprehensive design processes including market analysis, competitor analysis, persona development, wireframing, sitemaps, and UI/UX design while maintaining consistent corporate identity across all deliverables.

**Graphic Design Project - InaMi**

Collaborated with client to develop logo and corporate identity for Ina&Mi, a Ukrainian women's clothing brand. Created visual solutions leveraging Adobe Illustrator, Photoshop, and InDesign, delivering work that met client requirements and expectations.

**Team Project - Freedom**

Contributed to development team for free accommodation booking web service. Performed competitor analysis, participated in strategy development, and collaborated cross-functionally to advance product development while demonstrating strong communication, collaboration, and teamwork capabilities.

## Core Competencies

UI/UX Design, Logo and Brand Identity Design, Competitor and Market Analysis, Wireframing and Sitemaps, Adobe Illustrator, Photoshop, InDesign, After Effects, Figma, Team Collaboration, Leadership, Creativity, Organization, Problem-solving, Knowledge Sharing

## Professional Goals

Contribute to high-quality product development that meets business and user needs while seeking opportunities for professional growth, skill development, and career advancement in a collaborative team environment with mentoring and training support."
98299,"**UI/UX Designer**

**Professional Summary**
Highly creative and detail-oriented junior UI/UX designer with a passion for crafting intuitive and engaging digital experiences. Strong foundation in design principles and ability to solve complex problems through user-centered design. Experienced in full-cycle design projects for both fintech and e-commerce platforms.

**Core Competencies**
• User-centered design principles
• UX research and competitor analysis
• User personas, scenarios, and sitemaps
• Wireframing and prototyping
• Visual interface design
• User flows and site maps
• Adobe Suite (Photoshop, Illustrator)
• Figma – web interfaces, mobile design, and landing pages
• Google Material Design Guidelines
• Icon, logo, and illustration design
• Usability testing
• Design system and style guide development

**Professional Experience**

**Crypto Wallet Tutis – Full Cycle Application Design**
• Designed a secure and user-friendly platform for managing cryptocurrencies
• Addressed complex design challenges including security and data privacy
• Conducted extensive user research to understand cryptocurrency wallet user needs
• Implemented user-centered design principles to ensure the product met target audience needs
• Created intuitive interface that provided seamless user experience while prioritizing asset safety

**Cucina di Catherina – Online Store Redesign**
• Led full-cycle redesign of e-commerce website to enhance customer experience and drive engagement
• Conducted extensive user research to identify and address customer pain points
• Developed fresh, modern visual identity with updated color palette aligned with brand vision and values
• Created cohesive visual elements to modernize brand image
• Performed usability testing throughout design process to validate design solutions
• Enhanced website usability and intuitiveness to create more engaging user experience"
98300,"**UX/UI DESIGNER**

**PROFESSIONAL SUMMARY**

Highly motivated UX/UI designer passionate about creating beautiful, seamless user experiences. Dedicated to simplifying complex tasks and delivering measurable value to users while continuously advancing design skills to drive organizational success.

**CORE COMPETENCIES**

User Experience Design • User Interface Design • Communication Skills

**EDUCATION**

UI/UX Design Courses – Completed

**PROFESSIONAL EXPERIENCE**

Demonstrated applied expertise in user experience and interface design across various professional positions with a track record of successful project delivery.

**PROJECTS**

Personal design projects showcasing proficiency in UX/UI design capabilities and practical application of design principles."
98301,"# Junior UI/UX Designer

Experienced Junior UI/UX Designer with comprehensive expertise in digital and visual design. Proven ability to translate design principles into user-friendly, visually compelling solutions through technical proficiency and strategic design methodology.

## Core Competencies

**Design Skills:**
UI/UX Design | Prototyping | Design Research | User-Centered Design | Visual Communication | Graphic Design | 3D Modelling | Animation | Typography | Illustration

**Technical Proficiencies:**
Figma | Photoshop | Illustrator | After Effects | Maya | Premiere Pro

**Design Methodologies:**
Design Research | Strategic Analysis | SWOT Analysis | Visual Design Principles

## Education

**Design IT Step Academy**
Comprehensive training in graphic design, 3D modelling, animation, and UI/UX design"
