,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98284,"# RESUME

## Objective

Junior UI/UX Designer with specialized training in user experience principles and visual design, eager to contribute expertise in site structure development, interaction flows, and interface design to a collaborative design team.

## Skills

**User Experience Design**
- Site structure development and information architecture
- Interaction flow design
- Page wireframing
- Interface requirements documentation

**Visual Design**
- Layout and composition
- Strategic color theory application
- Typography
- Iconography

## Technical Proficiencies

**Design Tools**
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD

**Prototyping & Collaboration**
- Axure
- InVision

## Education

**Web Design (UX/UI) Certificate**
UX Energy IT School | June 2018 – September 2018"
98285,"**DIMA**
Kyiv

---

**PROFILE**

Junior UI/UX Designer passionate about crafting convenient, modern, and engaging application interfaces. Skilled in developing wireframes from low to high fidelity and building functional prototypes utilizing components and autolayouts in Figma. Experienced in designing landing pages and multi-page projects. Detail-oriented professional committed to meeting deadlines and continuous self-improvement.

---

**SKILLS**

UI/UX Design • Wireframing (Low to High Fidelity) • Interactive Prototyping • Figma (Components, Autolayouts) • Landing Page Design • Multi-Page Website Design • Responsive Web Design

---

**EDUCATION**

**Projector — Creative & Tech Online Institute**
Web Design Junior | 2022–2023

**Projector — Creative & Tech Online Institute**
Web Design Beginning | 2022"
98286,"# UI/UX & Graphic Designer

Creative designer with a passion for delivering excellent user experiences and visually compelling interfaces. Combines strong understanding of the design process with marketing expertise to drive results across UI/UX and graphic design initiatives.

---

## Professional Experience

**Marketing Manager/Designer** *(Sole Designer)*

- Lead end-to-end creative direction as sole designer, owning all visual output across print and digital channels
- Design marketing collateral including brochures, leaflets, and exhibition stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Develop visual assets for website, social media, and marketing campaigns
- Plan, design, and produce email newsletters
- Edit video content for social media platforms
- Write compelling content for website, marketing materials, campaigns, and email newsletters

---

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Competencies:** UI/UX Design, Graphic Design, Video Editing, Content Writing, Email Marketing, Social Media Marketing"
98287,"**RESUME**

---

**PROFESSIONAL SUMMARY**

UX/UI Designer specializing in end-to-end interface design—from user research through prototype development and data-driven iteration. Transforms user needs into intuitive, clear layouts for web and mobile applications. Proven collaborator who contributes effectively within cross-functional team environments.

---

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
Alkima Web & Design
March 2023 – Present

- Conduct user experience research to drive informed design decisions
- Develop sitemaps, wireframes, and user interfaces for web and mobile applications
- Build responsive websites using Webflow
- Create website banners, social media creatives, and brand assets including logos
- Establish design system concepts to ensure visual consistency

**Sales Manager**
Vinnytsia Distribution Company
January 2019 – February 2022

- Managed sales operations and client relationships
- Developed communication and negotiation skills applicable to stakeholder collaboration

---

**SKILLS**

User Research & Needs Assessment | Wireframing & Prototyping | User Interface Design (Web & Mobile) | User Testing & Data-Driven Optimization | Design Systems & Brand Asset Development | Webflow | Cross-Functional Collaboration

---

**OBJECTIVE**

Seeking opportunities to collaborate on projects that help people make better use of technology, designing interfaces for websites, mobile applications, and software."
98288,"# PROFESSIONAL RESUME

## PROFILE

Freelance technology consultant specializing in gaming and cryptocurrency industries. Adept at partnering with cross-functional teams—including project managers and web developers—to deliver high-quality results across projects of varying scope and complexity.

## EXPERIENCE

**Freelance Consultant**

- Collaborated with cross-functional teams to advance early-stage gaming projects from concept through key development milestones
- Developed tailored solutions for cryptocurrency exchanges and web platforms
- Translated client requirements into actionable objectives through strategic partnership with project managers
- Partnered with web developers to refine and implement precise layout specifications
- Balanced concurrent projects across multiple industries while upholding quality standards

## SKILLS

- Cross-Functional Team Collaboration
- Client Relationship Management
- Project Coordination
- Gaming Industry Consulting
- Cryptocurrency & Blockchain Solutions
- Layout & Design Coordination"
98289,"# UX/UI Designer

## Technical Skills

Figma (Auto Layouts, Adaptive Design) • Wireframing • Brand Identity Development • Responsive Design (Mobile, Tablet, Desktop)

## Portfolio

### Law Firm Landing Page

Led end-to-end design process from client briefing through final delivery. Conducted industry research and competitive analysis to inform strategic design direction. Established cohesive brand identity through mood boards, typography systems, and color palettes. Delivered responsive designs optimized for desktop, tablet, and mobile through wireframing and iterative concept exploration.

### Pastry Shop E-Commerce Website

Designed comprehensive e-commerce website with integrated delivery functionality. Built scalable auto layout systems in Figma for design efficiency. Applied foundational design principles to ensure visual consistency and usability across the platform."
98290,"# RESUME

## Skills

**Design Software**

Adobe Photoshop | Adobe Illustrator | Figma

## Core Competencies

- Rapidly acquires new skills with strong adaptability to evolving project requirements
- Proactively seeks challenging opportunities to expand expertise
- Committed to continuous professional development in graphic design software and emerging industry tools"
98291,"# UI/UX Designer & QA Specialist

## Summary
Detail-oriented UI/UX Designer and QA Specialist with hands-on experience creating seamless, user-centered designs and ensuring software quality through rigorous testing and data verification. Combines creative problem-solving with technical precision to deliver functional, intuitive digital experiences.

---

## Skills

**Design:** User Research, Competitive Analysis, Wireframing, Prototyping, UI Design, Responsive Design, Customer Journey Mapping, User Flow Development, Jobs-to-be-Done Framework

**Quality Assurance:** Test Case Creation & Execution, Bug Reporting & Documentation, SQL Database Querying, Data Verification

**Tools:** Figma, Adobe Illustrator, Slack

---

## Projects

### Medical Clinic Web Service
Designed a comprehensive web service for a private medical clinic featuring online consultations, speech recognition technology for automated documentation, and patient-driven doctor selection based on ratings and customizable criteria.

- Conducted baseline study and competitive research to inform design decisions
- Developed Jobs-to-be-Done framework and Customer Journey Maps to identify user needs
- Created User Flows, wireframes, and high-fidelity prototypes
- Designed responsive UI across multiple device formats

### A Kids Place Childcare Website Redesign | North Olmsted, Ohio
Executed a complete website redesign, transforming the digital presence into a modern, well-structured platform reflecting the organization's nurturing educational environment.

- Performed user research and competitive analysis
- Developed wireframes and interactive prototypes
- Delivered actionable design conclusions and recommendations

### Additional Projects
Completed 2 projects demonstrating continued skill development and initiative in UI/UX design.

---

## Professional Attributes
- Fast learner with strong adaptability
- Detail-focused and responsible
- Thrives on challenging tasks
- Available for flexible or full-time positions"
98292,"# UX/UI Designer

## Summary

UX/UI Designer specializing in mobile app design, landing pages, and sign-up/log-in experiences. Adept at balancing usability with visual appeal while aligning user needs with business objectives.

## Experience

**Design Studio — Kyiv**
*UX/UI Designer*

- Designed and developed ""DayDrive,"" a mobile application, contributing to end-to-end user experience from concept to implementation

## Skills

- UX Research & Analysis
- Wireframing
- Interactive Prototyping
- Landing Page Design
- Sign-up/Log-in Form Design
- User Experience Problem-Solving

## Education

**UX/UI Design Mentorship Program**

## Languages

English — Advanced"
98293,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer**
Upwork | Top Rated | April 2020 – Present

- Redesign CRM systems to enhance user experience and establish interface consistency across platforms
- Develop comprehensive component libraries for site-builder services, enabling scalable design implementation
- Lead mobile application design from concept through final UI delivery
- Create custom CRM solutions tailored to diverse client requirements and business workflows

**Design & Development Collaboration**
July – August 2019

- Designed landing page for educational courses
- Partnered with development teams on testing workflows and CRM design implementation
- Contributed to web design projects across multiple deliverables

---

## Skills

**Research & Strategy:** UX Research, User Analysis

**Visual Design:** Typography, Grid Systems, Color Theory, Animation Design

**Technical Execution:** Prototyping, Responsive Design, Component Library Development, Mobile App Design, CRM Design

---

## Education

**IT School Hillel** — UI/UX Design, Advanced Level
First-Class Degree Diploma | 2nd Place in Student Rating

Diploma Project: CRM System for Sport Complex

**Ongoing Professional Development**
Continuously expanding expertise through design courses across multiple learning platforms

---

## About

Collaborative designer seeking a team environment with opportunities for professional growth through challenging, meaningful projects."
98294,"# UI/UX Designer

## Projects

### Food Delivery App
**April–May 2023**

**UX Research & Strategy**
- Developed user personas and empathy maps to drive design decisions
- Mapped customer journeys, identifying key pain points and opportunities for improvement
- Conducted competitive analysis to inform strategic product positioning
- Designed comprehensive site map and user flows enabling seamless navigation

**UI Design**
- Produced wireframes to validate layout and functionality concepts
- Established cohesive visual design concept aligned with brand identity
- Delivered polished, development-ready visual designs

---

### Craft Brewery Landing Page
**June 2023**

**UX Research & Strategy**
- Conducted competitive analysis to identify industry best practices
- Developed information architecture for optimal content organization
- Created moodboard establishing visual direction and brand tone

**UI Design**
- Produced wireframes defining page structure and visual hierarchy
- Created visual design capturing authentic brand personality
- Designed animations to enhance user engagement and interactivity"
98295,"# [Your Name]
**UX/UI Designer**

[Contact Information]

---

## Profile

Creative problem-solver passionate about designing digital products that balance user needs with business objectives. Skilled in transforming concepts into user-centered solutions through research-driven design processes.

---

## Projects

**Vinyl Shop Website**
Designed fully responsive e-commerce experience optimized for desktop and mobile platforms

**Sign Language Study App**
Conducted comprehensive UX research and designed native mobile application adhering to Human Interface Guidelines and Material Design principles, supported by promotional landing page

**Car Trip Planning App**
Led end-to-end design process from discovery through delivery, including UX research, design system development, Human Interface design, and landing page creation

---

## Skills

**Design Tools**
Figma · Adobe Illustrator · Adobe Photoshop · Tilda

**UX Research**
User Flow · User Story · Customer Journey Mapping · User Scenario · Target Audience Research

**Prototyping**
Low-Fidelity & High-Fidelity Wireframing · Interactive Prototyping

**UI Design**
Design Systems · Component Libraries · Variants · Autolayout · Responsive & Adaptive Design · Logo Creation

**Design Foundations**
Color Theory · Typography · Composition · Material Design · Human Interface Guidelines · UI Kits

**Development**
HTML · CSS

---

## Contact

[Your Email] | [Your Phone] | [Portfolio URL]"
98296,"# Designer

## About Me

Passionate designer dedicated to creating compelling visual experiences and user-centered solutions.

## Experience

**Designer | Charitable Foundation**
- Designed and developed high-converting landing page driving user engagement
- Created banners and marketing materials supporting organizational campaigns
- Established cohesive brand identity through logo design and visual elements

## Skills

**User Experience & Research**
- UX Research Methodology
- High-Fidelity & Low-Fidelity Prototyping

**Web & Mobile Design**
- Landing Page Design & Development
- Mobile Application Design
- Adaptive & Responsive Design

**Visual & Brand Design**
- Logo & Brand Identity
- Marketing Collateral & Banner Design

## Education & Training

- Landing Page Development
- Mobile Application Design
- Prototyping (High-Fidelity/Low-Fidelity)
- Adaptive & Responsive Design Principles
- UX Research Methodology"
98297,"# DESIGNER

Entry-level designer with experience in independent and collaborative projects spanning landing pages, website redesigns, web services, and mobile applications. Completed 3 projects, including a team project leading research and implementation of patient-side user flow.

Solid foundation in design principles and professional tools gained through IT coursework. Strong communicator with proven ability to work effectively in teams, incorporate feedback, and deliver work on time.

Seeking full-time or part-time design opportunities with companies focused on creating user-friendly products that balance business goals with user experience.

---

## PROJECT EXPERIENCE

**Landing Page — ""Barbershop in Kyiv""**
*One-page website*

Designed customer-focused landing page featuring service information, professional staff profiles, customer reviews, and key competitive differentiators.

**Web Service — Medical Clinic**
*Full-cycle website design | Team project*

Led research and implementation of patient-side user flow. Created patient-facing pages for online and in-person appointment booking, medical history access, and payment history viewing.

**Website Redesign — ""KIDS PLACE""**
*Full-cycle redesign*

Modernized website usability through responsive design, increasing accessibility and expanding target audience reach.

---

## SKILLS

UX/UI · User Flow · Responsive Design · Design Principles · Research · Team Collaboration · Professional Design Tools

---

Goal-oriented, responsible, and quick learner ready to take on complex challenges."
98298,"# UI/UX Designer

## Summary

UI/UX designer specializing in landing pages, websites, web services, and mobile applications. Combines strategic thinking with creative execution across market analysis, competitor research, persona development, wireframing, sitemap architecture, and brand-aligned design.

## Projects

### InaMi Brand Identity
Developed logo and comprehensive corporate identity for a Ukrainian modern women's clothing brand, delivering the complete project to client satisfaction.

**Tools:** Adobe Illustrator, Adobe Photoshop, Adobe InDesign

### Freedom
Led competitor research and strategy development for a housing reservation web service, driving collaborative project planning within a team environment.

**Tools:** Figma, Adobe Photoshop

### Additional Projects
- Landing page design
- Website redesign
- Table booking application for restaurants, cafes, and bars

## Skills

**Technical:** Figma, Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Adobe After Effects

**Design:** UI/UX Design, Wireframing, Sitemap Development, Market Analysis, Competitor Research, Persona Development, Corporate Identity, Logo Design

**Professional:** Team Collaboration, Communication, Leadership, Adaptability, Creativity, Organization

## Professional Attributes

- Committed to team collaboration and achieving shared goals
- Dedicated to delivering innovative solutions and fresh perspectives
- Driven by continuous learning and professional development
- Supportive of colleagues through knowledge and experience sharing"
98299,"# [Name]
## Junior UI/UX Designer

Creative, detail-oriented UI/UX designer passionate about crafting intuitive digital experiences. Strong foundation in design principles with proven ability to solve complex problems and create user-centered designs for diverse audiences.

---

## Experience

### Crypto Wallet Tutis
**Application | Full Cycle Design**

- Designed secure, user-friendly cryptocurrency management platform balancing complex security requirements with intuitive interaction patterns
- Conducted user research identifying needs and incorporated feedback iteratively throughout design process
- Resolved complex design challenges around security and data privacy while maintaining seamless usability
- Delivered intuitive experience prioritizing asset safety and streamlined cryptocurrency transactions

### Cucina di Catherina
**Online Store Website Redesign | Full Cycle Design**

- Led full-cycle website redesign creating fresh, modern aesthetic aligned with brand vision and values
- Conducted user research identifying customer pain points to inform design decisions throughout project
- Developed visual elements and color palette modernizing and strengthening brand identity
- Executed iterative usability testing validating design solutions and refining user experience
- Enhanced website intuitiveness and engagement, resulting in increased traffic and engagement metrics post-launch

---

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Design Capabilities:** Web Interfaces, Mobile Design, Landing Pages, Icons, Logos, Illustrations

**UX Methods:** User Research, Competitor Analysis, User Personas, User Scenarios, Wireframing, Prototyping

**Additional:** Sitemaps, User Flows, Responsive Design, Design Systems, Google Material Design Guidelines

---

## Seeking

Collaborative environment with cross-functional teams including product managers, developers, and stakeholders. Opportunities to conduct user research, create prototypes, develop design systems, and advocate for user-centered design principles."
98300,"# UI/UX Designer

## Summary
Motivated UI/UX Designer dedicated to transforming complex tasks into intuitive, enjoyable user experiences. Skilled at balancing visual appeal with functional seamlessness to deliver meaningful value to users. Effective communicator bringing a diverse professional background and fresh perspective to design challenges.

## Skills
- UI/UX Design
- User-Centered Design
- Visual Design & Functional Usability
- Cross-Functional Communication
- Problem-Solving & Simplifying Complexity

## Education & Training
- UI/UX Design Courses (Recently Completed)

## Portfolio
- Personal UI/UX Design Projects

## Professional Experience
Diverse professional background with demonstrated strengths in communication, collaboration, and translating complex requirements into clear, user-focused solutions."
98301,"**Junior UI/UX Designer**

**Summary**

Creative Junior UI/UX Designer with comprehensive training in graphic design, 3D modelling, animation, and UI/UX design. Adept at crafting visually compelling, user-centred experiences through strong command of industry-standard tools and foundational design principles. Combines analytical research methods with artistic sensibility to deliver thoughtful, effective design solutions.

**Education**

**IT Step Academy**
Graphic Design | 3D Modelling | Animation | UI/UX Design

**Technical Skills**

Figma | Adobe Photoshop | Adobe Illustrator | Adobe After Effects | Adobe Premiere Pro | Autodesk Maya

**Design Competencies**

- Prototyping & Wireframing
- Design Research & Analysis
- SWOT Analysis
- Typography & Layout Principles
- Image Making & Illustration
- User-Centred Design
- Visual Communication
- Motion Graphics & Animation"
98302,"**JUNIOR UI/UX DESIGNER**

Creative UI/UX Designer specializing in full-cycle design for web and mobile applications. Skilled at transforming complex ideas into intuitive, visually cohesive interfaces through rigorous task analysis, prototyping, and user-centered design. Committed to solving real problems and simplifying user goals with meticulous attention to detail.

---

**PROJECTS**

**Paw Rescue – Lost & Found Pet Service** | Team Leader
- Directed team workflow and coordinated collaboration on a comprehensive website design project
- Conducted competitor analysis that informed strategic decisions on site architecture
- Created prototype visual elements and crafted a modern, unified interface
- Developed user flows that efficiently guide visitors toward key actions
- Implemented design systems to maintain consistency and enhance usability

**Italian Sauce Website Redesign**
- Redesigned website to strengthen customer engagement and streamline navigation
- Researched competitors to identify and apply proven design strategies
- Introduced refreshed color palette, cohesive photography standards, and contemporary typography
- Delivered responsive layouts optimized for mobile and tablet screens

**Flower Lover Landing Page**
- Analyzed target audience insights to drive design direction
- Crafted a clear, intuitive interface featuring organized menu architecture
- Executed complete interface development from initial concept through final delivery

---

**SEEKING**

Remote position within a collaborative team offering opportunities for professional development and career advancement."
98303,"# JUNIOR UI/UX DESIGNER

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Protopie

**Core Competencies:** UI/UX Design, Wireframing, Interactive Prototyping, Responsive Design, Design Systems, Component Libraries, User Flows, Journey Mapping, Visual Hierarchy, Graphic Editing

**Professional:** Project Management, Deadline Adherence, Cross-Functional Team Collaboration

## Experience

**Junior UI/UX Designer**

- Design intuitive, visually appealing user interfaces for web services and mobile applications, balancing aesthetics with usability
- Translate complex project requirements into effective, user-centered design solutions through cross-functional collaboration
- Create responsive layouts optimized for seamless performance across multiple devices and screen sizes
- Develop mobile screens with meticulous attention to touch interactions, gesture patterns, and visual hierarchy
- Adapt quickly to diverse project requirements while continuously refining design skills and expanding technical expertise

## Projects

**Custom Concepts — Tattoo Studio Website Redesign**
- Redesigned website to improve usability and elevate customer experience
- Refined color palette and integrated high-quality photography to strengthen brand identity
- Developed streamlined booking form with clear visual hierarchy and intuitive user flow

**PetRescue — Lost Pet Search Web Application**
- Designed comprehensive web platform connecting lost pets with owners through accessible online search and reporting
- Created user-friendly interfaces enabling visitors to share, search, and match missing pet information
- *Tools: Figma, Adobe Photoshop, FigJam, Adobe Illustrator*

## Languages

Ukrainian (Native) | Russian (Fluent) | English (Upper-Intermediate) | Polish (Elementary)"
98304,"# Junior UI/UX Designer

## Professional Summary

Junior UI/UX Designer specializing in digital experiences that balance visual appeal with optimal usability. Proven ability to lead redesign initiatives, conduct comprehensive UX research, and deliver intuitive solutions for landing pages, web services, and mobile applications. Skilled at translating user insights from in-depth interviews, questionnaires, personas, and empathy maps into actionable design decisions.

---

## Projects

### Buki School Redesign | Team Lead

Reimagined student cabinet to address low user engagement and unintuitive navigation, enabling students to access information quickly and intuitively.

- Led team organization and established efficient workflow processes
- Conducted comprehensive UX research: competitive analysis, heuristic evaluation, in-depth interviews, persona development, and user surveys
- Created clickable prototype of the redesigned cabinet
- Presented final project and recommendations to stakeholders

---

### DocMe Web Service | UX Researcher & Designer

Designed a web service to organize and document doctor-patient meetings, featuring automatic report generation and dedicated dashboard-style cabinets for doctors and patients.

- Conducted competitor analysis and target audience research
- Applied personas method, Jobs to Be Done framework, and Customer Journey Mapping
- Designed main website interface and contributed to patient and doctor cabinet interface design"
98305,"# RESUME

## Professional Summary
UI/UX Designer with six completed projects, specializing in user-centered design that balances visual appeal with intuitive functionality. Proven ability to lead cross-functional teams from concept through delivery while maintaining project timelines and quality standards.

## Experience

**Team Leader & UI/UX Designer | Web Service for Finding Lost Pets**
- Directed team operations, coordinating workflows, delegating tasks, and facilitating productive meetings
- Executed end-to-end UX research: competitor analysis, target audience identification, persona development, JTBD framework, customer journey mapping, and user flow creation
- Designed intuitive interfaces informed by user research and aligned with audience expectations
- Delivered project on schedule, earning high mentor evaluation

**UI/UX Designer | Startup Project (Current)**
- Partnering with development team to build a web-based platform
- Designing streamlined interface enabling accountants and professionals to calculate salaries and bonuses efficiently

## Projects

**Mobile Application | Coffee Shop Chain**
- Crafted youth-oriented mobile interface balancing aesthetic appeal with comprehensive functionality
- Led full design cycle: competitive analysis, audience research, persona creation, JTBD, user flows, wireframes, visual design, and animation

**Website Redesign | Travel Agency**
- Developed accessible, visually clear design serving a broad demographic
- Architected information hierarchy to differentiate client from competitors
- Produced wireframes, UI design, responsive layouts, and animations

## Education
UI/UX Design Course | 6 Projects Completed

## Skills
User Interface Design · User Experience Design · Competitor Analysis · User Research · Persona Development · JTBD · Customer Journey Mapping · User Flows · Wireframing · Visual Design · Animation · Responsive Design · Information Architecture · Team Leadership · Project Coordination

## Career Objective
Seeking a position within a development-focused team to apply my skills practically and continue growing as a designer."
98306,"# Junior UX/UI Designer

## Summary

Detail-oriented Junior UX/UI Designer with training in UX Design, Interaction Design, and UI/UX principles. Skilled across the full product design lifecycle—from user research and persona development through high-fidelity prototyping and usability testing. Committed to creating intuitive, user-centered digital experiences.

## Skills

- User Research & Stakeholder Requirements Analysis
- Persona Development & Task Analysis
- High-Fidelity Wireframing & Interactive Prototyping
- Usability Testing & Iteration
- Presentation & Cross-Functional Communication

## Tools

Figma | Miro

## Projects

**Planner Application**
Led end-to-end UX/UI design for a productivity tool, executing user research, wireframing, interactive prototyping, and usability testing to refine the final product.

**eCommerce Website Redesign**
Conducted user-centered redesign to streamline navigation and enhance the overall shopping experience.

**Landing Page**
Designed a conversion-focused landing page optimized for user engagement.

**CRM System**
Created interface designs for a customer relationship management platform, prioritizing usability and workflow efficiency.

**Corporate Website**
Developed a professional web presence balancing visual appeal with clear information architecture.

## Education & Training

**UX Design & Interaction Design** — Projektor

**UI/UX** — Skill-up School

## Professional Objective

Seeking a position to apply and expand my UX/UI expertise while contributing meaningful value to a collaborative design team."
98307,"# Junior UX/UI Designer

Freelance UX/UI Designer specializing in responsive web design, user research, and intuitive interface solutions.

## Professional Experience

### E-commerce Skincare Website Redesign
- Conducted comprehensive user research encompassing competitor analysis and user persona development
- Translated user pain points and preferences into actionable design decisions
- Applied usability heuristics to develop intuitive, user-centered prototypes
- Optimized visual design while streamlining the overall user experience

### Landing Page Design | Educational & Agricultural Sectors
- Designed strategic calls-to-action to maximize user engagement and conversion
- Communicated clear value propositions through effective articulation of course benefits and outcomes
- Developed cohesive visual identities through purposeful color schemes, typography, and imagery

## Core Competencies
User Research & Analysis | Usability Optimization | Responsive Web Design | Prototyping | Visual Design | User Persona Development"
98308,"# PROFESSIONAL SUMMARY

UX/UI Designer with Digital Marketing Professional Certificate from the University of Miami and Bachelor of Science in Hospitality and Tourism Management with Minor in International Relations from Florida International University. Former Ukrainian National team athlete with proven discipline, dedication, and competitive drive. Committed to staying current with industry trends and technology while pushing creative boundaries.

# SKILLS

- User Experience Design
- User Interface Design
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Digital Marketing

# PORTFOLIO PROJECTS

**VitalMed Private Medical Clinic**
Web Service Design

**Tattoo Salon**
Website Redesign

**Citroën C4**
Landing Page Design

# EDUCATION

**University of Miami**
Digital Marketing Professional Certificate

**Florida International University**
Bachelor of Science in Hospitality and Tourism Management
Minor in International Relations

# PROFESSIONAL ATTRIBUTES

- Creativity and attention to detail
- Strong problem-solving and research capabilities
- Collaborative team contributor
- Committed to delivering high-quality work
- Eager to explore innovative design approaches"
98309,"# Junior Web Designer

## Objective

Seeking opportunities to advance professional design skills through challenging new projects.

## Professional Experience

**Junior Web Designer** | Warehousing Software Company

- Designed and developed company website from the ground up, establishing cohesive brand presence across all pages
- Created web pages, graphics, and visual elements supporting corporate website and marketing initiatives
- Produced wireframes, mockups, and prototypes to communicate design concepts to stakeholders
- Maintained design quality control throughout project lifecycle
- Developed marketing collateral including social media graphics, YouTube video previews, and thumbnails
- Recorded and produced YouTube videos demonstrating product functionality
- Collaborated cross-functionally with development and testing teams to deliver polished final products

## Core Competencies

Web Design & Development | Wireframing & Prototyping | Visual Design | Marketing Collateral | Video Production | Cross-Functional Collaboration | Quality Control

## Technical Skills

Figma | Adobe Illustrator | OBS Studio"
98310,"# Product Designer

## Professional Summary

Strategic product designer specializing in consumer products with deep expertise in design optimization and competitive analysis. Proven ability to enhance existing product designs while benchmarking against industry competitors to deliver superior quality and performance standards.

## Core Competencies

- Consumer Product Design
- Design Optimization & Iteration
- Competitive Product Analysis
- Quality & Performance Benchmarking

## Professional Experience

**Product Designer**

- Lead design improvements for existing consumer product lines, driving enhanced user experience and market competitiveness
- Conduct comprehensive competitor product analyses, evaluating quality metrics and performance benchmarks to identify strategic opportunities
- Develop refined design concepts that meet or exceed market standards, ensuring alignment with industry best practices"
98311,"**UI/UX Designer**

**Summary**

Detail-oriented UI/UX Designer with a proven record of delivering creative, tailored solutions through freelance work. Combines strong analytical thinking with excellent communication to translate client requirements into effective, user-centered design outcomes. Quick to adapt, highly motivated, and committed to exceptional standards from concept through final delivery.

**Skills**

- Figma
- Prototyping
- Adobe Photoshop
- Communication & Collaboration
- Attention to Detail & Accuracy

**Experience**

**Freelance UI/UX Designer**

- Deliver custom UI/UX solutions across multiple projects, consistently meeting unique client requirements through creative problem-solving
- Partner with clients to gather requirements, present design rationale, and iterate on solutions based on feedback
- Translate complex client needs into intuitive, user-centered designs
- Maintain precision and quality throughout all project phases, from initial concept through final delivery

**Work Preferences**

Seeking a remote position with flexible hours."
98312,"# [Your Name]
[Contact Information]

## Professional Summary

Analytical professional transitioning from auditing to UX/UI design, bridging rigorous problem-solving expertise with hands-on graphic design experience. Adept at translating complex concepts into visually compelling, user-centric designs. Eager to leverage a distinctive blend of quantitative reasoning and creative execution in an entry-level UX/UI role.

## Skills

- User-Centric Design Principles
- Visual Identity & Branding
- Graphic Design for Print & Digital
- Social Media Content Creation
- Analytical Problem-Solving
- Detail-Oriented Project Execution
- Deadline-Driven Workflow Management

## Professional Experience

**Graphic and Social Media Designer**
Education Center, [Location]

- Developed and managed cohesive visual identity across all organizational materials, ensuring brand consistency
- Created engaging social media content, posters, and print collateral grounded in user-centric design principles
- Simplified complex educational concepts into accessible, visually compelling designs for diverse audiences

**Auditor**
[Company Name], [Location] | [Dates]

- Executed detailed audit processes requiring rigorous analytical thinking and precision
- Balanced multiple concurrent projects while consistently meeting strict deadlines
- Maintained high standards of accuracy and discipline across all deliverables

## Education

**Master's Degree in Economics**
[Institution Name]

**Bachelor's Degree in Economics**
[Institution Name]

## Career Objective

Seeking to contribute analytical rigor and creative problem-solving as an entry-level UX/UI designer while continuing to develop expertise in the field."
98313,"# UI/UX Designer

## Professional Summary
Design professional with comprehensive experience leading end-to-end design initiatives across mobile applications and responsive web platforms, combining user-centered research methodologies with systematic design approaches.

## Core Competencies
UX Research & User-Centered Design | Design Systems Architecture | Cross-Platform Adaptive Design | Information Architecture Development | Marketing & Visual Communications

## Professional Experience

**UI/UX Designer**

Led design initiatives across diverse digital products, including mobile applications and corporate website redesign with responsive adaptation for web, mobile, and tablet platforms.

**Design & Development**
- Identified optimization opportunities through analysis of existing interfaces
- Architected cohesive design systems utilizing Design Thinking methodology
- Produced wireframes, mockups, and interactive prototypes throughout the design lifecycle
- Engineered adaptive designs ensuring consistent user experience across all platforms

**Research & Strategic Planning**
- Conducted user research and competitive analysis to inform design decisions
- Developed comprehensive information architecture frameworks
- Contributed to collaborative brainstorming sessions driving creative solutions
- Authored detailed style guides ensuring brand and design consistency

**Marketing & Stakeholder Collaboration**
- Created marketing collateral in partnership with the marketing team
- Designed visual content for corporate social media channels
- Developed case studies and curated Behance portfolio presentations
- Partnered with client teams and development staff throughout project lifecycles

## Technical Expertise
**Design Frameworks:** Angular Material, Kendo UI
**Platform Guidelines:** Human Interface Guidelines, Google Material Design"
98314,"# UX/UI Designer

## Summary

Detail-oriented UX/UI Designer dedicated to crafting seamless, intuitive user experiences. Strong foundation in design principles with a commitment to continuous learning. Skilled in cross-functional collaboration to deliver visually captivating interfaces that resonate with users.

---

## Projects

### Table Tab Mobile App Design
**June 2023 – August 2023**

- Designed mobile application enabling users to book restaurant seating efficiently
- Conducted reference research and evaluated design systems to inform appropriate selection
- Developed wireframes and prototyped UI screens through final delivery
- Collaborated cross-functionally to develop rewards feature, enhancing user engagement and overall app experience

### Host Radar Web Service Design
**April 2023 – June 2023**

- Designed web platform connecting travelers with hosts offering accommodation and services in exchange for work
- Conducted market and competitor analysis; gathered design references
- Created wireframes and animated prototypes through completed case delivery

### Mainsal Realty Company Website Redesign
**February 2023 – April 2023**

- Redesigned real estate company website to improve usability and support business growth
- Identified core issues including information overload and unclear navigation
- Conducted competitor research within US market
- Executed complete redesign process from initial research through final design delivery

---

## Goals

Seeking to further develop design skills while contributing to innovative, user-centric projects. Eager to collaborate with senior designers and stakeholders to deliver compelling user experiences."
