,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5
98306,"# JUNIOR UX/UI DESIGNER

## PROFESSIONAL SUMMARY
Junior UX/UI Designer with strong theoretical knowledge and practical implementation of UX principles. Experienced in all stages of the design process from research through delivery.

## EDUCATION & TRAINING
- UX Design – Projektor
- Interaction Design – Projektor
- UI/UX – Skill-up School

## CORE COMPETENCIES
- UX Research & Analysis
- Persona Development
- Wireframing & Prototyping
- Usability Testing
- Stakeholder Requirements
- Design Presentations

## TECHNICAL SKILLS
- Figma (High-Fidelity Wireframes, Interactive Prototypes)
- Miro (Personas, Task Analysis)

## PROJECT EXPERIENCE
- Planner Application
- eCommerce Website Redesign
- Landing Page
- CRM System
- Corporate Website

## PROFESSIONAL INTERESTS
Seeking a position to develop expertise in UX/UI design while contributing meaningful value to a forward-thinking organization."
98307,"# Junior UX/UI Designer

**Professional Experience**

**Freelance UX/UI Designer**

**E-commerce Skincare Website Redesign**
- Conducted comprehensive user research including competitor analysis and user persona development to identify pain points and user preferences
- Applied usability heuristics to design intuitive prototypes that simplified the overall user experience
- Optimized both usability and visual design for enhanced user satisfaction

**Landing Pages – Educational Courses & Agricultural Companies**
- Crafted clear and compelling calls-to-action to increase user engagement
- Highlighted course benefits and outcomes to help users quickly understand the value proposition
- Developed cohesive visual identities through strategic use of color schemes, typography, and imagery that aligned with each brand's essence

**Core Competencies**
- User Research & Persona Development
- Usability Heuristics & Prototyping
- Responsive Design
- Visual Design
- Competitor Analysis
- Call-to-Action Optimization

**Technical Skills**
- Fully Responsive Web Design"
98308,"# Junior UX/UI Design Professional

## Education
- Digital Marketing Professional Certificate, University of Miami
- Bachelor's Degree in Hospitality and Tourism Management with Minor in International Relations, Florida International University

## Professional Background
Professional athlete with the Ukrainian National team

## Core Competencies
- UX/UI Design
- Digital Marketing
- Figma
- Adobe Illustrator
- Adobe Photoshop
- User Interface Design
- User Experience Optimization
- Creative Problem Solving

## Design Experience
As a Junior UX/UI Designer, I specialize in crafting intuitive user interfaces that maximize user experience and improve results. Notable projects include:
- Web service design for VitalMed (private medical clinic)
- Website redesign for tattoo salon
- Citroen C4 landing page

## Professional Summary
Passionate about digital marketing and UX/UI design with a commitment to staying current with industry trends and technology. Known for creativity and meticulous attention to detail in delivering high-quality design solutions. Seeking opportunities to develop skills through challenging projects involving problem-solving, research, and creative thinking, while contributing to team success and exploring innovative design approaches."
98309,"# Junior Web Designer

## Professional Summary
Results-driven Junior Web Designer with proven expertise in creating engaging web pages, graphics, and marketing materials. Skilled at translating design concepts into functional, visually compelling digital assets. Seeking opportunities to advance design skills through challenging new projects.

## Core Competencies
- Web Page Design & Development
- Visual Design & Graphics
- Wireframing, Mockups & Prototypes
- Marketing Material Design
- Cross-functional Collaboration
- Video Content Creation & Editing

## Professional Experience

**Junior Web Designer** | Warehousing Software Company

- Designed and developed company website from initial concept to completion
- Maintained design control and visual consistency across all finished web pages
- Collaborated effectively with developers and testing teams to ensure seamless implementation
- Created wireframes, mockups, and prototypes to present and communicate design concepts and ideas to stakeholders
- Designed diverse marketing materials including social media covers, YouTube video previews and footage
- Produced and recorded YouTube videos demonstrating product functionality and features

## Technical Proficiencies
- Figma
- Adobe Illustrator
- OBS Studio"
98310,"# Product Designer

**Professional Summary**
Mid-level Product Designer with expertise in consumer product design, competitive analysis, and design optimization. Proven ability to enhance existing product designs and evaluate competitor offerings to maintain quality and performance standards.

**Core Responsibilities**
- Design and improve consumer products
- Conduct competitive analysis on similar products
- Evaluate competitor concepts and working prototypes
- Match and maintain quality and performance standards across product lines

**Career Trajectory**
Clear advancement opportunities to Senior Designer, Executive, or Managerial positions depending on industry and company."
98311,"# Resume

**Professional Summary**

Adept UI/UX Designer with a well-rounded skill set in Figma, prototyping, and Adobe Photoshop. Recognized expert in communication and collaborative teamwork. Demonstrated ability to deliver non-standard solutions and learn new technologies quickly. Strong attention to detail, accuracy, and responsible approach to task implementation.

**Core Competencies**

- UI/UX Design
- Figma
- Prototyping
- Adobe Photoshop
- Communication
- Collaboration
- Decision-Making
- Attention to Detail

**Experience**

Freelance Designer
- Successfully completed multiple freelance design orders
- Developed and offered non-standard solutions for client projects
- Demonstrated responsible approach to task implementation with keen attention to detail

**Key Strengths**

- Rapid learner capable of quickly acquiring new skills
- Motivated professional with strong decision-making capabilities
- Communicative collaborator with expertise in cross-functional teamwork

**Work Preferences**

Seeking remote position with flexible, scalable hours to fully leverage design expertise and potential."
98312,"**UX/UI Designer**

I am an entry-level UX/UI designer seeking to leverage my analytical background and design experience to create intuitive, user-friendly interfaces that deliver exceptional user experiences.

**Professional Background**

As an Auditor with a Bachelor's and Master's degree in Economics, I have developed strong analytical skills, attention to detail, and the ability to work within strict deadlines. I have also worked as a Graphic and Social Media post designer for an education center, where I designed engaging social media posts, eye-catching posters, and printables while handling the entire branding process for the organization.

**Core Competencies**

My unique combination of analytical thinking and creative problem-solving allows me to approach design challenges from multiple perspectives. Through my professional experience, I have developed:

- A keen eye for aesthetics and visual design
- Understanding of user-centric design principles
- Ability to translate ideas into visually compelling designs
- Strong analytical skills and attention to detail
- Meticulous approach to work with precision and discipline

**Design Philosophy**

I am fascinated by the psychology behind user behavior and the relationship between design and human interaction. I am committed to creating intuitive interfaces that enhance usability and deliver positive user experiences. I am eager to continue learning and improving my UX/UI design skills as an entry-level designer."
98313,"# UI/UX Designer

## Core Competencies
- UX Research
- Design Systems Creation
- Design Thinking Methodology
- Mobile Design (Rules & Patterns)
- Responsive & Adaptive Design
- Marketing Materials Creation
- Design Guidelines & Style Guides
- Information Architecture
- Prototyping & Wireframing
- Client & Developer Communication

## Professional Experience

**UI/UX Designer**

### Projects & Domains
- Mobile Applications (Guide App, Lottery App)
- Corporate Website Redesign (Web, Mobile, Tablet Adaptive)

### Key Responsibilities
- Conducted design analysis of existing screens
- Created design systems using Design Thinking process
- Developed marketing materials for marketing team
- Designed visual content for company social media across all platforms
- Created case studies and published multiple Behance cases
- Conducted user research and competitor investigation
- Facilitated brainstorming sessions
- Built style guides and information architecture
- Created prototypes, wireframes, and mockups
- Implemented adaptive design solutions
- Collaborated with client teams and developers

### Design Tools & Guidelines
- Angular Material
- Kendo UI
- Human Interface Guidelines
- Google Material Design"
98314,"# UI/UX Designer

Passionate and detail-oriented specialist dedicated to crafting seamless and intuitive user experiences. Strong foundation in design principles with a commitment to creating impactful and visually captivating interfaces that resonate with users.

## Core Competencies

Cross-functional collaboration | User interface design | Web and mobile design | Design principles | Problem-solving | User experience design | Wireframing | Prototyping | Visual design | Design systems | Market research | Competitor analysis

## Projects

**Table Tab Mobile App Design** | Jun 2023 - Aug 2023

Collaborated with cross-functional team to design an intuitive mobile app solution for restaurant seat booking. Conducted user research and created wireframes. Selected and implemented appropriate design systems for the use case. Prototyped UI screens and developed UI reward options to enhance user engagement and create a positive app impression.

**Host Radar Project Design** | Apr 2023 - Jun 2023

Contributed to the design of a web service platform for work and recreation opportunities. Performed market and competitor analysis, gathered design references, prepared wireframes, animated prototypes, and finalized case studies for this team project.

**Mainsal Realty Company Redesign** | Feb 2023 - Apr 2023

Redesigned company website to create a modern, user-friendly platform that showcases services and drives business growth. Conducted comprehensive research and competitor analysis of US market. Identified user experience issues with the original design and delivered a complete redesign from research through final design result, resulting in a more convenient and user-friendly interface.

## Professional Goals

Committed to developing design skills and knowledge while contributing to innovative, user-centric projects through active collaboration with senior designers and stakeholders."
98315,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Results-driven UI/UX Designer with proven ability to design intuitive user interfaces and seamless digital experiences. Quick learner and problem-solver committed to delivering high-quality work and meeting deadlines in collaborative environments.

**EDUCATION**
Plural Code Academy Graduate
Capstone Project: Mobile app design for salon

**CORE COMPETENCIES**
- User Interface & Experience Design
- User Research & Analysis
- Wireframing & Prototyping
- Usability Testing
- Web & Mobile Design
- Figma

**PROFESSIONAL EXPERIENCE**

**Intern, Software Agency**
- Designed and completed website and mobile views for cryptocurrency platform
- Designed and completed website for resort center

**TECHNICAL SKILLS**
- Industry-standard design tools: Figma
- Web and mobile application design
- Prototype development
- Usability testing"
98316,"# Resume

**Professional Summary**

As a skilled marketing professional with a strong passion for design and over two years of marketing experience, I am confident in my ability to deliver value through creative and strategic thinking. My background in marketing has given me a keen understanding of user personas and pain points, enabling me to create effective, user-friendly design solutions. As I transition into UI/UX design, I am eager to apply my newly acquired skills to projects that balance business needs with exceptional user experiences.

**Core Competencies**

- UI/UX Research and Design
- Project Management
- User-Centered Design
- Team Collaboration and Leadership
- Strategic Thinking and Problem-Solving
- Design Tools: Figma, Adobe Photoshop, Protopie
- Communication and Client Relations

**Professional Experience**

**Team Leader – Case Studies Project**

Successfully managed tasks and modified designs to meet target audience needs. Utilized strong empathy skills to create user-friendly solutions and develop project management capabilities while collaborating effectively within a team environment.

**Projects**

**Travel Service Website**
Conducted comprehensive UI/UX research, design, adaptation, and prototyping for a platform connecting people globally. Collaborated with a team of two to manage project timelines and deliver results.

**Scan-and-Go Mobile App**
Performed extensive market analysis and design work, utilizing user research to simplify the shopping process. Created a functional prototype using Figma, Adobe Photoshop, and Protopie.

**Additional Experience**

Worked with a diverse range of clients across various industries, developing strong project management and communication skills."
98317,"# UI Designer

**Professional Summary**
Results-driven UI designer with 3 years of experience creating intuitive and visually compelling digital interfaces. Skilled in translating user needs into elegant design solutions for web and mobile platforms.

**Core Competencies**
- UI Design
- User Experience (UX)
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Web Design
- Mobile Design
- Interface Design
- Attention to Detail

**Professional Strengths**
- Design and develop user-centered interfaces that balance aesthetic appeal with functionality
- Deliver creative solutions that align with brand vision and exceed project expectations
- Create intuitive navigation and experiences across web and mobile applications
- Collaborate closely with stakeholders to understand project objectives and user requirements"
98318,"# UI/UX Designer

Dedicated UI/UX Designer committed to creating intuitive and visually appealing digital interfaces that enhance user experience. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Canva.

## Professional Experience

**Cozy House Web Service** | Team Project
Full-cycle design of a host reservation platform connecting travelers with hosts. Executed complete design process including competitive analysis, user personas, jobs-to-be-done framework, customer journey mapping, user flows, wireframes, visual design, and adaptation.

**Cucina di Catherina Website** | Redesign Project
Full-cycle redesign of outdated website with low-quality imagery and cluttered information architecture. Refreshed visual content, restructured information for improved navigation, and highlighted the product's unique selling proposition to attract potential customers.

## Core Competencies

- Full-cycle design (landing pages, web services, redesigns, mobile apps)
- Team collaboration and constructive feedback integration
- Competitive analysis and user research
- Information architecture and user flow design
- Visual design and brand adaptation

Seeking a full-time position to leverage design expertise while learning from experienced designers and contributing fresh perspectives to collaborative projects."
98319,"**UI/UX DESIGNER**

Passionate UI/UX Designer dedicated to creating visually appealing and user-friendly designs for web and mobile applications. Experienced in transforming concepts into reality through designs that address user needs and simplify daily goals for target audiences.

**PROFESSIONAL EXPERIENCE**

**Travel Service – Team Lead**
Developed web travel service interface for ""Change of Environment,"" a platform connecting hosts and tourists for apartment exchanges in exchange for household help.
- Created user flows for both hosts and tourists
- Produced wireframes and adaptive versions for multiple devices

**Coaches Service**
Currently working on commercial coaches service project.

**Ukrainian School Redesign**
Redesigned platform providing comprehensive school information with contact capabilities.
- Created wireframes, desktop version, and adaptive versions for tablet and mobile devices

**PROJECTS**

**Table Booking Application**
Developed booking service application enabling users to reserve tables at restaurants and cafes without calling, with ability to view and select from available tables.

**CORE COMPETENCIES**

User experience design | User interface design | Web design | Mobile design | Wireframing | Adaptive design | User flows | Collaborative skills | Excellence in execution"
98320,"# UI/UX Designer

## Summary
Dedicated UI/UX Designer with expertise in creating intuitive and visually appealing user interfaces across mobile applications, websites, and software interfaces. Committed to enhancing user experiences through user-centered design principles and accessibility best practices.

## Core Competencies
- User Research & Usability Testing
- Wireframing & User Flow Diagramming
- Interactive Prototyping & High-Fidelity Design
- Stakeholder Collaboration
- UI/UX Design Trends & Accessibility Guidelines

## Design Tools & Technologies
Sketch, Figma, Adobe XD, InVision, Marvel

## Key Projects
**Mobile Banking Application**
Designed and developed a mobile banking application with focus on intuitive user interfaces and seamless user experience.

**User Research for a Health App**
Conducted comprehensive user research to inform design decisions and enhance user experience for a health application.

## Professional Approach
- Collaborate with product managers, developers, and design teams to understand user needs and translate them into compelling design solutions
- Conduct user research, analyze user feedback, and perform usability testing to validate design decisions
- Create wireframes, user flows, and visual designs aligned with user goals and business objectives
- Continuously update knowledge of UI/UX design trends, best practices, and accessibility guidelines to ensure inclusive design solutions
- Focus on creating interfaces that are visually appealing, accessible, and provide seamless user experiences that help users achieve their goals efficiently"
98321,"# UI/UX Designer

## Professional Summary
Experienced UI/UX designer with a comprehensive approach to creating user-centered design solutions. Skilled in task analysis, interface prototyping, visual style establishment, and delivering user-friendly products for web and mobile applications.

## Core Competencies
- User Research & Analysis
- Competitive Analysis
- Customer Journey Mapping
- User Flow Definition
- Wireframing & Prototyping
- Mobile & Tablet Adaptation
- Visual Design & Style Guide Development

## Design Projects

**Travel Go** - Web Service
Web service designed to help users organize affordable or cost-free stays in foreign countries with volunteering opportunities.

**ReserveNow** - Mobile Application
Mobile application enabling restaurant table reservations with features including restaurant layout visualization, seat/table selection, and time-based booking.

**Additional Projects**
One personal project and several collaborative team projects completed utilizing comprehensive UI/UX design methodology.

## Design Tools & Software
- Figma
- Adobe Photoshop
- Adobe Illustrator
- FigJam

## Design Methodology
- Client Problem Definition
- Competitive Analysis
- Target Audience Definition
- Customer Journey Mapping
- User Flow Design
- Wireframing & Prototyping
- Multi-device Adaptation (Desktop, Mobile, Tablet)"
98322,"UI/UX Designer

Professional Summary
Creative and detail-oriented UI/UX Designer with 1.5 years of web design experience. Passionate about developing user-centered interfaces that are visually appealing, intuitive, and easy to navigate. Skilled collaborator who works effectively with designers, developers, and stakeholders to deliver high-quality designs on schedule.

Core Competencies
• UI/UX Design Principles
• Wireframing & Prototyping
• High-Fidelity Design
• Responsive Web Design
• Web Accessibility Standards
• Design Software: Sketch, Adobe XD, Figma
• Web Applications Design
• Stakeholder Collaboration
• Project Delivery

Professional Experience
UI/UX Designer | 1.5 years
• Design user-centered interfaces that prioritize usability and visual appeal
• Create wireframes, prototypes, and high-fidelity designs using industry-standard tools
• Develop responsive and accessible websites and web applications meeting industry standards and trends
• Collaborate with cross-functional teams including designers, developers, and stakeholders to achieve project objectives and meet deadlines"
98323,"# UX/UI Designer

**Junior UX/UI Designer, Ukraine**
Successfully completed a UX/UI design course and applied learnings to create and lead a design team. Fostered an environment of collaboration, creativity, and motivation where team members shared ideas, developed new skills, and worked together to create innovative products. Demonstrated ability to apply design skills while leading and inspiring teams to achieve success.

**UX/UI Designer (2022-2023)**
Built and managed a design team focused on UX research, prototyping, design, knowledge sharing, and teamwork. Developed leadership skills and ensured consistent delivery of high-quality design projects.

**UX/UI Designer (February - March 2023)**
Responsible for developing the complete interface for a medical clinic. Conducted extensive UX research to create a user-friendly and intuitive interface design that met the needs of both the business and its users. Demonstrated strong design skills and effective teamwork abilities.

**Freelance Graphic & UX/UI Designer (March 2023 - Present)**
Engaged in website and social media post development. Collaborated effectively both one-on-one with clients and within small team environments."
98324,"# UX/UI DESIGNER

**Professional Summary**

As a UX/UI Designer, I am passionate about creating meaningful digital experiences that solve problems and simplify the lives of users. I specialize in designing for web and mobile applications and take pride in turning ideas into reality. I am seeking a company to work with teams including product managers, developers, and other designers to bring design ideas to life and create complete digital products.

**Core Competencies**

- UX/UI Design
- Web Design
- Mobile Design
- Full Cycle Design
- Motion Design
- Interface Design
- User Experience Analysis
- Visual Branding
- Prototyping

**Design Approach**

My design process involves a full cycle approach, starting with analyzing the task at hand and prototyping an interface that meets the needs of the target audience. I then create a visual style that aligns with the brand and turn the user's journey into a seamless and intuitive experience.

**Education**

Certificate for successfully completing an 8-month course in UX/UI Design, Web Design, and Mobile Design with practical knowledge application.

**Project Experience**

**Unreal** – Mobile Application
Mobile app for booking tables in unusual restaurants. Full cycle design. Developed a platform providing users with a convenient and efficient way to reserve specific tables at desired locations, offering a memorable dining experience.

**Wings of Hope** – Web Service
Web service for restoration of social infrastructure facilities in Ukraine. Full cycle design. Developed a web service interface combining requests for restoration of Ukraine's social infrastructure damaged during the war with requests for assistance from Ukrainian and foreign partners. Goal: attract communities, government officials, private organizations, and investors to support infrastructure restoration.

**Slavsko Ski Resort Website Redesign** – Website
Full cycle design. Modernized the site design, completely restructured the website architecture, and developed a new unique recognizable style to attract local and foreign tourists.

**Test Drive Audi Q3** – Landing Page
Full cycle design. Designed a landing page for Audi advertising with functionality to order a test drive."
98325,"# Web Designer

## Professional Summary
Passionate web designer seeking to transition into UI/UX design with a strong foundation in user-centered design principles. Committed to creating aesthetically appealing and functional interfaces that enhance user experience and support business objectives.

## Core Competencies
- UI/UX Design Principles
- Page Layout Design
- Navigation Design
- Visual Perception and Aesthetics
- Design Tools
- Requirements Analysis
- User Persona Development

## Projects

### Museum Website
Designed a comprehensive website interface for museums with a focus on visitor experience.

**Key Achievements:**
- Developed page layouts based on user persona requirements and museum environment specifics
- Applied UI/UX design principles to create aesthetically appealing and functional interfaces
- Prioritized exhibit placement, navigation, and visual perception in design decisions
- Conducted detailed requirements analysis to inform design solutions
- Positioned elements strategically to ensure easy navigation

## Professional Goals
- Develop expertise in UI/UX design
- Gain hands-on experience working collaboratively in team environments
- Partner with clients to identify needs and deliver tailored design solutions
- Expand technical skill set through learning new design technologies and tools
- Create interfaces that deliver exceptional user experiences and drive company success"
98326,"# RESUME

## EDUCATION

**Projector Institute**

- Web Design Beginning (Completed)
- Web Design Junior (Completed)
- UX Design (In Progress)

## EXPERIENCE

**Web Design Junior Project**
- Worked on high-detailed prototypes for redesigns of existing websites for two real clients
- Conducted customer briefings
- Gathered design references
- Created mindmaps
- Developed wireframes
- Designed user interfaces
- Created mobile adaptive versions

**Internship - Sahu Media** (German Design Bureau)
- Created advertisement banners in Photoshop for clients
- Developed websites using WordPress"
98327,"# RESUME

## EDUCATION

**Web Design Basic Course**
IT School ""Hillel"" | 2022-2023

**Web Design, UI/UX Design, Mobile Design**
2023-Present

## TECHNICAL SKILLS

- Figma
- Photoshop
- Illustrator

## PROFESSIONAL EXPERIENCE & PROJECTS

- Developed landing pages
- Designed and developed websites
- Executed website redesigns
- Designed web services and mobile application adaptations
- Conducted target audience research
- Performed competitive analysis

## PROFESSIONAL ATTRIBUTES

- Detail-oriented and responsible professional
- Committed to continuous skill development in IT"
98328,"Astute and organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user-friendly wireframes and prototypes with strong collaborative experience in agile environments.

PROJECT EXPERIENCE

Landing Page for a Flower Shop
Designed a landing page to advertise a flower shop's bouquet ordering and delivery service. Conducted competitor analysis and created a moodboard to establish emotional context. Developed wireframes and UI kit, resulting in the completed landing page.

Redesign of the Italian Roastery Website
Led the redesign of ""Il Griso"" Italian roastery website to increase visual appeal and usability. Performed competitor analysis and developed a structural framework for element organization. Created wireframes and UI kit for selected pages, executed prototyping and adaptation of the redesigned site.

Web-Service for a Cleaning Company
Designed a web-service for a cleaning company to improve customer engagement and service accessibility.

Mind Map Project
Served as Scrum Master for team project, facilitating agile processes and team collaboration.

Seeking to join an innovative design team to enhance user experience for customers, leveraging creativity and problem-solving skills to create industry-leading products."
98329,"# DESIGN CAREER SUMMARY

## PROFESSIONAL EXPERIENCE

**Web Design & Development**
- Developed landing pages, online stores, and interactive prototypes
- Designed banners, price lists, and printed marketing materials
- Created designs for Western market products (Etsy store)
- Designed branded materials for themed events: invitations, labels, photo banners, business cards, price lists, and order forms
- Produced social media content including Pinterest pins and Instagram posts and stories

## TECHNICAL SKILLS

**Design Tools & Software**
- Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Canva

**Design Expertise**
- UI/UX principles
- Bootstrap grid system
- Responsive and adaptive design

## KEY STRENGTHS

- Self-disciplined and detail-oriented
- Organized and proactive planner
- Effective team collaborator with leadership capabilities
- Committed to continuous learning and professional development"
98330,"# RESUME

## PROFESSIONAL EXPERIENCE
**Freelance Designer**
- Completed commercial web design project for dental clinic

## SKILLS & EXPERTISE
- Figma
- Product observation
- UI/UX design
- Web design

## CORE COMPETENCIES
- Hard worker
- Eager to learn
- Team collaboration
- Problem-solving mindset

## AVAILABILITY
- Available to start immediately
- Open to remote internship positions"
98331,"# PROJECTS

**Balance Spa** (Training Project)
Landing page design featuring Lo-fi and Hi-fi wireframes, interactive prototype, comprehensive UI kit, and deliverables prepared for developer handoff.

**Foodly** (Training Project)
Mobile application for supermarket product delivery. Responsibilities included:
- Client briefing and target audience definition
- Competitor and heuristic analysis
- Lo-fi and Hi-fi wireframes
- User flow and sitemap creation
- UI kit development
- Adaptive design implementation
- User testing

**Joccellum** (Training Project)
E-commerce jewelry platform. Responsibilities included:
- Client briefing and target audience definition
- Competitor and heuristic analysis
- Lo-fi and Hi-fi wireframes
- User flow and sitemap creation
- UI kit development
- Adaptive design implementation
- User testing"
98332,"# ANASTASIA

## PROFESSIONAL SUMMARY
Beginner web designer committed to continuous learning and professional development. Seeking opportunities in product companies or game development to apply UI/UX design expertise and expand practical experience.

## EDUCATION
**UI/UX Designer Course**
Hillel Computer School

## CORE COMPETENCIES
- Font Theory
- Color Theory
- Image and Illustration Design
- Icon Design
- UI Kit Development
- Auto Layout
- Styles and Components
- Atomic Design Approach
- Site Typology
- Target Audience Analysis
- Persona Development
- Grid Systems
- Prototyping
- Responsive Design and Adaptability

## PROFESSIONAL INTERESTS
Product Design | Game Development"
98333,"# PROFESSIONAL EXPERIENCE & PROJECTS

**UI/UX Design Project – Turkish Airlines App Redesign**
Conducted heuristic analysis of existing design and identified improvement opportunities while considering the needs of regular users.

**System Design & Application Design – Richard Bank**
Created system design and mobile application and website design through ""Zero to Hero"" courses.

# EDUCATION & TRAINING

**Art Academy**
Completed foundational coursework in graphic design including:
- Typography and Fonts
- Composition
- Color Science

**Software & Design Tools**
- Proficient in Photoshop
- Proficient in Illustrator
- Proficient in Figma

# EXHIBITIONS

- The Art of Change (Ukrainian House)
- 24.02 Before and After (Photo Exhibition)
- Cardiff School of Art and Design, Cardiff Metropolitan University Exhibition

# PROFESSIONAL SUMMARY

Graphic designer and UI/UX design professional with strong foundational skills in design principles and digital tools. Experienced in conducting design analysis, creating user-centered solutions, and developing designs across multiple platforms. Eager to apply and develop skills in a professional environment."
98334,"# Car Wash App

**Project Overview**
Mobile application for finding car washes using geodata. Features include locating the nearest car wash, reserving dates and times, selecting services, and processing online payments.

**Role**
Team Leader

**Responsibilities & Achievements**
- Led team throughout project lifecycle
- Conducted competitive analysis
- Created user flows, wireframes, and prototypes
- Developed design system and deliverables"
98335,"**PROFESSIONAL SUMMARY**

User-focused designer with hands-on experience completing multiple design projects. Skilled in competitive analysis, user flow mapping, prototyping, and user interface design. Comfortable working independently and collaborating within teams.

**PROJECTS**

**CloudyClean Webservice**
Designed a cleaning service platform enabling users to quickly find and book cleaners through filtered search. Conducted in-depth competitor analysis and user flow research. Developed detailed prototypes and executed comprehensive user interface design.

**Alaska Pete's Website Redesign**
Led modernization of user interface focused on convenience, comprehensibility, and visual appeal. Performed thorough analysis of user flow, individual site blocks, and site logic prior to redesign execution.

**Landing Page for FlowerLover**
Created an intuitive and aesthetically pleasing landing page for a flower shop. Conducted user logic analysis to optimize the experience for potential buyers.

**EXPERIENCE**

Freelance Designer – Project-based work

**PROFESSIONAL INTERESTS**

Seeking project-based design opportunities and junior designer positions in office or remote settings."
98336,"# Resume

**E-Commerce Website Project**

Collaborated directly with client NOVI Luxe to create their e-commerce website. Conducted comprehensive user research through surveys and interviews to inform design decisions. Created wireframes, user flows, and interactive prototypes using Figma to visualize and communicate design concepts. Implemented A/B tests to validate design decisions. Delivered project on time and within budget, receiving positive client feedback."
98337,"# Resume

**Professional Experience**

Commerce experience with partners including Looqme, HoReCa show, S-Prof, and Lviv Organ Hall
- More than 1 year of experience

**Education**

UI/UX Design Courses
- LITS

**Technical Skills**

- Adobe Photoshop
- Adobe Illustrator
- Figma
- InVision
- UI/UX Principles

**Professional Qualities**

- Project collaboration and teamwork
- Skills development through diverse projects"
98338,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Comon Agency** | January 2022 – February 2022
- Position concluded due to organizational restructuring related to geopolitical circumstances

**Independent Projects** | February 2022 – Present

**PROJECT EXPERIENCE**

**""On the Way"" Product Delivery Project** | Client: Alexey
- Developed landing page
- Created website corporate identity

**""Sammy Icon"" E-commerce Platform** | Client: Phillip
- Redesigned and developed multi-page online store website
- Executed full project lifecycle: UX Research, Wireframing, Style Guide, and Design"
98339,"# UI/UX Design Professional

## Professional Skills

**Design Disciplines**
• User Experience (UX) Design
• Graphical User Interface (GUI) Design
• Typography

**Technical Proficiencies**
• Figma
• Adobe Photoshop

**Design Methodologies**
• Design Thinking
• Human Centered Design

## Portfolio

Demonstrated experience across multiple design domains:
• Landing Page Design
• E-commerce Design
• Adaptive/Responsive Design

---"
98340,"# UX/UI Designer

## Certifications
- Certificate of UX/UI Designer, Beetroot Academy
- Certificate CELI4 C1, Italian Language Proficiency

## Core Competencies

**UX Research & Strategy**
Mind mapping, information architecture, brief analysis, competitive analysis, empathy mapping, personas, customer journey mapping, user flows, wireframing

**UI Design & Tools**
Figma, Adobe Photoshop, Adobe Illustrator, interactive prototyping, adaptive UI design

**Design Principles**
Composition, typography, color theory, grid systems, design patterns

## Project Experience
- Mobile application for family medicine clinic
- Landing page for design studio
- Website for beauty salon
- Icon and logo design for mobile application"
98341,"# Resume

**EDUCATION**

Master's Degree in Architecture and Urban Planning
Graduated May 2023
Thesis: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

**CORE COMPETENCIES**

Self-organization, Critical Thinking, Research, Analysis

**TECHNICAL SKILLS**

Web Development: HTML, CSS, Responsive Design, Adaptive Design
Digital Product Design: UI/UX Design, Prototyping

**PROFESSIONAL EXPERIENCE**

Web and Mobile Application Development (3 Projects)

**Website Redesign – FeelFull**
Food delivery enterprise; website redesign project

**Catalogue Website – TviyBrend**
Accessories retail company; e-commerce catalogue website

**Mobile Application – Colory**
Photo colorization application; transforms black and white photos into color

Project Contributions:
- Conducted UX Research (user interviews, online surveys, competitor analysis)
- Developed User Personas and User Stories
- Designed User Flows, Wireframes, and Animated Prototypes
- Participated in client meetings

**PROFESSIONAL DEVELOPMENT**

Completed two comprehensive educational courses in mobile application and website development, covering digital product design from initial concept through final implementation.

**PROFESSIONAL OBJECTIVE**

Seeking real-world experience to apply and expand expertise in UX/UI principles and user-centered design while developing practical skills in a professional environment."
98342,"# RESUME

## PROFESSIONAL SUMMARY
UI/UX Designer with experience in design and project development. Committed to continuous skill improvement and collaborative team environments.

## CORE COMPETENCIES
- UI/UX Design
- Competitor Analysis
- Wireframing and Site Mapping
- Prototyping
- Computer Graphics Programs (Figma, Illustrator, Photoshop)
- Web and Mobile Application Design
- Teamwork
- Responsibility and Meeting Deadlines

## PROFESSIONAL EXPERIENCE

**Team Leader – Search for Lost and Found Animals Project**
- Led social project for animal search website development
- Conducted competitor research
- Developed site map and defined site functions
- Adapted design solutions for project requirements

**UI/UX Designer – Furniture Landing Page Project**
- Analyzed competitors and selected design references
- Created prototype and UI page design
- Developed simple and user-friendly landing page for furniture store

## PROFESSIONAL DEVELOPMENT
Continuously improving and acquiring new skills to enhance expertise as a UI/UX Designer."
98343,"# RESUME

## EDUCATION

**Projector Institute** – UX/UI Design
- Skills: Typography, Auto Layout, Wireframe, Prototype

**Google – Coursera** – Foundations of User Experience (UX) Design
- Skills: User Experience, Wireframe, Prototype, UXD

**Projector Institute** – UX Design
- Currently Enrolled"
