*September 2019 – March 2020*
*   **Credential:** First-class degree diploma (Ranked 2nd in student rating).
*   **Diploma Project:** Designed a comprehensive CRM System for a sports complex.
*   **Core Competencies:** UX analysis and investigation, prototyping, typography basics, grid compositions, animations, color systems, and responsive design.

**CONTINUING EDUCATION**
*   Regularly complete design-related online courses across various platforms to stay current with industry trends and tools.

**SKILLS**
*   **Design:** UI/UX Design, Mobile App Design, Web Design, Landing Page Design, Component Libraries, Responsive Design.
*   **UX Research:** User Analysis, Investigation, Prototyping.
*   **Visual Design:** Typography, Grid Systems, Color Theory, UI Animation.
*   **Collaboration:** Developer Hand-off, Design Testing, CRM Systems."
98294,"UI/UX DESIGNER

PROJECTS

Food Delivery App
April 2023 – May 2023
• UX Design: Conducted Competitor Analysis and developed Personas, Empathy Maps, Customer Journey Maps (CJM), Site Maps, and User Flows.
• UI Design: Executed Wireframing, Concept Development, and Visual Design.

Craft Beer Brewery Landing Page
June 2023
• UX Design: Performed Competitor Analysis, Information Architecture, and Moodboarding.
• UI Design: Developed Wireframing, Visual Design, and Animation."
98295,"[NAME]
[Phone Number] | [Email Address]
[Portfolio Link] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**

Aspiring UX/UI Designer focused on transforming artistic creativity into functional, user-centric solutions. Dedicated to creating digital products that are not only aesthetically refined but also purposeful and business-oriented. Skilled in bridging the gap between visual expression and strategic problem-solving to deliver high-value user experiences.

**SKILLS**

*   **UX Research:** Target Audience Research, User Flows, User Stories, Customer Journey Mapping (CJM), User Scenarios.
*   **UI Design:** Low- and High-fidelity Prototyping, Interactive Prototyping, Design Systems, UI-Kits, Logo Creation, Adaptive Design.
*   **Design Principles:** Color Theory, Typography, Composition, Material Design, Human Interface Guidelines.
*   **Tools:** Figma (Styles, Components, Variants, Auto-layout), Adobe Illustrator, Adobe Photoshop, Tilda.
*   **Technical:** Basic knowledge of HTML and CSS.

**PROJECTS**

**Car Trip Planning App**
*   Conducted comprehensive UX research and developed a scalable Design System.
*   Executed UI design following Human Interface Guidelines.
*   Designed a dedicated landing page for the application.

**Sign Language Study App**
*   Performed UX research and applied Material Design and Human Interface Guidelines to the interface.
*   Designed the mobile application layout and a promotional landing page.

**Vinyl Shop Website**
*   Developed a responsive web design featuring optimized versions for both desktop and mobile platforms.

**OBJECTIVE**

Seeking a professional opportunity in the web design field to apply technical design skills and user-centered methodology to impactful digital products."
98296,"[NAME]
[CONTACT INFORMATION]

**SUMMARY**
Beginner Designer seeking to further develop design skills and gain new professional experience. Experienced in creating digital assets for charitable foundations and developing comprehensive design projects through academic study.

**EXPERIENCE**
**Designer** | Charitable Foundation
*   Designed and developed a landing page.
*   Created visual assets including banners and logos.

**PROJECTS & SKILLS**
*   **UI/UX Design:** Created landing pages and mobile applications with a focus on adaptive and responsive design.
*   **Prototyping:** Developed high-fidelity (HF) and low-fidelity (LF) prototypes.
*   **UX Research:** Conducted user experience research for various projects.
*   **Graphic Design:** Experienced in logo and banner creation."
98297,"**[NAME]**
Designer

**SUMMARY**
Beginner Designer with experience in individual and collaborative projects across landing pages, website redesigns, web services, and mobile applications. Developed three core projects, including a team-based medical web service. Background includes intensive IT courses and a solid understanding of professional design tools. Strong communicator and team player, open to feedback, and dedicated to timely task completion.

**SKILLS**
*   **Design:** Web Design, Mobile Application Design, User Flow Research & Implementation, Adaptive/Responsive Design, Redesign.
*   **Tools:** Professional Design Tool Suite (IT Course trained).
*   **Soft Skills:** Team Collaboration, Communication, Feedback Integration, Time Management, Quick Learning.

**PROJECT EXPERIENCE**

**Web Service for Medical Clinic (Team Project)**
*Designer*
*   Collaborated on a full-cycle design for a medical web service.
*   Researched and implemented the patient-side user flow.
*   Designed features for scheduling online and in-person appointments.
*   Created interfaces for viewing medical history and payment history.

**Redesign for “KIDS PLACE”**
*Designer*
*   Executed a full-cycle redesign to create a modern and convenient user experience.
*   Developed an adaptive version of the site to improve accessibility and expand the target audience.

**Landing Page “Barbershop in Kyiv”**
*Designer*
*   Developed a one-page site designed to attract customers and promote services.
*   Integrated service information, professional master descriptions, and customer reviews to highlight competitive advantages.

**EDUCATION**
*   **Professional IT Courses**
    *   Focus on Design Tools and Industry Fundamentals.

**OBJECTIVE**
Seeking a full-time or part-time designer position at a company focused on creating user-friendly and productive products for business and life. Ready to perform complex tasks with purpose and responsibility."
98298,"**UI/UX DESIGNER**

**SUMMARY**
Beginner UI/UX Designer dedicated to creating efficient and convenient user interfaces and experiences. Focused on delivering quality products through thorough market analysis, user-centric design, and collaborative teamwork. Eager to contribute a fresh perspective and enthusiasm to a professional design team while continuing to develop technical skills.

**SKILLS**
*   **Design:** UI/UX Design, Market Analysis, Competitor Analysis, User Personas, Wireframing, Sitemap Development, Logo Design, Corporate Identity/Branding.
*   **Tools:** Figma, Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Adobe After Effects.
*   **Soft Skills:** Team Collaboration, Leadership, Communication, Flexibility, Creativity, Organization, Interpersonal Skills.

**PROJECT EXPERIENCE**

**Freedom | UI/UX Designer (Team Project)**
*   Collaborated within a development team to create a free web service for housing reservations.
*   Conducted market research and competitor analysis to inform project strategy.
*   Developed collaborative strategies and contributed to key project aspects in a team environment.
*   Utilized communication and interpersonal skills to ensure successful project coordination.

**Ina&Mi | Graphic Designer (Course Project)**
*   Partnered directly with a customer to develop the visual identity for a modern Ukrainian women’s clothing brand.
*   Designed a custom logo and established a comprehensive corporate style.
*   Utilized Adobe Illustrator, Photoshop, InDesign, and After Effects to create high-quality visual solutions.
*   Ensured customer satisfaction through iterative design and close cooperation.

**Independent UI/UX Projects**
*   **Website Redesign:** Performed comprehensive analysis and UI/UX updates to improve existing web interfaces.
*   **Landing Page Development:** Created high-conversion landing pages while maintaining consistent brand identity.
*   **Restaurant Booking Application:** Designed a mobile-focused application for booking tables in restaurants, cafes, and bars.
*   **Workflow:** Executed full design cycles including persona development, wireframing, and final UI design using Figma and Adobe Photoshop.

**EDUCATION & TRAINING**
*   **Graphic Design Courses:** Focused on identity, logo creation, and Adobe Creative Suite.
*   **UI/UX Self-Directed Study:** Development of web services, mobile applications, and user experience strategies.

**OBJECTIVES & OFFERINGS**
*   **Goal:** To grow as a professional within a company that offers mentoring and career development opportunities.
*   **Commitment:** To support colleagues, share knowledge, and bring creative solutions to team-based tasks."
98299,"**[NAME]**
[Phone Number] | [Email] | [Portfolio Link] | [LinkedIn]

**PROFESSIONAL SUMMARY**
Highly creative and detail-oriented Junior UI/UX Designer with a passion for crafting intuitive and engaging digital experiences. Possessing a strong foundation in design principles and a natural ability to solve complex problems, I create user-centered designs that meet the needs of diverse audiences. Committed to collaborating with cross-functional teams to ensure designs meet both business goals and user needs while advocating for user-centered principles throughout the design process.

**SKILLS**
*   **Design Tools:** Figma (Web interfaces, mobile design, landing pages), Adobe Creative Suite, Photoshop (Photo editing), Illustrator (Icons, logos, illustrations).
*   **UX Research & Analysis:** User research, competitor analysis, user personas, user scenarios, sitemaps, user flow, usability testing.
*   **Design Execution:** Full cycle design, wireframing, prototyping, visual interface design, adaptation, redesign.
*   **Guidelines:** Google Material Design.

**PROJECT EXPERIENCE**

**Crypto Wallet Tutis**
*UI/UX Designer | Full Cycle Design*
*   Developed a secure and user-friendly platform for managing cryptocurrencies, focusing on providing a seamless user experience while ensuring asset safety.
*   Addressed complex design challenges including security and data privacy to meet the specific needs of crypto wallet users.
*   Conducted extensive user research and incorporated user feedback into the design process to create a user-centered product for a diverse audience.
*   Honed skills in designing for the complex and challenging requirements of the cryptocurrency space.

**Cucina di Catherina**
*UI/UX Designer | Online Store Redesign*
*   Executed a full-cycle redesign of the online store to enhance the customer experience, modernize the brand image, and increase sales.
*   Conducted extensive user research to identify and address customer pain points in the shopping experience.
*   Designed new visual elements and a fresh color palette to align the platform with the brand’s vision and values.
*   Performed usability testing throughout the design process to ensure the final product was intuitive and engaging.
*   Successfully improved website traffic and engagement metrics by X% following the implementation of the redesign.

**PROFESSIONAL OBJECTIVES**
*   Collaborating with product managers, developers, and stakeholders to ensure technical feasibility and alignment with business goals.
*   Designing wireframes and prototypes to test and iterate on design concepts.
*   Developing design systems and style guides to maintain visual consistency across products.
*   Continuously gathering feedback and iterating on designs to improve the user experience and solve complex design problems in dynamic environments."
98300,"**UI/UX DESIGNER**

**SUMMARY**
Highly motivated UI/UX Designer dedicated to making complex tasks simple and enjoyable for users. Focused on creating experiences that are both beautiful and seamlessly functional to provide maximum value. Committed to continuous skill improvement and leveraging strong communication to contribute to organizational success.

**SKILLS**
*   UI/UX Design
*   Communication

**EDUCATION**
UI/UX Design Coursework (Completed)

**PROJECTS**
Personal Portfolio: Developed several personal UI/UX design projects.

**EXPERIENCE**
Various Professional Roles
*   Demonstrated strong communication skills across diverse work environments."
98301,"[Name]
[Phone Number] | [Email] | [LinkedIn/Portfolio]

**JUNIOR UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Dedicated Junior UI/UX Designer with a comprehensive background in graphic design, 3D modeling, and animation. Proficient in industry-standard design tools and methodologies, with a focus on creating visually appealing, effective, and user-friendly digital experiences through research-driven design.

**TECHNICAL SKILLS**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Maya, Adobe Premiere Pro.
*   **Design Techniques:** Prototyping, Design Research, SWOT Analysis, Typography Principles, Image Making, Illustrating.
*   **Core Competencies:** UI/UX Design, Graphic Design, 3D Modeling, Animation.

**EDUCATION**
**Design IT Step Academy**
*   **Focus Areas:** Graphic Design, 3D Modeling, Animation, and UI/UX Design.
*   **Key Expertise:** Developed proficiency in creating user-centered designs and applying core design principles to complex visual projects."
98302,"[NAME]
[CONTACT INFORMATION]

**JUNIOR UI/UX DESIGNER**

**Professional Summary**
Passionate Junior UI/UX Designer dedicated to creating aesthetically pleasing and effective web and mobile applications. Driven by the desire to turn ideas into reality and create interfaces that solve problems and simplify daily goals for the target audience. Experienced in a full-cycle design approach, utilizing a keen eye for detail to analyze tasks, create prototypes, design visual styles, and implement them into usable, simple end products.

**Project Experience**

**Paw Rescue (Lost Pet Service)**
*Team Leader & UI/UX Designer*
*   Served as team leader, responsible for organizing the team’s work and workflow.
*   Designed the visual aspects of the project prototypes.
*   Conducted competitor analysis to structure the website effectively.
*   Established a clear user flow to guide users quickly toward their goals.
*   Utilized a design system to create a modern and convenient website interface.

**Italian Sauce Website Redesign**
*UI/UX Designer*
*   Revamped the website to improve user-friendliness and increase customer attraction.
*   Performed competitor research to identify and integrate successful design solutions.
*   Enhanced site appearance and convenience through an updated color scheme, uniform photography, and modern typography.
*   Developed responsive adaptations for mobile and tablet versions.

**Flower Lover Landing Page**
*UI/UX Designer*
*   Built a clear landing page interface from scratch for a flower shop.
*   Analyzed the target audience to ensure the design met user needs.
*   Designed a comprehensive interface including all necessary menu items.

**Skills**
*   UI/UX Design (Web & Mobile)
*   Full-Cycle Design Approach
*   Prototyping & Visual Style Design
*   Competitor & Target Audience Analysis
*   User Flow Optimization
*   Design Systems
*   Responsive Design (Mobile & Tablet)
*   Team Leadership & Task Organization

**Career Objectives**
*   Seeking a remote office position.
*   Value a friendly atmosphere built on mutual respect.
*   Interested in corporate training, development, and long-term career growth."
98303,"**[YOUR NAME]**
Junior UI/UX Designer

**PROFESSIONAL SUMMARY**
Junior UI/UX Designer with experience in creating user interfaces and visual designs for web services and mobile applications. Proficient in Figma and Adobe Creative Suite, with a focus on responsive design and interactive prototyping. Skilled in collaborating with teams to translate project requirements into clear, organized, and accessible digital experiences. Committed to continuous learning and refining designs based on user feedback.

**CORE SKILLS**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Protopie, FigJam.
*   **UI/UX Design:** Wireframing, Interactive Prototyping, User Flows, Journey Maps, Design Systems, Visual Hierarchy.
*   **Technical Skills:** Responsive Design, Mobile Interface Design (Touch Interactions), Graphic Editing, Visual Asset Creation.
*   **Soft Skills:** Team Collaboration, Task Management, Deadline Compliance, Feedback Integration.

**PROFESSIONAL EXPERIENCE**

**Junior UI/UX Designer**
*   Collaborated with cross-functional teams to design intuitive and aesthetically pleasing user interfaces for web and mobile platforms.
*   Developed responsive layouts for web services to ensure seamless functionality across various devices and screen sizes.
*   Designed mobile application screens prioritized for touch interactions, clarity, and organization.
*   Produced high-fidelity mockups and interactive prototypes to visualize and test design concepts.
*   Managed design tasks effectively to meet project deadlines while adapting to evolving requirements.

**PROJECTS**

**Tattoo Studio Website Redesign (""Custom Concepts"")**
*   Redesigned the existing website to improve user convenience and accessibility.
*   Updated the primary color palette and incorporated high-quality imagery to enhance visual appeal.
*   Developed a simplified booking form and established a new, structured visual hierarchy to streamline the user experience.

**""PetRescue"" (PawRescue) Web Application**
*   Designed a web-based platform dedicated to reporting and searching for missing pets in local areas.
*   Created an interface aimed at facilitating the reunion of lost animals with their owners through effective information sharing and matching.
*   Utilized Figma, FigJam, Photoshop, and Illustrator to execute the visual and functional design of the application.

**LANGUAGES**
*   **Ukrainian:** Native
*   **Russian:** Fluent
*   **English:** Upper-Intermediate
*   **Polish:** Elementary"
98304,"**[YOUR NAME]**
Junior UI/UX Designer

**Summary**
Junior UI/UX Designer specializing in creating intuitive digital experiences across landing pages, redesigns, web services, and mobile applications. Proven ability to lead design teams and conduct end-to-end UX research to solve complex stakeholder problems. Committed to design innovation and continuous professional development.

**Technical Skills**
*   **Design:** UI/UX Design, Web & Mobile Design, Prototyping, Redesigns, Dashboard Design.
*   **UX Research:** In-depth Interviews, Questionnaires, Surveys, Persona Development, Empathy Mapping, Competitive Analysis, Heuristic Analysis, JTBD (Jobs to be Done), CJM (Customer Journey Mapping).

**Projects**

**Buki School Redesign** | Team Lead
*   Led a design team to overhaul a student cabinet, addressing stakeholder concerns regarding low user engagement and unintuitive navigation.
*   Organized team workflows and served as the primary presenter of the final project to the customer.
*   Conducted comprehensive UX research, including competitive analysis, heuristics analysis, in-depth interviews, personas, and surveys.
*   Developed a high-fidelity clickable prototype to visualize the new vision for the student experience.

**DocMe Web Service** | UI/UX Designer
*   Collaborated on the development of a medical web service featuring automatic report generation and dedicated dashboards for doctors and patients.
*   Executed UX research using target audience analysis, personas, JTBD, and CJM methodologies to align the service with user needs.
*   Designed the main website and contributed to the UI/UX refinements of the doctor and patient cabinets."
98305,"**JUNIOR UI/UX DESIGNER | TEAM LEADER**

**SUMMARY**
Junior UI/UX Designer with a background in team leadership and project coordination. Completed a specialized design course including six study cases. Experienced in the full design cycle, from competitor research and user analysis to wireframing and animation. Seeking to apply theoretical knowledge and practical design skills within a professional development team.

**SKILLS**
*   **Design & Research:** UI/UX Design, Competitor Analysis, Target Audience Analysis, Persona Creation, JTBD (Jobs to be Done), CJM (Customer Journey Mapping), User Flow Development.
*   **Prototyping & UI:** Wireframing, Interface Design, Adaptation, Animation, Visual Design.
*   **Leadership:** Workflow Organization, Task Distribution, Team Coordination, Project Scheduling.

**EXPERIENCE**

**Web-Service for Finding Lost Pets | Team Leader & Designer**
*   Directed the project course and organized the workflow to ensure smooth team functionality.
*   Distributed responsibilities among team members and managed the meeting schedule.
*   Conducted comprehensive research, including competitor analysis, target audience personas, JTBD, CJM, and user flows.
*   Designed an intuitive interface that met target audience expectations.
*   Ensured the project was completed on schedule; work received high appreciation from the mentor.

**Accounting Startup | Junior UI/UX Designer**
*   Collaborating with a team of student developers to create a web service for accountants and related professionals.
*   Designing features to assist users in calculating salaries, bonuses, and other financial data.

**PROJECTS**

**Mobile Application for Coffee Shop Chain**
*   Developed a youth-oriented application design with a focus on intuitive navigation and well-developed functionality.
*   Managed the end-to-end design process: competitor/TA analysis, persona creation, JTBD, user flow development, wireframes, UI design, and animation.

**Travel Agency Website Redesign**
*   Redesigned the platform to create a clear and concise experience for a wide target audience.
*   Solved complex information architecture challenges to structure large amounts of data effectively.
*   Executed competitor analysis and user flow development to differentiate the brand from competitors.
*   Produced wireframes, UI design, responsive adaptations, and animations using high-quality visual assets.

**EDUCATION**
*   **Specialized UI/UX Design Course**
    *   Completed 6 study cases focusing on design principles and user-friendly interface creation."
98306,"[YOUR NAME]
Junior UX/UI Designer

PROFESSIONAL SUMMARY
Junior UX/UI Designer with a strong theoretical foundation and practical experience implementing UX principles. Skilled in navigating all project stages, from gathering stakeholder requirements and conducting research to delivering interactive prototypes. Committed to rapid professional development and contributing to company success through user-centered design.

CORE COMPETENCIES
* Design Process: Stakeholder Requirements, User Research, Persona Development, Task Analysis, Usability Testing, Presentations.
* Technical Skills: High-Fidelity Wireframing, Interactive Prototyping.
* Tools: Figma, Miro.

EDUCATION
UX Design & Interaction Design | Projektor
UI/UX Design | Skill-up

PROJECT EXPERIENCE
* Planner Application
* E-commerce Website Redesign
* CRM System
* Corporate Website
* Landing Page"
98307,"[NAME]
Junior UX/UI Designer

PROFESSIONAL EXPERIENCE

Freelance UX/UI Designer 

E-commerce Skincare Website Redesign
• Optimized usability and visual design by conducting comprehensive user research, including competitor analysis and user personas.
• Identified user pain points and preferences to inform design decisions and improve the overall user experience.
• Applied usability heuristics to develop intuitive prototypes and simplify user flows.
• Delivered a fully responsive design to ensure seamless functionality across all devices.

Landing Pages (Education & Agriculture)
• Designed responsive landing pages for educational courses and agricultural companies.
• Implemented clear calls-to-action (CTAs) to enhance user engagement.
• Highlighted course benefits and outcomes to effectively communicate value propositions to prospective users.
• Developed visual identities using curated color schemes, typography, and imagery tailored to specific industry topics.
• Ensured all layouts were optimized for full responsiveness.

SKILLS
UX/UI Design, User Research, Competitor Analysis, User Personas, Usability Heuristics, Prototyping, Responsive Design, Typography, Color Theory, Visual Design."
98308,"**JUNIOR UX/UI DESIGNER**

**PROFESSIONAL SUMMARY**
Junior UX/UI Design Professional and former professional athlete for the Ukrainian National team. Combines a Digital Marketing Professional Certificate with a background in Hospitality and Tourism Management to craft intuitive user interfaces that maximize user experience. Dedicated to problem-solving, research, and creative thinking, with a focus on delivering high-quality projects that motivate user action. Committed to continuous learning and contributing to team success through innovative design approaches.

**TECHNICAL SKILLS**
*   **Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop
*   **Specializations:** UX/UI Design, Digital Marketing, User Interface Design, Creative Problem Solving, Research

**PROJECTS**
*   **VitalMed Private Medical Clinic:** Designed a dedicated web service focused on enhancing user experience and results.
*   **Tattoo Salon:** Executed a comprehensive website redesign to improve visual identity and functionality.
*   **Citroen C4:** Developed a specialized landing page designed to drive user engagement.

**EDUCATION**
*   **Digital Marketing Professional Certificate**
    University of Miami
*   **Bachelor of Science in Hospitality and Tourism Management**
    Florida International University
    *Minor: International Relations*

**PROFESSIONAL EXPERIENCE**
*   **Professional Athlete**
    Ukrainian National Team
    *   Leveraged discipline and high-level teamwork to contribute to national-level athletic performance.

**CORE STRENGTHS**
*   **Creativity & Detail:** Commended for delivering projects adhering to the highest standards of quality.
*   **Industry Trends:** Passionate about staying up-to-date with emerging technology and design boundaries.
*   **Collaborative Mindset:** Focused on the ""big picture"" and contributing to overall team success through exploration and new design approaches."
98309,"[NAME]
[Phone Number] | [Email Address] | [LinkedIn/Portfolio Link]

**PROFESSIONAL SUMMARY**
Junior Web Designer with experience in the warehousing software industry. Proven track record of designing websites from scratch, creating comprehensive marketing materials, and collaborating with technical teams. Proficient in Figma, Adobe Illustrator, and OBS Studio, with a focus on developing effective visual elements and product demonstrations.

**SKILLS**
*   **Design Tools:** Figma, Adobe Illustrator
*   **Video Production:** OBS Studio, Video Recording, YouTube Content Creation
*   **Design Process:** Wireframing, Mockups, Prototyping, Design Control
*   **Collaboration:** Cross-functional teamwork with Developers and Testers

**PROFESSIONAL EXPERIENCE**

**Junior Web Designer** | [Company Name]
*   Designed the company website from scratch, including all web pages, graphics, and visual elements.
*   Created wireframes, mockups, and prototypes to communicate design concepts and ideas to stakeholders.
*   Maintained design control of finished pages to ensure visual quality and consistency.
*   Collaborated closely with a team of developers and testers to implement design solutions.
*   Developed a wide range of marketing materials, including social media covers and YouTube video previews.
*   Recorded and produced YouTube videos demonstrating the functionality of the company's warehousing software product.

**OBJECTIVE**
Seeking to improve professional skills as a designer by contributing to new projects and developing high-quality web and marketing solutions."
98310,"**PRODUCT DESIGNER**

**Professional Summary**
Mid-level Product Designer responsible for the design of consumer products. Focused on improving existing product designs and analyzing competitor concepts to match quality and performance standards.

**Core Responsibilities**
*   Design and develop consumer products.
*   Improve existing product designs.
*   Analyze working concepts launched by competitors of similar products to match quality and performance."
98311,"[NAME]
[Phone Number] | [Email Address] | [Portfolio Link]

**PROFESSIONAL SUMMARY**
Adept UI/UX Designer with a well-rounded skill set in Figma, prototyping, and Adobe Photoshop. Recognized expert in communication and a communicative collaborator with a proven track record of delivering non-standard solutions for freelance projects. Highly motivated professional with strong decision-making capabilities and a keen attention to detail and accuracy. Committed to a responsible approach to task implementation and a rapid learner of new technologies.

**SKILLS**
*   **Design:** UI/UX Design, Prototyping, Figma, Adobe Photoshop
*   **Professional:** Communication, Collaboration, Decision-making, Motivation
*   **Attributes:** Attention to Detail, Accuracy, Responsible Task Implementation, Rapid Learning

**EXPERIENCE**
**Freelance UI/UX Designer**
*   Successfully completed several freelance orders by offering non-standard solutions to design challenges.
*   Maintained a responsible approach to the implementation of tasks, ensuring high levels of accuracy and attention to detail.
*   Strengthened capabilities in motivation and decision-making through independent project management.
*   Utilized expertise in communication to function as a highly collaborative partner.
*   Demonstrated the ability to quickly learn and integrate new tools and methodologies into the design process.

**OBJECTIVE**
To secure a remote position with scalable hours that provides the opportunity to unlock my full potential as a designer and contribute to innovative projects."
98312,"[NAME]
[Phone Number] | [Email] | [LinkedIn/Portfolio Link]

**PROFESSIONAL SUMMARY**
Aspiring Entry-Level UX/UI Designer with a Master’s degree in Economics and a professional background in Auditing. Combines a strong analytical foundation with practical experience in graphic design and branding. Proven ability to apply user-centric design principles and meticulous attention to detail to create intuitive, visually compelling experiences. Driven to translate complex ideas into user-friendly interfaces that enhance usability.

**CORE COMPETENCIES**
*   **Design:** User-Centric Design Principles, Graphic Design, Branding, Social Media Design, Poster & Print Design, Visual Aesthetics.
*   **Analytical:** Analytical Thinking, Creative Problem-Solving, Business Principles, Data Interpretation, Meticulous Research.
*   **Professional:** Deadline Management, Precision, Discipline, Psychology of User Behavior.

**PROFESSIONAL EXPERIENCE**

**Graphic and Social Media Post Designer** | Education Center
*   Managed the end-to-end branding process for the organization, ensuring a cohesive visual identity across all channels.
*   Developed a diverse range of creative assets, including engaging social media posts, eye-catching posters, and printables.
*   Applied user-centric design principles to translate abstract ideas into visually compelling and functional designs.
*   Researched the relationship between design and human interaction to enhance the impact of visual communications.

**Auditor** 
*   Utilized advanced analytical skills and meticulous attention to detail to ensure accuracy in high-stakes environments.
*   Maintained a high level of discipline and precision while consistently meeting strict professional deadlines.
*   Leveraged creative problem-solving skills to navigate complex organizational structures and requirements.

**EDUCATION**

**Master of Economics** 
**Bachelor of Economics** 
*   Developed a strong analytical foundation and a comprehensive understanding of business principles and organizational logic.

**OBJECTIVE**
Seeking an entry-level UX/UI design position to utilize my unique blend of analytical thinking and creative flair. Committed to continuous learning and improvement while contributing to the development of intuitive interfaces and exceptional user experiences."
98313,"[NAME]
UI/UX Designer

PROFESSIONAL SUMMARY
UI/UX Designer with commercial experience across multiple domains, specializing in mobile application design and responsive web redesigns. Proficient in the Design Thinking process, user research, and the creation of comprehensive design systems.

SKILLS
*   UX Research & Competitor Investigation
*   Design Systems & Style Guide Creation
*   Information Architecture (IA)
*   Wireframing, Mockups, & Prototyping
*   Mobile Design (Patterns & Rules)
*   Adaptive & Responsive Web Design
*   Marketing Material & Social Media Visual Design
*   Client & Developer Communication

PROFESSIONAL EXPERIENCE
UI/UX Designer

Key Projects:
*   Mobile Applications: Led design efforts for a guide application and a lottery application.
*   Corporate Website Redesign: Developed adaptive designs for web, mobile, and tablet platforms.

Key Responsibilities:
*   Conducted design analysis of legacy screens to inform redesign strategies.
*   Created comprehensive design systems rooted in the Design Thinking process.
*   Facilitated user research, competitor investigations, and brainstorming sessions.
*   Defined information architecture and produced high-fidelity wireframes, mockups, and prototypes.
*   Collaborated directly with client teams and developers to ensure design alignment.
*   Developed all visual assets for the marketing team and company social media platforms.
*   Authored detailed case studies and multiple Behance presentations.

TECHNICAL STACK & GUIDELINES
*   Frameworks: Angular Material, Kendo UI
*   Guidelines: Human Interface Guidelines (HIG), Google Material Design
*   Design Methods: Design Thinking, User Research, Adaptive Design patterns"
98314,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Passionate and detail-oriented UI/UX Specialist dedicated to crafting seamless and intuitive user experiences. Proven track record of collaborating with cross-functional teams to create visually appealing interfaces for web and mobile applications. Strong foundation in design principles with a focus on delivering impactful, user-centric solutions through continuous learning and problem-solving.

**PROJECTS**

**Table Tab Mobile App Design**
*June 2023 – August 2023*
*   Collaborated on a team project to design a streamlined mobile solution for restaurant reservations.
*   Conducted extensive reference research and updated wireframes to optimize the user journey.
*   Evaluated and selected design systems most suitable for the application’s use case.
*   Prototyped UI screens and developed a unique rewards UI feature to enhance user engagement and brand impression.

**Host Radar Project Design**
*April 2023 – June 2023*
*   Contributed to the design of a web service facilitating work-and-stay accommodations.
*   Executed comprehensive market and competitor analysis to inform design decisions.
*   Gathered visual references and prepared wireframes to guide the development process.
*   Developed animated prototypes and finalized the project case study.

**Mainsal Realty Company Redesign**
*February 2023 – April 2023*
*   Managed the end-to-end redesign of a real estate website to improve user-friendliness and business growth.
*   Performed a site audit to identify usability issues and navigation bottlenecks.
*   Conducted market research and competitor analysis specifically for the US real estate market.
*   Executed the full design lifecycle, from initial research and wireframing to the final visual design, resulting in a more intuitive user experience.

**CORE COMPETENCIES**
*   **Design:** UI/UX Design (Web & Mobile), Wireframing, Prototyping, Design Systems, Interface Animation.
*   **Research:** Competitor Analysis, Market Research, Usability Audits, Reference Research.
*   **Collaboration:** Cross-functional Teamwork, Stakeholder Communication, Project Documentation."
98315,"[NAME]
[Phone Number] | [Email Address] | [LinkedIn Profile/Portfolio Link]

**PROFESSIONAL SUMMARY**
UI/UX Designer and recent Plural Code Academy graduate with experience designing user interfaces and experiences for web and mobile applications. Proven ability to conduct user research, create wireframes and prototypes, and perform usability testing. Currently contributing to a software agency, delivering high-quality designs for cryptocurrency and hospitality platforms. Committed to collaborative problem-solving and meeting project deadlines.

**SKILLS**
*   **Design Tools:** Figma
*   **Design Processes:** UI/UX Design (Web & Mobile), User Research, Wireframing, Prototyping, Usability Testing
*   **Soft Skills:** Problem-solving, Team Collaboration, Quick Learning, Deadline Management

**PROFESSIONAL EXPERIENCE**
**Software Agency**
*UI/UX Design Intern*
*   Designed and completed full website and mobile views for a cryptocurrency platform.
*   Designed a comprehensive website for a resort center.
*   Collaborated within a team environment to deliver professional-grade design solutions.

**PROJECTS**
**Salon Mobile App | Plural Code Academy**
*   Designed a dedicated mobile application for a salon as part of the academy curriculum.
*   Applied user-centered design principles to ensure a seamless user experience.

**EDUCATION**
**Plural Code Academy**
*Graduate, UI/UX Design Program*
*   Gained hands-on experience in industry-standard tools and methodologies.
*   Completed rigorous training in user interface and experience design for web and mobile platforms."
