,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
56809,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (if applicable)]

**Summary**

Experienced in creating visual content and marketing materials. Proficient in developing personal styles, illustrations, and design layouts. Adept at client presentations, team collaboration, and UI/UX design.

**Skills**

*   Illustration
*   Social Media Graphics (banners, illustrations)
*   Layout Design (magazines, books)
*   Marketing Material Development (print)
*   Presentation Creation & Delivery
*   UI/UX Design (e-commerce)
*   Landing Page Design
*   Client Communication

**Experience**

*   Developed personal styles for clients.
*   Created illustrations and banners for social networks.
*   Performed layout design for magazines and books.
*   Prepared and developed marketing materials for print.
*   Created and delivered client presentations.
*   Collaborated with a team to discuss future ideas.
*   Designed landing pages for marketing companies.
*   Performed UI/UX design for an e-commerce shop.
"
56859,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | LinkedIn Profile URL (Optional)

**Summary**

Graphic Designer with over 5 years of experience in the publishing industry. Possesses knowledge of Web Design and UI/UX Design, acquired through specialized training.

**Experience**

**PRAGMATIKA.MEDIA, Kyiv** | Graphic Designer | 2018 – 2023

*   Developed magazine design, including layout and visual design.
*   Created graphic documentation, such as presentations, forms, and media.
*   Produced visual content for social networks and websites, encompassing post design, page aesthetics, collages, and leaflets.

**Freelance (cooperation with Inka), Kyiv** | Graphic Designer | 2020 – 2023

*   Designed a magazine for the Premier Hotel.
*   Developed corporate catalogs and brochures.

**IMEX LTD, Kropyvnytskyi** | Designer Assistant | 2014

*   Created corporate catalogs, brochures, certificates, and business cards.

**Skills**

*   Graphic Design
*   Layout Design
*   Visual Design
*   Web Design (Knowledge)
*   UI/UX Design (Knowledge)

**Training**

*   ""Web Design"" - Skvot
*   ""Work with Figma"" - Creative Practice
*   ""UX/UI. Projecting and designing of interfaces"" - Creative Practice
"
56860,"**Summary**

A seasoned graphic, web, and UI/UX designer experienced in creating visually appealing websites, user-friendly interfaces, and captivating branding materials. Proven ability to deliver immersive digital experiences that resonate with clients and users.

**Experience**

*   **Freelance Designer** | *[Start Date] - [End Date]* (Approximately 6 months)
    *   Designed websites for businesses including perfume stores, photographers, start-ups (similar to taskrabbit.com), and hotels.
    *   Developed a dashboard for a local bank.
    *   Created a website for a solar panel company.
    *   Designed a menu for a local restaurant.
    *   Worked on a cinema app.
    *   Crafted welcome brochures for a specific country.

**Skills**

*   Graphic Design
*   Web Design
*   UI/UX Design
*   Branding
*   User Interface Design
*   User Experience Design

**Education**

*   Completed comprehensive design courses (approximately 9 months)

**Preferences**

*   Prefers projects that align with personal values and interests.
*   Avoids projects involving adult websites or gambling game design.
"
56861,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link]

**Summary**

UI/UX and Graphic Designer with 2+ years of experience, passionate about creating user-friendly and aesthetically pleasing interfaces. Skilled and diligent, with a wide range of interests.

**Experience**

*   **UI/UX Designer** | Liga Zakon | [Start Date] - Present
*   **UI/UX Designer** | Coming Agency | [Dates of Employment]
*   **UI/UX Designer** | Come Back Agency | [Dates of Employment]
*   **UI/UX Designer** | Fawn Agency | [Dates of Employment]

**Projects**

*   Brand Book for Kiton furniture store
*   Brand Book for Lviv Botanic Garden

**Skills**

*   UI/UX Design
*   Graphic Design

**Interests**

*   Basketball
*   Skiing
*   Design
"
56862,"**[Your Name]**

**Summary**

Digital Designer with five years of experience. Possesses technical and communication skills developed through work with large corporate clients, consistently meeting artistic and punctual requirements. Experience includes developing concepts and corporate styles for multiple brands. Currently freelancing for international clients. Completed UX design courses at Projector in May 2022 and has a foundational understanding and desire to work in UX design.

**Experience**

*   **Freelance Designer** | \[Dates of Freelance Work]
    *   Designed for clients internationally.

*   **Graphic Designer** | \[Network Advertising Agency Name] | \[Dates of Employment]
    *   Collaborated with internal teams to develop concepts and corporate styles for over eight brands.
    *   Satisfied the artistic and punctual requirements of large corporate clients.
    *   Gained technical and communication skills.
"
57384,"**Summary**

T-shaped Design Generalist with 15+ years of experience, specializing in product thinking. Proven ability to lead design teams and projects worldwide. Expertise in establishing product design teams and processes.

**Experience**

*   Led design teams and projects globally.
*   Designed over 40 successful digital products.
*   Launched and successfully operated over 30 brands and trademarks.
*   Mentored junior designers, delivered lectures, and conducted workshops.
*   Experience in product management and startup launches.
*   Jury member at international design competitions.
*   Recipient of international design awards.

**Skills**

*   UX Architecture & Design
*   Data Mining & Data-Driven Design
*   User Testing & Usability Evaluation
*   Visual Design & UI Design
*   Logo Design & Product Identity Design
*   Prototyping
*   iOS & Android Design
*   HTML/CSS
*   AR/VR
*   Business & Requirement Analysis
*   User & Marketing Research
*   Photography & Direction
*   Management & Tutoring
*   Strong hands-on knowledge of UX design, prototyping tools, user testing, mobile and responsive design, branding and HTML/CSS principles.

**Certifications**

*   Respectable UX Certification

**Preferences**

*   Seeking a product-focused company.
*   Desire to influence product direction and vision.
*   Open to part-time design consultancy (processes or products).
*   Considering remote or relocation opportunities (USA, UK, Europe).
*   Flexible and adaptable to changes.
*   Interested in AR/VR projects (excluding game development).
*   Experienced in company management, with the ability to communicate business needs and goals.
*   Not interested in project or operational work for outsourcing.
"
57400,"**[Your Name]**

**Summary**

UI/UX Design professional with over 10 years of experience, including 5+ years in Design Team Management (20 team members). Proven ability to drive product design from concept to launch, establish design departments, attract projects, and contribute to company profitability. Expertise in resource management, team development, project estimation, and diverse industry experience.

**Experience**

*   **Design Department Creation & Development**
    *   Established a design department, attracting projects and clients to generate additional profit.
    *   Managed a team of 20 designers.
    *   Full-cycle hiring: interviewing, on-boarding, feedback, and coaching.
    *   Design strategy, performance monitoring, and evaluation.
    *   Project distribution and team member growth (interns to senior/team leads).
    *   Budgeting, pre-sales participation, project estimation, and contract review.
    *   Saved the business multiple times through dedicated work.
    *   Improved existing products.
    *   Successfully implemented 50+ projects.
*   **Product Design & Development**
    *   Led product design from initial concept to launch.
    *   Developed creative solutions and interface concepts.
    *   Applied an analytical approach to design.
    *   Utilized strong knowledge of the design process: research, prototyping, testing, interviews, usability audits, and design systems.

**Skills**

*   UI/UX Design
*   Design Team Management
*   Resource Management & Planning
*   Project Estimation & Specifications
*   Design Strategy & Performance Evaluation
*   Budgeting
*   Pre-sales Participation
*   Contract Review
*   Self-Management
*   Analytical Mindset
*   Collaboration
*   Empathy & Understanding
*   Problem-Solving
*   Ability to Work Under Pressure

**Industries**

Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain & Crypto, Legal, Sports.

**Objective**

To contribute to product development and lead the complete design process to enhance product quality and increase profitability, leveraging extensive experience in concept creation and market entry.
"
62042,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented professional with a diverse background in project management, marketing, and web design. Proven ability to manage projects, implement business processes, and contribute to company growth. Adept at communication, problem-solving, and working with cross-functional teams.

**Experience**

**Beetroot Academy** | 2023 – Present
*   Gained practical experience through hands-on learning, including:
    *   Composing concise introductory communications.
    *   Identifying potential candidates using search systems, including Boolean and X-Ray search techniques.
    *   Conducting effective interviews.

**Web Designer, UX/UI Designer (Freelance)** | 2020 – Present
*   Developed multiple web design projects, including:
    *   Website for Fortified Capitals (exchange trading platform).
    *   Landing page design.
    *   Business card creation.
    *   Smart Home mobile application design.

**Partner Ukraine LLC** | Personal Assistant, Project Manager (Part-Time) | 2020 – 2023
*   Managed project documentation and negotiated contracts.
*   Resolved recurring issues and implemented solutions.
*   Assigned tasks to project participants and monitored their progress.
*   Motivated team members.
*   Collaborated with suppliers and clients.
*   Created and implemented business processes (BPMN) across all departments.

**LLC Trade House Alfa-Komplekt EKB** | Deputy General Director for Quality | 2018 – 2020
*   Oversaw quality control of incoming products.
*   Managed reclamation processes.
*   Developed and implemented the organization's Quality Management System (QMS) policy and objectives.
*   Prepared documentation for certifications and licenses.
*   Organized events for exhibitions, conferences, and seminars.

**Alfa-Sert LLC** | Marketer | 2015 – 2018
*   Managed company branding initiatives, including development, implementation, and improvement.
*   Developed, approved, and launched advertising campaigns.
*   Created a product catalog.
*   Developed, approved, and launched Point of Sale Materials (POSM).
*   Collaborated with external contractors, including designers, web developers, and printing houses.

**Albion Trading Company LLC** | Marketer | 2012 – 2014
*   Marketer
"
63086,"**[Your Name]**
[Your Contact Information]

**Summary**

Young web designer with practical experience in Sketch, Figma, Adobe Photoshop, and Adobe Illustrator. Possesses a strong ability to learn new software and processes quickly and efficiently.

**Education**

*   **Spalah IT-School** - UI/UX- Web Designer
    05/2018 – Present
*   **LevelUP School** - UI/UX- Web Designer
    10/2018 – 04/2019
"
63087,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (if applicable)]

**Summary**

Highly motivated individual with foundational skills in Adobe Photoshop, Adobe Illustrator, and Figma. Eager to contribute to real-world design projects and learn from experienced professionals. Possesses strong soft skills developed through experience in the restaurant industry. Committed to dedicating time and effort to quickly contribute value to a team.

**Skills**

*   Adobe Photoshop
*   Adobe Illustrator
*   Figma

**Soft Skills**

*   Adaptability
*   Sociability
*   Conflict Resolution
*   Open to Criticism
*   Discipline
*   Flexibility

**Experience**

*   Restaurant Industry (Details to be added if appropriate, such as role or duration)

**Desired Experience**

Seeking opportunities to gain practical experience and knowledge from experienced designers. Ready to invest significant time and effort to ensure a rapid return on training investment for the team/mentor/company.
"
83710,"**[Your Name]**

**Summary**

Graphic and UI/UX Designer seeking challenging opportunities. Experience includes creating web and mobile applications, corporate branding, and freelance design projects. Eager to learn and collaborate within a structured team environment.

**Experience**

*   **UI/UX and Graphic Designer**
    *   **Outsource Company (Fintech and Blockchain Specialization)**
        *   Designed web and mobile applications from concept to completion, catering to markets in the USA, Canada, and the UK.
        *   Created a website for a blockchain trading company.
        *   Developed a corporate interactive notebook for employee anniversaries.
        *   Designed Instagram corporate posts that served as templates for future content.
        *   Worked on various graphic design projects, including brand books, corporate merchandise (cups, hoodies, t-shirts, pens, etc.), banners, printouts, and posters.
        *   Contributed to a blockchain corporate project involving a tokenized game.
        *   Created an animation for a Behance case study.
*   **Freelance Designer**
    *   Designed a logo for a Ukrainian bag manufacturer.
    *   Redesigned an existing website.

**Skills**

*   UI/UX Design
*   Graphic Design
*   Branding
*   Web Design (Concept to Design)
*   Mobile Application Design (Concept to Design)

**Additional Information**

*   Open to feedback and eager to learn from experienced professionals.
*   Seeking a team-oriented environment with clear tasks and deadlines.
"
83711,"**[Your Name]**

**Summary**

Experienced in creating engaging content and managing marketing initiatives. Skilled in graphic design, social media management, and analytical analysis. Dedicated to supporting communication and outreach efforts.

**Experience**

*   Developed and produced newsletters for three distinct target audiences.
*   Designed all visual elements for websites and social media platforms.
*   Formulated and implemented marketing plans, including comprehensive analytical assessments of advertising campaigns.
*   Provided support on a medical aid infoline for Ukrainian refugees.
*   Managed social media accounts for Medimost and its related projects.
"
86666,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | LinkedIn Profile URL (Optional)

**Summary**

Web Designer with over two years of experience at a digital marketing agency. Skilled in developing modern, responsive corporate websites and landing pages. Expertise in creating visually appealing and user-friendly digital experiences.

**Skills**

*   Design Tools and Software (List Specific Tools)

**Experience**

*   **Web Designer** | Digital Marketing Agency | Dates of Employment (Month Year – Month Year)
    *   Designed digital experiences for clients.
    *   Created and maintained responsive websites and landing pages.

**Goals**

*   Seeking to expand skillset in UI/UX design.
"
87779,"**[Your Name]**

**Summary**

Results-oriented professional with experience in design, digital marketing, global relationship management, sales, client services, growth assistance, and product management.

**Experience**

*   **727.ventures:** Growth Assistant/ Product Manager
*   **Deutsche Börse:** Global RM, Sales, Client Services
*   **Bank Gutmann:** Design and Digital Marketing

**Contact**

Available upon request.
"
97622,"**[Your Name]**

**Summary**

UI/UX Designer with 1.5 years of hands-on experience designing desktop and mobile applications. Proven ability to create illustrations, graphics, and content for books, booklets, and online posts, with 3 years of experience. A proactive designer focused on delivering optimal solutions, incorporating client communication, project roadmap development, and design matrix creation. Experienced in user experience research, including the creation of empathy maps, user scenarios, and the identification of user needs. Skilled in developing and testing clickable prototypes. Proficient in web and mobile application design, understanding fundamental behavioral patterns. Dedicated to creating clear, user-friendly, and visually appealing designs.
"
98134,"**[Your Name]**
[Your Contact Information]

**Summary**

Highly motivated individual seeking a Junior UI/UX Designer role or trainee program. Possesses a Master's Degree and a strong foundation in design principles, including proficiency in Adobe Illustrator, Photoshop, After Effects (animation and motion design), and web design. Proven ability to analyze, plan, and solve problems, with three years of project management experience in an NGO, demonstrating a track record of achieving results. Eager to gain experience in the IT field and pursue professional growth.

**Skills**

*   Adobe Illustrator
*   Adobe Photoshop
*   Adobe After Effects (Animation & Motion Design)
*   Web Design
*   Project Management
*   Analysis
*   Planning
*   Problem-Solving

**Experience**

*   **Project Manager** | [NGO Name] | [Dates of Employment]
    *   Managed projects, utilizing analytical, planning, and problem-solving skills to achieve organizational goals.

**Education**

*   **Master's Degree** | [University Name] | [Year of Graduation]

**Objective**

To secure a Junior UI/UX Designer position or trainee program within the IT industry, leveraging existing skills and experience while contributing to a team and pursuing professional development.
"
98135,"**\[Your Name]**
\[Your Phone Number] | \[Your Email Address] | \[Your Portfolio URL (Optional)]

**Summary**

UI/UX Designer with 1+ years of experience seeking a new opportunity to enhance skills and expand experience.

**Experience**

*   **UI/UX Designer** \[Previous Company or Project - Optional]
    *   Employed industry and design best practices throughout website build processes.
    *   Analyzed user behavior, identified and resolved UX issues.
    *   Developed a landing page prototype in Figma.
    *   Collaborated on style guides, including font, color, and illustration selection.
    *   Ensured website functionality across various devices (desktop, mobile, tablet).
    *   Created logos.
"
98136,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (if applicable)]

**Summary**

UI/UX Designer with 1.5 years of experience and a strong desire for continued development in the field. Proficient in Figma and Adobe Photoshop.

**Experience**

*UI/UX Designer* | Start-up | [Dates of Employment - e.g., ""Last 4 months""]
*   Designed UI/UX for an online clothing shop targeting the EU market.
*   Collaborated with a Product Manager, two developers, and one QA.
*   Utilized Figma and Adobe Photoshop.

*UI/UX Designer* | British Clothing Store | [Dates of Employment - e.g., ""Last 2 months""]
*   UI/UX design responsibilities included:
    *   Prototyping
    *   Layout creation
    *   UI Design
    *   UX Design

*Freelance UI/UX Designer* | [Dates of Employment - e.g., ""8 months""]
*   Completed various small UI/UX design projects.

**Skills**

*   Figma
*   Adobe Photoshop
*   English (Fluent)
"
98137,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (Optional)] | [Your LinkedIn Profile URL (Optional)]

**Summary**

Beginning UI/UX designer based in Lviv, Ukraine, seeking to contribute to the design and launch of new digital products or the redesign of existing projects for enterprises. Committed to user-centered design principles to create intuitive and user-friendly experiences. Eager to learn, responsible, and sociable, with a strong desire for continuous skill development.

**Education**

*   **Projector Institute** - Web Design Beginning Course, Lviv, Ukraine

**Skills**

*   UI Design Fundamentals (Udemy.com Online Course)
*   UX Design Fundamentals (Udemy.com Online Course)

**Experience**

*   **Mentorship:** Mentored by Valentine Skliarov (Lead Designer at Cieden)

"
98138,"**[Your Name]**
[Your Phone Number] | [Your Email] | [Your LinkedIn Profile (Optional)] | [Your Portfolio Link (Optional)]

**Summary**

*   Team player with a strong aptitude for rapid learning.
*   Passionate about design and dedicated to user-friendly, aesthetically pleasing solutions.

**Skills**

*   **Design Software:** Figma (Components, Variants, Auto Layout, Prototyping, Mockups), Adobe Photoshop, Adobe Illustrator (Basic)
*   **Design Principles:** Typography, Grid Systems, Composition, Color Theory, Usability Principles
*   **Other:** Webflow (Learning), English (Improving)

**Projects**

*   Created and continue to create personal projects for educational courses and test tasks.
    *   Designed landing pages and authorization forms.

"
98171,"**Jane Doe**
(Phone Number) | (Email Address) | (Portfolio Link)

**Summary**

UI/UX Designer with approximately one year of experience. Proven ability to contribute to creative projects and collaborate within team environments. Passionate about design and eager to contribute to innovative projects.

**Experience**

*   **Freelancer**
    *   (Dates of Freelance Work)
    *   Developed and delivered creative projects.
*   **Startup**
    *   (Dates of Employment)
    *   Collaborated within a team on UI/UX design tasks.

**Skills**

*   **Design Software:** Figma, Photoshop, Illustrator, AutoCAD, Blender
*   **Other:** Photography, Music

**Strengths**

*   Ambitious
*   Proactive
*   Cooperative
*   Polite
*   Creative

"
98172,"Dmitry
UI/UX Designer

Passionate about design and dedicated to continuous skill improvement. Focused on creating modern and stylish designs, with a strong interest in finding inspiration. Eager to apply skills and contribute to real-world projects.
"
98173,"**[Your Name]**
[Your Contact Information]

**Summary**

Designed websites and mobile applications utilizing various tools and technologies. Experience includes creating layouts and designs using graphic editors such as Figma, Adobe Photoshop, Adobe Illustrator, and CorelDRAW. Collaborative team experience ensuring project completion on time and aligned with user needs. Committed to staying current with web design trends and learning new tools for optimal design and functionality.

**Projects**

*   **GetPet - Web Service for Finding Lost Animals**
    *   Conducted competitor analysis, persona creation, user journey mapping, and user flow analysis.
    *   Performed work on wireframes and interface design.
    *   Collaborated with a team during development.

*   **Poltava Music School Website Redesign**
    *   Redesigned the website interface for a more modern and user-friendly experience.

**Skills**

*   Web Design
*   Mobile Application Design
*   Figma
*   Adobe Photoshop
*   Adobe Illustrator
*   CorelDRAW

**Desired Employment**

Seeking a remote position with a flexible schedule. Interested in a company that fosters collaboration and the creation of competitive, high-quality products.
"
98245,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented designer with a strong foundation in design principles and a proactive approach to user experience. Successfully completed design coursework and thesis, currently advancing skills through a professional course. Proven ability to conduct UX research, analyze target audiences and competitors, and develop comprehensive design solutions. Experience in creating design systems, UI kits, prototyping, and adaptive design. Familiar with animation techniques.

**Experience**

*   **Freelance Designer** | 6 Months

    *   Created posters.
    *   Rendered videos.
    *   Designed a logo for a dance festival.

**Skills**

*   UX Research
*   Audience Research
*   Competitor Analysis
*   Design Systems
*   UI Kit Development
*   Prototyping
*   Adaptive Design
*   Animation (Limited experience)
*   Poster Design
*   Video Rendering
*   Logo Design

**Education**

*   Design Coursework | Successfully Defended Thesis
*   Currently Enrolled: Professional Course
"
98250,"**Summary**

Highly motivated individual with experience in design, UI/UX, media buying, marketing, and account management. Proven ability to build relationships, optimize campaigns, and drive results.

**Experience**

**Innovation Group** | Media Buyer/Marketer | 03.2016 – 05.2022

*   Managed advertising campaigns across various networks.
*   Oversaw traffic distribution for advertising campaigns.
*   Prepared and created creatives and landing pages.
*   Monitored and analyzed advertising campaign performance.
*   Optimized campaigns for improved results.

**Sprava** | Account Manager | 01.2013 – 02.2016

*   Developed partnerships and strategic client relationships.
*   Expanded account portfolios through new customer acquisition.
*   Cultivated regular customer relationships.
*   Provided support in setting up SEO for partner account monetization.

**Education**

**Hillel (IT School)** | UI/UX Design Pro | 10.2021 – 05.2022

**Hillel (IT School)** | Design Basic | 05.2021 – 08.2021
"
98251,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)]

**Summary**

Enthusiastic individual with experience in UI/UX design and a background in photography. Possessing a solid foundation in web UI development and a passion for creating user-centered designs.

**Skills**

*   UI/UX Design
*   User Research
*   Wireframing
*   User Flow
*   Mockups
*   Prototyping
*   User Personas
*   Figma
*   Photography
*   Photo Retouching
*   Teamwork
*   Sales
*   Photo Album Design

**Experience**

**UX/UI Designer** | Freelance | March 2023 – Present

*   Conducted user research to understand user needs and behaviors.
*   Developed wireframes and user flows to visualize and plan user interactions.
*   Created mockups and prototypes to demonstrate design concepts.
*   Utilized Figma for design and collaboration.

**Photographer** | The Moment, Kyiv | September 2020 – February 2022

*   Photographed groups of people.
*   Performed photo retouching.
*   Collaborated effectively within a team.

**Photographer** | The Svadba, Kyiv | March 2018 – April 2019

*   Photographed weddings, including the bride, groom, and guests.
*   Retouched photographs.
*   Sold photographs.
*   Designed and printed photo album layouts.

**Aviation Security** | PLC «Master-Avia», Kyiv | April 2017 – December 2017

*   Monitored baggage in a timely and systematic manner.
*   Interacted and worked with diverse groups of people.

**Education**

**Prometeus**

*   Successfully completed ""UI/UX Design Basics"" course | 2023
*   Successfully completed ""Basics of Web UI Development"" course | 2022
"
98252,"**VBakery**

*   Developed a website for a bakery specializing in pastries and cakes.
*   Implemented features for users to browse a catalog, place orders, and design custom confectionery.
*   Enabled user registration and personal accounts to save favorite items, view reviews, and track order history.
*   Included information about the bakery's location.

**Dim Kultury**

*   Developed a website to attract investment for the renovation of local monuments, the creation of a cultural center, and the restoration of a community club.
*   The project comprised three key areas:
    *   Restoration of a historic nightclub (""ЖИВОТ"") to transform it into a youth center.
    *   Establishment of a large cultural center (""ДІМ КУЛЬТУРИ"") to unite social and business projects.
    *   Creation of a public urban space (""ДВІР"") with a green theater, summer stage, and food court.
"
98253,"**[Your Name]**

**Summary**

Highly motivated individual with experience in design and project leadership, contributing to real-world projects within the social sector and e-commerce. Proficient in design tools and collaborative platforms.

**Experience**

**Baza Trainee Ukraine** | 06.2023 – Present
*   Led design teams for website projects for the volunteer organization ""4.5.0.""
*   Led design teams for the ""1000+1 song. Kolyskovi."" project.
*   Finalist, Hahathon 4.0: Ukraine Heritage Edition.
*   Utilized Figma, Trello, Slack, Discord, and time tracking tools.

**CURSOR Education** | 01.2023 – 06.2023
*   Contributed to the development of an e-commerce platform for a real craft business.
*   Conducted stakeholder interviews, competitor analysis, user research, SWOT analysis, customer journey mapping (CJM), and information architecture (IA).
*   Developed wireframes, UI components, and prototypes.
"
98254,"**[Your Name]**
[Your Contact Information]

**Summary**

UX/UI Designer proficient in design fundamentals and Figma. Experienced in enhancing user-friendliness through interface redesigns and creating interactive designs to improve user interaction.

**Skills**

*   UX/UI Design
*   Figma
*   Interactive Design
*   Social Media Banner Creation

**Projects**

*   **Website Redesign:** Successfully implemented improvements to enhance user-friendliness.
*   **Social Media Banners:** Created banners for a charitable organization.
*   **Fitness Coach Website Redesign:** Restructured the webpage to simplify the design, highlight key elements, and attract new clients.
*   **Landing Page for Handmade Artist (UX-UI Case Study):** Designed a page to showcase unique products for the international market, including wireframes, natural color palettes, and light parallax animation.
*   **Mobile App (UX-UI Case Study):** Developed an app for remote gift selection and delivery with flowers for special occasions.

**Experience**

*   Completed a UX/UI design course, mastering design fundamentals and Figma.
*   Experience in developing landing pages, mobile applications, and web services.
*   Experience working with agencies, startups, and product companies.
"
98255,"**Jane Doe**
[Your Contact Information]

**Summary**

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs. Equipped with a solid foundation in design principles, user research, interactive prototyping and adaptive design. Eager to contribute my skills and enthusiasm to create impactful and user-friendly products that elevate the user's journey.

**Projects**

*   **DeliverEats Mobile Service**
    *   Created a mobile design for a food delivery service.
    *   Conducted UX research, wireframing, UI design, and prototyping.
    *   Launched the design on Behance.
    *   The goal was to create a service for users to quickly order food delivery.
    *   Designed pages for customers including a catalog, product page, and account.
    *   Determined the target audience, analyzed the market and competitors.
    *   Implemented features such as a search function on the home page, filters for quick sorting, and the ability to add products to favorites.
    *   Focused on convenience and simplicity for easier understanding.

*   **PetSearch Web Service** (Team Project)
    *   Participated in a team project to create a web service to search for lost animals.
    *   Conducted UX research, created personas, user flows, and JTBD, CJM.
    *   Performed wireframing, UI design, adaptive design, and prototyping.
    *   Launched the design on Behance.
    *   Considered two user types: those who lost pets and those who found pets.
    *   Analyzed the market and competitors to determine the target audience.
    *   Implemented a warm color scheme.
    *   Focused on functionality to help users take action faster.
    *   Designed for adaptive use, targeting mobile devices.
    *   Prioritized convenience and clarity.

"
98256,"**FlowerLower**

*   Landing page for flower delivery company, case study
*   Conducted competitor analysis and research
*   Developed high-fidelity wireframes
*   Created UI style guides (typography, responsive layouts, color palette, buttons)

**Mimino**

*   Redesign of a Georgian cuisine website, case study
*   Conducted competitor analysis and research
*   Developed high-fidelity wireframes
*   Created UI Kit (typography, responsive layouts, color palette, components)
*   Prototyped user interactions
*   Adapted designs for mobile and tablet devices

**Wanderstay**

*   Couchsurfing web-service, team project, case study
*   Conducted competitor analysis and research
*   Applied design thinking methodologies
*   Utilized Jobs-to-be-Done (JTBD) framework and developed user personas
*   Designed information architecture and user flows
*   Developed customer journey maps (CJM)
*   Created wireframes
*   Designed dashboards
*   Designed a 404 error page
*   Implemented parallax scrolling
*   Adapted designs for mobile and tablet devices
*   Prototyped user interactions
"
98257,"**Summary**

Driven individual with experience in web service development and design, demonstrating a strong understanding of UX/UI principles and a commitment to user-centered design. Proven ability to independently manage projects from inception to completion, including competitor analysis, target audience research, design, and implementation. Eager to contribute to a collaborative and growth-oriented environment.

**Experience**

*   **Web Service Developer**
    *   Independently developed a web cleaning service, managing all phases from competitor analysis and design to implementation.
*   **Leader, ""BARBER"" Barbershop Project**
    *   Led all stages of the project, including competitor and target audience research.
    *   Focused on user needs to inform design decisions.
*   **Website Redesign, ""India Cafe""**
    *   Conducted target audience research to inform design improvements.
    *   Redesigned the website for enhanced usability and visual appeal.
*   **Web Service Creator, ""CLEAN""**
    *   Created a platform connecting cleaners with clients.
    *   Managed the UX/UI stages, including user flow, prototyping, sitemap, payment pages, and design.

**Desired Career Goals**

Seeking a role within a company that fosters a collaborative and results-oriented culture, offering opportunities for professional development and career advancement. Flexible to work both in-office and remotely.
"
98258,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)]

**Summary**

Results-oriented professional with a Master's degree in Law and a strong interest in the IT field, currently studying UI/UX design. Demonstrated ability to manage responsibilities and provide excellent service.

**Experience**

*   **Head of the Quality Control Department of Customer Support** Rocket Delivery (Cyprus) - 6 months
    *   Managed quality control for customer support operations.

*   **Customer Support Manager** (Gambling) - 1 year
    *   Provided customer service regarding website issues.
    *   Transferred requests to appropriate departments.

*   **Notary Assistant** - 3 years
    *   Managed documentation and contract preparation.
    *   Conducted client consultations.
    *   Worked with electronic registers.
    *   Managed business correspondence.

**Education**

*   **Master's Degree in Law** - 2018

*   **UI/UX Design Course** DanIT Academy

**Skills**

*   Responsibility
"
98259,"**[Your Name]**

**Summary**

Results-oriented designer proficient in competitor analysis, user flow creation, sitemap development, mood board creation, and the design of landing pages, websites, and web services. Experienced in prototyping and adaptive design, with a focus on collaborative projects and continuous learning.

**Projects**

*   **OURPAWS** - Redesign of search service for missing animals. Utilized Figma, Adobe Illustrator, and Adobe Photoshop.
*   **LA MESA** - Mobile application for booking tables in restaurants. Utilized Figma, Adobe Illustrator, and Adobe Photoshop.

**Skills**

*   Competitor Analysis
*   User Flow Creation
*   Sitemap Development
*   Mood Board Creation
*   Landing Page Design
*   Website Design
*   Web Service Design
*   Prototyping
*   Adaptive Design
*   Figma
*   Adobe Illustrator
*   Adobe Photoshop

**Desired Skills and Interests**

*   Continued development and learning.
*   Advanced proficiency in Adobe Illustrator.
*   Skill enhancement in vector graphics.
*   Collaborative work environment with mutual respect and assistance.
"
98260,"**[Your Name]**

**Summary**

Driven individual with experience in website design, focused on creating user-friendly interfaces and attracting customers through thoughtful design. Demonstrated ability to analyze target audiences and develop effective design solutions.

**Projects**

*   **Landing Page for Flower Shop ""FlowerLover""**
    *   Developed a user-friendly landing page for a flower shop, ""FlowerLover,"" based on client requirements.
    *   Conducted competitor research and target audience analysis.
    *   Designed a clear interface and focused on User Interface (UI) elements.

*   **Redesign of Alaska Pete's Restaurant Website**
    *   Redesigned the website for Alaska Pete's restaurant.
    *   Addressed outdated design and lack of user appeal.
    *   Created a modern, user-friendly design to attract potential customers, including a table reservation form.
"
