,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
98282,"# UI-UX Designer

## About Me

Junior UI-UX designer with an HR background and a strong passion for design and innovation. I create visually appealing, user-friendly websites and applications. A fast learner who is responsible and ready for challenging tasks.

## Project Experience

**Eventize – Mobile Application (2023)**
Designed a mobile application enabling users to discover, book, and plan events and venues. The platform features comprehensive event management tools, including category-based item selection and task planning functionality.

**Guesture – Web Application (2022)**
Designed a web service connecting budget-conscious students and young travelers with hosts offering accommodations in exchange for payment or work. The platform facilitates environmental change and affordable travel opportunities.

## Interests

Seeking a full-time or part-time position at an innovative, growing company."
98283,"# UX/UI Designer & Team Leader

## Professional Summary

Detail-oriented UX/UI Designer specializing in user experience (65%) and visual design (35%). Proven leadership in web service development, driving organizational excellence, project delivery, and team performance. Passionate about advancing into a professional UX/UI Designer role and building an independent brand.

## Experience

**Team Leader**
Web Service ""Shine"" – Cleaning Companies Platform
- Direct all organizational aspects of project development
- Drive project contributions while fostering team motivation and support

**Team Leader**
Course-Based Development Team
- Facilitate team collaboration on coursework projects

## Projects

**Landing Page ""FlowerLover""**
Flower Delivery Platform
- Designed minimalistic one-page website optimizing user experience and visual clarity
- Executed full design process: competitor analysis, target audience research, reference selection, moodboard creation, wireframes, prototype development, UI-kit development, animation implementation, tablet and mobile adaptations
- Published case study on Behance

**Website Redesign ""A Kids Place Childcare""**
Modern Kindergarten Website
- Conducted comprehensive site analysis identifying factors contributing to decreased client engagement and coverage
- Delivered end-to-end redesign: site analysis, target audience and competitor research, reference collection, moodboard creation, wireframes, prototypes, UI-kit development, responsive adaptations, animation implementation
- Published case study on Behance achieving project objectives

## Professional Values

Dedicated to collaborating with clients and teams who value thoughtful design and meaningful time investment."
98284,"**PROFESSIONAL SUMMARY**

Junior UI/UX Designer with foundational expertise in web design and digital interface creation. Skilled in translating concepts into comprehensive design solutions, from initial wireframes through final visual execution, using industry-standard tools.

---

**OBJECTIVE**

Seeking a Junior UI/UX Designer position to apply web design knowledge and technical skills in creating intuitive user experiences and visually compelling digital interfaces.

---

**EDUCATION & TRAINING**

**Web Design (UX/UI) Course**
UX Energy IT School | Jun 2018 – Sep 2018

---

**TECHNICAL SKILLS**

**Design Tools:** Adobe Photoshop | Adobe Illustrator | Adobe Experience Design | Axure | InVision

---

**CORE COMPETENCIES**

• Site Structure & Interaction Flow Design
• Wireframing & Interface Requirements Specification
• Visual Design: Layout, Color Theory, Typography, Iconography
• User Experience Design Principles"
98285,"# Dima

**Kyiv**

## Professional Summary

Junior UI/UX Designer dedicated to crafting intuitive, modern, and engaging digital interfaces. Skilled in translating user needs into compelling visual solutions through wireframing, prototyping, and component-based design. Delivers polished landing pages and multi-page projects with meticulous attention to detail and consistent adherence to deadlines.

## Core Skills

- UI/UX Design
- Wireframing & Prototyping
- Figma (Components, Auto Layout)
- Landing Page Design
- Multi-page Project Design
- Component-Based Design Systems

## Education

**Projector — Creative & Tech Online Institute**
Web Design Junior | 2022–2023

**Projector — Creative & Tech Online Institute**
Web Design Beginning | 2022"
98286,"**UI/UX and Marketing Designer**

Creative designer with a passion for exceptional user experience and compelling visual design. Combines strong design process expertise with marketing acumen to deliver impactful solutions across digital and print media.

**Professional Experience**

**Marketing Manager/Designer**

- Design marketing collateral including brochures, leaflets, and exhibition stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Create visual assets for websites, social media, and marketing campaigns
- Plan, produce, and execute email newsletter campaigns
- Edit video content for social media platforms
- Write copy for websites, marketing materials, campaigns, and email newsletters"
98287,"# PROFESSIONAL SUMMARY

UI/UX Designer with practical experience in the full interface design process, from user research through prototyping to final implementation. Skilled in analyzing user needs, testing prototypes, and leveraging data to optimize design solutions. Proficient in creating clean, intuitive web layouts and interactive UX applications. Strong collaborator with a solid foundation in team-based design principles.

# PROFESSIONAL EXPERIENCE

**alkima web & design**
UI/UX Designer
March 2023 – Present

- Conduct user experience research to inform design decisions
- Create sitemaps and develop wireframes for web projects
- Design user interfaces using Webflow
- Produce banners for websites and creative assets for social media
- Develop logos and comprehensive design systems

**Vinnytsia Distribution Company**
Sales Manager
January 2019 – February 2022

- Developed interfaces for websites, mobile applications, and software"
98288,"# Professional Experience

**Freelance Developer**

• Delivered cross-functional collaboration with project managers and web developers on diverse projects spanning gaming, cryptocurrency exchanges, and cryptocurrency platforms
• Contributed to gaming projects during critical early-stage development phases
• Served as liaison between clients and team members to define and clarify design and layout specifications
• Cultivated versatile expertise across multiple project types and industries"
98289,"# DESIGN PORTFOLIO

## CASE STUDY 1: Law Firm Landing Page

**Project Overview**
Designed a comprehensive landing page for a law firm using Figma, delivering end-to-end design from research through final implementation.

**Process & Responsibilities**
- Conducted client briefings and field research
- Analyzed industry standards and competitor landscapes
- Developed mood boards and established visual direction
- Curated typography and color palette
- Created and refined brand identity guidelines
- Produced wireframes and iterated on multiple design concepts
- Delivered responsive designs optimized for desktop, tablet, and mobile

## CASE STUDY 2: Pastry Shop E-Commerce Website

**Project Overview**
Designed an e-commerce website for a pastry shop featuring integrated delivery functionality.

**Focus Areas**
- Built scalable layouts using Figma auto layout systems
- Applied foundational design principles and industry best practices

## TECHNICAL SKILLS

- **Design Tools:** Figma
- **Core Competencies:** Responsive design, adaptive layouts, brand identity development, UI/UX design fundamentals"
98290,"**Graphic Design Professional**

**Core Competencies**

Adobe Photoshop | Adobe Illustrator | Figma

**Professional Strengths**

- Quick learner with strong adaptability to new design software and tools
- Proactive approach to continuous professional development
- Committed to expanding technical expertise and mastering new challenges"
98291,"# RESUME

## PROFESSIONAL SUMMARY

Motivated UI/UX designer with a strong technical foundation in quality assurance and database management. Fast learner who thrives on challenging tasks. Seeking a flexible or full-time position with a company dedicated to creating user-friendly solutions that enhance productivity.

## CORE COMPETENCIES

**Design:** UI/UX Design | User Research | Competitive Analysis | Wireframing | Prototyping

**Technical:** Test Case Creation & Execution | Bug Report Documentation | SQL Database Management | Data Verification

**Tools:** Figma | Adobe Illustrator | Slack

## PROFESSIONAL EXPERIENCE

**Quality Assurance & Testing**

- Created and executed test cases to ensure software quality and functionality
- Produced comprehensive bug reports enabling developers to identify and resolve issues efficiently
- Leveraged SQL to manage databases and verify data accuracy

## PROJECTS

**Website Redesign: A Kids Place Childcare** | Study Project
- Redesigned website for A Kids Place childcare in North Olmsted, Ohio, delivering a modern, well-structured, and user-friendly design reflecting the organization's nurturing, educational environment
- Applied full design process: User Research, Competitive Analysis, Wireframing, Prototyping, and Conclusions
- Tools: Figma, Adobe Illustrator

**Web Service: Medical Clinic** | Study Project
- Developed a comprehensive visual solution for a private medical clinic web service featuring doctor-patient meeting organization, online consultations, automated speech recognition documentation, and doctor selection by criteria and rating
- Executed end-to-end process: Baseline Study, Brainstorming, Jobs-to-be-Done, User Flow, Customer Journey Map, Prototyping, UI Design, and Responsive Adaptation
- Tools: Figma, Adobe Illustrator, Slack

## ADDITIONAL

- Developed and executed 2 personal projects independently"
98292,"# UX/UI Designer

## Professional Objective

UX/UI Designer seeking opportunities to apply research, wireframing, and prototyping expertise to create solutions that balance user experience with business objectives.

## Professional Experience

**Design Studio, Kyiv**
*Mobile App Project – DayDrive*
- Designed landing pages, sign up forms, and log in forms
- Contributed to mobile application interface design

## Education & Training

**UX/UI Design Mentoring Program**
- Completed comprehensive mentoring in UX/UI Design
- Developed portfolio projects including landing pages and authentication interfaces

## Core Competencies

User Experience Design | User Interface Design | Wireframing | Interactive Prototyping | User Research | Problem Solving | Design-User Empathy

## Professional Skills

- User Experience Research and Analysis
- Wireframe Development
- Interactive Prototype Creation
- Usability and Aesthetic Design Integration
- Business-Focused Design Solutions

## Language Proficiency

English – Advanced"
98293,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer** | Upwork (Top Rated)
*Apr 2020 – Present*
- Redesigned CRM systems to improve user workflows and interface clarity
- Created scalable component libraries for site-builder services
- Designed mobile applications with focus on intuitive user experiences
- Delivered end-to-end CRM system designs for diverse client needs

**Web Design & Developer Collaboration**
*Jul – Aug 2019*
- Designed landing page for educational courses
- Partnered with development team on design testing and implementation
- Contributed to cross-functional project delivery spanning CRM and web design

## Education

**UI/UX Design Advanced Course** | IT School Hillel
*Sep 2019 – Mar 2020*
- Graduated with First-Class Degree Diploma, ranked 2nd in student cohort
- Completed training in user analysis, research methodologies, and prototyping
- Developed expertise in typography, grid systems, animation, color theory, and responsive design
- Designed comprehensive CRM system for sports complex as diploma project

## Skills

- User Research & Analysis
- Prototyping & Wireframing
- Component Library Development
- Responsive & Mobile Design
- Typography & Grid Composition
- Color Systems & Visual Design
- Cross-Functional Collaboration

## Professional Development

Continuously expanding design expertise through online courses and industry resources."
98294,"# UI/UX Designer

**Food Delivery App**
*April – May 2023*

- Developed comprehensive UX deliverables: user personas, customer journey maps, empathy maps, competitor analysis, site maps, and user flows
- Executed end-to-end UI design from wireframing through concept development to final visual design

**Craft Brewery Landing Page**
*June 2023*

- Conducted UX research encompassing competitor analysis and information architecture
- Created moodboard and delivered complete UI design including wireframing, visual design, and animation"
98295,"**UX/UI Designer**

**Professional Summary**

UX/UI designer committed to creating products that are both aesthetically refined and functionally effective. Skilled in translating user research into intuitive design solutions that enhance usability and drive business results.

**Core Competencies**

**Design & Prototyping**
- Low- and high-fidelity prototyping
- Interactive prototyping in Figma
- Adaptive and responsive design
- Design systems and UI kits
- Styles, components, variants, and autolayout in Figma

**UX Research & Strategy**
- Target audience research
- User Flow, User Story, Customer Journey Mapping, User Scenario
- Problem identification and solution design

**Design Tools**
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Tilda
- HTML and CSS

**Design Principles**
- Material Design
- Human Interface Guidelines
- Color theory, typography, and composition
- Logo design

**Project Portfolio**

**Vinyl Shop Website**
Desktop and mobile responsive design

**Sign Language Study App**
UX research, Human Interface design, Material Design, landing page

**Car Trip Planning App**
UX research, design system, Human Interface design, landing page

**Objective**

Seeking a web design position to apply UX/UI expertise and contribute to creating user-centered, effective digital products."
98296,"# RESUME

## PROFESSIONAL EXPERIENCE

**Designer** | Charitable Foundation
- Designed and created landing pages to support organizational initiatives
- Developed visual banner assets for marketing and communications
- Crafted logo designs to strengthen brand identity

## SKILLS

- Landing Page Design
- Mobile App Design
- Banner Design
- Logo Design
- High-Fidelity Prototyping
- Low-Fidelity Prototyping
- Adaptive Design
- Responsive Design
- UX Research

## EDUCATION

**Project-Based Design Training**
- Landing Page Design
- Mobile App Design
- Prototyping
- Adaptive and Responsive Design
- UX Research

## PROFESSIONAL GOALS

Seeking opportunities to expand design expertise and contribute to meaningful projects while continuing professional growth in the field."
98297,"# DESIGNER

Creative designer with hands-on experience in landing pages, website redesign, web services, and mobile applications. Delivered 3 projects, including collaborative team initiatives. Strong foundation in design principles developed through IT coursework, combined with proficiency in professional design tools. Skilled communicator with proven ability to excel in team environments. Receptive to feedback, committed to meeting deadlines, and dedicated to delivering user-friendly solutions. Seeking opportunities to contribute to user-centered product design.

## PROJECT EXPERIENCE

**Landing Page: Barbershop in Kyiv**
- Designed single-page website to attract customers and promote services
- Integrated service information, staff profiles, customer reviews, and competitive differentiators

**Web Service for Medical Clinic** | Team Project
- Led full-cycle website design for patient-facing interface
- Developed user flow for appointment scheduling (online and in-person), medical history access, and payment history tracking

**Website Redesign: KIDS PLACE**
- Executed full-cycle redesign with adaptive, mobile-friendly implementation
- Modernized visual design to enhance accessibility, improve user experience, and expand target audience reach"
98298,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer**

Designed and delivered multiple client projects including landing pages, website redesigns, a housing reservation service, and a restaurant table booking application. Executed end-to-end design process encompassing market analysis, competitor research, persona development, wireframing, sitemap creation, and high-fidelity UI/UX design. Ensured brand consistency across all deliverables using Figma and Adobe Photoshop.

**Graphic Designer — InaMi**

Partnered with founder of Ina&Mi, a Ukrainian women's clothing brand, to create logo and comprehensive corporate identity system. Delivered visual solutions from concept through final assets using Adobe Illustrator, Photoshop, and InDesign. Completed project to full client satisfaction.

**UI/UX Designer — Freedom**

Collaborated on cross-functional team developing a free accommodation booking web service. Conducted competitor analysis and contributed to product strategy. Strengthened skills in team communication and collaborative problem-solving.

## Core Competencies

**Design:** UI/UX Design · Logo & Brand Identity · Wireframing · Sitemaps · Visual Design

**Research:** Competitor Analysis · Market Analysis · Persona Development

**Tools:** Figma · Adobe Illustrator · Adobe Photoshop · Adobe InDesign · Adobe After Effects

**Professional:** Team Collaboration · Leadership · Problem-Solving · Knowledge Sharing · Organization

## Professional Goals

Contribute to high-quality product development that meets both business objectives and user needs. Seeking opportunities for professional growth and career advancement within a collaborative team environment that offers mentoring and training support."
98299,"**UI/UX Designer**

**Professional Summary**

Creative, detail-oriented junior UI/UX designer dedicated to crafting intuitive digital experiences. Proven ability to solve complex design challenges through user-centered methodology. Experienced in delivering full-cycle design projects across fintech and e-commerce platforms.

**Core Competencies**

User-Centered Design • UX Research & Competitor Analysis • User Personas & Scenarios • Wireframing & Prototyping • Visual Interface Design • Information Architecture • Adobe Photoshop & Illustrator • Figma • Google Material Design Guidelines • Icon, Logo & Illustration Design • Usability Testing • Design Systems & Style Guides

**Professional Experience**

**Crypto Wallet Tutis | Full-Cycle Application Design**

Designed a secure, user-friendly cryptocurrency management platform, navigating complex challenges around security and data privacy. Conducted comprehensive user research to understand target audience needs and behaviors. Delivered an intuitive interface that balanced seamless user experience with robust asset protection.

**Cucina di Catherina | E-Commerce Website Redesign**

Led complete redesign of an online store to elevate customer experience. Identified pain points through extensive user research and validated solutions via iterative usability testing. Developed a fresh, modern visual identity—including updated color palette and new visual elements—aligned with brand vision and values. Delivered a more intuitive, engaging shopping experience that increased website traffic and engagement metrics."
98300,"**UX/UI DESIGNER**

**PROFESSIONAL SUMMARY**

Motivated UX/UI Designer dedicated to crafting intuitive, visually compelling user experiences. Skilled at transforming complex workflows into streamlined solutions that deliver meaningful value. Committed to continuous professional growth and contributing to team success.

**CORE COMPETENCIES**

- User Experience Design
- User Interface Design
- Cross-Functional Communication

**EDUCATION**

UI/UX Design Courses – Completed

**PROJECTS**

Personal Design Projects – Multiple

**PROFESSIONAL EXPERIENCE**

Demonstrated success across various professional roles, contributing effectively within team environments."
98301,"# Junior UI/UX Designer

Experienced Junior UI/UX Designer with comprehensive expertise in digital and visual design. Translating design principles into user-friendly, visually compelling solutions through technical proficiency and strategic design methodology.

## Core Competencies

**Design Expertise**
UI/UX Design | Prototyping | Design Research | Graphic Design | 3D Modelling | Animation | Typography Principles | Visual Communication | Illustration | Image Making

**Technical Proficiency**
Figma | Photoshop | Illustrator | After Effects | Maya | Premiere Pro

**Design Methodology**
User-Centered Design | Design Research | SWOT Analysis | Strategic Analysis

## Education

**Design IT Step Academy**
Graphic Design, 3D Modelling, Animation, UI/UX Design"
98302,"# UI/UX Designer

## Professional Summary

Junior UI/UX Designer with a full-cycle design approach, transforming concepts into intuitive web and mobile applications. Skilled at analyzing user needs, developing prototypes, establishing visual systems, and delivering streamlined interfaces that solve real problems. Combines meticulous attention to detail with a passion for creating user-centered designs that simplify how people achieve their goals.

## Core Competencies

- Prototype Design & Visual Design
- Web & Mobile Application Design
- Competitor Research & Analysis
- Design Systems
- User Flow Development
- Full-Cycle Design
- Team Leadership & Organization

## Professional Experience

### Team Leader | Paw Rescue Project

Led team workflow and directed prototype design for a lost-and-found animal website. Conducted competitor analysis to shape site architecture, developed intuitive user flows, and implemented design systems to deliver a modern, accessible interface. Managed team responsibilities while designing visual elements across all prototypes.

### UI/UX Designer | Italian Sauce Website Redesign

Redesigned website to increase customer engagement and improve usability. Performed competitor research to identify effective solutions, then implemented a cohesive color scheme, consistent photography style, and modern typography. Delivered responsive designs optimized for mobile and tablet.

### UI/UX Designer | Flower Lover Landing Page

Conducted target audience analysis for a flower shop landing page. Designed a clear, comprehensive interface from scratch using user-centered design principles.

## Career Interests

Remote position offering corporate training, professional development, and career advancement within a respectful, collaborative company culture."
98303,"# UI/UX Designer

## Professional Skills

**Design Tools & Software**
Adobe Photoshop | Adobe Illustrator | Figma | Protopie

**Design Expertise**
- Wireframing and interactive prototyping to visualize and validate design concepts
- Responsive interface design optimized for seamless adaptation across screen sizes and devices
- User flow development and journey mapping to define intuitive navigation paths
- Design system implementation and component management
- Visual asset creation and graphic editing

**Professional Qualities**
Organized approach to task management and deadline delivery. Effective cross-functional collaborator. Receptive to feedback with commitment to continuous improvement.

## Professional Experience

**Junior UI/UX Designer**

Collaborated with cross-functional teams to design user interfaces balancing usability and aesthetic appeal for web services and mobile applications. Developed responsive layouts for web platforms and mobile screens with attention to touch interactions and information hierarchy. Adapted to diverse project requirements while expanding design expertise.

## Projects

**Custom Concepts — Tattoo Studio Website Redesign**
Redesigned website to elevate customer experience through refined color palette, high-quality photography integration, intuitive booking form, and clear visual hierarchy.

**PetRescue — Lost Pet Search Web Application**
Designed platform connecting lost animals with owners through reporting and location-based search functionality. Tools: Figma, Adobe Photoshop, FigJam, Adobe Illustrator.

## Languages

Ukrainian (Native) | Russian (Fluent) | English (Upper-Intermediate) | Polish (Elementary)"
98304,"# UI/UX Designer

## Professional Summary
UI/UX designer specializing in digital experiences that seamlessly integrate aesthetic design with optimal user experience. Expert in comprehensive UX research methodologies, including competitive analysis, heuristic evaluation, in-depth interviews, persona development, and empathy mapping. Demonstrated success designing landing pages, website redesigns, web services, and mobile applications. Proven ability to lead teams, coordinate project workflows, and communicate effectively with stakeholders.

## Key Skills
- UX Research & Analysis
- User Interview & Questionnaire Design
- Persona & Empathy Map Development
- Competitive & Heuristic Analysis
- Clickable Prototype Creation
- Web & Mobile Application Design
- Team Leadership & Coordination
- Stakeholder Presentation
- Jobs-to-Be-Done (JTBD) Framework
- Customer Journey Mapping

## Professional Experience

**Team Lead & UI/UX Designer – Buki School Redesign**
- Led cross-functional team and orchestrated end-to-end project workflow
- Executed comprehensive UX research: competitive analysis, heuristic evaluation, in-depth user interviews, and surveys
- Synthesized research findings into actionable user personas and empathy maps
- Designed and developed clickable cabinet prototype
- Delivered final project presentation to customer stakeholders

**UI/UX Designer – DocMe Web Service**
- Conducted strategic UX research encompassing competitor analysis and target audience profiling
- Developed data-driven user personas utilizing JTBD framework and Customer Journey Mapping methodologies
- Designed high-converting main landing page
- Contributed to patient and doctor dashboard cabinet interfaces
- Delivered web service featuring automatic report generation with role-specific dashboards for doctors and patients"
98305,"# PROFESSIONAL RESUME

## CAREER OBJECTIVES

Seeking to join a specialist team committed to continuous improvement and project excellence. Eager to apply theoretical knowledge in practice while developing professional expertise and advancing career growth.

## TEAM LEADERSHIP & PROJECT MANAGEMENT

**Web Service for Finding Lost Pets – Team Leader**
- Directed team workflow, strategic direction, and responsibility distribution
- Organized workflow processes and scheduled meetings to ensure smooth team functioning
- Delivered project on time with mentor recognition
- Led comprehensive design analysis: competitor research, target audience analysis, user personas, JTBD, Customer Journey Mapping, and user flows
- Developed intuitive interface aligned with target audience expectations

**Web Service for Salary & Bonus Calculations – Startup Project**
- Collaborating with student developers to create a web service for accounting professionals
- Supporting salary and bonus calculation functionality

## DESIGN PROJECTS

**Mobile App – Coffee Shop Chain**
- Designed intuitive, youth-oriented application interface
- Conducted competitor analysis, target audience research, and persona creation
- Developed JTBD, user flows, wireframes, UI designs, and animations

**Travel Agency Website Redesign**
- Created clear, concise layout for diverse target audience
- Performed competitor analysis, target audience research, and persona development
- Produced user flows, wireframes, UI design, responsive adaptation, and animations
- Leveraged quality photography to differentiate from competitors

## QUALIFICATIONS

- Junior UI/UX Designer with completed specialized design course
- Completed 6 case studies
- Proficient in design principles and user-centered interface creation"
98306,"# JUNIOR UX/UI DESIGNER

## PROFESSIONAL SUMMARY
Junior UX/UI Designer with strong theoretical foundation and hands-on implementation of UX principles. Skilled across all stages of the design process, from research and discovery through final delivery.

## CORE COMPETENCIES
- UX Research & Analysis
- Persona Development
- Wireframing & Prototyping
- Usability Testing
- Stakeholder Requirements Gathering
- Design Presentations

## TECHNICAL SKILLS
**Figma** – High-Fidelity Wireframes, Interactive Prototypes
**Miro** – Personas, Task Analysis

## PROJECT EXPERIENCE
**Planner Application** – End-to-end UX/UI design
**eCommerce Website Redesign** – User experience optimization
**Landing Page** – Conversion-focused design
**CRM System** – Interface design
**Corporate Website** – Full design implementation

## EDUCATION & TRAINING
- UX Design – Projektor
- Interaction Design – Projektor
- UI/UX – Skill-up School

## PROFESSIONAL INTERESTS
Seeking a position to deepen expertise in UX/UI design while contributing meaningful value to a forward-thinking organization."
98307,"# Junior UX/UI Designer

## Professional Experience

### Freelance UX/UI Designer

**E-commerce Skincare Website Redesign**
- Conducted comprehensive user research, including competitor analysis and user persona development, to identify pain points and user preferences
- Applied usability heuristics to design intuitive prototypes that simplified the user experience
- Optimized usability and visual design to enhance user satisfaction

**Landing Pages — Educational Courses & Agricultural Companies**
- Crafted clear, compelling calls-to-action to increase user engagement
- Highlighted course benefits and outcomes, enabling users to quickly understand the value proposition
- Developed cohesive visual identities through strategic use of color schemes, typography, and imagery aligned with each brand

## Core Competencies

User Research & Persona Development | Usability Heuristics | Prototyping | Responsive Design | Visual Design | Competitor Analysis | Call-to-Action Optimization

## Technical Skills

Fully Responsive Web Design"
98308,"# Junior UX/UI Designer

## Professional Summary
Creative UX/UI Designer combining a background as a Ukrainian National Team athlete with expertise in digital marketing and user-centered design. Known for meticulous attention to detail and delivering high-quality design solutions. Committed to staying current with industry trends while seeking challenging projects that demand problem-solving, research, and innovative thinking.

## Design Experience
**Junior UX/UI Designer**
- Designed web service interface for VitalMed, a private medical clinic
- Executed complete website redesign for tattoo salon
- Created Citroen C4 landing page

## Core Competencies
**Design Tools:** Figma | Adobe Illustrator | Adobe Photoshop

**Skills:** User Interface Design | User Experience Optimization | Digital Marketing | Creative Problem Solving

## Education
**Digital Marketing Professional Certificate**
University of Miami

**Bachelor's Degree in Hospitality and Tourism Management**
Minor in International Relations
Florida International University

## Additional Background
Professional Athlete, Ukrainian National Team"
98309,"# Junior Web Designer

## Professional Summary
Results-driven Junior Web Designer with proven expertise in designing and developing websites from concept to completion. Skilled at translating design concepts into functional, visually compelling digital assets while maintaining visual consistency across all deliverables. Adept at cross-functional collaboration and communicating design concepts to stakeholders through wireframes, mockups, and prototypes.

## Core Competencies
- Web Page Design & Development
- Wireframing, Mockups & Prototypes
- Visual Design & Graphics
- Marketing Material Design
- Video Production & Editing
- Cross-functional Collaboration

## Professional Experience

**Junior Web Designer** | Warehousing Software Company

- Designed and developed company website from initial concept to completion, maintaining design control and visual consistency across all pages
- Created wireframes, mockups, and prototypes to communicate design concepts and ideas to stakeholders
- Collaborated with developers and testing teams to ensure seamless implementation of design specifications
- Designed marketing materials including social media covers and YouTube video previews
- Produced, recorded, and edited YouTube videos demonstrating product functionality and features

## Technical Proficiencies
Figma | Adobe Illustrator | OBS Studio"
98310,"# Product Designer

## Professional Summary
Product Designer with expertise in consumer product design, competitive analysis, and design optimization. Skilled at enhancing existing designs and evaluating competitor offerings to maintain quality and performance standards.

## Core Competencies
- Consumer Product Design & Optimization
- Competitive Analysis & Benchmarking
- Prototype Evaluation
- Quality & Performance Standards Management

## Professional Experience

**Product Designer**

- Design and refine consumer products to meet evolving market demands
- Conduct comprehensive competitive analysis to identify opportunities and threats
- Evaluate competitor concepts and working prototypes to inform design strategy
- Ensure consistent quality and performance standards across product lines

## Career Focus
Positioned for advancement into Senior Designer, Executive, or Managerial roles."
98311,"# Resume

**Professional Summary**

UI/UX Designer with expertise in Figma, prototyping, and Adobe Photoshop. Skilled communicator and collaborative team member who delivers creative solutions and adapts quickly to new technologies. Detail-oriented with a thorough approach to project execution.

**Core Competencies**

UI/UX Design · Figma · Prototyping · Adobe Photoshop · Communication · Collaboration · Decision-Making · Attention to Detail

**Experience**

**Freelance Designer**

- Completed multiple client design projects, delivering creative solutions tailored to project requirements
- Maintained high standards of accuracy and attention to detail throughout project lifecycles

**Key Strengths**

- Quick to acquire new skills and technologies
- Strong decision-making and problem-solving abilities
- Effective collaborator in cross-functional environments

**Work Preferences**

Seeking remote position with flexible hours."
98312,"**UX/UI Designer**

Entry-level UX/UI designer with an analytical background in economics and hands-on design experience, focused on creating intuitive, user-friendly interfaces that deliver exceptional user experiences.

---

**Professional Experience**

**Graphic & Social Media Designer**
Education Center

- Designed engaging social media posts, posters, and printables
- Led complete organizational branding process
- Translated concepts into visually compelling designs

**Auditor**

- Applied strong analytical skills and attention to detail across projects
- Consistently delivered quality work within strict deadlines
- Developed meticulous, disciplined approach to complex tasks

---

**Education**

Master's Degree, Economics
Bachelor's Degree, Economics

---

**Core Competencies**

- User-centric design principles
- Visual design and aesthetics
- Analytical thinking and creative problem-solving
- Attention to detail and precision
- Branding and visual identity development

---

**Design Focus**

Driven by the psychology behind user behavior and the relationship between design and human interaction. Committed to creating intuitive interfaces that enhance usability and deliver positive user experiences."
98313,"# UI/UX Designer

## Core Competencies

UX Research • Design Systems Creation • Design Thinking Methodology • Mobile Design • Responsive & Adaptive Design • Marketing Materials Creation • Design Guidelines & Style Guides • Information Architecture • Prototyping & Wireframing • Client & Developer Communication

## Professional Experience

**UI/UX Designer**

### Projects

**Mobile Applications** — Guide App, Lottery App

**Corporate Website Redesign** — Responsive design across web, mobile, and tablet platforms

### Key Achievements

- Created comprehensive design systems using Design Thinking methodology
- Conducted user research and competitive analysis to inform design decisions
- Built style guides and information architecture documentation
- Developed prototypes, wireframes, and mockups from concept to implementation
- Designed adaptive solutions ensuring consistent experience across devices
- Produced marketing materials and visual content for social media platforms
- Published case studies on Behance showcasing project work
- Facilitated brainstorming sessions to drive creative solutions
- Collaborated cross-functionally with client teams and developers throughout project lifecycles

## Technical Proficiency

**Design Systems & Frameworks**
Angular Material • Kendo UI • Human Interface Guidelines • Google Material Design"
98314,"# UI/UX Designer

Detail-oriented designer dedicated to crafting seamless, intuitive user experiences. Strong foundation in design principles with a commitment to creating visually captivating interfaces that resonate with users.

## Core Competencies

User Interface Design | User Experience Design | Web & Mobile Design | Wireframing | Prototyping | Visual Design | Design Systems | Cross-Functional Collaboration | Market Research | Competitor Analysis | Problem-Solving

## Projects

**Table Tab Mobile App** | Jun 2023 – Aug 2023

Collaborated with cross-functional team to design mobile app solution for restaurant seat booking. Conducted user research, created wireframes, and selected appropriate design systems. Prototyped UI screens and developed reward features to enhance user engagement.

**Host Radar Platform** | Apr 2023 – Jun 2023

Contributed to design of web service platform for work and recreation opportunities. Performed market and competitor analysis, gathered design references, prepared wireframes, created animated prototypes, and finalized case studies.

**Mainsal Realty Company Redesign** | Feb 2023 – Apr 2023

Redesigned company website to create modern, user-friendly platform showcasing services. Conducted comprehensive research and competitor analysis of US market. Identified user experience issues and delivered complete redesign from research through final implementation.

## Professional Goals

Committed to advancing design expertise while contributing to innovative, user-centric projects through collaboration with senior designers and stakeholders."
98315,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Results-driven UI/UX Designer with proven ability to design intuitive user interfaces and seamless digital experiences across web and mobile platforms. Quick learner and problem-solver committed to delivering high-quality work and meeting deadlines in collaborative environments.

**CORE COMPETENCIES**
- User Interface & Experience Design
- User Research & Analysis
- Wireframing & Prototyping
- Usability Testing
- Web & Mobile Design
- Figma

**PROFESSIONAL EXPERIENCE**

**Intern, Software Agency**
- Designed responsive website and mobile views for cryptocurrency platform, ensuring consistent user experience across devices
- Created complete website design for resort center from concept to final deliverables

**EDUCATION**
Plural Code Academy Graduate
- Capstone Project: Designed end-to-end mobile application for salon booking experience

**TECHNICAL SKILLS**
- Design Tools: Figma
- Web & Mobile Application Design
- Prototype Development
- Usability Testing"
