,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98324,"# UX/UI Designer

## Profile

Passionate UX/UI Designer dedicated to creating meaningful digital experiences that solve problems and simplify users' lives. Specializing in web and mobile application design with a full-cycle approach—from task analysis and prototyping to visual design and intuitive user journeys. Background in motion design enhances current UX/UI work.

## Skills

Full-Cycle UX/UI Design | Web Design | Mobile Application Design | Prototyping | Visual Design | Motion Design

## Projects

**Unreal** — Mobile Application | Full-Cycle Design
Designed a restaurant table booking platform enabling users to reserve specific tables at distinctive dining establishments for memorable experiences.

**Wings of Hope** — Web Service | Full-Cycle Design
Created an interface for a social infrastructure restoration platform connecting repair requests for war-damaged facilities in Ukraine with assistance from domestic and international partners, government officials, private organizations, and investors.

**Slavsko Ski Resort** — Website Redesign | Full-Cycle Design
Modernized the resort's digital presence through restructured site architecture and distinctive visual identity targeting local and international tourists.

**Audi Q3 Test Drive** — Landing Page | Full-Cycle Design
Designed a promotional landing page with integrated test drive booking functionality.

## Education

UX/UI Design, Web Design, and Mobile Design — 8-Month Comprehensive Course with Practical Training

## Objective

Seeking a collaborative environment to work alongside product managers, developers, and designers to bring design concepts to life and create complete digital products."
98325,"# Web Designer

## Professional Objectives

Advance expertise in UI/UX design while collaborating with teams and clients to create interfaces that deliver exceptional user experiences and support business objectives. Committed to expanding technical proficiency with emerging design technologies.

## Skills

- UI/UX Design Principles
- Page Layout Design
- User Research & Persona Development
- Visual Design
- Navigation Architecture
- Design Tools

## Projects

### Museum Website

Designed an informative web interface for museum visitors through requirements analysis and user persona development. Created comprehensive page layouts featuring intuitive navigation architecture and optimized visual hierarchy. Delivered functional, aesthetically appealing interfaces through strategic element positioning tailored to the museum environment.

- Conducted user research to inform design decisions
- Developed navigation architecture to enhance visitor experience
- Applied visual design principles to optimize content hierarchy"
98326,"# Resume

## Education

**Projector Institute**
- Web Design Beginning
- Web Design Junior
- UX Design (In Progress)

## Professional Experience

**Design Intern | Sahu Media** — Germany
- Created client advertisement banners in Adobe Photoshop
- Contributed to WordPress website development initiatives

## Project Experience

**Web Design Junior Module — Client Projects**

Led end-to-end design process for two website redesign projects, delivering high-fidelity prototypes:
- Facilitated client briefings and gathered project requirements
- Curated reference materials and developed strategic mindmaps
- Designed wireframes and comprehensive user interface layouts
- Delivered mobile-adaptive responsive versions

## Skills

UI Design · Wireframing · Prototyping · Responsive Design · Adobe Photoshop · WordPress"
98327,"# RESUME

## Education

**IT School ""Hillel""**
Web Design Basic Course | 2022–2023

**Continuing Education** | 2023–Present
Web Design | UI/UX Design | Mobile Design

## Skills

Figma · Adobe Photoshop · Adobe Illustrator

## Projects

**Landing Pages & Website Design**
Designed landing pages and complete website layouts with attention to user experience and visual consistency

**Website Redesign**
Executed comprehensive website redesign projects, improving visual identity and interface structure

**Web & Mobile Interface Design**
Developed responsive web service interfaces with mobile application adaptation

**UX Research**
Conducted target audience analysis and competitor research to inform design decisions

## Professional Qualities

- Detail-oriented with strong attention to design precision
- Responsible and dependable in meeting project requirements
- Committed to continuous professional development in IT"
98328,"**PROFESSIONAL SUMMARY**

Astute and organized UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializes in creating user-friendly wireframes and prototypes. Seeking to join an innovative design team to enhance user experience, leveraging creativity and problem-solving skills to create industry-leading products.

---

**PROJECT EXPERIENCE**

**Mind Map** | Scrum Master

Facilitated team collaboration and coordinated project activities, ensuring effective communication and workflow alignment.

**Landing Page for Flower Shop** | UX/UI Designer

- Designed and delivered a responsive landing page promoting a new bouquet delivery service
- Conducted competitive analysis to identify market positioning opportunities
- Developed moodboard establishing emotional direction and visual tone
- Created wireframes and comprehensive UI kit

**Redesign of Il Griso Italian Roastery Website** | UX/UI Designer

- Redesigned website to enhance visual appeal and improve usability
- Performed competitive analysis to inform design strategy
- Developed information architecture and organizational structure
- Created wireframes and UI kit for key pages
- Executed interactive prototyping with responsive adaptation

**Web Service for Cleaning Company** | UX/UI Designer

- Designed web service solution to streamline customer interactions and service booking"
98329,"**PROFESSIONAL EXPERIENCE**

**Web Designer Assistant**

- Developed responsive landing pages and e-commerce websites using Bootstrap grid system
- Created interactive prototypes and user interface designs applying UI/UX principles
- Produced digital assets including banners and social media content
- Designed print materials including price lists, business cards, and promotional collateral

**Freelance Designer | Western Market Focus**

- Designed optimized product listings for Etsy marketplace
- Created comprehensive event design packages including invitations, labels, photo banners, business cards, price lists, and order forms
- Developed visual content strategies for Pinterest and Instagram platforms

**SKILLS**

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Canva

**Technical:** UI/UX Design, Bootstrap Grid System, Responsive Design, Prototyping

**STRENGTHS**

- Self-disciplined with strong organizational and planning abilities
- Collaborative team member with demonstrated leadership capabilities
- Committed to continuous professional development"
98330,"# UI/UX Designer

## Summary

UI/UX designer with hands-on commercial project experience, skilled in managing complete design lifecycles from concept to delivery. Seeking a remote internship to further develop expertise while contributing to meaningful projects.

## Experience

**Freelance UI/UX Designer**

- Led end-to-end design for a commercial dental clinic website, overseeing concept development, execution, and final delivery
- Managed full project lifecycle independently, ensuring client requirements were met through each design phase

## Skills

- Figma
- UI/UX Design Fundamentals
- Product Observation
- Collaborative Teamwork

## Attributes

- Strong work ethic with dedication to continuous learning
- Team-oriented approach to problem-solving
- Committed to staying current with industry trends and best practices

## Availability

- Immediate start
- Open to remote internship opportunities"
98331,"# UX/UI DESIGNER

## PROJECTS

### Balance Spa
*Landing Page Design*

- Designed Lo-fi and Hi-fi wireframes establishing clear visual hierarchy and strategic layout
- Built interactive prototype enabling stakeholder review and alignment
- Created comprehensive UI kit ensuring design consistency across all elements
- Prepared detailed developer handoff documentation for seamless implementation

---

### Foodly
*Mobile Application for Supermarket Delivery*

- Led client briefing sessions aligning project goals, requirements, and deliverables
- Defined target audience profiles informing user-centered design decisions
- Performed competitor analysis and heuristic evaluation identifying market opportunities
- Developed Lo-fi and Hi-fi wireframes through iterative design refinement
- Created sitemap and user flows optimizing navigation architecture
- Designed UI kit featuring adaptive design elements ensuring cross-device consistency
- Built interactive prototype demonstrating complete user journey
- Conducted user testing validating design solutions and gathering actionable feedback

---

### Joccellum
*E-commerce Jewelry Platform*

- Led client briefing sessions establishing project vision and measurable objectives
- Defined target audience profiles driving user-centered design strategy
- Performed competitor analysis and heuristic evaluation benchmarking experience standards
- Developed Lo-fi and Hi-fi wireframes through iterative design cycles
- Created sitemap structure supporting intuitive product discovery
- Designed UI kit with adaptive design elements enabling responsive functionality
- Built interactive prototype showcasing complete shopping experience
- Conducted user testing refining usability and conversion pathways"
98332,"# ANASTASIA
## UI/UX Designer

---

### OBJECTIVE

Motivated UI/UX Designer seeking to contribute to product teams or game development studios. Dedicated to continuous growth, thoughtful design practice, and delivering polished user experiences.

---

### SKILLS

**Design Theory**
- Typography & Font Systems
- Color Theory & Application
- Images, Illustrations & Iconography

**UI/UX Fundamentals**
- User Personas & Target Audience Analysis
- Information Architecture & Site Structure
- Grid Systems & Layout Design
- Prototyping & Wireframing
- Responsive & Adaptive Design

**Technical Skills**
- UI Kit Development
- Auto Layout
- Design Systems (Styles & Components)
- Atomic Design Methodology

---

### EDUCATION

**UI/UX Designer Course**
Hillel Computer School | In Progress

---

### CONTACT

[Email]
[Phone]
[Portfolio Link]"
98333,"# PROFESSIONAL SUMMARY

Graphic designer with a strong foundation in typography, composition, and color theory. Specializing in UI/UX design with a focus on user-centered solutions, combining traditional design principles with modern digital product expertise.

# EDUCATION

**Art Academy**
- Typography
- Composition
- Color Science

# SKILLS

- Adobe Photoshop
- Adobe Illustrator
- Figma
- UI/UX Design
- Design Systems

# PROJECTS

**Turkish Airlines App Redesign**
Conducted heuristic analysis of the existing interface and developed user-centered improvements while preserving usability for current users. Completed under mentor supervision.

**Richard Bank Design System**
Designed and built a comprehensive design system encompassing mobile application and website interfaces. Completed through Zero to Hero courses.

# EXHIBITIONS

- *The Art of Change* — Ukrainian House
- *24.02 Before and After* — Photo Exhibition
- Cardiff School of Art and Design, Cardiff Metropolitan University Exhibition

# CERTIFICATIONS & COURSES

- Adobe Photoshop and Illustrator
- Figma
- Zero to Hero UI/UX Design Courses"
98334,"# [Your Name]
[Contact Information]

---

## Professional Experience

### Team Leader | Car Wash App

Led end-to-end development of a mobile application connecting users with nearby car wash services through geolocation technology, from initial concept through visual design completion.

**Key Features Delivered:**
- Real-time location-based car wash discovery with geodata integration
- Appointment scheduling with date and time reservation
- Service selection functionality
- Integrated online payment system

**Responsibilities & Accomplishments:**
- Directed cross-functional team through complete development lifecycle
- Conducted competitive analysis to inform product strategy and market positioning
- Developed user flows mapping end-to-end customer journeys
- Created wireframes establishing application structure and navigation
- Built interactive prototype for stakeholder review and user testing
- Designed cohesive visual design system for the application interface"
98335,"# Professional Resume

## Summary
Detail-oriented designer with hands-on experience across 3 projects, combining strong analytical skills with expertise in user interface design and prototyping. Skilled at translating user research into intuitive, visually compelling interfaces with proven ability to collaborate effectively in team environments.

---

## Project Experience

### CloudyClean Webservice
- Designed a cleaning service platform with intuitive filtering systems enabling users to efficiently find and book cleaners
- Conducted comprehensive competitor analysis and user flow research to inform design decisions
- Developed detailed prototypes through to final user interface implementation

### Alaska Pete's Website Redesign
- Modernized the user interface to improve usability, comprehensibility, and visual appeal
- Performed thorough analysis of user flow, site architecture, and site logic to guide redesign execution

### FlowerLover Landing Page
- Created a visually appealing, user-friendly landing page for a flower shop
- Conducted detailed analysis of user behavior patterns and purchase logic to optimize the buyer experience

---

## Skills
User Interface Design | Prototyping | Competitor Analysis | User Flow Analysis | Site Architecture Analysis | Team Collaboration

---

## Availability
Open to freelance projects, junior designer positions (on-site), or remote opportunities."
98336,"# Professional Experience

**NOVI Luxe E-Commerce Website**

- Partnered directly with client to design and develop a full-scale e-commerce website from concept to launch, delivering on time and within budget
- Conducted comprehensive user research through surveys and interviews to inform strategic design decisions
- Created wireframes, user flows, and interactive prototypes in Figma, effectively communicating design concepts to stakeholders
- Implemented A/B testing methodologies to validate design choices and optimize user experience
- Earned positive client feedback through collaborative partnership and results-driven execution"
98337,"# PROFESSIONAL RESUME

## EXPERIENCE

**Commercial Designer** | 1+ Year

Delivered strategic design solutions for established organizations across diverse industries:
- Looqme
- HoReCa Show
- S-Prof
- Lviv Organ Hall

## EDUCATION

**UI/UX Design Certificate**
LITS

## KEY SKILLS

**Design Software**
- Figma
- Adobe Photoshop
- Adobe Illustrator
- InVision

**Core Competencies**
- UI/UX Design Principles
- Project Development
- Team Collaboration"
98338,"# RESUME

## Professional Experience

**Freelance Web Designer/Developer**
2022 – Present

**Web Designer/Developer | Comon Agency**
January 2022 – February 2022

---

## Project Experience

**""Sammy Icon"" — E-commerce Redesign**
- Led end-to-end redesign and development of a multi-page online store
- Conducted UX research and created wireframes to optimize user experience
- Developed comprehensive style guide and visual design system

**""On the Way"" — Product Delivery Service**
- Designed and developed landing page for product delivery platform
- Created corporate identity and brand guidelines

---

## Skills

**Design:** Visual Design, Wireframing, Style Guide Development, Corporate Identity Design

**Development:** E-commerce Development, Landing Page Design

**Research:** UX Research"
98339,"# UI/UX Designer

## Skills

User Experience Design · Graphical User Interface Design · Design Thinking · Human-Centered Design · Typography

## Tools

Figma · Adobe Photoshop

## Education

**UI/UX Design Certificate Program**
3-Month Intensive

## Portfolio

**Landing Page Design**
Crafted visually engaging landing pages with clear visual hierarchy, focused on driving user conversion.

**E-Commerce Design**
Developed intuitive shopping experiences featuring streamlined user flows and seamless navigation.

**Adaptive & Responsive Design**
Created flexible, device-agnostic designs optimized for consistent user experiences across all screen sizes."
98340,"# UX/UI Designer

## Professional Summary

Detail-oriented UX/UI Designer combining research-driven methodology with polished visual design execution. Skilled in guiding projects from discovery through high-fidelity prototyping, with demonstrated ability to create cohesive brand identities and responsive digital experiences across web and mobile platforms.

## Core Competencies

**User Experience Research & Strategy**
Mind Mapping · Information Architecture · Brief Analysis · Competitive Analysis · Empathy Mapping · Persona Development · Customer Journey Mapping · User Flow Creation · Wireframing

**Visual & Interface Design**
Figma · Adobe Photoshop · Adobe Illustrator · Interactive Prototyping · Adaptive & Responsive Design · Composition · Typography · Color Theory · Grid Systems · Design Patterns · Icon Design · Logo Design

## Selected Projects

**Beauty Salon Website**
Led end-to-end website design, delivering custom iconography and brand logo to establish cohesive visual identity across all touchpoints.

**Family Medicine Clinic Mobile Application**
Designed complete mobile application interface, translating healthcare service requirements into an intuitive user experience.

**Design Studio Landing Page**
Crafted landing page design focused on visual impact and clear content hierarchy.

## Education & Certifications

**UX/UI Designer Certificate**
Beetroot Academy

**CELI4 C1 Italian Language Proficiency Certificate**"
98341,"# UX/UI DESIGNER

Creative UX/UI Designer with a Master's degree in Architecture and Urban Planning, combining spatial design thinking with user-centered methodology to create impactful digital experiences.

---

# EXPERIENCE

**UX/UI Designer**

- Conducted comprehensive UX research utilizing user interviews, surveys, and competitor analysis to inform design decisions
- Developed user personas, user stories, and user flows to map and optimize the user journey
- Designed wireframes and animated prototypes to communicate design concepts and interactions
- Collaborated with clients through online meetings to gather requirements and present design solutions

---

# PROJECTS

**FeelFull** — Food Delivery Enterprise
*Website Redesign*

**TviyBrend** — Accessories Retail Company
*Catalogue Website Design*

**Colory** — Mobile Application
*Black & White Photo Colorization App*

---

# SKILLS

**UX Research:** User Interviews | Online Surveys | Competitor Analysis
**UX Design:** User Personas | User Stories | User Flows | Wireframes | Animated Prototypes
**Development:** HTML | CSS | Responsive Design | Adaptive Design
**Professional:** Self-Organization | Critical Thinking | Research & Analysis

---

# EDUCATION

**Master's Degree in Architecture and Urban Planning**
Graduated May 2023
Thesis: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

**Professional Development**
Mobile Application Development & Web Design Courses"
98342,"# UI/UX Designer

## Professional Summary

UI/UX designer with team leadership experience and demonstrated expertise in end-to-end product design. Skilled at translating research insights into intuitive digital experiences across web and mobile platforms.

## Skills

- UI/UX Design & Prototyping
- Competitive Analysis & User Research
- Information Architecture & Site Mapping
- Responsive Web & Mobile Design
- Figma, Adobe Illustrator, Adobe Photoshop
- Team Leadership & Collaboration
- Project & Deadline Management

## Experience

**Team Leader | Lost and Found Animals Platform**

Led design team in developing an animal search platform connecting lost pets with owners and facilitating adoptions.

- Conducted competitive analysis to establish design direction and identify market opportunities
- Defined information architecture and core functionality through comprehensive site mapping
- Designed responsive interface adaptations optimized for web and mobile experiences

## Projects

**Furniture Store Landing Page**

- Executed competitor analysis and curated design references to guide creative direction
- Developed interactive prototype progressing to polished final UI design
- Delivered conversion-focused landing page with intuitive user experience"
98343,"# UX/UI DESIGNER

## SKILLS

**User Experience Design**
- UX Research & Strategy
- User-Centered Design
- UX/UI Design

**Design & Prototyping**
- Wireframing
- Prototyping
- Auto Layout

**Visual Design**
- Typography

---

## EDUCATION & TRAINING

**Projector Institute**
UX Design | Currently Enrolled

**Projector Institute**
UX/UI Design | Completed

**Google UX Design Certificate** | Coursera
Foundations of User Experience (UX) Design"
98344,"**UI/UX Designer**

Translating abstract ideas into compelling concepts and wireframes. Skilled in MVP development and leveraging Design Systems to accelerate project timelines and deliver wireframes to stakeholders efficiently.

---

**Core Competencies**

Concept Development & Wireframing · MVP Design · Design Systems Implementation · E-commerce & EdTech Solutions · Cross-functional Team Collaboration · Mobile & Web Interface Design

---

**Projects**

**Rainbow | Landing Page**
Redesigned a kindergarten website, modernizing the visual design and restructuring information architecture to streamline appointment booking and curriculum selection for parents.

**CleanHouse | Web Service**
Developed a service platform connecting users with cleaning professionals, featuring dual functionality for service seekers and provider registration. Collaborated within a three-person team.

**MY BRAND | Mobile App**
Designed an e-commerce mobile application with online shopping and home delivery integration. Collaborated with one team member.

---

**Education**

**UI/UX Designer Certificate**
GoIT School | February 2023 – August 2023

Designed interfaces for websites and mobile applications, including landing pages, web services, and mobile apps.

---

**Objective**

Seeking a collaborative team environment to apply my design skills, continue professional growth, and deliver meaningful value."
98345,"**UI/UX DESIGNER**

---

**EXPERIENCE**

• Design and develop e-commerce platforms, landing pages, and mobile app interfaces that drive user engagement

• Translate client requirements and business goals into visually compelling design solutions through close collaboration

• Apply core design principles and responsive techniques to create user-friendly, aesthetically polished interfaces

• Streamline prototyping and iterative design workflows using Figma

• Execute pixel-perfect implementations with meticulous attention to detail

• Maintain clear stakeholder communication while consistently delivering projects on deadline"
98346,"# UI/UX Designer

## Professional Experience

**UI/UX Designer | Online Perfume Store**
- Led end-to-end design process, from initial research to stakeholder presentation
- Architected user flow systems and developed interactive prototypes
- Designed comprehensive UI system encompassing 18 web pages
- Delivered complete design solutions and presented findings to stakeholders

**UI/UX Designer | Landing Page Redesign**
- Conducted in-depth UX analysis and produced supporting design documentation
- Built and validated prototypes to drive informed design decisions
- Created dual-theme UI concept with light and dark mode variations
- Delivered fully responsive, adaptive design optimized for all breakpoints"
98347,"# RESUME

## Objective

Integrating practical photography experience and web design expertise while advancing sociological knowledge.

## Skills

- Concept Development & Prototyping
- User Research & Interviews
- UI Kit Creation in Figma
- Presentation Design & Delivery

## Portfolio

- E-Commerce Design
- Landing Page Design
- Non-Profit Organization Design

## Education

**Projector School**
Professional Courses in Design (2 Completed)

## Background

- Photography | Practical Experience
- Sociology | Theoretical Knowledge"
98348,"# Professional Resume

## Skills & Expertise

**Web Design & Development**
- Full-cycle website creation, from concept development through final delivery
- Website builder platform proficiency
- UI/UX design and implementation

**Game Development**
- Game design and animation
- Asset creation and development

**Design Tools**
- Figma (advanced)
- Adobe Photoshop
- Adobe Illustrator

## Professional Experience

**Web Designer & Developer**

- Managed complete design-to-launch process, delivering turnkey website solutions
- Designed and built functional websites using website builder platforms
- Maintained 100% positive customer feedback rating

**Game Designer**

- Created animation and design assets for game projects
- Collaborated on game development initiatives

## Technical Environment

macOS | Figma | Adobe Creative Suite"
98349,"# **UI/UX Designer**

Creative designer with an empathy-driven approach to solving user problems and achieving business objectives. Skilled in audience analysis, user testing, identifying user challenges, and developing effective solutions. Experienced across diverse projects and target audiences. Seeking a collaborative environment with like-minded creative professionals.

---

## **Skills**

UI/UX Design for Web and Mobile Applications • User Journey Mapping • Competitor Analysis • Persona Development • Empathy Mapping • CorelDRAW • Photography and Retouching

---

## **Experience**

**Graphic Designer**
Electro House Company | 2021–2023

- Designed and maintained websites and mobile applications, including primary company website and online store
- Created banners, icons, and graphic content for company and partner digital platforms
- Led social media design strategy and graphic content production
- Developed commercial offers, presentations, and email marketing campaigns
- Designed product packaging, stickers, decals, and instructional materials
- Produced print collateral including catalogs, booklets, and business cards
- Executed product photography, photo processing, and retouching

**Graphic Designer**
Fact Publishing House | 2020–2022 (Project-Based)

- Designed book cover layouts spanning fiction, children's literature, and non-fiction genres
- Developed souvenir product designs
- Prepared print production layouts

**Marketer & Designer**
Regional Medical Center | 2020–2021

- Designed outdoor advertising campaigns including banners, posters, and signage
- Prepared print-ready layouts in CorelDRAW and managed printing vendor relationships
- Created internal communications materials: gift certificates, fire evacuation diagrams, presentations, and commercial proposals

**Library Specialist**
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky | 2016–2022

- Managed social media presence and promotional campaigns
- Designed graphic posters, invitations, and monthly newspaper layouts
- Compiled monthly, quarterly, and annual reports; conducted planning and performance analysis"
98350,"# [Your Name]
## UX/UI Designer

---

### Professional Summary

Detail-oriented UX/UI Designer with hands-on experience delivering end-to-end design solutions across collaborative and independent projects. Adept at transforming competitor research and user insights into polished, functional prototypes. Thrives in challenging environments with a disciplined approach to creating cohesive user experiences.

---

### Technical Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Core Competencies:** User Research · Competitor Analysis · Design Systems · Color Systems · Typography · UI Kits · Grid Systems · Website Prototyping · Mobile App Design · Responsive Design

**Professional Strengths:** Team Collaboration · Organizational Discipline · Attention to Detail

---

### Portfolio Projects

**Pet Finder Web Service**
- Conducted competitor analysis and developed user personas to inform design direction
- Defined user flows and built a comprehensive design system ensuring visual consistency
- Designed interactive elements including pop-ups and donation functionality

**India Cafe Website Redesign**
- Performed comprehensive website analysis identifying key improvement opportunities
- Established cohesive color schemes, typography standards, and responsive layouts
- Delivered complete UI kit and interactive prototype

**Landing Page Design**
- Executed competitor research and developed mood board to guide visual direction
- Designed user-friendly interface with focus on usability and clarity

---

### Education

**UI/UX Design Program**
GOIT

---

### Career Objectives

- Mentorship and professional development opportunities
- Full UX/UI process involvement from research to implementation
- Collaborative team environment
- Progressive growth through hands-on project participation"
98351,"# UX/UI Designer

## About Me

Self-taught UX/UI Designer with 3 years of dedicated study and practice. Passionate about creating intuitive, user-centered designs and eager to contribute to a professional team environment.

## Portfolio Projects

**4ROLL — Dungeons & Dragons Digital Game Companion App**
End-to-end UX/UI design for a digital companion application, demonstrating full product design capabilities from concept to completion.

**Freelance Design Work**
Delivered UX/UI design solutions for multiple clients across various projects, managing client relationships and project requirements independently.

## Skills

- UX Design
- UI Design
- User-Centered Design
- End-to-End Product Design
- Client Collaboration

## Portfolio

- Behance
- Dribbble"
98352,"# RESUME

## Professional Summary

Design professional with one year of development across graphic, web, and UI/UX design disciplines. Committed to continuous learning through structured educational programs. Ready to apply knowledge in a practical setting and open to mentorship opportunities.

## Areas of Expertise

- Graphic Design
- Web Design
- UI/UX Design

## Education & Professional Development

**Professional Certifications**
- Graphic Designer Program — Genius Space
- Web Designer Program — Genius Space
- UX/UI Designer Program — Genius Space

**UI/UX & Web Design**
- UI/UX: Projecting and Design of Interfaces — Creative Practice
- Web Design + Layout — Alpaca School (In Progress)

**Design Foundations**
- Fundamentals of Graphic Design — Coursera
- Fundamentals of Design — Creative Practice
- Graphic Design: Composition — Creative Practice"
98353,"# [Your Name]

---

## Professional Summary

Architectural and construction engineer transitioning into UI/UX design. Leveraging deep expertise in spatial reasoning, structural planning, and visual problem-solving to create intuitive, user-centered digital experiences.

---

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Transferable Expertise:** Spatial thinking, design principles, structural planning, visual problem-solving

---

## Experience

**Freelance Designer**
Project-based work

**Architectural and Construction Engineer**
Current Position

---

## Education & Training

**UI/UX Design Course**
IMT Academy

---

## Portfolio

Behance: [link]"
98354,"**PROFESSIONAL EXPERIENCE**

**DATA ENTRY SPECIALIST**
Health App Ornament
August 2020 – February 2023

- Processed and entered user data with high accuracy, including recipes, recommendations, and content extracts
- Managed multiple tasks and projects while maintaining alignment with management priorities
- Ensured data integrity and consistency across diverse content categories

---

**TECHNICAL SUPPORT CONSULTANT**
IT Con Gaming
January 2017 – June 2020

- Provided technical support to users via email, phone, and live chat channels
- Processed payments and generated comprehensive operational reports
- Diagnosed and resolved user inquiries through effective troubleshooting and clear communication"
98355,"# **[YOUR NAME]**
[Contact Information]

---

## **PROJECTS**

### **Pet Search Web Service** | Team Project
*Reuniting lost animals with their owners through intuitive search technology*

- Conducted competitor analysis to inform product positioning and differentiation
- Developed Jobs-to-Be-Done framework and user personas to guide design decisions
- Created marketing content and designed core services interface
- Implemented geolocation search functionality with advanced filtering system
- Established cohesive visual identity through strategic color palette and visual hierarchy

---

### **AI Dating Application**
*Behavior-driven matchmaking powered by artificial intelligence*

- Designed end-to-end user experience for intelligent compatibility matching
- Created interface translating complex behavioral data into intuitive user interactions
- Developed visual system supporting machine learning-driven features

---

### **Citroën C4 Landing Page**
*Promotional landing page for the Citroën C4 vehicle*

- Maintained brand consistency through strategic application of color and typography
- Structured content to highlight key vehicle advantages and specifications
- Designed clear navigation enabling seamless exploration of product details

---

### **CrossFit Central Website Redesign**
*Complete visual and experiential overhaul of a CrossFit center's digital presence*

- Established fresh visual direction with energetic, brand-appropriate aesthetic
- Improved site architecture and user flow through targeted UX solutions

---

## **WORKPLACE PREFERENCES**

Results-driven teams | Collaborative culture | Hybrid/remote flexibility | Professional development | Career advancement opportunities"
98356,"# PROFESSIONAL EXPERIENCE

**Marketing Designer**
Inoxoft | December 2021 – Present

- Lead end-to-end website development and drive continuous optimization initiatives, enhancing user experience and performance
- Mentor junior team members, fostering skill development and cultivating design excellence across the organization
- Conceptualize and produce marketing collateral and branded materials that reinforce and strengthen brand identity
- Develop compelling corporate presentations and case studies for Behance and portfolio platforms
- Spearhead branded product development from initial concept through final execution

**Digital Design Instructor (Part-Time)**
GoITeens — IT Academy for Teens and Kids | October 2022 – Present

- Deliver engaging digital design curriculum to children and teenagers, cultivating emerging creative talent

**Graphic Designer & Illustrator**
Awkward Styles | May 2019 – December 2021

- Designed, developed, and maintained company website to support e-commerce objectives
- Created original illustrations and print designs across diverse product lines

**Freelance Graphic Designer & Illustrator**
2017 – 2022

- Produced compelling banners and professional print materials for a diverse client base
- Developed custom illustrations tailored to client specifications and brand requirements
- Designed strategic Instagram content and visual campaigns to drive client engagement"
98357,"# PROFESSIONAL RESUME

## OBJECTIVE

Results-driven professional seeking a role contributing to large-scale projects, supporting team success, and driving product excellence through meaningful feedback and strategic engagement.

---

## PROFESSIONAL EXPERIENCE

**CALL CENTER OPERATOR**
Delivery | May 2021 – Present

- Resolve crisis situations and restore normal operations with minimal impact to company performance
- Manage high-pressure scenarios while maintaining service quality and operational continuity
- Deliver consistent results in fast-paced, demanding environments

**SMM SPECIALIST**
Web Studio | 2019 – 2021

- Developed and executed social media marketing strategies to strengthen brand presence
- Created engaging content driving audience growth and community engagement

**CALL CENTER OPERATOR**
Sociology | June 2020 – August 2020

- Handled inbound and outbound communications with professionalism and efficiency
- Supported data collection and customer engagement initiatives

---

## CORE COMPETENCIES

Crisis Management & Problem Resolution | Customer Communication | Social Media Marketing & Content Creation | Team Collaboration | Operational Continuity | High-Pressure Performance"
98358,"# UI/UX Designer

## Summary

Passionate designer with comprehensive understanding of design processes and foundational principles. Skilled in end-to-end product design, from user research through high-fidelity prototyping. Complementary background in social media management and content creation.

## Skills

**Design Tools:** Figma, Axure, InVision, Photoshop

**Competencies:** User Research, UX Design, UI Design, Prototyping, Documentation

## Experience

**Social Media Management & Content Specialist**

## Projects

**Pet Owner Platform** | UI/UX Training Course

- Conducted user research to inform design decisions
- Developed user stories, job stories, and user flows
- Created low-fidelity prototype for initial concept validation
- Designed high-fidelity prototype for final presentation

## Objective

Seeking opportunities to apply UI/UX skills and expand professional experience in product design."
98359,"# PROFESSIONAL RESUME

---

## Design Philosophy

Design is a discipline of strategic thinking, where tools transform concepts into compelling visual experiences.

---

## Technical Skills

**Figma**
Prototyping | Wireframes | Customer Journey Maps | Mind Maps | Animations | UX Research | UI Design | Landing Pages | Adaptive Design | Documentation | Mockups

**Adobe Creative Suite**
After Effects: Custom Motion Animations | Premiere Pro: Video Editing | Photoshop: Image Editing | Illustrator: Graphic Design

---

## Core Competencies

- User Experience (UX) Design
- User Interface (UI) Design
- Visual Design & Branding
- Motion Graphics & Animation
- Video Production & Editing
- Responsive & Adaptive Design
- Design Documentation & Specifications"
98360,"# Resume

## Web Design & Development

### Alaska Peters Restaurant Website Redesign
Led complete website redesign for a New York-based barbecue restaurant. Transformed outdated site with low-quality imagery and insufficient information into a modern, visually engaging digital presence. Overhauled design aesthetic and menu presentation to deliver a fresh, compelling user experience.

### Clin Fix Web Service
Developed a web service platform connecting customers with service professionals in cleaning, gardening, and related industries. Built dual-purpose solution enabling users to efficiently locate qualified providers while empowering workers to expand their client base and grow their businesses."
