,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98172,"# DMITRY
## UI/UX Designer

---

### PROFESSIONAL SUMMARY

UI/UX Designer with a strong commitment to modern design aesthetics and visual excellence. Dedicated to continuous professional growth and maintaining expertise in current design trends. Focused on delivering exceptional results through thoughtful, user-centered design solutions.

---

### SKILLS

- UI/UX Design
- Modern Design Principles
- Visual Styling
- Design Research & Trend Analysis
- Continuous Professional Development

---

### INTERESTS

- Design Innovation
- Industry Trends & Emerging Practices
- Professional Skill Development"
98173,"# UX/UI Designer

## Professional Summary

UX/UI Designer with hands-on project experience creating web services and redesigning websites. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and CorelDraw. Delivers user-centered designs through comprehensive research, wireframing, and interface development. Thrives in collaborative team environments with a track record of meeting project deadlines. Dedicated to continuous professional growth and staying current with evolving design trends.

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, CorelDraw

**UX Expertise:** User Research, Competitor Analysis, Persona Creation, User Mapping, User Flow Development

**UI Expertise:** Wireframing, Interface Design

## Projects

**GetPet — Web Service for Finding Lost Animals**
- Led comprehensive UX research including competitor analysis, persona creation, user mapping, and user flow development
- Designed wireframes and complete interface
- Partnered with cross-functional team members throughout the development lifecycle

**Poltava Music School — Website Redesign**
- Delivered a complete website redesign featuring a modern, user-friendly interface

## Career Objective

Seeking a remote position with flexible scheduling at a company that values professional collaboration among designers and focuses on delivering competitive, high-quality products."
98245,"# RESUME

## Education

**Design Courses**
Thesis Successfully Defended | Currently Enrolled in Professional Course

---

## Skills

- UX Research & User Audience Analysis
- Competitor Analysis
- Design Systems & UI Kit Development
- Prototyping
- Responsive & Adaptive Design
- Animation

---

## Professional Experience

**Freelance Designer** | 6 Months

- Designed and produced promotional posters for client campaigns
- Created and rendered video content from concept to final delivery
- Developed brand identity including logo design for a dance festival"
98250,"**PROFESSIONAL EXPERIENCE**

**Media Buyer/Marketer**
Innovation Group | March 2016 – May 2022

- Directed advertising network operations and orchestrated traffic distribution strategies across multiple campaigns
- Designed and developed high-impact creatives and landing pages aligned with campaign objectives
- Analyzed campaign performance metrics to identify optimization opportunities and ensure quality standards
- Implemented data-driven optimizations that enhanced overall campaign results

**Account Manager**
Sprava | January 2013 – February 2016

- Cultivated and maintained strategic partnerships, serving as primary point of contact for key client relationships
- Drove revenue growth through proactive engagement and expansion of existing accounts
- Executed new customer acquisition initiatives while establishing frameworks for long-term client retention
- Collaborated on SEO implementation strategies to maximize partner account monetization

---

**EDUCATION & TRAINING**

**UI/UX Design Pro**
Hillel IT School | October 2021 – May 2022

**Design Basic**
Hillel IT School | May 2021 – August 2021"
98251,"# PROFESSIONAL RESUME

## PROFESSIONAL EXPERIENCE

**UX/UI Designer**
Freelance | March 2023 – Present
- Conduct user research and develop data-driven user personas to inform design decisions
- Create wireframes, user flows, and high-fidelity mockups that translate user needs into intuitive interfaces
- Design and build interactive prototypes in Figma to validate concepts and streamline stakeholder feedback

**Photographer**
The Moment, Kyiv | September 2020 – February 2022
- Executed group photography sessions, capturing compelling imagery for diverse client needs
- Performed detailed photo retouching and editing to deliver polished final products
- Designed cohesive photo album layouts balancing visual hierarchy and storytelling
- Collaborated effectively within a team environment to meet project deadlines

**Photographer**
The Svadba, Kyiv | March 2018 – April 2019
- Captured wedding photography in both venue and studio settings, adapting to varied lighting conditions
- Retouched and edited photographs to achieve consistent, professional quality
- Designed and produced printed photo album layouts from concept to final production
- Managed client sales and customer relations, building trust through clear communication

**Aviation Security Officer**
PLC Master-Avia, Kyiv | April 2017 – December 2017
- Conducted systematic baggage screening and monitoring to maintain safety standards
- Ensured passenger safety compliance at airport facilities
- Provided professional service to diverse international clientele

## EDUCATION & CERTIFICATIONS

**UI/UX Design Basic** | Prometeus | 2023

**Basics of Web UI Development** | Prometeus | 2022

## SKILLS

User Research | User Personas | Wireframing | User Flows | Mockups | Prototyping | Figma | Photo Retouching | Photo Album Design | Layout Design | Customer Service | Client Relations | Team Collaboration"
98252,"# Resume

## Projects

### VBakery
**May 2021**

Developed a full-stack e-commerce platform for a confectionery business, implementing:
- Dynamic product catalog showcasing pastries and cakes
- Interactive custom confectionery designer tool
- End-to-end order placement and real-time tracking system
- Secure user authentication with personalized account management
- Favorites functionality enabling streamlined reordering
- Integrated customer review system with comprehensive order history
- Informational pages featuring company details and location services

### Dim Kultury
**June 2021**

Designed and developed an investment platform dedicated to cultural heritage renovation and community development, comprising three integrated initiatives:

- **ЖИВОТ** — Developed website supporting the transformation of a historic nightclub into a multifunctional youth center with comprehensive daytime and nighttime programming
- **ДІМ КУЛЬТУРИ** — Built platform promoting a large-scale cultural center uniting financially sustainable social business projects
- **ДВІР** — Created presentation for an urban space development featuring a green theater, summer stage, and food court"
98253,"# Resume

## Professional Experience

**Baza Trainee Ukraine**
*June 2023 – Present*

**Design Team Lead** | Social Sector Product Development

- Directed cross-functional design team for the ""4.5.0."" Volunteer Organization website, delivering user-centered digital solutions for the nonprofit sector
- Spearheaded design leadership for ""1000+1 Song. Kolyskovy."" project, achieving Finalist placement at Hackathon 4.0: Ukraine Heritage Edition
- Coordinated team workflows and project timelines using collaborative management tools

**Tools:** Figma, Trello, Slack, Discord, Time Tracking

---

**CURSOR Education**
*January 2023 – June 2023*

**UX/UI Designer** | E-commerce Platform for Craft Business

- Conducted comprehensive stakeholder interviews and competitive landscape analysis to inform strategic design decisions
- Executed user research initiatives and SWOT analysis to identify opportunities and optimize user experience
- Developed Customer Journey Maps and Information Architecture to streamline navigation and conversion pathways
- Designed wireframes, high-fidelity UI mockups, and interactive prototypes to validate concepts and facilitate stakeholder alignment"
98254,"**UX-UI DESIGNER**

---

**SKILLS**

UX/UI Design · Figma · Interactive Design · Wireframing · Landing Page Design · Mobile Application Design · Web Interface Design · Social Media Graphics

---

**EXPERIENCE**

**Handmade Artist Landing Page** | UX-UI Case Study | Real Client
Designed product presentation page for international market featuring wireframes, natural color palette complementing artwork, and light parallax animation

**Fitness Coach Website Redesign**
Restructured webpage layout, simplified overloaded design, and highlighted key elements to support client acquisition goals

**Gift & Flower Delivery Mobile App** | UX-UI Case Study
Designed mobile application enabling remote gift selection from recommendations with scheduled flower delivery for special occasions

**Website Redesign Project**
Redesigned website interface with improvements that enhanced user-friendliness

**Social Media Banners**
Created banner designs for a charitable organization's social media presence

---

**EDUCATION**

UX-UI Design Course — Completed with proficiency in design fundamentals and Figma

---

**SEEKING OPPORTUNITIES**

Agencies, startups, and product companies — Landing pages, mobile applications, and web services"
98255,"# UI/UX Designer

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive, visually appealing designs. Solid foundation in design principles, user research, interactive prototyping, and responsive design. Eager to create impactful, user-friendly products that elevate the user journey.

---

## Skills

UX Research · User Personas · User Flows · JTBD · Customer Journey Mapping · Wireframing · UI Design · Responsive Design · Interactive Prototyping

---

## Projects

### DeliverEats Mobile Service
*Solo Project*

Designed a food delivery mobile application enabling users to order food quickly with minimal friction.

**Process:** UX Research → Wireframing → UI Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted target audience analysis, market research, and competitor analysis
- Designed multiple screens including catalog, product page, and account pages
- Implemented home page search functionality and filtering for quick sorting
- Created favorites feature for product saving
- Prioritized convenience and simplicity for intuitive user comprehension

---

### PetSearch Web Service
*Team Project*

Collaborated on a web service helping users locate lost animals, addressing the needs of two distinct user types: those who lost pets and those who found them.

**Process:** UX Research → Personas → User Flows → JTBD → CJM → Wireframing → UI Design → Responsive Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted market and competitor analysis to identify strengths and weaknesses of similar services
- Defined target audience and user needs
- Developed warm color scheme aligned with project tone
- Designed functionality to accelerate user actions
- Created responsive layouts optimized for mobile devices
- Emphasized convenience and clarity throughout the interface"
98256,"# UX/UI DESIGNER

## PROJECTS

### FlowerLower
**Landing Page for Flower Delivery Company | Case Study**
- Conducted competitor analysis and user research to inform design decisions
- Developed high-fidelity wireframes translating research insights into visual solutions
- Created comprehensive UI style guide including typography, responsive layouts, color palette, and button systems

### Mimino
**Georgian Cuisine Restaurant Website Redesign | Case Study**
- Conducted competitor analysis and user research to identify optimization opportunities
- Developed high-fidelity wireframes for complete site restructure
- Built complete UI Kit encompassing typography, responsive layouts, color palette, and component library
- Created interactive prototypes for stakeholder review and usability testing
- Designed responsive adaptations for mobile and tablet devices

### Wanderstay
**Couchsurfing Web Service | Team Project | Case Study**
- Led competitor analysis and user research within collaborative team environment
- Applied design thinking methodology throughout project lifecycle
- Developed JTBD framework and user personas to guide feature prioritization
- Created information architecture and user flows for seamless navigation
- Mapped customer journey to identify pain points and opportunities
- Designed wireframes, dashboards, and 404 error page featuring parallax effects
- Built responsive adaptations for mobile and tablet devices
- Developed interactive prototypes for validation and handoff"
98257,"# [Your Name]

## UX/UI Designer

---

### About

UX/UI Designer seeking a collaborative, growth-oriented team environment. Committed to continuous professional development. Open to office and remote work arrangements.

---

### Skills

Competitor Analysis • User Research • User Flow • Sitemap Development • Prototyping • UI Design • Usability Optimization

---

### Projects

**CLEAN | Web Service**
Independently developed a web-based cleaning service connecting cleaners with clients. Managed the complete UX/UI process: user flow mapping, sitemap architecture, prototyping, payment page design, and visual design execution.

**BARBER | Landing Page**
Led the full project lifecycle for a barbershop landing page—from competitor analysis and target audience research through final design delivery. Created a user-centered solution informed by market insights.

**India Cafe | Website Redesign**
Conducted target audience research to identify user needs and pain points. Delivered improved visual design and enhanced usability based on research findings.

---

### Contact

[Email] • [Phone] • [Portfolio URL] • [LinkedIn]"
98258,"# PROFESSIONAL RESUME

## EDUCATION

**Master's Degree in Law** | 2018

**UI/UX Design Certificate** | DAN IT Academy

## SKILLS

- UI/UX Design
- Quality Assurance & Process Optimization
- Cross-functional Team Coordination
- Legal Documentation & Contract Preparation
- Client Relations & Consultation
- Electronic Registry Management
- Professional Business Communication

## PROFESSIONAL EXPERIENCE

**Head of Quality Control Department, Customer Support**
Rocket Delivery | Cyprus | 6 months

- Directed quality control operations for customer support department, ensuring service standards and performance benchmarks were maintained

**Customer Support Manager**
Gambling Industry | 1 year

- Resolved customer inquiries related to website functionality and user experience
- Collaborated with cross-functional teams to address and fulfill client requests efficiently

**Notary Assistant**
3 years

- Prepared, reviewed, and processed legal documents and contracts with precision and attention to detail
- Conducted client consultations, providing guidance on documentation requirements and procedures
- Administered electronic registry systems, maintaining accurate and organized records
- Managed professional correspondence with clients, legal entities, and government agencies"
98259,"# Professional Summary

UX/UI Designer specializing in competitor analysis, user flow development, site maps, mood boards, landing pages, websites, web services, prototyping, and adaptive design.

# Skills

Figma | Adobe Illustrator | Adobe Photoshop | User Flow Design | Prototyping | Adaptive Design

# Projects

**OURPAWS**
Redesigned a search service for locating missing animals as part of a collaborative team, creating user-centered solutions to improve search functionality.

*Figma · Adobe Illustrator · Adobe Photoshop*

**LA MESA**
Designed a mobile application for restaurant table booking, developing user flows and interfaces for seamless reservation experiences.

*Figma · Adobe Illustrator · Adobe Photoshop*

# Professional Goals

- Advancing expertise in Adobe Illustrator and vector graphics
- Pursuing continuous professional development and skill acquisition
- Contributing to collaborative, supportive team environments"
98260,"# Resume

## Summary

Creative designer with a portfolio demonstrating expertise in user-centered design, competitive analysis, and customer acquisition strategies.

---

## Projects

### Landing Page Design | FlowerLover Flower Shop

- Designed user-friendly landing page aligned with client specifications
- Conducted competitive analysis and target audience research
- Developed clear interface architecture with refined UI elements

### Website Redesign | Alaska Pete's Restaurant

- Transformed outdated website into a modern, user-friendly experience
- Implemented table reservation functionality to enhance customer engagement
- Developed visual design strategy to attract and convert potential customers

---

## Skills

- User Interface Design
- Landing Page Development
- Website Redesign
- Competitive Analysis
- Target Audience Research"
98261,"# PROFESSIONAL RESUME

## TEAM LEADER | UI/UX DESIGN

---

### PROJECT EXPERIENCE

**Project ""See World"" | Team Leader**

Spearheaded the design and development of an intuitive residential property search platform. Directed comprehensive user research initiatives to optimize site accessibility and usability. Delivered a streamlined user experience enabling efficient platform navigation, seamless transaction completion, and frictionless application submission.

---

**Project ""GenieTable""**

Designed and developed a mobile restaurant reservation application featuring an innovative genie-themed interactive concept. Engineered an engaging first-screen experience where users summon the genie to initiate bookings. Established a cohesive visual identity through strategic color scheme development, reducing the reservation process to minimal clicks while maximizing user engagement.

---

**Project ""Nice View"" | Team Project**

Designed a conversion-focused landing page for a residential complex targeting prospective clients. Strategically selected a calming, trust-building color palette to evoke comfortable family living and productive work environments. Applied minimalist design principles to communicate sophistication and establish property credibility."
98262,"# RESUME

## Skills

Competitive analysis and market research | Task analysis and ideation | Mood board compilation | Minimalist website and landing page design | CRM system and mobile application development | Prototyping and responsive design

## Projects

**Tattoo Salon Website Redesign** | GoIT Course

Conducted reference selection and audience analysis to inform a complete website redesign. Developed a comprehensive UI kit and created responsive adaptations for tablet and mobile devices. Built an interactive prototype with functional links.

**Landing Page Design**

Curated references and mood board to guide visual direction. Designed a complete UI kit and main page layout.

**Travel Web Service** | Team Project | GoIT Course

Collaborated on a web service enabling affordable international stays. Conducted reference selection and audience analysis, then prepared User Flow and Customer Journey Map documentation. Implemented a cohesive design system with responsive adaptations for tablet and mobile. Developed an interactive prototype with functional links.

## Ideal Work Environment

Results-oriented culture with design focus and collaborative team | Atmosphere of mutual respect | Hybrid work flexibility | Corporate training and professional development opportunities"
98263,"**PROFESSIONAL SUMMARY**

Designer experienced in both independent and collaborative projects. Strong communicator who partners effectively with team members to deliver engaging products, including a web service for yoga classes and a productivity application.

---

**PROJECTS**

**Tattoo Company Website Redesign** | Full Cycle Design

- Executed complete website redesign aligned with target audience needs and current design trends
- Enhanced user experience through improved usability and intuitive navigation
- Optimized site structure to support increased conversion rates and customer acquisition

**Easy Yoga Web Service** | Desktop and Responsive Design

- Designed web service from concept to completion, connecting yoga instructors with prospective students seeking compatible teachers
- Developed desktop interface with responsive adaptation

**Productivity Mobile Application** | Mobile Design

- Designed mobile application focused on performance improvement
- Integrated daily planning functionality with physical and mental health monitoring features
- Incorporated multiple tools to support holistic user wellness"
98264,"# [Your Name]
## UX/UI Designer

---

### Professional Experience

**Team Leader & UX/UI Designer | Travelhaven**
- Led cross-functional team while directing UX/UI design strategy for travel platform
- Managed end-to-end design process, from user research through implementation

**UX/UI Designer | Volunteer Social Project**
- Designed and developed website for volunteer organization

---

### Projects

**Alaska Pete's Roadhouse Grille — Website Redesign**
alaskapetes.com
- Executed complete website redesign for restaurant client
- Conducted comprehensive competitor research and analysis
- Translated market findings into successful design solutions

**Travel Exchange Web Service — Concept & Design**
- Designed web service interface enabling affordable international travel experiences
- Created platform connecting travelers with hosts offering accommodation in exchange for work
- Conducted targeted user research focused on students and young travelers seeking budget-friendly options

---

### Portfolio

2 independent projects demonstrating self-directed design initiative

---

### Availability

Open to various opportunities and arrangements"
98265,"# PROFESSIONAL EXPERIENCE

**Team Leader** — SweepUp Cleaning Web-service Project

**Landing Page Designer** — GoIT Addendum Project  
*Design implemented by student developers*

---

# PROJECTS

## TimeWell Daily Planner Mobile App
*In Progress*

A time management application enabling users to plan tasks and achieve goals.

**Responsibilities:**
- Conducted competitive analysis of existing applications
- Created User Personas and User Flows
- Developed high-fidelity prototypes and UI design
- Produced detailed animations in Protopie

**Tools:** Figma, Photoshop, Illustrator, Protopie

---

## SweepUp Cleaning Web-service
*Team Project*

A web service for selecting and booking cleaning specialists.

**Responsibilities:**
- Led brainstorming sessions and collaborative ideation
- Performed market and competitor analysis
- Developed User Personas, JTBD, CJM, and User Flows
- Created prototypes, UI design, relinking, and responsive adaptations
- Worked within an existing design system

**Tools:** Figma, Photoshop, Illustrator

---

## Bravo Furniture Site Redesign
*Personal Project*

Complete redesign of a luxury furniture store website.

**Responsibilities:**
- Conducted market analysis and competitor research
- Created screen prototypes and UI design
- Developed responsive layouts for mobile and tablet
- Built comprehensive UI kit

**Tools:** Figma, Photoshop, Illustrator

---

## Citroën C4 Landing Page
*Coursework Project*

A test drive booking interface for the new Citroën model.

**Responsibilities:**
- Performed market analysis and competitor research
- Created moodboard and wireframes
- Designed final animated interface

**Tools:** Figma"
98266,"# Resume

## Professional Experience

### Team Leader | Travel Joy
*Web Service Design, Full Cycle*

Led team in designing a web service enabling work and travel experiences in new environments. Organized and monitored workflow throughout the complete project lifecycle. Conducted competitor analysis, developed user flows and site maps, and created wireframes and prototypes in Figma. Delivered an intuitive, user-friendly web service while working within an established design system.

---

### Designer | Restaurant Table Booking App
*Mobile Application, Team Project*

Collaborating with team on mobile app design for restaurant table booking.

---

### Designer | Nice View
*Landing Page Design, Full Cycle*

Independently designed a landing page for apartment sales in a new residential complex. Conducted competitor analysis and target audience research. Developed low-fidelity and high-fidelity prototypes based on research findings. Selected typography and color palette optimized for buyer engagement. Delivered client-approved design featuring property viewing application submission and customer feedback functionality."
98267,"# Resume

## Projects

### Volunteering Projects Aggregator for Ukraine
Developed a platform aggregating volunteering initiatives across Ukraine, featuring detailed project information, donation functionality, and discovery tools for related projects and volunteer organizations to drive engagement and support.

### Landing Page for Kickstarter Product
Designed a conversion-focused landing page for a transformable nightstand-to-chairs product using the AIDA marketing model. Applied competitor analysis, reference selection, high-fidelity wireframing, and adaptive web design principles.

### Landing Page: Artist Profile
Designed an artist profile landing page for recording artist Rihanna. Applied mood board development, reference curation, wireframing, complex composition, typography, and prototyping techniques."
98268,"# Resume

## Projects

### Website Redesign | A Kids Place Childcare
Led full-cycle redesign of a preschool website to strengthen engagement with parents and prospective families. Conducted comprehensive competitor analysis to identify strategic opportunities. Enhanced visual appeal and user experience through modern design principles. Developed fully responsive design optimized for mobile and tablet devices.

### Pet Service | Pet Search
Contributed to full-cycle team project developing a web service for pet search and related services. Conducted market research and target audience analysis to inform design decisions. Created a consolidated platform integrating multiple pet-related services into a unified user experience. Collaborated cross-functionally with team members throughout the design process. Implemented responsive design ensuring seamless mobile and tablet compatibility.

### Mobile Event App
Currently in development."
98269,"# RESUME

## Education & Training

**Projector UX Beginner Course** — Completed with Distinction

**KronaStudio&School Web Design Course**

---

## Experience

**Volunteer Designer — University IT HUB**
*1 year*

- Redesigned university websites and created interfaces for institutional needs
- Conducted UX research and evaluated design solutions
- Developed UI components utilizing an established UI library
- Collaborated with developers and project managers to deliver design solutions
- Managed project workflows using Jira within cross-functional teams

**Intern Designer**
*2 months*

- Contributed to project delivery within a professional development team
- Gained practical experience in collaborative design workflows

---

## Project Experience

**Projector UX Beginner Course**

- Led stakeholder project as independent designer from research through delivery
- Collaborated on team-based stakeholder project
- Executed end-to-end UX process: research, problem definition, and UI solution development

---

## Skills

**Design:** UI Design • UX Research • Problem-Solving

**Tools:** Jira

**Professional:** Cross-Functional Collaboration • Stakeholder Communication"
98270,"# Resume

## Skills
- HTML & CSS
- UI/UX Design
- 3D Modeling (Exteriors & Interiors)
- SketchUp

## Professional Experience

**3D Graphic Specialist** | HOVER Ukraine | Feb 2021 – Jun 2023
- Created detailed 3D exterior and interior models
- Performed quality assurance reviews on 3D models produced by team members

## Project Experience

**YoHome** | Team Leader
- Led development of a web service for housing rentals and accommodations
- Designed complete user interface and developed end-to-end user flows
- Executed detailed visual stylization and responsive design adaptation

**Sophie Scholl Realschule Website Redesign** | Study Project
- Redesigned school website to deliver a user-friendly, informative platform showcasing institutional mission, values, and programs
- Performed competitive analysis and audience research
- Implemented web design best practices for the education sector

**Additional Projects**
- Developed 3 independent projects across diverse subject areas

## Seeking
- Full-time or part-time position
- Collaborative, respectful team environment
- Professional development and training opportunities
- Results-driven workplace culture"
98271,"# DESIGNER

## Professional Summary

Multidisciplinary designer with 4 years of experience in interior, graphic, and industrial design. Trained in UI/UX methodologies, Figma, and interface design, bringing a unique perspective that bridges physical and digital design principles.

## Skills

Interior Design | Graphic Design | Industrial Design | UI/UX Design | Web Design | Figma

## Professional Experience

**Interior Designer** | Freelance & Company-Based

- Designed interior spaces for diverse client needs, translating requirements into functional, aesthetic solutions
- Created brand identity materials including logos, business cards, and banners
- Developed original artwork and paintings demonstrating strong visual composition skills

## Education

**Master's Degree in Environmental and Industrial Design**

**Professional Development**
- UX/UI: Projecting and Design of Interfaces – GENIUS, Cases courses
- Working with Figma – GENIUS, Cases courses
- Fundamentals of Web Design – GENIUS, Cases courses

## Languages

Polish – B2 | English – B1 | Spanish – B1

## Career Objective

Seeking to leverage multidisciplinary design expertise to grow as a UI/UX design specialist."
98272,"# UI/UX Designer

## Summary
Detail-oriented UI/UX Designer with 6 months of professional experience and 5 months of intensive coursework. Passionate about creating comprehensive, user-centered designs that drive conversions and deliver intuitive user experiences.

## Design Capabilities
- Landing Pages & E-Commerce Platforms
- Portfolio Sites & Website Redesign
- Mobile Applications (iOS & Android)
- Responsive Design & Device Adaptation
- Basic Website Animation

## Design Process Expertise
- Competitor Analysis & User Flows
- Wireframing & Prototyping
- UI Design Development

## Technical Proficiency
- Google Material Design Guidelines
- Human Interface Guidelines

## Collaboration
- Cross-functional partnership with front-end developers

## Education
Comprehensive 5-month UI/UX Design program covering full design process principles and technologies

## Professional Objective
Seeking a UI/UX design position to apply my experience in creating user-friendly, conversion-focused designs while contributing to innovative projects that present creative problem-solving opportunities."
98273,"# [Your Name]
[Contact Information]

---

## Summary
Entry-level UX Designer combining user-centered design expertise with accessibility and equity-focused principles. Skilled in end-to-end design processes and design sprint methodologies, with hands-on experience delivering digital solutions across web and social platforms.

---

## Skills
- User-Centered Design
- Design Process & Design Sprints
- Accessibility & Equity-Focused Design
- Cross-Functional Team Collaboration
- Web & Application Design
- Social Media Asset Creation
- Webflow

---

## Experience

**Freelance UX/Visual Designer**
*6 Months*

- Designed and delivered social media assets including banners for Instagram, Twitter, and Facebook, ensuring brand consistency across platforms
- Collaborated with clients on application and website planning, contributing to information architecture and user flow development
- Built and launched a fully functional blog using Webflow, managing design and development from concept to deployment
- Created landing pages and promotional banners optimized for user engagement and conversion

---

## Education

**Hillel IT School**
*UX/Web Design Certificate*"
98274,"# **JUNIOR UI/UX DESIGNER**

Creative UI/UX designer passionate about crafting effective, aesthetically pleasing designs that elevate user experience. Delivering full-cycle design services with expertise in landing pages, e-commerce, website redesign, and web services.

---

## **EDUCATION**

**UI/UX Design Certificate** | 6-Month Intensive Program

---

## **PROJECT EXPERIENCE**

### **Wish** — Gift Delivery Mobile App
Mobile application for flower and gift delivery featuring product selection and scheduled delivery functionality.
- Managed full-cycle design process including competitive analysis, UX persona development, user flow mapping, wireframing, and UI design

### **Fitroom** — Corporate Website Redesign
Complete redesign of fitness studio website, creating a modern, conversion-focused interface.
- Conducted comprehensive competitor analysis and defined stylistic direction through reference gathering
- Developed responsive prototypes optimized for phone and tablet
- Created comprehensive UI kit ensuring design consistency

### **VDOMA** — Ukrainian Couch-Surfing Web Service
Web platform connecting travelers with affordable accommodations while promoting Ukrainian tourism.
- Directed full-cycle design: competitive analysis, UX personas, empathy mapping, sitemap architecture, MVP definition, user flow diagrams
- Designed responsive adaptations for tablet and mobile
- Executed A/B testing to identify and implement design improvements

---

## **ADDITIONAL UI PROJECTS**

- Service accounting table interface for cleaning company operations
- Website sidebar navigation interface
- Team page featuring AutoLayout-based responsive padding system
- User profile page for online learning platform
- Student-facing dashboard for ed-tech product
- Animated desktop site launch screen
- Card-to-card money transfer confirmation modal
- Administrator dashboard for user permissions management

---

## **COLLABORATION**

3 individual projects | 2 team projects"
98275,"# PROFESSIONAL SUMMARY

Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Creates exceptional user experiences through innovative digital interactions. Committed to continuous learning and staying current with industry trends and evolving technologies. Skilled in independent project development, user research, and UI design.

---

# PROJECT EXPERIENCE

**Petsearch** — Web Service for Lost and Found Animals

Designed and developed a web service connecting pet owners with people who find lost animals. Created an intuitive experience enabling users to achieve results quickly while promoting shelter support and volunteerism.

**A Kids Place Childcare** — Website Redesign

Conducted comprehensive analysis of existing design and competitor research. Redesigned three pages based on identified strengths, weaknesses, and user expectations. Delivered complete documentation including a UI kit with all design elements.

**FlowerLover** — E-commerce Landing Page

Designed a landing page featuring multiple interactive elements including buttons and input fields. Conducted competitor analysis, developed moodboards, determined page structure, and selected a natural color palette aligned with brand identity.

---

# SKILLS

UX/UI Design · User Research · Competitor Analysis · Wireframing · Prototyping · UI Kit Development · Design Documentation · Visual Design · Color Theory

---

# EDUCATION & TRAINING

*(Add your relevant education, certifications, or courses here)*

---

# CONTACT

*(Add your contact information here)*"
98276,"**JUNIOR UI/UX DESIGNER**

---

**ABOUT ME**

Junior UI/UX Designer experienced in both collaborative team environments and individual design projects. Solid foundation in color theory, typography, and layout. Committed to creating exceptional user experiences.

---

**PROJECT EXPERIENCE**

**Website Redesign | Tattoo Studio**
*December 2022 – January 2023*

- Redesigned studio website with modern, user-friendly interface
- Implemented improved navigation and tattoo ordering functionality
- Enhanced visual presentation of artists' portfolios and integrated customer reviews

**UI/UX Design | Pet Finder Service**
*February 2023 – March 2023*

- Designed web service for creating and publishing lost/found pet listings
- Developed intuitive interface prioritizing quick information sharing and user communication

---

**EDUCATION & PROFESSIONAL DEVELOPMENT**

- Self-directed study in UI/UX design through online courses and industry literature
- Ongoing portfolio development focused on quality improvement

---

**SKILLS**

- Color Theory
- Typography
- Layout Design
- User Interface Design
- User Experience Design
- Navigation Design

---

**CAREER OBJECTIVES**

- Collaborate with experienced designers in a team environment
- Advance professional skills through exposure to new technologies and design methodologies
- Contribute to diverse projects across various design domains"
98277,"# **UX/UI Designer**

Creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products. Experienced in UX research with expertise in designing websites, web services, mobile apps, dashboards, tables, logos, advertisements, and posters. Strong collaborator with experience leading design presentations.

---

## **Work Experience**

**Korg Sound Library Cover Design**
Created two illustrations serving as sound library covers. Conducted reference photo analysis, collaborated with client on requirements, and delivered final designs incorporating client feedback.

**Sinevibes Logo (3D Animation)**
Designed and produced an animated 3D logo for video intro use. Managed full pipeline from modeling through shading to final rendered animation, with client approval at key stages.

---

## **Projects**

**UrbanFest Landing Page Design**
Designed a landing page from scratch, developing moodboard and wireframe before delivering a minimalistic final design.

**CustomConcepts Tattoo Website Redesign**
Redesigned an existing website following competitive analysis of tattoo-related sites. Delivered a modern design balancing functionality and aesthetics through iterative prototyping.

**Web Service UX and UI Design**
Designed a web service for affordable international accommodation. Conducted UX research including user personas and customer journey mapping. Developed information architecture, user flows, wireframes, and final visual design.

**Beatcraft Mobile App Design**
Designed a music-related mobile application. Performed target audience analysis and created wireframes leading to complete interface design, including two-factor authentication and in-app achievements.

---

## **Skills**

UX Research · User Personas · Customer Journey Mapping · Information Architecture · Wireframing · Prototyping · Visual Design · 3D Modeling · Animation · Illustration · Client Collaboration

---

Seeking remote opportunities with collaborative teams. Fast learner ready to embrace new challenges."
