,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
98274,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
UI/UX Designer focused on creating effective, user-centric designs for landing pages, e-commerce platforms, and web services. Skilled in full-cycle design processes ranging from research and prototyping to final UI execution. Dedicated to building responsive, aesthetically pleasing solutions that solve user problems and achieve business goals.

**SKILLS**
*   **Core Competencies:** Full-cycle UI/UX Design, Wireframing, Prototyping, UI Kits, Responsive Design (Mobile/Tablet), Website Redesign.
*   **User Research:** Competitive Analysis, UX Personas, Empathy Maps, User Flow Diagrams, A/B Testing.
*   **Strategy:** Sitemap Development, MVP Definition.

**PROJECT EXPERIENCE**

**VDOMA | Couch-surfing Web Service**
*Goal: Developed a service to facilitate affordable stays in Ukraine and popularize local tourism.*
*   Executed the full-cycle design process, including in-depth competitive analysis, creation of UX personas, empathy mapping, and sitemap structure.
*   Defined the Minimum Viable Product (MVP) features and visualized user pathways through flow diagrams.
*   Designed responsive adaptations for tablet and mobile devices to ensure accessibility across platforms.
*   Conducted A/B testing following the first iteration to identify pain points and optimize the design for better usability.

**Fitroom | Fitness Studio Website Redesign**
*Goal: Modernized the user interface to boost sales through an attractive, contemporary design.*
*   Conducted competitor analysis to establish a distinct stylistic direction based on curated references.
*   Built high-fidelity prototypes and optimized interfaces specifically for mobile and tablet responsiveness.
*   Developed a comprehensive UI kit to maintain design consistency and streamline future updates.

**Wish | Gift Delivery Mobile App**
*Goal: Created a platform for selecting and scheduling flower and gift deliveries.*
*   Managed the end-to-end design process, utilizing competitive analysis and UX personas to inform design decisions.
*   Developed detailed user flows and wireframes, translating them into final polished UI designs.

**ADDITIONAL DESIGN PROJECTS**
*   **Dashboard Interfaces:** Designed a student-centric dashboard for an ed-tech product and an administrator dashboard for user rights management.
*   **UI Components & Interaction:** Created complex UI elements including money transfer confirmation modals, website sidebars, and an animated desktop start screen.
*   **Web Elements & Layout:** Developed user pages for online learning resources and service accounting tables. Applied AutoLayout to ensure precise padding and responsive structure.

**EDUCATION**
**UI/UX Design Course** (6-month intensive)"
98275,not_successfully_modified
98276,"**JUNIOR UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Motivated Junior UI/UX Designer with a solid foundation in design principles, color theory, and typography. Committed to creating optimal user experiences through continuous self-education and research into emerging design technologies. Eager to apply collaborative skills and technical knowledge to professional projects while contributing to team success and mastering evolving industry trends.

**CORE SKILLS**
*   **Design:** UI/UX Design, Visual Design Principles, Color Theory, Typography.
*   **Project Management:** Project Development, Iterative Design.
*   **Collaboration:** Team Collaboration, Communication.

**PROJECT EXPERIENCE**

**Website Redesign | Tattoo Studio**
*December 2022 – January 2023*
*   Executed a comprehensive website redesign to establish a modern, user-centric interface.
*   Optimized information architecture to provide clearer navigation elements and implemented new functionality for service booking.
*   Enhanced the visual quality of portfolio imagery and integrated customer reviews to increase user trust and engagement.

**UI/UX Design | Lost Animal Search Service (Study Project)**
*February 2023 – March 2023*
*   Designed a web-based platform dedicated to the rapid dissemination of information regarding lost and found pets.
*   Developed interface layouts and user flows allowing users to efficiently create and publish advertisements.
*   Focused on user needs by designing streamlined communication tools to facilitate connections between pet owners.

**EDUCATION & PROFESSIONAL DEVELOPMENT**

**Independent Study & Research**
*   **UI/UX Methodologies:** Continuous study of design fundamentals and user experience strategies through online coursework and professional literature.
*   **Industry Trends:** Ongoing technical research regarding cutting-edge design technologies and modern interface standards.
*   **Practical Application:** dedicated to constant improvement of work quality through iterative design practice and portfolio expansion."
98277,"**UX/UI DESIGNER**

**PROFESSIONAL SUMMARY**
Creative UX/UI Designer with expertise in developing functional, aesthetically pleasing web services, mobile applications, and brand identities. Proficient in the full design lifecycle, from conducting extensive UX research and designing complex dashboards to delivering high-fidelity prototypes. Skilled in graphic design, including 3D modeling and animation. Adaptable and fast-learning professional seeking a remote opportunity to contribute to collaborative, innovative teams.

**SKILLS**
*   **UX Design:** User Research, User Personas, Customer Journey Mapping (CJM), Information Architecture, User Flows, Prototyping, Competitor Analysis.
*   **UI Design:** Wireframing, High-Fidelity Design, Web Design, Mobile App Design, Dashboard & Table Design, Moodboarding.
*   **Graphic Design:** Illustration, Logo Design, 3D Animation, 3D Modeling, Shading, Rendering, Poster & Advertisement Design.

**WORK EXPERIENCE**

**Korg | Sound Library Cover Designer**
*   Designed two custom covers for sound libraries, analyzing reference materials to tailor visuals to specific client needs.
*   Partnered with the client to define essential requirements and creative direction.
*   Executed an iterative design process, incorporating feedback to correct errors and deliver high-quality final products.

**Sinevibes | 3D Motion Designer**
*   Managed the end-to-end production of an animated 3D rotating logo for professional video introductions.
*   Executed the full technical pipeline, including 3D modeling, shading, and rendering.
*   Oversaw the project lifecycle from initial concept through client approval and final delivery.

**KEY PROJECTS**

**Accommodation Platform | Web Service UX/UI Design**
*   Designed a web service dedicated to facilitating low-cost international accommodation for users.
*   Conducted comprehensive UX analysis, developing user personas and customer journey maps to inform design strategy.
*   Established the information architecture and user flows to streamline the navigation experience.
*   Produced structural wireframes and finalized high-fidelity, full-color designs for all platform pages.

**Beatcraft | Mobile App Design**
*   Designed a comprehensive user interface for a music-focused mobile application.
*   Performed thorough target audience analysis to guide visual and functional design decisions.
*   Developed wireframes and full UI assets, including specialized flows for two-factor authentication and in-app achievement systems.

**CustomConcepts Tattoo | Website Redesign**
*   Revamped an existing website to modernize the aesthetic appeal and improve core functionality.
*   Conducted comparative analysis of industry competitors to identify and implement best practices.
*   Managed the design process through the prototyping phase to deliver a contemporary web presence.

**UrbanFest | Landing Page Design**
*   Conceptualized and developed a minimalistic landing page from the ground up.
*   Established the visual identity and layout through the creation of moodboards and structural wireframes.

**Literature-Related Initiative | Team Project**
*   Served as the Design Lead for the presentation and visual development phases of a literature-focused project.
*   Collaborated effectively within a team environment to deliver project requirements."
98278,"**UI/UX DESIGNER**
Ukraine | [Link to Portfolio/LinkedIn]

**PROFESSIONAL SUMMARY**
User-centered UI/UX Designer dedicated to creating intuitive, functional, and aesthetically engaging digital products. Skilled in the full design lifecycle, from conducting in-depth research and troubleshooting UX problems to executing high-fidelity prototyping and animation. Proficient in Figma and ProtoPie, with a strong ability to translate business requirements into responsive design solutions in both independent and collaborative environments.

**TECHNICAL SKILLS**
*   **Design Software:** Figma (Auto Layout, Styles, Components, Design Systems), ProtoPie.
*   **UX Research & Strategy:** Competitor Analysis, Target Audience Analysis, Persona Development, User Flows, Wireframing, UX Problem Identification.
*   **UI Design:** High-Fidelity Prototyping, UI Animation, Adaptive & Responsive Design, Moodboarding.
*   **Key Competencies:** Requirement Translation, Filter & Verification System Design, Visual Storytelling.

**PROJECT EXPERIENCE**

**Globetrot | Web Service for Economic Travel**
*   Collaborated within a team to develop a web service dedicated to affordable international travel.
*   Designed core user interface components, specifically engineering complex filter systems and user verification methods.
*   Executed in-depth user research to identify pain points, proposing and implementing design-led solutions.
*   Produced detailed wireframes, UI components, and fully adaptive designs alongside animated prototypes.

**Lunushka Shop | Mobile Application**
*   Designed a complete, end-to-end mobile application for an online retail store.
*   Led a comprehensive research phase involving competitor analysis, target audience persona creation, and user flow mapping.
*   Transformed concepts into detailed wireframes and high-fidelity UI designs.
*   Built a specialized onboarding flow and a fully animated prototype for client demonstration using ProtoPie.

**Flower Shop & Delivery | Landing Page**
*   Designed a responsive landing page for an innovative flower delivery service, prioritizing seamless navigation.
*   Formulated a design strategy based on rigorous user research, competitor analysis, and persona development.
*   Curated visual moodboards and developed a comprehensive, interactive prototype.
*   Ensured cross-device compatibility by adapting the interface for tablet and mobile platforms.

**Tattoo Studio | Website Redesign**
*   Conducted a detailed audit of the existing website to identify opportunities for modernization and UX improvement.
*   Redesigned the user interface to deliver a contemporary aesthetic and enhanced information architecture.
*   Developed targeted content pages designed to engage new customers and attract professional artists.

**EDUCATION & TRAINING**

**UI/UX Design Coursework**
*   Completed a comprehensive training program covering the full design lifecycle.
*   Executed 4 full-scale projects (Web and Mobile) encompassing research, prototyping, and final UI design."
98279,"[NAME]
Junior UI/UX Designer

PROFESSIONAL SUMMARY
Junior UI/UX Designer with experience executing the full design lifecycle in both team-based and individual settings. Skilled in analysis, ideation, high-fidelity prototyping, and responsive user interface design. Dedicated to creating intuitive, user-friendly solutions that solve user problems while meeting business goals.

SKILLS
*   **Design & Strategy:** UI/UX Design, High-Fidelity Prototyping, Wireframing, User Research, Competitor Analysis, User Personas, Information Architecture (Sitemaps), Responsive Design.
*   **Collaboration:** Project Organization, Task Delegation, Time Management, Team Communication.

PROJECT EXPERIENCE

**Mobile App for Flower & Gift Delivery** | Team Member
*Current*
*   Collaborating within a team environment to design a mobile application for flower and gift delivery services.
*   Contributing to the full design cycle to ensure intuitive navigation and user-centric functionality.

**""NADIYA"" Pet Search Webservice** | Team Member
*December 2022 – February 2023*
*   Designed the user experience and interface for a web service dedicated to helping owners reunite with lost pets.
*   Conducted competitor analysis, defined user personas, and developed sitemaps to establish clear information architecture.
*   Created high-fidelity prototypes and responsive UI designs to ensure the service was accessible, usable, and aesthetically engaging.
*   Managed project organization and task delegation to ensure timely delivery within a collaborative environment.

**""MIMINO"" Restaurant & Hotel Complex** | Website Redesign
*October 2022 – November 2022*
*   Executed a comprehensive website redesign to improve visual appeal, modernity, and user-friendliness.
*   Conducted a UX audit of the previous website to identify usability issues and developed strategic design solutions.
*   Researched and selected visual design references to guide the aesthetic direction.
*   Delivered detailed prototypes and finalized visual designs adapted for responsive layouts.

**Yoga Studio Landing Page** | Individual Project
*   Led the end-to-end design of a promotional landing page for a yoga studio.
*   Applied full design cycle principles to create a clean, navigable, and user-friendly interface."
98280,"[NAME]
[Contact Information]

**PROFESSIONAL SUMMARY**
Detail-oriented Junior UX/UI Designer focused on delivering precise, user-centric solutions that align with business goals. Skilled in translating user research and requirements into functional web interfaces and design systems. Proficient in utilizing Figma and Adobe Creative Cloud to execute high-quality visual designs. Proven ability to tackle complex challenges through independent initiative and collaborative team workflows.

**TECHNICAL SKILLS**
*   **Design & Prototyping:** Figma, Adobe Photoshop, Adobe Illustrator, Canva.
*   **UX Research & Strategy:** User Interviews, Competitor Analysis, SimilarWeb, Customer Journey Mapping (CJM), User Flows.
*   **Core Competencies:** UI Design, Design Systems, Wireframing, Visual Identity.

**PROJECT EXPERIENCE**

**Look for | Web-service (Team Project)**
*   Collaborated with a team to develop a secure and accessible interface for an accommodation-finding platform, analyzing target audience requirements to ensure user convenience.
*   Designed comprehensive UI/UX solutions across three distinct ecosystem stages: the user-end interface, the payment gateway interface, and the admin-side dashboard.
*   Leveraged Figma, Canva, and Adobe Illustrator to execute the platform’s visual requirements and functional design.

**India Cafe | Website Redesign**
*   Revitalized an outdated website architecture to modernize the brand image, highlight business advantages, and increase visitor attraction.
*   Executed a full research cycle, including competitor analysis and user interviews, to identify pain points and resolve specific usability issues.
*   Delivered a modernized, high-demand interface design focused on optimizing the overall user experience.

**Barbershop | Promotional Landing Page**
*   Designed a high-fidelity landing page for a new barbershop in Ukraine, structured to showcase service offerings and drive customer acquisition.
*   Developed high-quality visual assets and interface layouts using Figma and Adobe Photoshop.
*   Established a distinct visual presentation to support the business launch and attract potential clients."
98281,"**[NAME]**
[Phone Number] | [Email Address] | [Portfolio Link] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Accomplished Chief Designer with 8 years of experience in high-level graphic design and creative leadership. Currently transitioning into UI/UX design, leveraging a strong foundation in visual storytelling, team management, and user-centered logic. Proven track record of managing complex project lifecycles and delivering intuitive, modern interfaces that drive business growth.

**CORE COMPETENCIES**
*   **UI/UX Design:** User Research, Competitor Analysis, Information Architecture, Wireframing, UI Kits, Prototyping, Adaptive Design (Mobile, Tablet, Web).
*   **Visual Design:** Corporate Identity, Branding Systems, Concept Development, Visual Communication.
*   **Leadership:** Department Management, Workflow Optimization, Creative Direction, Project Coordination.

**PROFESSIONAL EXPERIENCE**

**Chief Designer (Head of Department)** | [Company Name] | [Dates]
*   **Department Leadership:** Organized and supervised daily workflows for the design department, managing the execution of all company creative projects.
*   **Brand Stewardship:** Developed and enforced design concepts in strict accordance with corporate style and branding guidelines to ensure consistency.
*   **Web Redesign:** Spearheaded the redesign of the corporate website, enhancing visual impact and functional performance.
*   **Hardware UI Design:** Designed the interface for a specialized popcorn machine, creating custom icons, color schemes, and animations while adhering to strict hardware constraints.
*   **Digital Assets:** Developed high-conversion landing page designs for KinoboardPRO.
*   **Environmental Design:** Executed comprehensive design projects for a city café and the interior layout of a conference hall.

**Graphic Designer** | [Previous Company/Freelance] | [Dates]
*   Delivered high-level graphic design solutions over an 8-year tenure, specializing in visual storytelling and comprehensive brand development.

**UI/UX PROJECT EXPERIENCE**

**Website Redesign | MAINSAIL (Realty Company)**
*   **End-to-End Redesign:** Executed a comprehensive visual and functional update to improve user interaction and aesthetics.
*   **Research & Strategy:** Conducted in-depth competitor analysis and user research to validate design decisions.
*   **Design System:** Developed wireframes and a comprehensive UI kit to ensure design consistency across the platform.
*   **Responsiveness:** Created adaptive designs optimized for Tablet and Mobile platforms.
*   **UX Optimization:** Restructured content into logical sections, implementing simplified navigation and intuitive forms.

**Web Service for Hiring | Cleaning Company (Academic Project)**
*   Developed a fully adaptive design concept for a specialized employee recruitment platform.

**Mobile Application | Restaurant Table Booking (Academic Project)**
*   Designed a user-centric mobile interface focused on streamlining the booking flow and enhancing usability.

**Adaptive Site Redesign (Academic Project)**
*   Completed a full adaptive redesign of an existing website to ensure seamless responsiveness across all device types.

**EDUCATION & TRAINING**

**UI/UX Design Course** | [Institution Name]
*   Completed intensive professional training focused on mobile app development, web services, and adaptive design systems.
*   Executed multiple web design projects based on industry-standard curriculums.

**TECHNICAL SKILLS**
*   **Design Tools:** [Insert Tools Used, e.g., Figma, Adobe Creative Suite, Sketch]
*   **Methodologies:** Information Architecture, User Flows, Interactive Prototyping, Design Systems, Wireframing.

**AVAILABILITY & PREFERENCES**
*   **Target Role:** UI/UX Designer
*   **Work Format:** Remote
*   **Schedule:** Flexible"
98282,"[YOUR NAME]
[Phone Number] | [Email Address] | [Portfolio Link] | [LinkedIn Profile]

PROFESSIONAL SUMMARY
Junior UI/UX Designer leveraging a foundational background in Human Resources to create visually compelling, user-centric web and mobile solutions. A fast learner and adaptable problem-solver dedicated to continuous skill development. committed to delivering innovative design strategies within growth-oriented environments.

PROJECT EXPERIENCE

Eventize | Mobile Application | UI/UX Designer
2023
• Designed a comprehensive mobile platform facilitating the discovery and booking of event venues.
• Developed intuitive features for full-lifecycle event management, including category-based item selection and task planning tools.
• Streamlined user journeys to optimize the experience of planning and organizing special occasions.

Guesture | Web Application | UI/UX Designer
2022
• Conceptualized and designed a web service enabling alternative travel and work-stay arrangements.
• Structured the user interface to serve student and youth demographics, focusing on affordable accommodation through payment or labor-exchange models.
• Created intuitive navigation flows for users to browse host locations and manage service-based agreements effectively.

CORE COMPETENCIES

Design & Technical
• UI/UX Design (Web & Mobile)
• User Journey Mapping
• Interface Design
• Concept Development

Professional Attributes
• HR-Informed Communication
• Rapid Knowledge Acquisition
• Innovative Problem Solving
• Task Management & Organization"
98283,"**JUNIOR UX/UI DESIGNER | TEAM LEADER**

**Professional Summary**
Detail-oriented Junior UX/UI Designer focused on creating high-quality, research-driven user experiences supported by strong visual design. Experienced in balancing user needs with aesthetic execution. Proven background in team leadership, managing organizational aspects of collaborative projects, and fostering a supportive team environment. Dedicated to delivering intuitive digital solutions through comprehensive analysis, prototyping, and responsive design.

**Experience**

**Team Leader | ""Shine"" Web Service (Independent Project)**
*   Lead a cross-functional team in the development of a web service tailored for cleaning companies.
*   Manage project organization, timelines, and workflow execution.
*   Direct the design strategy and implementation while contributing to hands-on UI/UX tasks.
*   Provide mentorship and support to team members to ensure alignment with project goals.

**Team Leader | Professional Design Courses**
*   Lead design teams through complex course projects and collaborative assignments.
*   Coordinate group efforts to ensure project requirements and design standards are met.

**Key Projects**

**""FlowerLover"" – Flower Delivery Landing Page**
*   Designed a minimalist, performance-focused landing page, effectively balancing high-quality imagery with fast user interactions.
*   Conducted in-depth competitor analysis and target audience research to inform the design strategy.
*   Created comprehensive design deliverables, including moodboards, wireframes, and interactive prototypes.
*   Developed a scalable UI kit to ensure design consistency.
*   Implemented interface animations and responsive adaptations for tablet and mobile devices.
*   Documented the complete design process in a detailed case study published on Behance.

**""A Kids Place Childcare"" – Website Redesign**
*   Executed a full strategic redesign of a kindergarten website to resolve usability issues and increase client attraction.
*   Audited the original site to identify engagement barriers and navigation problems.
*   Performed extensive research on target demographics and market competitors.
*   Managed the full design lifecycle from conceptual moodboards and wireframes to high-fidelity prototypes and UI kits.
*   Designed responsive layouts and interaction animations to enhance the user experience.
*   Successfully met project objectives and documented the results in a published case study.

**Skills & Core Competencies**

*   **UX Design:** User Experience Research, Competitor Analysis, Target Audience Analysis, Wireframing, Prototyping, Information Architecture.
*   **UI Design:** Visual Design, UI Kits, Responsive Design (Mobile & Tablet), Animation, Moodboards.
*   **Leadership:** Project Management, Team Coordination, Workflow Organization, Mentorship.
*   **Documentation:** Case Study Creation, Design Process Documentation."
98284,"[NAME]
[Phone Number] | [Email Address] | [LinkedIn Profile/Portfolio Link]

PROFESSIONAL SUMMARY
Junior UI/UX Designer focused on site architecture, wireframing, and visual interface design. Dedicated to applying foundational skills in layout design, color theory, and interaction flows to create user-centric digital experiences.

TECHNICAL SKILLS
• Design Tools: Adobe Photoshop, Adobe Illustrator, Adobe Experience Design (XD), Axure, InVision.
• UX Design: Site structure development, interaction flows, page wireframing, interface requirements.
• UI Design: Visual style creation, layout design, color theory, typography, iconography.

EDUCATION AND TRAINING
Web Design (UX/UI) Course | UX Energy IT School
June 2018 – September 2018

• Developed comprehensive site structures and interaction flows for web and mobile applications.
• Created detailed page wireframes and defined technical interface requirements.
• Designed visual systems including layouts, color palettes, typography, and iconography.
• Applied industry-standard design and prototyping software to project workflows."
98285,"**DIMA**
Kyiv, Ukraine
Junior UI/UX Designer

**PROFESSIONAL SUMMARY**
Junior UI/UX Designer dedicated to creating convenient, modern, and engaging interfaces for digital applications. Proficient in developing wireframes of varying fidelity and building interactive prototypes. Skilled in designing effective landing pages and complex multi-page projects. Committed to maintaining a strong focus on visual detail, strict adherence to deadlines, and continuous professional growth within the design field.

**SKILLS & TOOLS**
*   **Design Competencies:** UI/UX Design, Wireframing, Interactive Prototyping, Landing Page Design, Multi-page Project Design.
*   **Software Proficiency:** Figma (including Components and Auto Layouts).
*   **Key Attributes:** Detail-oriented, Effective Time Management, Commitment to Self-Improvement.

**EDUCATION**
**Projector — Creative & Tech Online Institute**
*   **Web Design Junior** | 2022 – 2023
*   **Web Design Beginning** | 2022"
98286,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**

Creative Designer and Marketing professional with a strong foundation in the design process and a focus on delivering high-quality UI and user experiences. Leverages a background in marketing to create visually compelling assets that align with strategic goals. Dedicated to producing impactful graphic design and UI/UX solutions while effectively managing multi-channel content and campaigns.

**EXPERIENCE**

**Marketing Manager / Designer**
*   Design diverse physical and digital marketing materials, including brochures, leaflets, and exhibition stands, utilizing Figma, Adobe Photoshop, and Adobe Illustrator.
*   Develop comprehensive visual assets for corporate websites, social media platforms, and integrated marketing campaigns.
*   Edit and optimize video content specifically tailored to drive engagement on social media channels.
*   Plan and execute end-to-end email newsletter campaigns to maintain audience communication.
*   Produce professional copy for a variety of mediums, including website content, marketing collateral, multi-channel campaigns, and newsletters.

**SKILLS**

*   **Design:** UI/UX Design, Graphic Design, Visual Design
*   **Software & Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Video Editing Software
*   **Marketing:** Content Writing, Email Marketing, Social Media Strategy, Campaign Management"
98287,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**

User-focused UI/UX Designer experienced in developing intuitive interfaces for websites, mobile applications, and software. Skilled in the full design lifecycle, from conducting user research and creating wireframes to executing high-fidelity designs and Webflow development. Proven ability to align user needs with clear layouts and visual brand identities while fostering collaborative design processes.

**EXPERIENCE**

**alkima web & design**
**UI/UX Designer** | March 2023 – Present

*   **User Research & Strategy:** Conduct user experience research to drive design strategy and ensure products effectively meet user needs.
*   **Interface Design:** Develop comprehensive sitemaps, wireframes, and user interfaces for various digital products, ensuring logical navigation and aesthetic appeal.
*   **Webflow Development:** Build and implement functional web projects leveraging the Webflow builder.
*   **Visual Assets:** Design creative assets for social media platforms and website banners to enhance digital presence.
*   **Branding:** Execute logo development and create conceptual design systems to establish cohesive brand identities.

**Vinnytsia Distribution Company**
**Sales Manager** | January 2019 – February 2022

**CORE COMPETENCIES & SKILLS**

*   **UI/UX Design:** Interface Design, Wireframing, Prototyping, Sitemaps, Mobile & Web App Layouts.
*   **Research & Analysis:** User Research, Usability Testing, Data-Driven Design Analysis.
*   **Visual Design:** Logo Development, Design Systems, Social Media Creative, Brand Identity.
*   **Tools:** Proficient in Webflow.
*   **Soft Skills:** Cross-functional Collaboration, Teamwork, Communication."
98288,"[Name]
[Contact Information]

**PROFESSIONAL SUMMARY**

Dedicated Freelance Web Developer with a specialized focus on early-stage gaming projects and cryptocurrency platforms. Adept at collaborating with cross-functional teams, including project managers and developers, to translate layout specifications into functional, high-quality web solutions. committed to aligning technical deliverables with client objectives.

**PROFESSIONAL EXPERIENCE**

**Freelance Web Developer**
*   Designed and engineered web solutions specifically tailored for cryptocurrency exchanges and crypto-related platforms.
*   Played a key role in the early-stage development lifecycle of diverse gaming projects, ensuring foundational technical requirements were met.
*   Partnered directly with project managers to coordinate workflows and ensure development outputs aligned strictly with client goals.
*   Collaborated with development teams to review, refine, and clarify technical layout specifications for accurate implementation.

**SKILLS**

*   Web Application Development
*   Cryptocurrency Platform Development
*   Early-Stage Game Development
*   Technical Specification Analysis
*   Cross-Functional Collaboration
*   Layout Implementation & Review"
98289,"[NAME]
[CONTACT INFORMATION]

**PROJECTS**

**Law Firm Landing Page (Case Study)**
*   Led the end-to-end design process of a comprehensive landing page using Figma, executing the workflow from initial wireframing to high-fidelity concepts and final design.
*   Conducted market research and analysis within the legal field to inform strategic design decisions.
*   Established a distinct brand identity through the creation of mood boards, rigorous typography selection, and color palette definition.
*   Engineered adaptive and responsive layouts to ensure optimal viewing experiences across mobile and tablet devices.

**Pastry Shop Website with Delivery (Case Study)**
*   Designed a functional user interface for a pastry shop website, integrating specific delivery service functionality.
*   Leveraged advanced Figma capabilities to build scalable designs, with a specialized focus on utilizing Auto Layouts.
*   Applied core design principles to ensure a cohesive and intuitive user experience.

**TECHNICAL SKILLS**

*   **Design Tools:** Figma (including Advanced Auto Layouts).
*   **UI/UX Strategy:** Wireframing, Responsive/Adaptive Design, Market Research.
*   **Visual Design:** Brand Identity, Typography, Color Theory, Mood Boarding."
98290,"[NAME]
[Contact Information]

**PROFESSIONAL SUMMARY**
Highly motivated and adaptable individual with a solid foundation in graphic design software. Demonstrates a proven aptitude for rapidly mastering new digital tools and technologies. Dedicated to continuous professional development and capable of effectively navigating complex challenges and evolving project requirements.

**TECHNICAL SKILLS**
*   Adobe Photoshop
*   Adobe Illustrator
*   Figma

**CORE COMPETENCIES**
*   **Rapid Skill Acquisition:** Demonstrated ability to quickly achieve proficiency in new software and technical workflows.
*   **Operational Adaptability:** Flexible approach to changing environments, capable of adjusting efficiently to new challenges and project scopes.
*   **Technical Development:** Committed to the ongoing refinement of graphic design skills and the mastery of industry-standard applications."
98291,"[NAME]
[Contact Information]

**PROFESSIONAL SUMMARY**
Motivated UI/UX Designer and Quality Assurance professional dedicated to creating seamless, functional, and user-centric digital experiences. Skilled in conducting comprehensive user research and translating complex requirements into intuitive interface designs. Technical proficiency includes executing test cases, managing bug reports, and utilizing SQL for data verification. Fast learner committed to enhancing business productivity through user-friendly solutions.

**SKILLS**
*   **UI/UX Design:** User Research, Competitive Analysis, Wireframing, Prototyping, User Flow, Customer Journey Mapping (CJM), Jobs-to-be-Done (JTBD), Adaptive Design.
*   **Quality Assurance:** Test Case Execution, Bug Reporting, SQL Database Verification, Software Quality Control.
*   **Tools:** Figma, Adobe Illustrator, Slack.

**PROJECTS**

**Web Service “Medical Clinic” | Study Project**
*   Designed a visual solution for a private medical clinic web service, facilitating doctor-patient meetings and online consultations.
*   Conceptualized interface features for speech recognition technology to automate documentation and reduce administrative time for physicians.
*   Structured a patient-centric search system allowing users to independently select doctors based on specific criteria and ratings.
*   **Key Deliverables:** Baseline study, brainstorming, Jobs-to-be-Done (JTBD), User Flow, Customer Journey Mapping (CJM), prototyping, UI design, and adaptation.

**Redesign for “A Kids Place Childcare” | Study Project**
*   Executed a comprehensive website redesign for a childcare center in North Olmsted, Ohio, establishing a visual identity that reflects a nurturing, fun, and safe environment.
*   Delivered a well-structured, modern, and user-friendly interface to improve site navigation and user engagement.
*   **Methodology:** Conducted User Research, Competitive Analysis, Wireframing, and Prototyping.

**TECHNICAL EXPERIENCE**
*   Created and executed detailed test cases to ensure software quality and functional stability.
*   Generated comprehensive and accurate bug reports to assist developers in identifying and resolving issues efficiently.
*   Utilized SQL to query databases for data verification and accuracy checks."
98292,not_successfully_modified
98293,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Top-Rated Freelance UI/UX Designer with specialized training in Advanced UI/UX Design. Proven expertise in architecting complex CRM systems, developing scalable component libraries, and executing end-to-end mobile application designs. Skilled in bridging the gap between design and development to deliver responsive, user-centric solutions for global clients.

**PROFESSIONAL EXPERIENCE**

**Freelance UI/UX Designer** | Upwork
*April 2020 – Present*
*   Achieved and maintained ""Top Rated"" status by consistently delivering high-quality design solutions for a diverse global client base.
*   Executed comprehensive CRM re-designs and engineered new CRM system architectures to optimize user workflows.
*   Developed a specialized component library for a site-builder service, ensuring visual consistency and system scalability.
*   Directed the full design lifecycle of user-centric mobile applications, moving from initial concept to final high-fidelity layouts.

**UI/UX Design Contributor** (Project-Based)
*July 2019 – August 2019*
*   Designed and optimized landing pages for educational course providers.
*   Collaborated directly with development teams regarding the testing and visual implementation of CRM and web-design projects.
*   Leveraged successful project outcomes to transition into advanced professional UI/UX specialization.

**EDUCATION**

**Advanced UI/UX Design** | IT School Hillel
*September 2019 – March 2020*
*   **Credential:** First-Class Degree Diploma (Ranked 2nd in student rating).
*   **Diploma Project:** Designed a comprehensive CRM System for a sports complex.
*   **Key Curriculum:** UX analysis and investigation, prototyping, typography, grid compositions, UI animation, color systems, and responsive design.

**TECHNICAL SKILLS**

*   **Design & Architecture:** UI/UX Design, Mobile App Design, Web Design, CRM Systems, Landing Page Design.
*   **Technical Implementation:** Component Libraries, Responsive Design, Developer Hand-off.
*   **Visual & Research:** User Analysis, Prototyping, Typography, Grid Systems, Color Theory, UI Animation.

**PROFESSIONAL DEVELOPMENT**
*   Active engagement in continuous professional development through design-related online coursework to maintain currency with industry trends and emerging tools."
98294,"**UI/UX DESIGNER**

**PROJECTS**

**Food Delivery App**
*April 2023 – May 2023*
*   Conducted **Competitor Analysis** and developed **Personas**, **Empathy Maps**, and **Customer Journey Maps (CJM)**.
*   Designed **Site Maps** and **User Flows**.
*   Executed **Wireframing**, **Concept Development**, and **Visual Design**.

**Craft Beer Brewery Landing Page**
*June 2023*
*   Performed **Competitor Analysis**, **Information Architecture**, and **Moodboarding**.
*   Developed **Wireframing**, **Visual Design**, and **Animation**."
