,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
98373,"[Name]
[Phone Number] | [Email Address]
[Link to Behance Portfolio]

**PROFESSIONAL SUMMARY**
UI/UX Designer with experience leading design teams and executing end-to-end digital product designs. Skilled in Figma, UX research methodologies, and responsive interface design. Proven ability to deliver high-fidelity prototypes and user-centric solutions for web and mobile platforms through comprehensive competitor analysis and user strategy.

**TECHNICAL SKILLS**
*   **Design Tools:** Figma
*   **UX Research & Strategy:** Competitor Analysis, Customer Journey Mapping (CJM), User Flows, Jobs to be Done (JTBD), Personas, Wireframing, Prototyping
*   **UI Design:** Responsive Web Design (Mobile, Tablet, Desktop), Bootstrap 5 Design System

**PROJECT EXPERIENCE**

**Neaty Kitty** | Cleaning Service Web Platform
*Role: Team Leader*
*   Directed a design team of three to develop a comprehensive web platform for a cleaning service utilizing the Bootstrap 5 design system.
*   Established design strategy by conducting in-depth competitor analysis to identify market gaps and opportunities.
*   Synthesized user research into target audience profiles using Jobs to be Done (JTBD) frameworks and Personas.
*   Engineered Customer Journey Maps (CJM) and User Flows to ensure an intuitive, uncluttered user interface.

**Tap the Table** | Restaurant Reservation Mobile Application
*Role: Team Leader*
*   Co-led the end-to-end product design for a mobile application focused on specific table reservations.
*   Managed the full design lifecycle, progressing from initial research and User Flow creation to structural wireframing.
*   Delivered a finalized user interface and a fully interactive high-fidelity prototype.

**Yours Sports Bar** | Website Redesign
*Role: UI/UX Designer (Personal Project)*
*   Spearheaded the complete redesign of an existing sports bar website to improve visual hierarchy and usability.
*   Performed comprehensive audits of the current website and competitor platforms to inform strategic design improvements.
*   Produced wireframes and executed final responsive UI designs optimized for laptop, tablet, and mobile devices.

**Tattoo Salon** | Landing Page Design
*Role: UI/UX Designer (Personal Project)*
*   Designed a targeted landing page grounded in market research and comparative analysis.
*   Executed the visual design process from initial reference gathering and low-fidelity wireframing to final UI delivery.

**EDUCATION**

**GoIT** | UI/UX Design Certification
*   Completed an intensive curriculum covering the full UI/UX design lifecycle.
*   Delivered 4 comprehensive projects including 2 collaborative team projects and 2 individual projects."
98374,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
UI/UX Designer focused on user-centered design solutions and continuous professional growth. Proficient in the full design lifecycle, ranging from user research to high-fidelity prototyping. Adept at executing individual projects and collaborating within cross-functional teams to deliver modern digital experiences.

**KEY SKILLS**
*   **UI/UX Design:** Full Design Cycle, Low & High-Fidelity Prototyping, Site Modernization, Landing Page Design, Visual Style Development.
*   **User Research:** Competitor Analysis, User Persona Creation, Design Strategy.
*   **Collaboration:** Teamwork, Design Brief Adherence, Content Integration.

**PROJECT EXPERIENCE**

**Lost Pets (Web Service)** | *Team Project*
*   Executed the full design cycle for a web-based missing animal service within a collaborative team setting.
*   Steered design decisions through rigorous competitor analysis and the development of detailed user personas.
*   Delivered end-to-end design solutions, progressing from low-fidelity wireframes to high-fidelity interactive prototypes.
*   Managed content curation and integration to ensure a high-quality, cohesive user interface.

**Hotel and Restaurant Complex** | *Individual Project*
*   Spearheaded a comprehensive website redesign project as an individual contributor.
*   Performed in-depth competitor analysis to formulate a strategic design direction.
*   Modernized site architecture and visual identity to improve user experience and aesthetic appeal.

**Citroen C4 Landing Page** | *Individual Project*
*   Designed a targeted landing page specifically for vehicle test drive registrations.
*   Ensured strict adherence to client specifications and design briefs to meet project requirements.

**Mobile Application Development** | *Team Project*
*   Contributed to the collaborative development lifecycle of a mobile application, working alongside team members to support project goals."
98375,"**SUMMARY OF QUALIFICATIONS**

*   **Design Expertise:** Demonstrated ability to design responsive landing pages, websites, web services, and mobile applications.
*   **Technical Proficiency:** Skilled in Adaptive Design, UI/UX Design, User Flow creation, Wireframing, and UI-Kit development.
*   **Research & Strategy:** Experienced in conducting competitor analysis, developing detailed user personas, and defining user problems to align with business needs.

**PROJECT EXPERIENCE**

**Openmind** | *Couchsurfing Web Service*
*Collaborative Team Project*

**Project Scope:** Co-developed a global web service facilitating accommodation exchange, connecting travelers with hosts worldwide.

**Key Contributions:**
*   **UI/UX Design:** Led the end-to-end design for the ""Host"" profile, creating intuitive workflows for user registration, housing listings, profile management, and in-app messaging.
*   **User Research:** Conducted comprehensive competitor analysis to identify market gaps. Developed the ""Host"" user persona, mapping out background stories, pain points, and usage goals to inform design decisions.
*   **System Design:** Engineered a comprehensive UI-Kit to ensure visual consistency and scalability across the platform.
*   **Adaptive Design:** Optimized web pages for full responsiveness, ensuring seamless functionality across mobile phones and tablets.
*   **Prototyping:** Translated requirements into user flows and detailed wireframes, progressing to high-fidelity UI improvements.

**RELEVANT COURSEWORK**

**Design Training**
*   Completed practical projects involving the design of landing pages, multi-page websites, web services, and mobile applications.
*   Implemented adaptive design principles to optimize layouts for various digital platforms and device sizes."
98376,"**JULIA**
**UX/UI Designer**

**PROFESSIONAL SUMMARY**
UX/UI Designer with a professional background in photography, leveraging strong visual composition and attention to detail to create intuitive digital experiences. Proficient in Figma and ProtoPie with hands-on experience in end-to-end design processes, including user research, wireframing, and prototyping. Collaborative team player dedicated to delivering user-centric solutions and aesthetic functionality in commercial environments.

**SKILLS**
*   **Design Tools:** Figma, ProtoPie.
*   **UX Research:** Competitor Analysis, User Personas, User Journey Mapping.
*   **UI Design:** Wireframing, High-Fidelity Prototyping, Mobile App Design, Web Design, Responsive Design, Interface Animation.
*   **Core Competencies:** Visual Communication, Creative Problem Solving, Team Collaboration, Attention to Detail.

**PROJECT EXPERIENCE**

**Buyland | Supermarket Mobile App (Team Project)**
*   Designed a mobile scan-and-pay solution aimed at eliminating checkout queues and streamlining the in-store shopping experience.
*   Executed the full design lifecycle, including conducting competitor analysis, defining target audience personas, and mapping comprehensive user journeys.
*   Translated research insights into high-fidelity wireframes and interactive prototypes using Figma.
*   Established a clean aesthetic and intuitive interface to maximize user adoption and satisfaction.

**Clean Up | Cleaning Service Web Platform (Team Project)**
*   Created a user-friendly responsive web platform to facilitate service bookings and drive customer acquisition.
*   Implemented responsive design principles to ensure seamless functionality and optimization across mobile, tablet, and desktop devices.
*   Managed the end-to-end UX/UI process: from initial research and persona definition to wireframing and final UI execution.
*   Developed an inviting visual identity through strategic color palette and typography choices to build brand trust.

**Mainsail Realty Company | Website Redesign (Individual Project)**
*   Spearheaded the website redesign for a Florida-based real estate firm with a 20-year market history.
*   Tailored the user interface to a specific demographic of middle-aged homebuyers and investors, prioritizing accessibility and clarity.
*   Delivered a minimalist, navigation-friendly design that effectively showcased personalized services and improved information architecture.

**Library App | Mobile App Design (Individual Mini-Project)**
*   Designed engaging onboarding sequences and core interface pages using Figma.
*   Integrated advanced micro-interactions and animations using ProtoPie to enhance interface vitality and user engagement.

**Flower App | Mobile App Design (Individual Mini-Project)**
*   Developed comprehensive user flows including onboarding, registration, main dashboard, and product card layouts.
*   Produced high-fidelity video presentations of the interface utilizing advanced Figma animations.

**IT School Dashboard | Dashboard Design (Individual Mini-Project)**
*   Structured and designed a comprehensive data visualization dashboard tailored for educational institution management.

**EDUCATION**
**UX/UI Design Course**
GoIT

**PREVIOUS EXPERIENCE**
**Photography**
Applied principles of visual storytelling, composition, and aesthetics to transition effectively into digital product design and UX/UI."
98377,"**Freelance UI/UX & Graphic Designer**

**Professional Summary**
Detail-oriented Designer focused on creating stylish, high-quality, and user-friendly digital experiences. Possesses a strong foundation in user interface perception and compositional construction. Committed to continuous professional development to maintain expertise in modern design trends. specialized in e-commerce, landing page design, and mobile application interfaces.

**Core Competencies**

*   **UI/UX Design:** Mobile Interfaces, User Interface Perception, Compositional Construction, Usability & Convenience.
*   **Web & Graphic Design:** Online Stores, Landing Pages, Advertising Banners, Creative Assets.
*   **Technical Workflow:** Prototyping, Sketching, Project Design Sequencing.

**Professional Experience**

**Freelance Designer** | *Current*

*   Design and develop comprehensive digital projects, ranging from online stores and landing pages to mobile user interfaces.
*   Executed a specialized landing page design for a jewelry store, optimized to attract a wider potential audience.
*   Create visual assets and advertising banners to support marketing initiatives.
*   Implement a structured design workflow, utilizing sketching and prototyping to ensure high-quality project execution.
*   Apply principles of user interface perception to maximize ease of use and convenience for the end-user.

**Professional Development**

**Independent Coursework & Educational Projects**
*   Engage in active, self-directed training to master diverse design styles and methodologies.
*   Analyze and apply modern design trends to ensure contemporary visual solutions.
*   Completed extensive educational projects focused on refining technical skills in web and interface design."
98378,"[Name]
[Phone Number] | [Email Address] | [Portfolio Link]

**PROFESSIONAL SUMMARY**
Creative and analytical Designer with expertise in web and mobile application development. Skilled in the full design lifecycle, ranging from user research and wireframing to the creation of responsive, high-fidelity prototypes. Proficient in applying usability principles and graphic design methodologies to deliver user-centric digital products. Proven track record of effective collaboration within team environments and independent project management.

**TECHNICAL SKILLS**
*   **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator, Corel Draw, Canva.
*   **Design Expertise:** UI/UX Design, Responsive/Adaptive Design, Wireframing, Information Architecture, Typography, Color Theory, Usability Principles.
*   **Key Competencies:** Analytical Thinking, Creative Problem Solving, Team Collaboration, Project Planning.

**PROJECT EXPERIENCE**

**Portfolio Highlights**
*   **Real Estate Website Redesign**
*   **Pet Search Web-Service**
*   **Volunteer Website** (Social Project)

**Design Methodology & Execution**

**User Research & Strategy**
*   Executed competitor research and market analysis to clearly define project goals and identify target audiences.
*   Developed detailed user personas and mapped user flows to ensure logical, intuitive navigation structures.
*   Defined information architecture, organizing main content blocks and elements to establish a clear hierarchy.

**UI/UX Design & Prototyping**
*   Designed wireframes for website and service pages utilizing Figma and Adobe Photoshop.
*   Analyzed layout composition and element arrangement to ensure ease of perception and maximum usability.
*   Implemented responsive design specifications to guarantee seamless functionality across various devices and screen resolutions.

**Visual Design & Optimization**
*   Curated color schemes, typography, and graphics to create coherent and memorable visual experiences.
*   Developed aesthetically pleasing interface designs focused on balance, composition, and ease of use.
*   Designed strategic Calls-to-Action (CTAs) to direct user attention and drive interaction.
*   Optimized images and media elements to accelerate page loading times and enhance the overall user experience."
98379,"**UX/UI Designer**

**Professional Summary**
UX/UI Designer specializing in web application development, adaptive design, and end-to-end prototyping. Proficient in Figma, with advanced skills in Auto Layout, components, variants, and animation. distinct ability to structure large-scale tasks and translate complex requirements into intuitive, attractive user interfaces. Skilled in the full design lifecycle, from user research and wireframing to high-fidelity prototyping and usability testing.

**Technical Skills**
*   **Design Software:** Figma (Auto Layout, Components, Variants, Smart Animate).
*   **UX Design:** Sitemaps, Userflows, Lo-Fi & Hi-Fi Wireframing, Prototyping, Nielsen Heuristics Analysis, User Testing, Adaptive Design.
*   **UI Design:** UI Kits, Visual Design, Typography, Color Theory, Mood Boards, Layout Design.
*   **Research:** Competitor Analysis, Target Audience Analysis, Client Briefing, Secondary Research.
*   **Core Competencies:** Project Management, Workflow Organization, Decision Argumentation, Time Management.

**Project Experience**

**E-commerce Web Application** | *Textile and Material Manufacturer*
*Designed a B2C web platform to automate goods ordering and digitize the brand presence for remote customers.*

*   Led the end-to-end design process, including project research, competitor analysis, and definition of the target audience to inform the product strategy.
*   Architected the information structure by creating sitemaps and userflows, transitioning into Lo-Fi and Hi-Fi wireframes.
*   Designed a functional product catalog featuring advanced filters, sorting, and detailed product cards to enhance discoverability.
*   Implemented a comprehensive checkout flow, designing a shopping cart that allows for order editing, delivery selection, and payment processing.
*   Conducted Nielsen Heuristics analysis and usability testing, achieving top performance results in CSAT, Completion Rate, and Task Time metrics.
*   Delivered final design assets, including Mood boards, UI kits, and high-fidelity prototypes.

**Social Landing Page** | *Animal Shelter Adoption Platform*
*Designed a responsive landing page to facilitate pet adoption and shift public perception regarding shelter animals.*

*   Developed a stylish, optimistic aesthetic specifically aimed at combating gloomy stereotypes associated with animal shelters.
*   Designed an engaging 10-block interface to present project details, educational content, and myth-busting information.
*   Integrated an interactive adoption form, enabling users to efficiently select and apply for pets.
*   Executed primary and secondary research, leading brainstorming and sketching sessions to establish the visual direction.
*   Created Lo-Fi and Hi-Fi wireframes, mood boards, and UI kits, culminating in a finalized interface and interactive prototype."
98380,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Link to Portfolio]

**PROFESSIONAL SUMMARY**

Junior UX/UI Designer leveraging a unique background in furniture and interior design to create structured, aesthetically pleasing digital experiences. Skilled in the full design lifecycle, from conducting UX research and wireframing to delivering adaptive high-fidelity prototypes. Proven ability to translate user needs into intuitive interfaces for landing pages, web services, and mobile applications while adhering to strict deadlines.

**SKILLS**

*   **UX Design:** User Research, Personas, User Flows, Wireframing, Prototyping, Competitor Analysis.
*   **UI Design:** Adaptive & Responsive Design, UI Kits, Animation, Visual Design.
*   **Tools:** Figma.
*   **Core Competencies:** Creative Problem Solving, Attention to Detail, Time Management, Cross-functional Teamwork.

**PROJECT EXPERIENCE**

**FinEasy Web Service** | *Collaborative Web Service for Finance*
*   Designed a collaborative web platform tailored for accountants and entrepreneurs.
*   Spearheaded UX research initiatives, defining detailed user personas and mapping user flows to optimize platform logic.
*   Developed adaptive UI components and integrated engaging animations to ensure a seamless experience across all device types.

**Urban Festival Landing Page** | *Event Promotion Platform*
*   Executed the end-to-end design lifecycle for a large-scale urban festival landing page.
*   Performed in-depth competitor analysis to inform the creation of structural wireframes and final UI assets.
*   Implemented fully responsive layouts, optimizing the interface for tablet and mobile accessibility.

**Mexican Restaurant Website Redesign** | *Hospitality Website Renewal*
*   Executed a complete redesign of an existing restaurant website using Figma to elevate user engagement.
*   Developed structural wireframes based on rigorous competitor analysis and modern design standards.
*   Delivered a polished UI with a focus on fluid animations and adaptive screen configurations.

**“BusinessUp by Podvigina”** | *Educational Course Landing Page*
*   Designed a conversion-focused landing page for a practical business course.
*   Successfully delivered high-quality design assets under accelerated deadlines.
*   Integrated specific UI kits and custom animation elements to enhance visual storytelling.

**ADDITIONAL EXPERIENCE**

**Furniture and Interior Design**
*   Applied principles of spatial design, ergonomics, and aesthetics to physical environments, providing a strong foundation for digital layout and structure."
98381,"**UX/UI & WEB DESIGNER**

**PROFESSIONAL SUMMARY**

Designer with specialized training in UX/UI, mobile, and web design. Skilled in the full design lifecycle, ranging from initial client briefings and foundational UX research to the creation of adaptive interfaces and final client presentations. Proficient in applying visual design principles—including typography, grid systems, and color theory—to deliver user-centric digital solutions.

**CORE COMPETENCIES**

**User Experience (UX) Strategy & Research**
*   Conducts foundational UX research, including competitive analysis and business area assessments to inform design decisions.
*   Develops User Personas, Customer Journey Maps (CJM), and User Flows to visualize and optimize the user experience.
*   Facilitates customer briefings to effectively gather and document project requirements.
*   Builds interactive prototypes to test and validate design concepts.

**User Interface (UI) & Web Design**
*   Designs adaptive landing pages, e-commerce platforms, and corporate websites focused on responsiveness and usability.
*   Develops intuitive interfaces for mobile applications.
*   Applies strong visual design principles, utilizing typography, grids, and color theory to establish specific moods and atmospheres.

**Graphic Design & Branding**
*   Creates custom logos and font-based brand identities.
*   Designs engaging banners for social media marketing campaigns.
*   Produces print collateral and outdoor advertising materials.

**Project Management & Client Relations**
*   Develops comprehensive project presentations to articulate design rationale.
*   Presents design projects to clients, effectively communicating concepts and deliverables.

**EDUCATION**

**2021 | Projector**
*   Junior Web Designer Courses (Instructors: Alex Kim, Den Potapov)
*   Font Logo Courses (Instructor: Kate Jacushek)

**2020 | Mobios School**
*   UX/UI Design and Mobile Design Courses"
98382,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio]

PROFESSIONAL SUMMARY
UX/UI Designer focused on User Experience and creating effective web solutions. Dedicated to solving usability challenges through research, wireframing, and prototyping. Active participant in the design community, continuously refining skills through design marathons and industry meetups. Committed to professional growth and contributing to a collaborative team environment.

EXPERIENCE

**Freelance UX/UI Designer**
*Project-Based | 1 Month*

*   Redesigned a legacy application to enhance user interface standards and optimize functionality.
*   Developed wireframes and interactive prototypes to visualize design concepts and user flows.
*   Conducted visual research and gathered references to produce initial design sketches.
*   Created comprehensive branding materials, including logo design and redesigns.
*   Produced multimedia assets for social media channels, including YouTube and Instagram banners.

PROFESSIONAL DEVELOPMENT

*   **Web Design Marathons:** Completed multiple design marathons to refine workflow speed and technical execution.
*   **Design Community:** Active attendee of professional design meetups to maintain current knowledge of industry trends and best practices.
*   **Portfolio Development:** Developed a comprehensive portfolio demonstrating end-to-end design processes and case studies.

SKILLS

**Design Software**
*   Figma
*   Adobe Photoshop
*   Adobe InDesign
*   InVision (Basic)
*   Adobe Illustrator (Basic)

**Technical Skills**
*   HTML/CSS (Basic knowledge of development process)

**Soft Skills**
*   Workflow Organization
*   Time Management
*   Team Communication

**Languages**
*   English (Advanced)"
98383,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Link to Portfolio]

**PROFESSIONAL SUMMARY**

UI/UX Designer with a robust background in market research and data analysis. Skilled in translating user insights into intuitive visual designs, wireframes, and prototypes using Figma and Adobe Photoshop. Experienced in executing competitor analysis, defining complex user flows, and collaborating cross-functionally with QA departments for regression testing and design implementation. Committed to user-centric design principles with a focus on animation and 3D modeling.

**SKILLS**

*   **Design & Strategy:** UI/UX Design, User Research, Competitor Analysis, User Flows, Wireframing, Prototyping, Typography, Color Theory, UIKit Creation.
*   **Software & Tools:** Figma, Adobe Photoshop, Miro.
*   **collaboration & QA:** Regression Testing, QA Collaboration, Design-to-Development Handoff.

**PROJECTS**

**HelpPets** | *Web Service Design*
*   Collaborated within a team to design a web platform dedicated to volunteer coordination and lost pet recovery.
*   Conducted in-depth competitor analysis to drive the creation of the project’s Typography system and UIKit.
*   Developed user flows and high-fidelity UI designs specifically tailored for pet owners searching for lost animals.
*   Conceptualized and presented advanced feature proposals, including AI-driven assistance for predicting pet movements.
*   **Tools:** Figma, Figma Mock-ups, Adobe Photoshop.

**Destin/Tattoo** | *Website Redesign*
*   Executed a comprehensive UX audit of an existing tattoo salon website to identify and diagnose usability pain points.
*    performed competitor and user analysis to inform and validate design decisions.
*   Established a new design system featuring updated color palettes and typography, resulting in optimized user flows.
*   Enhanced overall site usability through a user-centered redesign approach.
*   **Tools:** Figma.

**PROFESSIONAL EXPERIENCE**

**Research Manager** | [Name of Entertainment/Crypto Company]
*1 Year 3 Months*

*   Led extensive market research initiatives, collecting and analyzing data regarding target audiences, competitors, and legal policies across international markets.
*   Bridged the gap between analytical research and product design by collaborating with the QA department to assist with UI/UX tasks.
*   Performed regression testing during final project phases to ensure design quality and functionality.

**EDUCATION & CERTIFICATION**

*   **Hillel IT School:** Basic UI/UX Course Completion
*   **GoIt School:** UI/UX Webinar Completion

**INTERESTS**

*   Animation and Motion Design
*   3D Design
*   Mock-up Creation"
98384,"**PROFESSIONAL OBJECTIVE**

Seeking a full-time position with a focus on simplifying business processes and enhancing daily life through effective design. Committed to contributing to a collaborative team environment that values mutual respect, continuous learning, and professional development.

**PROJECT EXPERIENCE**

**UkrainianPets | Web Service for Finding Lost Pets**
*Team Project*

*   Co-developed a web platform designed to connect pet owners with the community to locate missing animals.
*   Conducted UX research by creating User Personas and defining Jobs-to-be-Done (JTBD) to guide interface decisions.
*   Designed core interface pages, including ""Lost"" and ""Found"" listings and ""My Ads"" for user account management.
*   Created interactive UI components, including submission forms and drop-down menus, to streamline the user experience.
*   Collaborated closely with team members to ensure visual consistency and project functionality.

**India Cafe | Website Redesign**
*Independent Work*

*   Executed a comprehensive redesign of an existing culinary website to resolve issues with outdated aesthetics and information gaps.
*   Implemented a minimalist design strategy focused on improving user engagement and visual quality.
*   Established a strong visual hierarchy and logical structure while strictly adhering to accessibility standards.
*   Delivered a modernized, user-friendly interface that elevated the brand presentation.

**Flower Shop | Landing Page**
*Independent Work*

*   Designed a responsive landing page specifically to market new bouquet delivery services.
*   Developed a modern layout utilizing a distinct color scheme and curated imagery to differentiate the brand from competitors.
*   Optimized the page structure to showcase arrangements effectively and streamline the order placement process for visitors."
98385,"**UI/UX DESIGNER**
2022 – Present

**PROFESSIONAL SUMMARY**
 innovative UI/UX Designer skilled in the full product development lifecycle, from conceptualization and wireframing to high-fidelity design and responsive front-end implementation. Proficient in translating complex requirements into functional, attractive HTML5/CSS3 pages. Demonstrated success in collaborating with development teams and diverse clients to deliver user-centric digital products that strictly adhere to brand guidelines.

**TECHNICAL SKILLS**
*   **Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop, Procreate.
*   **Front-End Development:** HTML5, CSS3, SASS, SCSS, Responsive Web Design.
*   **Core Competencies:** UI/UX Design, Wireframing, Component Creation, Corporate Identity, Logo Design, Custom Illustrations, Social Media Assets.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
*2022 – Present*

*   Deliver end-to-end web solutions by managing the full design lifecycle: providing concepts, building wireframes, creating high-fidelity designs, and implementing clean, responsive code using HTML and CSS (SASS/SCSS).
*   Design intuitive and user-friendly interfaces for web pages, blog sites, and mobile applications for a diverse client base.
*   Develop comprehensive corporate identities and branded materials, including company logos, social media assets, and custom illustrations.
*   Collaborate closely with clients and development teams to ensure technical feasibility and successful project delivery.
*   Apply core UI/UX principles to ensure products optimize functionality and visual appeal while maintaining strict consistency with existing brand guidelines.

**KEY PROJECTS & COMMERCIAL EXPERIENCE**

**JetIQ (Vinnitsa National Technical University)** | *2022 – 2023*
*   Executed full-scope design creation, wireframing, component library development, and layout implementation for web and mobile applications.

**Innovexa**
*   Designed a specialized landing page for a data security services provider.

**Anitime**
*   Designed the mobile application interface for an anime streaming platform.

**EDUCATION & CERTIFICATIONS**

*   **Junior Front-end Developer** | EPAM University
*   **UI/UX Designer** | Taras Shipka"
98386,"**PROFESSIONAL SUMMARY**

Dedicated and fast-learning design professional seeking a full-time position focused on creating intuitive, user-friendly solutions that enhance productivity and business efficiency. Committed to delivering modern design strategies and ready to undertake challenging tasks in UI/UX and system design.

**PROJECT EXPERIENCE**

**VDOMA – Web Service**
*   Designed an end-to-end animal search web service aimed at accelerating the process of reuniting owners with lost pets.
*   Executed the full design lifecycle, including comprehensive competitor analysis, user persona creation, prototyping, and system design.
*   Developed the User Interface (UI) and implemented full responsive adaptation to ensure a seamless and easy-to-use experience across devices.

**Custom Concept Tattoo & Design – Website Redesign**
*   Led the redesign of a tattoo studio website to modernize outdated visuals and resolve layout inconsistencies across various media formats.
*   Focused on implementing a convenient, contemporary design with responsive adaptation to drive customer interest.
*   Identified and resolved prior usability issues to significantly improve the overall user experience.

**Flover Lover – Landing Page**
*   Developed a promotional landing page to advertise new opportunities for bouquet orders and delivery services.
*   Established the visual direction through competitor analysis and the creation of a mood board prior to the main design phase.
*   Delivered a streamlined, one-page site utilizing a soft color palette to ensure ease of use in strict adherence to customer requirements."
98387,"**[Your Name]**
[Phone Number] | [Email Address] | [Portfolio URL]

**PROFESSIONAL SUMMARY**

UX/UI Designer dedicated to crafting user-centered digital experiences through rigorous design processes. Focuses on comprehensive user research, thoughtful ideation, and validation testing to ensure high-quality solutions. Committed to driving design innovation and user satisfaction within cross-functional team environments.

**PROJECT EXPERIENCE**

**Indian Cafe User Interface Redesign**
*   Redesigned the complete user interface for a dining establishment, spanning the full web service and landing page.
*   Executed mobile application optimizations to elevate visual appeal and enhance overall usability.

**f.Lover – Flower Delivery Mobile Application**
*   Collaborated with a development team to create a mobile application for the online ordering and delivery of floral arrangements and gifts.
*   Conceptualized and implemented features to provide users with curated gift and flower recommendations.
*   Designed scheduling interfaces allowing users to coordinate orders for specific dates, times, and upcoming special occasions."
98388,"**PROFESSIONAL SUMMARY**

UI/UX Designer with a strong foundation in theoretical and technical design principles. Experienced in executing projects both independently and as a team leader with a proven ability to translate creative concepts into user-friendly interfaces. Dedicated to creating products that address specific customer needs. Seeking a remote full-time or freelance position that offers mentorship and opportunities for professional growth.

**CORE COMPETENCIES**

*   **User Experience (UX):** Competitor Analysis, Persona Development, User Research, User Flows, Information Architecture.
*   **User Interface (UI):** Wireframing, High-Fidelity Mockups, Interactive Prototyping, Responsive Design (Desktop, Tablet, Mobile).
*   **Soft Skills:** Team Leadership, Remote Collaboration, Creative Ideation.

**PROJECT EXPERIENCE**

**Pet Scout | Animal Search Web Service**
*   Led the design team in the conceptualization and development of a web service dedicated to locating missing pets.
*   Executed comprehensive UX research, including competitor analysis and user flow mapping to define product requirements.
*   Developed the information architecture and applied core design principles to drive a compelling user experience.
*   Collaborated remotely to deliver end-to-end design assets, from initial wireframes to high-fidelity interactive prototypes.

**Flowers Delivery | Mobile Application**
*   Designed an intuitive mobile interface for an online flower ordering service, facilitating global customer orders.
*   Conducted persona research to accurately identify customer demands and address pain points.
*   Engineered a seamless user journey optimized specifically for the mobile environment to enhance user comfort.

**Barbershop | Landing Page**
*   Created a fully responsive landing page (Desktop, Tablet, and Mobile) enabling users to browse services and book appointments.
*   Guided design decisions through rigorous competitor analysis and user persona development.
*   Utilized diverse research methods to ensure the interface aligned with potential client needs.

**Tattoo Studio | Website Redesign**
*   Redesigned a tattoo salon website to streamline the user flow for browsing artist portfolios and booking consultations.
*   Conducted statistical analysis of competitor demographics (including age and gender) to inform design strategy.
*   Leveraged data insights to construct a visually engaging and intuitive user interface."
98389,"[Your Name]
[Your Contact Information]
[Link to Portfolio]

**PROFESSIONAL SUMMARY**

UI/UX Designer specializing in web and mobile applications with expertise in transforming concepts into functional, user-centric solutions. Dedicated to creating designs that are visually appealing, solve complex user challenges, and optimize daily goals. Proven ability to manage the full design lifecycle, working effectively both as a collaborative team member and an independent contributor. Seeking a full-time position to apply creative problem-solving skills and drive interface improvements within a dynamic team environment.

**SKILLS**

*   **Software:** Figma, Adobe Illustrator, Adobe Photoshop, ProtoPie.
*   **UI/UX Design:** Low & High-Fidelity Prototyping, Wireframing, Adaptive & Responsive Design, Component Creation, User Flow Creation, Landing Pages.
*   **Visual Design:** Vector Illustration, Logo Creation, Typography & Color Theory.
*   **Research & Strategy:** Competitor Analysis, UI/UX Improvement, User Research Application.

**PROJECT EXPERIENCE**

**Destin Tattoo Company | Website Redesign**
*   Spearheaded a comprehensive website redesign as the sole contributor, managing the entire lifecycle from concept to delivery.
*   Conducted in-depth competitor analysis to inform strategic design decisions and visual direction.
*   Defined the full visual identity, including typography selection, color palette definition, and custom logo development.
*   Established a comprehensive component library and constructed detailed wireframes to ensure design consistency.
*   Delivered high-fidelity prototypes featuring adaptive design optimized for both tablet and mobile interfaces.

**The Lost Pets | Web Service**
*   Collaborated within a design team to build a platform facilitating the return and adoption of animals.
*   Architected specific user flows for the ""finder"" persona, streamlining the process for individuals reporting rescued animals.
*   Designed the primary visual identity and unique logo for the web service.

**Suit Store | Mobile Application**
*   Designed a mobile e-commerce application emphasizing simplicity and user comfort to enhance the search and purchase process.
*   Developed tailored user flows based on specific male user personas to optimize the shopping experience across diverse categories.
*   Transitioned from initial team collaboration to independent project management, overseeing the workflow from prototyping through to final design execution."
