,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
98137,"# UI/UX Designer

**Lviv, Ukraine**

## Profile

UI/UX designer specializing in user-centered design principles that transform complex products into intuitive experiences. Dedicated to partnering with enterprises to design and launch new digital products and redesign existing projects. Combines rapid adaptability with strong communication skills and meticulous attention to detail.

## Education & Training

**Projector Institute**  
Web Design Beginning Course

**Udemy.com**  
UI Design Fundamentals | UX Design Fundamentals

**Professional Mentorship**  
Mentored by Valentine Skliarov, Lead Designer at Cieden

## Skills

- UI/UX Design
- User-Centered Design Principles
- Digital Product Design & Redesign
- Wireframing & Prototyping
- Cross-Functional Collaboration
- Rapid Learning & Adaptability
- Detail-Oriented Execution"
98138,"**PROFESSIONAL SUMMARY**

Detail-oriented UI/UX designer committed to clean, layered design principles and exceptional usability. Collaborative team player with strong learning agility, dedicated to crafting user-friendly, aesthetically pleasing digital solutions.

**SKILLS**

**Design Tools**
- Figma: Components, variants, auto layout, Bootstrap integration, prototyping, mockups
- Adobe Photoshop: Photo processing
- Adobe Illustrator: Basic proficiency
- Webflow: Currently developing skills

**Design Principles**
- Typography
- Grid systems
- Composition
- Color theory
- Usability principles

**DESIGN PHILOSOPHY**

Passionate about creating user-friendly designs that balance simplicity with visual appeal. Committed to discovering innovative ideas and implementing them thoughtfully to enhance user experiences.

**PROJECT EXPERIENCE**

**Educational & Practice Projects**

Designed and developed multiple UI/UX projects, including:
- Landing pages
- Authorization forms
- Interface components for educational courses and test assignments

**PROFESSIONAL DEVELOPMENT**

Currently expanding expertise in Webflow while strengthening English language proficiency."
98171,"# UI/UX DESIGNER

## PROFESSIONAL SUMMARY

UI/UX Designer with one year of experience delivering creative design solutions through freelance projects and startup collaboration. Proficient in Figma, Adobe Creative Suite, and 3D modeling tools with a strong foundation in visual design and prototyping. Detail-oriented creative professional who brings a collaborative, proactive approach to product development.

## PROFESSIONAL EXPERIENCE

**UI/UX Designer | Freelance**
- Delivered user interface and user experience solutions for client projects
- Developed creative design concepts from strategy through implementation

**UI/UX Designer | Startup**
- Collaborated with cross-functional team members on product development
- Contributed to design strategy, prototyping, and implementation

## TECHNICAL SKILLS

**Design & Prototyping:** Figma, Adobe Photoshop, Adobe Illustrator
**3D Modeling:** AutoCAD, Blender
**Additional:** Photography, Music

## CORE STRENGTHS

Creative Problem-Solving | Detail-Oriented | Collaborative | Proactive | Diligent"
98172,"# DMITRY
**UI/UX Designer**

---

## PROFESSIONAL SUMMARY
UI/UX Designer dedicated to creating modern, stylish design solutions. Committed to continuous skill development and staying current with industry trends to deliver exceptional results.

## SKILLS
- UI/UX Design
- Modern Design Principles
- Design Research
- Trend Analysis
- Continuous Professional Development

## PROFESSIONAL APPROACH
Design professional focused on applying comprehensive design expertise to deliver high-quality work that meets contemporary standards. Driven by a passion for design excellence and a commitment to ongoing growth."
98173,"**UI/UX Designer**

Experienced designer specializing in web and mobile application design. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and CorelDRAW. Proven ability to collaborate effectively in team environments while delivering projects on time and aligned with user requirements. Committed to staying current with emerging design trends and technologies to ensure optimal quality and functionality.

---

**Key Projects**

**GetPet — Web Service for Lost Animals**
Led comprehensive UX research including competitor analysis, persona development, user journey mapping, and user flow creation. Delivered wireframes and complete interface design through collaborative team development.

**Poltava Music School — Website Redesign**
Redesigned and modernized the complete interface to enhance user experience and contemporary visual appeal.

---

**Professional Objectives**

Seeking a remote position with a flexible schedule in a collaborative environment that values knowledge exchange among designers and focuses on developing competitive, high-quality products."
98245,"# Professional Summary

Design professional with comprehensive UX/UI training and freelance experience. Expertise in user research, competitive analysis, design systems, and adaptive prototyping, complemented by strong visual design and branding capabilities.

# Professional Experience

**Freelance Designer** | 6 months

- Developed visual identity for dance festival, including logo design
- Produced promotional posters for diverse client portfolio
- Delivered video rendering projects for client specifications

# Core Competencies

**Research & Strategy:** UX Research, Audience Analysis, Competitive Analysis

**Design & Development:** Design System Development, UI Kit Creation, Adaptive Design, Prototyping, Animation

**Visual Design:** Logo Design, Poster Design, Video Rendering, Branding

# Education

**Design Courses**
- Successfully defended thesis
- Currently enrolled in professional development coursework

# Technical Skills

User Experience Research | User Interface Design | Design Systems | Prototyping | Adaptive Design | Visual Design | Branding | Animation | Video Production"
98250,"**PROFESSIONAL EXPERIENCE**

**Media Buyer/Marketer**
Innovation Group | March 2016 – May 2022

- Managed end-to-end advertising network campaigns, including traffic setup and distribution
- Created and developed creatives and landing pages to support campaign objectives
- Monitored, analyzed, and optimized advertising campaign performance to maximize results

**Account Manager**
Sprava | January 2013 – February 2016

- Built strategic partnerships and cultivated long-term client relationships with focus on account development
- Acquired new customers and successfully converted them into regular clients
- Provided SEO setup assistance to support partner account monetization

---

**EDUCATION & TRAINING**

**UI/UX Design Pro**
Hillel IT School | October 2021 – May 2022

**Design Basic**
Hillel IT School | May 2021 – August 2021

---

**SKILLS**

- UI/UX Design
- Advertising Campaign Management
- Traffic Setup & Distribution
- Creative Development
- Landing Page Creation
- Campaign Analytics & Optimization
- Client Relationship Management
- Account Development
- SEO Fundamentals"
98251,"# Professional Experience

**UX/UI Designer**
Freelance | March 2023 - Present
• Conduct comprehensive user research and develop detailed user personas to inform design decisions
• Create wireframes, user flows, and high-fidelity mockups that align with user needs and business objectives
• Design and prototype interactive interfaces using Figma

**Photographer**
The Moment, Kyiv | September 2020 - February 2022
• Directed and executed studio photography sessions for groups and individual clients
• Performed professional photo retouching and designed custom photo albums
• Collaborated with cross-functional team members to deliver high-quality visual products

**Photographer**
The Svadba, Kyiv | March 2018 - April 2019
• Captured wedding photography across multiple environments including venue halls and studio settings
• Managed end-to-end photo production including retouching, album layout design, and print production
• Oversaw client photo sales and consultation

**Aviation Security Officer**
PLC ""Master-Avia"", Kyiv | April 2017 - December 2017
• Executed systematic security screening and monitoring of passenger baggage
• Maintained strict adherence to airport security protocols to ensure passenger safety
• Demonstrated strong interpersonal skills while engaging with diverse passengers and coordinating with team members

# Education & Training

**UI/UX Design Basic**
Prometeus | 2023

**Basics of Web UI Development**
Prometeus | 2022"
98252,"# PROFESSIONAL EXPERIENCE

**Web Developer**
05.2021

**VBakery**
- Developed e-commerce website featuring a comprehensive product catalog of pastries and cakes
- Designed and implemented custom cake designer tool enabling customers to create personalized confections
- Built secure user authentication system with personal accounts for saving favorites and quick reordering
- Integrated customer review system and order history tracking functionality
- Created informational pages showcasing bakery details, services, and location

**Web Developer**
06.2021

**Dim Kultury**
- Developed investment attraction platform for renovation of local heritage monuments and cultural center development
- Built multi-section website supporting community engagement and development initiatives
- Created project showcase highlighting three distinct areas:
  - ЖИВОТ: Nightclub transformation into full-service youth center with day and evening operations
  - ДІМ КУЛЬТУРИ: Cultural center hub connecting financially sustainable social business projects
  - ДВІР: Urban courtyard space featuring green theater, summer stage, and food court"
98253,"# PROFESSIONAL EXPERIENCE

**Baza Trainee Ukraine**
*June 2023 - Present*

Delivering real-world products for the social sector

- Led design teams for the Volunteer organization ""4.5.0"" website project
- Led design teams for ""1000+1 song. Kolyskovy"" — Finalist, Hackathon 4.0: Ukraine Heritage Edition

Tools: Figma, Trello, Slack, Discord, Time Tracking

**CURSOR Education**
*January 2023 - June 2023*

E-commerce platform for a craft business

- Conducted stakeholder interviews, competitor analysis, user research, and SWOT analysis
- Developed Customer Journey Maps and Information Architecture
- Designed wireframes, UI components, and interactive prototypes"
98254,"# UX/UI DESIGNER

## QUALIFICATIONS

- Completed comprehensive UX/UI design course with mastery of design fundamentals and Figma
- Proficient in creating interactive designs that enhance user engagement and product interaction
- Proven ability to redesign website interfaces with improvements that elevate user experience and accessibility

## PROJECTS

**Social Media Banners**
Designed social media banner campaigns for a charitable organization

**Fitness Coach Website Redesign**
Streamlined complex webpage layout by simplifying visual hierarchy and emphasizing key conversion elements to attract prospective clients

**Landing Page for Handmade Artist** *(UX/UI Case Study | Real Client)*
Developed a complete landing page to showcase unique products for international audiences; created wireframes, curated a natural color palette to complement the artist's aesthetic, and implemented subtle parallax animation for an engaging introduction

**Mobile App** *(UX/UI Case Study)*
Designed a mobile application allowing users to browse curated gift recommendations, select items remotely, and schedule flower deliveries for specific dates and occasions

## EXPERIENCE

Professional background spanning agencies, startups, and product companies

Developed landing pages, mobile applications, and web services"
98255,"# UI/UX DESIGNER

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive, visually appealing designs. Solid foundation in design principles, user research, interactive prototyping, and adaptive design. Eager to contribute skills and enthusiasm to create impactful, user-friendly products that elevate the user journey.

## PROJECTS

**DeliverEats Mobile Service**

Designed mobile food delivery application focused on quick ordering and streamlined user experience. Conducted UX research, wireframing, UI design, and prototyping. Published on Behance.

- Implemented prominent search functionality on home page based on target audience analysis
- Designed filtering system for quick sorting based on competitive research
- Created favorites feature for product saving
- Prioritized convenience and simplicity for intuitive navigation

**PetSearch Web Service**

Contributed to full-cycle team project developing a web service for locating lost animals. Designed comprehensive user experience serving two distinct user types: pet owners searching for lost pets and individuals who found animals. Published on Behance.

- Conducted UX research and created personas, user flows, JTBD, and CJM
- Designed wireframes, UI, and interactive prototypes
- Developed adaptive design for mobile devices
- Selected warm color scheme based on target audience analysis
- Streamlined functionality to accelerate user actions

## SKILLS

**Research & Strategy:** UX Research, Competitive Analysis, Personas, User Flows, Jobs To Be Done, Customer Journey Mapping

**Design & Prototyping:** Wireframing, UI Design, Adaptive Design, Interactive Prototyping

**Portfolio:** Behance"
98256,"# Portfolio Projects

## FlowerLower
Landing page for flower delivery company

**Responsibilities:**
- Conducted competitor analysis and market research
- Created high fidelity wireframes
- Developed comprehensive UI style guides including typography, responsive layouts, color palette, and button systems

## Mimino
Georgian cuisine restaurant website redesign

**Responsibilities:**
- Conducted competitor analysis and market research
- Created high fidelity wireframes
- Developed UI Kit encompassing typography, responsive layouts, color palette, and component library
- Built interactive prototypes
- Designed mobile and tablet adaptations

## Wanderstay
Couchsurfing web-service (Team project)

**Responsibilities:**
- Conducted competitor analysis and market research
- Applied design thinking methodology
- Developed JTBD frameworks and user personas
- Designed information architecture and user flows
- Created customer journey maps
- Produced wireframes and interactive prototypes
- Designed dashboard interface and 404 page
- Implemented parallax effects
- Delivered mobile and tablet adaptations"
98257,"# UX/UI Designer

## Professional Summary

UX/UI Designer skilled in end-to-end product development, from competitive analysis and user research through prototyping and design implementation. Proven ability to deliver complete design solutions across diverse industries.

## Professional Experience

**Web Cleaning Service ""CLEAN""**
*UX/UI Designer*

Led independent development of a web-based platform connecting cleaning service providers with clients, managing all phases from initial research to final design delivery.

- Executed comprehensive competitor analysis and UX/UI research
- Designed user flows, sitemaps, and information architecture
- Developed interactive prototypes and payment page interfaces
- Delivered end-to-end design solution for marketplace platform

**India Cafe Website Redesign**
*UX/UI Designer*

Redesigned existing restaurant website to enhance user experience and visual appeal.

- Conducted target audience research to identify user needs and pain points
- Improved visual hierarchy, navigation, and overall usability
- Delivered modernized website design with enhanced user engagement

**Barbershop ""BARBER"" Landing Page**
*UX/UI Designer*

Created high-converting landing page through complete design process.

- Performed competitor analysis and target audience research
- Translated research insights into user-centered design decisions
- Delivered polished landing page optimized for conversion

## Career Goals

Seeking a position with a results-driven organization that values collaboration and professional growth, with flexibility for office and remote work arrangements. Committed to continuous skill development and career advancement."
98258,"**PROFESSIONAL RESUME**

**EDUCATION**

Master's Degree in Law | 2018

UI/UX Design | DanIT Academy

**CORE COMPETENCIES**

Quality Assurance & Process Improvement | Client Relations & Consultation | Documentation & Records Management | Cross-Functional Coordination

**PROFESSIONAL EXPERIENCE**

**Head of Quality Control Department, Customer Support**
Rocket Delivery | Cyprus | 6 months

- Directed quality control operations for customer support department, establishing standards and oversight processes

**Customer Support Manager**
Gambling Industry | 1 year

- Delivered resolution for complex site-related issues, ensuring client satisfaction
- Managed request escalation workflows across multiple departments

**Notary Assistant**
3 years

- Drafted, reviewed, and managed legal documents and contracts
- Conducted client consultations on notarial procedures and requirements
- Administered electronic registers and database systems
- Managed professional business correspondence

**PROFESSIONAL DEVELOPMENT**

Currently completing UI/UX design studies, leveraging analytical and client-focused expertise to transition into the technology sector."
98259,"**PROFESSIONAL SUMMARY**

UX/UI Designer specializing in competitor analysis, user flow design, site mapping, and mood board creation. Skilled in developing landing pages, websites, and web services with expertise in prototyping and adaptive design.

**TECHNICAL SKILLS**

**Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop

**Core Competencies:** User Flow Design | Site Mapping | Prototyping | Adaptive Design | Landing Page Development | Web Services Design | Competitor Analysis | Mood Board Creation

**PROJECT EXPERIENCE**

**OURPAWS – Search Service for Missing Animals**
*UX/UI Designer*

- Redesigned interface for lost animal recovery search platform
- Developed comprehensive user flows, site maps, and mood boards to guide design direction
- Built prototypes and implemented adaptive design solutions across devices
- **Tools:** Figma, Adobe Illustrator, Adobe Photoshop

**LA MESA – Restaurant Table Booking Application**
*UX/UI Designer*

- Designed mobile application interface for restaurant reservation system
- Created user experience flows and developed complete user interface
- **Tools:** Figma, Adobe Illustrator, Adobe Photoshop

**PROFESSIONAL GOALS**

Seeking opportunities for professional development, particularly in advanced Adobe Illustrator techniques and vector graphics design. Thrive in collaborative environments built on mutual respect and teamwork."
98260,"# Projects

## Landing Page for Flower Shop ""FlowerLover""

Designed and developed a user-friendly landing page for FlowerLover flower shop, delivering a solution aligned with client specifications. Performed comprehensive competitor research and target audience analysis to inform design decisions. Crafted a clean, intuitive interface with emphasis on exceptional user experience.

## Website Redesign for Alaska Pete's Restaurant

Led complete website redesign for Alaska Pete's restaurant, transforming an outdated design into a modern, visually appealing platform. Developed a contemporary, user-friendly interface and integrated table reservation functionality to streamline customer engagement and enhance overall user experience."
98261,"**Team Leader | UX/UI Design Projects**

**Project 1: See World**
Led team in developing an intuitive interface for a living space search platform using a robotic methodology. Conducted user research and identified opportunities to improve site navigation and usability, enabling users to efficiently search for properties, complete applications, and submit inquiries.

**Project 2: GenieTable**
Designed mobile application for restaurant table reservations. Created concept based on a genie emerging from a lamp, reflecting instant service delivery. Developed interactive lamp element on the first screen to initiate the booking process. Selected cohesive color scheme aligned with the genie character theme to enhance user engagement and streamline the reservation experience to just a few clicks.

**Project 3: Nice View** | Team Project
Created landing page for residential complex presentation to convert potential clients. Developed design concept positioning ""Nice View"" as an ideal location for family life and comfortable work. Selected calming color palette to convey safety and comfort. Applied minimalist design approach to communicate style and credibility."
98262,"# UI/UX Designer

## Professional Experience

### Tattoo Salon Website Redesign
**GoIT Course | Individual Project**

- Conducted target audience analysis and design reference research
- Redesigned complete website interface from concept to delivery
- Developed comprehensive UI kit ensuring visual consistency
- Created responsive adaptations for tablet and mobile devices
- Built interactive prototypes with functional navigation

### Budget Travel Web Service
**GoIT Course | Team Project**

- Performed target audience analysis and competitive research
- Developed USER FLOW and Customer Journey Map (CJM)
- Implemented cohesive design system across all touchpoints
- Designed responsive layouts for tablet and mobile platforms
- Delivered interactive prototypes with functional links

### Landing Page Design
**Independent Project**

- Curated design references and mood board to establish visual direction
- Developed UI kit maintaining brand consistency
- Designed and executed complete page interface

## Core Competencies

- Competitor Analysis & Market Research
- User Research & Requirements Analysis
- Wireframing & Prototyping
- Responsive Design Implementation
- UI Kit & Design System Development
- CRM System & Mobile Application Design

## Professional Values

- Results-driven design with emphasis on measurable outcomes
- Collaborative team environments built on mutual respect
- Continuous professional development and learning"
98263,"# Projects

## Team Projects

**Easy Yoga Web Service**
Designed desktop and adaptive layouts for a web service built from scratch, streamlining communication between yoga instructors and individuals seeking compatible teachers.

**Mobile Application to Improve Performance**
Designed a mobile application that increases productivity by enabling users to plan their day and monitor physical and mental health through integrated functions.

## Personal Projects

**Tattoo Company Redesign**
Led a full-cycle design project to modernize a company website, aligning it with target audience needs and current trends to create an intuitive user experience that supports improved conversion and customer acquisition."
98264,"# UX/UI Designer

## Experience

**Team Leader & UX/UI Designer** | Travelhaven
- Led cross-functional team while owning end-to-end user experience and interface design for travel-focused product
- Balanced leadership responsibilities with hands-on design execution

**UX/UI Designer** | Alaska Pete's Roadhouse Grille Website Redesign
- Executed comprehensive website redesign for established restaurant brand
- Performed competitive analysis and user research to inform design strategy and identify high-impact solutions
- Delivered responsive web design optimized for the hospitality industry

**UX/UI Designer** | Travel Exchange Web Service (Personal Project)
- Designed intuitive interface for peer-to-peer platform connecting travelers with hosts offering work-exchange accommodations
- Created user flows enabling seamless exchange of work for lodging and food
- Focused on accessibility and usability for target demographic of students and young budget-conscious travelers

**UX/UI Designer** | Volunteer Website (Social Project)
- Contributed UX/UI design expertise to nonprofit website development
- Collaborated with team to create user-centered design solutions for volunteer community

## Projects

- 2 Personal Pet Projects demonstrating continued exploration of UX/UI concepts and self-directed learning

## Skills

UX Design | UI Design | User Research | Competitive Analysis | Team Leadership | Web Design"
98265,"# Professional Experience

**Team Leader | UX/UI Designer**  
SweepUp Cleaning Web-service Project  
Led team in developing a web-based cleaning service platform for choosing and ordering specialists. Conducted market and competitor analysis, facilitated brainstorming sessions, and developed User Personas, JTBD, CJM, and User flows. Created prototypes, UI design, relinking, and responsive adaptations within existing design system.

**UX/UI Designer**  
GoIT Addendum Project  
Designed landing page implemented by student developers.

# Projects

**TimeWell Daily Planner Mobile App**  
Mobile application designed to help users manage time effectively, plan tasks, and achieve goals. Conducted competitive analysis, created User Personas and User flows, developed high-fidelity prototypes and UI design, and created detailed animations. Project in progress.

*Tools: Figma, Photoshop, Illustrator, Protopie*

**Bravo Furniture Site Redesign**  
Redesigned luxury furniture store website. Performed market analysis, competitor research, screen prototyping, and UI design. Developed responsive layouts for mobile and tablet versions along with UI kit.

*Tools: Figma, Photoshop, Illustrator*

**Citroen C4 Landing Page**  
Designed landing page enabling test drive bookings for new Citroen model. Conducted market analysis, competitor research, and created moodboard, wireframes, and animated interface.

*Tools: Figma, Photoshop, Illustrator*"
98266,"# UX/UI Designer

## Professional Experience

**Travel Joy – Web Service**
*Team Leader, Full Cycle Team Design*

- Led end-to-end design of a web service connecting travelers with work opportunities in new environments
- Organized and monitored team workflow throughout the complete project lifecycle
- Conducted competitor analysis to inform strategic design decisions
- Created user flows, site maps, wireframes, and interactive prototypes
- Designed intuitive interfaces enabling users to gain cross-cultural experiences and share knowledge across nationalities
- Delivered functional web service within an established design system framework

**Mobile App for Restaurant Table Booking**
*Team Member*

- Contributing to team development of a mobile application for restaurant table booking

**Nice View – Landing Page**
*Solo Designer, Full Cycle Design*

- Designed complete landing page for residential apartment sales based on client brief
- Conducted competitor analysis and target audience research to guide design strategy
- Built low-fidelity prototypes, gathered feedback, and iterated to high-fidelity prototypes
- Selected typography and color palette optimized for target buyer appeal
- Delivered landing page featuring application submission for home inspections and client feedback functionality

## Skills

**Design Process:** Full Cycle Design · Competitor Analysis · Target Audience Research · User Flow Creation · Site Mapping · Wireframing · Prototyping

**Tools:** Figma · Design Systems

**Leadership:** Team Leadership · Project Organization · Workflow Management"
98267,"# PROFESSIONAL EXPERIENCE

**Volunteering Projects Aggregator for Ukraine**

Developed a platform aggregating volunteering initiatives across Ukraine, featuring comprehensive project displays, integrated donation functionality, and intuitive navigation connecting users with related projects and volunteer organizations to drive engagement and support nationwide.

**Landing Page for Kickstarter Campaign**

Designed a conversion-focused landing page for a convertible furniture product promoting a Kickstarter campaign. Executed full design process including competitor analysis, reference selection, high-fidelity wireframing, and adaptive design, applying the AIDA marketing model to drive purchases.

**Landing Page — Rihanna**

Created an informational landing page designed to engage users and generate interest. Delivered mood boards, wireframes, complex compositions, typography systems, and interactive prototypes.

# SKILLS

Platform Development · Donation Systems Integration · Landing Page Design · High-Fidelity Wireframing · Adaptive & Responsive Web Design · Competitor Analysis · AIDA Marketing Model · Mood Board Creation · Typography · Interactive Prototyping · Complex Composition Design"
98268,"# Projects

**Mobile Event App** *(In Progress)*
Developing a mobile application for event management

**Website Redesign – A Kids Place Childcare**
Full-cycle redesign of preschool website
- Conducted competitor analysis to inform design strategy
- Enhanced visual appeal and user experience
- Implemented responsive design for mobile and tablet devices

**Pet Service – Pet Search Platform**
Full-cycle collaborative design project
- Designed web service connecting users with pets and pet-related services
- Conducted target audience research and market analysis
- Collaborated cross-functionally throughout project lifecycle
- Developed responsive design across mobile and tablet platforms
- Built centralized platform enabling pet owners to access multiple services"
98269,"**EDUCATION & PROFESSIONAL DEVELOPMENT**

Projector UX Beginner Course
KronaStudio&School Web Design Course

**EXPERIENCE**

**Volunteer UX/UI Designer**
University IT HUB | 1 year

- Redesigned university websites and designed interfaces for university needs
- Conducted UX research and evaluation of solutions
- Collaborated with developers and project managers in cross-functional team environment
- Managed tasks using Jira for project tracking and organization
- Enhanced UI skills through work with UI library and mentorship

**UX/UI Designer**
Projector UX Beginner Course

- Completed stakeholder project as independent designer
- Collaborated on stakeholder project within design team
- Conducted UX research and problem-solving
- Transformed research findings into UI solutions

**Intern**
2 months

- Contributed to project development within small dev team"
98270,"# PROFESSIONAL EXPERIENCE

**3D Graphic Specialist**
HOVER Ukraine | Feb 2021 - Jun 2023

- Modeled 3D exteriors and interiors using SketchUp
- Conducted quality assurance reviews of 3D models produced by team members

# PROJECT EXPERIENCE

**YoHome - Web Service for Hosting and Renting Housing**
Team Leader

- Led cross-functional team in developing a web platform for housing rentals
- Designed and developed user interface from concept to completion
- Created intuitive user flows and cohesive visual styling
- Implemented responsive design across multiple device formats

**Sophie Scholl Realschule Website Redesign**
Study Project

- Redesigned educational website to improve aesthetics, usability, and information architecture
- Communicated school's mission, values, and offerings to target audiences
- Conducted competitive analysis of school websites and researched web design best practices in the education sector
- Performed audience analysis to inform design decisions

**Additional Projects**

- Developed 3 independent projects across varied subject areas

# TECHNICAL SKILLS

HTML | CSS | SketchUp | UI/UX Design"
98271,"**PROFESSIONAL SUMMARY**

Multidisciplinary designer with 4 years of experience in interior, graphic, and industrial design, bringing a strong foundation in spatial thinking, visual communication, and user-centered problem-solving. Holds a Master's degree in Environmental and Industrial Design. Completed specialized training in UI/UX design, Figma, and interface design in 2022. Committed to building expertise as a UI/UX designer.

**EDUCATION**

Master's Degree in Environmental and Industrial Design

**PROFESSIONAL CERTIFICATIONS**

GENIUS Courses (2022)
- Fundamentals of Web Design
- Working with Figma
- UX/UI: Projecting and Design of Interfaces

**PROFESSIONAL EXPERIENCE**

**Interior Designer**
Company Employment & Freelance

- Developed interior design projects for diverse clients, translating requirements into cohesive visual solutions
- Managed projects from initial concept through final completion

**Graphic Designer**
Freelance

- Created logos, business cards, and banners for various clients
- Developed brand identity materials across multiple media
- Produced custom artwork and paintings

**SKILLS**

Design Disciplines: UI/UX Design, Web Design, Interior Design, Graphic Design, Industrial Design

Tools & Software: Figma

**LANGUAGES**

English: B1 | Polish: B2 | Spanish: B1

**CAREER OBJECTIVE**

Seeking to leverage 4 years of multidisciplinary design experience and specialized UI/UX training to contribute to user-centered digital products while continuing to develop interface design expertise."
98272,"# UI/UX DESIGNER

## PROFESSIONAL OBJECTIVE

UI/UX Designer specializing in conversion-focused, intuitive digital experiences. Seeking challenging projects requiring innovative problem-solving and creative thinking, with commitment to continuous professional growth.

## PROFESSIONAL EXPERIENCE

**UI/UX Designer | 6 Months**

- Design user interfaces for landing pages, e-commerce platforms, portfolio sites, and mobile applications across iOS and Android
- Lead website redesign projects from concept to completion
- Execute end-to-end design process: competitor analysis, user flows, wireframing, and prototyping
- Create responsive UI designs optimized for desktop, tablet, and mobile devices
- Implement website animations to enhance user engagement
- Partner with front-end developers to ensure pixel-perfect implementation

## SKILLS

**Design:** UI/UX Design · Responsive Web Design · Wireframing & Prototyping · User Flow Development · Mobile Design (iOS & Android) · Web Animation

**Standards:** Google Material Design Guidelines · Human Interface Guidelines

**Process:** Competitor Analysis · Cross-functional Collaboration

## EDUCATION & TRAINING

**UI/UX Design Course | 5 Months**

- Completed comprehensive training in full UI/UX design process principles and technologies
- Developed expertise in Google Material Design Guidelines and Human Interface Guidelines
- Applied industry-standard design principles through practical projects"
98273,"# UX Designer

## Skills & Knowledge

- User-Centered Design Principles
- UX Design Process
- Accessibility Standards
- Equity-Focused Design
- Design Sprints Methodology
- Social Media Design (Instagram, Twitter, Facebook)
- Application and Website Planning
- Webflow Development
- Landing Page Design
- Banner Design

## Experience

**Freelance UX Designer**
6 Months

- Designed and produced social media banners optimized for Instagram, Twitter, and Facebook platforms
- Collaborated on application and website planning initiatives
- Built and developed a blog using Webflow
- Created landing pages and promotional banners for client projects

## Education

**Hillel IT School**
UX Design Course — Successfully Completed"
98274,"# UI/UX Designer

## About Me
Junior UI/UX Designer passionate about creating effective, aesthetically pleasing designs that enhance user experience. Delivering full-cycle design services with specialization in landing pages, e-commerce, website redesign, and web services.

## Education
UI/UX Design Course | 6-Month Program

## Professional Summary
Eager to apply knowledge, skills, and passion to create designs that elevate business outcomes.

## Project Experience

### Featured Projects

**""Wish"" — Gift Delivery Mobile App**
Designed a flower and gift delivery app enabling users to select products and schedule delivery. Executed full-cycle design process: competitive analysis, UX personas, user flow mapping, wireframes, and UI design.

**""Fitroom"" — Fitness Studio Corporate Website Redesign**
Redesigned website to create an attractive, modern interface aimed at boosting sales. Conducted competitor analysis, established stylistic direction through references, built prototypes, optimized interfaces for phone and tablet, and developed a comprehensive UI kit.

**""VDOMA"" — Ukrainian Couch-Surfing Web Service**
Created web service to help organize affordable stays in Ukraine and popularize Ukrainian tourism. Executed full-cycle design: competitive analysis, UX personas, empathy mapping, sitemap development, MVP definition, and user flow diagrams. Delivered tablet and mobile adaptations. Conducted A/B testing to identify and address usability issues.

### Additional Projects

- Service accounting table UI for cleaning company
- Website sidebar UI
- Team page utilizing AutoLayout with padding systems
- User page for online learning resource
- Dashboard for ed-tech product targeting school students
- Animated desktop start screen UI
- Card-to-card transfer confirmation modal window
- Administrator dashboard for user rights management"
98275,"# JUNIOR UX/UI DESIGNER

## PROFILE

Creative Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Dedicated to crafting exceptional user experiences through thoughtful digital interactions. Committed to continuous growth while staying current with industry trends and evolving technologies. Eager to collaborate on projects that drive meaningful user impact.

## PROJECT EXPERIENCE

### Petsearch | Web Service for Lost and Found Animals
Lead Designer

Designed a user-friendly web service connecting pet owners with lost animals through advertisements and facilitating pet returns. Delivered a comprehensive design solution focused on quick results and an intuitive user experience. Developed all UI elements and established the visual direction. Incorporated functionality supporting shelter promotion and volunteer engagement.

### A Kids Place Childcare | Website Redesign
Designer

Redesigned a kindergarten website encompassing research and technical components. Analyzed existing design across all pages and conducted competitive landscape assessment. Identified product strengths and weaknesses across three pages. Developed user expectations and created page visuals aligned with research findings. Produced comprehensive documentation including a complete UI kit.

### FlowerLover | Landing Page Design
Designer

Designed a landing page for a flower shop featuring comprehensive UI elements including buttons and inputs. Conducted research including competitor analysis, moodboard development, and page structure planning. Selected a cohesive color palette inspired by natural tones.

## SKILLS

- UX/UI Design
- Design Principles
- User Experience Research
- Competitive Analysis
- Visual Design
- UI Kit Development
- Documentation"
