,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
98280,"# Junior UX/UI Designer

## Professional Summary
Self-motivated Junior UX/UI Designer with strong attention to detail and passion for creating high-quality products for users and businesses. Proven ability to deliver successful individual and collaborative projects while working effectively with design systems, user flows, and customer journey mapping.

## Core Competencies
- **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Canva
- **UX/UI Methods:** Design Systems, User Flows, Customer Journey Mapping
- **Research & Analysis:** User Research, Competitive Analysis, SimilarWeb
- **Specializations:** Landing Page & Website Design, Interface Design & Redesign

## Project Experience

**Look for – Web Service**
Designed and launched secure, user-friendly accommodation platform in three stages: user-end interface, payment interface, and admin-side interface. Analyzed target audience and developed clear, intuitive interfaces to help users find accommodation according to their needs.
- Tools: Figma, Canva, Adobe Illustrator

**India Cafe – Website Redesign**
Redesigned cafe website to attract more visitors and showcase establishment advantages. Conducted competitive analysis and user interviews to inform design decisions, resulting in attractive website that replaced outdated design.
- Tools: Figma, Adobe Photoshop

**Barbershop – Landing Page**
Created landing page for new barbershop in Ukraine to present and promote services and attract potential customers. Delivered comprehensive service showcase with engaging design.
- Tools: Figma, Adobe Photoshop

## Professional Goals
Seeking to join collaborative team to create high-quality products for users and businesses. Eager to embrace new challenges in web design processes."
98281,"**PROFESSIONAL SUMMARY**

Results-oriented UI/UX Designer with 8 years of graphic design experience, including 3 years as Chief Designer leading creative teams and projects. Expertise in creating intuitive digital interfaces, developing brand-aligned design systems, and delivering user-centered solutions across web and mobile platforms. Proven ability to manage cross-functional projects from concept to completion while maintaining brand consistency and modern design standards.

**PROFESSIONAL EXPERIENCE**

**Chief Designer (Head of Department)** | 3 years
- Led creative project development and execution aligned with corporate brand standards
- Managed departmental workflow, team operations, and cross-functional design initiatives
- Directed projects from conceptualization through final delivery
- Developed design concepts and standards in accordance with corporate style guidelines

**Graphic Designer** | 8 years
- Executed comprehensive graphic design projects across multiple mediums and platforms
- Delivered brand-consistent visual solutions for diverse client requirements

**KEY PROJECTS**

**Website Redesign | MAINSAIL (Realty Company)**
- Conducted competitive research and market analysis to inform design strategy
- Reorganized content architecture into logical, user-friendly sections
- Designed simplified navigation system and streamlined user forms
- Developed comprehensive wireframes and UI kit with tablet and mobile adaptations
- Modernized user experience while maintaining established color scheme

**Popcorn Machine Interface Redesign | Kinoprokat-Sumy**
- Redesigned interface to align with company branding standards
- Customized visual elements including backgrounds, button colors, typography, and iconography
- Created animations while preserving functional button placement and sizing

**Popcorn Machine Interface Design**
- Developed custom interface solution for hardware application

**Company Website Redesign**
- Modernized web presence aligned with brand identity standards

**Landing Page Design | KinoboardPRO**
- Designed conversion-focused landing page for product promotion

**Interior Design Project | City Café**
- Created comprehensive interior design for café space and conference hall

**UI/UX Design Portfolio Projects**
- Adaptive website redesign with responsive layouts
- Web service design for cleaning company employee recruitment platform
- Mobile application design for restaurant table booking system
- Curriculum-based web design assignments

**CORE COMPETENCIES**

UI/UX Design | Graphic Design | Interface Design | Adaptive & Responsive Design | Wireframing & Prototyping | UI Kit Development | Brand Identity & Corporate Style | Team Leadership & Management | Project Management | Competitive Analysis | Interior Design

**CAREER OBJECTIVES**

Seeking UI/UX Designer position offering opportunities for professional and financial growth with flexible or remote work arrangements."
98282,"# UI/UX Designer

## Professional Summary

UI/UX designer with a background in HR and a strong passion for design and innovation. Dedicated to creating visually appealing and user-friendly websites and applications through continuous learning and professional development.

## Design Experience

**Eventize – Mobile Application** | 2023
Designed a mobile application enabling users to find and book venues or events and plan special occasions. Created a comprehensive platform for event creation and management with categorized item selection and task planning features.

**Guesture – Web Application** | 2022
Designed a web service connecting people seeking environment changes and new places for work or leisure. Developed a platform where visitors stay as guests by paying or performing work for hosts, targeted toward students and young people seeking affordable travel opportunities.

## Career Objective

Seeking a full-time or part-time position with an innovative and growing company to apply design skills and contribute to challenging projects."
98283,"# Junior UX/UI Designer

## Professional Summary
Junior UX/UI Designer with a detail-oriented approach to creating user-centered digital experiences. Specializing in user experience design (65%) and visual design (35%), I deliver thoughtfully crafted solutions that prioritize quality and usability. Seeking to advance as a professional UX/UI Designer and launch my own brand.

## Experience

**Team Leader & UX/UI Designer**  
*Shine Web Service (Pet Project)*

Lead cross-functional team in developing web service for cleaning companies. Direct organizational aspects, manage project workflow, and provide strategic support and mentorship to team members.

## Projects

**Landing Page: FlowerLover**  
*Flower Delivery Service*

Designed minimalistic single-page website featuring extensive imagery while optimizing user flow and site performance.

- Conducted competitor and target audience analysis
- Created reference selection and moodboards
- Developed wireframes and prototypes
- Designed UI kit and animations
- Adapted design for tablet and mobile devices
- Published case study on Behance

**Website Redesign: A Kids Place Childcare**  
*Modern Kindergarten*

Redesigned website to increase client attraction and expand market coverage, successfully achieving project objectives.

- Analyzed current site and identified problems
- Conducted target audience and competitor analysis
- Researched references and created moodboards
- Developed wireframes and prototypes
- Designed UI kit and responsive adaptations
- Created animations and published case study on Behance"
98284,"# UI/UX Designer

## PROFESSIONAL SUMMARY

Creative UI/UX Designer with comprehensive training in user experience and interface design. Proficient in industry-standard design tools and methodologies, with expertise in visual design, prototyping, and user-centered design principles.

## CORE COMPETENCIES

**Design Tools**
- Adobe Creative Suite (Photoshop, Illustrator, Experience Design)
- Axure RP
- InVision

**Design Expertise**
- Site structure and information architecture
- Interaction flows and user journey mapping
- Wireframing and prototyping
- Interface requirements documentation
- Visual design and layout composition
- Color theory and typography
- Iconography and design systems

## EDUCATION

**Certificate in Web Design (UX/UI)**  
UX Energy IT School | Jun 2018 – Sep 2018

Completed intensive program covering fundamental and advanced UX/UI design principles, including site structure planning, interaction design, wireframe development, interface requirements specification, visual design for web and mobile applications, layout design, color theory, typography, and iconography."
98285,"# Dima
Kyiv | UI/UX Designer

## Professional Summary

Junior UI/UX Designer specializing in modern, user-friendly application interfaces. Skilled in wireframing, functional prototyping, and advanced Figma techniques including components and autolayouts. Consistently deliver landing pages and multi-page projects with meticulous attention to detail while meeting deadlines. Dedicated to continuous professional growth and design excellence.

## Core Competencies

• UI/UX Design & User-Centered Interface Development
• Wireframing & Functional Prototyping
• Figma: Components, Autolayouts & Advanced Techniques
• Landing Page & Multi-Page Project Design
• Deadline-Driven Project Delivery
• Detail-Oriented Design Execution

## Education

**Projector — Creative & Tech Online Institute**  
Web Design Junior | 2022-2023

**Projector — Creative & Tech Online Institute**  
Web Design Beginning | 2022"
98286,"# UI/UX & Graphic Designer

Highly motivated and creative designer with a passion for delivering excellent user experience and beautiful UI. Strong understanding of design process with marketing background, eager to contribute expertise as a UI/UX or graphic designer.

## Professional Experience

**Marketing Manager/Designer**

- Designed marketing materials including brochures, leaflets, and stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Created images for website, social media posts, and campaigns
- Planned and created email newsletters
- Edited videos for social media
- Wrote content for website, marketing materials, campaigns, and email newsletters

## Technical Skills

- Figma
- Adobe Photoshop
- Adobe Illustrator
- Video Editing Software
- Email Marketing Platforms

## Core Competencies

- UI/UX Design
- Graphic Design
- Marketing Design
- Social Media Content Creation
- Email Marketing
- Content Writing
- Brand Materials Design"
98287,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Results-driven UI/UX Designer specializing in user-centered design for websites, mobile apps, and software platforms. Expert in prototyping, user research, and data-driven iterative design processes. Dedicated to crafting intuitive, accessible digital experiences that maximize user satisfaction.

**CORE COMPETENCIES**

• User Interface & User Experience Design
• Prototyping & Wireframing
• User Research & Usability Testing
• Data-Driven Design Iteration
• Web & Mobile Application Design
• Design System Development
• Webflow Development & Implementation
• Visual Design & Brand Identity
• Logo Design
• Social Media & Banner Creative Design
• Cross-Functional Team Collaboration
• Sitemap Architecture

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
alkima web & design | March 2023 – Present

• Lead user experience research initiatives to inform strategic design decisions
• Architect comprehensive sitemaps and wireframes for complex web projects
• Design and develop cohesive user interfaces aligned with client objectives
• Create engaging website banners and social media creative assets
• Develop distinctive brand identities and logo designs for diverse clients
• Establish scalable design systems to ensure brand consistency
• Execute end-to-end project builds and implementations using Webflow

**Sales Manager**
Vinnytsia Distribution Company | January 2019 – February 2022"
98288,"**PROFESSIONAL EXPERIENCE**

**Freelance Developer**

Delivered software solutions across diverse client projects, including early-stage gaming applications, cryptocurrency exchanges, and cryptocurrency-related web platforms. Collaborated directly with project managers and coordinated with web developers to resolve layout specifications and technical requirements."
98289,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer**

### Law Firm Landing Page Design
- Conducted client briefings to establish project requirements and objectives
- Performed comprehensive research and competitive analysis within the legal industry
- Developed mood boards to guide visual direction and design strategy
- Selected typography and color palettes aligned with brand identity
- Created wireframes and multiple design concepts
- Delivered final design with full responsive layouts for mobile and tablet devices

### Pastry Shop E-commerce Website
- Designed complete e-commerce website for pastry shop with delivery functionality
- Applied advanced Figma auto layout techniques to create scalable design systems
- Utilized fundamental design principles throughout the project
- Developed responsive layouts optimized for multiple devices

## Technical Skills

Figma • Wireframing • Prototyping • Auto Layouts • Responsive Design • Brand Identity Development • Mood Board Creation • Typography • Color Theory • User Interface Design • Competitive Analysis • User Research • Client Communication"
98290,"# PROFESSIONAL SUMMARY

Results-driven graphic designer with expertise in Adobe Photoshop, Adobe Illustrator, and Figma. Self-motivated professional committed to continuous skill development and growth. Proven ability to solve complex problems and quickly master new tools, technologies, and methodologies.

# CORE COMPETENCIES

**Design Software**
• Adobe Photoshop
• Adobe Illustrator
• Figma

**Professional Skills**
• Problem-solving and critical thinking
• Rapid tool and technology acquisition
• Self-directed learning and development
• Adaptability across diverse design challenges"
98291,"# Professional Summary
Results-driven QA Engineer and UI/UX Designer with proven expertise in software testing, design, and data verification. Strong technical aptitude with ability to quickly master new technologies and tools. Seeking flexible or full-time position with organization committed to developing productive, user-friendly solutions.

# Technical Skills
**Quality Assurance**
- Test case creation and execution
- Bug reporting and documentation
- SQL database querying and data verification

**UI/UX Design**
- User research and competitive analysis
- Wireframing and user flow development
- UI/UX design and prototyping
- Jobs-to-be-done framework and customer journey mapping

**Tools & Technologies**
Figma, Adobe Illustrator, Slack, SQL

# Professional Experience

**QA Engineer & UI/UX Designer**
- Created and executed comprehensive test cases to ensure software quality and functionality
- Generated detailed bug reports to expedite issue identification and resolution
- Utilized SQL to query databases and verify data accuracy
- Designed seamless user interfaces combining creative and functional elements
- Conducted user research and competitive analysis to inform design decisions
- Developed wireframes, prototypes, user flows, and customer journey maps

# Projects

**Medical Clinic Web Service (Study Project)**
Designed comprehensive web service for private medical clinic enabling organized doctor-patient meetings, online consultation capabilities, reduced documentation time through speech recognition and automatic report generation, and patient-driven doctor selection based on criteria and ratings.

- Conducted baseline study and brainstorming sessions
- Created Jobs-to-be-done framework, user flows, and customer journey maps
- Developed prototypes, UI design, and responsive adaptations
- Tools: Figma, Adobe Illustrator, Slack

**A Kids Place Childcare Website Redesign (Study Project)**
Redesigned website for A Kids Place childcare facility in North Olmsted, Ohio, creating a user-friendly environment reflecting the center's nurturing, fun, educational, and safe approach.

- Conducted user research and competitive analysis
- Developed well-structured, modern wireframes and prototypes
- Tools: Figma, Adobe Illustrator"
98292,"# UX/UI Designer

## Professional Summary
UX/UI Designer with advanced English proficiency specializing in user-centered design solutions. Expertise in balancing usability with aesthetics while aligning business objectives with user needs. Proven ability to conduct user research, develop wireframes, and create interactive prototypes that solve complex UX challenges and elevate user experiences.

## Experience

**UX/UI Designer**  
Design Studio, Kyiv  
Designed user interface and user experience for mobile app project ""DayDrive""

## Education

**UX/UI Design Mentoring Program**  
Graduate  
Designed and developed landing pages, sign up/log in forms, and related design components

## Skills

**Design & Prototyping**
- Wireframing & Interactive Prototyping
- Mobile App Design
- Landing Page Design
- Form Design (Sign Up/Log In)

**UX Capabilities**
- UX Research & User Experience Problem Solving
- User Empathy
- Usability & Aesthetic Balance
- Business-Aligned Design Solutions

## Languages

English — Advanced"
98293,"# UI/UX Designer

## Professional Summary

Top Rated UI/UX Designer with proven experience delivering user-centered design solutions for CRM systems, mobile applications, and site-builder platforms. Seeking collaborative team environment to contribute to challenging projects while continuing professional growth.

## Professional Experience

**Freelance UI/UX Designer** | Upwork (Top Rated)  
April 2020 - Present

- Redesign CRM systems to enhance user experience and interface functionality
- Develop comprehensive component libraries for site-builder services
- Design mobile applications using user-centered design principles
- Create custom CRM solutions for diverse client requirements

**UI/UX Design Student** | IT School Hillel  
September 2019 - March 2020

- Mastered UX methodology including user analysis, research, investigation, and prototyping
- Developed proficiency in typography, grid systems, animation design, color theory, and responsive design principles
- Diploma project: Comprehensive CRM system for sport complex

**Web Designer**  
July - August 2019

- Designed landing page for educational courses
- Collaborated with development team on testing and CRM design implementation
- Transitioned to UI/UX design specialization

## Education

**IT School Hillel**  
UI/UX Design Advanced Level Course  
First-class degree diploma | 2nd place in student rating

Continuously expanding design expertise through online courses across multiple design platforms

## Core Competencies

User Research & Analysis • Interface Design & Prototyping • Component Library Development • CRM System Design • Mobile Application Design • Responsive Design • Typography & Grid Systems • Color Theory & Animation Design"
98294,"# UI/UX DESIGNER

## PROJECTS

**Food Delivery Mobile Application**  
APR - MAY 2023

*UX Research & Strategy*
- Developed user personas and customer journey maps to guide product strategy and inform design decisions
- Created empathy maps to identify and understand user needs, behaviors, and pain points
- Conducted comprehensive competitor analysis to identify market opportunities and differentiation strategies
- Designed site map and user flows to optimize navigation and enhance user experience

*UI Design*
- Created wireframes and interactive prototypes for user testing and stakeholder feedback
- Developed cohesive design concept and comprehensive visual design system to ensure brand consistency

---

**Craft Beer Brewery Landing Page**  
JUNE 2023

*UX Research & Strategy*
- Analyzed competitor websites to identify industry best practices and design trends
- Established information architecture to organize content hierarchy and improve usability
- Developed moodboard to define visual direction and establish design aesthetic

*UI Design*
- Produced wireframes to establish layout structure and content placement
- Created visual design incorporating brand identity and animation elements to enhance user engagement"
98295,"# UX/UI Designer

## Professional Summary

UX/UI designer focused on creating useful, effective, and profitable digital products. Skilled in user research, interface design, and prototyping with expertise in translating creative vision into practical solutions that solve user problems and drive business results.

## Skills

**Design Tools & Software**
- Adobe Illustrator
- Adobe Photoshop
- Figma
- Tilda

**UX Research & Strategy**
- Target audience research
- User Flow
- User Story
- Customer Journey Mapping
- User Scenario
- Low- and high-fidelity prototyping
- Interactive prototyping

**UI Design & Visual Skills**
- Material Design
- Human Interface Guidelines
- Design systems & UI kits
- Logo creation
- Color theory
- Typography
- Composition
- Adaptive design

**Technical Knowledge**
- HTML
- CSS

## Professional Experience

**UX/UI Designer**

*Vinyl Shop Website*
- Designed responsive desktop and mobile versions for e-commerce platform

*Sign Language Study App*
- Conducted UX research and applied Human Interface and Material Design principles to create intuitive learning experience
- Designed accompanying landing page

*Car Trip Planning App*
- Conducted UX research and developed comprehensive design system
- Applied Human Interface design standards
- Designed landing page to showcase product features"
98296,"# GRAPHIC & UX/UI DESIGNER

## PROFESSIONAL SUMMARY

Graphic and UX/UI Designer with hands-on experience creating digital assets for nonprofit communications. Skilled in visual design, prototyping, and user experience methodologies with a focus on delivering impactful design solutions.

## PROFESSIONAL EXPERIENCE

**Designer**  
Charitable Foundation

- Design landing pages, banners, and logos to support foundation communications and organizational outreach
- Create visual assets that effectively communicate mission and engage target audiences
- Develop responsive design solutions for digital platforms

## SKILLS

**Visual & Brand Design**
- Logo Design & Brand Identity
- Banner Design & Digital Graphics
- Landing Page Design

**UX/UI Design**
- Mobile App Design
- Responsive & Adaptive Design
- High-Fidelity & Low-Fidelity Prototyping
- User Interface Design

**User Experience & Research**
- UX Research
- User Testing Methodologies
- User-Centered Design

**Tools & Technologies**
- Landing Page Development
- Prototyping Software
- Design Systems

## EDUCATION & TRAINING

**Design Training & Professional Development**

- Landing Page Design & Development
- Mobile Application Design
- High-Fidelity & Low-Fidelity Prototyping
- Adaptive & Responsive Design Implementation
- UX Research & User Testing Methodologies"
98297,"# PROFESSIONAL SUMMARY

Designer with experience in landing pages, website redesign, web services, and mobile applications. Developed 3 projects including team collaboration for patient-focused user flow research and implementation.

Proficient in professional design tools through IT courses. Strong communicator with collaborative teamwork abilities. Receptive to feedback, deadline-driven, and committed to continuous professional development.

---

## PROJECT EXPERIENCE

**Landing Page: Barbershop in Kyiv**  
Designed single-page site featuring services, professional master profiles, customer reviews, and competitive advantages to attract customers and promote business offerings.

**Web Service for Medical Clinic**  
Full-cycle website design | Team project  
Created patient portal with appointment scheduling functionality for online and in-person consultations. Designed interfaces for medical history access and payment tracking.

**Website Redesign: KIDS PLACE**  
Full-cycle website redesign  
Modernized interface to enhance visitor engagement. Developed adaptive design for improved accessibility and broader target audience reach.

---

## CAREER OBJECTIVES

Seeking full-time or part-time designer position with companies dedicated to creating user-friendly, experience-focused products. Quick learner, purposeful, and responsible professional ready to tackle complex challenges."
98298,"# [Your Name]
UI/UX Designer

## Professional Summary

UI/UX designer specializing in branding, web design, and mobile applications with expertise in market analysis, competitor research, persona development, wireframing, sitemap architecture, and user interface design. Deliver efficient, user-centered digital experiences that align business objectives with user needs through strategic design thinking and comprehensive research methodologies.

## Professional Experience

**UI/UX Designer | Freedom**  
Freelance Accommodation Booking Web Service

• Designed comprehensive web service for accommodation booking platform in partnership with development team
• Executed competitor analysis and market research to inform strategic design decisions
• Contributed to product development initiatives and strategic planning processes
• Collaborated cross-functionally to ensure successful project planning and execution

**Graphic Designer | InaMi**  
Ukrainian Women's Clothing Brand

• Designed complete brand identity system including logo and corporate visual identity
• Managed full design lifecycle from concept development through final delivery
• Established comprehensive brand style guidelines and visual asset library
• Delivered project meeting all client requirements and expectations

## Project Portfolio

• Landing page design with integrated corporate style implementation
• Complete website redesign preserving existing brand consistency
• Housing reservation service interface and user experience design
• Restaurant, café, and bar table booking mobile application

## Technical Proficiencies

**Design Tools**  
Adobe Creative Suite (Illustrator, Photoshop, InDesign, After Effects) | Figma

**Design Expertise**  
UI/UX Design | Brand Identity Development | Wireframing | Sitemap Architecture | Corporate Style Development | Market Analysis | Competitor Research | Persona Development

## Professional Strengths

Collaborative team player with proven ability to work effectively in cross-functional environments. Creative problem solver who brings innovative perspectives to design challenges. Passionate about continuous learning and professional development. Strong communicator skilled in client relations and knowledge sharing. Detail-oriented with leadership capabilities and commitment to delivering quality products that satisfy user and business requirements."
98299,"# UI/UX DESIGNER

**PROFESSIONAL SUMMARY**

Creative and detail-oriented UI/UX designer specializing in intuitive, user-centered digital experiences. Proven ability to solve complex design challenges through comprehensive user research and data-driven design decisions. Committed to delivering engaging interfaces that balance user needs with business objectives.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer | Crypto Wallet Tutis**

• Designed secure, user-friendly cryptocurrency management platform addressing complex security and data privacy requirements
• Conducted comprehensive user research to identify target audience needs and incorporated feedback throughout design process
• Applied user-centered design principles to create accessible interface for diverse audience while prioritizing asset security
• Delivered full-cycle design solution from research through final implementation

**UI/UX Designer | Cucina di Catherina Online Store Redesign**

• Redesigned e-commerce platform with modern aesthetic aligned to brand vision and values
• Conducted user research to identify customer pain points and shopping experience needs
• Enhanced website usability and engagement through intuitive navigation and improved user flow
• Developed fresh visual identity including new color palette and design elements
• Performed iterative usability testing to validate design decisions and optimize user experience
• Increased website traffic and engagement metrics post-launch

**CORE COMPETENCIES**

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Design Expertise:** Web interfaces, mobile design, landing pages, wireframing, prototyping, visual design, icon design, logo design, illustration, redesign

**UX Methodologies:** User research, user personas, user scenarios, user flows, sitemaps, competitive analysis, usability testing

**Design Systems:** Google Material Design Guidelines, design systems, responsive design, cross-device adaptation

**PROFESSIONAL OBJECTIVES**

Design engaging, intuitive user experiences across diverse project types while collaborating with cross-functional teams including product managers, developers, and stakeholders. Leverage user research and personas to inform design strategy. Create wireframes, prototypes, and design systems that ensure visual consistency and technical feasibility. Champion user-centered design principles throughout the product development lifecycle. Drive continuous improvement through feedback gathering and iterative design refinement."
98300,"**UI/UX Designer**

**Professional Summary**

UI/UX designer passionate about crafting intuitive, user-centered digital experiences. Specialized in designing aesthetically compelling and functionally seamless interfaces that deliver measurable value. Committed to continuous professional development and driving organizational success through thoughtful design solutions.

**Core Competencies**

• User Interface Design
• User Experience Design
• User Research
• Interaction Design
• Strategic Communication
• Creative Problem Solving
• Cross-functional Collaboration
• Stakeholder Management

**Education**

UI/UX Design Courses – Recently Completed

**Project Experience**

**Personal UI/UX Design Projects**

• Designed user interfaces demonstrating proficiency in user-centered design principles
• Conducted user research to inform design decisions
• Applied interaction design principles to create seamless user experiences
• Developed aesthetically compelling interfaces focused on functionality and usability

**Professional Experience**

**Various Professional Roles**

• Collaborated effectively with stakeholders and team members across diverse professional environments
• Demonstrated strong communication skills in cross-functional settings
• Applied creative problem-solving approaches to address organizational challenges"
98301,"**Junior UI/UX Designer**

Results-driven Junior UI/UX Designer with comprehensive training from Design IT Step Academy in graphic design, 3D modelling, animation, and UI/UX design. Skilled in creating visually appealing and user-friendly designs through expertise in industry-standard tools and proven design methodologies.

**Core Competencies**

UI/UX Design & User-Centered Design • Design Research & Prototyping • Graphic Design & Image Making • Illustration & Typography • 3D Modelling & Animation • SWOT Analysis

**Technical Skills**

**Design & Prototyping:** Figma
**Creative Suite:** Adobe Photoshop, Illustrator, After Effects, Premiere Pro
**3D Software:** Autodesk Maya

**Education**

**Design IT Step Academy**
Graphic Design, 3D Modelling, Animation, and UI/UX Design"
98302,"# Junior UI/UX Designer

Detail-oriented UI/UX Designer specializing in web and mobile application design. Focused on creating intuitive interfaces that solve user problems through comprehensive design processes including task analysis, prototyping, visual design, and implementation.

## Professional Experience

**Team Leader | Paw Rescue Project**
- Led team organization and coordinated workflow across design and development phases
- Designed visual components and prototypes for lost and found animal website
- Conducted competitor analysis to inform website architecture and structure
- Developed user flows to efficiently guide users toward key objectives
- Created modern, accessible website interface utilizing comprehensive design system

## Key Projects

**Italian Sauce Website Redesign**
- Redesigned website to enhance user engagement and improve navigation
- Performed competitor research to identify and implement effective design patterns
- Modernized visual identity through updated color palette, standardized photography, and contemporary typography
- Developed responsive designs optimized for mobile and tablet devices

**Flower Lover Landing Page**
- Conducted target audience analysis for flower shop e-commerce
- Designed intuitive interface architecture incorporating comprehensive menu structure
- Delivered complete interface design from initial concept through final implementation

## Core Competencies

End-to-end design process management • Prototyping and wireframing • Visual design and design system development • User flow optimization • Competitive analysis and market research • Responsive and adaptive design • Information architecture

## Objective

Seeking remote position offering collaborative team environment, professional development opportunities, and career advancement potential."
98303,"# UI/UX Designer

## Professional Summary

UI/UX Designer with proven experience creating user-centered interfaces for web and mobile applications. Specialized in delivering visually appealing, accessible designs through iterative refinement and cross-functional collaboration. Committed to continuous learning and professional development with strong responsiveness to feedback.

## Skills

- Proficient in Adobe Photoshop, Figma, Protopie, Adobe Illustrator, and FigJam
- Experienced in wireframing, prototyping, and interactive design
- Skilled in responsive design for various screen sizes and devices
- Knowledgeable in design systems and component libraries
- Proficient in user flows and journey mapping
- Experienced in graphic editing and visual asset creation
- Strong project management and cross-functional collaboration abilities

## Professional Experience

### Junior UI/UX Designer

- Designed user interfaces for web services and mobile applications with focus on usability and visual appeal
- Collaborated with cross-functional teams to deliver intuitive, user-centered designs
- Created responsive layouts optimized for multiple devices and screen sizes
- Designed mobile app screens with consideration for touch interactions, clarity, and information hierarchy
- Adapted design approach based on diverse project requirements
- Utilized Figma, Adobe Photoshop, and Protopie to develop layouts and mockups

## Projects

### Custom Concepts Tattoo Studio Website Redesign

- Redesigned tattoo salon website to improve customer experience and usability
- Refined color palette and integrated high-quality photography
- Designed simplified booking form to streamline customer interactions
- Established structured visual hierarchy for improved navigation and clarity

### PetRescue Web Service for Lost Animals

- Designed web application to reunite lost pets with their owners
- Created platform for reporting and searching missing pets by location
- Developed interface to facilitate effective sharing, searching, and matching of pet information
- Tools: Figma, Adobe Photoshop, FigJam, Adobe Illustrator

## Languages

- Ukrainian (Native)
- Russian (Fluent)
- English (Upper-Intermediate)
- Polish (Elementary)"
98304,"**PROFESSIONAL SUMMARY**

Junior UI/UX Designer creating digital experiences with strong visual appeal and optimal user experience. Expertise in landing pages, redesigns, web services, and mobile applications. Skilled in conducting in-depth interviews, questionnaires, persona development, and empathy mapping.

**PROFESSIONAL EXPERIENCE**

**Team Lead & UI/UX Designer | Buki School Redesign Project**

Led team operations and delivered comprehensive project presentation addressing stakeholder concerns regarding non-intuitive cabinet interface and low user attendance and engagement.

- Conducted full-scale UX research including competitive analysis, heuristic analysis, in-depth interviews, personas, and surveys
- Created clickable cabinet prototype enabling students to quickly and intuitively access necessary information
- Led all project stages from research through delivery and presented final project to customer

**UI/UX Designer | DocMe Web Service (Team Project)**

Developed web service to organize and document doctor-patient meetings with automatic report generation and separate dashboard cabinets for doctors and patients.

- Conducted UX research utilizing competitor and target audience analysis, personas, JBTD, and CJM methodologies
- Designed main site interface and contributed to patient and doctor cabinet modifications

**CORE COMPETENCIES**

User Interface Design • UX Research & Analysis • Prototyping & Wireframing • Competitive Analysis • Heuristic Analysis • Persona Development • Customer Journey Mapping • Empathy Mapping • Team Leadership • Stakeholder Presentations • Landing Page Design • Web & Mobile Application Design"
98305,"# PROFESSIONAL EXPERIENCE

**Team Leader & UI/UX Designer**
Web-service for Finding Lost Pets

Led cross-functional project team, directing workflow, distributing responsibilities, and coordinating meetings to ensure on-time delivery. Conducted comprehensive user research including competitor analysis, target audience analysis, user personas, JTBD, CJM, and User Flow development. Designed intuitive interface aligned with target audience expectations. Project received high evaluation from mentor.

**UI/UX Designer**
Start-up Project (Current)

Collaborating with developers on web service enabling accountants and related professionals to calculate salaries, bonuses, and compensation.

# EDUCATION & TRAINING

**UI/UX Design Course**

Completed specialized course with 6 case studies, gaining expertise in user interface and experience design principles.

# SELECTED PROJECTS

**Mobile Application for Coffee Shop Chain**

Designed mobile application featuring intuitive interface, robust functionality, and contemporary aesthetic. Executed full design process: competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframing, UI design, and animation.

**Travel Agency Website Redesign**

Created accessible design for diverse target audience. Differentiated brand from competitors while effectively structuring complex information architecture. Conducted competitor analysis, target audience analysis, persona development, and user flow mapping. Delivered wireframes, UI design, responsive adaptation, and animation with clean visual design utilizing high-quality photography.

# PROFESSIONAL OBJECTIVES

Seeking collaborative role with team of specialists committed to developing high-quality products. Eager to apply design expertise with opportunities for professional growth and career advancement."
98306,"# Junior UX/UI Designer

Dedicated Junior UX/UI Designer with comprehensive training in UX Design and Interaction Design from Projektor, and UI/UX from Skill-up School. Proven ability to apply UX principles throughout the complete design process, from research to implementation.

## Core Competencies

**Research & Strategy**
- Stakeholder requirements gathering and definition
- User research and analysis
- Persona development using Miro
- Task analysis

**Design & Prototyping**
- High-fidelity wireframe creation
- Interactive prototype development in Figma
- Usability testing
- Design solution presentation

## Project Portfolio

- Planner application
- eCommerce website redesign
- Landing page design
- CRM system
- Corporate website

## Professional Objective

Seeking a position to apply design expertise in creating user-centered digital experiences while contributing to organizational success and advancing professional development in UX/UI design."
