,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98273,"**PROFESSIONAL SUMMARY**

Entry-level UX Designer with foundational knowledge in user-centered design, accessibility, and equity-focused design principles. Skilled in design process methodology and design sprint frameworks, with hands-on experience creating digital assets across multiple platforms.

---

**EXPERIENCE**

**Freelance Designer**
*6 Months*

- Designed social media banners for Instagram, Twitter, and Facebook, ensuring brand consistency across platforms
- Collaborated on application and website planning initiatives
- Built and launched a blog using Webflow
- Created landing pages optimized for user engagement

---

**EDUCATION**

**Hillel IT School**
*Certificate*

---

**SKILLS**

User-Centered Design · Design Process · Accessibility · Equity-Focused Design · Design Sprints · Webflow · Social Media Design · Landing Page Design"
98274,"# **[Your Name]**
[Contact Information]

## **Junior UI/UX Designer**

Full-cycle design specialist creating effective, aesthetically pleasing experiences across landing pages, e-commerce, website redesign, and web services.

---

## **Education**

**UI/UX Design Course** | 6-Month Certification

---

## **Project Experience**

**Wish** — Gift Delivery Mobile App
*Flower and gift delivery app with product selection and scheduled delivery functionality*
- Led full-cycle design: competitive analysis, UX personas, user flow, wireframes, UI design

**Fitroom** — Corporate Website Redesign
*Fitness studio website modernization focused on conversion optimization*
- Conducted competitor analysis and established visual direction through reference research
- Built responsive prototypes optimized for phone and tablet
- Developed comprehensive UI kit

**VDOMA** — Ukrainian Couch-Surfing Web Service
*Platform connecting travelers with affordable accommodations across Ukraine*
- Executed full-cycle design: competitive analysis, UX personas, empathy mapping, sitemap, MVP definition, user flow diagrams
- Created responsive tablet and mobile adaptations
- Conducted A/B testing to identify and resolve design weaknesses

---

## **Additional Projects**

- Service accounting table for cleaning company
- Website sidebar navigation
- Team page utilizing AutoLayout padding principles
- User profile page for online learning platform
- Ed-tech dashboard for school students
- Desktop start screen with animation
- Card-to-card transfer confirmation modal
- Administrator dashboard for user rights management

---

## **Skills**

Full-Cycle Design Process | Competitive Analysis | UX Research | Wireframing | Prototyping | Responsive Design | A/B Testing | UI Kit Development"
98275,"# JUNIOR UX/UI DESIGNER

## ABOUT ME

Passionate and creative Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Dedicated to crafting exceptional user experiences and enhancing digital interactions. Committed to continuous growth while staying current with industry trends and emerging technologies. Eager to contribute to innovative projects and collaborate on meaningful design work.

---

## PROJECT EXPERIENCE

### Petsearch | Web Service for Lost & Found Animals
*Designer & Project Lead*

- Led design and development of a user-friendly web service connecting pet owners with lost or found animals
- Created intuitive UI optimized for quick, efficient user outcomes
- Developed dual-pathway functionality serving both pet owners and good samaritans returning found pets
- Built features supporting animal shelter operations and volunteer engagement

### A Kids Place Childcare | Website Redesign
*UX/UI Designer*

- Conducted comprehensive design audit across all existing pages
- Performed competitive analysis and user expectation research
- Redesigned three pages informed by identified strengths, weaknesses, and research insights
- Delivered complete UI kit documentation with all design elements

### FlowerLover | Landing Page Design
*UX/UI Designer*

- Designed landing page featuring multiple UI components including buttons and input fields
- Conducted competitor analysis and developed moodboard
- Defined page structure and created cohesive color palette aligned with natural tones
- Executed end-to-end design process from research through final visuals

---

## SKILLS

UX/UI Design · User Research · Competitive Analysis · UI Kit Development · Design Documentation"
98276,"# Junior UI/UX Designer

## About Me

Junior UI/UX Designer experienced in collaborative team environments and individual design projects. Solid foundation in color theory, typography, and layout. Committed to continuous learning through online courses, industry literature, and exploration of cutting-edge design technologies.

---

## Project Experience

### Website Redesign | Tattoo Studio
*December 2022 – January 2023*

- Redesigned website interface to improve usability and visual appeal
- Implemented clearer navigation architecture
- Developed new tattoo ordering functionality
- Enhanced image presentation of artists' portfolios
- Integrated customer review system

### UI/UX Design | Service for Finding Lost Animals
*February 2023 – March 2023*

- Designed web service for creating and publishing lost/found pet listings
- Prioritized rapid information dissemination and streamlined user communication
- Created efficient workflows connecting pet owners

---

## Professional Development

- Ongoing self-education through online courses and design literature
- Continuous portfolio development with focus on quality improvement

---

## Goals

- Collaborate with experienced designers to receive mentorship and feedback
- Develop professional skills through new technologies and emerging design trends
- Contribute to diverse projects across various design domains"
98277,"# UX/UI Designer

Creative UX/UI Designer specializing in websites, web services, mobile apps, logos, advertisements, and posters. Experienced in end-to-end design processes from UX research through final delivery, including dashboards, tables, and complex interfaces. Proven ability to lead design initiatives and present work to stakeholders.

---

## Work Experience

**Korg Sound Library Cover Design**
Created two illustrations for sound library covers. Conducted reference analysis, managed client collaboration throughout the process, and delivered final designs to client satisfaction.

**Sinevibes Logo (3D Animation)**
Developed an animated 3D logo as a rotating video intro. Executed full production pipeline including modeling, shading, and animation rendering with ongoing client approval.

---

## Projects

**UrbanFest Landing Page Design**
Designed a landing page from concept to completion, developing moodboard, wireframe, and final minimalistic design.

**CustomConcepts Tattoo Website Redesign**
Redesigned website following competitive analysis of tattoo industry sites. Delivered a modern design balancing functionality and aesthetics.

**Web Service UX and UI Design**
Designed a web service for finding affordable international accommodation. Conducted comprehensive UX research including user personas, customer journey mapping, information architecture, and user flows. Produced wireframes and complete visual designs.

**Beatcraft Mobile App Design**
Designed a music-focused mobile application from research through final interface. Conducted target audience analysis, created wireframes, and designed complete UI including two-factor authentication and in-app achievements system.

---

Seeking remote opportunities. Fast learner ready for new challenges."
98278,"# **UI/UX Designer**

## About Me

Dedicated UI/UX designer from Ukraine specializing in intuitive, user-centered design solutions. I approach every project with the belief that understanding user problems is the foundation for effective design. My attention to detail and commitment to continuous growth make me a valuable asset to teams focused on creating outstanding products.

## Skills

- Figma: auto layout, styles, components, design systems
- User-centered design aligned with business requirements
- UX problem identification and troubleshooting
- Independent and collaborative work

## Project Experience

**Lunushka Shop Mobile App**
Designed a mobile application for an online store. Conducted competitor analysis, target audience research, persona development, and user flow creation. Delivered wireframes, UI design, onboarding experience, and animated prototypes using Protopie.

**Globetrot Web Service** *(Team Project)*
Contributed to a web service for organizing economical stays across different countries. Designed user interface, filter functionality, and verification methods. Conducted research to identify problems and propose solutions. Developed wireframes, responsive UI design, and animated prototypes.

**Tattoo Studio Website Redesign**
Redesigned an existing website following detailed analysis. Developed modern visual design, intuitive interface, and informative pages to attract new customers and tattoo artists.

**Flower Shop Landing Page**
Created a landing page for a flower shop with delivery service. Conducted user research, competitor analysis, and persona development. Designed moodboard, prototype, and final responsive design for desktop, tablet, and mobile.

## Interests

- Corporate training and professional development
- Career growth opportunities
- Collaborative and respectful work environment"
98279,"**[Your Name]**
Junior UI/UX Designer

---

**ABOUT ME**

Junior UI/UX Designer experienced in collaborative and independent design projects. Skilled in executing the complete design cycle—analysis, concept development, prototyping, user interface design, and responsive adaptation. Committed to creating user-friendly interfaces with intuitive navigation that solve meaningful problems.

---

**PROJECT EXPERIENCE**

**UI/UX Designer | Mobile App for Flower & Gift Delivery**
*Team Project | Current*

Collaborating on the design and development of a mobile application for flower and gift delivery services.

**UI/UX Designer | Pet Search Webservice ""NADIYA""**
*Team Project | December 2022 – February 2023*

Designed a webservice helping owners locate lost animals faster. Conducted competitor analysis, created user personas, developed sitemap, produced high-fidelity prototypes, and designed the user interface with responsive adaptation. Strengthened communication, organizational, delegation, and time-management skills through team collaboration.

**UI/UX Designer | Website Redesign for ""MIMINO"" Restaurant & Hotel Complex**
*Individual Project | October 2022 – November 2022*

Redesigned the website to deliver a more attractive, modern, and user-friendly experience. Conducted site analysis, identified improvement opportunities, gathered references, developed detailed prototypes, and completed visual design with responsive adaptation.

**UI/UX Designer | Landing Page for Yoga Studio**
*Individual Project*

Designed a landing page for a yoga studio."
98280,"# Junior UX/UI Designer

## About Me

Detail-oriented Junior UX/UI Designer passionate about crafting user-centered digital experiences that drive business results.

## Skills

- **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Canva
- **Analytics:** SimilarWeb
- **UX Methods:** Design Systems, User Flows, Customer Journey Mapping

## Project Experience

### Look For — Web Service (Team Project)
Developed a platform helping users find accommodation based on their needs. Analyzed target audience, designed clear interface solutions, and delivered a comprehensive product across three stages: user-end interface, payment interface, and admin-side interface.

**Tools:** Figma, Canva, Adobe Illustrator

### India Cafe — Website Redesign
Redesigned an outdated website to increase visitor engagement and highlight key differentiators. Conducted competitor analysis and user interviews to inform design decisions, delivering an engaging final product.

**Tools:** Figma

### Barbershop — Landing Page
Designed a landing page to promote a new barbershop in Ukraine. Created compelling visuals showcasing the full range of services to attract potential customers.

**Tools:** Figma, Adobe Photoshop

## Objective

Seeking to join a collaborative team where I can contribute to high-quality digital products while embracing new challenges in web design."
98281,"# PROFESSIONAL SUMMARY

Results-oriented designer with 8 years of graphic design experience, including 3 years as Chief Designer and Head of Department. Passionate about digital product design with a focus on creating intuitive, user-friendly interfaces with modern aesthetics. Seeking to grow as a UI/UX Designer while bringing extensive leadership and creative project experience to a collaborative team environment.

---

# PROFESSIONAL EXPERIENCE

**Chief Designer / Head of Department** | 3 Years

- Led creative project development from concept through execution
- Developed designs aligned with corporate brand standards
- Managed department workflow and coordinated cross-functional team efforts

**Key Projects:**
- Company website redesign
- Interface design for popcorn machine
- Landing page design for KinoboardPRO
- Interior design for city café and conference hall

---

# UI/UX DESIGN PROJECTS

**Website Redesign — MAINSAIL Realty Company**
- Conducted competitor research and analysis
- Created wireframes and comprehensive UI kit
- Developed responsive designs optimized for tablet and mobile
- Restructured content architecture with improved navigation and user-friendly forms

**Interface Redesign — Popcorn Machine, Kinoprokat-Sumy**
- Redesigned interface to align with company branding
- Updated visual elements including background, buttons, fonts, and icons
- Developed custom animations to enhance user experience

**UI/UX Course Projects**
- Adaptive website redesign
- Adaptive web service design for cleaning company recruitment
- Mobile application design for restaurant table booking

---

# CONTACT

Open to remote work and flexible scheduling. Available for collaboration."
98282,"# [NAME]
## UI-UX Designer

---

### Profile

Junior UI-UX designer with a background in Human Resources and a strong passion for design and innovation. Adept at creating visually appealing, user-friendly websites and mobile applications. Committed to continuous learning and professional growth. Seeking a full-time or part-time position with an innovative, growing company.

---

### Project Experience

**Eventize — Mobile Application** | 2023

Designed the UI-UX for a comprehensive event planning platform enabling users to discover and book venues, plan special occasions, browse items by category, and manage tasks.

**Guesture — Web Application** | 2022

Designed the UI-UX for a hospitality exchange service connecting travelers with hosts, offering accommodations through payment or work exchange. Tailored the experience for students and young travelers.

---

### Key Strengths

- User Interface Design
- User Experience Design
- Website Design
- Mobile Application Design
- Detail-Oriented
- Adaptable & Quick Learner

---

### Background

Human Resources"
98283,"# **[Your Name]**
[Contact Information]

---

## **Professional Summary**

Junior UX/UI Designer with strong attention to detail and a user-centered approach. Focused on creating thoughtful, high-quality designs that prioritize user experience while delivering polished visual execution. Proven team leadership skills in organizational management, project collaboration, and team motivation.

---

## **Experience**

**Team Leader** | Shine Web Service Project
- Led cross-functional team developing a web service platform for cleaning companies
- Managed end-to-end organizational aspects of project development
- Balanced hands-on project contributions with team support and motivation

---

## **Projects**

**FlowerLover Landing Page** | Flower Delivery Website
- Designed minimalistic landing page balancing rich imagery with clean, intuitive user experience
- Created seamless user journey optimized for conversion
- Executed full design process: competitor analysis, target audience research, reference selection, moodboard creation, wireframes, prototyping, UI kit development, animation, tablet and mobile adaptations
- Case study published on Behance

**A Kids Place Childcare Website Redesign** | Modern Kindergarten
- Redesigned website to increase client engagement and expand coverage
- Conducted comprehensive analysis to identify and resolve existing site issues
- Executed full design process: current site audit, target audience and competitor research, reference selection, moodboard, wireframes, prototyping, UI kit, responsive adaptations, animation
- Successfully achieved project goals; case study published on Behance

---

## **Education**

UX/UI Design Courses | Currently Enrolled

---

## **Career Goal**

To grow as a professional UX/UI Designer and establish an independent brand."
98284,"# RESUME

## Objective

Junior UI/UX Designer with training in user experience principles and visual design, seeking to contribute site structure development, interaction flows, and interface design skills to a collaborative design team.

## Education

**Web Design (UX/UI) Certificate**
UX Energy IT School | June 2018 – September 2018

## Skills

**User Experience Design**
- Site structure development
- Interaction flows
- Page wireframes
- Interface requirements documentation

**Visual Design**
- Layout and composition
- Color theory application
- Typography
- Iconography

## Technical Proficiencies

**Design Tools**
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD

**Prototyping & Collaboration**
- Axure
- InVision"
98285,"**DIMA**
Kyiv

---

**PROFILE**

Junior UI/UX Designer passionate about crafting convenient, modern, and engaging application interfaces. Skilled in developing wireframes across varying detail levels and building functional prototypes utilizing components and autolayouts in Figma. Experienced in designing landing pages and multi-page projects. Detail-oriented professional committed to meeting deadlines and continuous self-improvement.

---

**SKILLS**

- UI/UX Design
- Wireframing (Low to High Fidelity)
- Interactive Prototyping
- Figma (Components, Autolayouts)
- Landing Page Design
- Multi-Page Website Design
- Responsive Web Design

---

**EDUCATION**

**Projector — Creative & Tech Online Institute**
Web Design Junior | 2022–2023

**Projector — Creative & Tech Online Institute**
Web Design Beginning | 2022"
98286,"# UI/UX & Graphic Designer

Highly motivated and creative designer with a passion for delivering excellent user experiences and beautiful interfaces. Strong understanding of the design process combined with a marketing background, eager to contribute expertise in UI/UX and graphic design.

---

## Professional Experience

**Marketing Manager/Designer** *(Sole Designer)*

- Design marketing collateral including brochures, leaflets, and exhibition stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Create visual assets for website, social media posts, and marketing campaigns
- Plan, design, and produce email newsletters
- Edit video content for social media platforms
- Write compelling content for website, marketing materials, campaigns, and email newsletters
- Manage end-to-end creative direction as sole designer

---

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Competencies:** UI/UX Design, Graphic Design, Video Editing, Content Writing, Email Marketing, Social Media Marketing"
98287,"**RESUME**

---

**PROFESSIONAL SUMMARY**

UX/UI Designer with expertise in the complete interface design process, from user research through prototype development and data-driven iteration. Translates user needs into intuitive, clear layouts for web and mobile applications. Strong collaborator with proven ability to contribute effectively within cross-functional team environments.

---

**OBJECTIVE**

Seeking opportunities to collaborate with teams on projects that help people make better use of technology, developing interfaces for websites, mobile applications, and software.

---

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
Alkima Web & Design
March 2023 – Present

- Conduct user experience research to inform design decisions
- Create sitemaps, wireframes, and user interfaces
- Build websites using Webflow
- Design website banners and social media creatives
- Develop logos and brand assets
- Create design system concepts

**Sales Manager**
Vinnytsia Distribution Company
January 2019 – February 2022

---

**SKILLS**

- User Research & Needs Assessment
- Wireframing & Prototyping
- User Interface Design (Web & Mobile)
- User Testing & Data-Driven Optimization
- Design Systems & Brand Asset Development
- Webflow
- Cross-Functional Collaboration

---"
98288,"# PROFESSIONAL RESUME

## PROFILE

Freelance technology consultant with experience spanning the gaming and cryptocurrency industries. Skilled at partnering with cross-functional teams, including project managers and web developers, to deliver results across projects of varying scope and complexity.

## EXPERIENCE

**Freelance Consultant**

- Contributed to gaming projects during early-stage development phases
- Delivered solutions for cryptocurrency exchanges and cryptocurrency-related websites
- Partnered with project managers to understand requirements and deliver on objectives
- Collaborated with web developers to clarify and implement layout specifications
- Managed multiple projects across different industries simultaneously

## SKILLS

- Cross-functional team collaboration
- Client relationship management
- Project coordination
- Gaming industry
- Cryptocurrency and blockchain sector
- Layout and design coordination"
98289,"# UX/UI Designer

## Technical Skills

- Figma (including auto layouts and adaptive design)
- Wireframing
- Brand Identity Development
- Responsive Design (mobile, tablet, desktop)

## Portfolio

### Law Firm Landing Page

- Defined project requirements through comprehensive client briefings
- Conducted industry research and competitive analysis to inform design direction
- Developed mood boards, typography systems, and color palettes
- Established cohesive brand identity guidelines
- Created wireframes and explored multiple design concepts
- Delivered final responsive design optimized for desktop, tablet, and mobile

### Pastry Shop E-Commerce Website

- Designed comprehensive e-commerce website featuring integrated delivery functionality
- Built advanced auto layout systems in Figma for scalable, efficient design
- Applied foundational design principles to ensure visual consistency and usability"
98290,"# RESUME

## Skills

**Design Software**
- Adobe Photoshop
- Adobe Illustrator
- Figma

## Core Competencies

- Rapidly acquires new skills with strong adaptability to evolving project requirements
- Proactively seeks challenging opportunities to expand expertise
- Dedicated to continuous professional development in graphic design software and emerging industry tools"
98291,"# UI/UX Designer & QA Specialist

## Summary
Detail-oriented UI/UX Designer and QA Specialist with hands-on experience creating seamless, user-centered designs and ensuring software quality through rigorous testing and data verification. Combines creative problem-solving with technical precision to deliver functional, intuitive digital experiences.

---

## Skills

**Design:** User Research, Competitive Analysis, Wireframing, Prototyping, UI Design, Responsive Adaptation, Customer Journey Mapping, User Flow Development

**Quality Assurance:** Test Case Creation & Execution, Bug Reporting & Documentation, SQL Database Querying, Data Verification

**Tools:** Figma, Adobe Illustrator, Slack

---

## Projects

### Medical Clinic Web Service | Study Project
Designed a comprehensive web service for a private medical clinic featuring online consultations, speech recognition technology for automated documentation, and patient-driven doctor selection based on ratings and customizable criteria.

**Contributions:**
- Conducted baseline study and competitive research
- Developed Jobs-to-be-Done framework and Customer Journey Maps
- Created User Flows, wireframes, and high-fidelity prototypes
- Designed responsive UI across multiple device formats

### A Kids Place Childcare Website Redesign | Study Project
Executed a complete website redesign for A Kids Place Childcare in North Olmsted, Ohio, transforming the digital presence into a modern, well-structured platform reflecting the organization's nurturing educational environment.

**Contributions:**
- Performed user research and competitive analysis
- Developed wireframes and interactive prototypes
- Delivered actionable design conclusions and recommendations

---

## Additional Projects
Completed 2 personal projects demonstrating continued skill development and initiative.

---

## Professional Attributes
- Fast learner with strong adaptability
- Responsible and detail-focused
- Thrives on challenging tasks
- Available for flexible or full-time positions"
98292,"# UX/UI Designer

## Summary

UX/UI Designer specializing in mobile app design, landing pages, and sign-up/log-in experiences. Adept at balancing usability with visual appeal while aligning user needs with business objectives.

## Experience

**Design Studio — Kyiv**
*UX/UI Designer*

- Contributed to mobile app project ""DayDrive""

## Skills

- UX Research & Analysis
- Wireframing
- Interactive Prototyping
- Landing Page Design
- Sign-up/Log-in Form Design
- User Experience Problem-Solving

## Education

**UX/UI Design Mentorship Program**

## Languages

English — Advanced"
98293,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer**
Upwork | Top Rated | April 2020 – Present

- Redesign CRM systems to enhance user experience and interface consistency
- Develop comprehensive component libraries for site-builder services
- Design mobile applications from concept through final UI delivery
- Create custom CRM system designs for diverse client needs

**Design & Development Collaboration**
July – August 2019

- Designed landing page for educational courses
- Collaborated with development teams on testing and CRM design
- Contributed to web design projects

---

## Skills

**Research & Strategy:** UX Research & Analysis

**Visual Design:** Typography, Grid Compositions, Color Systems, Animation Design

**Technical Execution:** Prototyping, Responsive Design, Component Library Development, Mobile App Design, CRM Design

---

## Education

**IT School Hillel** — UI/UX Design Advanced Level
First-Class Degree Diploma | 2nd Place in Student Rating

Diploma Project: CRM System for Sport Complex

**Ongoing Professional Development**
Continuously completing design-related courses across multiple learning platforms

---

## About

Seeking a collaborative team environment with opportunities for professional growth through challenging and meaningful design projects."
98294,"# UI/UX Designer

## Projects

### Food Delivery App
**April – May 2023**

**UX Research & Strategy**
- Developed comprehensive user personas and empathy maps to guide design decisions
- Created detailed customer journey maps to identify pain points and opportunities
- Conducted competitive analysis to inform product positioning
- Designed intuitive site map and user flows for seamless navigation

**UI Design**
- Produced wireframes to validate layout and functionality
- Established cohesive visual design concept aligned with brand identity
- Delivered polished final visual design ready for development

---

### Craft Brewery Landing Page
**June 2023**

**UX Research & Strategy**
- Conducted competitive analysis to identify industry best practices
- Developed clear information architecture for optimal content organization
- Created moodboard to establish visual direction and tone

**UI Design**
- Produced wireframes to define page structure and hierarchy
- Created engaging visual design that captures brand personality
- Designed animations to enhance user engagement and interactivity"
98295,"# [Your Name]
**UX/UI Designer**

[Contact Information]

---

## Profile

Creative problem-solver passionate about designing digital products that balance user needs with business objectives. Skilled in transforming concepts into user-centered solutions through research-driven design processes.

---

## Projects

**Vinyl Shop Website**
Designed fully responsive e-commerce experience for desktop and mobile platforms

**Sign Language Study App**
Conducted UX research and designed native mobile application following Human Interface Guidelines and Material Design principles, including promotional landing page

**Car Trip Planning App**
Led end-to-end design process including UX research, design system development, Human Interface design, and landing page creation

---

## Skills

**Design Tools**
Figma, Adobe Illustrator, Adobe Photoshop, Tilda

**UX Research**
User Flow, User Story, Customer Journey Mapping, User Scenario, Target Audience Research

**Prototyping**
Low-fidelity and high-fidelity wireframing, interactive prototyping in Figma

**UI Design**
Design systems, component libraries, variants, autolayout, responsive and adaptive design, logo creation

**Design Foundations**
Color theory, typography, composition, Material Design, Human Interface Guidelines, UI kits

**Development**
HTML, CSS

---

## Contact

[Your Email] | [Your Phone] | [Portfolio URL]"
98296,"# Designer

## About Me

Passionate designer dedicated to creating compelling visual experiences and user-centered solutions. Committed to continuous growth and excellence in the design field.

## Experience

**Designer | Charitable Foundation**
- Designed and developed high-converting landing page
- Created engaging banners and marketing materials
- Established cohesive brand identity through logo design and visual elements

## Skills

- Landing Page Design
- Mobile App Design
- High-Fidelity Prototyping
- Low-Fidelity Prototyping
- Adaptive Design
- Responsive Design
- UX Research
- Banner Design
- Logo & Brand Identity Design

## Education & Training

- Landing Page Development
- Mobile Application Design
- Prototyping (High-Fidelity/Low-Fidelity)
- Adaptive & Responsive Design Principles
- UX Research Methodology"
98297,"# DESIGNER

Entry-level designer with experience in independent and collaborative projects, including landing pages, website redesigns, web services, and mobile applications. Completed 3 projects, including a team project where I led research and implementation of patient-side user flow.

Solid foundation in design principles and professional tools gained through IT coursework. Strong communicator with proven ability to work effectively in teams, incorporate feedback, and deliver work on time.

Seeking full-time or part-time design opportunities with companies focused on creating user-friendly products that balance business goals with user experience.

---

## PROJECT EXPERIENCE

**Landing Page — ""Barbershop in Kyiv""**
*One-page website*

Designed a landing page to attract customers and promote services. Featured service information, professional staff profiles, customer reviews, and key competitive differentiators.

**Web Service — Medical Clinic**
*Full-cycle website design | Team project*

Led research and implementation of patient-side user flow. Created patient-facing pages including online and in-person appointment booking, medical history access, and payment history viewing.

**Website Redesign — ""KIDS PLACE""**
*Full-cycle redesign*

Modernized the website to improve usability and attract more visitors. Developed responsive design to increase accessibility and expand the target audience.

---

## SKILLS

Design Principles · Responsive Design · User Flow · UX/UI · Team Collaboration · Research · Professional Design Tools

---

Goal-oriented and responsible quick learner ready to take on complex challenges."
98298,"# UI/UX Designer

## Summary

UI/UX designer specializing in user interface and experience design for landing pages, websites, web services, and mobile applications. Skilled in market analysis, competitor research, persona development, wireframes, sitemaps, and UI/UX design with consistent brand alignment.

## Projects

### InaMi Brand Identity
Created logo and corporate identity for a Ukrainian modern women's clothing brand, delivering the completed project to client satisfaction.

**Tools:** Adobe Illustrator, Adobe Photoshop, Adobe InDesign

### Freedom
Contributed to a housing reservation web service in a team environment, leading competitor research, strategy development, and collaborative project planning.

**Tools:** Figma, Adobe Photoshop

### Additional Projects
- Landing page design
- Website redesign
- Table booking application for restaurants, cafes, and bars

## Skills

**Technical:** Figma, Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Adobe After Effects

**Design:** UI/UX Design, Wireframing, Sitemap Development, Market Analysis, Competitor Research, Persona Development, Corporate Identity, Logo Design

**Professional:** Team Collaboration, Communication, Leadership, Adaptability, Creativity, Organization

## Professional Attributes

- Committed to team collaboration and achieving shared goals
- Dedicated to delivering fresh perspectives and innovative solutions
- Enthusiastic about continuous learning and professional development
- Supportive of colleagues through knowledge and experience sharing"
98299,"# [Name]
## Junior UI/UX Designer

Creative, detail-oriented UI/UX designer passionate about crafting intuitive digital experiences. Strong foundation in design principles with proven ability to solve complex problems and create user-centered designs for diverse audiences.

---

## Experience

### Crypto Wallet Tutis
**Application | Full Cycle Design**

- Designed secure, user-friendly platform for cryptocurrency management
- Conducted user research to understand needs and incorporated feedback throughout design process
- Solved complex design challenges around security and data privacy
- Delivered intuitive experience focused on seamless interaction and asset safety

### Cucina di Catherina
**Online Store Website Redesign | Full Cycle Design**

- Redesigned website with fresh, modern aesthetic aligned to brand vision and values
- Conducted user research identifying customer pain points and needs
- Developed new visual elements and color palette to modernize brand image
- Executed usability testing throughout design process
- Enhanced user experience, improving intuitiveness and engagement
- Increased website traffic and engagement metrics by X% post-launch

---

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator

**Design Capabilities:** Web interfaces, mobile design, landing pages, icons, logos, illustrations

**UX Methods:** User research, competitor analysis, user personas, user scenarios, wireframing, prototyping

**Additional:** Sitemaps, user flows, responsive design, design systems, Google Material Design Guidelines

---

## Looking For

Collaborative environment with cross-functional teams including product managers, developers, and stakeholders. Opportunities to conduct user research, create prototypes, develop design systems, and advocate for user-centered design principles."
98300,"# UI/UX Designer

## Summary
Motivated UI/UX Designer dedicated to transforming complex tasks into intuitive, enjoyable user experiences. Focused on creating designs that balance visual appeal with functional seamlessness, delivering meaningful value to users. Effective communicator with a diverse professional background.

## Skills
- UI/UX Design
- User-Centered Design
- Communication

## Education & Training
- UI/UX Design Courses (Recently Completed)

## Portfolio
- Personal UI/UX Design Projects

## Professional Experience
- Diverse professional background with demonstrated communication abilities"
98301,"**Junior UI/UX Designer**

**Summary**

Creative Junior UI/UX Designer with comprehensive training in graphic design, 3D modelling, animation, and UI/UX design. Adept at crafting visually compelling, user-centred experiences through strong command of industry-standard tools and foundational design principles.

**Education**

**Design IT Step Academy**
Graphic Design | 3D Modelling | Animation | UI/UX Design

**Technical Skills**

Figma | Adobe Photoshop | Adobe Illustrator | Adobe After Effects | Adobe Premiere Pro | Autodesk Maya

**Design Competencies**

- Prototyping & Wireframing
- Design Research & Analysis
- SWOT Analysis
- Typography & Layout Principles
- Image Making & Illustration"
98302,"**JUNIOR UI/UX DESIGNER**

Passionate about designing aesthetically pleasing and effective web and mobile applications. Transforming ideas into reality by creating interfaces that solve problems and simplify daily goals for target audiences. Full-cycle design expertise with a keen eye for detail—from task analysis and prototyping through visual design to implementation of usable, intuitive end products.

---

**PROJECTS**

**Paw Rescue – Lost & Found Pet Service** | Team Leader
- Led team organization and workflow coordination for a collaborative website design project
- Designed prototype visual elements and developed a modern, cohesive interface
- Conducted competitor analysis to inform strategic website structure decisions
- Developed intuitive user flows to guide users efficiently toward their goals
- Leveraged design systems to ensure a consistent, user-friendly experience

**Italian Sauce Website Redesign**
- Revamped website to enhance customer engagement and improve usability
- Conducted competitor research to identify and implement successful design solutions
- Applied updated color scheme, uniform photography, and modern typography
- Created responsive adaptations optimized for mobile and tablet devices

**Flower Lover Landing Page**
- Conducted target audience analysis for flower shop websites
- Designed clear, intuitive interface with comprehensive menu structure
- Built complete interface from concept to completion

---

**SEEKING**

- Remote position
- Collaborative environment with mutual respect
- Opportunities for corporate training, professional development, and career growth"
98303,"# JUNIOR UI/UX DESIGNER

## Skills

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Protopie

**Core Competencies:** UI/UX Design, Wireframing, Interactive Prototyping, Responsive Design, Design Systems, Component Libraries, User Flows, Journey Mapping, Visual Hierarchy, Graphic Editing

**Professional:** Project Management, Deadline Adherence, Cross-Functional Team Collaboration

## Experience

**Junior UI/UX Designer**

- Designed user interfaces for web services and mobile applications, delivering intuitive, visually appealing experiences
- Collaborated with cross-functional teams to translate project requirements into effective design solutions
- Created responsive layouts optimized for multiple devices and screen sizes
- Developed mobile screens with careful attention to touch interactions and visual hierarchy
- Adapted to diverse project requirements while continuously refining design skills

## Projects

**Custom Concepts — Tattoo Studio Website Redesign**
- Redesigned existing website to improve usability and customer experience
- Refined color palette and integrated high-quality photography
- Developed streamlined booking form with clear visual hierarchy

**PetRescue — Lost Pet Search Web Application**
- Designed web platform connecting lost pets with owners through accessible online search and reporting system
- Created interfaces enabling users to share, search, and match missing pet information effectively
- *Tools: Figma, Adobe Photoshop, FigJam, Adobe Illustrator*

## Languages

Ukrainian (Native) | Russian (Fluent) | English (Upper-Intermediate) | Polish (Elementary)"
