,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
98308,"# Junior UX/UI Design Professional

## Professional Summary
Junior UX/UI Design Professional combining creative design expertise with a unique background as a professional athlete on the Ukrainian National team. Passionate about digital marketing, UX/UI design, and emerging technologies.

## Education
**Bachelor's Degree in Hospitality and Tourism Management, Minor in International Relations**
Florida International University

**Digital Marketing Professional Certificate**
University of Miami

## Core Competencies
- UX/UI Design
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Web Design
- User Interface Design
- User Experience Optimization
- Digital Marketing
- Research and Analysis

## Portfolio
**VitalMed** — Web service design for private medical clinic

**Tattoo Salon** — Complete website redesign

**Citroen C4** — Landing page design

## Professional Attributes
- Creative problem-solving with strong attention to detail
- Commitment to delivering high-quality design work
- Dedicated to continuous learning and skill development
- Team-oriented with focus on contributing to organizational goals
- Disciplined work ethic developed through elite athletic competition"
98309,"JUNIOR WEB DESIGNER

Professional Summary
Results-driven Junior Web Designer with proven expertise in creating compelling visual content and designing user-focused web experiences. Adept at managing projects from conception through completion while maintaining rigorous quality standards. Skilled in translating design concepts into polished digital assets and marketing materials across web, social media, and video formats.

Core Competencies
Web Design | Graphic Design | Wireframing & Prototyping | Marketing Materials | Visual Communication | Cross-functional Collaboration | Quality Assurance

Professional Experience

Junior Web Designer | Warehousing Software Company

• Designed and launched company website from conception through completion, managing design control and quality assurance of all finished pages
• Developed wireframes, mockups, and prototypes to effectively communicate design concepts to stakeholders
• Collaborated with developers and testers to ensure cohesive project execution
• Created diverse marketing materials including social media covers, YouTube previews, and video footage
• Produced and recorded YouTube videos demonstrating product functionality

Technical Skills
Figma | Adobe Illustrator | OBS Studio

Key Contributions
• Delivered comprehensive web presence that established company's digital brand identity
• Enhanced brand visibility through cohesive marketing materials across multiple platforms
• Demonstrated versatility by creating content spanning web design, social media, and video production

Professional Development
Committed to advancing design expertise and taking on increasingly complex projects to expand creative capabilities."
98310,"# Mid-Level Product Designer

## Professional Summary

Product designer with proven experience enhancing consumer product designs through strategic competitive analysis. Adept at benchmarking market competitors, identifying optimization opportunities, and elevating quality and performance standards to drive market competitiveness.

## Core Competencies

- Consumer product design and enhancement
- Competitive analysis and market benchmarking
- Quality and performance optimization
- Design strategy and opportunity identification

## Key Responsibilities

- Lead design improvements for existing consumer product lines
- Conduct comprehensive competitor product analysis to benchmark quality and performance standards
- Identify and implement design optimizations that strengthen market positioning
- Evaluate working concepts to inform strategic design decisions

## Career Objective

Seeking advancement into senior, executive, or managerial roles aligned with industry and organizational growth opportunities."
98311,"# Resume

## Professional Summary

UI/UX Designer with expertise in creating non-standard design solutions. Combines strong visual design skills with effective communication and collaborative problem-solving to deliver thoughtful, detail-oriented work.

## Core Competencies

**Design & Tools**
- UI/UX Design
- Figma
- Prototyping
- Adobe Photoshop

**Professional Skills**
- Communication & Collaboration
- Decision-Making
- Attention to Detail
- Quick Learning

## Experience

**Freelance UI/UX Designer**

- Delivered multiple client projects requiring innovative, non-standard design solutions
- Applied strong decision-making and self-motivation to successfully manage independent projects

## Professional Attributes

- Responsible and detail-oriented approach to all deliverables
- Proven ability to quickly learn and adapt to new challenges
- Effective communicator who thrives in collaborative environments

## Career Preferences

Seeking remote position with flexible hours"
98312,"**UX/UI Designer**

Analytical thinker with creative problem-solving abilities, combining an Economics background with professional Graphic and Social Media design experience to create intuitive, user-friendly interfaces.

**Education**

Master of Economics
Bachelor of Economics

**Professional Experience**

**Graphic and Social Media Post Designer**
Education Center

- Designed engaging social media content, posters, and print materials that captured audience attention
- Led branding initiatives for the organization
- Applied user-centric design principles to translate concepts into visually compelling designs
- Cultivated strong aesthetic sensibility through hands-on creative work

**Auditor**

- Applied analytical rigor and attention to detail across projects with competing deadlines
- Delivered precise, meticulous work within strict timeframes

**Core Skills**

Graphic Design | Social Media Design | Branding | User-Centric Design | Analytical Thinking | Attention to Detail | Problem-Solving

**Objective**

Seeking an entry-level UX/UI Designer position to create meaningful experiences that positively impact users through intuitive design and user behavior psychology."
98313,"# UI/UX Designer

## Skills

UX Research • Design Systems • Design Guidelines Implementation • Marketing Materials • Mobile Design Patterns • Competitive Analysis • Information Architecture • Wireframing & Prototyping • Adaptive Design • Style Guide Development

## Professional Experience

### UI/UX Designer

**Mobile Applications**
- Designed user experiences for guide and lottery applications
- Applied Human Interface Guidelines and Google Material Design patterns

**Web Design**
- Led corporate website redesign, delivering adaptive versions for web, mobile, and tablet

**Design Process & Delivery**
- Conducted design analysis, user research, and competitive investigation to inform design decisions
- Created comprehensive design systems using Design Thinking methodology
- Built information architecture, wireframes, mockups, and prototypes
- Developed and maintained style guides for design consistency

**Collaboration & Communication**
- Facilitated brainstorming sessions with stakeholders
- Collaborated with client teams and developers throughout project lifecycles
- Produced case studies and Behance portfolio pieces

**Marketing Support**
- Created marketing materials and visual designs for company social media across all platforms

**Frameworks & Guidelines**

Angular Material • Kendo UI • Human Interface Guidelines • Google Material Design"
98314,"# UI/UX Designer

## Professional Summary

Detail-oriented UI/UX Designer with demonstrated expertise in crafting intuitive user experiences for web and mobile applications. Proven ability to lead and collaborate with cross-functional teams throughout the full design lifecycle—from user research and competitive analysis to wireframing, prototyping, and final design delivery. Committed to solving complex usability challenges and creating visually compelling, user-centric interfaces that drive engagement and business growth.

## Experience & Projects

**Table Tab Mobile App Design**
Jun 2023 – Aug 2023

- Collaborated with cross-functional team to design intuitive mobile app for restaurant seat booking
- Conducted user research, developed wireframes, evaluated design systems, and created prototypes
- Designed innovative rewards interface to enhance user engagement and create positive impressions

**Host Radar Project Design**
Apr 2023 – Jun 2023

- Contributed to design of web service connecting work and recreation opportunities
- Performed market and competitor analysis and gathered design references
- Prepared wireframes, animated prototypes, and delivered final case design

**Mainsal Realty Company Redesign**
Feb 2023 – Apr 2023

- Led comprehensive website redesign to create modern, user-friendly platform showcasing services
- Conducted user research and competitive analysis of US market competitors
- Identified usability issues and managed project from research through final design delivery

## Core Competencies

User Interface Design | User Experience Design | Wireframing | Prototyping | Design Systems | User Research | Competitor Analysis | Web & Mobile Design"
98315,"# UI/UX DESIGNER

## EDUCATION

**Plural Code Academy** – Graduate

Capstone Project: Mobile App Design for Salon

## TECHNICAL SKILLS

- User Interface & User Experience Design
- Wireframing & Prototyping
- User Research & Usability Testing
- Web & Mobile Application Design
- Figma

## PROFESSIONAL EXPERIENCE

**Software Agency** – Intern

- Designed responsive website and mobile views for a cryptocurrency platform
- Created complete website design for a resort center

## KEY STRENGTHS

- Quick learner with strong problem-solving abilities
- Collaborative team player who thrives in group environments
- Committed to delivering high-quality work on deadline
- Dedicated to successful project completion"
98316,"# Resume

**Marketing Professional & UX/UI Designer**

Accomplished marketing professional transitioning to design with a passion for creating user-friendly experiences. Experienced in UI/UX research, design, and prototyping with deep understanding of user personas and pain points. Strong project management and communication skills developed through collaboration with diverse clients and cross-functional teams.

**Core Competencies**

UI/UX Research & Design | User-Centered Design Solutions | Project Management | Team Leadership & Collaboration | Marketing Strategy | Figma | Adobe Photoshop | Protopie

**Professional Experience**

**Team Leader – Case Studies Project**

- Managed tasks and modified designs to align with target audience needs
- Developed user-friendly feature solutions through empathy-driven design approach
- Led collaborative teamwork while maintaining effective project management

**Project Experience**

**Travel Service Website**

- Led end-to-end UI/UX research, design, adaptation, and prototyping for global travel platform connecting users worldwide
- Collaborated within two-person team to manage project timelines and deliver quality results

**Scan-and-Go Mobile App**

- Conducted extensive market analysis and user pattern research to simplify the shopping experience
- Created functional prototype utilizing Figma, Adobe Photoshop, and Protopie

**Professional Background**

Two+ years of marketing experience with expertise in creative and strategic design solutions. Developed strong understanding of user needs and business objectives across various industries."
98317,"**UI Designer**

Dynamic UI Designer with 3 years of experience crafting intuitive, aesthetically compelling interfaces for web and mobile platforms. Expert in translating user needs into user-friendly designs that consistently meet and exceed expectations.

**Core Competencies**

UI Design | Interface Design | User Experience | Figma | Photoshop | Illustrator

**Strengths**

- Meticulous attention to detail ensuring pixel-perfect deliverables
- Deep understanding of user needs driving design decisions
- Proven ability to deliver designs that exceed client expectations
- Collaborative partner committed to bringing client visions to life"
98318,"# UI/UX Designer

## Professional Summary

Dedicated UI/UX Designer specializing in intuitive, visually compelling digital interfaces that elevate user experience. Seeking a full-time position to collaborate with experienced designers, integrate team feedback constructively, and contribute to impactful projects.

## Core Competencies

- Full-cycle design process
- User research and persona development
- Journey mapping and user flow optimization
- Wireframing and visual design
- Web and mobile design
- Tools: Figma, Adobe Photoshop, Adobe Illustrator, Canva

## Project Experience

**Cozy House Web Service** | Team Project
Led full-cycle design for a host reservation platform connecting travelers with accommodations. Executed competitive analysis, developed user personas, applied jobs-to-be-done framework, created customer journey maps and user flows, designed wireframes and visual assets, and delivered responsive adaptation.

**Cucina di Catherina Website** | Redesign Project
Executed full-cycle redesign of outdated website. Enhanced visual content with quality photography, restructured information architecture for improved navigation, and strategically emphasized unique selling proposition to attract potential customers."
98319,"# UI/UX Designer

## Professional Summary

UI/UX Designer specializing in web and mobile applications for travel and hospitality industries. Proven ability to lead teams and deliver end-to-end design solutions—from wireframes to adaptive, responsive interfaces. Skilled at translating complex user needs into intuitive experiences that serve multiple audience types simultaneously.

## Experience

**Team Lead** | Travel Service Project
- Led cross-functional team on commercial travel service platform

**UI/UX Designer** | Coaches Service
- Designing commercial Coaches service platform

**UI/UX Designer** | Travel Service – ""Change of Environment""
- Designed web interface for platform connecting tourists with hosts offering apartments in exchange for household assistance
- Developed dual user flows optimizing separate journeys for hosts and tourists
- Delivered wireframes and adaptive responsive versions

**UI/UX Designer** | Ukrainian School Redesign
- Redesigned educational platform featuring school information and contact functionality
- Produced wireframes with fully adaptive versions across desktop, tablet, and mobile devices

## Projects

**Booking Table Service Application** | Personal Project
- Designed application enabling users to book restaurant and café tables without phone calls
- Created interface allowing users to view available tables and complete selections"
98320,"# UI/UX Designer

## Professional Summary
Experienced UI/UX Designer dedicated to creating intuitive, visually appealing user interfaces across mobile applications, websites, and software. Skilled in translating user needs into design solutions that balance usability, accessibility, and business objectives.

## Core Competencies
- User Research & Usability Testing
- Wireframing & User Flow Design
- Interactive Prototyping
- High-Fidelity Visual Design
- Cross-Functional Collaboration
- Accessibility Standards & Compliance

## Design Tools
Sketch | Figma | Adobe XD | InVision | Marvel

## Key Projects

**Mobile Banking Application**
Designed intuitive user interfaces focused on enhancing user experience and streamlining financial interactions.

**Health App — User Research**
Conducted comprehensive user research to inform design decisions and validate solutions.

## Professional Experience
- Partner with product managers, developers, and design teams to translate user needs into effective design solutions
- Conduct user research and analyze feedback to drive design decisions
- Perform usability testing to validate design effectiveness
- Create wireframes, user flows, and visual designs aligned with user goals and business objectives
- Maintain expertise in current UI/UX trends, best practices, and accessibility guidelines to serve diverse user bases"
98321,"# UI/UX Designer

## Professional Summary
User-centered design professional with expertise in end-to-end design processes, from problem definition through final product delivery. Adept at crafting intuitive interfaces for web and mobile applications, with proven ability to adapt designs seamlessly across desktop, mobile, and tablet platforms.

## Core Competencies
- User Research & Analysis
- Competitive Analysis
- Target Audience Definition
- Customer Journey Mapping
- User Flow Development
- Wireframing & Interactive Prototyping
- Visual Style Development
- Cross-Platform Interface Design

## Design Projects

**Travel Go** | Web Service
Designed a web service connecting users with affordable and cost-free international stays through volunteering opportunities. Led full design process from research through final interface delivery.

**ReserveNow** | Mobile Application
Created a mobile application enabling users to browse restaurant layouts, select specific seats or tables, and complete dining reservations through an intuitive booking experience.

**Additional Projects**
Led personal design project independently while contributing to multiple collaborative team-based design initiatives.

## Tools & Software
Figma | FigJam | Adobe Photoshop | Adobe Illustrator

## Design Methodology
Problem Definition → Competitive Analysis → Target Audience Research → Task Analysis → Customer Journey Mapping → User Flow Definition → Wireframing → Interactive Prototyping → Visual Style Development → Cross-Device Adaptation"
98322,"**UI/UX Designer**

Creative and detail-oriented UI/UX Designer with 1.5 years of experience crafting user-centered interfaces that balance visual appeal with intuitive functionality. Solid foundation in UI and UX design principles with a commitment to responsive, accessible design.

**Core Competencies**

- Wireframing, Prototyping & High-Fidelity Design
- Design Tools: Figma, Sketch, Adobe XD
- Responsive & Accessible Web Design
- Industry Standards & Emerging Web Design Trends

**Experience**

- Design responsive, accessible websites and web applications aligned with industry standards and current design trends
- Partner with cross-functional teams—including designers, developers, and stakeholders—to deliver high-quality designs on time and within project scope
- Develop user-centered interface designs that prioritize usability and visual coherence"
98323,"# UX/UI Designer

**Junior UX/UI Designer – Ukraine**

Completed a comprehensive UX/UI design course and applied methodologies to establish and lead a design team. Cultivated a collaborative environment where team members exchanged ideas, developed skills, and produced innovative products. Combined hands-on design expertise with team leadership to achieve measurable results.

**UX/UI Designer – 2022–2023**

Built and managed a design team specializing in UX research, prototyping, and interface design. Established workflows for knowledge sharing and cross-functional collaboration while ensuring consistent delivery of high-quality design projects.

**UX/UI Designer – February–March 2023**

Led end-to-end interface development for a medical clinic. Conducted UX research to inform the creation of a user-friendly, intuitive interface that balanced business objectives with user needs. Delivered final designs through effective team collaboration.

**Freelance Graphic & UX/UI Designer – March 2023–Present**

Design websites and digital content for individual clients and small teams. Deliver tailored design solutions through collaborative client partnerships."
98324,"# UX/UI Designer

## Professional Summary

UX/UI Designer specializing in web and mobile applications, dedicated to creating digital experiences that solve problems and simplify users' lives. Skilled at transforming concepts into functional products through collaboration with product managers, developers, and design teams.

## Core Competencies

- UX/UI Design
- Web & Mobile Design
- Motion Design
- Full-Cycle Design Process
- User Research & Analysis
- Interface Prototyping
- Visual Style Development
- User Journey Mapping

## Design Approach

I employ a full-cycle methodology: analyzing requirements, prototyping interfaces tailored to target audiences, developing brand-aligned visual styles, and crafting seamless user journeys. My motion design background strengthens my ability to create dynamic, engaging digital experiences.

## Project Experience

**Unreal** – Mobile Application
- Executed full-cycle design for a mobile table-booking platform featuring unusual restaurants
- Created a user-friendly interface enabling convenient reservations at unique dining locations

**Wings of Hope** – Web Service
- Led full-cycle design for a social infrastructure restoration project supporting Ukraine
- Designed an interface connecting restoration requests for damaged infrastructure with assistance from Ukrainian and international partners, governments, private organizations, and investors

**Slavsko Ski Resort** – Website Redesign
- Delivered full-cycle redesign, restructuring site architecture and establishing a distinctive visual identity
- Targeted both local and international tourist audiences

**Audi Q3 Test Drive** – Landing Page
- Completed full-cycle design for an advertising landing page featuring integrated test drive booking functionality

## Education

Certificate in UX/UI Design, Web Design, and Mobile Design – 8-month intensive program with practical application"
98325,"# Web Designer

## Professional Summary
Dedicated web designer focused on creating attractive, functional interfaces that prioritize user experience and meet client objectives. Skilled in translating user needs into effective design solutions through research-driven approaches and collaborative problem-solving.

## Core Competencies
- UI/UX Design Principles
- Page Layout Design
- Information Architecture
- Visual Design
- Navigation Design
- Design Tools
- Requirements Analysis
- User Persona Development

## Projects

**Museum Website**
- Designed comprehensive website interface focused on maximizing visitor engagement
- Developed page layouts informed by user persona research and museum-specific requirements
- Optimized exhibit placement, navigation flow, and visual hierarchy
- Applied UI/UX design principles to create aesthetically appealing, functional interfaces
- Conducted detailed requirements analysis to drive strategic design decisions

## Professional Development
- Expanding expertise in UI/UX design through continued learning
- Building collaborative experience in team environments
- Mastering emerging technologies and design tools
- Committed to creating intuitive interfaces that enhance user experience and support business objectives"
98326,"# Resume

## Education

**Projector Institute**

Completed Modules:
- Web Design Beginning
- Web Design Junior

Currently Pursuing:
- UX Design Module

## Experience

**Web Design Junior Project**
- Partnered with two clients to deliver high-fidelity website redesign prototypes
- Led client briefings and curated design references to align project vision
- Developed comprehensive mindmaps and wireframes to guide design direction
- Designed UI layouts with responsive mobile adaptations

**Internship — Sahu Media** | German Design Bureau
- Produced digital advertisement banners using Adobe Photoshop for client campaigns
- Built and maintained client websites on the WordPress platform"
98327,"# RESUME

## EDUCATION

**Web Design, UI/UX Design, Mobile Design** | IT School ""Hillel""
2023 – Present

**Web Design Basic Course** | IT School ""Hillel""
2022–2023

## SKILLS

Figma | Photoshop | Illustrator

## EXPERIENCE & PROJECTS

**Design Projects** | 2023 – Present

- Designed and developed websites and landing pages
- Executed website redesigns with mobile application adaptations
- Created web service designs optimized for cross-platform use
- Conducted target audience and competitor research to inform design decisions

## PROFESSIONAL QUALITIES

- Detail-oriented with strong attention to accuracy
- Reliable and accountable in meeting project requirements
- Committed to continuous professional development in IT"
98328,"# UX/UI DESIGNER

Astute and organized UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user-friendly wireframes and prototypes.

## PROJECT EXPERIENCE

**Landing Page for a Flower Shop**

Designed a landing page to advertise a flower shop's delivery service. Conducted competitor analysis and created a moodboard to establish emotional context. Developed wireframes, UI kit, and executed the final landing page design.

**Redesign of ""Il Griso"" Italian Roastery Website**

Led website redesign to increase visual appeal and usability. Performed competitor analysis and created organizational structure for site elements. Developed wireframes and UI kit for selected pages, completed prototyping and responsive adaptation.

**Web-Service for a Cleaning Company**

Designed a web-service for a cleaning company.

**Mind Map Project**

Served as Scrum Master for team project ""Mind Map.""

---

Seeking to join an innovative design team to enhance user experience, leveraging creativity and problem-solving skills to create industry-leading products."
98329,"**PROFESSIONAL EXPERIENCE**

**Web Designer Assistant**

- Developed landing pages, online stores, and interactive prototypes
- Designed banners, price lists, and printed marketing materials
- Created designs for Western market products targeting Etsy store audiences
- Produced event collateral including invitations, labels, photo banners, business cards, and order forms
- Developed social media content strategy and visuals for Pinterest, Instagram posts, and stories

**TECHNICAL SKILLS**

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Canva

**Design Expertise:** UI/UX principles, Bootstrap grid system, adaptive design

**CORE COMPETENCIES**

- Project management with strong organizational and self-discipline skills
- Team collaboration and leadership
- Proactive planning and execution
- Commitment to continuous learning and professional development"
98330,"# RESUME

## PROFESSIONAL EXPERIENCE

**Freelance Web Designer**

- Designed and delivered commercial website for dental clinic client

## SKILLS & EXPERTISE

- UI/UX Design
- Web Design
- Figma
- Product Observation

## QUALITIES

- Collaborative team member with strong communication skills
- Self-motivated with demonstrated initiative
- Committed to continuous professional development

## AVAILABILITY

- Available for immediate start
- Open to remote internship opportunities"
98331,"# PROJECTS

**Balance Spa**
Landing page design featuring Lo-fi and Hi-fi wireframes, interactive prototype, comprehensive UI kit, and developer-ready specifications.

**Foodly**
Mobile application design for supermarket product delivery service.
- Client briefing and target audience definition
- Competitive and heuristic analysis
- User flow and sitemap development
- Lo-fi and Hi-fi wireframe design
- UI kit creation
- User testing and iteration
- Adaptive design implementation

**Joccellum**
E-commerce jewelry platform design.
- Client briefing and target audience definition
- Competitive and heuristic analysis
- User flow and sitemap development
- Lo-fi and Hi-fi wireframe design
- UI kit creation
- User testing and iteration
- Adaptive design implementation"
98332,"# ANASTASIA

## PROFESSIONAL SUMMARY

Web designer with UI/UX expertise, committed to continuous learning and professional development. Skilled in user-centered design principles, from target audience analysis to responsive prototyping. Seeking opportunities in product companies or game development to apply and expand practical experience.

## EDUCATION

**UI/UX Designer Course**
Hillel Computer School

## CORE COMPETENCIES

**Visual Design**
Font Theory | Color Theory | Image and Illustration Design | Icon Design

**UI Systems & Architecture**
UI Kit Development | Styles and Components | Atomic Design Approach | Auto Layout

**User Experience**
Target Audience Analysis | User Personas | Site Types and Structure

**Technical Execution**
Grid Systems | Prototyping | Responsive Design and Adaptability

## PROFESSIONAL INTERESTS

Product Company Design | Game Development Design"
98333,"# RESUME

## OBJECTIVE
Design professional seeking to apply and expand expertise in graphic design and UI/UX within a professional environment.

## PROFESSIONAL EXPERIENCE & PROJECTS

**UI/UX Design Project - Turkish Airlines App Redesign**
- Conducted comprehensive heuristic analysis of existing application design
- Identified and implemented strategic design improvements while maintaining familiarity for established user base

**Zero to Hero Design Courses - Richard Bank**
- Designed system architecture for banking platform
- Created cohesive mobile application design
- Developed comprehensive website design

**Part-time Design Work**

## EXHIBITIONS
- The Art of Change, Ukrainian House
- 24.02 Before and After (Photo Exhibition)
- Cardiff School of Art and Design, Cardiff Metropolitan University

## EDUCATION

**Art Academy**
- Typography, Composition, and Color Theory
- Adobe Photoshop, Adobe Illustrator, and Figma

## SKILLS

**Design:** Graphic Design, UI/UX Design, Typography, Composition, Color Theory

**Tools:** Adobe Photoshop, Adobe Illustrator, Figma

**Methods:** Heuristic Analysis"
98334,"# CAR WASH APP

**Mobile Application** | Location-Based Car Wash Discovery & Booking Platform

Geodata-powered solution enabling users to locate car washes, make online reservations, select services, and process payments seamlessly.

---

## Role

**Team Leader**

Led cross-functional project team through complete development lifecycle from conception to delivery.

---

## Key Contributions

- Conducted competitive analysis to identify market opportunities and inform product strategy
- Designed comprehensive user flows to optimize customer journey and conversion
- Created wireframes establishing application structure and navigation architecture
- Developed interactive prototypes for stakeholder review and user testing
- Executed design development ensuring cohesive visual identity and user experience"
98335,"# PROFESSIONAL SUMMARY

Experienced designer with a track record of delivering user-centered design solutions. Skilled in competitive analysis, user flow optimization, and interface design. Effective working independently and collaborating within team environments.

# PROJECTS

**CloudyClean Webservice**
Designed a cleaning service platform enabling users to quickly find and book cleaners through filtered search. Conducted in-depth competitor analysis and user flow research. Developed detailed prototypes and refined user interface design.

**Alaska Pete's Website Redesign**
Led user interface modernization to enhance convenience, comprehensibility, and visual appeal. Performed comprehensive analysis of user flow, site components, and overall site logic.

**FlowerLower Landing Page**
Created an intuitive, aesthetically pleasing landing page for a flower shop. Analyzed user behavior and purchase logic to inform design decisions.

# EXPERIENCE

- Independent project delivery
- Cross-functional team collaboration

# AVAILABILITY

Open to freelance projects and junior designer positions in office or remote environments."
98336,"# Resume

**E-Commerce Website Development**
Collaborated directly with NOVI Luxe to design and develop their e-commerce website from concept to launch.

**User Research & Design**
Conducted comprehensive user research through surveys and interviews. Developed wireframes, user flows, and interactive prototypes in Figma to visualize and communicate design concepts.

**Design Validation**
Implemented A/B testing to validate design decisions and optimize user experience.

**Project Delivery**
Delivered project on time and within budget, receiving positive client feedback."
98337,"# PROFESSIONAL EXPERIENCE

**UI/UX Designer**
Collaborated with diverse clients across media, events, professional services, and cultural sectors, including Looqme, HoReCa Show, S-Prof, and Lviv Organ Hall. Delivered design and commerce solutions over a 1+ year engagement.

# EDUCATION

**UI/UX Design Certification**
LITS

# CORE COMPETENCIES

**Design Tools**
Adobe Photoshop · Adobe Illustrator · Figma · InVision

**Expertise**
UI/UX Principles · Project Development · Team Collaboration"
98338,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Comon Agency**
January 2022 – February 2022
Commercial Projects

**Independent Practice**
February 2022 – Present
Commercial Design Projects

**PROJECT EXPERIENCE**

**""On the Way"" Product Delivery Platform** | Client: Alexey
- Landing page design and development
- Brand identity system creation

**""Sammy Icon"" E-commerce Platform** | Client: Phillip
- Complete website redesign and development for multi-page online store
- UX research and analysis
- Wireframe development
- Style guide creation and visual design implementation"
98339,"# UI/UX DESIGNER

## PROFESSIONAL SKILLS

**Design Expertise**
- UX Design
- GUI Design
- Human-Centered Design
- Design Thinking
- Typography

**Tools & Software**
- Figma
- Adobe Photoshop

## PORTFOLIO PROJECTS

- **Landing Page Design** – Crafted user-focused landing page layouts optimized for engagement and conversion
- **E-Commerce Design** – Developed intuitive shopping experiences with streamlined user flows
- **Adaptive Design** – Created responsive interfaces ensuring seamless experiences across devices

## EDUCATION

**UI/UX Design Certificate**
Comprehensive program covering user experience principles, interface design, and industry-standard tools"
98340,"# UX/UI Designer

## Education

**Certificate of UX/UI Designer** | Beetroot Academy

**CELI4 C1 Certificate** | Italian Language Proficiency

## Core Competencies

**UX Research**
Mind Mapping | Information Architecture | Brief Analysis | Competitive Analysis | Empathy Mapping | User Personas | Customer Journey Mapping | User Flow Design | Wireframing

**UI Design**
Figma | Adobe Photoshop | Adobe Illustrator | Interactive Prototyping | Adaptive UI Design | Composition | Typography | Color Theory | Grid Systems | Design Patterns

## Project Portfolio

**Mobile Application for Family Medicine Clinic**
Designed end-to-end user experience from research through interactive prototyping

**Landing Page for Design Studio**
Created responsive design with focus on composition and typography

**Website for Beauty Salon**
Developed adaptive UI design utilizing grid systems and color theory

**Icon and Logo Design for Application**
Crafted visual identity assets using Adobe Illustrator"
98341,"# RESUME

**PROFESSIONAL OBJECTIVE**

UX/UI Designer and Developer seeking real-world experience to expand expertise in UX/UI principles and user-centered design practices.

**EDUCATION**

**Master's Degree in Architecture and Urban Planning**
May 2023

Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

**PROFESSIONAL EXPERIENCE**

**UX/UI Designer & Developer**

**FeelFull** | Food Delivery Enterprise – Website Redesign
- Conducted comprehensive UX research including user interviews, surveys, and competitor analysis
- Developed user personas and user stories to guide design decisions
- Designed user flows, wireframes, and animated prototypes
- Participated in online client meetings throughout project lifecycle

**TviyBrend** | Accessories Retail Company – Catalogue Website
- Applied responsive and adaptive design principles
- Delivered visually appealing digital product from design through implementation

**Colory** | Photo Colorization App – Mobile Application
- Designed mobile application transforming black and white photos into color
- Managed full development lifecycle from initial design to final implementation

**TECHNICAL SKILLS**

HTML | CSS | Responsive Design | Adaptive Design | Mobile Application Development | Website Development | Wireframing | Prototyping | Animation

**CORE COMPETENCIES**

User-Centered Design | UX Research | Critical Thinking | Analysis | Self-Organization

**PROFESSIONAL DEVELOPMENT**

Completed two comprehensive courses in mobile application and website development, covering design, UX research methodologies, and web development fundamentals."
98342,"# Resume

**Professional Summary**

UI/UX Designer specializing in web and mobile application design. Delivers user-friendly interfaces through strategic competitor analysis, thoughtful prototyping, and collaborative problem-solving. Dedicated to professional growth and team-driven success.

**Core Competencies**

- UI/UX Design & Prototyping
- Web & Mobile Application Layout
- Competitor Research & Analysis
- Sitemap & Functionality Architecture
- Team Leadership & Collaboration
- Figma, Illustrator, Photoshop
- Project Deadline Management

**Project Experience**

**Search for Lost and Found Animals | Team Lead**
- Directed team through full website development lifecycle
- Conducted comprehensive competitor analysis to inform design strategy
- Architected sitemap structure and core site functionality
- Translated project requirements into tailored design solutions

**Furniture Store Landing Page**
- Performed competitor analysis and curated design references
- Designed prototype and complete UI page layout
- Delivered intuitive, user-friendly landing page optimized for customer engagement

**Professional Development**

Actively expanding expertise in UI/UX design through continuous skill acquisition. Seeking opportunities to contribute and grow within a team of experienced professionals."
98343,"# UX/UI DESIGNER

## Education

**Projector Institute** — UX Design
*Currently Enrolled*

**Projector Institute** — UX/UI Design
- Typography, Auto Layout, Wireframe, Prototype

**Google UX Design Foundations** — Coursera
- User Experience, Wireframe, Prototype, UX Design

## Core Skills

**Design Fundamentals:** Typography, Auto Layout

**UX Process:** User Experience, UX Design, Wireframe, Prototype"
98344,"# UI/UX Designer

## Professional Summary

UI/UX Designer skilled in transforming abstract concepts into strategic wireframes and polished interfaces. Adept at building MVPs and implementing Design Systems to accelerate delivery timelines and enhance client presentations. Proven ability to design intuitive experiences across web and mobile platforms.

## Core Competencies

- Concept Development & Wireframing
- MVP Development
- Design System Implementation
- Web Interface Design
- Mobile Application Design
- Cross-Functional Team Collaboration

## Experience & Projects

**Landing Page – ""Rainbow""**
Redesigned a kindergarten website, modernizing the visual design and restructuring the information architecture to streamline appointment booking and curriculum selection for parents.

**Web Service – ""CleanHouse""**
Partnered with a three-person team to design a dual-sided service platform connecting users with cleaning professionals while providing a registration system for cleaner candidates.

**Mobile App – ""MY BRAND""**
Collaborated with one team member to design a mobile shopping application featuring integrated home delivery functionality.

## Education

**UI/UX Designer Course** | GoIT School
February 2023 – August 2023"
98345,"# RESUME

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**

• Designed and developed e-commerce platforms, landing pages, and mobile app interfaces that drive user engagement
• Collaborated with clients to translate business requirements into visually compelling design solutions
• Created responsive, user-friendly interfaces by applying modern design principles and techniques
• Leveraged Figma to accelerate prototyping and streamline iterative design workflows
• Delivered projects on schedule through effective stakeholder communication and meticulous attention to detail throughout the design implementation process"
