,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
98254,"# UX/UI DESIGNER

## QUALIFICATIONS

• Completed UX-UI design course with expertise in design fundamentals and Figma
• Skilled in creating interactive designs that improve user interaction with products
• Experienced in redesigning website interfaces and implementing improvements that enhance user-friendliness

## EXPERIENCE

**UX/UI Designer**
Agencies, startups, and product companies

• Developed landing pages, mobile applications, and web services

## PROJECTS

**Landing Page for Handmade Artist** (UX-UI Case Study, Real Client)
Created landing page for presenting unique products on international market; designed wireframe, selected natural colors to accentuate artist's work, and developed light parallax animation

**Mobile App for Gift Delivery** (UX-UI Case Study)
Designed mobile application enabling users to remotely select gifts from recommendations and send them with flowers on specific date/time for special occasions

**Fitness Coach Website Redesign**
Restructured website by simplifying overloaded design and highlighting key elements to attract future clients

**Social Media Banners**
Designed social media banners for charitable organization"
98255,"# UI/UX DESIGNER

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs through user research, interactive prototyping, and adaptive design methodologies.

## SKILLS

UX Research • Personas & User Flows • Jobs To Be Done (JTBD) • Customer Journey Mapping (CJM) • Wireframing • UI Design • Adaptive Design • Interactive Prototyping • Competitive Analysis • Behance Portfolio Management

## PROJECTS

**PetSearch Web Service**

Collaborated on full-cycle team project developing a web service for locating lost animals. Created comprehensive user experiences for two distinct user groups: pet owners who lost animals and individuals who found them. Executed UX research, persona development, user flows, JTBD framework, customer journey mapping, wireframing, UI design, adaptive design, and prototyping.

Key design features based on target audience and competitive analysis:
- Mobile-responsive adaptive design
- Action-oriented functionality for rapid response
- Clear, intuitive navigation
- Warm color palette

Portfolio available on Behance.

**DeliverEats Mobile Service**

Designed a mobile food delivery application focused on quick ordering and streamlined user experience. Conducted UX research, wireframing, UI design, and prototyping.

Key design features based on target audience and competitive analysis:
- Simplified interface for enhanced usability
- Home page search functionality
- Quick-sort filtering system
- Product favorites capability

Portfolio available on Behance."
98256,"# Portfolio Projects

## FlowerLower
Landing page for flower delivery company

**Responsibilities:**
- Conducted competitor analysis and research
- Designed high-fidelity wireframes
- Developed UI style guides including typography, responsive layouts, color palette, and buttons

## Mimino
Redesign of Georgian cuisine restaurant website

**Responsibilities:**
- Conducted competitor analysis and research
- Designed high-fidelity wireframes
- Created UI Kit including typography, responsive layouts, color palette, and components
- Developed interactive prototypes
- Designed mobile and tablet adaptations

## Wanderstay
Couchsurfing web-service (Team project)

**Responsibilities:**
- Conducted competitor analysis and research
- Applied design thinking methodology
- Developed JTBD framework and user personas
- Designed information architecture and user flows
- Created customer journey maps (CJM)
- Designed wireframes and dashboard interface
- Designed 404 error page
- Implemented parallax scrolling effects
- Designed mobile and tablet adaptations
- Developed interactive prototypes"
98257,"# UX/UI Designer

## Professional Summary
UX/UI Designer with experience in complete product development cycles, from competitor analysis and user research through prototyping and final design implementation. Skilled in creating user-centered designs that connect business objectives with customer needs.

## Professional Experience

**UX/UI Designer**
*Web Cleaning Service ""CLEAN""*

Independently developed a web cleaning service platform connecting service providers with clients, completing all stages from research to final design.

- Conducted comprehensive competitor analysis and UX/UI research
- Developed user flows, sitemaps, and interactive prototypes
- Designed payment page and complete user interface
- Delivered end-to-end design solution from concept to implementation

**UX/UI Designer**
*India Cafe Website Redesign*

Led website redesign initiative focused on enhancing user experience and visual design.

- Conducted target audience research to identify user needs and pain points
- Redesigned interface to improve visual perception and usability
- Delivered comprehensive design solution that enhanced overall user experience

**UX/UI Designer**
*Barbershop ""BARBER"" Landing Page*

Designed landing page through complete UX/UI process from discovery to final delivery.

- Performed competitor analysis and target audience research
- Created user-centered design based on research insights and best practices
- Delivered polished landing page design ready for development

## Core Competencies
- UX/UI Research & Design
- Competitor Analysis
- User Research & Target Audience Analysis
- User Flows & Sitemaps
- Prototyping & Wireframing
- Visual Design & Interface Design
- Responsive Web Design

## Professional Objectives
Seeking opportunities with results-driven, collaborative organizations that value professional growth and offer flexible work arrangements."
98258,"**PROFESSIONAL RESUME**

**PROFESSIONAL SUMMARY**

Detail-oriented professional with 4+ years of experience in quality control, customer support, and legal documentation. Master's degree in Law with demonstrated expertise in client relations, document management, and operational leadership. Currently transitioning to UI/UX design.

**EDUCATION**

Master's Degree in Law | 2018

UI/UX Design Course | DanIT Academy

**CORE COMPETENCIES**

Quality Control | Customer Support Leadership | Client Relations | Document Management | Legal Documentation | Process Improvement | Cross-functional Coordination | Database Management | Design Thinking

**PROFESSIONAL EXPERIENCE**

**Head of Quality Control Department, Customer Support**
Rocket Delivery | Cyprus | 6 months

- Led quality control operations for customer support department, managing performance standards and service excellence initiatives
- Developed and implemented quality assurance processes to optimize team workflow and customer satisfaction
- Established metrics-driven approach to monitor and improve service delivery standards

**Customer Support Manager**
Gambling Industry | 1 year

- Resolved complex technical inquiries and site-related issues while maintaining high customer satisfaction
- Coordinated cross-departmental escalation processes to streamline problem resolution and reduce response times
- Delivered consistent high-quality customer service across multiple communication channels

**Notary Assistant**
3 years

- Prepared and managed legal documents, contracts, and official correspondence with meticulous attention to detail
- Conducted client consultations on notarial procedures and legal requirements, ensuring comprehensive understanding
- Maintained and administered electronic registers and databases, ensuring data integrity and accessibility
- Ensured full compliance with legal standards and accuracy in all documentation processes
- Managed confidential business correspondence and client communications with discretion and professionalism

**ADDITIONAL INFORMATION**

Actively pursuing career transition to UI/UX design, combining legal expertise and customer support experience with design thinking principles to create user-centered solutions."
98259,"# [YOUR NAME]

UX/UI Designer

**PROFESSIONAL SUMMARY**

UX/UI Designer with expertise in user flow design, site mapping, prototyping, and adaptive design. Proven experience designing landing pages, websites, and web services. Skilled in competitor analysis, mood board creation, and developing intuitive user experiences across web and mobile platforms.

**CORE COMPETENCIES**

User Flow Design | Site Mapping | Prototyping | Adaptive Design | Landing Page Development | Web Services Design | Competitor Analysis | Mood Board Creation | Mobile Application Design

**TECHNICAL SKILLS**

Figma | Adobe Illustrator | Adobe Photoshop

**PROJECT EXPERIENCE**

**UX/UI Designer**
OURPAWS – Search Service for Missing Animals

- Redesigned search service interface for lost animal recovery platform
- Created comprehensive user flows, site maps, and mood boards to guide design direction
- Developed prototypes and implemented adaptive design solutions for optimal user experience

**UX/UI Designer**
LA MESA – Restaurant Table Booking Application

- Designed mobile application interface for restaurant reservation system
- Developed user interface and user experience flows to streamline booking process

**PROFESSIONAL DEVELOPMENT**

Actively pursuing skill enhancement in advanced Adobe Illustrator techniques and vector graphics design. Committed to continuous learning and professional growth in UX/UI design methodologies and best practices."
98260,"# Projects

## Landing Page for Flower Shop ""FlowerLover""

Designed and developed user-friendly landing page based on client specifications. Conducted competitive analysis and target audience research to inform design decisions. Created intuitive interface emphasizing user experience and visual design.

## Website Redesign for Alaska Pete's Restaurant

Redesigned restaurant website to modernize visual design and improve customer engagement. Delivered contemporary, user-friendly interface with integrated table reservation functionality to streamline booking experience."
98261,"**Team Leader | UX/UI Design Projects**

**Project 1: See World**
Led cross-functional team in developing intuitive interface for living space search platform. Conducted comprehensive user research and identified key opportunities to enhance site navigation and usability. Delivered streamlined interface design enabling users to efficiently search properties, complete applications, and submit inquiries.

**Project 2: GenieTable**
Designed mobile application for restaurant table reservations featuring genie-from-lamp concept reflecting instant service delivery. Developed interactive first screen with lamp element to initiate booking process. Selected strategic color scheme aligned with theme to enhance user engagement and reduce reservation process to minimal clicks.

**Project 3: Nice View** | Team Project
Created high-conversion landing page for residential complex targeting potential clients. Developed design concept positioning property as ideal location for family life and comfortable work environment. Selected calming color palette conveying safety and comfort while applying minimalist design approach to communicate style and credibility."
98262,"# UI/UX Designer

## Professional Experience

**UI/UX Designer | Personal Portfolio Projects**

Delivered three comprehensive design projects showcasing complete product design process:
- Executed competitor analysis and company research
- Conducted task and requirement analysis
- Created mood boards and design systems
- Designed minimalist websites, landing pages, and mobile applications
- Developed CRM system interfaces
- Delivered prototypes with responsive design implementation

### Project 1: Tattoo Salon Website Redesign
**GoIT Course | Individual Project**

- Analyzed target audience and curated design references
- Redesigned complete website interface
- Developed comprehensive UI kit
- Created responsive designs across desktop, tablet, and mobile platforms
- Delivered interactive prototypes with functional navigation

### Project 2: Landing Page Design
**Independent Project**

- Curated design references and mood board
- Developed UI kit
- Designed main page interface
- Executed complete design cycle from concept to delivery

### Project 3: Budget Travel Web Service
**GoIT Course | Team Project**

- Analyzed target audience and curated design references
- Developed user flow and Customer Journey Map (CJM)
- Selected and implemented design system
- Created responsive designs across desktop, tablet, and mobile platforms
- Delivered interactive prototypes with functional navigation

## Professional Values

Results-oriented designer committed to design excellence and collaborative teamwork in respectful, positive work environments. Open to flexible work arrangements including remote options. Dedicated to professional development and continuous learning."
98263,"# PROJECTS

## Team Projects

**Easy Yoga Web Service**
Designed desktop and adaptive web service from scratch to streamline connections between yoga instructors and prospective students.

**Mobile Productivity Application**
Developed mobile application to enhance productivity through integrated day planning, physical health tracking, and mental wellness monitoring features.

## Personal Projects

**Tattoo Company Website Redesign**
Executed full-cycle design project modernizing company website to align with target audience needs and current design trends, delivering intuitive user experience that improved conversion and customer acquisition."
98264,"# UX/UI Designer

## Experience

**Team Leader & UX/UI Designer** | Travelhaven  
Led team and designed user experience and interface for travel-focused project

**UX/UI Designer** | Alaska Pete's Roadhouse Grille Website Redesign  
Redesigned website for Alaska Pete's Roadhouse Grille, Seven Bridge Rd, USA (alaskapetes.com)  
Conducted competitive analysis and research to identify successful design solutions

**UX/UI Designer** | Travel Exchange Web Service (Personal Project)  
Developed interface for web service connecting travelers with hosts for work-exchange accommodations  
Designed platform enabling users to exchange work for lodging and food, targeting students and young travelers seeking affordable travel options

**UX/UI Designer** | Volunteer Website (Social Project)  
Participated in development of website for volunteers

## Projects

2 Personal Pet Projects

## Skills

UX/UI Design • User Experience Design • Interface Design • Website Redesign • Competitive Analysis • User Research • Team Leadership • Web Service Development"
98265,"# PROFESSIONAL EXPERIENCE

**Team Leader**  
SweepUp Cleaning Web-service Project

**UX/UI Designer**  
GoIT Addendum Project – Landing design implemented by student developers

# PROJECTS

**TimeWell Daily Planner Mobile App**  
Mobile application designed to help users manage time effectively, plan tasks, and achieve goals. Conducted competitive analysis, created User Personas and User flows, developed high-fidelity prototypes and UI design, and created detailed animations in Protopie.

*Tools: Figma, Photoshop, Illustrator, Protopie*

**SweepUp Cleaning Web-service**  
Web-based cleaning service platform for choosing and ordering specialists. Conducted market and competitor analysis, brainstorming sessions, and developed User Personas, JTBD, CJM, and User flows. Created prototypes, UI design, relinking, and responsive adaptations within existing design system.

*Tools: Figma, Photoshop, Illustrator*

**Bravo Furniture Site Redesign**  
Redesign of luxury furniture store website. Performed market analysis, competitor research, screen prototyping, UI design, and developed responsive layouts for mobile and tablet versions along with UI-kit.

*Tools: Figma, Photoshop, Illustrator*

**Citroen C4 Landing Page**  
Landing page enabling test drive bookings for new Citroen model. Conducted market analysis, competitor research, and created moodboard, wireframes, and animated interface.

*Tools: Figma, Photoshop, Illustrator*"
98266,"# UX/UI Designer

## Professional Experience

**Travel Joy – Web Service**  
*Team Leader, Full Cycle Team Design*

Led full-cycle design of web service connecting users with international work and travel opportunities in diverse cultural environments. Directed team workflow and project coordination from discovery through delivery. Conducted competitive analysis and developed user flows, site architecture, wireframes, and interactive prototypes. Implemented cohesive design system framework to create intuitive interface enabling users to travel internationally, gain cross-cultural experience, and connect with people across nationalities.

**Mobile App for Restaurant Table Booking**  
*Team Member*

Contributed to team-based development of mobile application for restaurant table reservations.

**Nice View – Landing Page**  
*Solo Designer, Full Cycle Design*

Delivered complete landing page design for residential apartment sales in new development complex. Executed competitive analysis and target audience research to inform design strategy. Developed low-fidelity prototypes, iterated based on stakeholder feedback, and produced high-fidelity prototypes. Established typography and color systems optimized for target buyer demographics. Created conversion-focused landing page with integrated application submission for property viewings and client feedback collection.

## Skills

Full Cycle Design • Team Leadership • Competitive Analysis • User Flow Design • Information Architecture • Wireframing • Prototyping • Design Systems • Figma • Landing Page Design • User Research"
98267,"# PROFESSIONAL EXPERIENCE

**Volunteering Projects Aggregator for Ukraine**

Developed a comprehensive platform aggregating and showcasing volunteering initiatives across Ukraine. Designed and implemented detailed project information displays, integrated donation functionality, and created intuitive navigation features for exploring related projects and volunteer organizations, enhancing user engagement and support for nationwide causes.

**Landing Page for Kickstarter Project**

Created a strategic landing page for a convertible furniture product (nightstand transforming into four chairs) to promote a Kickstarter campaign and drive conversions using the AIDA marketing model. Performed competitor analysis, curated design references, developed high-fidelity wireframes, and delivered adaptive website design optimized for multiple devices.

**Landing Page about Rihanna**

Built an engaging informational landing page to introduce users to Rihanna and generate interest. Developed mood boards and design references, created wireframes with complex composition and typography, and produced interactive prototypes for enhanced user experience.

# CORE COMPETENCIES

**Design & Development**
Platform Development | Landing Page Design | High-Fidelity Wireframing | Adaptive/Responsive Web Design | Interactive Prototyping | Visual Design | Complex Composition Design

**User Experience**
User Experience Design | Wireframing | Typography | Navigation Design

**Strategy & Analysis**
Competitor Analysis | AIDA Marketing Model Application | Mood Board Creation | Design Reference Curation

**Technical Integration**
Donation Systems Integration"
98268,"# Projects

**Mobile Event App** (In Progress)  
Personal project developing a mobile application for event management

**Website Redesign – A Kids Place Childcare**  
Full-cycle redesign of preschool website for parents
- Conducted competitive analysis to inform design decisions
- Enhanced visual appeal and user experience through strategic design improvements
- Developed responsive design optimized for mobile and tablet devices

**Pet Search Platform – Pet Service**  
Full-cycle design team project
- Designed comprehensive web service for pet adoption and pet-related services discovery
- Conducted target audience research and market analysis
- Collaborated cross-functionally with team members throughout project lifecycle
- Developed responsive design for mobile and tablet platforms
- Created centralized platform connecting pet owners with multiple services"
98269,"**EDUCATION & PROFESSIONAL DEVELOPMENT**

Projector UX Beginner Course  
KronaStudio&School Web Design Course

**EXPERIENCE**

**Volunteer UX/UI Designer**  
University IT HUB | 1 year  
Redesigned university websites and designed interfaces for institutional needs. Conducted UX research, solution evaluation, and usability testing. Collaborated cross-functionally with developers and project managers using Jira for task management and workflow coordination. Contributed to UI library development while expanding interface design expertise through team mentorship.

**UX/UI Designer**  
Projector UX Beginner Course  
Delivered end-to-end design solutions for stakeholder projects both independently and collaboratively within design teams. Led UX research initiatives, identified user pain points, and translated insights into functional UI designs.

**Design Intern**  
2 months  
Contributed to product development alongside development team, applying UX/UI principles in a collaborative environment."
98270,"# PROFESSIONAL EXPERIENCE

**3D Graphic Specialist**  
HOVER Ukraine | Feb 2021 - Jun 2023

- Modeled 3D exteriors and interiors using SketchUp
- Reviewed and quality-checked 3D models created by other modelers

# PROJECT EXPERIENCE

**YoHome - Web Service for Hosting and Renting Housing**  
Team Leader

- Led cross-functional team in developing web platform for housing rental and hosting services
- Developed user interface from initial concept through final implementation
- Designed intuitive user flow with thoughtful details and consistent service stylization
- Created responsive design adaptation maintaining seamless user experience across devices

**Sophie Scholl Realschule Website Redesign**  
Study Project

- Redesigned institutional website to deliver aesthetically pleasing, user-friendly, and informative online platform
- Presented school's mission, values, and offerings to target audience
- Researched and analyzed competing school websites and education sector web design best practices
- Conducted competitive analysis and audience research to inform design decisions

**Additional Projects**

- Completed 3 independent projects across diverse subject areas

# TECHNICAL SKILLS

HTML | CSS | SketchUp | UI/UX Design"
98271,"**PROFESSIONAL SUMMARY**

Multidisciplinary designer with 4 years of experience across interior, graphic, and industrial design. Master's degree in Environmental and Industrial Design with specialized training in UI/UX design, Figma, and interface design (2022). Seeking to leverage comprehensive design background and user-centered approach to advance as a UI/UX design professional.

**EDUCATION**

Master's Degree in Environmental and Industrial Design

**PROFESSIONAL CERTIFICATIONS**

GENIUS Courses (2022)
- Fundamentals of Web Design
- Working with Figma
- UX/UI: Projecting and Design of Interfaces

**PROFESSIONAL EXPERIENCE**

**Interior Designer**
Company employment and freelance

- Developed comprehensive interior design projects for diverse clients from concept to completion
- Created design solutions addressing client needs across residential and commercial spaces

**Graphic Designer**
Freelance

- Designed brand identity materials including logos, business cards, and banners
- Produced custom artwork and paintings for clients
- Delivered cohesive visual communications across multiple media

**SKILLS**

Design: UI/UX Design, Web Design, Interior Design, Graphic Design, Industrial Design
Software: Figma

**LANGUAGES**

Polish: B2
English: B1
Spanish: B1"
98272,"# UI/UX DESIGNER

## PROFESSIONAL OBJECTIVE

UI/UX Designer with 6 months of professional experience creating comprehensive, user-centered designs that maximize conversions and deliver intuitive user experiences. Proven ability to manage full design lifecycle from concept to implementation.

## PROFESSIONAL EXPERIENCE

**UI/UX Designer | 6 Months**

- Designed user interfaces across multiple platforms including landing pages, e-commerce platforms, portfolio sites, and mobile applications (iOS and Android)
- Led complete website redesign projects from initial concept through final delivery
- Executed end-to-end design process: competitor analysis, user flow mapping, wireframing, and interactive prototyping
- Developed responsive UI designs optimized for desktop, tablet, and mobile experiences
- Enhanced user engagement through strategic implementation of web animations
- Partnered with front-end development teams to ensure accurate design translation and seamless implementation

## EDUCATION & TRAINING

**UI/UX Design Course | 5 Months**

- Completed intensive training in UI/UX design principles, methodologies, and industry-standard technologies
- Mastered Google Material Design Guidelines and Human Interface Guidelines application
- Applied design principles through hands-on practical projects

## CORE COMPETENCIES

**Design Expertise:** UI/UX Design • Responsive Web Design • Wireframing & Prototyping • Mobile Design (iOS & Android) • Web Animation

**Process & Strategy:** User Flow Development • Competitor Analysis • Cross-functional Collaboration

**Design Systems:** Google Material Design Guidelines • Human Interface Guidelines"
98273,"# UX Designer

## Summary
User-centered design professional with expertise in accessibility standards, equity-focused design, and end-to-end UX design processes. Skilled in translating client needs into engaging digital experiences across multiple platforms.

## Skills & Expertise

**UX/UI Design**
- User-centered design principles
- UX design process & methodology
- Design sprints
- Accessibility standards
- Equity-focused design

**Digital Design**
- Social media design (Instagram, Twitter, Facebook)
- Landing page design
- Banner design
- Application and website planning

**Tools & Platforms**
- Webflow

## Professional Experience

**Freelance UX Designer** | 6 months

- Collaborated with clients on application and website planning to define user flows and project requirements
- Created high-converting landing pages and promotional banners for digital campaigns
- Developed and launched responsive blog using Webflow
- Designed social media banners for Instagram, Twitter, and Facebook to enhance brand engagement

## Education

**UX Design Course** | Hillel IT School
Successfully Completed"
98274,"# UI/UX Designer

## Professional Summary
Junior UI/UX Designer specializing in creating effective and aesthetically pleasing designs that enhance user experience. Expertise in full-cycle design services including landing pages, e-commerce platforms, website redesign, and web services.

## Education
UI/UX Design Course (6 months)

## Professional Experience

### Featured Projects

**""Wish"" Gift Delivery Mobile App**
Designed mobile application for flower and gift delivery with product selection and scheduling capabilities. Executed full-cycle design process: competitive analysis, UX personas, user flow, wireframes, and UI design.

**""Fitroom"" Fitness Studio Corporate Website Redesign**
Redesigned corporate website with modern interface to increase sales conversion. Conducted competitor analysis, established stylistic direction, built prototypes, optimized responsive interfaces for mobile and tablet, and developed comprehensive UI kit.

**""VDOMA"" Ukrainian Couch-Surfing Web Service**
Created web service platform to facilitate affordable accommodations and promote Ukrainian tourism. Delivered full-cycle design including competitive analysis, UX personas, empathy map, sitemap, MVP definition, and user flow diagram. Developed tablet and mobile adaptations. Executed A/B testing after first iteration to identify and resolve usability issues.

### Additional Projects
- Service accounting table UI for cleaning company
- Website sidebar UI
- Team page with paddings using AutoLayout
- User page for online learning resource
- Dashboard for ed-tech product for school students
- Animated desktop start screen UI for website
- Modal window confirming card-to-card money transfer
- Administrator dashboard for managing user rights

## Core Competencies
Full-cycle design • Competitive analysis • UX personas • User flow • Wireframing • UI design • Prototyping • Responsive design • UI kits • A/B testing • AutoLayout • Landing pages • E-commerce • Website redesign"
98275,"# JUNIOR UX/UI DESIGNER

## PROFILE

Passionate and creative Junior UX/UI Designer with a strong foundation in design principles and keen eye for aesthetics. Committed to creating exceptional user experiences through innovative digital interactions. Continuously developing skills while staying current with industry trends and evolving technologies. Eager to collaborate on challenging projects that drive positive user impact.

## PROJECT EXPERIENCE

### Petsearch | Web Service for Lost and Found Animals
Designer and Mastermind

Designed user-friendly web service connecting pet owners with lost animals and helping individuals return found pets to their owners. Created comprehensive design solution focused on delivering quick results and enjoyable user experience. Developed UI elements and identified project themes. Service includes functionality to support shelter promotion and volunteerism.

### A Kids Place Childcare | Website Redesign
Designer

Redesigned kindergarten website including technical and research components. Conducted analysis of existing design and competitive landscape. Worked on three pages, identifying product strengths and weaknesses. Developed user expectations and created page visuals aligned with research findings. Produced comprehensive documentation including UI kit with created and implemented UI elements.

### FlowerLover | Landing Page Design
Designer

Designed landing page for flower shop featuring UI elements including buttons and inputs. Conducted thorough research including competitor analysis, moodboard creation, and page structure determination. Selected colors and shades aligned with natural color palette.

## SKILLS

UX/UI Design | Design Principles | User Experience Research | Competitive Analysis | Visual Design | UI Kit Development | Documentation | Moodboard Creation | Page Structure Design | Color Theory"
98276,"# [Your Name]

**Junior UI/UX Designer**

## Professional Summary

Junior UI/UX designer with proven experience in collaborative team environments and independent design projects. Strong foundation in core design principles, including color theory, typography, and visual design. Seeking opportunities to expand expertise and contribute to creating exceptional user experiences within a dynamic team.

## Skills

- UI/UX Design
- Color Theory
- Typography
- Visual Design
- Design Principles
- Team Collaboration
- Portfolio Development

## Project Experience

**UI/UX Designer | Tattoo Studio Website Redesign**  
December 2022 – January 2023

Redesigned tattoo studio website to deliver a modern, user-friendly interface. Enhanced navigation elements and introduced new functionality for tattoo ordering. Improved presentation of tattoo artists' work and integrated customer review system.

**UI/UX Designer | Lost Animal Recovery Service (Academic Project)**  
February 2023 – March 2023

Designed web service for locating lost pets. Developed comprehensive functionality enabling users to create and publish advertisements for lost or found animals. Created efficient tools for information dissemination and communication between pet owners. Collaborated with experienced designers, receiving guidance and project assignments throughout development.

## Professional Development

- Self-directed education in UI/UX design through online courses and industry literature
- Continuous learning of emerging design technologies and methodologies
- Ongoing portfolio development and quality enhancement
- Diverse project experience exploring multiple design disciplines

## Career Goals

Collaborate with experienced designers on diverse, challenging projects while advancing professional skills through adoption of emerging technologies and UI/UX design trends."
98277,"# UX/UI Designer

## Profile

Creative and skilled UX/UI Designer specializing in websites, web services, mobile apps, logos, advertisements, and posters. Fast learner with a proven track record of delivering aesthetically pleasing, functional designs. Seeking remote opportunities to collaborate with forward-thinking teams.

## Core Competencies

• UX research and analysis
• UI design for dashboards, tables, websites, and web services
• User persona development and customer journey mapping
• Information architecture and user flow design
• Wireframing and prototyping
• Logo design and 3D animation
• Team collaboration and project presentation

## Professional Experience

**Freelance UX/UI Designer**

*Korg Sound Library Cover Design*
Designed two illustrations for sound library covers. Analyzed reference materials and created designs aligned with client specifications, delivering final assets to client satisfaction.

*Sinevibes Logo Animation*
Produced animated 3D logo for video intro. Executed complete modeling, shading, and rendering workflow to deliver rotating logo animation.

## Selected Projects

**UrbanFest Landing Page Design**
Designed landing page from concept to completion. Developed moodboard and wireframe, delivering minimalistic final design.

**CustomConcepts Tattoo Website Redesign**
Redesigned tattoo website to modernize user experience. Conducted competitor analysis, prototyped solutions, and delivered comprehensive, functional, aesthetically refined website design.

**Accommodation Web Service Design**
Designed web service for finding low-price accommodation abroad. Conducted UX analysis including two user personas and customer journey mapping. Developed information architecture, user flows, wireframes, and full-color final design.

**Beatcraft Mobile App Design**
Designed music mobile app with complete interface. Analyzed target audience, created wireframes, and designed features including two-factor authentication and in-app achievements.

**Literature Project**
Led design and presentation of literature-related project as part of collaborative team."
98278,"# UI/UX Designer

Dedicated UI/UX designer from Ukraine specializing in intuitive, user-centered design solutions. Skilled in translating user problems and business requirements into thoughtful design projects through research, wireframing, and prototyping. Detail-oriented professional committed to continuous learning and delivering outstanding products.

## Core Competencies

**Design Tools & Systems**
Figma (auto layout, styles, components, design systems) | Protopie | Prototype animation

**UX/UI Capabilities**
User-centered design aligned with business requirements | UX problem identification and troubleshooting | Responsive and adaptive design | User flow creation and wireframing

**Research & Strategy**
Competitor analysis | Target audience research | Persona development

## Project Portfolio

**Lunushka Shop Mobile App**
Mobile application for online retail platform. Conducted comprehensive research including competitor analysis, target audience analysis, and persona development identifying user needs, wishes, and fears. Created user flows, detailed wireframes, and intuitive interface design. Delivered onboarding screens, animated customer prototype, and Protopie onboarding implementation.

**Globetrot Web Service**
Web service platform for organizing economical international accommodations. Performed in-depth research to identify user problems and formulate design solutions. Developed detailed wireframes, UI design, adaptive layouts, and animated prototypes.

**Tattoo Studio Website Redesign**
Complete website modernization based on detailed analysis. Designed contemporary interface with improved usability and informative pages to attract new customers and facilitate artist partnerships.

**Flower Shop with Delivery Landing Page**
E-commerce landing page for flower delivery service. Conducted user research, competitor analysis, and persona creation. Developed moodboard and high-fidelity prototype featuring intuitive navigation and appealing interface. Delivered fully responsive designs for desktop, tablet, and mobile devices.

## Professional Experience

**UI/UX Designer Training**
Completed 4 projects during UI/UX designer courses, working independently and collaboratively. Contributed to team projects focusing on user interface design, filter systems, and verification methods for web services."
98279,"**JUNIOR UI/UX DESIGNER**

**ABOUT ME**

Junior UI/UX Designer with experience working on team and individual design projects. I perform the complete design cycle: analysis, developing ideas, prototyping, user interface design, and adaptation. Competent at creating user-friendly interfaces with easily navigable design. Open to working on interesting projects that achieve your goals and solve problems.

**PROJECT EXPERIENCE**

**UI/UX Designer | Pet Search Webservice**  
December 2022 – February 2023

Developed webservice to help owners of lost animals find them faster through simple, usable, and visually pleasing design.
- Conducted competitor analysis and created user personas
- Developed sitemap and high-fidelity prototypes
- Designed user interface and responsive adaptation
- Strengthened communication, organizational, delegation, and time-management skills

**UI/UX Designer | Mobile App for Flower & Gift Delivery**  
Current

Collaborating in team environment on mobile app design and development.
- Contributing to user experience and interface design
- Supporting design system development and implementation

**UI/UX Designer | MIMINO Restaurant & Hotel Complex Website Redesign**  
October 2022 – November 2022

Redesigned website to improve user experience and modernize visual design.
- Analyzed existing website to identify user pain points and design solutions
- Researched and selected design references aligned with brand goals
- Created detailed prototypes, visual design, and responsive adaptation

**UI/UX Designer | Yoga Studio Landing Page**

Designed landing page for yoga studio to enhance online presence and user engagement."
98280,"# Junior UX/UI Designer

## Professional Summary
Self-motivated Junior UX/UI Designer with meticulous attention to detail and a passion for creating high-quality products that serve both users and business objectives. Proven experience delivering two independent projects and one collaborative team project.

## Core Competencies
• Design Tools: Figma, Adobe Photoshop, Adobe Illustrator, Canva
• UX Methodologies: Design Systems, User Flows, Customer Journey Mapping
• Analytics & Research: SimilarWeb, Competitive Analysis, User Interviews
• Project Management: Multi-stage project delivery, interface design

## Project Experience

**Look for – Web Service Platform**
Designed secure, user-friendly accommodation search platform through comprehensive three-stage delivery process. Analyzed target audience needs and developed clear interfaces for user-end experience, payment processing, and admin-side management.
*Tools: Figma, Canva, Adobe Illustrator*

**India Cafe – Website Redesign**
Revitalized cafe website to increase visitor engagement and showcase venue advantages. Conducted competitive analysis and user interviews to inform design strategy, delivering an attractive, high-demand website that elevated the client's digital presence.
*Tools: Figma, Adobe Photoshop*

**Barbershop – Landing Page**
Created promotional landing page for Ukrainian barbershop to attract potential customers. Delivered comprehensive service presentation with compelling visual design that effectively communicates brand value.
*Tools: Figma, Adobe Photoshop*

## Professional Objective
Seeking to join a collaborative team environment to create exceptional user experiences and innovative business solutions. Ready to embrace new challenges and contribute to impactful web design projects."
