,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98171,"# UI/UX Designer

## Professional Summary

UI/UX designer with one year of experience delivering creative projects in freelance and startup environments. Skilled in managing the full design lifecycle from concept to delivery and collaborating with cross-functional teams. Combines creative thinking with strong attention to detail and proactive communication.

## Experience

**Freelance UI/UX Designer**
- Managed end-to-end design projects independently, from initial concept through final delivery
- Delivered creative solutions for clients across the full project lifecycle

**UI/UX Designer – Startup**
- Collaborated with cross-functional team members on product design initiatives
- Contributed to the creative direction and visual identity of the product

## Skills

**Design Tools:** Figma, Photoshop, Illustrator, AutoCAD, Blender

**Core Strengths:** Creative thinking, cross-functional collaboration, proactive communication, attention to detail

## Additional Interests

Photography, music"
98172,"# DMITRY
## UI/UX Designer

---

### PROFESSIONAL SUMMARY

UI/UX Designer committed to visual excellence and user-centered design. Combines modern design aesthetics with thoughtful solutions to deliver exceptional results. Continuously develops expertise through design research and trend analysis.

---

### SKILLS

- UI/UX Design
- User-Centered Design
- Modern Design Principles
- Visual Styling
- Design Research & Trend Analysis

---

### INTERESTS

- Design Innovation
- Emerging Industry Practices
- Professional Development"
98173,"# UX/UI Designer

## Professional Summary

UX/UI Designer with hands-on project experience creating web services and redesigning websites. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and CorelDraw. Delivers user-centered designs through comprehensive research, wireframing, and interface development. Thrives in collaborative team environments with a proven track record of meeting project deadlines. Committed to continuous professional growth and staying current with evolving design trends.

## Skills

**Design Tools:** Figma · Adobe Photoshop · Adobe Illustrator · CorelDraw

**UX:** User Research · Competitor Analysis · Persona Creation · User Mapping · User Flow Development

**UI:** Wireframing · Interface Design

## Projects

**GetPet — Web Service for Finding Lost Animals**
- Conducted comprehensive UX research including competitor analysis, persona creation, user mapping, and user flow development
- Designed wireframes and complete user interface
- Collaborated with cross-functional team members throughout the development lifecycle

**Poltava Music School — Website Redesign**
- Delivered complete website redesign featuring a modern, user-friendly interface

## Career Objective

Seeking a remote position with flexible scheduling at a company that values professional collaboration among designers and focuses on delivering competitive, high-quality products."
98245,"# RESUME

## Education

**Design Courses**
Thesis Successfully Defended | Currently Enrolled in Professional Course

---

## Skills

- UX Research & User Audience Analysis
- Competitor Analysis
- Design Systems & UI Kit Development
- Prototyping
- Responsive & Adaptive Design
- Animation

---

## Professional Experience

**Freelance Designer** | 6 Months

- Designed promotional posters for client campaigns, translating creative briefs into compelling visual assets
- Managed end-to-end video production, from initial concept development through final rendering and delivery
- Created comprehensive brand identity for a dance festival, including logo design and visual guidelines"
98250,"**PROFESSIONAL EXPERIENCE**

**Media Buyer/Marketer**
Innovation Group | March 2016 – May 2022

- Directed advertising network operations and orchestrated traffic distribution strategies across multiple campaigns
- Designed and developed high-impact creatives and landing pages aligned with campaign objectives
- Analyzed campaign performance metrics to identify optimization opportunities and ensure quality standards
- Implemented data-driven optimizations that enhanced overall campaign results

**Account Manager**
Sprava | January 2013 – February 2016

- Cultivated and maintained strategic partnerships, serving as primary point of contact for key client relationships
- Drove revenue growth through proactive engagement and expansion of existing accounts
- Executed new customer acquisition initiatives while establishing frameworks for long-term client retention
- Collaborated on SEO implementation strategies to maximize partner account monetization

---

**EDUCATION & TRAINING**

**UI/UX Design Pro**
Hillel IT School | October 2021 – May 2022

**Design Basic**
Hillel IT School | May 2021 – August 2021"
98251,"# PROFESSIONAL RESUME

## PROFESSIONAL EXPERIENCE

**UX/UI Designer**
Freelance | March 2023 – Present
- Conduct user research and develop data-driven personas that shape design strategy
- Transform user insights into intuitive interfaces through wireframes, user flows, and high-fidelity mockups
- Design and build interactive prototypes in Figma, accelerating concept validation and stakeholder alignment

**Photographer**
The Moment, Kyiv | September 2020 – February 2022
- Executed group photography sessions, delivering compelling imagery across diverse client projects
- Elevated visual quality through detailed retouching and editing processes
- Designed photo album layouts that balanced visual hierarchy with narrative flow
- Collaborated with team members to consistently meet project deadlines

**Photographer**
The Svadba, Kyiv | March 2018 – April 2019
- Captured wedding photography across venue and studio environments, adapting techniques to varied lighting conditions
- Delivered consistent, professional-quality results through expert retouching and editing
- Managed end-to-end photo album production, from initial concept through final printed layouts
- Built lasting client relationships through clear communication and attentive service

**Aviation Security Officer**
PLC Master-Avia, Kyiv | April 2017 – December 2017
- Conducted systematic baggage screening and monitoring in compliance with safety standards
- Ensured passenger safety across airport facilities
- Delivered professional service to diverse international clientele

## EDUCATION & CERTIFICATIONS

**UI/UX Design Basic** | Prometeus | 2023

**Basics of Web UI Development** | Prometeus | 2022

## SKILLS

User Research | User Personas | Wireframing | User Flows | Mockups | Prototyping | Figma | Photo Retouching | Photo Album Design | Layout Design | Customer Service | Client Relations | Team Collaboration"
98252,"# Resume

## Projects

### VBakery
**May 2021**

Full-stack e-commerce platform for a confectionery business

- Built dynamic product catalog showcasing pastries and cakes
- Engineered interactive custom confectionery designer tool
- Implemented end-to-end order placement with real-time tracking
- Developed secure user authentication and personalized account management
- Created favorites functionality for streamlined reordering
- Integrated customer review system with comprehensive order history
- Designed informational pages featuring company details and location services

### Dim Kultury
**June 2021**

Investment platform for cultural heritage renovation and community development, comprising three integrated initiatives

- **ЖИВОТ** — Website supporting transformation of a historic nightclub into a multifunctional youth center with daytime and nighttime programming
- **ДІМ КУЛЬТУРИ** — Platform promoting a large-scale cultural center uniting financially sustainable social business projects
- **ДВІР** — Presentation for urban space development featuring a green theater, summer stage, and food court"
98253,"# Resume

## Professional Experience

**Baza Trainee Ukraine**
*June 2023 – Present*

**Design Team Lead** | Social Sector Product Development

- Lead cross-functional design team for the ""4.5.0."" Volunteer Organization website, delivering user-centered digital solutions for the nonprofit sector
- Led design for ""1000+1 Song. Kolyskovy."" project, Finalist at Hackathon 4.0: Ukraine Heritage Edition
- Coordinate team workflows and project timelines using collaborative management tools

**Tools:** Figma, Trello, Slack, Discord, Time Tracking

---

**CURSOR Education**
*January 2023 – June 2023*

**UX/UI Designer** | E-commerce Platform for Craft Business

- Conducted stakeholder interviews and competitive analysis to inform design decisions
- Executed user research and SWOT analysis to identify opportunities and optimize user experience
- Developed Customer Journey Maps and Information Architecture to streamline navigation and conversion pathways
- Designed wireframes, high-fidelity UI mockups, and interactive prototypes to validate concepts and align stakeholders"
98254,"**UX-UI DESIGNER**

---

**SKILLS**

UX/UI Design · Figma · Interactive Design · Wireframing · Landing Page Design · Mobile Application Design · Web Interface Design · Social Media Graphics

---

**EXPERIENCE**

**Handmade Artist Landing Page** | UX-UI Case Study | Real Client
Designed product presentation page for international market, developing wireframes and implementing light parallax animation with a natural color palette that complemented the artist's work

**Fitness Coach Website Redesign**
Restructured webpage layout and simplified visual hierarchy to reduce cognitive overload and support client acquisition goals

**Gift & Flower Delivery Mobile App** | UX-UI Case Study
Designed mobile application featuring curated gift recommendations and scheduled flower delivery functionality for special occasions

**Website Redesign Project**
Redesigned website interface with UX improvements focused on enhanced usability

**Social Media Banners**
Designed branded banner graphics for a charitable organization's social media channels

---

**EDUCATION**

**UX-UI Design Course**
Design Fundamentals · Figma

---

**SEEKING OPPORTUNITIES**

Available for agencies, startups, and product companies — specializing in landing pages, mobile applications, and web services"
98255,"# UI/UX Designer

Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Skilled at translating complex ideas into intuitive, visually appealing designs. Strong foundation in design principles, user research, interactive prototyping, and responsive design. Committed to creating impactful, user-friendly products that elevate the user journey.

---

## Skills

UX Research · User Personas · User Flows · JTBD · Customer Journey Mapping · Wireframing · UI Design · Responsive Design · Interactive Prototyping

---

## Projects

### DeliverEats Mobile Service
*Solo Project*

Designed a food delivery mobile application enabling users to order food quickly with minimal friction.

**Process:** UX Research → Wireframing → UI Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted target audience analysis, market research, and competitor analysis to inform design decisions
- Designed end-to-end user experience including catalog, product pages, and account management
- Implemented search functionality and filtering systems to streamline food discovery
- Created favorites feature enabling users to save preferred products
- Prioritized convenience and simplicity to ensure intuitive navigation

---

### PetSearch Web Service
*Team Project*

Collaborated on a web service connecting users who lost pets with those who found them, addressing two distinct user journeys.

**Process:** UX Research → Personas → User Flows → JTBD → CJM → Wireframing → UI Design → Responsive Design → Prototyping → Launch on Behance

**Key Contributions:**
- Conducted comprehensive market and competitor analysis to identify opportunities for differentiation
- Defined target audience segments and mapped user needs through personas and journey mapping
- Developed warm color scheme aligned with project's emotional tone
- Designed streamlined functionality to accelerate core user tasks
- Created responsive layouts optimized across devices
- Maintained focus on convenience and clarity throughout the interface"
98256,"# UX/UI DESIGNER

## PROJECTS

### FlowerLower
**Landing Page for Flower Delivery Company | Case Study**
- Conducted competitor analysis and user research to inform data-driven design decisions
- Translated research insights into high-fidelity wireframes delivering clear visual solutions
- Developed comprehensive UI style guide establishing typography, responsive layouts, color palette, and button systems

### Mimino
**Georgian Cuisine Restaurant Website Redesign | Case Study**
- Performed competitor analysis and user research to uncover optimization opportunities
- Designed high-fidelity wireframes supporting complete site restructure
- Developed complete UI Kit establishing typography, responsive layouts, color palette, and component library
- Built interactive prototypes enabling stakeholder review and usability testing
- Delivered responsive designs optimized for mobile and tablet devices

### Wanderstay
**Couchsurfing Web Service | Team Project | Case Study**
- Spearheaded competitor analysis and user research within cross-functional team environment
- Applied design thinking methodology throughout complete project lifecycle
- Developed JTBD framework and user personas driving feature prioritization
- Architected information structure and user flows ensuring seamless navigation
- Mapped customer journey identifying critical pain points and opportunities
- Designed wireframes, dashboards, and 404 error page incorporating parallax effects
- Delivered responsive designs optimized for mobile and tablet devices
- Built interactive prototypes supporting validation and developer handoff"
98257,"# [Your Name]

## UX/UI Designer

---

### About

UX/UI Designer seeking a collaborative, growth-oriented team environment. Committed to continuous professional development. Available for office and remote work arrangements.

---

### Skills

User Research • Competitor Analysis • User Flow Mapping • Sitemap Architecture • Prototyping • UI Design • Usability Optimization • Visual Design

---

### Projects

**CLEAN | Web Service**
Developed a web-based platform connecting cleaners with clients. Managed the complete UX/UI process from concept to execution: user flow mapping, sitemap architecture, prototyping, payment page design, and visual design.

**BARBER | Landing Page**
Led the full project lifecycle for a barbershop landing page. Conducted competitor analysis and target audience research to inform a user-centered design solution from initial research through final delivery.

**India Cafe | Website Redesign**
Conducted target audience research to identify user needs and pain points. Delivered improved visual design and enhanced usability based on research findings.

---

### Contact

[Email] • [Phone] • [Portfolio URL] • [LinkedIn]"
98258,"# PROFESSIONAL RESUME

## EDUCATION

**Master's Degree in Law** | 2018

**UI/UX Design Certificate** | DAN IT Academy

## SKILLS

- UI/UX Design
- Quality Assurance & Process Optimization
- Cross-functional Team Coordination
- Legal Documentation & Contract Preparation
- Client Relations & Consultation
- Electronic Registry Management
- Professional Business Communication

## PROFESSIONAL EXPERIENCE

**Head of Quality Control Department, Customer Support**
Rocket Delivery | Cyprus | 6 months

- Directed quality control operations for customer support department
- Established and maintained service standards and performance benchmarks
- Drove continuous improvement of support processes and team performance

**Customer Support Manager**
Gambling Industry | 1 year

- Resolved customer inquiries related to website functionality and user experience
- Collaborated with cross-functional teams to address client requests efficiently
- Applied UI/UX principles to identify and communicate user pain points

**Notary Assistant**
3 years

- Prepared, reviewed, and processed legal documents and contracts with precision and meticulous attention to detail
- Conducted client consultations, providing expert guidance on documentation requirements and procedures
- Administered electronic registry systems, ensuring accurate and organized record-keeping
- Managed professional correspondence with clients, legal entities, and government agencies"
98259,"# Professional Summary

UX/UI Designer specializing in user-centered design solutions. Expert in competitor analysis, user flow development, site maps, and prototyping. Skilled in creating landing pages, websites, web services, mood boards, and adaptive design.

# Skills

Figma | Adobe Illustrator | Adobe Photoshop | User Flow Design | Prototyping | Adaptive Design

# Projects

**OURPAWS**
Collaborated on redesigning a missing animal search service. Developed user-centered solutions to enhance search functionality and improve the overall user experience.

*Figma · Adobe Illustrator · Adobe Photoshop*

**LA MESA**
Designed a mobile application for restaurant table reservations. Developed comprehensive user flows and intuitive interfaces to create seamless booking experiences.

*Figma · Adobe Illustrator · Adobe Photoshop*

# Professional Goals

- Advancing expertise in Adobe Illustrator and vector graphics
- Pursuing continuous professional development and skill acquisition
- Contributing to collaborative, supportive team environments"
98260,"# Resume

## Summary

Creative designer specializing in user-centered design, competitive analysis, and customer acquisition strategies. Proven ability to transform client specifications into compelling digital experiences that drive engagement and conversion.

---

## Projects

### Landing Page Design | FlowerLover Flower Shop

- Designed user-friendly landing page aligned with client specifications
- Conducted competitive analysis and target audience research to inform design decisions
- Developed clear interface architecture with refined UI elements

### Website Redesign | Alaska Pete's Restaurant

- Transformed outdated website into a modern, user-friendly experience
- Implemented table reservation functionality to enhance customer engagement
- Developed visual design strategy to attract and convert potential customers

---

## Skills

- User Interface Design
- Landing Page Development
- Website Redesign
- Competitive Analysis
- Target Audience Research"
98261,"# PROFESSIONAL RESUME

## TEAM LEADER | UI/UX DESIGN

---

### PROJECT EXPERIENCE

**Project ""See World"" | Team Leader**

Spearheaded design and development of an intuitive residential property search platform. Directed comprehensive user research initiatives to optimize site accessibility and usability. Delivered streamlined user experience enabling efficient platform navigation, seamless transaction completion, and frictionless application submission.

---

**Project ""GenieTable""**

Designed and developed a mobile restaurant reservation application featuring an innovative genie-themed interactive concept. Engineered engaging first-screen experience where users summon the genie to initiate bookings. Established cohesive visual identity through strategic color scheme development, minimizing clicks in the reservation process while maximizing user engagement.

---

**Project ""Nice View"" | Team Project**

Designed conversion-focused landing page for a residential complex targeting prospective clients. Strategically selected calming, trust-building color palette to evoke comfortable family living and productive work environments. Applied minimalist design principles to communicate sophistication and establish property credibility."
98262,"# RESUME

## Skills

Competitive analysis and market research | Task analysis and ideation | Mood board compilation | Minimalist website and landing page design | CRM system and mobile application development | Prototyping and responsive design

## Projects

**Tattoo Salon Website Redesign** | GoIT Course

Led complete website redesign informed by reference selection and audience analysis. Developed comprehensive UI kit with responsive adaptations for tablet and mobile devices. Delivered interactive prototype with functional links.

**Landing Page Design**

Directed visual strategy through curated references and mood board development. Designed complete UI kit and main page layout.

**Travel Web Service** | Team Project | GoIT Course

Contributed to web service enabling affordable international stays. Conducted reference selection and audience analysis. Prepared User Flow and Customer Journey Map documentation. Implemented cohesive design system with responsive tablet and mobile adaptations. Delivered interactive prototype with functional links.

## Work Preferences

Results-oriented culture with design focus | Collaborative team environment | Hybrid work flexibility | Professional development opportunities"
98263,"**PROFESSIONAL SUMMARY**

Designer experienced in both independent and collaborative projects. Strong communicator who partners effectively with team members to deliver engaging products. Skilled in full-cycle design, responsive web design, and mobile application design.

---

**PROJECTS**

**Tattoo Company Website Redesign** | Full Cycle Design

- Executed complete website redesign aligned with target audience needs and current design trends
- Enhanced user experience through improved usability and intuitive navigation
- Optimized site structure to support increased conversion rates and customer acquisition

**Easy Yoga Web Service** | Desktop and Responsive Design

- Designed web service from concept to completion, connecting yoga instructors with prospective students seeking compatible teachers
- Developed desktop interface with responsive adaptation for seamless cross-device functionality

**Productivity Mobile Application** | Mobile Design

- Designed mobile application integrating daily planning with physical and mental health monitoring
- Incorporated multiple tools to support holistic user wellness"
98264,"# [Your Name]
## UX/UI Designer

---

### Professional Experience

**Team Leader & UX/UI Designer | Travelhaven**
- Led cross-functional team while directing UX/UI design strategy for travel platform
- Managed end-to-end design process from user research through implementation

**UX/UI Designer | Volunteer Social Project**
- Designed and developed website for volunteer organization

---

### Projects

**Alaska Pete's Roadhouse Grille — Website Redesign**
alaskapetes.com
- Executed complete website redesign for restaurant client
- Conducted comprehensive competitor research and analysis
- Translated market findings into successful design solutions

**Travel Exchange Web Service — Concept & Design**
- Designed web service interface enabling affordable international travel experiences
- Created platform connecting travelers with hosts offering accommodation in exchange for work
- Conducted targeted user research focused on students and young travelers seeking budget-friendly options

---

### Skills

User Research · Competitive Analysis · End-to-End Design · Cross-Functional Team Leadership · Web Design · Interface Design

---

### Portfolio

Two independent projects demonstrating self-directed design initiative

---

### Availability

Open to various opportunities and arrangements"
98265,"# PROFESSIONAL EXPERIENCE

**Team Leader** — SweepUp Cleaning Web-service Project

**Landing Page Designer** — GoIT Addendum Project  
*Design implemented by student developers*

---

# PROJECTS

## TimeWell Daily Planner Mobile App
*In Progress*

Time management application enabling users to plan tasks and achieve goals.

**Responsibilities:**
- Competitive analysis of existing applications
- User Personas and User Flows development
- High-fidelity prototypes and UI design
- Detailed animations in Protopie

**Tools:** Figma, Photoshop, Illustrator, Protopie

---

## SweepUp Cleaning Web-service
*Team Project*

Web service for selecting and booking cleaning specialists.

**Responsibilities:**
- Led brainstorming sessions and collaborative ideation
- Market and competitor analysis
- User Personas, JTBD, CJM, and User Flows development
- Prototypes, UI design, relinking, and responsive adaptations
- Design system implementation

**Tools:** Figma, Photoshop, Illustrator

---

## Bravo Furniture Site Redesign
*Personal Project*

Complete redesign of luxury furniture store website.

**Responsibilities:**
- Market analysis and competitor research
- Screen prototypes and UI design
- Responsive layouts for mobile and tablet
- Comprehensive UI kit development

**Tools:** Figma, Photoshop, Illustrator

---

## Citroën C4 Landing Page
*Coursework Project*

Test drive booking interface for new Citroën model.

**Responsibilities:**
- Market analysis and competitor research
- Moodboard and wireframe creation
- Final animated interface design

**Tools:** Figma"
98266,"# Resume

## Professional Experience

### Team Leader | Travel Joy
*Web Service Design | Full Cycle*

- Led cross-functional team through complete project lifecycle for web service enabling work and travel experiences in new environments
- Conducted competitor analysis and target audience research to inform design decisions
- Developed user flows, site maps, wireframes, and prototypes in Figma
- Delivered intuitive, user-friendly web service while maintaining consistency with established design system
- Organized and monitored team workflow from concept through delivery

---

### Designer | Restaurant Table Booking App
*Mobile Application | Team Project*

- Collaborating with team on mobile application design for restaurant table booking

---

### Designer | Nice View
*Landing Page Design | Full Cycle*

- Independently managed full design cycle for residential apartment sales landing page
- Conducted competitor analysis and target audience research to guide design strategy
- Developed low-fidelity and high-fidelity prototypes based on research findings
- Selected typography and color palette optimized for buyer engagement
- Delivered client-approved design featuring property viewing application submission and customer feedback functionality"
98267,"# Resume

## Projects

### Volunteering Projects Aggregator for Ukraine
Developed a platform aggregating volunteering initiatives across Ukraine. Implemented detailed project information displays, integrated donation functionality, and built discovery tools for related projects and volunteer organizations to drive engagement and support.

### Landing Page for Kickstarter Product
Designed a conversion-focused landing page for a transformable nightstand-to-chairs product. Applied the AIDA marketing model, conducted competitor analysis, curated design references, created high-fidelity wireframes, and implemented adaptive web design principles.

### Landing Page: Artist Profile
Designed an artist profile landing page for recording artist Rihanna. Developed mood boards, curated references, created wireframes, executed complex compositions, applied typography principles, and built interactive prototypes."
98268,"# Resume

## Projects

### Website Redesign | A Kids Place Childcare
Led full-cycle redesign of a preschool website to strengthen engagement with parents and prospective families. Conducted comprehensive competitor analysis to identify strategic opportunities. Enhanced visual appeal and user experience through modern design principles. Developed fully responsive design optimized for mobile and tablet devices.

### Pet Service | Pet Search
Contributed to full-cycle team project developing a web service for pet search and related services. Conducted market research and target audience analysis to inform design decisions. Created consolidated platform integrating multiple pet-related services into unified user experience. Collaborated cross-functionally with team members throughout design process. Implemented responsive design ensuring seamless mobile and tablet compatibility.

### Mobile Event App
Currently in development."
98269,"# RESUME

## Education & Training

**Projector UX Beginner Course** — Completed with Distinction

**KronaStudio&School Web Design Course**

---

## Experience

**Volunteer Designer — University IT HUB**
*1 year*

- Redesigned university websites and developed interfaces for institutional needs
- Conducted UX research to evaluate and inform design decisions
- Built UI components utilizing an established UI library
- Partnered with developers and project managers to deliver cohesive design solutions
- Coordinated project workflows using Jira within cross-functional teams

**Intern Designer**
*2 months*

- Contributed to project delivery within a professional development team
- Applied collaborative design workflows in a professional environment

---

## Project Experience

**Projector UX Beginner Course**

- Led stakeholder project independently from research through final delivery
- Partnered with team members on stakeholder project collaboration
- Executed end-to-end UX process: research, problem definition, and UI solution development

---

## Skills

**Design:** UI Design • UX Research • Problem-Solving

**Tools:** Jira

**Professional:** Cross-Functional Collaboration • Stakeholder Communication"
98270,"# Resume

## Skills

- HTML & CSS
- UI/UX Design
- 3D Modeling (Exteriors & Interiors)
- SketchUp

## Professional Experience

**3D Graphic Specialist** | HOVER Ukraine | Feb 2021 – Jun 2023
- Created detailed 3D exterior and interior models
- Conducted quality assurance reviews on team-produced 3D models

## Project Experience

**YoHome** | Team Leader
- Led development of a web-based housing rental and accommodations service
- Designed complete user interface with end-to-end user flows
- Executed visual stylization and responsive design adaptation

**Sophie Scholl Realschule Website Redesign** | Study Project
- Redesigned school website to deliver a user-friendly platform showcasing institutional mission, values, and programs
- Conducted competitive analysis and audience research
- Applied web design best practices for the education sector

**Additional Projects**
- Completed 3 independent projects across diverse subject areas

## Interests

- Full-time or part-time opportunities
- Collaborative, respectful team environments
- Professional development and continued learning
- Results-driven workplace culture"
98271,"# DESIGNER

## Professional Summary

Multidisciplinary designer with 4 years of experience spanning interior, graphic, and industrial design. Trained in UI/UX methodologies and Figma, offering a distinctive perspective that bridges physical and digital design principles to create cohesive, user-centered solutions.

## Skills

Interior Design | Graphic Design | Industrial Design | UI/UX Design | Web Design | Figma | Visual Composition | Brand Identity

## Professional Experience

**Interior Designer** | Freelance & Company-Based

- Translated diverse client requirements into functional, aesthetic interior spaces
- Designed comprehensive brand identity systems including logos, business cards, and banners
- Created original artwork and paintings demonstrating refined visual composition skills

## Education

**Master's Degree in Environmental and Industrial Design**

**Professional Development**
- UX/UI: Projecting and Design of Interfaces – GENIUS, Cases Courses
- Working with Figma – GENIUS, Cases Courses
- Fundamentals of Web Design – GENIUS, Cases Courses

## Languages

Polish – B2 | English – B1 | Spanish – B1

## Career Objective

Seeking to leverage multidisciplinary design expertise to grow as a UI/UX design specialist."
98272,"# UI/UX Designer

## Summary
Detail-oriented UI/UX Designer with 6 months of professional experience and 5 months of intensive coursework. Passionate about creating comprehensive, user-centered designs that drive conversions and deliver intuitive user experiences.

## Design Capabilities
- Landing Pages & E-Commerce Platforms
- Portfolio Sites & Website Redesign
- Mobile Applications (iOS & Android)
- Responsive Design & Device Adaptation
- Website Animation

## Design Process Expertise
- Competitor Analysis
- User Flows
- Wireframing & Prototyping
- UI Design Development

## Technical Proficiency
- Google Material Design Guidelines
- Human Interface Guidelines

## Collaboration
- Cross-functional partnership with front-end developers

## Education
5-month UI/UX Design program covering full design process principles and technologies

## Professional Objective
Seeking a UI/UX design position to apply my experience in creating user-friendly, conversion-focused designs while contributing to innovative projects that present creative problem-solving opportunities."
98273,"# [Your Name]
[Contact Information]

---

## Summary
UX Designer with expertise in user-centered design principles, accessibility, and equity-focused methodologies. Proven ability to manage end-to-end design processes and execute design sprints while delivering cohesive digital solutions across web and social platforms.

---

## Skills
- User-Centered Design
- End-to-End Design Process & Sprint Methodologies
- Accessibility & Equity-Focused Design
- Information Architecture & User Flow Development
- Cross-Functional Collaboration & Client Partnership
- Web & Application Design
- Social Media Asset Creation & Brand Consistency
- Webflow Development & Deployment

---

## Experience

**Freelance UX/Visual Designer**
*6 Months*

- Delivered cohesive social media asset suites across Instagram, Twitter, and Facebook, maintaining brand consistency and visual standards across all platforms
- Partnered with clients to develop information architecture and user flows for applications and websites, translating business requirements into design solutions
- Designed, developed, and deployed a fully functional blog using Webflow, owning the complete lifecycle from concept through launch
- Created high-performing landing pages and promotional banners optimized for user engagement and conversion

---

## Education

**Hillel IT School**
*UX/Web Design Certificate*"
98274,"# **JUNIOR UI/UX DESIGNER**

Creative UI/UX designer passionate about crafting effective, aesthetically pleasing designs that elevate user experience. Delivering full-cycle design services with expertise in landing pages, e-commerce, website redesign, and web services.

---

## **EDUCATION**

**UI/UX Design Certificate** — 6-Month Intensive Program

---

## **PROJECT EXPERIENCE**

### **Wish** — Gift Delivery Mobile App
- Led full-cycle design for flower and gift delivery application featuring product selection and scheduled delivery functionality
- Conducted competitive analysis, developed UX personas, mapped user flows, created wireframes, and executed final UI design

### **Fitroom** — Corporate Website Redesign
- Redesigned fitness studio website with modern, conversion-focused interface
- Conducted comprehensive competitor analysis and established stylistic direction through reference gathering
- Developed responsive prototypes optimized for phone and tablet devices
- Built comprehensive UI kit ensuring design consistency across all touchpoints

### **VDOMA** — Ukrainian Couch-Surfing Web Service
- Directed full-cycle design for web platform connecting travelers with affordable accommodations while promoting Ukrainian tourism
- Delivered competitive analysis, UX personas, empathy mapping, sitemap architecture, MVP definition, and user flow diagrams
- Designed responsive adaptations for tablet and mobile breakpoints
- Executed A/B testing to identify and implement design improvements

---

## **ADDITIONAL UI PROJECTS**

- Service accounting table interface for cleaning company operations
- Website sidebar navigation interface
- Team page featuring AutoLayout-based responsive padding system
- User profile page for online learning platform
- Student-facing dashboard for ed-tech product
- Animated desktop site launch screen
- Card-to-card money transfer confirmation modal
- Administrator dashboard for user permissions management

---

## **COLLABORATION**

3 individual projects | 2 team projects"
98275,"# PROFESSIONAL SUMMARY

Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Skilled in creating exceptional user experiences through innovative digital interactions. Experienced in independent project development, user research, competitor analysis, and UI design. Committed to continuous learning and staying current with industry trends and evolving technologies.

---

# SKILLS

UX/UI Design · User Research · Competitor Analysis · Wireframing · Prototyping · UI Kit Development · Design Documentation · Visual Design · Color Theory

---

# PROJECT EXPERIENCE

**Petsearch** — Web Service for Lost and Found Animals

Designed and developed a web service connecting pet owners with people who find lost animals. Created an intuitive user experience enabling quick results while promoting shelter support and volunteerism.

**A Kids Place Childcare** — Website Redesign

Conducted comprehensive analysis of existing design and competitor landscape. Redesigned three pages based on identified strengths, weaknesses, and user expectations. Delivered complete documentation including a UI kit with all design elements.

**FlowerLover** — E-commerce Landing Page

Designed a landing page featuring multiple interactive elements including buttons and input fields. Conducted competitor analysis, developed moodboards, determined page structure, and selected a natural color palette aligned with brand identity.

---

# EDUCATION & TRAINING

*(Add your relevant education, certifications, or courses here)*

---

# CONTACT

*(Add your contact information here)*"
98276,"**JUNIOR UI/UX DESIGNER**

---

**ABOUT ME**

Junior UI/UX Designer with experience in collaborative team environments and independent design projects. Strong foundation in color theory, typography, and layout, committed to creating exceptional user experiences.

---

**PROJECT EXPERIENCE**

**Website Redesign | Tattoo Studio**
*December 2022 – January 2023*

- Redesigned studio website with a modern, user-friendly interface featuring improved navigation and streamlined tattoo ordering functionality
- Enhanced visual presentation of artists' portfolios and integrated customer reviews to build client trust

**UI/UX Design | Pet Finder Service**
*February 2023 – March 2023*

- Designed web service enabling users to create and publish lost/found pet listings
- Developed intuitive interface prioritizing rapid information sharing and seamless user communication

---

**SKILLS**

- User Interface Design
- User Experience Design
- Color Theory
- Typography
- Layout Design
- Navigation Design

---

**EDUCATION & PROFESSIONAL DEVELOPMENT**

- Self-directed study in UI/UX design through online courses and industry literature
- Ongoing portfolio development focused on quality improvement

---

**CAREER OBJECTIVES**

- Collaborate with experienced designers in a team environment
- Advance professional skills through exposure to new technologies and design methodologies
- Contribute to diverse projects across various design domains"
