,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5
98265,"# Professional Experience

**Team Leader**  
SweepUp Cleaning Web-service Project

**UX/UI Designer**  
GoIT Addendum Project – Landing design implemented by student developers

# Projects

**TimeWell Daily Planner Mobile App**  
Mobile application designed to help users manage time effectively, plan tasks, and achieve goals. Conducted competitive analysis, created User Personas and User flows, developed high-fidelity prototypes and UI design, and created detailed animations in Protopie. Project in progress.

Tools: Figma, Photoshop, Illustrator, Protopie

**SweepUp Cleaning Web-service**  
Web-based cleaning service platform for choosing and ordering specialists. Conducted market and competitor analysis, brainstorming sessions, and developed User Personas, JTBD, CJM, and User flows. Created prototypes, UI design, relinking, and responsive adaptations within existing design system. Team project.

Tools: Figma, Photoshop, Illustrator

**Bravo Furniture Site Redesign**  
Redesign of luxury furniture store website. Performed market analysis, competitor research, screen prototyping, UI design, and developed responsive layouts for mobile and tablet versions along with UI-kit. Personal project.

Tools: Figma, Photoshop, Illustrator

**Citroen C4 Landing Page**  
Landing page enabling test drive bookings for new Citroen model. Completed as coursework. Conducted market analysis, competitor research, and created moodboard, wireframes, and animated interface.

Tools: Figma, Photoshop, Illustrator"
98266,"# UX/UI Designer

## Professional Experience

**Travel Joy – Web Service**  
*Team Leader, Full Cycle Team Design*

Led the design of a web service facilitating work and travel experiences in new environments. Organized and monitored the team's work process throughout the project lifecycle. Conducted competitor analysis, created user flow and site map, and developed wireframes and prototypes. Designed a service enabling users to travel, gain cross-cultural experience, and share knowledge with people of other nationalities. Worked within an established design system framework. Delivered a web service with intuitive interface and convenient functionality.

**Mobile App for Restaurant Table Booking**  
*Team Member*

Currently working in a team developing a mobile application for restaurant table booking.

**Nice View – Landing Page**  
*Solo Designer, Full Cycle Design*

Created a landing page for apartment sales in a new residential complex based on client brief. Conducted competitor analysis and target audience research. Built low-detailed prototypes, incorporated feedback, and developed high-detailed prototypes. Selected fonts and color palette to maximize appeal to potential buyers. Designed landing page with application submission functionality for home inspections and client feedback capabilities.

## Skills

- Full cycle design
- Team leadership
- Competitor analysis
- User flow creation
- Site mapping
- Wireframing and prototyping
- Design systems
- Figma
- Landing page design
- Target audience research"
98267,"# PROFESSIONAL EXPERIENCE

**Volunteering Projects Aggregator for Ukraine**

Created a platform that accumulates and showcases volunteering initiatives in Ukraine. Implemented detailed project information display, donation functionality, and navigation features for exploring related projects and volunteer organizations to promote engagement and support for causes throughout the country.

**Landing Page for Kickstarter Project**

Designed a landing page for a convertible furniture product (nightstand transforming into four chairs) to promote the Kickstarter campaign and drive purchases using the AIDA marketing model. Conducted competitor analysis, reference selection, high-fidelity wireframing, and adaptive website design.

**Landing Page about Rihanna**

Developed an informational landing page to introduce users to Rihanna and generate interest. Created mood boards, references, wireframes, complex composition, typography, and interactive prototypes.

# SKILLS

- Platform Development
- Donation Systems Integration
- Landing Page Design
- High-Fidelity Wireframing
- Adaptive/Responsive Web Design
- Competitor Analysis
- AIDA Marketing Model Application
- Mood Board Creation
- Typography
- Prototyping
- Complex Composition Design"
98268,"# Projects

**Mobile Event App** (In Progress)
Personal project developing a mobile application for event management

**Website Redesign – A Kids Place Childcare**
Full cycle redesign of preschool website for parents
- Conducted competitor analysis
- Improved site attractiveness and user experience
- Created responsive design for mobile and tablet devices

**Pet Service – Pet Search Platform**
Full cycle design team project
- Designed web service for finding pets and pet-related services
- Researched target audience and analyzed market
- Collaborated with team members throughout project lifecycle
- Developed responsive design for mobile and tablet versions
- Created centralized platform for pet owners to access multiple services"
98269,"**EDUCATION & PROFESSIONAL DEVELOPMENT**

Projector UX Beginner Course
KronaStudio&School Web Design Course

**EXPERIENCE**

**Intern**
2 months
Worked on pet project with a small dev team.

**UX/UI Designer**
Projector UX Beginner Course
Completed stakeholder project as self-dependent designer and stakeholder project in a design-team. Conducted UX research, problem-solving, and transformed findings into UI solutions.

**Volunteer UX/UI Designer**
University IT HUB
1 year
Redesigned university websites and designed interfaces for university needs. Cooperated with team and managed tasks in Jira. Improved UI skills by working with UI library and receiving mentorship. Participated in UX research and evaluation of solutions. Cooperated with developers and PM to enrich teamwork experience."
98270,"# PROFESSIONAL EXPERIENCE

**3D Graphic Specialist**  
HOVER Ukraine | Feb 2021 - Jun 2023

- Modelled 3D exteriors and interiors using SketchUp
- Checked and reviewed finished 3D models created by other modelers

# PROJECT EXPERIENCE

**YoHome - Web Service for Hosting and Renting Housing**  
Team Leader

- Led team in developing website for hosting and renting
- Developed interface from scratch with simple user flow
- Designed thoughtful details and service stylization
- Created responsive adaptation with minimal changes

**Sophie Scholl Realschule Website Redesign**  
Study Project

- Redesigned website to create aesthetically pleasing, user-friendly and informative online platform
- Presented school's mission, values and offerings effectively to target audience
- Researched and analyzed competing school websites and web design best practices in education sector
- Conducted competitive and audience analysis

**Additional Projects**

- Completed 3 pet projects on different topics

# TECHNICAL SKILLS

- HTML
- CSS
- SketchUp
- UI/UX Design"
98271,"**PROFESSIONAL SUMMARY**

Multidisciplinary designer with 4 years of experience spanning interior, graphic, and industrial design. Master's degree in Environmental and Industrial Design. Transitioned to web design in 2022 with specialized training in UI/UX design, Figma, and interface design. Seeking to advance career as a UI/UX design expert.

**EDUCATION**

Master's Degree in Environmental and Industrial Design

**PROFESSIONAL CERTIFICATIONS**

GENIUS Courses (2022):
- Fundamentals of Web Design
- Working with Figma
- UX/UI: Projecting and Design of Interfaces

**PROFESSIONAL EXPERIENCE**

**Interior Designer**
Company employment and freelance work

- Developed interior design projects for diverse clients
- Created comprehensive design solutions from concept to completion

**Graphic Designer**
Freelance

- Designed logos, business cards, and banners for various clients
- Produced custom artwork and paintings
- Delivered brand identity materials across multiple media

**SKILLS**

Design Disciplines: Interior Design, Graphic Design, Industrial Design, Web Design, UI/UX Design

Tools & Software: Figma

**LANGUAGES**

- English: B1
- Polish: B2
- Spanish: B1

**CAREER OBJECTIVE**

Pursuing expertise in UI/UX design with foundation in multidisciplinary design experience and recent specialized training in interface design and user experience."
98272,"# UI/UX DESIGNER

## PROFESSIONAL EXPERIENCE

**UI/UX Designer | 6 Months**

- Designed user interfaces for landing pages, e-commerce platforms, portfolio sites, and mobile applications (iOS and Android)
- Led website redesign projects from concept to completion
- Executed full design process including competitor analysis, user flows, wireframing, and prototyping
- Created unique UI designs for websites with responsive layouts adapted for mobile and tablet devices
- Implemented basic website animations to enhance user experience
- Collaborated with front-end developers to ensure seamless design implementation

## EDUCATION & TRAINING

**UI/UX Design Course | 5 Months**

- Completed comprehensive coursework covering principles and technologies of the full UI/UX design process
- Developed deep understanding of Google Material Design Guidelines and Human Interface Guidelines
- Applied industry-standard design principles throughout practical projects

## SKILLS

- UI/UX Design
- Responsive Web Design
- Wireframing & Prototyping
- User Flow Development
- Competitor Analysis
- Mobile Design (iOS & Android)
- Google Material Design Guidelines
- Human Interface Guidelines
- Basic Web Animation
- Cross-functional Collaboration

## PROFESSIONAL OBJECTIVE

Seeking a UI/UX design position to apply my expertise in creating comprehensive, appealing website designs that maximize conversions and deliver information intuitively to users. Eager to tackle challenging projects that require innovative problem-solving and creative thinking. Committed to continuous growth and skill development through meaningful design work."
98273,"# UX Designer

## Skills & Knowledge
- User-centered design principles
- UX design process
- Accessibility standards
- Equity-focused design
- Design sprints methodology
- Social media design (Instagram, Twitter, Facebook)
- Application and website planning
- Webflow
- Landing page design
- Banner design

## Experience

**Freelance UX Designer**
6 months

- Created banners for Instagram, Twitter, and Facebook
- Assisted in planning applications and websites
- Developed blog in Webflow
- Designed landing pages and banners

## Education

**Hillel IT School**
UX Design Course - Successfully Completed"
98274,"# UI/UX Designer

## About Me
Junior UI/UX Designer passionate about creating effective and aesthetically pleasing designs that improve user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services.

## Education
Successfully completed 6-month UI/UX Design course

## Project Experience

### Individual & Team Projects

**""Wish"" - Gift Delivery Mobile App**
Designed a flower and gift delivery app enabling users to select products and schedule delivery. Applied full-cycle design process including competitive analysis, UX personas, user flow, wireframes, and UI design.

**""Fitroom"" - Fitness Studio Corporate Website Redesign**
Redesigned website to create an attractive and modern user interface to boost sales. Performed competitor analysis, established stylistic direction using references, built prototypes, optimized interfaces for phone and tablet, and developed UI kit.

**""VDOMA"" - Ukrainian Couch-Surfing Web Service**
Created web service to help organize affordable stays in Ukraine and popularize Ukrainian tourism. Applied full-cycle design process including competitive analysis, UX personas, empathy map, sitemap, MVP definition, and user flow diagram. Created tablet and mobile adaptations. Conducted A/B testing at the end of the first iteration to identify and correct disadvantages.

### Additional Projects

- UI for service accounting table for cleaning company
- UI for website sidebar
- Team page with paddings using AutoLayout
- User page for online learning resource
- Dashboard for ed-tech product for school students
- Animated UI for website desktop start screen
- Modal window confirming card-to-card money transfer
- Administrator dashboard for managing user rights

## Professional Summary
Eager to bring knowledge, skills, and passion to create designs that elevate business."
98275,"# JUNIOR UX/UI DESIGNER

## PROFILE

Passionate and creative Junior UX/UI Designer with a strong foundation in design principles and keen eye for aesthetics. Committed to creating exceptional user experiences through innovative digital interactions. Continuously developing soft skills while staying current with industry trends and evolving technologies. Eager to collaborate on challenging projects that drive positive user impact.

## PROJECT EXPERIENCE

### Petsearch | Web Service for Lost and Found Animals
Designer and Mastermind

Designed user-friendly web service enabling pet owners to locate lost animals through advertisements and helping individuals return found pets to their owners. Created comprehensive design solution focused on delivering quick results and enjoyable user experience. Developed all UI elements and identified project themes. Service includes extensive functionality to support shelter promotion and volunteerism.

### A Kids Place Childcare | Website Redesign
Designer

Redesigned kindergarten website including technical and research components. Conducted analysis of existing design across all pages and competitive landscape. Worked on three pages, identifying product strengths and weaknesses. Developed user expectations and created page visuals aligned with research findings. Produced comprehensive documentation including UI kit with all created and implemented UI elements.

### FlowerLover | Landing Page Design
Designer

Designed landing page for flower shop featuring extensive UI elements including buttons and inputs. Conducted thorough research including competitor analysis, moodboard creation, and page structure determination. Selected colors and shades aligned with natural color palette.

## SKILLS

- UX/UI Design
- Design Principles
- User Experience Research
- Competitive Analysis
- Visual Design
- UI Kit Development
- Documentation"
98276,"# [Your Name]

**Junior UI/UX Designer**

## Professional Summary

Junior UI/UX designer with experience in team collaboration and individual design projects. Possess foundation in design principles, including color theory, typography, and design. Seeking opportunity to expand experience and grow with a team to create exceptional user experiences.

## Skills

- UI/UX Design
- Color Theory
- Typography
- Design Principles
- Team Collaboration
- Portfolio Development

## Project Experience

**UI/UX Designer | Website Redesign - Tattoo Studio**  
December 2022 – January 2023

Redesigned tattoo studio website to create modern and user-friendly interface. Delivered clearer navigation elements and new functions for ordering tattoos. Improved quality of tattoo artists' work images and integrated customer reviews.

**UI/UX Designer | Service for Finding Lost Animals**  
February 2023 – March 2023

Designed web service for finding lost pets as study project. Developed functionality enabling users to create and publish advertisements about lost or found animals. Created tool for quick and efficient information dissemination and communication between pet owners. Worked in team with experienced designers and received assignments and communication from them.

## Professional Development

- Self-education in UI/UX design through online courses and literature
- Continuous learning of cutting-edge design technologies
- Ongoing portfolio development and quality improvement
- Work on variety of projects exploring new areas of design

## Career Goals

- Work with experienced designers on diverse projects
- Develop professional skills through new technologies and trends in UI/UX design
- Contribute to team success while expanding expertise"
98277,"**UX/UI Designer**

**About Me**

I am a creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products. I specialize in designing websites, web services, mobile apps, logos, advertisements and posters. I am a fast learner, ready to take up challenges, and looking for an opportunity to work remotely with like-minded people.

**Skills & Experience**

• UX research and analysis
• UI design for dashboards, tables, websites and web services
• User persona development and customer journey mapping
• Information architecture and user flow design
• Wireframing and prototyping
• Logo design and 3D animation
• Team collaboration and project presentation

**Work Experience**

**Korg Sound Library Cover Design**
Created two illustrations serving as covers for sound libraries. Analyzed reference photos and designed covers based on client specifications. Delivered final work to client satisfaction.

**Sinevibes Logo (3D Animation)**
Created an animated 3D logo to serve as a video intro. Completed modeling, shading, and rendering of the final rotating logo animation.

**Projects**

**UrbanFest Landing Page Design**
Designed a landing page from scratch. Created moodboard and wireframe, then developed a minimalistic landing page design.

**CustomConcepts Tattoo Website Redesign**
Redesigned an existing tattoo website. Analyzed competitor websites, prototyped solutions, and created a modern, comprehensive, functional and aesthetically pleasing website.

**Web Service UX and UI Design**
Designed a web service for finding low-price accommodation abroad. Conducted UX analysis including two user personas and customer journey map. Developed information architecture, user flows, wireframes, and full-color final design.

**Beatcraft Mobile App Design**
Designed a music-related mobile app. Analyzed target audience, created wireframes, and designed complete interface including two-factor authentication and in-app achievements.

**Literature Project**
Led the design and presentation of a literature-related project as part of a team."
98278,"# UI/UX Designer

## About Me

I am a dedicated UI/UX designer from Ukraine, specializing in creating intuitive, convenient and beautiful design projects. I believe that understanding user problems is the starting point for creating design solutions. My passion for design, attention to detail, and willingness to learn and grow make me a valuable asset to any team committed to creating outstanding products.

## Skills

- Figma (auto layout, styles, components, design systems)
- Creating user-centered designs by understanding business requirements
- Identifying and troubleshooting UX problems
- Competitor analysis and target audience research
- User flow creation and wireframing
- Responsive and adaptive design
- Prototype animation
- Persona development

## Project Experience

**Lunushka Shop Mobile App**

Created a mobile application for an online store. Conducted comprehensive research including competitor analysis, target audience analysis, personas with their needs, wishes and fears, and user flow creation. Developed detailed wireframes and intuitive design for the project. Created onboarding, animated prototype for the customer, and Protopie for onboarding.

**Globetrot Web Service**

Developed a web service for organizing economical stays in different countries. Conducted in-depth research to identify problems and propose design solutions. Developed detailed wireframes and UI for the web service, adaptive design, and animated prototypes.

**Tattoo Studio Website Redesign**

Updated website following detailed analysis. Developed modern design, created understandable interface, and developed informative pages to attract new customers and tattoo artists to cooperate with the tattoo studio.

**Flower Shop with Delivery Landing Page**

Created a landing page for a flower shop with delivery service. Conducted detailed user research, competitor analysis, and persona creation. Created moodboard and prototype with attention to detail. Combined elements in design providing convenient navigation and pleasant interface for customers. Adapted landing page for tablets and mobile devices.

## Experience

Completed 4 pet projects during UI/UX designer courses, working both independently and in teams. In team projects, worked on user interface, filter and verification methods in web service."
98279,"**JUNIOR UI/UX DESIGNER**

**ABOUT ME**

Junior UI/UX Designer with experience working on team and individual design projects. I perform the complete design cycle: analysis, developing ideas, prototyping, user interface design, and adaptation. Competent at creating user-friendly interfaces with easily navigable design. Open to work on interesting projects that will close your goals and solve problems.

**PROJECT EXPERIENCE**

**UI/UX Design | Pet Search Webservice**  
December 2022 – February 2023

Developed a webservice to help owners of lost animals find them faster. Team project focused on creating a simple, usable, and visually pleasing webservice.
- Conducted competitor analysis and created user personas
- Developed sitemap and high fidelity prototypes
- Designed user interface and adaptation
- Strengthened communication, organizational, delegation, and time-management skills

**UI/UX Design | Mobile App for Flower & Gift Delivery**  
Current

Working in a team on mobile app design and development.

**Website Redesign | MIMINO Restaurant & Hotel Complex**  
October 2022 – November 2022

Redesigned website to make it more attractive, modern, and user-friendly.
- Analyzed existing website to identify disadvantages and solutions
- Researched and selected design references
- Created detailed prototype, visual design, and adaptation

**Landing Page Design | Yoga Studio**

Designed landing page for yoga studio."
98280,"# Junior UX/UI Designer

## Professional Summary
Self-motivated Junior UX/UI Designer with meticulous attention to detail and a passion for creating high-quality products that serve both users and business objectives. Proven experience in delivering two independent projects and one collaborative team project.

## Core Competencies
• Design Tools: Figma, Adobe Photoshop, Adobe Illustrator, Canva
• UX Methodologies: Design Systems, User Flows, Customer Journey Mapping
• Analytics: SimilarWeb
• User Research: Competitive Analysis, User Interviews
• Project Execution: Multi-stage project delivery, interface design

## Project Experience

**Look for – Web Service Platform**
Designed a secure and user-friendly accommodation search platform tailored to user needs and opportunities. Analyzed target audience, developed clear interfaces, and executed UI design across three distinct stages: user-end interface, payment interface, and admin-side interface.
*Tools: Figma, Canva, Adobe Illustrator*

**India Cafe – Website Redesign**
Revitalized outdated cafe website to increase visitor engagement and showcase venue advantages. Conducted competitive analysis and user interviews to inform design decisions, resulting in an attractive, high-demand website.
*Tools: Figma, Adobe Photoshop*

**Barbershop – Landing Page**
Created promotional landing page for new Ukrainian barbershop to attract potential customers. Delivered comprehensive service presentation with compelling visual design.
*Tools: Figma, Adobe Photoshop*

## Professional Objective
Seeking to join a collaborative team environment to create exceptional user experiences and business solutions. Ready to embrace new challenges in web design processes."
98281,"**PROFESSIONAL SUMMARY**

Results-oriented UI/UX Designer with 8 years of graphic design experience and 3 years in leadership as Chief Designer and Head of Department. Passionate about creating digital products with intuitive logic, modern interfaces, and user-friendly design. Team player committed to delivering exceptional design solutions that drive business results.

**PROFESSIONAL EXPERIENCE**

**Chief Designer (Head of Department)**
3 years

- Organized and prepared creative projects for the company
- Developed concepts and designs in accordance with corporate style
- Managed department workflow and supervised design team
- Led implementation of multiple high-impact projects

Key Projects:
- Re-design of company website
- Interface design for popcorn machine
- Landing design for KinoboardPRO
- Design project for city café and interior design of conference hall

**Graphic Designer**
8 years

Extensive experience across graphic design disciplines with focus on brand identity, visual communication, and design implementation.

**EDUCATION & TRAINING**

**UI/UX Design Course**

Project work completed:
- Adaptive redesign of website
- Adaptive design of web service for hiring employees of cleaning company
- Development of mobile application for restaurant table booking
- Multiple web design tasks per curriculum

**FEATURED PROJECT EXPERIENCE**

**Website Redesign | MAINSAIL Realty Company**
- Conducted competitor research and analysis
- Updated design with logical content sections and simplified navigation
- Created user-friendly forms and interactive elements
- Developed Wireframe and UI-kit with tablet and mobile adaptation
- Maintained original color scheme while modernizing interface

**Popcorn Machine Interface Redesign | Kinoprokat-Sumy**
- Redesigned standard interface to align with company colors and style
- Customized backgrounds, button colors, fonts, and icon design
- Developed multiple animations
- Maintained original button sizing and placement requirements

**WHAT I OFFER**

- Digital product design with focus on ease of use and intuitive navigation
- Modern, user-centered interface design
- Strong understanding of business needs and user experience
- Collaborative team approach
- Commitment to continuous learning and professional growth

**WHAT I SEEK**

- Reliable and qualified company with career growth opportunities
- Financial growth potential
- Flexible work schedule for work-life balance
- Remote work preferred

**CONTACT**

I look forward to discussing how I can contribute to your team as a UI/UX Designer."
98282,"# UI/UX Designer

## Professional Summary

Motivated junior UI/UX designer with a background in HR and a strong passion for design and innovation. Dedicated to creating visually appealing and user-friendly websites and applications. Committed to continuous learning and skills development. Seeking opportunities to contribute to a dynamic, growing company alongside talented professionals.

## Project Experience

**Eventize – Mobile Application** | 2023
Designed a mobile application that enables users to find and book venues or events and plan special occasions. Created a comprehensive platform for event creation and management with categorized item selection and task planning functionality.

**Guesture – Web Application** | 2022
Designed a web service connecting people who want to change their environment and experience new locations for work and rest. Developed a platform where visitors pay or perform work for hosts in exchange for accommodation, targeted toward students and young people seeking affordable travel opportunities.

## Career Objectives

Seeking a full-time or part-time position with an innovative and growing company. Fast learner, responsible, and ready for challenging tasks."
98283,"# Junior UX/UI Designer

## About Me
I'm a responsible Junior UX/UI Designer with attention to detail. The user experience of the consumers of my project is important to me, so each of my work is very well thought out and done with quality. I focus 65% of my attention on the user experience part, 35% on the visual part. I want to become a professional UX/UI Designer and start my own brand.

## Experience

**Team Leader**  
""Shine"" Web Service - Cleaning Companies Platform

- Lead team on web service pet project
- Manage all organizational aspects
- Participate in project work
- Inspire and support team members

## Projects

**Landing ""FlowerLover""** - Flower Delivery Website

First pet-project creating a minimalistic one-page website with extensive imagery while maintaining optimal user flow.

- Analyzed competitors and target audience
- Selected references and created moodboard
- Developed wireframes and prototype
- Built UI-kit in parallel
- Added animation
- Created adaptations for tablet and mobile
- Completed case study on Behance

**Website Redesign ""A Kids Place Childcare""** - Modern Kindergarten

Redesigned website to increase client attraction and coverage.

- Analyzed current site and identified problems
- Analyzed target audience and competitors
- Researched references and created moodboard
- Developed wireframes and prototypes
- Built UI-kit
- Created adaptations and animation
- Completed case study on Behance
- Achieved project goals and desired results"
98284,"# JUNIOR UI/UX DESIGNER

## EDUCATION

**Web Design (UX/UI) Courses**  
UX Energy IT School | Jun 2018 – Sep 2018

Completed comprehensive training in user experience and interface design, including:
- Site structure development
- Interaction flow design
- Page wireframing
- Interface requirements documentation
- Visual design for websites and applications
- Layout design
- Color theory and application
- Typography
- Iconography

## TECHNICAL SKILLS

- Adobe Photoshop
- Adobe Illustrator
- Adobe Experience Design
- Axure
- InVision

## OBJECTIVE

Seeking a Junior UI/UX Designer position"
98285,"DIMA
UI/UX Designer | Kyiv

PROFESSIONAL SUMMARY
Junior UI/UX designer with hands-on experience creating modern, user-friendly application interfaces. Skilled in developing wireframes, interactive prototypes, and responsive designs using Figma with components and autolayouts. Proven ability to deliver landing pages and multi-page projects with attention to detail and adherence to deadlines. Committed to continuous learning and professional growth.

SKILLS
• UI/UX Design
• Wireframing & Prototyping
• Figma (Components & Autolayouts)
• Landing Page Design
• Multi-page Website Design
• Detail-Oriented Design Approach
• Deadline Management

EDUCATION

Projector — Creative & Tech Online Institute
Web Design Junior
2022-2023

Projector — Creative & Tech Online Institute
Web Design Beginning
2022"
98286,"# UI/UX & Graphic Designer

A highly motivated and creative designer with a passion for delivering excellent user experience and beautiful UI. With a strong understanding of design process and background in marketing, I am eager to contribute my expertise as a UI/UX or graphic designer.

## Experience

**Marketing Manager/Designer**

- Design marketing materials including brochures, leaflets, and stands using Figma, Adobe Photoshop, and Adobe Illustrator
- Create images for website, social media posts, and campaigns
- Plan and create email newsletters
- Edit videos for social media
- Write content for website, marketing materials, campaigns, and email newsletters

## Skills

**Design Tools**
- Figma
- Adobe Photoshop
- Adobe Illustrator

**Core Competencies**
- UI/UX Design
- Graphic Design
- Marketing Design
- Social Media Content Creation
- Video Editing
- Content Writing
- Email Marketing
- Design Process"
98287,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

UI/UX Designer with experience in user research, interface design, and prototyping across multiple platforms. Proven ability to create clear web layouts and interactive applications while collaborating effectively in team environments. Skilled in analyzing user needs, testing prototypes, and using data to enhance design solutions.

**SKILLS**

• Interface design process and implementation
• Prototyping for diverse product types
• User experience research and analysis
• Data-driven design iteration and testing
• Web browser layout design
• Interactive UX application design
• Webflow development
• Design system creation
• Sitemap development and wireframing
• Logo design and banner creation
• Social media creative development
• Team collaboration

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer**
alkima web & design | March 2023 - Present

• Conduct user experience research to inform design decisions
• Create sitemaps and develop wireframes for digital products
• Design user interfaces for web applications
• Build and maintain projects using Webflow
• Develop banners for websites and creatives for social networks
• Create logos and brand identity elements
• Develop design system concepts

**Sales Manager**
Vinnytsia Distribution Company | January 2019 - February 2022

**PROFESSIONAL INTERESTS**

Creating user-centered projects that help people make better use of technology through intuitive interfaces for websites, mobile apps, and software."
98288,"**PROFESSIONAL EXPERIENCE**

**Freelance Developer**

Delivered software solutions across diverse client projects, including early-stage gaming applications, cryptocurrency exchanges, and cryptocurrency-related web platforms. Collaborated directly with project managers serving as clients and coordinated with web developers to resolve layout specifications and technical requirements."
98289,"# UI/UX Designer

## Skills
- Figma
- Client briefing and consultation
- Market research and competitive analysis
- Mood board creation
- Typography and color theory
- Brand identity development
- Wireframing
- Concept development
- Responsive design (mobile, tablet, desktop)
- Auto layouts

## Projects

**Law Firm Landing Page**
- Conducted client briefings to establish project requirements
- Performed research and analysis of the legal industry
- Developed mood boards and established visual direction
- Selected typography and color palette aligned with brand identity
- Created wireframes and multiple design concepts
- Delivered final landing page design
- Designed responsive versions for mobile and tablet devices

**Pastry Shop E-commerce Website**
- Designed website for pastry delivery service
- Implemented advanced auto layout techniques in Figma
- Applied design fundamentals throughout the project"
98290,"**RESUME**

**SKILLS**

**Graphic Design Software**
- Adobe Photoshop
- Adobe Illustrator
- Figma

**Professional Attributes**
- Quick learner with strong adaptability to new challenges
- Proactive approach to acquiring new software and tools in graphic design
- Eager to expand technical capabilities and design expertise"
98291,"# QA ENGINEER | UI/UX DESIGNER

## PROFESSIONAL SUMMARY
Motivated QA Engineer and UI/UX Designer with expertise in software testing, database verification, and creating seamless user interfaces. Fast learner with strong attention to detail, ready for challenging tasks in a dynamic environment.

## TECHNICAL SKILLS
- Test case creation and execution
- Bug reporting and documentation
- SQL database testing and data verification
- UI/UX design and prototyping
- User research and competitive analysis
- Wireframing and prototyping
- User flow and customer journey mapping

**Tools:** Figma, Adobe Illustrator, Slack

## PROFESSIONAL EXPERIENCE

**QA Engineer & UI/UX Designer**
- Created and executed test cases to ensure software quality and functionality
- Generated comprehensive and accurate bug reports to help developers identify and resolve issues quickly
- Utilized SQL to access databases and verify data accuracy
- Designed creative and functional UI/UX solutions for web applications

## PROJECTS

**A Kids Place Childcare Website Redesign** | Study Project
Redesigned website for A Kids Place childcare located in North Olmsted, Ohio, focusing on creating a nurturing, fun, educational, and safe environment for children.
- **Goal:** Create a well-structured, modern, and user-friendly design
- **Process:** User Research, Competitive Analysis, Wireframe, Prototype, Conclusions
- **Tools:** Figma, Adobe Illustrator

**Medical Clinic Web Service** | Study Project
Developed web service for a private medical clinic to organize and document meetings between doctors and patients, provide online consultation capabilities, reduce documentation time through speech recognition technology, and enable patients to independently choose doctors based on specific criteria and ratings. Created visual solutions with comprehensive interface elements for successful system use.
- **Responsibilities:** Baseline study, brainstorm, Jobs-to-be-done, User Flow, CJM, prototype, UI, adaptation
- **Tools:** Figma, Adobe Illustrator, Slack

## SEEKING
Flexible work schedule or full-time position in a company focused on making everyday life and business more productive and user-friendly."
98292,"# UX/UI Designer

## Professional Summary
UX/UI Designer with advanced English proficiency and a strong focus on creating user-centered design solutions. Skilled in conducting thorough research, building wireframes, and developing interactive prototypes. Committed to balancing usability with aesthetics while aligning business objectives with user needs.

## Skills
- UX/UI Design
- Wireframing & Interactive Prototyping
- User Research
- Landing Page Design
- Sign Up/Log In Form Design
- Problem Solving
- User Experience Optimization

## Experience

**UX/UI Designer**  
Design Studio, Kyiv  
- Contributed to mobile app project ""DayDrive""

## Education & Training

**UX/UI Design Mentoring Program**  
- Created landing pages and sign up/log in forms
- Developed foundational UX/UI design skills

## Languages
English - Advanced"
98293,"# UI/UX Designer

## Education

**IT School Hillel** | UI/UX Design Advanced Level Course
- Graduated with first-class degree diploma
- Ranked 2nd place in student rating
- Studied UX research, analysis, prototyping, typography, grid compositions, animations, color systems, and responsive design
- Diploma project: CRM System for sports complex

**Continuing Education**
- Ongoing design-related courses on multiple online platforms

## Professional Experience

**Freelance UI/UX Designer** | Upwork | April 2020 - Present
- Top Rated status
- CRM re-design
- Created component library for site-builder service
- Mobile app design
- CRM design

**Self-Directed Projects** | July - August 2019
- Designed landing page for educational courses
- Collaborated with developers on testing and CRM design
- Web design consultation

## Career Objective

Seeking opportunities with a warm and friendly team where I can grow as a designer while contributing to challenging and interesting projects."
98294,"# UI/UX DESIGNER

## PROJECTS

### Food Delivery Mobile Application
**April - May 2023**

**UX Research & Strategy**
- Developed user personas to identify target audience needs and behaviors
- Created customer journey maps (CJM) to visualize user experience touchpoints
- Designed empathy maps to understand user emotions and pain points
- Conducted comprehensive competitor analysis
- Established site map and user flow diagrams

**UI Design**
- Created wireframes translating research insights into interface layouts
- Developed design concept aligned with user needs
- Produced final visual design for application

### Craft Beer Brewery Landing Page
**June 2023**

**UX Research & Strategy**
- Analyzed competitor websites to identify industry standards and opportunities
- Developed information architecture for optimal content organization
- Curated moodboard to establish visual direction

**UI Design**
- Designed wireframes for landing page structure
- Created visual design incorporating brand identity
- Developed animations to enhance user engagement"
