,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
6213,"**Summary**

Results-oriented professional with experience in project management and legal counsel, seeking an Assistant / Junior Project Manager position within an IT company. Proven ability to organize and coordinate teams, manage tasks and deadlines, and maintain project documentation. Possesses a strong understanding of project management methodologies and software development life cycle.

**Experience**

**Online Shop for Developmental Children’s Toys** (Pet Project)

*   Organized and coordinated team work.
*   Managed time and tasks using Notion.
*   Controlled execution and roadmap.
*   Drafted and maintained project documentation and instructions.
*   Solved legal issues.
*   Managed a team of four: Power Query Developer, Designer, Sales Manager, and Supply Manager.

**Project Management Intern, We Challenge & UNIT.City** Kyiv, Ukraine (February 2023 - March 2023)

*   Led and facilitated the Intern team.
*   Prepared Impact map of the project.
*   Prepared Project plan (WBS, Timeline, Resources).
*   Prepared Risks register.
*   Prepared Stakeholder Register, Map, Matrix & RACI Matrix.
*   Prepared Stakeholder communication plan.
*   Maintained Business communication with Stakeholders.
*   Research and analysis.

**Legal Counsel** (5+ Years)

*   Oversaw a team of five legal counsels.
*   Controlled and coordinated their work.
*   Responsibilities relevant to project management:
    *   Communication with Customers and Stakeholders.
    *   Organization and coordination of teamwork.
    *   Managing project deadlines and tasks, including in task manager.
    *   Creating a project plan, maintaining project documentation, registers, and preparing reports.
    *   Preparation of legal documents, including Contracts, Invoices, and Services Acceptance Acts.

**Education**

*   Master's Degree in Law

**Certifications & Courses**

*   ""Become a Project Manager"", LinkedIn Learning Path, March 2023
*   ""IT Project Management"" from Creative&Tech Online Institute: Projector, November 2021 – February 2022
*   ""Fundamentals of team and project management in IT"" from Lviv IT School (LITS), 2021

**Skills**

*   **Project Management Tools:** Notion, Trello, Jira, Miro, Canva, Confluence, Gantter, Slack, Gather, Google Workspace / Microsoft Office
*   **Project Management Methodologies:** Waterfall, Scrum, Kanban
*   **Project Management Knowledge:** Impact Map & Work Breakdown Structure (WBS), Gantt Chart, Risk Register, Stakeholders Register, Stakeholders Map / Matrix & RACI Matrix, User Stories & User Story Map (Definition of Ready and Definition of Done), Task estimation (Big/Small/Uncertain, Poker Planning, T-Shirt Sizes)
*   **Technical Skills:** Windows, MS Office, basic Google applications
*   **Languages:** Ukrainian (Native), Russian (Fluent), English (Upper-Intermediate)
*   **Soft Skills:** Proactivity, Communicativeness, Multitasking, Self-organization, Fast learning, Active listening, Teamwork
"
6214,"**[Your Name]**
[Your Contact Information]

**Summary**

Seeking a Junior Project Manager position. Possessing foundational project management knowledge, an understanding of the Software Development Life Cycle (SDLC), and familiarity with Agile methodologies (Scrum, Agile) acquired through Project Management Course completion. Eager to apply learned skills and contribute to project success.

**Skills**

*   Project Management Fundamentals
*   SDLC
*   Agile Methodologies (Scrum, Agile)
*   Windows OS
*   MS Office Suite
*   Google Workspace (Basic)

**Experience**

*   **[Previous Job Title]** - [Previous Company Name]
    *   Managed projects, including project planning and execution.
    *   Interacted with customers and stakeholders to gather requirements.
    *   Organized and coordinated team activities.
    *   Maintained project documentation, ensuring accuracy and completeness.
    *   Prepared legal documents, demonstrating attention to detail.
"
6231,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)]

**Summary**

Project Management Specialist with experience in financial consulting. Seeking opportunities in Information Technology, Product Management, and Project Support roles. Demonstrated ability to manage project documentation, facilitate communication, and contribute to project success.

**Experience**

**Project Management Specialist** | Grant Thornton Ukraine | Kyiv, Ukraine | [Start Date] – Present

*   Managed client and contractor communication.
*   Maintained project documentation and schedules.
*   Collected and analyzed project information.
*   Provided administrative support for project meetings.
*   Prepared project reports.

**Projects**

*   Developed a system for monitoring Sustainable Development Goals achievement for Kyiv city.
*   Conducted anti-corruption policy audits.
*   Performed financial statement audits.

**Skills**

*   Microsoft Office Suite
*   1C/BAS
*   CRM Bitrix 24
*   Smart Tender
*   Project Documentation
*   Communication
*   Reporting
*   Analytical Skills

**Languages**

*   English: Upper-Intermediate

**Personal Attributes**

Responsible, attentive, self-motivated, and hardworking. A team player with adaptability and analytical skills, capable of working effectively both independently and collaboratively.
"
6232,"**[Your Name]**

**Summary**

Results-oriented professional with experience managing educational projects for over 500+ participants across diverse organizations, including Boeing, Ubisoft, and Xpand. Possesses strong communication and organizational skills, adept at multitasking and maintaining focus. Eager to advance a career in IT management.

**Experience**

*   Managed educational projects, impacting over 500+ participants from organizations such as Boeing, Ubisoft, and Xpand.
*   Implemented Agile and Scrum methodologies, including 1-on-1 meetings, stand-ups, and retrospectives, to foster team motivation and project progress.
*   Utilized Lean methodology to drive continuous project improvement.
*   Contributed to project design and setup discussions, demonstrating an understanding of project profitability drivers and identifying cost-saving opportunities.
*   Monitored, maintained, and enhanced field operations performance, ensuring timely and accurate delivery.
*   Served as a liaison, facilitating communication among stakeholders on project-related matters.
*   Communicated directly with customers to clarify requirements, manage expectations, and address changes.
*   Managed project planning, task progress monitoring, and team workload prioritization.
*   Prepared and organized project documentation.
*   Provided regular project updates and planning.
*   Coordinated project launch schedules and activities.
*   Managed risk.
"
6233,"**British Autoclub Assistance, Kyiv – IT Manager**
September 2018 – March 2019

*   Collected requirements for Minimum Viable Product (MVP) development on web, app, and CRM system projects.
*   Conducted black box, grey box, and acceptance testing on delivered features for CRM and app projects.
*   Oversaw app project delivery activities with an external team, including project backlog and sprint backlog creation, manual testing, and bug tracking.
*   Offered support for 1C accounting management and new feature development.

**Pride International LLC, Kyiv – Project Manager Assistant / QA Manager**
August 2017 – September 2018

*   Supported sprint planning and product backlog management.
*   Performed quality assurance tests during sprint cycles and product releases.
*   Helped resolve defects in app and web versions.
*   Assisted the team in removing impediments, showing knowledge of control and release processes.
*   Monitored and communicated team velocity and sprint/release progress to relevant teams and management.
*   Contributed to defining and implementing new product development processes and in facilitating continuous process improvement.

**MBM Partners, Kyiv – Head of Lead Generation and Advertising Departments**
June 2015 – August 2017

*   Managed and controlled lead generation and traffic management activities.
*   Developed strategic guidelines and tactics for the company's social media activities (SMM).
*   Provided social media marketing planning, recommendations, and implementation.
*   Created tasks for script development for social media lead extraction.
*   Managed automation and tool integration for social media content.
"
6239,"**Summary**

Highly motivated and experienced ESL teacher with 4+ years of experience, holding a 120-Hour TESOL/TEFL Certificate from World TESOL Academy. Proven ability in project management, effective communication, and adapting to various teaching methodologies. Dedicated to customer satisfaction and continuous improvement.

**Skills**

*   Project Management
*   Agile Methodologies (Scrum, Kanban)
*   Communication (Written & Verbal)
*   Customer Relationship Management (CRM)
*   MS Office Suite
*   Problem-Solving
*   Multitasking
*   Time Management & Punctuality
*   ESL Instruction (Children & Adults)
*   Business English
*   Content Creation & Copywriting
*   Project Lifecycle Understanding
*   Metrics for Project Management
*   Customer Support
*   Sales Tools (Email Finder, Verifier, Warm-up, Drip Campaigns)

**Experience**

*   **ESL Teacher/Tutor** | Self-Employed | 2018 - Present
    *   Developed and implemented engaging ESL activities, incorporating technology.
    *   Improved students' reading, grammar, and speaking skills, modifying lesson plans as necessary.
    *   Created monthly academic status reports based on student evaluations.
    *   Tracked student attendance and progress.
    *   Conducted speaking clubs.
    *   Provided Business English instruction.
    *   Conducted individual and group online English lessons.
    *   Managed daily operations and class management.
    *   Administered quarterly student progress assessments and retrospectives.
    *   Developed strong communication and management skills.
*   **Customer Support Specialist Intern** | Crisp | August [Year]
    *   Resolved customer issues via text and calls to ensure satisfaction.
    *   Utilized CRM systems.
    *   Gained experience with sales tools, including Email Finder, Verifier, Warm-up, and Drip Campaigns.
*   **Assistant SMM Manager** | Instagram | [Dates]
    *   Content Creator and Copywriter.
*   **Cashier** | McDonald's | ""Work and Travel in Germany"" Student Exchange Program | [Dates]

**Certifications**

*   120-Hour TESOL/TEFL Certificate | World TESOL Academy | Accredited by ACCREDITAT & The CPD Certification

**Education**

*   [Student Name] | [University Name] | [Dates]
    *   Volunteered in various student startups and volunteer rallies.

**Additional Information**

*   Fluent in English (Advanced)
*   Aware of copywriter’s and videographer’s workflow.
*   Interested in a project manager role.
"
6240,"**[Your Name]**

**Summary**

Project Management-oriented individual with a foundation in project management principles, SDLC, team management, and project management best practices. Actively expanding knowledge through webinars and professional development.

**Education**

*   **Project Management Training:**
    *   Basic Course, Online Ukrainian School of Project Management by Denys Prylutskyi, July 2022
    *   ""Project Manager Profession | 10.0,"" GeniusMarketing, May 2022
    *   ""Fundamentals of Team and Project Management in IT. Preparatory,"" Prometheus, October 2021

**Experience**

*   **People Coordinator, Crunch**
    *   Serve as primary point of contact for the client regarding project information and updates.
    *   Ensure stakeholders are regularly updated on the status of all sites in project through meetings, correspondence, and status trackers.
    *   Forecast, track, and manage resource planning.
    *   Identify project resources necessary and partner with other company managers to acquire resources.
    *   Build and nurture an effective and collaborative project team, and promote effective individual and team performance.
    *   Track internal project team assignments.
    *   Monitor team and specialist states to identify and prevent risks (dismissal, burnout, conflicts, etc.).
    *   Inform and consult specialists about company social and remuneration policies.
    *   Participate in the organization and execution of team-building activities.
"
6254,"**[Your Name]**
[Your Contact Information]

**Summary**

Marketing professional focused on lead generation and social media marketing. Experienced in leveraging digital platforms and tools to support marketing goals. Possesses a strong desire to learn and contribute within a team setting.

**Skills**

*   Facebook Ads
*   Instagram
*   Miro
*   Asana
*   Figma
*   Pipedrive
*   Expandi
*   LinkedIn
*   Google Meet
*   Google Sheets
*   Google Docs

**Experience**

*   **Lead Generation Manager** | [Company Name] | [Dates of Employment]
    *   Oversaw lead generation initiatives for a website development company.
*   **Social Media Marketing (SMM)** | [Dates of Employment]
    *   Administered company social media accounts and utilized targeted advertising via Facebook Ads.
*   **Business Development/SDR/Sales Manager/Account Manager** | [Crypto Marketing Agency] | [Dates of Employment]
    *   Held diverse roles within a crypto marketing agency.

**Additional Skills**

*   Creative Ideation
*   Framework Development
*   Project Planning
*   Time Management
"
6255,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)]

**Summary**

Results-oriented Delivery Coordinator/Error Manager and Senior Test Engineer with eight years of experience in automotive embedded projects. Demonstrated abilities in customer communication, team organization, and utilization of Jira, Confluence, and Test Planning. Dedicated to automotive projects and leveraging expertise within the automotive industry.

**Skills**

*   Customer Communication
*   Team Organization
*   Jira
*   Confluence
*   Test Planning
*   Error Management
*   Automotive Embedded Systems

**Experience**

*   **Senior Test Engineer** (Dates of Employment)
    *   (Elaborate on your responsibilities and achievements in this role. Focus on quantifiable results whenever possible. For example: ""Managed and executed test plans for X automotive projects, resulting in a Y% reduction in critical defects."")
    *   (Continue listing your responsibilities and achievements)
    *   (Continue listing your responsibilities and achievements)
    *   (Continue listing your responsibilities and achievements)
*   **Delivery Coordinator/Error Manager** (Dates of Employment)
    *   (Elaborate on your responsibilities and achievements in this role. Focus on quantifiable results whenever possible. For example: ""Coordinated the delivery of X projects, ensuring timely completion and adherence to quality standards."")
    *   (Continue listing your responsibilities and achievements)
    *   (Continue listing your responsibilities and achievements)
    *   (Continue listing your responsibilities and achievements)

**Education**

*   **Master of Science in Automobile/Automotive Mechanics Technology**
    National Transport University (Year of Graduation)
"
6342,"**Mrowki-UA**
Consulting. HR.
2021-2022

*   Automation Project Manager
    *   Managed website development within an automation project.
    *   Provided automation for company processes.
    *   Developed messenger bots to streamline communication.

**Interra**
Online School
www.interra.bz
2020-2022

*   Automation Project Manager / Business Analyst
    *   Conducted business analysis to identify and propose business process transformations.
    *   Implemented automation solutions in Bitrix.
    *   Utilized Power BI for data analytics, contributing to cost and time savings, and improved service quality.

**RublevFamily**
Quest Franchise
fr.fortfamily.ru
2018-2022

*   Automation Project Manager
    *   Initiated automation efforts for the franchise sales department.
    *   Provided automation solutions for franchise partners' sales departments.
    *   Established marketing analytics for franchise partners.

**BizRaise**
Marketing Agency
bizraise.pro
2017-2018

*   Automation Project Manager / Business Analyst
    *   Focused on business processes and automation across various business areas.
    *   Assessed current customer processes to identify automation opportunities.
    *   Developed automation solutions to address customer-defined problems.
"
7630,"**Summary**

Highly motivated professional experienced in market research and digital marketing strategies, including social media, email campaigns, and digital advertising. Demonstrated ability to oversee contractors and produce compelling content. Proficient in a range of digital marketing tools and platforms.

**Skills**

*   Market Research
*   Social Media Marketing (SMM)
*   Email Marketing
*   Google Ads/Instagram Ads/Facebook Ads
*   Contractor Management
*   SEO (Basic)
*   Backlink Analysis
*   Content Development
*   People Management
*   Google Ads Editor
*   Google Tag Manager (GTM)
*   Google Analytics
*   Facebook Business Manager
*   LinkedIn Marketing
*   Mailchimp
*   Tilda
*   Wix
*   Bitrix
*   Ahrefs
*   Serpstat
*   SimilarWeb
*   Microsoft Excel
*   Microsoft PowerPoint
*   SQL (Basic)
*   HTML
*   Adobe Photoshop
*   Adobe Illustrator

**People Management**

*   Team Coordination
*   Process Development
*   Conflict Resolution
*   Stakeholder Management

**Languages**

*   Ukrainian, Russian (C2 Proficiency)
*   English, German (C1 Proficiency)
*   Spanish, French (A2 Level) (In Progress)
"
7654,"**Summary**

Telecom professional with 14 years of experience, currently managing network coverage requests for B2B customers. Demonstrated ability to launch and optimize business processes, with a focus on delivering high-quality service and building strong customer relationships. Proficient in analytical thinking, negotiation, and project coordination, with a commitment to continuous learning and professional development.

**Experience**

*   **Network Coverage Specialist** (Current)
    *   Manages network coverage requests for corporate customers.
    *   Spearheaded the launch of the business process for handling network coverage requests.
    *   Develops business cases for base station construction, incorporating financial analysis (payback, revenue), technical optimization, and negotiations.
    *   Negotiates with internal and external stakeholders, including contractors, landlords, and clients.
    *   Delivers training courses to colleagues on the customer request lifecycle, promoting engagement and knowledge sharing.
*   **Customer Service Division, B2B Sales** (Previous - 14 years ago)
    *   Developed analytical, managerial, and negotiation skills through B2B sales experience.

**Skills**

*   Network Coverage Management
*   Business Process Improvement
*   Business Case Development
*   Financial Analysis (Payback, Revenue)
*   Negotiation
*   Stakeholder Management
*   Training and Presentation
*   Analytical Skills
*   Project Coordination

**Professional Development**

*   English Language Learning (Since March 2018)
*   Content Marketing and Copywriting Course (December 2020)
"
8890,"**[Your Name]**

**Summary**

Professional experienced in project management, user interface/user experience (UI/UX), and quality assurance (QA). Demonstrated ability to utilize Agile methodologies to improve IT processes and achieve positive results.

**Skills**

*   **Project Management:** BA/PM, Scrum, Agile, Kanban, RUP
*   **UI/UX:** UI/UX, CSS, HTML, JavaScript, HTML5, UML
*   **Quality Assurance:** QA
*   **IT & Development:** IT process optimization, Python
*   **Collaboration & Documentation:** Confluence, Redmine, Jira, Knowledge base
*   **Systems:** ERP, CRM
"
8916,"**Summary**

Results-driven IT professional with a decade of experience. Demonstrated ability to contribute to complex projects in both governmental and private sectors. Skilled in project management, business development, and channel management.

**Experience**

*   **IT Projects:**
    *   Participated in multiple projects for governmental organizations in Azerbaijan, including the Central Bank's card system and the Treasury of the Azerbaijan Republic's inventory system.
    *   Oversaw projects within the broadcasting industry, specifically the creation of an online TV system.
*   **Business Development & Channel Management:**
    *   Five years of experience in IT Distribution, holding roles as Business Development Manager (BDM) and Channel Manager.
"
9028,"**Summary**

Results-oriented BI/DWH professional with 10+ years of experience in reporting and development, specializing in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes. Demonstrated ability to lead teams and provide technical guidance. Expertise in data architecture, data modeling, and analysis, with a strong understanding of financial and business objectives.

**Experience**

*   **BI/DWH Development & Reporting:** 10+ years
    *   Proficient in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes.
    *   Experience within Financial, Trading, Accounting, and other banking business departments.
*   **Team Lead/Tech Lead:** 4+ years
*   **Data Architecture, Modeling & Analysis:** 9+ years
*   **Technical Documentation:** Experience in creating Tech Design/Requirements documents.
*   **Agile Development:** Extensive knowledge of Scrum/Kanban practices.
*   **Requirements Prioritization:** Significant experience in prioritizing customer requirements.

**Skills**

*   **Reporting & BI Tools:** Oracle BI, SAP BO, Tableau, Pixel Perfect reporting
*   **Programming Languages:** PL/SQL, SQL, XML, Visual Basic (VB)
*   **Methodologies:** Agile, Scrum
*   **Version Control & Collaboration:** Jira, SVN, Crucible
*   **Data Structures:** Siebel / B2 / iFobs / isCard
*   **Banking Reports:** Financial and management banking reports, bank Accounting

**Key Strengths**

*   Strong understanding of business goals and priorities within the financial and product sectors.
*   Proactive team communication and leadership skills.
"
9066,"**Summary**

Results-oriented professional with experience in public procurement. Skilled in managing comprehensive tender procedures and delivering high-quality service proposals within established deadlines.

**Experience**

*   Managed end-to-end tender procedures.
*   Oversaw service proposals, including technical and commercial components, from the initial call for tender to bid submission.
*   Directed bid logistics, including team scheduling and responsibility allocation.
*   Served as a central point of contact for technical, commercial, and contractual submissions, collaborating with diverse service teams.
*   Coordinated and contributed to document drafting.
*   Ensured service proposal quality and deadline adherence.
*   Facilitated communication and information gathering from internal and external stakeholders (HR, finance, purchasing, legal, partners, etc.).
*   Controlled proposal costs and met deadlines.
*   Collaborated with account directors on service proposals, submission documents, client communications, and meetings.
*   Focused on improving the efficiency of the service proposal process.
*   Improved tools to enhance the quality and compliance of submission documents.
"
9445,"**Summary**

Results-driven Branch Manager / Project Manager with fifteen years of IT industry experience. Demonstrated ability to manage businesses and development teams of 5-50 people. Seeking a Branch Manager or Senior Project Management position within a well-established company.

**Experience**

*   **Project Portfolio:**
    *   Legal Management System: Managed the complete multi-attorney workflow, from claim filing to executive proceedings.
    *   CRM System: Developed and managed a CRM system for a large wholesale supplier of tourism products, supporting hundreds of customers, tens of thousands of products, and multiple warehouse locations.
    *   SaaS Management Platform: Created a SaaS management platform for fitness and dance clubs, and similar small businesses.
    *   Online Stores: Developed and managed multiple online stores of varying complexity.

**Skills**

*   Project & Product Management
*   Agile (SCRUM)
*   Requirements Management
*   Branch Management

**Technical Skills**

*   Atlassian Jira
*   LAMP
*   CSS, HTML
*   PHP4-5
*   SQL
*   jQuery, AJAX
*   Bootstrap
*   PostgreSQL
*   AWS
*   CVS, Mercurial, Git
*   Nginx
*   CMS, CRM

**Experience**

*   15+ years of development experience.
"
9542,"**Summary**

Results-oriented marketing professional skilled in project management, content creation, and digital advertising. Demonstrated ability to drive engagement, manage budgets, and coordinate cross-functional teams.

**Experience**

**Digital Marketing Manager**
Genesis, Keiki

*   Developed and scaled Facebook advertising campaigns.
*   Managed a monthly advertising budget of $50,000, achieving a positive return on investment (ROMI).
*   Collaborated with content managers to develop engaging content.
*   Analyzed key performance indicators (KPIs) and made data-driven decisions.

**Marketing Project Manager**
Silpo

*   Planned, executed, and monitored marketing projects.
*   Coordinated efforts between IT, Design, and Operations departments.
*   Developed creative assets for website, targeted advertising, social media, Viber, and email campaigns.
*   Managed video production projects.

**Brand Manager**
Red Bull

*   Developed social media strategies.
*   Assisted in the organization of events.
*   Conducted market research.

**Volunteer Project**

*   Created content for website and social media platforms.
*   Coordinated a core team of 8 members.
*   Established and maintained partnerships with companies, universities, and students.
*   Sourced potential partners and managed subsequent communications.
*   Evaluated and tracked the event's success.

**Projects**

*   **Red Bull Basement 2021:** Submitted 437 applications.
*   **Silpo:** Led the realization of one project.
*   **""Recipes Silpo"" Product:** Coordinated the creation of this product.
*   **Lynksen Website:** Oversaw full copywriting for the website.
*   **Video Production:** Produced two video productions.
*   **Recipe Database:** Created content for a database of over 170 recipes.
"
9546,"**Summary**

Results-oriented professional with experience in project management, event management, and business operations. Proven ability to build and lead teams, manage projects, and deliver successful outcomes. Adept at problem-solving, communication, and building relationships. Passionate about continuous learning and contributing to positive environments.

**Skills**

*   Project Management
*   Event Management
*   Team Leadership & Management
*   Budgeting & Financial Management
*   Client Communication & Relationship Management
*   Marketing Strategy & Implementation
*   Process Creation & Management
*   Public Speaking & Presentation
*   Candidate Selection & Interviewing
*   Conflict Resolution & Mediation
*   Fundraising & Resource Acquisition
*   Analytical & Critical Thinking

**Experience**

**Business Assistant for CEO** 07/2022 - 09/2022

*   Developed company strategy and communication plans.
*   Managed process creation and implementation.
*   Managed a sales team of 5 members.
*   Created and managed marketing strategies.
*   Coordinated with design, development, copywriting, and HR teams.

**Event Project Manager** 03/2020 - 10/2021

*   Managed projects for clients including Metro Cash & Carry, Kyivstar, Metinvest, and Intersport.
*   Oversaw all aspects of projects, including client communication, budgeting, bid preparation, and turnkey implementation.
*   Managed online production project for Metro Cash & Carry (online cooking master classes for Chefs).
*   Managed a conference for Chefs and Partners of Metro for 500+ guests (Odessa, Dramatical Theater, quarantine period 2021).
*   Managed sport olympiade for Metinvest during 2 month in 5 different cities.
*   Prepared projects that brought victory to the agency in Kyivstar tenders (projects total costs over 5 million UAH).
*   Managed BTL projects for Metro Cash & Carry across the country.

**Co-Owner & COO** 03/2019 - 09/2019

*   Identified and communicated with clients, partners, and investors.
*   Managed budgeting and documentation.
*   Oversaw website development and design.
*   Managed event support and team management.

**Project Manager & COO** 03/2016 - 12/2018

*   Recruited and onboarded employees.
*   Managed teams and tasks.
*   Managed projects and products throughout the full development cycle.
*   Managed budgeting.
*   Maintained project documentation.
*   Prepared reports on product development stages.
*   Brought the product to the pre-release stage.
*   Presented the project on the international market, including participation in exhibitions and road shows, and communication with potential investors.
*   Built a dream team of developers with limited investments.
*   Led the startup to the pre-launch stage.
*   Presented at the international stage (London Road Show for investors, 2018).

**Additional Skills and Experience**

*   Developed and delivered training programs for IT beginners on interview techniques and team dynamics.
*   Successfully worked on projects with zero budgets, utilizing fundraising, collaborations, and bartering.
*   Utilized knowledge of conflictology, mediation, and psychology in everyday situations.
*   Demonstrated strong problem-solving skills and a flexible mindset.
*   Actively engaged in self-education, completing 2-3 educational programs annually in fields such as psychology, marketing, brand & product management, philosophy, and technologies.
*   Experience in building project teams from scratch.
*   Developed own system of candidate selection and interviewing.
*   Provided comfortable working conditions for teams.
*   Participated in roadshows and presentations.
*   Built strong relationships with team members and clients.

**Location:** Lodz, Poland

**Availability:** Remote work.

**Preferences:** Seeking opportunities in IT development as a Project Manager or Event Manager. Willing to start in a Junior position to develop IT PM skills and grow within the company.

**Exclusion:** Will not work with companies that cooperate with Russia or have Russians among their employees.
"
9547,"**[Your Name]**

**Summary**

Professional experienced in launching and managing initiatives, with a demonstrated ability to contribute to organizational growth and drive positive outcomes.

**Experience**

*   **Philip Morris Ukraine**
    *   **Brand Executive, Marketing** (2 years)
    *   **Project Manager, HR** (2 years)
    *   **Customer Care, Sales** (8 months)
*   **Nestle Ukraine - Purchasing Department** (6 months)

**Projects & Initiatives**

*   **Launched Nationwide Internship:** 70% of graduates continued employment (previous result: 50%).
*   **Launched Global Internship:** 80% of graduates continued employment.
*   **Launched Philip Morris Business Academy:** Nationwide roll-out, Net Promoter Score (NPS) of 90.
*   **Launched New Product - L&M Double Mix:** Full-support, achieved Market Share Objective (SOM) target.
*   **EVP Roll-out:** Global EVP adaptation to local market demands + Employee Ambassador program.
*   **Launched Hostess Project:** Conducted twice, 20,000 contacts per month (full-support).
*   **Parliament Brand:** Continuous support.

**Objective**

Seeking a challenging project, opportunities for ownership, and a collaborative team environment.
"
9583,"**Summary**

Accomplished professional with experience in project management, procurement, operational leadership, and business development. Demonstrated ability to establish and expand systems, lead teams, and contribute to organizational achievement.

**Experience**

*   **Director** Oversaw operational management within a scientific institution.
*   **Head of Department/Manager** Established a procurement system within a network of construction supermarkets.
*   **Project Manager** Created a distance selling system, expanding it to national reach.
*   **Private Business Owner** Managed the ""Electronic Diary"" project in Kharkiv schools.

**Skills**

*   Teamwork and Leadership
*   HR / Recruitment
*   Financial Management
*   Remote Management
*   Information Analysis and Structuring
*   Project Organization (inception to completion)
*   Budgeting, Analysis, and Planning
*   Purchasing and Sales
*   Transaction Support
*   Document Preparation

**Additional Skills**

*   Skill Development
*   Personal and Corporate Advancement
*   Flexible Problem Solving
"
9587,"**[Your Name]**

**Certifications**

*   PMP
*   IPMA Level C
*   ITIL Foundation
*   Microsoft Certified Technology Specialist (MCTS)

**Summary**

Accomplished professional with a history of successful project management, having overseen more than 40 projects. Skilled in project management approaches and IT service deployment.

**Experience**

*   **Project Manager**
    *   Managed internal, national, and international projects and project portfolios.
    *   Successfully delivered over 40 projects.
    *   Experienced with Waterfall and Agile (XP, Scrum) methodologies.

**Skills**

*   Analysis, design, implementation, and optimization of business processes and IT services, processes, and procedures.
*   Deployment and implementation of automated production systems.
*   Implementation and support of IT services based on Microsoft products (Exchange, AD, SystemCenter, SharePoint, SQL).
*   Deployment and adaptation of ITIL best practices, and CobIT and ISO standards.
*   Planning and organization of telecom networks.
*   Strong management skills.
*   Ongoing professional development in project management, business analytics, QA, and IT administration.
"
12037,"**Summary**

Results-driven IT professional with 10+ years of experience in application development across web, mobile, and desktop platforms. Demonstrated ability to analyze complex data, lead teams, and deliver successful projects.

**Experience**

*   **MS Dynamics CRM Project Analyst** Advertisement Company, 2011
    *   Contributed to a Microsoft Dynamics CRM project.
    *   Project resulted in a productivity increase exceeding 30%.
    *   Project contributed to increased customer loyalty.
    *   This was the largest CRM project in Siberia at the time.
    *   Recognized by Microsoft.

**Skills**

*   **Software Development & Analysis:** Requirements elicitation and development, complex data analysis, and report generation.
*   **Team Management & Leadership:** Team management and leadership capabilities.
*   **Cross-Functional Collaboration:** Proven ability to work across multiple disciplines and departments.
*   **Learning & Development:** Dedicated to continuous learning and self-improvement.
*   **eCommerce & Digital Marketing:** Familiarity with eCommerce, social media management, Google Ads, and SEO principles.
*   **Game Development:** Knowledge of game development practices.
*   **Quality Assurance:**
    *   Experience with a range of software testing methods, including functional, access control, cross-browser layout, load and performance, installation, database-driven, and cross-operating systems testing.
    *   Proficiency in the preparation of testing scenarios and plans.
*   **Deployment:** Experience with deployments in both test and production environments.
*   **Customer Training:** Skilled in developing training curriculums, preparing training materials, and delivering customer training sessions.
*   **Technical Skills:**
    *   Databases: MySQL, Oracle SQL.
    *   Programming Languages: C, C++, Python.
    *   Data Analysis: IBM SPSS.
    *   Virtualization: VMWare virtual machines, Linux.
    *   Microsoft Office: Advanced proficiency.
    *   Project Management & Tracking: Jira, Asana, Trello, Trac.

**Awards & Recognition**

*   First Prize Winner, ""Startup Business Ideas"" Competition, Istanbul, 2019.
"
12116,"**[Your Name]**

**Summary**

Business analyst with over 8 years of experience in business analysis and administration of IT systems and services within two major international banks. Proven ability to manage projects, implement solutions, and support financial processes.

**Skills**

Business Analysis, Project Management, Agile, Redmine, Jira, OHP, MDX, SAP ERP (HR, LSO, TMC, Portal, Performance), IT-Enterprise ERP (HR: Performance and Payroll, E-Documentation), Oracle Hyperion Planning

**Experience**

*   **[Bank Name 1 & 2 - if you want to include the names, otherwise remove]**

    *   Implemented Oracle Hyperion Planning in two Ukrainian Banks (TOP 10).
    *   Analyzed and administered budgeting processes and financial reporting.
    *   Prepared technical documentation including business and functional requirements and user guides.
    *   Acted as both a business and technical specialist on an Oracle Hyperion implementation project.
    *   Developed test cases, performed testing, and managed bug tracking and fixing.
    *   Provided development and support for SAP ERP system modules (HR, LSO, TMC, Portal, Performance).
    *   Participated in IT-Enterprise ERP system implementation as a business analyst (HR: Performance and Payroll, E-Documentation).

**Additional Information**

*   Worked with strong and friendly teams.
*   Exposure to interesting and challenging tasks.
*   Professional growth within financially stable environments.
"
