Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
62,"Strategic minded Project Manager with extensive experience in Marketing, Events, PR, and social & political spheres. Proven track record of successfully leading projects and teams.

2019- Freelance Software Test Engineer
- Testing on TestIO, UTest, TestFlight.

2004-2018 Marketing & PR Specialist
Golden Collection of Various Companies
- Progressed from Office Manager to National Coordinator
- Account manager/Coordinator for Marketing, PR, Event, BTL Production, and Manufacturing projects
- Personnel Trainer

2009-2011 Host/Facilitator/Journalist/TL
World Sport Media
- Hosted meetings and facilitated teleconferences
- Team Lead for group of 5
- Conducted reports and created project conclusions
- Executed secret missions

Seeking to apply my knowledge and skills to add value and continue learning. Interested in combining office and remote work to balance motherhood with professional growth."
63,"2020-2021 Менеджер ІТ-проектів у компанії DK Services
2021 Головний аккаунт-менеджер українського сегменту WoodandHearts
2021-2022 Керівник ІТ-департаменту в компанії Інфоконтроль
Досвід у керуванні невеликими командами розробників до 6 чоловік
Навички роботи з інструментами: Jira, Confluence, Miro, Figma, Slack, VS Code."
64,"Професійний досвід:

- Участь у двох проектах на курсі IT Project Management з реальними замовниками Boosta і Podushka.ua.
- Boosta: побудова таймлайну по проєктним активностям компанії, використовуючи метод критичного шляху. Внесення пропозицій по скороченню часу на виконання проєкту. Використання програм Miro та Gantter.
- Podushka.ua: вирішення проблем доставки і моніторингу замовлених клієнтом товарів. Використання програми Miro."
65,"- Сертифікат участі у міжнародному проєкті Media Dialog 2020
- Курси з копірайтингу та створення сайтів на Тільді
- Позитивний відгук від попереднього роботодавця
- Лідерська позиція в Інститутському рейтингу успішності в навчанні
- Член Студпарламенту ІЖ КНУ
- 5 місяців досвіду копірайтером в онлайн-студії копірайтингу
- Управління сторінками в Інстаграм та Телеграм
- Практика project manager у Фундації Дарини Жолдак (Fedoriv group) з організації лекцій та збору аудиторії для проєкту КарочєХаб
- Участь у міжнародному проєкті Media Dialog 2020 як представник блог групи
- Проджект-менеджер проєкту Інституту журналістики КНУ з пошуку вакансій для студентів

Бажаю знайти вакансію для початківця з перспективами для професійного розвитку та розвитку практичних навичок. Готова працювати у команді, що підтримає та допоможе, а я в свою чергу зроблю все можливе для успішності та продуктивності моєї роботи."
66,"- 6+ months of testing experience (software, web, mobile)
- Proficient in manual testing documentation (test plan, test cases, test report, bug report, check list)
- Familiar with QA methodologies, including Agile methodology
- Skilled in test activities such as Functional testing, Non-functional testing, and Testing related to changes
- Proficient in Bug-tracking Systems such as Atlassian Jira, Redmine, Mantis
- Experienced in Test Case Management Software such as Testrail, TestLink
- Knowledge in QA Automation using Selenium
- Proficient in SQL
- Familiar with HTML and CSS

Я маю намір розвивати свої навички та збільшувати свій досвід у сфері тестування, щоб стати більш компетентним у своїй новій ролі."
67,"Ключові досягнення:
- Відкриття офісу компанії
- Створення дилерської мережі
- Набір персоналу та формування команди
- Впровадження waterfall методології у компанії

Досвід:
- 8 років досвіду ведення великих складних проектів у агросфері
- Досвід у веденні проектів в айті, включаючи створення сайту представництва компанії та участь у проекті створення мобільної аплікації на курсах з IT PM."
68,"Топ-менеджер з 9-річним досвідом у ресторанному бізнесі. Експерт у роботі з фінансовою документацією, включаючи плани проектів та фінансів, матриці відповідальності, стратегії та ризики, P&L, та CRM системи. Знання CSS, SQL, HTML, HTTP, Scrum, Agile, та Waterfall методологій. Досвід роботи з Postman, Jira, та JSON. Експерт у тестуванні з використанням Test Plane, Test Case, та Bug Report. Мета - стати Senior Project Manager."
69,"- Координування відділу пошуку клієнтів
- Комунікація із клієнтами
- Контроль роботи відділу продажів
- Аналітичні здібності
- Командний гравець
- Вмію планувати та керувати часом
- Закінчила курс ""Основи проєктного менеджменту""

Account manager
Maxi Group Kyiv | Лютий 2019 - по поточний час
- Перевірка діалогів з клієнтами та їх анкет
- Контроль якості ведення клієнтів відділами продажів
- Передача уточнень та запитів між відділами пошуку клієнтів та відділами продажів
- Робота з CRM системою
- Складання звітів

Account manager
Maxi Group Kyiv | Жовтень 2018 - Лютий 2019
- Перевірка діалогів з клієнтами та їх анкет
- Уточнення деталей співпраці у телефонному режимі
- Допомога в розробці методологій для покращення проєкту"
70,"Успішно реалізовано 22 проекти: http://na-proby.com/

Social Media Marketing program from the Digital Marketing Institute (Ireland). Certificate Social Media Marketing Campaign Manager Influencer marketing

Медіакомпанія ""Бурда-Україна"" (червень 2018 - теперішній час)

- Планування, контроль та координація запуску проекту на сайті.
- Комунікація з клієнтами та підтримка проекту протягом усього періоду (від 3-ох до 6-ти місяців).
- Контроль виконання KPI's.
- Управління пріоритетами в проекті, виявлення ризиків і управління ними на постійній основі.
- Забезпечення правильного розподілу ролей і обов'язків між членами команди проекту.
- Складання та забезпечення інформацією про хід виконання проекту його учасників.
- Проведення аналізу після проекту і витяг уроків після кожного проекту з метою подальшого застосування в нових проектах.
- Робота з дизайнерами, редакторами, креативщиками, логістичними кампаніями.
- Підготовка пропозицій та фінальних звітів по завершенню проектів для клієнтів.
- Участь в розробці пропозицій нових проектів.

SMM:

- Створення текстового та графічного контенту.
- Налаштування таргетингу.
- Контроль виконання KPI's."
71,"Управління та координація роботи команди локалізації: збір вимог, взаємодія з зацікавленими сторонами, узгодження термінів, налагодження робочого процесу, відстеження термінів.
Звіти про проекти, аналіз досягнень, підготовка календаря локалізації для відділу перекладу IKEA Retail Ukraine, управління бюджетом проекту.
Участь у рецензуванні пропозицій та контрактів з зовнішніми постачальниками перекладів (перекладацьке агентство та зовнішні постачальники). Участь у тендерах, підготовка та аналіз вимог тендера.
Основний контакт країни для матричних організацій (головний офіс) в Швеції для підтримки локалізації.
Участь у процедурах найму зовнішніх перекладачів: формування та контроль вимог, участь у співбесідах з кандидатами.
Ключові досягнення:
	Створення та управління відділом перекладу (команда з 8 осіб) для відкриття магазину IKEA в Україні.
	Успішне завершення локалізації глобального інструменту інформації про продукти для України в установлені короткі терміни.
	Впровадження принципів та практик гнучкості для відділу перекладу."
72,"Copywriter
Freelance | December 2022 - Present
- Writing texts on IT topics
- Independent research on themes and technologies
- Integration of key words, SEO optimization

STORE DECOR MANAGER
Instagram | November 2022 - Present
- Project planning and launch
- Financial reporting
- Customer base management

HUMANITARIAN STAFF MANAGER
Science Center, Ternopil | March - November 2022
- Accounting and documentation work
- Control over the process of issuing clothing and taking measures to improve it
- Support for internally displaced persons in resolving their issues
- Onboarding new volunteers and conducting training

RECEPTION COMMITTEE VOLUNTEER
Kharkiv National University of Radio Electronics | July - August 2021
- Informing about available specialties and admission conditions
- Assistance with contract signing and other organizational issues

I have completed a project management course, familiarize myself with professional literature, and am looking for an opportunity to apply my knowledge in practice as an assistant. Currently working as an IT copywriter on a freelance basis.

Most of my volunteer experience has been related to working with people. Starting from performing the duties of a deputy camp leader in a summer camp to volunteering in a humanitarian staff, I have improved my skills in interacting with people and aimed to benefit them. As a volunteer, I worked with people from different backgrounds, constantly practicing understanding human psychology and motivation, and can find an approach to everyone.

I am responsible and quick to learn new things, not afraid of multitasking or organizing processes. I have the ability to work in a team, communicate effectively, and achieve set goals. I am open to learning new things and finding effective solutions, and I am confident that my skills and experience can be useful in the workplace."
73,"- Успішна підготовка та проведення у складі команди 15+ виставкових заходів з масштабністю 500+ компаній учасників, 30 000+ професійних відвідувачів, 35 000+ кв.м. експозиції та 40+ іноземних делегацій.
- Організація власного бізнесу, включаючи участь як співзасновник у реєстрації ТОВ, розробці бренду, виході на ринок та формуванні лояльної аудиторії.
- Організація Національних павільйонів та колективних експозицій на міжнародних івентах.
- Успішне залучення Топ Компаній у якості Ключових Партнерів заходів.
- Більше 10 років досвіду участі в управлінні та координації проектами.
- Високий рівень організаторських здібностей та орієнтованість на результат.
- Досвід ведення декількох проектів одночасно та здатність продуктивно працювати як в команді, так і самостійно, в офісі та віддалено.
- Керування роботою команди до 5 чоловік.
- Постійна самоосвіта та поглиблення знань в проектному менеджменті та розуміння SDLC.
- Розвиток особистих гнучких та технічних навичок."
74,"Made two big projects for cinema. I was responsible for dubbing films for Ukrainian audiences, which were then shown in cinemas across the country. I led these projects both independently and as part of a team.

In terms of marketing, I consider myself to have a junior level of expertise, but I am eager to continue learning and improving in this field.

My soft skills include critical thinking, high self-organization, strong communication abilities, stress resistance, adaptability, flexibility, and a thirst for acquiring new knowledge.

Throughout my career, I have primarily focused on TV and film projects. I have worked in television as a presenter, journalist, and director of dubbing for TV and film content. Additionally, since 2019, I have been actively involved in copywriting and article rewriting for runners and athletes. I also have experience as an SMM manager for a running community sponsored by Puma in Kyiv, Ukraine.

In 2022, prior to the full-scale invasion, I took on the role of marketing project manager at an advertising agency. In this position, I was involved in revamping advertising strategies, providing recommendations, and launching campaigns on our platform. I also facilitated partnerships between brands and influencers to drive customer engagement. I had the opportunity to work with renowned brands, banks, and manufacturers. Unfortunately, due to the Russian aggression, the project had to be halted."
75,"Fabiosa Media, Проєктний асистент
1 рік 11 місяців

- Електронний документообіг та підтримка робочих таблиц
- Контроль заповнення даних та робота формул
- Створення звітів за запитом та оформлення контенту для соціальних мереж

Досягнення:
- Автоматизація робочих процесів
- Систематизація зберігання файлів
- Наведення порядку в робочих файлах та таблицях

СТК Авангард, Аналітик
3 роки 4 місяці

- Створення звітів за запитом
- Комунікація з торговими агентами, клієнтами та постачальниками
- Внутрішня документація команди та замовлення канцелярських товарів для офісу

Досягнення:
- Автоматизація процесів та звітів
- Швидка та точна обробка даних
- Уважна та детальна робота

Не розглядаю вакансії зв'язані з продажами."
76,"During my time at National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", I have successfully organized and supported over 20 student events, including ""Intel-Техно Україна 2016-2017"", ""Intel-Техно Україна 2017-2018"", ""POLYTECO Україна 2018-2019"", XVІ All-Ukrainian Student Physics Tournament, and Student Olympiad in programming ""KPI-OPEN 2018"". I have also effectively promoted these events on social media platforms such as Telegram, Instagram, and Facebook. Additionally, I have volunteered as an Event Organizer Assistant at conferences like OWASP Ukraine'18, Intel-Techno Ukraine (2016, 2017, 2018), and BSides Kyiv (2019)."
77,"Experienced manager with a mix of leadership, management skills, communications acumen, and entrepreneurial experience. Successfully led projects in various industries including medical, entertainment, NGO, and retail. Managed teams of up to 9 people. Currently seeking new opportunities in the IT domain. Passionate about interesting projects, working with a great team, and continuous skill development."
78,"I see the role of a Junior Project Manager as an opportunity to work in a team and learn from experienced colleagues. I believe that interacting with professionals will help me grow as a professional myself.

Furthermore, I anticipate the chance to work on diverse projects, which will allow me to develop my skills. I am prepared to take responsibility for task execution, meeting the established timelines, and achieving set objectives.

Overall, I view the position of a Junior Project Manager as a chance for active learning and making a significant contribution to the company's projects."
79,"Працівник року 2012 у ПАТ КБ Приватбанк
Сертифікат про закінчення курсів ІТ Projector у 2023 р
Англійська мова рівень B1
IT PROJECTOR ACADEMY, Project Managment:
- Написання user stories
- Створення Lean Canvas
- Робота з ризика та стейкхолдерами
- Робота з реальним замовником по проекту, комунікація
PAT KB PRIVATBANK:
- Обслуговування клієнтів
- Залучення нових клієнтів
- Робота з базами даних"
80,"IT Юрист
Квітень 2021 – Серпень 2021 (5 місяців)
Юридична компанія «Віголекс».
- Управління клієнтськими проєктами, комунікація з замовниками з різних країн світу;
- Управління молодшим персоналом під час виконання завдань, контроль, постановка задач;
- Ведення електронного документообігу на підприємстві.

Юрист. Заступник керівника.
Червень 2019 – Квітень 2021 (1 рік 11 місяців)
Юридична компанія «Правова допомога».
- Керування юридичним відділом (юристами та молодшими юристами), постановка та контроль задач, бюджетів, строків, часу роботи над замовленням, тощо;
- Контроль всіх замовлень компанії;
- Керування підбором та звільненням персоналу, проведення адаптацій юристів та їх розробка;
- Юридичне та кадрове обслуговування інших компаній, надання інших юридичних послуг."
81,"Project Manager with 2 years of experience at Astra Multimedia, specializing in typography production. Completed courses in QA testing and gained practical experience in a small testing team. Skilled in writing technical specifications, conducting web and mobile testing, attention to detail, working with deadlines, multitasking, and prioritizing. Successfully helped the company navigate through a crisis by acquiring new large clients. Seeking opportunities in the IT field to further develop my skills and passion for technology."
82,"JSX “Ukrzaliznytsia” regional branch “Prydniprovska Zaliznytsia”.
Last position: Head of the production and technical department of the structural subdivision “Dniprovske Locomotive Depot”.
Participated in projects:
- Implementation of a mobile surveillance camera system on trains for suburban transportation, from procurement of cameras to data transmission setup and report system creation.
- Modernization project with the development of a modern wagon-washing complex for suburban transportation.
Personal project:
- Organized regional control and search for solutions in the creation of a video recording control system on conductors, overseeing procurement, systematization, and information transfer to end users.
- Managed regional control over the implementation of technical tasks.
I value the cohesive team, company loyalty, fair compensation, and appropriate social programs."
83,Lemon.school - Курс управління проектами | Листопад 2021 - Січень 2022
84,"Зняв 6 музичних кліпів, безліч рекламних креативів та 2 реаліті проекти для телебачення. Організація та управління відеоіндустрією, управління часом та комунікація з клієнтами, керівництво та координація команди, пошук акторів, моделей та локацій, контроль над пост-продакшеном. Я хочу робити великі, цікаві та професійні проекти з розумними та талановитими людьми."
85,"PM, BA, prototyping
Аналіз бізнес-процесів, формування бізнес-, функціональних та нефункціональних вимог в розрізі написання ТЗ на впровадження ПО.
Прототипування інтерфейсів програмного забеспечення.
Ручне та димове тестування (Smoke Testing)."
86,"Створення власного бізнесу

Профіль:
Протягом 2019 – 2021 року працювала у сфері юриспруденції, займаючи виконавчу та організаційну ролі. Після року практики вирішила розвиватися у підприємницькій сфері та заснувала власний бізнес. Маю досвід у організації договірної діяльності для різноманітних бізнесів, зокрема у сфері об'єктів права інтелектуальної власності. Пройшла курс з управління проектами та зацікавилася розвитком у сфері Project management в IT галузі.

Досвід роботи:
- Березень – Грудень 2020 рік (10 місяців) - LAW FIRM.
Посада: Юрист.
Обов’язки: організація юридичної команди, розподіл завдань.

- Лютий – Жовтень 2021 рік (8 місяців) - Особиста підприємницька діяльність у сфері юридичної організації та супровіду підприємств у різних країнах.
Посада: Керівник.
Обов’язки: структуризація організації документообігу, розроблення та аналіз договорів, комунікація з клієнтами.

- Комерційний Клієнт:
- Франчайзингова компанія.
Обов’язки: організація франчайзингового бізнесу."
87,"Project Manager Assistant
UKRTECH.INFO | June 2021 - December 2021

- Scheduled team of technical specialists, determined task priorities
- Monitored task execution in current iterations
- Created backlogs, presented to clients
- Communicated with clients, addressed current issues

Transport and Logistics Manager
Vertical LLC | October 2015 - March 2021

- Coordinated managers' work
- Determined task priorities and execution order
- Prepared necessary accompanying documents
- Communicated with elevator and port laboratories in Odessa, Mykolaiv, Kherson
- Addressed current issues with involved parties

Looking to work on exciting projects with a team of great people!"
88,"Project-manager (remote)
from 12.2019 to present
Hackintosh.expert, Kharkov (IT)

- Consultation with leads about the product;
- Clarification of customer requirements;
- Technical task assignment to programmers;
- Project planning and coordination.

Deputy Head of Production Department
from 04.2017 to 09.2018 (1 year 5 months)
Construction Company ""DPAT 'Ukrbud'"", Kharkiv (Office Rental)

- Solving technical, economic, and documentation tasks related to building operation;
- Finding and attracting clients;
- Monitoring customer satisfaction level from cooperation;
- Competitor analysis;
- Organizing employees' work.

Sales Manager
from 02.2013 to 06.2014 (1 year 4 months)
Artefis, LLC, Kharkiv (HoReCa)

- Finding new clients (cold visits and calls);
- Expanding product range (outperforming competitors);
- Achieving sales targets and daily work analysis (weekly, monthly).
Achievement:
Increased turnover from 40 to 240 thousand UAH in 6 months."
89,"Експерт у розвитку проектів зі збільшенням онлайн присутності та залученням аудиторії. Керував SMM-відділом, підвищив охоплення на 150% та збільшив кількість користувачів платформ на 210%. Покращив воронку продаж, збільшив кількість пасивних лідів на 60%. Збільшили середню участь у спільноті на 35%. Ефективно адаптував офлайн проекти в онлайн-форматі, збільшивши кількість проектів з 3 до 25 та учасників в онлайн-форматі на 60%. Бажаю приєднатися до атмосферної команди з соціально значущим та інноваційним проєктом, де можна постійно навчатись та рости, пишатись досягненнями та ділитись історіями успіху з оточенням."
90,"Experienced Manager with a proven track record in the real estate industry. Skilled in organization, time management, planning, and problem-solving. Successfully increased Company profit by 28% through strategic investment."
91,"SALES DEVELOPMENT REPRESENTATIVE (SDR)
SalesNash | березень 2022 - липень 2022

COMMUNICATIONS MANAGER (SMM) та CRISIS MANAGER
Vilnyy Prostir | квітень 2021 - липень 2022

PRIVATE MUSIC TUTOR AND CAMP LEADER
The School of Open-Minded Kids, Львів | 2019-2021"
92,"Export of Ukraine’s primary agricultural commodities: grains, seeds, sunflower oil, wheat flour, skimmed milk powder etc.
Regions of supplies: Baltic states, Northern Africa, Near and Middle East, India, China, Thailand
Ukrainian seaport supplies
Direct contacts with producers and processors of agricultural production (procurement): buying, supplying, delivery organization
Organization of new logistic chains of supplies based on market volatility and cost of freight
Keeping abreast of the agriculture market, monitoring prices
Negotiating with foreign partners, transactions, support of contract and supply, certification, customs clearance, forwarding, dealing with brokers, seaports, grain elevators
Supplying on CPT, FCA, DAP, FOB, CIF (Incoterms 2010)
Establishing sales and pricing strategies, including offering spot prices on a real-time basis to clients and targeting the best paying outlets for the volume of commodities available to sell

INTERESTS
Reading books, visiting museums and theatres, gastronomy
Travel
Self-education and training

Sinton Group of Companies, Ukraine, August 2006 – February 2017, Senior trader – export desk

Oliyatorg Holding, Ukraine, February 2017 – August 2017, Senior trader – export desk

The First Food Trading Company, October 2017 – current time.

Seeking challenging opportunities in strategic tasks within a large project, open to new technologies and initiating processes. Experienced in negotiating with foreign partners and managing supply chains. Passionate about continuous learning and growth."
93,"Junior Project Manager без досвіду роботи, закінчила курси РМ у Genius Space. Маю технічну освіту та базові знання програмування, що є великою перевагою на даній посаді.

Досвід роботи:
SMM manager - Rozvytok, Khmelnytskyi | 07.2019 - 02.2022
SMM manager - Voronin DS, Lviv | 07.2021 - 11.2021
Customer Manager - Rozvytok, Khmelnytskyi | 07.2019 - 07.2021
Call center operator - ARCE, Khmelnytskyi | 2017"
94,"Software Testing Engineer (Intern)
May 2022 - Present (8 months)
Epam, Remote (IT)

- Proficient in testing documentation, SDLC, SDTC, testing methods, test design techniques, Jira, Testrail, and SQL.
- Possess basic knowledge of Java and Javascript.
- Familiar with automation testing theory, Selenium, Cypress, Postman, CSS, HTML, and Swagger."
95,"Sportbank червень 2022 - теперішній час — Головний спеціаліст Управління боротьби з шахрайством 

LOMS Studio травень 2022 - теперішній час — CEO & Founder

Mystic Motors NFT липень 2022 - квітень 2023 — Lead GUI & Game Design (LGD)"
96,"Освіта:
- Навчаюсь в ІТ Step University на факультеті комп'ютерних наук зі спеціалізацією у проектному менеджменті (з 2021 по 2024 р.)
- Отримав сертифікат від Sigma Software за інтернатуру ""Team building і SDLC in project development""
- Закінчив курс ""Project Management"" від Eleks і отримав сертифікат

Навички:
- Розуміння методологій Agile/Scrum, Waterfall
- Аналіз вимог замовника та ризик-менеджмент
- Прийняття рішень та сильні комунікаційні навички
- Вміння програмування з використанням HTML/CSS/JS та React

Досвід роботи:
Startup компанія: Grade Soft
Позиція: Sales Manager
Продукт: програма на основі QR коду для ресторанів/кафе, готелів, салонів краси та медичних центрів, що включає в себе можливість перегляду меню, залишення відгуків, замовлення та онлайн запис
Термін роботи: 6 місяців (з 06.2022 по 12.2022)

Будь ласка, врахуйте, що це лише покращений варіант вашого резюме, який відображає ваші фактичні обов'язки, досвід та навички."
97,"Організувала 2 конференції ""Festiwal menedżerski"" та ""Festiwal 3 p.m"", яка отримала нагороду за кращий студентський проект 2019 року. Маю сертифікат IPMA-Student. Володію вільною володінням польською, англійською, французькою, російською та українською мовами.

Стажування студента
Oh!Pillo
Жовтень 2016 - Грудень 2016
- дослідження інформації для можливих тем контенту французькою мовою
- створення календарів контенту
- контроль оновлень на соціальних платформах, сайтах та додатках та підтримка прямого відеотрансляції подій у соціальних мережах

Менеджер соціальних мереж
Kraków King Theater
Травень 2014 - Квітень 2016
- дослідження інформації для можливих тем контенту
- створення календарів контенту
- використання Canva для створення індивідуальних банерів та інших зображень для використання в кампаніях
- контроль оновлень на соціальних платформах, сайтах та додатках та підтримка прямого відеотрансляції подій у соціальних мережах

Волонтер в PMI Poland Chapter Kraków
Травень 2018 - зараз
- допомога в плануванні, впровадженні та організації програми ""Women In Project Management""
- участь у різних семінарах PMI
- підготовка графіки для просування

Менеджер проекту подій ""Festiwal menedżerski"" та ""Festiwal 3 p.m""
Серпень 2018 - Травень 2019
- планування подій від початку до кінця відповідно до вимог, цільової аудиторії та цілей, пропонування ідей для підвищення успіху події
- використання Canva для створення індивідуальних банерів та інших зображень для використання в кампаніях
- розробка та управління кампанією в соціальних мережах події
- аналіз успіху події та підготовка звітів, пошук та переговори з потенційними спікерами
"
98,"Stud Travel
Account Manager / HR / Event
• Робота з клієнтами
• Допомога в організації заходів
• Фінансова звітність
• Продажі ( принесла компанії 40% нових клієнтів )
• Замовлення реклами, поліграфії та сувенірної продукції
• Робота з підрядниками
• Переговори та укладення контрактів
• Аналіз підрядників та вибір найкращих цінових пропозицій 
• Підготовка презентацій та ТЗ
• Пошук сувенірів
• Перевірка макетів (спілкування з дизайнерами)
• Проведення наставництва для персоналу
• Супровідний гід ( групи до 100 чоловік)
• Допомога новим працівникам з адаптацією

Joytrips
Власний проект
• Робота з клієнтами
• Переговори
• Обробка завдань, складання KPI, визначення пріоритетів завдань та визначення термінів їх виконання
• Розробляла плани для більш продуктивної роботи з клієнтами та поліпшення спілкування
• Супроводження груп в турах
• Складання звіту
• Управління проектами
• Фінансова звітність
• Продажі
• Управління соціальним рахунком
• Генерація вмісту (редагування фотографій, написання текстів, створення відео, інфографіки тощо)
• Створення контент-планів
• Просування груп та сторінок в соціальних мережах(створення та налаштування реклами в Instagram-Facebook, залучення трафіку)
• Створення та розробка профілів
• Спілкування з абонентами
• Створення сайту на Tilda
• HR ( створення команди)"
99,"Team Leader
Simply Contact, Dnipro (Customer Relations Department of Bolt Taxi Service)
- Supervising agents' work
- Generating reports and analyzing work performance
- Conducting follow-up communications
- Monitoring agents' performance indicators
- Checking responses provided to customers
- Managing schedules and finding coverage
- Responding to work-related emails
- Conducting work video meetings

Customer Relations Department Manager and Official Complaints Manager
Wizz Air Airlines
Simply Contact, Dnipro (Outsourcing contact center in Eastern Europe. Working with clients worldwide)
- Monitoring individual manager and team performance
- Tracking workload, email control, and processing deadlines
- Implementing and maintaining work standards on the project
- Ensuring professional growth and motivation of subordinates
- Leading a team of agents
- Ensuring achievement of set performance targets

Booking Department Manager
MAU Airlines
Simply Contact, Dnipro (Outsourcing contact center in Eastern Europe. Working with clients worldwide)
- Creating work schedules, monitoring workload, training, and motivating staff
- Managing personnel
- Monitoring employees' work, providing recommendations for improvement
- Organizing and submitting company reports and documentation
- Reporting to senior management
- Negotiating with clients
- Ensuring achievement of set performance targets
- Managing personnel."
100,"Retail Outlet Auditor:
- Conducted quality checks on company employees' work at retail outlets
- Evaluated performance and prepared reports for management

Business Course Sales Manager:
- Managed sales of business courses through CRM
- Engaged CEOs of small and medium-sized businesses to promote and sell courses offered by the company"
101,"Організація роботи команди; комунікація з клієнтом; організація відеоконференцій із командою; контроль виконання завдань, дотримання термінів; допомога у складанні ТЗ; складання звітностей про виконану роботу.

Базові знання HTML/WordPress, робота з Ahrefs, Majestic, SEMrush, GSA, оцінювання вебсайтів на якість, робота з платформами web 2.0 та соцмережами. Робота в Jira, Confluence.

Знання та досвід роботи в SEO, 3D, дизайні та Sales.

Traffic Terminal
Outreach Linkbuilder
Розміщення рекламних статей, крауд-маркетинг, розсилка рекламних пропозицій, оцінка якості веб-сайтів, спілкування з веб-майстрами та публікація контенту, робота з обліковими записами у соціальних мережах, розміщення посилань на платформах Web 2.0.

Smart Plus
Linkbuilder, Junior SEO-specialist
Оцінка якості веб-сайтів, розміщення посилань, написання ключових слів, робота з сайтами WordPress.

Firelink LTD
Linkbuilder
Оцінка якості веб-сайтів, розміщення рекламних статей, крауд-маркетинг, розсилка рекламних пропозицій, розміщення посилань на платформах Web 2.0, здійснення платежів, замовлення статей у копірайтерів, редагування контенту, робота з GSA та SEO Content Machine, робота з біржами, контроль виконання задач фрілансером.

Vision Studio Sales Manager / Project Manager Залучення клієнтів, ведення сторінок та спільноти у соціальних мережах, розробка рекламних стратегій, ведення клієнтської бази, управління проектами."
102,"Work experience
ADMINISTRATOR GO ""LVIV MEDIA FORUM"" 
Oct 2022 - Aug 2023 | Lviv, Ukraine 
- Space administrative 
- Processing of documentation and correspondence 
- Events support 
- PM assistance 
- Writing and design of reports 
OFFICE-MANAGER BEETROOT 
Nov 2022 - now | Lviv, Ukraine 
- Development and implementation of office activities 
- Budgeting and cost analysis 
- Space administrative 
CAMP-LEADER GO ""BUILD UKRAINE TOGETHER"" 
Jul 2022 - now | Lviv, Ukraine 
- Compilation and implementation of the cultural and educational program 
- Communication with contractors and partners 
- Communication and support of event participants 
- Writing and design of reports 
CHEMIST PHARMACEUTICAL COMPANY ""ZDOROVIA"" 
Jul 2016 - Jul 2022 | Kharkiv, Ukraine 
- Processing of internal documentation and for export 
- Development of methods of new medicines 
- Study of the stability of drugs 
- Writing and design of reports
VOLUNTEERING EXPERIENCE 
Organizer NametFest festival 
Organizer trip in Kharkiv all-Ukrainian movement ""Your country"" 
Volunteer ""Music day 2021"" Kharkiv Volunteer Plan B festival, Hype Forum, festival ""Я і Села Брук"" 
Ambassador of U-Report project from Unicef 
Organizer LMF2023"
103,"Досягнення:
- Продвинувся від асистента керівника компанії до менеджера проєктів;
- Успішно запустив три тепличних комплекси, кожен з яких складався від 4 до 9 теплиць;
- Встановив ефективну систему продажу та доставки товарів до клієнтів.

Додаткове навчання:
Курс Laba: ""Project manager""

Агро компанія (В2В, В2С)
червень 2019 - липень 2022
Менеджер проєктів
- Керування проєктами компанії, включаючи запуск тепличних комплексів та організацію продажів та логістики;
- Моніторинг стану та прогресу проєктів, призначення пріоритетів та розподіл завдань;
- Проведення тендерів для підрядних робіт з будівництва тепличних комплексів;
- Співпраця з підрядниками та контроль виконання робіт згідно з узгодженим графіком;
- Укладання угод з клієнтами та організація виробничих процесів.

Мої цілі:
- Розвиватись як професійний менеджер проєктів, використовуючи свій досвід та знання;
- Працювати в дружньому колективі, де можна навчатись та розвиватись;
- Готовий працювати як в офісі, так і віддалено."
