,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
47,"Маю досвід роботи менше 6 місяців на посаді CRM developer, де створював логіку для додатка, що дозволяв вести облік даних та працював з MongoDB. Володію досвідом роботи з JavaScript. Закінчив КПІ ім. Ігоря Сікорського та постійно розвиваюсь. 

Протягом наступних 8 місяців був Project Manager з розробки CRM системи на базі Retool для проекту з продажу товарів. Маю нахил до вивчення мов і можу швидко освоїти нову мову за два місяці. Мотивований та комунікабельний, готовий приєднатися до вашої команди та активно розвиватися. 

Шукаю круту команду, яка буде мотивувати та з якою буде приємно працювати. Очікую конкурентну заробітну плату."
48,Менеджер з продажів та управління проектами з досвідом управління більш ніж 20 проектами газифікації на різних етапах виконання робіт. Експерт у проведенні тренінгів для відділів сервісного обслуговування та з продажів. Навички у розробці дизайну та верстці невеличких веб-сайтів та у керуванні дроном. Досвід стрибків з парашутом.
49,"- Успішне керування та завершення проектів, які раніше вважалися провальними
- Швидке налагодження баз поставок та логістики на нових територіях
- Досвід у роботі з критичними навантаженнями та стресовими ситуаціями
- Ефективне освоєння та впровадження нових технологій та методів
- Більше 5 років досвіду у проектному менеджменті (будівництво, дизайн, архітектура, ремонт)
- Успішне керування командами на декількох проектах одночасно (6 проектів, 300+ чоловік, включаючи підрядників)
- Здатність мотивувати та керувати командою для досягнення поставлених цілей та дедлайнів
- Навички у траблшутінгу та вирішенні проблем
- Досвід у бюджетуванні та оцінці проєктів."
50,"Побудував сильні самостійні команди на автосервісах, налаштував робочі процеси, досяг прибутковості організацій. Досвід моєї роботи був переважно зв'язаний зі сферою ремонту автомобілів. Я був керівником декількох автосервісів. Розумію, що досяг певної планки у цьому напрямку та мрію змінити своє життя, та здобути більш перспективну професію. Опанувати цікаву та перспективну професію."
51,"Професійний досвід:
- Робота з великими обсягами даних (АСОПД/КОМТЕХ-W)
- Адміністрування систем
- Робота з ІзОД
- Знання нормативно-правової бази
- Впевнене володіння пакетом Office та навички користування Інтернетом

Мовні навички:
- Вільне володіння українською та російською мовами
- Англійська мова на рівні Intermediate

Курси:
- На даний момент проходжу онлайн курс з HTML/CSS на сайті htmlacademy.ru

Особисті якості:
- Комунікабельність
- Доброзичливість
- Бажання навчатися новому
- Логічне мислення
- Правдивість
- Відповідальність
- Бажання бути корисним

Мої кар'єрні цілі:
- Професійний ріст
- Адекватний менеджмент
- Розв'язання складних завдань
- Робота в стартапі
- Біла зарплата"
52,"Валовий обсяг продажів мережі ресторанів, якою я керував, склав 600000 грн/міс.
Найдорожчий продаж об'єкту нерухомості, коли працював рієлтором, становив 250000$.
Торговий Дім Шевченко/Проект AlcomagFood
Керуючий партнер
Обов'язки:
- Запуск проекту з нуля
- Підбір персоналу
- Переговори з постачальниками
- Контроль якості, сервісу, технологій
Закінчую навчання в IT Школі Hillel за напрямком Project Manager
Мета - змінити сферу діяльності, прокачувати свої навички, вести переговори на міжнародному рівні, стати Project Manager у потужній продуктовій компанії та створити сильну команду."
53,"09.2018 – 10.2019 – Sceel.io GmbH
Посада: Молодший менеджер проекту

Обов'язки:
• Керування розробчиками
• Координація графіків проекту
• Проведення щоденних зустрічей, ініціювання ретроспектив
• Уточнення вимог, пріоритизація завдань та проблем
• Призначення завдань/проблем, відстеження завдань та контроль за виконанням
• Комунікація з зацікавленими сторонами
• Підтримка документації проекту

Новий досвід, нові технології, особистий розвиток, дружній колектив. Створення нового продукту."
54,"- Розробка стратегічного плану для організації, в яку прийшла волонтерити в 15 років
- Збір 6 млн євро на проєкти місцевого економічного розвитку
- Організація та проведення більше 40 конференцій і бізнес-форумів для міської ради
- Навчання близько 5000 людей проєктному менеджменту і фандрейзингу
- Допомога 34 ініціативним групам у запуску проєктів у сфері соціального підприємництва
- Розробка 11 навчальних програм неформальної освіти (фандрейзинг, право, соціальне підприємництво, проєктний менеджмент для ГО)
- Написання та захист дисертації
- 13 років досвіду у громадському і публічному секторі, починаючи з волонтерства в 15 років
- Понад 5 років роботи за методологією PRINCE2 та впровадження системного проєктного менеджменту в органах місцевого самоврядування
- Останні 3 роки роботи як експерт з фандрейзингу та стратегічного планування, допомагаючи громадським організаціям перетворювати ідеї в програми та проєкти, знаходячи фінансування та навчаючи проєктному менеджменту
- Досвід у перетворенні бізнесу художниці з офлайну в онлайн, включаючи перебудову операційної діяльності, створення відділу онлайн продажів та вебсайтів для онлайн-крамниць."
55,"Навички організації, впорядкування та ведення робочого процесу, ведення переговорів та робота із клієнтами та постачальниками, впевнений користувач ПК: MS Office, 1С (7.7; 8.1-3;), робота з електронною звітністю. Постійно розвиваюсь (читаю психологічну та економічну літературу, відвідую семінари, бізнес зустрічі), швидко опановую нові технології, комунікабельний, пунктуальний, відповідальний.

1996р. – 2000р. Підприємець, торгівля автозапчастинами до іномарок.
2000р. -2002р. Підприємець, гуртова торгівля дитячими іграшками.
2002р. -2016р. Підприємець, співзасновник і співвласник ТМ Гойдалка (goydalka.com) - виготовлення дитячих іграшок та меблів з бука, меблів з дерево-стружкових плит та дитячих ігрових споруд з металу та дерева.

Виконувані обов’язки:
- Створення замкнутого виробничого циклу: розпилювання лісоматеріалів, проміжний склад; дві сушильні камери для дерева об’ємом по 50м2, котельня потужністю 600кВт (на відходах виробництва); склад пиломатеріалів, механічна, складальна, меблева дільниця, цех по виготовленню металевих конструкцій, опорядження готових виробів, пакування продукції, склад готової продукції.
- Планування та покращення технологічного процесу, внутрішньої логістики, підтримування технічного стану обладнання, забезпечення безперебійної роботи підприємства.
- Робота з постачальниками комплектуючих, пошук нових, розробка меблевої фурнітури; співпраця по створенню та супроводу офіційного сайту; реєстрація та зміни торгової марки Гойдалка; участь у розробці артикулів, етикеток, каталогів, інструкцій, проведенні фотосесій нових виробів; активна участь по нормуванню праці, аналізу собівартості продукції і загальної господарської діяльності; впровадження системи обліку робочого часу; організація роботи працівників охорони, котельні та інших служб; підбір кадрів для основного виробництва і допоміжних служб; підготовка документації та участь у тендерах по закупівлі меблів; участь в різноманітних виставках у Львові, Києві, а також в Польщі та Німеччині."
56,"1. Бариста
MyCOFFEE / травень 2018 - вересень 2018
- Навички спілкування з різними клієнтами.

2. Заступник голови студентського самоврядування
ГО ""StudHeads"" / лютий 2020 - по теперішній час
- Оформлення сторінки в соціальній мережі.
- Планування діяльності, включаючи генерацію ідей, складання чітких планів заходів та розподіл обов'язків.
- Організація команди.

3. Курсова робота на тему: ""З'ясування технічних можливостей готового веб-додатку для розповсюдження навчальної інформації"" / Лютий 2022 - дотепер
- Робота над розміщенням веб-додатку на хостингу та додавання нових можливостей для користувачів.

4. Курсова робота на тему: ""Розробка 3D моделі"" / Жовтень 2021 - січень 2022
- Розробка 3D моделі безпілотника в середовищі SolidWorks.

Мета: Розвиток у напрямку Project Manager, з особливим інтересом до ІТ компаній. Готова розглянути посаду помічника чи стажиста з можливістю розвитку у цій галузі. Вакансія повинна бути пов'язана з ІТ напрямком."
57,"1. Міністерство закордонних справ України, дипломат (листопад 2020 - липень 2021). 
Обов‘язки: 
- аналіз тенденцій у міжнародних відносинах;
- планування розвитку подій;
- переклад;
- організація зустрічей та участь у переговорах як з іноземними партнерами, так і українцями;
- участь у стратегічних сесіях стосовно розроблення політик. 

2. Львівська міська рада, провідний спеціаліст (листопад 2017-листопад 2020).
Обов’язки:
- переклад;
- підготовка аналітичних та інформаційних матеріалів;
- організація зустрічей з іноземцями, поїздок закордон;
- участь у переговорах;
- керування проєктами та практиками стажерів/практикантів;

3. ГО «Молода дипломатія», президент (травень 2016 - травень 2017), віце-президент (травень 2015 - травень 2016).
Обов’язки:
- координування роботи ради організації;
- допомога у реалізації проєктів, конференцій, заходів;
- розвиток студентів;
- організація зустрічей;
- відкриття нових підрозділів в Україні; 
- забезпечення участі української сторони в роботі міжнародної організації “international week”."
58,"1) Sales Manager
- Managing clients through the sales funnel
- Monitoring product shipments and customer payments
- Market, competitor, and target audience analysis
- Handling documentation for client servicing
- Report and invoice preparation

2) Researcher-Analyst
- Information search and processing
- Data analysis
- Implementing new technologies and initiating projects within company guidelines
- Report compilation
- Presenting research results

3) Engineer-Technologist
- Analyzing design documentation, processing drawings
- Technological support for assembly processes of helicopter components, writing technological cards
- Equipment and tool selection
- Compiling part and product passports

Proficient in software and applications such as Bitrix, 1C, ClickUp, Notion, Jira, Slack, Asana, Google Suite, Microsoft Office Suite, engineering applications: Computer-Aided Design (CAD) software such as Siemens NX, CATIA, Kompas 3D; Mathcad."
59,"Освіта:
Національна академія статистики, обліку і аудиту (НАСОА) (2006-2012)
Спеціаліст. Факультет «Облік і аудит»

Курси:
QA Light “IT Project manager” 2022 р.

Досвід роботи:
1. ТОВ «Новотрейдінг» - Менеджер по логістиці (грудень 2020 – по теперішній час)
2. ТОВ «Redfort» - Керівник складу (10.2018 – 07.2020)
   - Прийом/облік/раціональне розміщення/збереження товару на складі;
   - Облік в базі 1С;
   - Моніторинг залишків та аналіз необхідної кількості товару на складі;
   - Проведення інвентаризації;
   - Управління командою до 10 членів;
   - Планування задач для кожного члена команди на певний період.
3. ТОВ «Європромоптторг» - Керівник виробництва (06.2016-09.2018)
   - Управління командою на виробництві;
   - Організація бесперебійного виробництва товару;
   - Ефективне виконання виробничих норм;
   - Контроль якості товару відповідно до інструкції;
   - Контроль технічного стану обладнання;
   - Щоденний облік готового та проданого товару;
   - Підготовка щомісячних звітів про роботу виробництва."
60,"2014-2015
Sales manager, Приватбанк

Обов'язки
- Робота з клієнтами: виявлення потреб, обробка заперечень.
- Консультування та адаптація продуктів під індивідуальні обставини.
- Вирішення проблемних ситуацій.

Цей досвід розвинув мої навички комунікації, управління запереченнями та створення довіри клієнтів до продуктів.

2015-2017
Самозайняття особа (Бізнес-посередник із пошуку оптових зв'язків)

Обов'язки
- Активний пошук торгових точок і аналіз конкурентів.
- Складання договорів і нагляд за реалізацією продукції.
- Ефективне вирішення проблемних ситуацій і стратегічне ціноутворення.
- Глибоке розуміння запитів клієнтів.

Протягом 2 років успішно організовував пошук оптових постачальників і точок збуту продукції. Цей досвід розвинув мої навички пошуку партнерів, аналізу ринку, управління контрактами та клієнтської взаємодії.

2020-2022
Самозайняття особа (Бізнес-консультант)

Обов'язки
- Організація і коордація усіх аспектів проєкту.
- Реалізація концепції та дизайну.
- Робота з інвесторами.
- Управління бюджетами близько 50к$.
- Налаштування операційної діяльності команди.
- Вирішення конфліктних ситуацій.
- Автоматизація бізнес процесів закладів.

Успішно запускав офлайн проєкти в готельно-ресторанній сфері. Мої зусилля допомогли досягти високого рівня клієнтської задоволеності та збільшення прибутку.

Шукаю роботу для зростання як особистості та професіонала. Ціную видимі результати та командну роботу. Готовий вчитися, втілювати проєкти та розвиватися як фахівець в управлінні проєктами."
61,"2016-2020р., Акціонерне Товариство «Оператор газорозподільної системи «Луганськгаз», заступник головного бухгалтера

- Податковий облік з податку на додану вартість, податку на прибуток, податку на нерухомість, податку на землю (оренда землі), екологічного податку
- Складання та подання звітності
- Взаємодія з податковими органами
- Оскарження податкових повідомлень-рішень у адміністративному та судовому порядку
- Участь у складі тендерного комітету у державних закупівлях на тендерних майданчиках
- Участь у складанні фінансового плану підприємства

Державна податкова інспекція у м. Лисичанську ГУ Міндоходів у Луганській області
Старший державний податковий ревізор-інспектор, 
Головний державний податковий ревізор-інспектор, 
Головний державний ревізор-інспектор, 
Заступник начальника відділу податкового аудиту. (Травень 2009-лютий 2015)

- Приймання участі у проведенні планових та позапланових 
перевірок суб`єктів господарювання з питань дотримання вимог податкового, валютного та іншого законодавства, перевірок по постановам слідчих та правоохоронних органів, перевірок по ліквідації підприємств
- Приймання участі у розгляді заперечень до актів перевірок суб`єктів господарювання
- Приймання участі у судовому оскарженні результатів перевірок
- Складання національного плану перевірок фінансових установ та суб`єктів ЗЕД

Додаткова інформація: українська, російська- вільно, англійська – базовий, досвідчений користувач ПК (Word, Excel. MeDOC, 1С:Бухгалтерія 7,8, «Клієнт-банк, «Вчасно», «Електронний кабінет платника податків», Інтернет) займаюся самоосвітою, слідкую за змінами законодавства України, участь у вебінарах щодо змін бухгалтерського та податкового обліку, хобі – читання літератури."
62,"Strategic minded Project Manager with extensive experience in Marketing, Events, PR, and social & political spheres. Proven track record of successfully leading projects and teams.

2019- Freelance Software Test Engineer
- Testing on TestIO, UTest, TestFlight.

2004-2018 Marketing & PR Specialist
Golden Collection of Various Companies
- Progressed from Office Manager to National Coordinator
- Account manager/Coordinator for Marketing, PR, Event, BTL Production, and Manufacturing projects
- Personnel Trainer

2009-2011 Host/Facilitator/Journalist/TL
World Sport Media
- Hosted meetings and facilitated teleconferences
- Team Lead for group of 5
- Conducted reports and created project conclusions
- Executed secret missions

Seeking to apply my knowledge and skills to add value and continue learning. Interested in combining office and remote work to balance motherhood with professional growth."
63,"2020-2021 Менеджер ІТ-проектів у компанії DK Services
2021 Головний аккаунт-менеджер українського сегменту WoodandHearts
2021-2022 Керівник ІТ-департаменту в компанії Інфоконтроль
Досвід у керуванні невеликими командами розробників до 6 чоловік
Навички роботи з інструментами: Jira, Confluence, Miro, Figma, Slack, VS Code."
64,"Професійний досвід:

- Участь у двох проектах на курсі IT Project Management з реальними замовниками Boosta і Podushka.ua.
- Boosta: побудова таймлайну по проєктним активностям компанії, використовуючи метод критичного шляху. Внесення пропозицій по скороченню часу на виконання проєкту. Використання програм Miro та Gantter.
- Podushka.ua: вирішення проблем доставки і моніторингу замовлених клієнтом товарів. Використання програми Miro."
65,"- Сертифікат участі у міжнародному проєкті Media Dialog 2020
- Курси з копірайтингу та створення сайтів на Тільді
- Позитивний відгук від попереднього роботодавця
- Лідерська позиція в Інститутському рейтингу успішності в навчанні
- Член Студпарламенту ІЖ КНУ
- 5 місяців досвіду копірайтером в онлайн-студії копірайтингу
- Управління сторінками в Інстаграм та Телеграм
- Практика project manager у Фундації Дарини Жолдак (Fedoriv group) з організації лекцій та збору аудиторії для проєкту КарочєХаб
- Участь у міжнародному проєкті Media Dialog 2020 як представник блог групи
- Проджект-менеджер проєкту Інституту журналістики КНУ з пошуку вакансій для студентів

Бажаю знайти вакансію для початківця з перспективами для професійного розвитку та розвитку практичних навичок. Готова працювати у команді, що підтримає та допоможе, а я в свою чергу зроблю все можливе для успішності та продуктивності моєї роботи."
66,"- 6+ months of testing experience (software, web, mobile)
- Proficient in manual testing documentation (test plan, test cases, test report, bug report, check list)
- Familiar with QA methodologies, including Agile methodology
- Skilled in test activities such as Functional testing, Non-functional testing, and Testing related to changes
- Proficient in Bug-tracking Systems such as Atlassian Jira, Redmine, Mantis
- Experienced in Test Case Management Software such as Testrail, TestLink
- Knowledge in QA Automation using Selenium
- Proficient in SQL
- Familiar with HTML and CSS

Я маю намір розвивати свої навички та збільшувати свій досвід у сфері тестування, щоб стати більш компетентним у своїй новій ролі."
67,"Ключові досягнення:
- Відкриття офісу компанії
- Створення дилерської мережі
- Набір персоналу та формування команди
- Впровадження waterfall методології у компанії

Досвід:
- 8 років досвіду ведення великих складних проектів у агросфері
- Досвід у веденні проектів в айті, включаючи створення сайту представництва компанії та участь у проекті створення мобільної аплікації на курсах з IT PM."
68,"Топ-менеджер з 9-річним досвідом у ресторанному бізнесі. Експерт у роботі з фінансовою документацією, включаючи плани проектів та фінансів, матриці відповідальності, стратегії та ризики, P&L, та CRM системи. Знання CSS, SQL, HTML, HTTP, Scrum, Agile, та Waterfall методологій. Досвід роботи з Postman, Jira, та JSON. Експерт у тестуванні з використанням Test Plane, Test Case, та Bug Report. Мета - стати Senior Project Manager."
69,"- Координування відділу пошуку клієнтів
- Комунікація із клієнтами
- Контроль роботи відділу продажів
- Аналітичні здібності
- Командний гравець
- Вмію планувати та керувати часом
- Закінчила курс ""Основи проєктного менеджменту""

Account manager
Maxi Group Kyiv | Лютий 2019 - по поточний час
- Перевірка діалогів з клієнтами та їх анкет
- Контроль якості ведення клієнтів відділами продажів
- Передача уточнень та запитів між відділами пошуку клієнтів та відділами продажів
- Робота з CRM системою
- Складання звітів

Account manager
Maxi Group Kyiv | Жовтень 2018 - Лютий 2019
- Перевірка діалогів з клієнтами та їх анкет
- Уточнення деталей співпраці у телефонному режимі
- Допомога в розробці методологій для покращення проєкту"
70,"Успішно реалізовано 22 проекти: http://na-proby.com/

Social Media Marketing program from the Digital Marketing Institute (Ireland). Certificate Social Media Marketing Campaign Manager Influencer marketing

Медіакомпанія ""Бурда-Україна"" (червень 2018 - теперішній час)

- Планування, контроль та координація запуску проекту на сайті.
- Комунікація з клієнтами та підтримка проекту протягом усього періоду (від 3-ох до 6-ти місяців).
- Контроль виконання KPI's.
- Управління пріоритетами в проекті, виявлення ризиків і управління ними на постійній основі.
- Забезпечення правильного розподілу ролей і обов'язків між членами команди проекту.
- Складання та забезпечення інформацією про хід виконання проекту його учасників.
- Проведення аналізу після проекту і витяг уроків після кожного проекту з метою подальшого застосування в нових проектах.
- Робота з дизайнерами, редакторами, креативщиками, логістичними кампаніями.
- Підготовка пропозицій та фінальних звітів по завершенню проектів для клієнтів.
- Участь в розробці пропозицій нових проектів.

SMM:

- Створення текстового та графічного контенту.
- Налаштування таргетингу.
- Контроль виконання KPI's."
71,"Управління та координація роботи команди локалізації: збір вимог, взаємодія з зацікавленими сторонами, узгодження термінів, налагодження робочого процесу, відстеження термінів.
Звіти про проекти, аналіз досягнень, підготовка календаря локалізації для відділу перекладу IKEA Retail Ukraine, управління бюджетом проекту.
Участь у рецензуванні пропозицій та контрактів з зовнішніми постачальниками перекладів (перекладацьке агентство та зовнішні постачальники). Участь у тендерах, підготовка та аналіз вимог тендера.
Основний контакт країни для матричних організацій (головний офіс) в Швеції для підтримки локалізації.
Участь у процедурах найму зовнішніх перекладачів: формування та контроль вимог, участь у співбесідах з кандидатами.
Ключові досягнення:
	Створення та управління відділом перекладу (команда з 8 осіб) для відкриття магазину IKEA в Україні.
	Успішне завершення локалізації глобального інструменту інформації про продукти для України в установлені короткі терміни.
	Впровадження принципів та практик гнучкості для відділу перекладу."
72,"Copywriter
Freelance | December 2022 - Present
- Writing texts on IT topics
- Independent research on themes and technologies
- Integration of key words, SEO optimization

STORE DECOR MANAGER
Instagram | November 2022 - Present
- Project planning and launch
- Financial reporting
- Customer base management

HUMANITARIAN STAFF MANAGER
Science Center, Ternopil | March - November 2022
- Accounting and documentation work
- Control over the process of issuing clothing and taking measures to improve it
- Support for internally displaced persons in resolving their issues
- Onboarding new volunteers and conducting training

RECEPTION COMMITTEE VOLUNTEER
Kharkiv National University of Radio Electronics | July - August 2021
- Informing about available specialties and admission conditions
- Assistance with contract signing and other organizational issues

I have completed a project management course, familiarize myself with professional literature, and am looking for an opportunity to apply my knowledge in practice as an assistant. Currently working as an IT copywriter on a freelance basis.

Most of my volunteer experience has been related to working with people. Starting from performing the duties of a deputy camp leader in a summer camp to volunteering in a humanitarian staff, I have improved my skills in interacting with people and aimed to benefit them. As a volunteer, I worked with people from different backgrounds, constantly practicing understanding human psychology and motivation, and can find an approach to everyone.

I am responsible and quick to learn new things, not afraid of multitasking or organizing processes. I have the ability to work in a team, communicate effectively, and achieve set goals. I am open to learning new things and finding effective solutions, and I am confident that my skills and experience can be useful in the workplace."
73,"- Успішна підготовка та проведення у складі команди 15+ виставкових заходів з масштабністю 500+ компаній учасників, 30 000+ професійних відвідувачів, 35 000+ кв.м. експозиції та 40+ іноземних делегацій.
- Організація власного бізнесу, включаючи участь як співзасновник у реєстрації ТОВ, розробці бренду, виході на ринок та формуванні лояльної аудиторії.
- Організація Національних павільйонів та колективних експозицій на міжнародних івентах.
- Успішне залучення Топ Компаній у якості Ключових Партнерів заходів.
- Більше 10 років досвіду участі в управлінні та координації проектами.
- Високий рівень організаторських здібностей та орієнтованість на результат.
- Досвід ведення декількох проектів одночасно та здатність продуктивно працювати як в команді, так і самостійно, в офісі та віддалено.
- Керування роботою команди до 5 чоловік.
- Постійна самоосвіта та поглиблення знань в проектному менеджменті та розуміння SDLC.
- Розвиток особистих гнучких та технічних навичок."
74,"Made two big projects for cinema. I was responsible for dubbing films for Ukrainian audiences, which were then shown in cinemas across the country. I led these projects both independently and as part of a team.

In terms of marketing, I consider myself to have a junior level of expertise, but I am eager to continue learning and improving in this field.

My soft skills include critical thinking, high self-organization, strong communication abilities, stress resistance, adaptability, flexibility, and a thirst for acquiring new knowledge.

Throughout my career, I have primarily focused on TV and film projects. I have worked in television as a presenter, journalist, and director of dubbing for TV and film content. Additionally, since 2019, I have been actively involved in copywriting and article rewriting for runners and athletes. I also have experience as an SMM manager for a running community sponsored by Puma in Kyiv, Ukraine.

In 2022, prior to the full-scale invasion, I took on the role of marketing project manager at an advertising agency. In this position, I was involved in revamping advertising strategies, providing recommendations, and launching campaigns on our platform. I also facilitated partnerships between brands and influencers to drive customer engagement. I had the opportunity to work with renowned brands, banks, and manufacturers. Unfortunately, due to the Russian aggression, the project had to be halted."
75,"Fabiosa Media, Проєктний асистент
1 рік 11 місяців

- Електронний документообіг та підтримка робочих таблиц
- Контроль заповнення даних та робота формул
- Створення звітів за запитом та оформлення контенту для соціальних мереж

Досягнення:
- Автоматизація робочих процесів
- Систематизація зберігання файлів
- Наведення порядку в робочих файлах та таблицях

СТК Авангард, Аналітик
3 роки 4 місяці

- Створення звітів за запитом
- Комунікація з торговими агентами, клієнтами та постачальниками
- Внутрішня документація команди та замовлення канцелярських товарів для офісу

Досягнення:
- Автоматизація процесів та звітів
- Швидка та точна обробка даних
- Уважна та детальна робота

Не розглядаю вакансії зв'язані з продажами."
76,"During my time at National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", I have successfully organized and supported over 20 student events, including ""Intel-Техно Україна 2016-2017"", ""Intel-Техно Україна 2017-2018"", ""POLYTECO Україна 2018-2019"", XVІ All-Ukrainian Student Physics Tournament, and Student Olympiad in programming ""KPI-OPEN 2018"". I have also effectively promoted these events on social media platforms such as Telegram, Instagram, and Facebook. Additionally, I have volunteered as an Event Organizer Assistant at conferences like OWASP Ukraine'18, Intel-Techno Ukraine (2016, 2017, 2018), and BSides Kyiv (2019)."
77,"Experienced manager with a mix of leadership, management skills, communications acumen, and entrepreneurial experience. Successfully led projects in various industries including medical, entertainment, NGO, and retail. Managed teams of up to 9 people. Currently seeking new opportunities in the IT domain. Passionate about interesting projects, working with a great team, and continuous skill development."
78,"I see the role of a Junior Project Manager as an opportunity to work in a team and learn from experienced colleagues. I believe that interacting with professionals will help me grow as a professional myself.

Furthermore, I anticipate the chance to work on diverse projects, which will allow me to develop my skills. I am prepared to take responsibility for task execution, meeting the established timelines, and achieving set objectives.

Overall, I view the position of a Junior Project Manager as a chance for active learning and making a significant contribution to the company's projects."
79,"Працівник року 2012 у ПАТ КБ Приватбанк
Сертифікат про закінчення курсів ІТ Projector у 2023 р
Англійська мова рівень B1
IT PROJECTOR ACADEMY, Project Managment:
- Написання user stories
- Створення Lean Canvas
- Робота з ризика та стейкхолдерами
- Робота з реальним замовником по проекту, комунікація
PAT KB PRIVATBANK:
- Обслуговування клієнтів
- Залучення нових клієнтів
- Робота з базами даних"
80,"IT Юрист
Квітень 2021 – Серпень 2021 (5 місяців)
Юридична компанія «Віголекс».
- Управління клієнтськими проєктами, комунікація з замовниками з різних країн світу;
- Управління молодшим персоналом під час виконання завдань, контроль, постановка задач;
- Ведення електронного документообігу на підприємстві.

Юрист. Заступник керівника.
Червень 2019 – Квітень 2021 (1 рік 11 місяців)
Юридична компанія «Правова допомога».
- Керування юридичним відділом (юристами та молодшими юристами), постановка та контроль задач, бюджетів, строків, часу роботи над замовленням, тощо;
- Контроль всіх замовлень компанії;
- Керування підбором та звільненням персоналу, проведення адаптацій юристів та їх розробка;
- Юридичне та кадрове обслуговування інших компаній, надання інших юридичних послуг."
