,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
122,"Досвід у дизайні триває 2 роки, працюю на фрилансі. Мої проекти включають:
- лендінг для художньої виставки
- Інтернет-магазин зоотоварів
- лендінг для спеціаліста з таргетованої реклами
- редизайн сервісу публічної онлайн бібліотеки
Також займалася розробкою дизайну для соцмереж та графічним оформленням презентацій."
123,"Я закінчила 4,5 місячні курси Mobios School за напрямком UI/UX Web Design. 

БО «IT-Sprout» - волонтер UI/UX Designer
03.2022 – по теперішній час 
 Задачі, що виконувала в проектах в яких взяла участь:

     Advogram - проект юридичної та адвокатської допомоги.
-	створення дизайну лендінгу та перенесення його на платформу Carrd
-	створення презентацій для подачі проекту для участі в міжнародних грантах
-	розробка мобільного додатку на платформі Adalo (на даному етапі ще не завершено – опрацьовано шлях від реєстрації до подачі заявки та вибору спеціаліста)

OffЗМІ - проект незалежних інтернет новин.
-	cтворення дизайну лендінгу на платформі Weblium

Associo - проект діджиталізації правового сектору.
-	створення дизайну лендінгу адаптованого для перенесення його на платформу WordPress

Під час курсів були створені наступні проекти:

Мобільний додаток – Шкільний асистент UNI
Головною ідеєю було створення дизайну мобільного додатку, для співпраці між батьками, учнями та вчителями.
-	Створення дизайну мобільного додатку.
-	Пошук подібних додатків та аналіз їх функціональних можливоcтей, дослідження користувачів
-	Робота над створенням CJM (Customer Journey Map), Personas, User Flow, структури 
-	Робота над hight fidelity Prototypes, Wireframes, створення анімованого прототипу
-	Ui Design – пошук візуального рішення, робота над дизайном, робота з MockUp, робота над анімаційними елементами додатку, підготовка презентації проекту.

Інтернет магазин кави “Tasty Cup”
Завданням було створення дизайну для інтернет-магазину кави, розробка назви та логотипу.
-	Робота з технічним завданням, аналіз та розуміння задач замовника, аналіз ринку та конкурентів, дослідження та визначення груп споживачів, робота над брифом
-	Створення варіантів назви та розробка варіантів майбутнього логотипу
-	Створення персонажів та історій користувачів, робота над CJM та структурою сайту
-	Розробка прототипів високої якості, робота над анімованими прототипами в InVision
-	Робота над UI частиною,  створення візуального концепту магазину, розробка UI-Kit,  робота з MockUps
-	Створення адаптивного дизайну під мобільну версію

Корпоративний сайт для туристичної компанії “Extreme Tours Kaleidoscope”
-	Робота з технічним завданням, створення брифу, аналіз ринку та конкурентів замовника, аналіз споживачів
-	Створення персонажів та історій користувачів, робота над CJM та структури сайту
-	Розробка прототипів високої якості
-	Робота над UI частиною"
124,"UI/UX дизайнер з досвідом у роботі над проектами, такими як редизайн сайту та мобільний додаток. Мої навички включають аналіз конкурентів, профілі користувачів, вайрфреймінг, UI та UI-kit, прототипування, адаптацію. У моєму портфоліо є проекти, такі як редизайн для Mainsail - Realty Company та веб-сервіс Pets - Study Case, де я працювала в команді. Крім того, маю досвід у веб-дизайні, створюючи орнаменти, візерунки, ілюстрації та дизайни презентацій та сайтів. Я шукаю можливість розвивати свої навички та створювати дизайни, які вирішують проблеми та досягають бізнес-цілей та цілей користувачів."
125,"Нове резюме:

UX/UI Designer

Професійний профіль:
- Починаючий UX/UI designer з досвідом створення прототипів для веб-сайтів та мобільних додатків.
- Розроблення сайту-портфоліо, додатку для перегляду футбольних матчів та ескізів інших додатків.
- Навички веб-дизайну та бажання розвиватись у напрямку веб-розробки.
- Планує вивчати веб-програмування та розвиватись у напрямку Full-stack Java developer.

Очікування від роботи:
- Готовий працювати над проектами з невеликими правками в дизайні та розробкою логотипів.
- Бажання вступити до команди та вчитись від досвідчених професіоналів.
- Мета - втягнутись у процес роботи та розвиватись у сфері веб-дизайну та розробки.

Додаткова інформація:
- Готовий взяти участь у дизайн-конкурсах та постійно вдосконалювати свої навички.
- Вільно володію програмами для дизайну та готовий вивчати нові технології.

Будь ласка, перевірте, чи відображає це резюме ваші фактичні обов'язки, досвід та навички."
126,"Створив застосунок Science ID (кодів молодший кузен).
Професійний досвід в розробці власного застосунку Science ID, який успішно випущений в Google Play. Активно вивчаю UI/UX дизайн, використовуючи різноманітні джерела, включаючи підручники та відео на YouTube з Figma. Маю досвід служби в Збройних Силах України, що допомогло мені зрозуміти свої професійні цілі та прагнення працювати в галузі UI/UX дизайну. Мета - отримати першу роботу джуніором у цій галузі для подальшого росту та розвитку."
127,"- Виграш конкурсу серед юних веб-дизайнерів для розробки дизайну лендінг-пейджа для стартапу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.
- Розробка дизайну для лендінгу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.
- Дизайн сайту для передзамовлення продукції магазину-пекарні (десктоп + мобільна версія).
- Розробка дизайну мобільного додатку для покупки та прослуховування аудіокниг українською мовою.
- Редизайн сайту української компанії з розробки та підтримки електронних технологій.
- Розробка PDF-презентацій для компанії, що залучає інвестиції для стартапів.
- Використання інструментів: Figma, Adobe Photoshop, Adobe After Effects.
- Нецікавість у співпраці з компаніями, що працюють у сферах Adult, Gambling, Dating, Gamedev, Blockchain/Crypto, а також з компаніями, що мають зв'язки з Росією та Білоруссю."
128,"Я світчер з декількома роками досвіду у сфері обслуговування клієнтів. Маю навички адаптивності, вміння налагоджувати контакт, розв'язувати конфлікти та згладжувати ситуації. Знайома з дедлайнами та вмію ефективно працювати в стресових ситуаціях."
129,"Фріланс, Квітень 2020 - дотепер

Графічний дизайнер

- Розробка фірмового стилю для музичного гурту «VSIVDOMA»
- Підготовка ескізів логотипу та розробка 10 рекламних постерів для соціальних мереж, веб перегляду та друку
- Розробка дизайну для соціальних мереж гурту
- Розробка концепцій дизайн макетів різноманітних рекламних носіїв
- Праця у тандемі з різними клієнтами, включаючи британську компанію “EdTechX” та інші
- Розробка банерів, постерів та іншого рекламного контенту для соціальних мереж
- Досвід роботи з графічними редакторами, такими як Illustrator, Photoshop, InDesign, Figma
- Розуміння можливостей та обмежень HTML, CSS, JavaScript"
130,"Кваліфікований UI/UX дизайнер з сертифікатом від комп'ютерної школи Hillel. Маю досвід розробки редизайну для лендінгу сайта, його адаптивної версії для мобільних пристроїв, дешборду та онлайн магазину. Портфоліо доступне на Dribbble та Behance."
131,"Web UX/UI дизайнер з досвідом у створенні мобільних застосунків, інтернет-магазинів, корпоративних сайтів та лендінгів. Вмію працювати з Figma, Adobe Photoshop, Adobe Illustrator, Affinity Designer та Affinity Photo. Готовий надати рекомендації з поточної роботи."
132,"Професійний дизайнер з півторарічним досвідом роботи в компанії ""Потрібні люди"". Маю досвід у створенні дизайну інтерфейсів для веб-сайтів, включаючи лендінги, візитки, інтернет-магазини та інше. Також вмію створювати дизайн логотипів, реклами в соціальних мережах та банерів. Останні 4 місяці працюю у сфері моушн дизайну та вивчаю 3д дизайн. Мета - приєднатися до професійної команди з UI/UX дизайну та постійно розвивати свої навички в цьому напрямку."
133,Професійний досвід у проектуванні та розробці адаптивного дизайну для бізнес-додатків та веб-сайтів з метою забезпечення користувачам найбільш ефективного та приємного інтерактивного досвіду. Активно вивчаю сучасні тенденції та використовую UX-рекомендації для покращення продуктів.
134,"University Landing Pages, Social Web Applications, end-to-end Branding, Checkout Pages and more Landing Pages
- Робота над внутрішнім продуктом компанії
- Веб дизайн
- Дизайн UI/UX
- Прототипування
- Дизайн взаємодії
- Дизайн соц мережей

Бажаю вирішувати цікаві та складні завдання з дружньою та професійною командою, рости професійно, покращувати свої навички та створювати чудовий досвід користувача."
135,"Курс Web Design Junior та Mobile App Design від Projector School з сертифікатами, вивчаю Adobe Illustrator самостійно
Розробила дизайн лендінгу для бітмейкера та самостійно перенесла дизайн з Figma у Webflow
Працювала над реальними проектами (Teach for Ukraine та ETNODIM) в рамках курсу Web Design Junior від Projector School
Web designer in Booking Ninjas (2021-2023) - interface design, client portal, mobile app for staff, hotel administration portal, student housing portal
Freelance projects - landing page for a singer, landing page for a beatmaker
Після проходження курсу Mobile App Design у Projector School, хочу розвиватися в дизайні мобільних додатків"
136,"Я дизайнер і шукаю роботу в агенції, продуктовій команді, або в аутсорс компанії, котра хоче розвивати свою дизайн команду. Мав досвід роботи з ентерпрайзом і стартапами різного розміру. Більшість проектів вів від діскавері до фази дизайн QA і підтримки розробки. Вмію робити дослідження, тестування, прототипування, проробляти інформаційну архітектуру, працювати з аналітикою і створювати, або підтримувати візуальний стиль."
137,"Досвідний дизайнер і арт-директор з восьмирічним стажем у галузі візуальних комунікацій. Маю навички у розробці користувацького досвіду, прототипуванні, аудиті та графічному дизайні веб-аплікацій і сайтів, арт-дирекшені та графічному дизайні (включаючи візуальну ідентифікацію та прінт). Також володію навичками продакт-менеджменту у розробці веб-аплікацій. Маю досвід роботи в Україні та Польщі, володію українською, англійською, польською та російською мовами. Зацікавлений у віддаленій роботі на проектах будь-якого масштабу у галузі веб-розробки та графічного дизайну. Готовий до співпраці на повний робочий день або на проектній основі. Будь ласка, зв'яжіться зі мною для отримання додаткової інформації."
138,"Я готовий докласти всі необхідні зусилля, щоб досягти своєї цілі, допомагати людям, які тільки почали свій шлях, мотивувати їх та працювати більше, ніж потрібно, якщо це необхідно. Мені важливо залишати слід не лише як якісний дизайнер, але й як цікава та творча особистість.

Маю досвід у створенні сценаріїв дій користувачів та розробці користувацького інтерфейсу, навчаючись у BEETROOT ACADEMY. Моїм найбільшим досягненням є дипломний проект ""Платформа для планування навчального процесу в школах"", над яким я продовжую працювати та вдосконалювати його.

У компанії, де я працюю, співпрацюю з дружнім колективом над цікавими проектами у комфортному офісі. Я постійно взаємодію з командою, реалізуючи спільні ідеї, та навчаюся від професійних дизайнерів. Я також цікавлюся футболом та підтримую команду у різних ситуаціях."
139,"Закінчив навчання в beetroot academy за напрямом UI/UX дизайн. В ході навчання створював Lo-Fi прототипи, інтерактивні прототипи, вайрфрейми, макети та лого, працюючи в команді. Проводив аналіз конкурентів та працював з сервісом Readymag. Маю бажання розвивати та покращувати свої навички, вивчати нові технології, отримувати досвід та працювати з крутою командою."
140,"Курси:
School HotSpot: English A1 (now)
School HotSpot: English elementary (12.05.2023)
Projector Institute: Web Design Junior (20.04.2022)
SkillUp: UI\UX Design (2021)

Робочий досвід:
E-Commerce:
- аналіз конкурентів та вхідних даних клієнта;
- розробка концепції та робота з референсами;
- створення дизайн системи в Figma;
- адаптивний дизайн.

Landing page:
- аналіз вихідних даних клієнта;
- аналіз конкурентів;
- пошук і робота з референтами;
- створення прототипу;
- робота з правками."
141,"Досвід роботи на фрілансі близько 2.5 років, спеціалізується на розробці прототипів сайтів та їх дизайні. Також має досвід у створенні обкладинок для соціальних мереж та їх оформленні. Має бажання продовжувати розвиватися в сфері дизайну та отримати новий досвід у співпраці з крутою командою, де можна взаємодіяти та навчатися один від одного."
142,"Уміння працювати з різними типами клієнтів, уникаючи конфліктів при різному баченні результату. Ведення проєктів без безпосередньої участі менеджера. Уміння стати феєю та втілювати будь-які візуальні забаганки

09.2018 - ... - freelance ( UI/UX & graphic designer )

11.2019 - 09.2020 - Jelvix ( graphic designer )

09.2020 - ... - AnyforSoft ( UI/UX designer )

Бажання займатися довготривалими проєктами в команді, проводити UX дослідження та активно брати участь у розробці матеріалів для маркетингу та hr-відділів."
143,"May 2022 - Jun 2022
Course ""English for IT""
Anna Gandrabura

Dec 2021 - Mar 2022
Course ""Mobile Apps design""
Projector Institute

Sep 2021 - Dec 2021
Course ""Ux/Ui design Start""
Designly school

10.2022 - now
Working on a complex, multifunctional product in a small company, gaining valuable experience by taking on various roles and responsibilities. Handling the entire process from business request to handover to developers. Communicating extensively with the business and team to achieve results.

06.2022 - 10.2022
Worked for a company developing applications for Microsoft, gaining experience in designing for X-box.

01.2022 - 06.2022
Collaborated with a team of designers on freelance projects, including a desktop application for parents and children to track the child's educational progress and assist with homework."
144,"1. Certificate of completion the course Introduction to IT April 2023 – May 2023, Beetroot IT Company
2. GoIT Demo-Design UI-UX Marathon, created a landing page
3. GoIT UI-UX Design Marathon, redesigned an astrological application - horoscope
4. Test-drive of IT professions from GoIT, created a website layout in Figma"
145,"- UI/UX Designer
Участь у створенні дизайну сайту та особистого стилю для Міжнародного Благодійного Фонду “День За Днем”. Проведення переходу сайту на вищий рівень з новою концепцією для зручного інтерфейсу та користувацького дизайну.

- Стажування як UI/UX Designer в студії KovalIt
Отримання цінного досвіду роботи в молодій та зростаючій команді.

- Веб-дизайнер в компанії “KovalIt”
Розробка повноцінного проєкту сайту курсу по зачіскам з метою створення стильного та мінімалістичного інтерфейсу для легкого вибору та проходження курсів онлайн. Відповідальні за дотримання вимог ТЗ, підбір кольорової палітри та шрифтів, розробку дизайну для різних версій пристроїв, створення логотипу та сертифікату.

- Веб-дизайнер з особистого стилю в Міжнародному Благодійному Фонді “День За Днем” (“DayByDay”)
Розробка особистого стилю, включаючи стікерпак, банер, візитівку, бейдж, перепустку та історії Instagram, а також дизайн сайту для підтримки людей, які потребують допомоги."
146,"- Сертифікат `Веб-Дизайнер 2021' від школи Shendrikov Education;
- Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.0';
- Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.1';
- Курси `Web designer` школи Shendrikov Education;
- Онлайн курс від WayUp `Веб-Дизайнер Взрывной Старт 2.0'.

Досвід у дизайні для інтернет магазинів."
147,"1. Проект ""Кафе для роботи"". Я розробляла тестовий дизайн сайту для компанії з можливістю для користувача: пошук привабливого місця в кафе, оренда робочого місця, вибір філіалів, ознайомлення з меню та пропозиціями кафе.

2. Проект ""Квітковий магазин"". Моя робота полягала в розробці тестового дизайну сайту для компанії, де користувач може вибирати насіння, горшки та інше.

3. Простий проект ""Сайт для покупки квитків"". Я створювала тестовий дизайн сайту для компанії, де користувач може вибирати квитки та переглядати прем'єри цього року.

4. Аналог магазину Apple. Моя робота полягала в розробці тестового дизайну сайту для компанії, де користувач може вибирати категорію техніки, дізнаватися про основне щодо магазину та замовляти техніку.

У всіх цих проектах я працювала як Графічний дизайнер, ui\ux."
148,1 рік самостійного навчання дизайну
149,"1. Розробка UI та UX для веб-сайтів.
2. Дизайн мобільних додатків.
3. Використання методології Design Thinking (створення Customer Journey Maps, проведення інтерв'ю з користувачами, тестування залучення користувачів).
4. Створення Landing Pages.
5. Розробка візуального контенту для бренду (соціальні мережі, візуальний контент для блогу, HTML-банери, електронні листи, push-сповіщення).
6. Дизайн логотипів.
7. Розробка фірмового стилю та створення бренд-буку.
8. Розробка та верстка POS матеріалів, дизайн мерчандайзу."
150,"2012 - 2015: Веб-дизайнер в студії DARTC
2015 - 2018: Веб-дизайнер в Lumospark
2018 - 2020: Ведучий дизайнер в Lumospark
2020 - дотепер: Фріланс - дизайнер

Обов'язки включають створення дизайну для сайтів, мобільних додатків, анімації, прототипів, логотипів та поліграфії. Володію програмами Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Balsamiq, Adobe After Effects, Adobe InDesign та InVision. Готова швидко вивчити нові програми за потреби."
151,"2016 - 2018 UI/UX designer at togethernetworks.com where I developed a website template for the Yola site builder.

2018 - 2020 Product Designer at Skillum startup. I made the design for the no-code developer's marketplace.

2020 - 2023 UI/UX Designer at Metevo agency on Upwork. Working on e-commerce projects.

Seeking challenging opportunities that will utilize my experience and skills, and promote continuous professional growth."
152,"Дитячий дизайнер з багаторічним досвідом у створенні власного бренду та успішними продажами на Etsy. Експерт у дизайні лого, одягу та лекал, а також у фотозйомці та обробці фото. Здійснював маркетингові заходи та брав участь у ярмарках ""Всі свої"". 

Досвід у співпраці з американським брендом спортивного одягу, де відповідав за створення інтернет-магазину та контенту в Instagram. 

Графічний дизайнер з навичками у створенні ілюстрацій, анімацій та обробці фото. 

Власник магазину на Etsy з майстер-класами англійською мовою з пошиву фетрових іграшок та оригінальних принтів. Вміння працювати з Procreate та Adobe Illustrator, а також управляти магазином та маркетингом на Etsy. 

UI/UX фрилансер з досвідом у створенні контенту в Instagram, логотипів, банерів та візиток, а також у розробці та редизайні веб-сайтів."
153,"Досвід:

2018-2019 Веб студія “Ранок”
- Розробка прототипів та дизайну для міжнародних проектів
- Виконання ресерчу та мудбордів для клієнтів
- Використання Adobe Photoshop та Figma для дизайну
- Написання текстів, фотографування товарів та створення банерів
- Створення презентацій для організації роботи колективу
- Кураторство нових співробітників та стажерів
- Мерчендайзинг вітрин та організація офісного простору

Літо 2020 Робота з блогером
- Пошук блогерів для реклами та аналіз їхньої статистики
- Створення чек-листів, гайдів, обкладинок та монтаж відео
- Генерація ідей для блогу та їх реалізація

2019-2022 Магазини з непродовольчими товарами
- Дотримання касової дисципліни та вчасного приходу на роботу
- Відповідальність за результати та взаємодія з колективом
- Збереження чистоти на робочому місці та відповідальне ставлення до обов'язків

Цікавлюсь роботою в сильній та творчій команді, де кожен може розвиватися і допомагати один одному. Важливо для мене, щоб робота не забирала вільний час і поважали особисті кордони кожного співробітника."
154,"2019 - present: Graphic Designer at Helena Studio (Israel)
- Responsible for creating visual concepts and designs for various projects
- Completed courses in web design and mobile app design at Prozhektor
- Seeking to transition from graphic design to UI/UX design
- Looking for internship or junior UI/UX position

Please note that the above text is a revised version of your original resume. Let me know if you need any further assistance."
155,"2020-2023
First Ukrainian Studio
UI/UX Designer

- Прототипування
- Веб дизайн (лендинги, корпоративні, багатосторінкові сайти, адаптація під мобільні пристрої)
- Редизайн існуючих сайтів з урахуванням їх фірмового стилю
- Генерування ідеї сайту, логіки користувача, usability сайту
- Побудова ефективних систем зв'язку між користувачем/клієнтом та продуктом/компанією, орієнтованих на сучасний UI/UX
- Комунікація з front-end-розробником та командою маркетологів
- Опис способів взаємодії та поведінки інтерфейсу для розробників
- Створення промоматеріалів"
156,"2021 - 2023: UI/UX Designer в Ux lab.
Створення UX-скетчів, лендінгів, брендінгу, малюнків мобільних додатків, Saas, Crm.

2020 - 2020: Відеомонтажер в Beemlop.
Створення анімації форм та персонажів.

2019 - 2020: Відеомонтажер в Vilz Agency.
Створення анімації форм, об'єднання та обрізка відеокліпів для проектів MindGame, YBW (Your Business Forum). Використання програм Adobe After Effects, Final Cut Pro, Adobe Premiere Pro, Motion 5, Compressor, Adobe Photoshop, Adobe Media Encoder, Adobe Illustrator.

2017 - 2018: Frontend розробник в агентстві Qumel Digital.
Створення сайтів з використанням HTML/CSS/JavaScript. Створення простих дизайнів веб-сайтів. Підтримка та оновлення сайтів. Оптимізація SEO. Робота над проектами, такими як Frog Tutoring, spa.ru, сайт Lviv Topography. Адаптивна верстка для мобільних пристроїв."
157,"2 роки досвіду як UI/UX designer та 1 рік досвіду роботи як Front-end developer. Завдяки цьому маю хороше розуміння процесів розробки продукту в цілому. Маю експертизу в різних сферах - security, health care, HRM system, web-development, personal management. Розвивала власний дизайн проект. Хотілось б пірнути глибше в тему UX розробки."
158,"3,5 роки досвіду в UX / UI в сферах E-commerce, Fitness, Restaurant, Medicine, Education, News, Office service.
- Участь у цікавих проектах для внутрішнього та зовнішніх ринків
- Бажання навчатися новому
- Прагнення працювати в команді з тімлідом та сеньйорами
- Повна зайнятість
- Погодинна ставка: від 25$/год
- Місячна зарплата: від 2 500 $/міс."
159,"Створення дизайну landing page та великих тендерних проектів для міст Лозова та Ізюм.
Досвід роботи в дизайнерському агенстві протягом 3 років, здатність ефективно спілкуватися з клієнтами та розробляти великі тендерні проекти.
Розуміння базових принципів HTML, CSS, JavaScript та адаптивної верстки, базове знання фреймворку Bootstrap, досвід у підготовці макетів до друку.
Гнучке та ефективне управління робочим часом, готовність працювати в термінових ситуаціях та бути на зв’язку 24/7.
Високий рівень трудової етики, здатність виконувати завдання якісно та вчасно.
Мета - розробка дизайну мобільних та настільних додатків."
160,"3D візуалізація
4 роки досвіду у веб дизайні, 1 рік досвіду 3D візуалізації, 6 місяців досвіду UI/UX дизайну
Відсутність бюрократії, штат досвідчених дизайнерів, проекти дизайну мобільних додатків."
161,"Розробка дизайну Головної Нагороди та Диплому Кубку Вільга 2018 з авіамодельного спорту (етап World Cup 2018, Eurotour Contest 2018, Intertour F5J 2018). Участь у організації змагання.
4 роки та 11 місяців досвіду роботи в компанії Catalyst Apps на посадах 2D artist та UI/UX designer. Створення інтерфейсів для мобільних ігор (шутер та стратегія).
Співпраця з компанією Vladimir's Model у розробці дизайнів для літаків та поліграфічних матеріалів. Координація роботи команди з отримання замовлення до відправки готового виробу замовнику.
2 роки та 5 місяців досвіду роботи з компанією VMG Ukraine - підрозділ компанії VMG USA. Розробка дизайну мобільного додатку та веб-сторінки для казино в Лас Вегасі. Створення ігрової логіки, дизайн документів та специфікацій для програмістів. Координація роботи команди."
162,"5 років досвіду у UI/UX дизайні (70% додатки, 30% веб). Працював як самостійний дизайнер, так і у співпраці з іншими фахівцями.

Обов'язки включають:

- розробку юзерфлоу та Customer Journey Maps
- аналіз аналітики та конкурентів
- прототипування
- проведення UX тестів, коридорок та інтерв'ю з користувачами
- Live прототипування
- розробку дизайн системи та компонентів
- UI дизайн та анімацію

Технічні навички:

- Figma, Adobe Photoshop / Illustrator / After Effects / Premiere, Protopie, Midjourney / Leonardo, Google Analytics, Hotjar
- CSS / HTML
- Lottie / SVG Animations

Готовий приєднатися до команди з цікавим та складним проектом."
163,"- 6 років досвіду управління командою в digital agency SMELO
- Спеціалізація на SMM design, Web design та Identity
- Діючий дизайнер з великим портфоліо робіт"
164,"- Курси з роботи з Figma, UX/UI дизайну, основ дизайну та Illustrator від Creativepractice
- Повний курс фотографії в фотошколі TimeStudia
- 7 років досвіду роботи як фотограф-ретушер
- Знання принципів композиції, перспективи, колористики та балансу
- Досвідчений користувач програм Adobe Photoshop, Figma, Adobe Lightroom, Adobe Illustrator та Adobe Premier Pro
- Бажання розвиватись у UI/UX дизайні"
165,"Закінчила курси в Projector по ""Web design"" та ""UX design"". Маю досвід у роботі з Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Sketch, Axure, Prototyping, User Interface Design, User Experience Design, Figma, Principle, Invision. Шукаю цікаві задачі та проекти для професійного росту та стабільної зарплати."
166,"Web and mobile designer with a focus on improving UX and Motion Design skills. Proficient in Adobe Photoshop, Adobe Illustrator, inVision, Zeplin, Adobe XD, and Adobe After Effects. Experienced in working on interesting projects with a skilled team."
167,"Молодший веб-дизайнер з емоційним інтелектом та емпатією, здатний до ефективного самоменеджменту під час самостійних проектів та спільної роботи. Досвід у створенні лендінгів, мобільних додатків, wireframe, прототипуванні та адаптації дизайну під будь-який тип екрану. Підтягнула знання англійської мови до рівня, необхідного для бажаної роботи за три місяці. Навчаюсь в Mate Academy.

Amazon
Графічний дизайнер
Травень 2022 - дотепер
Створення наклейок та деколів для сайту Amazon
Розробка векторних зображень відповідно до заданого стилю
Пошук референсів
Робота з типографікою
Додрукарська підготовка"
168,"CGS-team - 2 роки
Розробка веб- та мобільного адаптивного дизайну, мобільних додатків, презентацій, дизайну для соціальних мереж, та корпоративних стилів внутрішніх документів. Створення дизайну для міжнародного ринку: блокчейн, криптовалюта, розваги, медицина, охорона здоров'я, освіта.

Leng Meng - 6 місяців
Розробка дизайну для веб- та мобільних додатків, логотипів, банерів, та дизайну для соціальних мереж. Головний акцент на український ринок у 90% випадків. Спеціалізація на електронній комерції, установах уряду, та проектах з перепроектування."
169,"CYBERION
Графічний цифровий дизайнер
Відповідальний за візуальний/веб/графічний дизайн 3 проектів:
CYBERION (мережа клубів кіберспорту)
TRAFFIC (мережа клубів кіберспорту)
Sushi Take Out (харчування)
Співпрацював з Українською Федерацією кіберспорту (UESF) у проекті ""eChampions"" як дизайнер

Eqvola LLP
Графічний дизайнер/Веб-дизайнер
Створював банери, пости для соціальних мереж,
креативи для таргетованої реклами, реклама Google
Створював дизайни для мерчу, футболок, кепок тощо
Працював з рухомим дизайном
Розробляв візуальний стиль для сторінок соціальних мереж для 2 проектів,
Керував та співпрацював з іншими дизайнерами над проектом
Також створював анімаційні шаблони для соціальних мереж,
Використовував 3D елементи, деякі створював сам
Створював лендінги

SoftProject (SooprIT)
UI дизайнер
Створював 2 функціональні інформаційні панелі та B2B мобільний додаток для платформи iOS

Фріланс
Графічний дизайнер
Створював знаки, наклейки та банери для
соціальних мереж, плакати для концертів, креативи для
таргетованої реклами"
