,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
51,"Розробка успішних редизайнів готових сайтів та створення нових для продуктів різної складності. Головним досягненням є розробка дизайну мобільного додатку для швейцарського стартапу. Досвід у розробці веб та мобільних інтерфейсів. Зацікавлений у виконанні складних проектів та постійному професійному зростанні. Вмію аналізувати поставлені задачі та обґрунтовувати свої рішення. Самостійний у роботі, але готовий працювати в команді. Уважний та швидко навчаюсь новому. Останні півроку працював UI/UX дизайнером в DreamDev Agency."
52,"Закінчив курси дизайну LemonSchool з відзнакою. Маю успішно завершений проект з веб-дизайну на фрілансі. Швидко навчаюсь новому. Пройшов курси веб-дизайну та виконав кілька навчальних проектів. Створював прототипи (франкенштейн, wireframe), розробляв стікери, іконки та інші графічні елементи. Маю комерційний досвід на фрілансі, включаючи дизайн веб-сайту на 7+ сторінок."
53,"Закінчила курс UX/UI дизайну від projctr. Розробляла логотипи, брендбуки, рекламні креативи, друковану продукцію, лендінги та презентації. Створювала мобільний контент, займалась обробкою фото та відео. Має досвід роботи SMM менеджером. Орієнтована на клієнта та сервіс. Вмію ефективно спілкуватися з людьми та швидко знаходити рішення в проблемних ситуаціях. Готова постійно вдосконалювати свої знання та навички в дизайні."
54,"- Впевнене володіння Figma та досвід створення UI/UX дизайну, Wireframes, Hero Screen, CJM
- Закінчила курс з веб-дизайну
- Створення проєктів на базі курсу та самостійно, включаючи:
  1. Сайт парфумів: проведено тестування, CJM, Wireframes
  2. Сайт з продажу квітів: Wireframes, CJM
- Досвід в аналізі користувачів та конкурентів"
55,"Закінчила курс з UI/UX дизайну в Logos IT Academy. Опанувала навички створення User Flow, User Story, дизайну CRM систем, лендінгів, побудови карти сайту, створення дизайн-систем. Має досвід роботи над некомерційними проектами графічного дизайну, включаючи створення постерів та публікацій для соцмереж. Активно шукаю роботу UI/UX дизайнера для подальшого розвитку та вдосконалення навичок у цій сфері."
56,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Прагну отримати позицію веб-дизайнера, щоб застосувати свої знання та навички у професійному середовищі та продовжувати розвиватися у сфері UX/UI дизайну.

Освіта:
- Закінчила 5-місячний курс з веб-дизайну.

Навички:
- Базовий рівень знань з UX/UI дизайну.
- Постійний розвиток професійних навичок.

Досвід роботи:
- 1 рік досвіду роботи на фрілансі у сфері веб-дизайну.

Додаткова інформація:
- Планую покращити знання англійської мови."
57,"Фріланс UI/UX дизайнер з осені 2021 року

Досвід та обов'язки:
- Комунікація з замовником
- Створення брифів
- Аналіз запитів
- Розробка User Friendly дизайнів
- Аналіз конкурентів
- Створення UI Kit
- Розробка лендінг сторінок та багатосторінкових сайтів
- Адаптивний дизайн для мобільних пристроїв
- Редизайн існуючих сайтів
- Передача дизайну Frontend спеціалістам"
58,"Професійний досвід:

Студентське самоврядування
Проєкт “Люмос” (Проджект-менеджер)
- Розробка презентацій
- Пошук психологів та підтримка комунікації з ними
- Ідентифікація потенційних проблем та розробка рішень

Подкаст “Pro DivChat” (Учасник)
- Вибір актуальних тем
- Підготовка та створення контенту
- Промоція проєкту в Instagram
- Управління сторінкою в Instagram

IT школа (Вчитель Веб дизайну для дітей)
- Взаємодія з учнями
- Пошук та розробка матеріалів для уроків
- Викладання основ композиції, типографіки, колористики
- Навчання роботі з Figma та її основними інструментами
- Керівництво створенням трьох проєктів: лендінг пейдж, веб-додаток, багатосторінковий сайт

Навички:
- Adobe Photoshop
- Adobe Illustrator
- Figma
- Canva
- Adobe Lightroom
- Розуміння UX процесу та його етапів

Мета: Продовжити розвивати свої навички в області UI/UX дизайну та стати успішним фахівцем у цій сфері."
59,"Індивідуальне підприємництво / приватна практика / Фріланс  
Москва  
UX / UI дизайнер  

1. Досвід у дизайні користувацького досвіду, включаючи користувацькі та проектні потоки, аналіз завдань та аудит конкурентів. Використання методів дослідження, таких як JTBD та матриця пріоритетів, а також кількісні та якісні методи дослідження. Досвід у створенні інформаційної архітектури, каркасів та прототипів Lo-Fi і Hi-Fi.

2. Розробка візуальної концепції, UI Kit та дизайн-системи. Знання iOS та Android Guidelines. Досвід у розробці адаптивного веб-дизайну.

3. Ефективна передача макетів в розробку."
60,"Ключові навички:

- Глибоке розуміння принципів UX
- Висока майстерність у створенні детальних прототипів у Figma
- Знання гайдлайнів iOS та Android
- Розуміння принципів адаптивного дизайну
- Вміння ефективно працювати у команді, уважність до деталей
- Досвід у розробці логотипів
- Навички пошуку та обробки графічного контенту

Курси:

- Creative practice ""UX/UI. Проектування та дизайн інтерфейсів"" (online, 2022) - поглиблення знань з проектування екранів інтерфейсу та їх інтерактивних прототипів; створення інтерактивного прототипу застосунку.
- Way up ""Графічний дизайнер: запуск"" (online, 2021) - навчання створенню іконок та логотипів в Adobe Illustrator.
- Way up ""Веб дизайнер: щасливий квиток до Таїланду"" (online, 2021) - освоєння роботи у Figma: використання Auto layout, Layout grid і напрямних, компонентів; створення клікабельного прототипу. Також вивчення Photoshop для обробки фото та колажування."
61,"Лютий 2023 р. – Теперішній час – Фріланс

Посада: Дизайнер ретушер, Графічний дизайнер, UI/UX Designer

Виконую такі види робіт: дизайн сайтів; галерей з товарів; корекція кольору предметів; видалення/заміна фону; предметна ретуш; ретуш портретів; обробка та підготовка предметів для інтернет-магазинів; банери; візитки; рекламні листівки.

Березень 2016 р. – Лютий 2023 р. – PARTS iD, LLC, USA

Посада: Graphic designer and retoucher

Обов'язки:
- Створення галерей, схем та іконок для інтернет-магазинів
- Зміна властивостей-характеристик товарів на зображеннях
- Створення високоякісних зображень з нуля
- Стандартизація зображень товару
- Видалення watermark різної складності
- Ручна та автоматизована пакетна обробка великої кількості зображень

Досягнення:
- Глибокі знання Adobe Photoshop
- Використання єкшн в Photoshop та XnConvert для підвищення продуктивності

Додаткові обов'язки:
- Виконання обов'язків тімліда за його відсутності: керування співробітниками, співпраця з відділом PM, ведення проектів, звітності, слідкування за виконанням завдань."
62,"- Розробка лендінгів та мобільних додатків
- Участь у майстер-класах з розробки лендінгів та мобільних додатків
- Відкритість до навчання та вдосконалення навичок
- Прагнення працювати як junior UI/UX Designer для здобуття професійного досвіду"
63,"Оля

Мета:
Пошук першої роботи на посаді Junior дизайнер, з метою повного занурення у світ дизайну, роботи в команді, розвитку навичок та здобуття досвіду.

Професійні навички:
- Володіння програмами Figma, Photoshop
- Базові навички роботи в Adobe Illustrator
- Розробка прототипів
- Створення Landing Page
- Знання HTML, CSS, базова верстка
- Основи композиції, кольору, типографіки
- Робота з графічним планшетом
- Основи UI/UX дизайну
- Досвід роботи з людьми
- Володіння ПК та офісними програмами
- Досвід роботи з касою та 1С
- Консультації щодо товарів та послуг компанії

Особисті якості:
- Тайм-менеджмент та дотримання дедлайнів
- Здатність швидко навчатися
- Вміння працювати в команді та розв’язувати конфлікти
- Працьовитість та відповідальність
- Уважність до деталей
- Порядність та пунктуальність
- Відсутність шкідливих звичок

Досвід:
12 років досвіду в ролях фармацевта, менеджера по заявкам, офіс-менеджера, адміністратора, оператора (не в IT сфері).

Освіта та курси:
- Prometheus Основи Web UI розробки (2022 р.)
- HTML CSS JS course Freelancer LifeStyle (2023 р.)
- ""Веб майстерня 3.0"" курс веб-дизайнера (2023 р.)

Контакт:
Готова до співпраці та навчання."
64,"Досвідчений фахівець з 6-річним стажем у галузі гостинності, що дозволяє ефективно спілкуватися з різними людьми, працювати в команді, проводити переговори та вирішувати різноманітні завдання.

Маю навички у створенні вебсайтів та розробці мобільної адаптації, добре володію композицією, кольорами та типографією.

Проводжу UX дослідження, включаючи збір вимог замовника, аналіз конкурентів, SWOT аналіз, користувацькі інтерв'ю та створення User persona. На основі цього розробляю User-flow, Site map та Wireframe/Prototype.

Володію навичками роботи з компонентами та Auto Layout, а також вмію працювати з програмами Figma, Adobe Photoshop, Adobe Illustrator, Adobe Lightroom, Microsoft Office, Google Sheets та Google Docs."
65,"Досвід роботи на фрілансі протягом 6 місяців, співпраця безпосередньо із замовниками. Розробка інтерфейсів для сайтів салонів краси, йога-студій, онлайн-магазинів прикрас та косметики. Досвід створення дизайну для сайтів-візиток та промо-сайтів. Знання основних принципів верстки на HTML та CSS. Орієнтуюсь на створення зручних та прибуткових сайтів. Вміння визначати цільову аудиторію, виявляти та задовольняти її потреби. Знання теорії кольорів та їх впливу на клієнтів, основних правил типографіки. Вміння створювати адаптивні версії сайтів."
66,"Маю досвід в e-commerce 6 років, починала свій шлях з онлайн менеджера (оформлення замовлення на сайті). Працювала в команді маркетингу на посаді адміністратора сайту, працювала над 3 сайтами на OpenCart та 1 на Shopify. Основні обов'язки включають:

- Робота з контентом 3-х сайтів;
- Контроль наявності повного асортименту продукції на сайті;
- Аналіз та розробка стратегії вдосконалення веб-ресурсу;
- Постановка завдань та контроль виконання для програмістів, дизайнерів та копірайтерів;
- Підготовка сайтів до акцій, сезонних розпродажів;
- Оптимізація та контроль взаємодії CMS із CRM;
- Впровадження та контроль API на сайті;
- Підключення платіжних систем;
- Вдосконалення UX шляху клієнта, збільшення конверсії, прибутку, середнього чеку сайту;
- Впровадження SEO-рекомендацій.

Також у роботі були аудит юзабіліті та аналіз конкурентів інших додаткових сайтів за запитом та написання стратегій сайтів на 6 місяців. Закінчила курси в Камі на веб-дизайнера для кращого розуміння поведінки користувачів, співпраці з дизайнерами та постановці задач.

Досвід редизайну сайту з тематикою працевлаштування людей на роботу в Чехії, де було зроблено наступне:

- Додано 10 нових сторінок для десктопу та мобільних пристроїв;
- Змінено дизайн системи на новий;
- Обрано новий шрифт."
67,"11.2017 – 05.2018  
LLC ""Allo"", Sales Manager  

06.2018 – 01.2019  
LLC ""Allo"", Depute Store Manager  

02.2019 – 02.2021  
LLC ""Allo"", Store Manager  
Обов'язки:  
- Управління та координація персоналу (до 5 осіб)  
- Робота з показниками команди та розвиток  
- Робота з внутрішніми та зовнішніми клієнтами  
- Досягнення цілей KPI  
- Контроль дотримання процедур компанії в магазині  

02.2021 – дотепер  
PLC ""ASBIS Ukraine"", Консультант з продажу Apple  

Маю досвід у продажах, розуміння потреб клієнтів. Досвід може бути дуже корисним у проєктах електронної комерції. Мій досвід у дизайні наразі обмежений навчальними проєктами, але я готовий виконати тестове завдання."
68,"Досвід у дизайні фізичних продуктів, включаючи деталі для подушок Emoji та корпус комп'ютера в стилі Apple. Розробка веб-сайту для бюро дизайну інтер'єрів у стилі мінімалізму. Робота над айдентикою для студентської ради університету. Вміння працювати з графічними редакторами та застосування AI інструментів. Основи об'єктно-орієнтованого програмування та здатність розбирати нескладний код. Досвід роботи з JavaScript, CSS3 та HTML5. Використання інструментів Figma, Affinity Photo та Affinity Designer у проєкті розробки веб-сайту. Прагнення досягти стійкого рівня володіння UI інструментами та розвиватися в області UX дизайну. Інтерес до дослідження бізнесу та цільової аудиторії. Бажання працювати з перспективними інструментами та технологіями для набуття досвіду та стати висококваліфікованим спеціалістом у майбутньому."
69,"Досвідчена у фрілансі з розробки та дизайну. Закінчила курси з Front-end (basic), де вивчала HTML5/CSS, верстку макетів з нуля, флекси, базовий JavaScript, роботу з GIT та SCSS. Пройшла курси з Web-design, UI/UX Pro, де вивчала аналіз конкурентів та цільової аудиторії, проводила глибинні інтерв'ю та розробляла персони. Володію досвідом у CJM та методах пріоритизації, прототипуванні у Figma та розробці інтерфейсів."
70,"Менеджер по роботі з клієнтами – 07.2020 по нині  
ТОВ «Українська універсальна біржа» (майданчик публічних закупівель)  

Обов'язки:  
- Консультування клієнтів  
- Фіксація даних в CRM та Slack  
- Вивчення нової інформації у сфері державних закупівель  
- Реагування на зміни у законодавстві та на майданчику організації  "
71,"Влад

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто, країна]

Мета:
Шукаю постійну роботу дизайнера, щоб приєднатися до вашої команди та застосувати свої навички у створенні візуальних рішень.

Досвід роботи:
Фріланс-дизайнер
[Роки роботи, наприклад, 2018 - теперішній час]

Обов'язки:
- Створення креативів та зображень для соціальних мереж та веб-сайтів
- Розробка логотипів
- Дизайн веб-сайтів та лендінгів

Навички:
- Володіння CSS та HTML
- Креативний підхід до дизайну
- Здатність працювати в команді та самостійно

Освіта:
[Ваш навчальний заклад, якщо є]
[Ступінь, якщо є]

Додаткова інформація:
Готовий до співбесіди та обговорення можливостей співпраці."
72,"Мій шлях у веб-дизайні розпочався з проходження курсу в Projector University з курсу Web-design. Після цього я пройшов стажування в студії A4 Collective, яке завершилося через початок повномасштабного вторгнення Росії. Після цього я спробував себе у фрілансі. Через декілька місяців пошуку мене прийняли на посаду Junior UX/UI Designer в Skykillers. Наразі моя головна мета — набуття додаткового досвіду та нових навичок."
73,"Знання англійської мови на рівні C1 та французької мови на рівні B2. Досвід роботи в міжнародній японській школі з вивчення англійської мови та філологічна освіта. Пройдений курс веб-дизайну. Навички викладання для різних вікових груп. Володіння комунікативною методикою та розуміння міжособистісної та міжкультурної комунікації. Досвід у написанні іншомовних текстів різних напрямів та тематики. Бажання працювати в IT-сфері за новим напрямом для розширення навичок та потенціалу. Вміння працювати з текстами, людьми та дизайном."
74,"Досвідчений UI/UX дизайнер з практичним досвідом у навчальних та реальних проектах. Пройшов курси UI/UX Design from Scratch у Beetroot Academy та UX Design Beginning у Projector Institute. Володію навичками проведення якісних і кількісних досліджень, аналізу потреб користувачів, прототипування, дизайну інтерфейсів та розробки UI-kit. Маю досвід роботи на фріланс проектах та ефективного спілкування з замовниками. Професійно володію інструментами Figma, Sketch, Miro, Adobe XD та Adobe Photoshop. Досвід роботи в команді з іншими дизайнерами."
75,"Розробка лендінгів та багатосторінкових сайтів, вивчення айдентики та психології кольору. Глибоке розуміння процесу розробки сайту, включаючи побудову сітки, поведінку користувача, підбір кольорів та гарнітур, створення інтуїтивно-зрозумілого дизайну для користувача. Освіта: Академія ШАГ, напрямок ""Комп'ютерна графіка та дизайн"". Додаткове навчання: курси UI/UX дизайну від WayUp та Alpaca School. Практичний досвід: розробка лендінгу для туристичного агентства та багатосторінкового сайту для аптечного сервісу з пошуку ліків. Мета: розвиток у колективі, який пристрасно відноситься до своєї справи, навчання від досвідчених колег та кар'єрний зріст в компанії."
76,"Курси англійською від Google з основ UX Дизайну та від Університету Міннесоти з основ UI дизайну.

Досвід роботи:
- Навчальні проекти та фріланс

Основні завдання:
- Дизайн сайтів, мобільних додатків, банерів для соціальних мереж
- Редизайн каталогу продукції
- Розробка презентацій

Методи та інструменти:
- Проведення досліджень конкурентів
- Вивчення цільової аудиторії
- Побудова інформаційної архітектури
- Створення персони
- Складання прототипів"
77,"Після успішного завершення курсу ""Основи Web дизайну"" я отримала перше замовлення та створила логотип. Наразі завершую курси ""UI/UX Design"", де здобула навички проектування цікавого, привабливого і зручного інтерфейсу. Мої обов'язки включають складання персон, дослідження конкурентів та вимог користувачів, створення прототипів і їх тестування."
78,"Професійний досвід:

1. Робота в компанії, що спеціалізується на розробці мобільних ігор:
   - Аналіз конкурентів для визначення ринкових трендів та можливостей.
   - Співпраця з розробниками для забезпечення якісного виконання проектів.
   - Створення макетів гри відповідно до технічного завдання.
   - Анімація екранів та персонажів для покращення візуального сприйняття.
   - Відслідковування нових тенденцій у галузі для впровадження інновацій.
   - Дизайн презентацій для Apple Store з метою підвищення привабливості продукту.

2. Досвід роботи помічником дизайнера:
   - Редизайн сайтів для покращення користувацького досвіду.
   - Заміна елементів у новому дизайні для відповідності сучасним стандартам.
   - Створення додаткових екранів у вказаній стилістиці для розширення функціональності."
79,"Під час навчання в IT школі вдосконалила навички у дизайні та створила роботи для портфоліо, отримавши позитивні відгуки від куратора. Швидко навчаюсь і маю потенціал досягти високого рівня у сфері дизайну. Маю бажання розвиватися та навчатися новому, відвідуючи вебінари з веб- та графічного дизайну. Закінчила навчання в українській IT школі та готова до викликів у цій галузі. Шукаю можливість навчитися новому та набути досвіду у дизайні в дружньому колективі. Вірю, що головне - це бажання та любов до своєї справи, і готова вкластися в роботу, незважаючи на відсутність досвіду роботи в компанії."
80,"Завершив курси з UI/UX дизайну в IT Step Academy з відзнакою. Розробив дизайн для мобільного додатку E-Profi від Міністерства Освіти України, включаючи екрани користувача, компанії та навчального закладу. Створив логотип для програми, що відображав тематику та привертав увагу користувачів."
81,"Під час навчання в IT Generation розробив(ла) Landing Page, Mobile App та E-commerce, починаючи з дослідження ринку, аналізу конкурентів та визначення цільової аудиторії (user-інтерв'ю, прото-персона, CJM, user-cases), а також створення User flow та інформаційної архітектури сторінки. Володію наполегливістю та прагненням до розвитку в сфері дизайну, маю надію працювати з креативними людьми та створювати інноваційні продукти для покращення світу."
82,"Мої досягнення включають III місце на всеукраїнській універсіаді КіМу 2018. Під час кар'єри у сфері UI/UX дизайну я пройшов ряд програм і курсів, щоб поглибити свої знання і навички. Мої учителі та ментори надихнули мене і поділилися цінною інформацією, яка стала фундаментом для мене. Особливо важливим досвідом для мене було спілкування з підприємцем, у якого була власна студія по дизайну. Його досвід дав мені розуміння цінності дизайну у бізнесі та важливості забезпечення задовільного досвіду для користувача.

Я маю високі очікування від роботи у сфері UI/UX дизайну. Готовий приймати виклики, які можуть виникнути, і активно розвивати свої навички та знання в цій області. Мені важливо мати можливість проявляти свою творчу натуру через дизайн та внести свій вклад у проекти та компанію, для якої працюватиму. Я готовий до викликів та дотримання термінів, а також до професійного зростання в динамічному середовищі."
83,"Після успішного вивчення UI/UX та участі у декількох фріланс-проектах, я здобула досвід у дизайні систем, проведенні досліджень, створенні презентацій та вайрфреймів. Пройшла курс, де оволоділа основними принципами дизайну, прототипуванням, інклюзивним дизайном, дизайн-мисленням та атомарним дизайном. Основні інструменти, з якими я працюю, - Figma та Adobe. У рамках курсу розробляла мобільний додаток для реального замовлення. Маю досвід роботи з людьми та в команді.

Шукаю роботу в дружньому колективі з лояльним керівництвом, чіткою постановкою завдань та взаєморозумінням між керівництвом і працівниками. Цікавить продуктова компанія з можливістю кар'єрного росту, доступом до різноманітних тренінгів, включаючи англійську мову, та іншими ресурсами для особистого розвитку. Готова приєднатися як до великого проекту, так і до невеликої команди."
84,"Розробила pet-project - сайт для музичної школи після проходження курсів:
- Створювала wireframes та прототипи
- Досвід у розробці UI-Kit та дизайн-системи
- Володію навичками адаптивного дизайну

Шукаю роботу, де зможу застосувати наявні навички та розвинути нові."
85,"Професійний веб-дизайнер з понад річним досвідом роботи. Успішно реалізував численні проекти, які отримали високу оцінку від клієнтів. Володію навичками створення сайтів, мобільних адаптивів, додатків, userflow та wireframes."
86,"Працювала над двома мобільними додатками:

1. Ініціативна ідея для МінЦифр України.
2. Мобільний додаток для обліку фінансів.

Обидва проекти були розроблені самостійно. Перша ідея виникла ще в університеті і була реалізована на основі дизайну ""ДІЯ"". Важливо зауважити, що цей проект не був реалізований міністерством, але був виключно моєю ідеєю. Другий проект був створений для портфоліо та включав лендінг для англійської школи.

Усі роботи проводилися на платформі Figma. Досвіду роботи в команді не маю."
87,"Здобула навички UX research під час роботи над фінальним проєктом на курсах, де проводила дослідження ринку, інтерв'ю, створювала опитувальники та аналізувала болі користувачів. Розробила wireframe, провела тестування та на основі отриманого фідбеку підготувала фінальний прототип. Найбільшим досягненням вважаю навчання процесу розробки від ідеї до реалізації через етапи тестування та валідації.

Один з останніх проєктів включав розробку дизайн-макетів для меню закладу. Метою було створити структуру, що дозволяла вміщати різну кількість позицій. Адаптувала макети так, щоб замовник міг самостійно вносити корективи, а дизайн автоматично підлаштовувався під контент. Це оптимізувало процес оновлення меню, зекономивши час та ресурси.

Почала кар'єру у дизайні, опанувавши базові навички в Figma для власних потреб. Поступово почала допомагати друзям та знайомим з дизайном макетів і згодом приймати невеликі замовлення на фрілансі, переважно у галузі дизайну поліграфії. Розуміючи, що мені не вистачає знань, вирішила пройти курси UI/UX Design в Beetroot Academy, де покращила свої навички продуктового дизайну та вдосконалила роботу з Figma."
88,"Професійний досвід:

Графічний дизайнер
- Багаторічний досвід у галузі графічного дизайну
- 3 роки досвіду роботи в поліграфії
- 1 рік роботи в геймінг дизайні, від друку до створення веб-сайтів
- Остання робота в рекламній агенції: створення інтернет-банерів, презентацій, робота в соціальних мережах, участь у тендерах, розробка каталогів для діджитал та друкованих тиражів від 200-500 тисяч примірників
- Наразі займаюсь фрілансом, зосереджуючись на рекламі для соціальних мереж та розробці веб-сайтів

Освіта та навички:
- Художня освіта
- Участь у різноманітних курсах для покращення навичок у графічному дизайні
- Прагнення розвиватися у сфері UI/UX дизайну

Мета:
Шукаю можливість розвитку у сфері UI/UX дизайну у компанії з чудовим колективом, де цінують результати та сприяють особистому та професійному зростанню."
89,"Досвід роботи з Android Studio та Figma. Завершив кілька ПЕТ проектів та отримав сертифікат від Cisco. Володію англійською мовою на рівні Upper-Intermediate. Студент 4 курсу спеціальності ""Кібербезпека"" у Національному університеті ""Одеська юридична академія""."
90,"Збільшила прибуток компанії на 5% після юзабіліті тестування логіки сайту. Працювала Junior UI/UX Дизайнером в Nustay (Київ) у команді зі старшим дизайнером. Розробляла мудборди, мокапи, вайрфрейми, редизайн елементів сторінок, оновлювала гайдлайни. Має досвід роботи QA і тестування UI/UX сторінок веб-сайтів. Працювала UX дизайнером в TemplateMonster, розробляла вайрфрейми для різноманітних сфер бізнесу."
91,"Привіт, я нещодавно завершила курси з Mobile Apps Design від Projector. Маю досвід у проведенні аналізу, розробці user flow, навігації, створенні прототипів та дизайну. Співпрацювала з фрілансерами, створювала креативи для соціальних мереж та банери для YouTube для церкви. Відкрита до постійного самовдосконалення та розвитку. З нетерпінням чекаю на нові можливості співпраці."
92,"Мануальний QA з 3,5-річним досвідом роботи на e-commerce проектах, спеціалізуюся на функціональному тестуванні та створенні документації для розробників і клієнтів. Наразі навчаюся на курсах Google UX Design та веб-дизайну в школі Alpaca, щоб покращити навички роботи у Figma, створення персон та User journey, а також вдосконалити комунікацію з клієнтами. Мій попередній досвід у тестуванні сприяв розвитку надійності та ефективності в роботі."
93,"Курси ""Web design basic"" та ""UI/UX Design Pro"" в IT-школі Hillel (оцінка ""Exellent"", перше місце в рейтингу учнів). Захист дипломних проектів після кожного курсу. Грант на навчання за програмою ""IT Generation"". Курс ""Web design"" від школи ""A-Level"".

Досвід роботи у школі англійської мови:
- Проведення індивідуальних занять для дітей від 6 до 15 років
- Складання навчальних планів та домашніх завдань
- Звіти щодо відвідування та оплати занять."
94,Досвід у розробці веб-сайтів та мобільних додатків.
95,"Влада

Контактна інформація: [Ваші контактні дані]

Професійний профіль:
Я творча та відповідальна людина, яка прагне працювати в дружній та веселій команді над новими цікавими проектами. Мене цікавить саморозвиток, вдосконалення навичок та зростання як дизайнера. Я захоплююсь вивченням нових технологій.

Досвід роботи:
- Редизайн веб-сайту ""Alaska""
- Розробка інтуїтивного дизайну для веб-сайту ""BuildHive""
- Впровадження ефективної системи сповіщень та оголошень на веб-сайті ""JourneyJet""

Загалом реалізовано 5 проектів, що охоплюють веб-сайти, веб-сервіси, цільові сторінки та мобільні програми. Особливу увагу привернули проекти ""JourneyJet"", ""BuildHive"" та ""Alaska"".

Навички:
- Створення естетичних та привабливих дизайнів
- Вибір кольорів, композиція та типографіка
- Слідкування за останніми трендами
- Мінімалістичний підхід до дизайну

Амбіції:
Постійний професійний розвиток у сфері UI/UX дизайну. Вдосконалення навичок у створенні сучасних та актуальних продуктів.

Очікування:
- Навчання та внесок у динамічну команду
- Практичний досвід у реальних проектах
- Ефективна співпраця з клієнтами та колегами
- Керівництво та наставництво від досвідчених професіоналів

Моє прагнення полягає у створенні високоякісних проектів та розвитку в сприятливому середовищі, яке дозволить мені вносити значний внесок у проекти, що мають справжню цінність."
