,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo
56650,"I am a skilled Graphic Designer with 2 years of professional experience in the field. Proficient in industry-standard design software, including Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effect, and Adobe Figma. Experienced in creating branding and marketing materials, digital illustrations, and layout designs. Able to understand client requirements, translate concepts into visual solutions, and deliver high-quality designs. Strong foundation in graphic design principles and commitment to staying updated with industry trends."
56651,"UI/UX Designer with 4 years experience in Figma, Sketch, Photoshop, Illustrator, Axure, Principle. Passionate about enterprise startups and projects."
56652,"Experience:
- 3 years of freelancing
- 6 years of working in a company with their own products
- Responsibilities include prototyping and UI design, creating banners and creatives for advertising and promotions, creation of designs for print production, and landing page design
- Proficient in Figma, Adobe Creative Cloud, and some 3ds Max

Objective:
- Seeking a company with the potential for significant growth, both for the company itself and for personal career development."
56653,"- Graphic Designer with 3 years of experience specializing in social media posts design, sticker pack design, landing pages, and marketing materials. Proficient in Figma, Photoshop, and Illustrator."
56654,"Throughout my career, I have honed my expertise in various design disciplines, including branding, web design, and print media. I have worked with diverse clients across different industries, enabling me to adapt my design approach to meet their unique needs and objectives. By combining my technical skills with a deep understanding of visual aesthetics, I have consistently delivered visually captivating and effective design solutions.

I have successfully managed multiple design projects from concept to completion. I collaborate closely with clients and cross-functional teams to ensure the delivery of high-quality designs within strict deadlines. My ability to communicate effectively and present design concepts have helped me foster strong relationships with clients, leading to repeat business and positive feedback.

In addition to my technical skills, I am proficient in industry-standard design software such as Adobe Creative Suite, Blender, and Figma. I stay up to date with the latest design trends and techniques, constantly seeking new sources of inspiration to enhance my work."
56656,"- Participant in UMO Global Innovation Challenge 2022, reaching the final round with a project focused on Designing for Crisis
- Responsible for project design, primary and secondary research, and ideation phase
- Experience working with volunteer organizations One Heart and Creative Sich, creating posters and illustrations using Adobe Illustrator, Adobe Photoshop, and Figma
- Proficient in Canva, Trello, and Invision, currently learning basics of Adobe After Effects
- Seeking opportunities to collaborate with talented individuals and enhance Graphic Design/UI/UX Design skills."
56657,"Completed drawing courses at:
ArtCraft Education LLP – Online Course Game Graphics (2021)
ArtCraft Education LLP – Online Course Anatomy (2020)
ArtCraft Education LLP – Online Course Digital Drawing (2019)
IT School “Advanced graphic design” course Adobe Photoshop, Adobe Illustrator (2017)

UI/UX Designer. 2D Graphic designer with 4 years of experience in digital design.

Responsibilities:
- Creation of icons, logos, layouts of various degrees of complexity
- Designing marketing materials (press-wall illustrations, banners, notebooks, posts on social networks, etc.)
- Working with UI/UX design for websites and mobile applications (iOs/Android)
- Creation of workflow diagrams
- Preparing templates for presentations, portfolio and backgrounds for mobile games

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator
- Knowledge of the basic rules and basic principles of drawing and painting in CG (light, shadow, tone, color, perspective, anatomy, etc.)
- Drawing by hand using Wacom Intuos 4 Digital Tablet
- Knowledge of Sketch, Figma, inVision, Abstract, Craft plugin
- Experience in working with international clients and communication (e-mail/calls) with them."
56661,"I am a highly skilled graphic and web designer with over ten years of experience in the industry. Specializing in the design of web and mobile applications, as well as logo design and corporate identity. I combine extensive experience with the latest design trends and technologies to deliver high-quality solutions.

PROFESSIONAL EXPERIENCE:
UI/UX Designer | May 2019 - October 2022
Collaborated remotely on various B2B projects, designing corporate websites, dashboards, and mobile apps using Figma.

UI/UX and Graphic Designer | November 2015 - June 2019
Led design projects for a Canadian real estate startup, creating websites, mobile interfaces, and printed promotional materials using Photoshop and Figma.

Web Designer | February 2012 - March 2019
Worked on internal projects and client designs within an Israeli digital agency, contributing to cutting-edge fashion design software website design using Sketch, Figma, and Photoshop.

Seeking remote positions with exciting projects and opportunities for skill development. Thrives in team-oriented environments to achieve exceptional results."
56662,"- 5+ years of experience as a Web/UI/UX/Graphics designer and HTML/CSS developer
- Proficient in preparing publishing materials including booklets, flyers, brochures, and brand design
- Experienced in working on large team projects and small projects
- Skilled in developing projects with English-speaking clients through meetings, calls, and correspondence."
56725,"My professional passion is Logo Design and Brand Identity. I work not only with the technical side of the issue but also with ideas. I am convinced that a perfect design should be filled with meaning — I find it and put it into a laconic and easy-to-understand form.

I also specialize in Web design and UX/UI design. I know how to find a balance between the client’s wishes and the laws of composition, typography, visual hierarchy, convenience, and the «lightness» of design."
56795,"Alina

Web Designer with experience in graphic design. Open-minded and dedicated to achieving the best results. Committed to continuous learning and staying updated on design tools and trends."
56796,"Ann
Graphic Designer and UI/UX
Five years of experience in graphic design in IT company and a few months in UI/UX design. Seeking opportunities to work on creative projects.

Skills:
- User Research
- User Interface (UI) Design
- Graphic Design
- Ideation
- Typography
- Designing for Print
- User Experience (UX) Design
- Advertisement
- Wireframing and Prototyping
- Prototyping and Testing
- Digital Illustrations
- Interaction Design."
56797,"I am a Graphic and UI/UX Designer with 1 year of experience. I have created designs such as Banners, Flyers, and Posters for both printed and social media projects. I am committed to meeting deadlines and excel at working collaboratively in a team of creatives."
56798,"Graphic Designer

Skills:
- Adobe Illustrator
- Adobe InDesign
- Adobe Photoshop
- Microsoft Word
- Power Point

Experience:
- Logos, brand identity creation, business presentations

Personal Qualities:
- Creative
- High sense of responsibility
- Attentive listener
- Team worker
- Calm and attentive
- Empathetic
- Reliable"
56799,"My portfolio: www.rafaelabasov.com

Highly skilled and creative graphic designer with experience in various design software and techniques. Currently based in Azerbaijan, relocating to Prague in September 2023 for Master's studies in Design. Open to remote work opportunities until then.

Specialize in creating logos, marketing materials, web graphics, branding, content creation, UI/UX, album covers, packaging, clothing, and poster design. Proficient in video editing using Adobe Premiere Pro and Final Cut. Enrolled in Google UX Design Professional Certificate program to enhance UX skills. Collaborate closely with clients to deliver designs that effectively convey messages.

Passionate about graphic design, continuously seeking to enhance skills and stay updated on design trends. Belief in creativity's power to generate original and innovative ideas. Minimalistic and efficient design approach resulting in well-thought-out ideas and functional products.

Objective: Bring vision to life through effective communication.

Skills: Adobe Illustrator (Advanced), Adobe Photoshop (Advanced), Figma (Advanced), Adobe XD (Advanced), Sketch (Advanced), Adobe Premiere Pro (Intermediate), Design Thinking, Branding, Design principles, Typography, Prototyping, Wireframing, User flows, Mock-ups, Visual design, User research."
56800,"Upwork as a GRAPHIC and Brand identity designer - 2022.06 until now

- Creation of marketing materials for YouTube (banner, logos and watermarks)
- Creation of logos for clients from the USA
- Development of packaging designs for clients from the Netherlands and the USA
- Label design for Dutch craft beer
- Creation and implementation of projects on brand formation, brand development and creation of marketing materials for the web space and printing products

Citrus - Odessa as a Graphic designer - 2021.09 to 2022.02

- Creation of layouts for the promotion of household and computer equipment for the web-site, for outdoor advertising
- Creation of printed products to support corporate style
- Adaptation of Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, HUAWEI etc layouts to Citrus corporate identity
- Adaptation of banners for social networks, Google advertising, mass media
- Preparation of printed materials in Corel Draw

Upwork as a GRAPHIC designer - 2021.02 to 2021.09

- Work with clients from the Netherlands and the USA
- Creation of labels for beer products
- Creation of banners for advertising on Instagram, Facebook, Google
- Preparing a brand book for a private clinic in Gayvoron (Ukraine), creating a logo for a music equipment supplier in Lozova (Ukraine), designing labels for beer products in Folsgare (Netherlands), creating stickers for Telegram and preparing them for printing in AI and Corel Draw."
56801,"With over 10 years of experience in graphic design roles, I have worked on illustrations, advertising banners, social networking materials, logotypes, animations, and presentations. In the past year, I transitioned into UI and UX Design and successfully prototyped a SaaS Design System in Figma as a User Interface Designer."
56802,"Experience:
- Graphic Designer at an IT company, responsible for designing backgrounds and characters for games
- Freelance Graphic Designer, working on various projects
- Created presentations, marketing materials, and packaging designs

Skills:
- Graphic design
- Game design
- Presentation design
- Marketing design
- Packaging design."
56803,"Work Experience:
- Worked with a startup company producing mobile apps
- Experience in advertising agency, publishing house, and directly with manufacturers
- Skilled in various design areas, able to see problems from different angles and solve them comprehensively
- Familiar with both UX solutions and marketing strategies

Skills:
- 7 years of experience in design field
- Bachelor's degree in design
- Constantly developing skills and willing to study
- Interested in working on interesting and complex projects with a professional team."
56804,"UI/UX Designer with 3 years of experience specializing in creating clear and intuitive designs to enhance user experience and engagement. Skilled in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration. Passionate about creating high-definition interfaces and user-centric products that add value to people's lives.

Work Experience:

UI/UX Designer, Comportal
October 2022 - Present
- Developed layouts and prototypes for websites
- Evaluated and tested user experience
- Collaborated with development teams and project managers for seamless design integration

Graphic Designer (freelance), Resource Group
February 2021 - Present
- Developed print layouts and banners for targeted advertising
- Collaborated with marketers and project managers for project completion

Graphic Designer, Liga.net
September 2021 - December 2021
- Developed print layouts and banners for targeted advertising
- Collaborated with marketers and journalists for project completion."
56805,"Experience:
- Web developer specializing in Web Flow platform
- Proficient in designing interfaces and sites using Figma
- Worked on various projects on Upwork and Fiverr, including NFTlook
- Created sites for Shopify and Shopify winning product kit
- Designed car parts landing page for local Ukrainian company

Objective:
- Seeking opportunities to further develop skills in web design and pursue a successful career in website development industry."
56807,"- Promoted from junior specialist to average specialist in 8 months
- HR manager in a team of 65 people
- Worked as a photographer and graphic designer for 3 years in a team of 600 people on a Youtube channel
- Graduated from university with a degree in Computer Technology and studied programming
- Currently finishing UX/UI courses
- Strong background in psychology
- Reliable, responsible, and creative individual with experience working in both large and small teams."
56809,"Experience:
- Developed personal style for clients
- Drew illustrations and banners for social networks
- Laid out magazines/books
- Prepared and developed marketing materials for printing
- Created presentations and presented them to clients
- Discussed future ideas with the team
- Drew illustrations
- Created landing page for marketing companies
- UI/UX design for e-commerce shop"
56859,"I have over 5 years of experience in publishing as a Graphic Designer with knowledge in Web Design and UI/UX Design gained through training courses such as ""Web Design"" by Skvot, ""Work with Figma"" by Creative Practice, and ""UX/UI. Projecting and designing of interfaces"" by Creative Practice.

IMEX LTD, Kropyvnytskyi (2014)
Designer Assistant
- Created corporate catalogs, brochures, certificates, and business cards.

PRAGMATIKA.MEDIA, Kyiv (2018-2023)
Graphic Designer
- Developed magazine design including layout and visual design.
- Prepared graphic documentation such as presentations, forms, and media.
- Created visual content for social networks and websites including visual design of posts, overall page appearance, collages, and leaflets.

Freelance (cooperation with Inka), Kyiv (2020-2023)
Graphic Designer
- Created a magazine for the Premier Hotel.
- Developed corporate catalogs and brochures."
56860,"Experienced graphic, web, and UI/UX designer with a proven track record of creating visually appealing websites and user-friendly interfaces. Skilled in developing captivating graphics, logos, and branding materials that effectively communicate brand identities. Completed comprehensive design courses and gained freelance design experience, working on projects such as welcome brochures, websites for various businesses, a dashboard for a local bank, a website for a solar panel company, a menu for a local restaurant, and a cinema app. Passionate about using creativity to contribute to projects with a positive impact."
56861,"UI/UX and graphic designer with 2+ years of experience
- UI/UX designer at Liga Zakon
- Created a brand book for Kiton furniture store and Lviv Botanic garden
- Worked for Coming Agency, Come Back Agency, and Fawn Agency
- Skilled and diligent designer passionate about creating user-friendly and aesthetically pleasing interfaces
- Responsible and outgoing individual with interests in basketball, skiing, and design."
56862,"I am a digital Designer with five years of experience. 
For the last two years, I have been working as a graphic designer in a network advertising agency, where I learned the required technical and communication skills to work with large corporate clients and have been satisfying their requests, both artistically and punctually. Collaborating with various teams within the company, we developed a wide range of concepts and worked on corporation styles for more than eight brands. For the last one year I also work as a freelance designer for clients from all over the world. I also completed UX designer courses at Projector in May 2022. My experience in this direction is not very big, but I already have enough understanding and desire to work in this direction in design. I also have a number of finished working sites."
57384,"- Over 15 years of experience in designing more than 40 successful digital products
- Led design teams and projects globally
- Proficient in product management and launching startups
- Mentored junior designers and conducted lectures and workshops
- Created and managed over 30 brands and trademarks in the market
- Possess a respectable UX certification and international design awards
- Served as a jury member at international design competitions
- T-shape design generalist with a focus on product thinking
- Skilled in setting up product design teams and processes
- Experienced in managing UI/UX design teams
- Proficient in UX architecture & design, data-driven design, user testing, visual design, UI design, and product management
- Knowledgeable in prototyping tools, mobile and responsive design, branding, and HTML/CSS principles
- Interested in providing part-time design consultancy services for processes or products
- Seeking opportunities in product companies with the ability to influence direction and product vision
- Open to remote or relocation opportunities in the USA, UK, or Europe
- Flexible, open to changes, and interested in cross-disciplinary design projects
- Particularly interested in AR/VR projects (excluding game development)"
57400,"- Established and led the design department, driving project acquisition and client engagement to enhance company profitability
- Rescued the business multiple times through strategic initiatives
- Enhanced existing products through continuous improvement efforts
- Successfully executed over 50 projects from inception to completion
- Over a decade of experience in UI/UX Design, with 5+ years in Design Team Management overseeing a team of 20 members
- Proficient in resource management, hiring processes, feedback delivery, and coaching
- Skilled in design strategy development, performance evaluation, project allocation, and team member growth and development
- Managed design department budgeting, engaged in pre-sales activities, estimated projects, and oversaw payment and delivery processes
- Reviewed contract documentation to ensure compliance and accuracy
- Versatile experience across various industries including Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain, Legal, Sports
- Strong self-management and analytical skills, with a collaborative mindset and problem-solving passion
- Proficient in design process stages such as research, prototyping, testing, interviews, usability audits, and design systems
- Creative thinker with a knack for developing innovative interface concepts
- Seeking a role focused on product development and end-to-end design processes to drive profitability and product quality, with a track record of concept creation and market entry."
62042,"Beetroot Academy (2023-now)
- Experience in writing short first letters, finding candidates using search systems such as Boolean Search and X-RAY search, and conducting interviews.

Web designer, UX/UI designer (freelancer) (2020-now)
- Completed projects include a website for Fortified Capitals (an exchange trading platform), a landing page, business card creation, and a Smart Home mobile app.

Partner Ukraine LLC (2020-2023)
- Personal assistant and project manager (part-time)
- Responsibilities include maintaining project documentation, negotiating contracts, finding solutions to recurring problems, setting tasks for project participants, monitoring implementation, team motivation, working with suppliers and customers, creating and implementing business processes (BPMN) for all structures and departments.

LLC Trade House Alfa-Komplekt EKB (2018-2020)
- Deputy General Director for Quality
- Responsibilities include quality control of supplied products, carrying out reclamation work, developing and implementing the organization's QMS policy and goals, preparing documents for obtaining necessary Certificates and Licenses, and organizing events for participation in exhibitions, conferences, seminars, etc.

Alfa-Sert LLC (2015-2018)
- Marketer
- Responsibilities include working with company branding, preparing and launching advertising, developing product catalogs, creating POSM materials, and working with contractors such as designers, web developers, printing houses, and exhibition organizers.

Albion Trading Company LLC (2012-2014)
- Marketer"
63086,"EXPERIENCE:
- Web Designer at XYZ Company, 06/2019 - present
- Responsible for creating user-friendly and visually appealing website designs using Sketch, Figma, Adobe Photoshop, and Adobe Illustrator
- Collaborated with cross-functional teams to ensure design consistency and quality
- Conducted user research and testing to optimize website usability and functionality

EDUCATION:
- LevelUP School – UI/UX- Web Designer, 10/2018 – 04/2019
- Spalah IT-School – UI/UX- Web Designer, 05/2018 – current time

SKILLS:
- Proficient in Sketch, Figma, Adobe Photoshop, and Adobe Illustrator
- Quick learner with the ability to adapt to new software and processes efficiently."
63087,"Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator, and Figma
- Strong soft skills developed through restaurant industry experience: adaptability, sociability, conflict resolution, openness to feedback, discipline, flexibility

Objective:
Seeking opportunities to further develop skills and knowledge under the guidance of experienced designers, committed to contributing to the success of a team, mentor, or company."
83710,"Experience:

- Designed the website for a blockchain trading company from scratch
- Created a corporate interactive notebook for an employee's anniversary in the company
- Designed Instagram corporate posts that served as examples for future posts
- Created an animation for a case on Behance

Skills:

- Graphic design
- UI/UX design
- Web and mobile app design
- Branding and corporate product design
- Banner, printout, and poster design
- Logo design
- Ability to work with various clients and solve their problems

Looking for:

- Challenging tasks in a friendly team environment
- Structured, clear tasks with adequate deadlines
- Willingness to learn and receive feedback from experienced designers and business analysts."
83711,"- Experience creating newsletters for three different target groups
- Proficient in creating graphic elements for websites and social networks
- Skilled in developing marketing plans and providing analytical analysis of company advertisements
- Worked on medical aid infoline for refugees from Ukraine
- Managed social media accounts for Medimost and subsidiary projects."
86666,"I’m a Web Designer with over two years of experience working for a digital marketing agency. My expertise lie in creating modern, responsive corporate websites and landing pages that are both visually appealing and user-friendly. As a Web Designer, I honing skills in designing digital experiences that meet the needs of clients and their customers. I'm proficient in a variety of design tools and software. Desire to become a UI/UX Designer, understanding that UI/UX design is crucial to creating effective digital experiences, and want to expand my skillset."
87779,"Bank Gutmann: Design and Digital Marketing
Deutsche Börse: Global Relationship Manager, Sales, Client Services
727.ventures: Growth Assistant/ Product Manager."
97622,"UI/UX Designer with 1.5 years of experience designing for desktop and apps. Skilled in creating illustrations, graphics, and content for books, booklets, and posts for 3 years. Proactive in finding the best solutions for clients through face-to-face communication, project roadmap creation, and design matrix creation. Proficient in studying user experience, developing empathy maps, user scenarios, and creating clickable prototypes. Experienced in web and mobile application designs and familiar with their basic patterns of behavior. Dedicated to creating clear, easy-to-use, and attractive designs to enhance the customer experience."
98134,"Education:
- Master's Degree

Skills:
- Proficient in Illustrator, Photoshop, Web Design
- Completed course in animation and motion design in After Effects

Experience:
- Project Manager at NGO (3 years)
- Analyzed, planned, solved problems, and worked to achieve results

Objective:
- Seeking work or trainee program for junior UI/UX designers in IT for professional growth and new experiences."
98135,"I am a UI/UX designer with 1+ years of experience. I have experience in employing industry and design best practices throughout the website build process, analyzing user behavior, detecting and troubleshooting UX issues, creating prototypes in Figma for landing pages, working with style, selecting fonts, colors, and illustrations, ensuring website functionality across devices (desktop, mobile, tablet), and creating logos. I am seeking new opportunities to further develop my skills and gain additional experience."
98136,"UI/UX Designer with 1.5 years of experience using Figma and Adobe Photoshop. Proficient in English.

Freelance experience includes working on various small projects for 8 months.

Currently employed as a UI/UX Designer for a start-up for the past 4 months, focusing on an online clothes shop for the EU market. Collaborating with a team consisting of a Product Manager, 2 developers, and one QA.

Additionally, working on UI/UX design for a British clothing store for the past two months. Responsibilities include creating prototypes, layouts, UI design, and UX design."
98137,"I am a beginning UI/UX designer from Lviv, Ukraine. I graduated from Projector Institute - Web Design Beginning course and completed two online courses on the basics of UI and UX design on Udemy.com. I also received mentorship from Valentine Skliarov, Lead Designer at Cieden. My goal is to assist enterprises in designing and launching new digital products or redesigning existing projects. I prioritize user-centered design principles to ensure products are easy to use. I am a fast learner, responsible, sociable, and motivated to continuously increase my knowledge and skills."
98138,"I am a detail-oriented individual who values cleanliness and organization. I excel in working collaboratively with others and am able to quickly adapt and learn new skills. While I do not have direct experience in commerce, I have created various projects for educational purposes and test tasks, including designing landing pages and authorization forms using Figma. I am proficient in Adobe Photoshop for photo editing and have some experience with Adobe Illustrator. My knowledge extends to typography, grids, color theory, and usability principles. I am passionate about generating innovative ideas and implementing user-friendly designs that are both simple and aesthetically pleasing. Currently, I am expanding my skills in Webflow and enhancing my English proficiency."
98171,"UI/UX Designer with one year of experience working as a freelancer and in a team on a startup. Skilled in Figma, Photoshop, Illustrator, AutoCad, and Blender. Proficient in photography and music. Strengths include being ambitious, proactive, cooperative, polite, and creative. Weaknesses include diligence, modesty, and demandingness. Looking to collaborate on creative projects."
98172,"Dmitry
UI/UX Designer

Passionate UI/UX Designer dedicated to creating modern and stylish designs. Constantly improving skills and seeking inspiration to deliver high-quality work on real projects."
98173,"Experience:
- Designed websites and mobile applications using Figma, Adobe Photoshop, Adobe Illustrator, and Coral Draw.
- Collaborated with other designers to ensure projects are completed on time and meet user needs.
- Stayed updated on the latest web design trends and technologies to enhance functionality and design of websites.

Projects:
- Designed web service for finding lost animals, GetPet, including competitor assessment, persona creation, user map, and user flow analysis. Worked on wireframes and interface design in a team setting.
- Redesigned the website of the Poltava music school, completely changing the interface to be more modern and user-friendly.

Objective:
Seeking a remote job with a flexible schedule in a company where I can exchange experience with other designers and create competitive, high-quality products."
98245,"Education:
- Completed design courses and defended thesis
- Currently enrolled in pro course

Experience:
- Conducted UX research, including audience research and competitor analysis
- Developed design system and UI kit, as well as prototyping and adaptive design
- Some experience with animation

Freelance Work:
- Worked as a freelancer for 6 months
- Created posters, rendered videos, and designed a logo for a dance festival."
98250,"05.2021 - 08.2021
Hillel (IT School)
Design Basic

10.2021 - 05.2022
Hillel (IT School)
UI/UX Design Pro

03.2016 - 05.2022
Innovation Group - Media Buyer/Marketer
Working with advertising networks, setting up and distributing traffic for advertising campaigns, preparing/creating creatives/landing pages, monitoring and analyzing the quality of advertising campaigns, campaign optimization.

01.2013 - 02.2016
Sprava - Account Manager
Building partnerships and strategic relationships with clients, developing accounts, introducing new customers, working closely with them, transferring them to regular customers, assisting in setting up SEO for successful monetization of partner accounts."
98251,"2022 Successfully completed the course “Basics of web UI development” on Prometeus.
2023 Successfully completed the course “UI/UX design basic” on Prometeus.

04.2017-12.2017 Aviation security
PLC «Master-Avia», Kyiv
Field of activity: Airport Passenger Safety
• A timely and systematic monitoring of the baggage;
• Work with different people.

03.2018-04.2019 Photographer at the registry office
The Svadba, Kyiv
Field of activity: Take a picture from a wedding.
• Taking pictures of bride, groom and guests in the wedding hall and in the photo studio;
• Retouching photo
• Selling photos;
• Making and printing a photo album layout.

09.2020-02.2022 Photographer in the studio
The Moment, Kyiv
Field of activity: Photo sessions, retouching, photo album design.
• Taking pictures of a group of people;
• Retouching photo;
• Teamwork.

03.2023 to now. UX/UI Designer
Freelance
Field of activity: user research, wireframes, user flow, mockups, prototype, user persona, figma."
98252,"VBakery
- Developed a website for a sweets lover platform
- Created a catalog of pastries and cakes for users to view and order
- Implemented a designer tool for users to customize their confectionery
- Enabled users to leave feedback and register for a personal account
- Managed user accounts for storing favorite sweets and order history
- Provided information about the bakery and location on the website

Dim Kultury
- Designed a website to attract investment in local monument renovation and cultural center creation
- Planned the transformation of the oldest nightclub into a youth center for day and night activities
- Organized a cultural center to unite financially stable social business projects
- Developed a common urban space in a house yard with a green theater, summer stage, and food court."
98253,"06.2023 - Present
Baza Trainee Ukraine - Team Lead of designers for website projects for Volunteer organization ""4.5.0"" and ""1000+1 song. Kolyskovi."" Finalist of Hahathon 4.0: Ukraine Heritage Edition project. Proficient in Figma, Trello, Slack, Discord, and Time tracking.

01.2023 - 06.2023
CURSOR Education - Conducted stakeholder interviews, competitor analysis, user research, SWOT analysis, CJM, IA. Developed wireframes, UI design, and prototyping for e-commerce platform for real craft business."
98254,"- Completed UX-UI design course, mastering fundamentals of design and Figma tool
- Redesigned website interface to improve user-friendliness
- Created social media banners for charitable organization
- Structured webpage for Fitness Coach to attract clients
- Designed landing page for handmade artist with natural colors and parallax animation
- Developed mobile app for selecting gifts and sending them with flowers on specific occasions

Skills:
- Interactive design
- Development of landing pages, mobile applications, and web services."
98255,"- Mobile Design for food delivery mobile service, including UX Research, Wireframing, UI Design, Prototyping, and launch on Behance.
- Team project full cycle design for PetSearch webservice, involving UX Research, creating Persons, User Flows, JTBD, CJM, Wireframing, UI Design, Adaptive, Prototyping, and launch on Behance."
98256,"1. FlowerLower
- Landing page design for flower delivery company, including case study
- Conducted competitor analysis and research
- Created high fidelity wireframes
- Developed UI style guides including typography, responsive layouts, color palette, and buttons

2. Mimino
- Redesigned the site for Georgian cuisine, including case study
- Conducted competitor analysis and research
- Created high fidelity wireframes
- Developed UI Kit including typography, responsive layouts, color palette, and components
- Prototyped the design
- Adapted design for mobile and tablet devices

3. Wanderstay
- Collaborated on a team project to create a Couchsurfing web-service, including case study
- Conducted competitor analysis and research
- Utilized design thinking methodologies
- Developed JTBD and user personas
- Created Information Architecture and User Flow
- Designed CJM, wireframes, dashboards, and Page 404
- Implemented Paralax design
- Adapted design for mobile and tablet devices
- Prototyped the design"
98257,"- Developed a web cleaning service independently, overseeing all stages from competitor analysis to design.
- Led the redesign of a barbershop website ""BARBER"", conducting competitor research and target audience analysis before moving on to design to ensure user needs were met.
- Successfully redesigned the site ""India Cafe"" by researching the target audience, identifying needs, and improving design for enhanced usability.
- Created a web service ""CLEAN"" to connect cleaners with clients, involving all UX/UI stages such as user flow, prototyping, sitemap, payment pages, and design.
- Seeking a position in a company with a focus on teamwork, positivity, and purpose, with the ability to work both in-office and remotely as needed.
- Eager to continue learning and advancing in my profession, with a strong desire to progress rapidly in my career."
98258,"Master’s degree in law received in 2018. Currently studying UI/UX design. Strength in responsibility.

1. Notary assistant: Worked with documents, prepared contracts, provided client consultations, worked with electronic registers, and conducted business correspondence. - 3 years.
2. Customer support manager: Provided service regarding site issues, transferred requests to relevant departments. (Gambling) - 1 year.
3. Head of Quality Control Department of Customer Support (Cyprus) at Rocket delivery. - 6 months.
4. Completed UI/UX design course at DanIT academy."
98259,"I conduct competitor analysis, create user flow, site maps, mood boards, develop landing pages, websites, and web services, prototyping, and adaptive design. I was part of the team for the ""OURPAWS"" project, redesigning a search service for missing animals using Figma, Adobe Illustrator, and Adobe Photoshop. I also worked on the LA MESA project, a mobile application for booking tables in restaurants, using the same technologies. Eager to continue developing skills in Adobe Illustrator and vector graphics. Effective communication and collaboration with colleagues and management are important to me."
98260,"- Managed and executed 2 successful projects: a landing page for a flower shop ""FlowerLover"" and a website redesign for Alaska Pete's restaurant
- Conducted competitor analysis and identified target audience to create user-friendly designs
- Developed clear interfaces and worked on User Interface components to enhance user experience
- Attracted more customers through well-thought-out design strategies."
98261,"Team Leader in the projects ""See World"", ""GenieTable"", and ""Nice view"". Responsible for overseeing the development and implementation of user-friendly interfaces for search and booking services. Led a team in creating designs that catered to user needs and facilitated easy navigation. Utilized creative concepts and color schemes to attract users and enhance user experience. Designed landing pages that effectively showcased residential complexes and encouraged client engagement. Skilled in project management, team leadership, and user interface design."
98262,"During my studies, I completed 3-PET projects which included analyzing competitors, researching company information, task and idea analysis, mood board creation, minimalism site and landing page development, CRM system and mobile application development, prototyping, and responsive design.

1. Redesigned a tattoo salon website as an individual project at GoIT, selecting references, analyzing the audience, redesigning the site, creating a UI-kit, adapting it for tablet and mobile versions, and creating links.
2. Created a Landing Page project, selecting references, creating a moodboard, UI-kit, and the main page of the site independently.
3. Collaborated on a web service project to help organize a stay in another country inexpensively, selecting references, analyzing the audience, preparing USER FLOW and CJM, choosing a design system, adapting for tablet and mobile versions, and creating links.

Skills:
- Results-oriented with a focus on design and teamwork
- Ability to work in a respectful and friendly atmosphere
- Experience with partially remote work
- Participation in corporate training and development opportunities within the company."
98263,"- Experienced in full cycle design, including redesigning a Tattoo Company website to increase conversion and customer base
- Developed Easy Yoga web service from scratch, focusing on simplifying communication between yoga teachers and students
- Created a mobile application aimed at improving performance by helping users plan their day and monitor physical and mental health."
98264,"Team leader and UX/UI designer in the project ""Travelhaven"". Developed 2 own Pet-projects. Participated in a social project: development of a website for volunteers. Redesigned the website for Alaska Pete's Roadhouse Grille, conducting competitor analysis to inform successful solutions. Created a web service interface for a project focused on organizing affordable stays in other countries, targeting students and young people looking to explore the world on a budget."
98265,"Team Leader in the project ""SweepUp Cleaning Web-service"" and addendum project for GoIT with landing design implemented by students-developers.

1. TimeWell Daily Planner Mobile App
- Conducted analysis of competing applications
- Created User Personas and User flows
- Developed high-fidelity prototypes and UI design
- Detailed animation in Protopie
- Instruments: Figma, Photoshop, Illustrator, Protopie

2. SweepUp Cleaning Web-service
- Market and competitor analysis
- Brainstorming, User Personas, JTBD, CJM, and User flows development
- Prototypes, UI design, relinking, and adaptation
- Team project within existing design system
- Instruments: Figma, Photoshop, Illustrator

3. Bravo Furniture Site Redesign
- Market analysis and competitor research
- Screen's prototyping, UI design, responsive layouts for mobile and tablet versions
- Development of a UI-kit
- Personal pet-project
- Instruments: Figma, Photoshop, Illustrator

4. Citroen C4 Landing Page
- Market analysis and competitor research
- Creation of moodboard, wireframes, and final animated interface
- Developed as coursework using Figma."
