,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
56,"1. Бариста  
MyCOFFEE / травень 2018 - вересень 2018  
Набула навичок спілкування з різними клієнтами.  

2. Заступник голови студентського самоврядування  
ГО ""StudHeads"" / лютий 2020 - по теперішній час  
Обов'язки:  
- Оформлення сторінки в соціальній мережі  
- Планування діяльності (генерація ідей, складання чітких планів заходів, підготовчих заходів та розподіл обов'язків)  
- Організація команди  

3. Курсова робота: ""З'ясування технічних можливостей готового веб-додатку для розповсюдження навчальної інформації"" / Лютий 2022 - дотепер  
Проект у процесі доопрацювання. Працюю над розміщенням сайту на хостингу та додаванням нових можливостей для користувачів.  

4. Курсова робота: ""Розробка 3D моделі"" / Жовтень 2021 - січень 2022  
Розробив 3D модель безпілотника в SolidWorks.  

Маю інтерес до розвитку в напрямку Project Manager, особливо в ІТ компанії. Об'єктивно підходжу до пошуку роботи, готова розпочати з посади помічника чи стажиста, головне — можливість розвитку. Пріоритет — вакансії в ІТ напрямку."
57,"Міністерство закордонних справ України, дипломат  
Листопад 2020 - Липень 2021  

Обов’язки:  
- Аналіз тенденцій у міжнародних відносинах  
- Планування розвитку подій  
- Переклад  
- Організація зустрічей та участь у переговорах з іноземними партнерами та українцями  
- Участь у стратегічних сесіях щодо розроблення політик  

Львівська міська рада, провідний спеціаліст  
Листопад 2017 - Листопад 2020  

Обов’язки:  
- Переклад  
- Підготовка аналітичних та інформаційних матеріалів  
- Організація зустрічей з іноземцями, поїздок закордон  
- Участь у переговорах  
- Керування проєктами та практиками стажерів/практикантів  

ГО «Молода дипломатія», президент  
Травень 2016 - Травень 2017  

Віце-президент  
Травень 2015 - Травень 2016  

Обов’язки:  
- Координування роботи ради організації  
- Допомога у реалізації проєктів, конференцій, заходів  
- Розвиток студентів  
- Організація зустрічей  
- Відкриття нових підрозділів в Україні  
- Забезпечення участі української сторони в роботі міжнародної організації “International Week”  

Маю намір продуктивно проводити свій робочий час, реалізовувати цікаві проекти, постійно навчатися новому та мати можливість професійно розвиватися."
58,"**Резюме**

**1) Посада: Sales Manager**  
Основні обов'язки:  
- Управління клієнтами за допомогою розробленої воронки продажів  
- Контроль відвантажень товару та розрахунків з покупцями  
- Аналіз ринку, конкурентів та цільової аудиторії  
- Забезпечення документообігу при обслуговуванні клієнтів  
- Підготовка звітів та накладних  

**2) Посада: Researcher-Analyst**  
Основні обов'язки:  
- Пошук та обробка інформації  
- Аналіз даних  
- Впровадження нових технологій та ініціювання нових проєктів на основі принципів компанії  
- Підготовка звітів  
- Презентація результатів досліджень  

**3) Посада: Інженер-технолог**  
Основні обов'язки:  
- Аналіз конструкторської документації та опрацювання креслень  
- Технологічний супровід процесів складання вузлів та агрегатів вертолітної техніки, написання технологічних карт  
- Підбір оснащення та інструменту  
- Підготовка паспортів деталей і виробів  

**Володіння програмами та застосунками:**  
Bitrix, 1C, ClickUp, Notion, Jira, Slack, Asana, Google (весь пакет додатків), Microsoft Office (весь пакет додатків), інженерні програми: програмне забезпечення для автоматизованого проектування (CAD): Siemens NX, CATIA, Kompas 3D; Mathcad."
59,"Вища освіта:  
Національна академія статистики, обліку і аудиту (НАСОА) (2006-2012)  
Спеціаліст. Факультет «Облік і аудит»  
Курси: QA Light “IT Project manager” 2022 р.  

Досвід роботи:

1. ТОВ «Новотрейдінг»  
Менеджер по логістиці  
грудень 2020 – по теперішній час  

2. ТОВ «Redfort»  
Керівник складу  
жовтень 2018 – липень 2020  
   - Прийом, облік, раціональне розміщення та збереження товару на складі  
   - Облік в базі 1С  
   - Моніторинг залишків та аналіз необхідної кількості товару на складі  
   - Проведення інвентаризації  
   - Управління командою до 10 осіб  
   - Планування задач кожному члену команди на певний період  

3. ТОВ «Європромоптторг»  
Керівник виробництва  
червень 2016 – вересень 2018  
   - Управління командою на виробництві  
   - Організація безперебійного виробництва товару  
   - Ефективне виконання виробничих норм  
   - Контроль якості товару відповідно до інструкції  
   - Контроль технічного стану обладнання  
   - Щоденний облік готового та проданого товару  
   - Щомісячні звіти про роботу виробництва  "
60,"2014-2015  
Sales manager, Приватбанк  

Обов'язки  
- Робота з клієнтами: виявлення потреб, обробка заперечень.  
- Консультування та адаптація продуктів під індивідуальні обставини.  
- Вирішення проблемних ситуацій.  

Цей досвід розвинув навички комунікації, управління запереченнями та створення довіри клієнтів до продуктів.  

2015-2017  
Самозайнята особа (Бізнес-посередник із пошуку оптових зв'язків)  

Обов'язки  
- Активний пошук торгових точок і аналіз конкурентів.  
- Складання договорів і нагляд за реалізацією продукції.  
- Ефективне вирішення проблемних ситуацій і стратегічне ціноутворення.  
- Глибоке розуміння запитів клієнтів.  

Протягом 2 років успішно організовував пошук оптових постачальників і точок збуту продукції. Цей досвід розвинув навички пошуку партнерів, аналізу ринку, управління контрактами та клієнтської взаємодії.  

2020-2022  
Самозайнята особа (Бізнес-консультант)  

Обов'язки  
- Організація і координація усіх аспектів проєкту.  
- Реалізація концепції та дизайну.  
- Робота з інвесторами.  
- Управління бюджетами близько 50к$.  
- Налаштування операційної діяльності команди.  
- Вирішення конфліктних ситуацій.  
- Автоматизація бізнес-процесів закладів.  

Успішно запускав офлайн проєкти в готельно-ресторанній сфері. Мої зусилля допомогли досягти високого рівня клієнтської задоволеності та збільшення прибутку.  

Шукаю роботу для зростання як особистості та професіонала. Ціную видимі результати та командну роботу. Готовий вчитися, втілювати проєкти та розвиватися як фахівець в управлінні проєктами."
61,"**Досвід роботи:**

**2016-2020 р.**  
**АТ «Оператор газорозподільної системи «Луганськгаз», заступник головного бухгалтера**  
- Ведення податкового обліку з ПДВ, податку на прибуток, податку на нерухомість, податку на землю (оренда землі), екологічного податку.  
- Складання та подання звітності.  
- Взаємодія з податковими органами.  
- Оскарження податкових повідомлень-рішень у адміністративному та судовому порядку.  
- Участь у тендерному комітеті для державних закупівель.  
- Участь у складанні фінансового плану підприємства.  

**Державна податкова інспекція у м. Лисичанську ГУ Міндоходів у Луганській області**  
**Старший державний податковий ревізор-інспектор, головний державний податковий ревізор-інспектор, головний державний ревізор-інспектор, заступник начальника відділу податкового аудиту** (Травень 2009 - лютий 2015)  
- Участь у планових та позапланових перевірках суб'єктів господарювання щодо дотримання податкового, валютного та іншого законодавства, а також перевірках за постановами слідчих та правоохоронних органів, перевірках по ліквідації підприємств.  
- Розгляд заперечень до актів перевірок суб'єктів господарювання.  
- Участь у судовому оскарженні результатів перевірок.  
- Складання національного плану перевірок фінансових установ та суб'єктів ЗЕД.  

**Додаткова інформація:**  
- Вільне володіння українською та російською мовами, базове знання англійської.  
- Досвідчений користувач ПК (Word, Excel, MeDOC, 1С:Бухгалтерія 7,8, «Клієнт-банк», «Вчасно», «Електронний кабінет платника податків», Інтернет).  
- Займаюся самоосвітою, слідкую за змінами законодавства України, беру участь у вебінарах щодо змін бухгалтерського та податкового обліку.  
- Хобі – читання літератури.  

**Бажання:**  
- Прагну працювати віддалено.  
- Цікавить можливість спробувати себе в цій сфері.  
- Готова бути інтерном."
62,"Strategic-minded Project Manager with extensive experience in leading projects across Marketing, Events, PR, and social & political spheres. Excellent communicator, ready to tackle challenges.

2019-Present Freelance Software Test Engineer  
- Conducting testing on platforms such as TestIO, UTest, and TestFlight.

2004-2018 Marketing & PR Specialist  
Golden Collection of Various Companies  
- Progressed from Office Manager to National Coordinator  
- Managed accounts and coordinated projects in Marketing, PR, Event, BTL Production, and Manufacturing  
- Trained personnel

2009-2011 Host/Facilitator/Journalist/Team Leader  
World Sport Media  
- Hosted meetings and facilitated teleconferences  
- Led a team of 5  
- Conducted reports and developed project conclusions  
- Executed confidential assignments

Aspiring to apply and expand my knowledge, while balancing office and remote work to accommodate motherhood."
63,"[Ваше ім'я]

[Контактна інформація]

---

**Досвід роботи**

**Менеджер ІТ-проектів**  
DK Services  
2020-2021  
- Управління проектами в ІТ-сфері, координація командної роботи.

**Головний аккаунт-менеджер українського сегменту**  
WoodandHearts  
2021  
- Відповідальність за управління ключовими клієнтами та розвиток українського ринку.

**Керівник ІТ-департаменту**  
Інфоконтроль  
2021-2022  
- Керівництво ІТ-департаментом, управління командами розробників до 6 осіб.

**Навички**

- Управління проектами та командами
- Робота з інструментами: Jira, Confluence, Miro, Figma, Slack, VS Code

[Освіта]

[Додаткова інформація]"
64,"2 проекти на курсі IT Project Management з реальними замовниками Boosta і Podushka.ua.

Boosta: Розробка таймлайну для проєктних активностей компанії з використанням методу критичного шляху. Внесення пропозицій щодо скорочення часу виконання проєкту. Інструменти: Miro, Gantter.

Podushka.ua: Вирішення проблем доставки та моніторингу замовлених товарів. Інструмент: Miro."
65,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Лідерська позиція в інститутському рейтингу успішності в навчанні.
- Член Студпарламенту ІЖ КНУ.

Досвід роботи:
- Копірайтер у креативній онлайн-студії копірайтингу (5 місяців).
  - Ведення сторінок в Інстаграм та Телеграм.
- Практика project manager у Фундації Дарини Жолдак (Fedoriv group).
  - Організація лекцій для підлітків з відомими людьми в рамках проєкту КарочєХаб.
- Проджект-менеджер проєкту Інституту журналістики КНУ з пошуку вакансій для студентів.

Навички та досягнення:
- Сертифікат про участь у міжнародному проєкті Media Dialog 2020.
- Участь у міжнародному проєкті Media Dialog 2020 як представник блог групи.
- Позитивний відгук від роботодавця з попереднього місця роботи.
- Курси з копірайтингу та створення сайтів на Тільді.

Мета:
Шукаю вакансію для початківця з перспективами професійного розвитку, бажаю працювати у команді, що підтримає та допоможе, прагну зробити свою роботу успішною та продуктивною."
66,"[Ваше ім'я]

[Контактна інформація]

РЕЗЮМЕ

Мета:
Прагну примножити свій практичний досвід, навчатися та розвиватися у новій діяльності.

Кваліфікація:
- 6+ місяців досвіду тестування програмного забезпечення, веб та мобільних додатків.
- Вміння помічати те, що інші не помічають.

Навички:
- Знання документації для ручного тестування: тест-план, тест-кейси, тестовий звіт, звіт про помилки, чек-лист.
- Розуміння методологій QA, включаючи Agile.
- Виконання тестових активностей: функціональне тестування, нефункціональне тестування, тестування, пов'язане зі змінами.
- Досвід роботи з системами відстеження помилок: Atlassian Jira, Redmine, Mantis.
- Досвід роботи з програмним забезпеченням для управління тестовими випадками: Testrail, TestLink.
- Досвід автоматизації QA з використанням Selenium.
- Знання SQL.
- Знання HTML, CSS.

Освіта:
[Ваша освіта, якщо є]

Досвід роботи:
[Ваш досвід роботи, якщо є]

Додаткова інформація:
[Будь-яка інша релевантна інформація]

[Дата]"
67,"Ключові досягнення:
- Відкриття офісу компанії.
- Створення дилерської мережі.
- Набір персоналу та формування команди.
- Впровадження методології waterfall у компанії.

Досвід:
- 8 років досвіду управління великими складними проектами в агросфері, з акцентом на схожість структур проектів в агросфері та IT з точки зору менеджменту.
- Досвід управління проектами в IT: створення сайту представництва компанії, виконання ролі РМ зі сторони замовника, а також участь у проекті створення мобільної аплікації на курсах з IT PM."
68,"[Ваше ім'я]

[Контактна інформація]

Професійний досвід:

- 9 років досвіду роботи на посаді топ-менеджера в ресторанному бізнесі.
- Управління документацією: фінансовий план, план проекту, матриця відповідальності, стратегія/ризики, P&L, система CRM.
- Застосування методологій Scrum, Agile, Waterfall.
- Досвід роботи з інструментами: Postman, Jira, JSON.
- Робота з тестовою документацією: Test Plan, Test Case, Bug Report.

Технічні навички:

- Знання CSS, SQL, HTML, HTTP.

Мета:

- Бажання розвиватися та стати Senior Project Manager."
69,"Координування відділу пошуку клієнтів  
Комунікація із клієнтами  
Контроль роботи відділу продажів  
Аналітичні здібності  
Командний гравець  
Вмію планувати та керувати часом  

Закінчила курс ""Основи проєктного менеджменту""  

Account manager  
Maxi Group Kyiv | Лютий 2019 - по поточний час  
Київ | 2020-2024  
- Перевірка діалогів з клієнтами та їх анкет  
- Контроль якості ведення клієнтів відділами продажів  
- Передача уточнень та запитів між відділами пошуку клієнтів та відділами продажів  
- Робота з CRM системою  
- Складання звітів  

Account manager  
Maxi Group Kyiv | Жовтень 2018 - Лютий 2019  
- Перевірка діалогів з клієнтами та їх анкет  
- Уточнення деталей співпраці у телефонному режимі  
- Допомога в розробці методологій для покращення проєкту  "
70,"Успішно реалізовано 22 проекти: http://na-proby.com/

Social Media Marketing program from the Digital Marketing Institute (Ireland). Certificate Social Media Marketing Campaign Manager Influencer marketing  
Медіакомпанія ""Бурда-Україна"" (червень 2018 - теперішній час)

- Планування, контроль та координація запуску проекту на сайті.
- Комунікація з клієнтами та підтримка проекту протягом усього періоду (від 3-ох до 6-ти місяців).
- Контроль виконання KPI's.
- Управління пріоритетами в проекті, виявлення ризиків і управління ними на постійній основі.
- Забезпечення правильного розподілу ролей і обов'язків між членами команди проекту.
- Складання та забезпечення інформацією про хід виконання проекту його учасників.
- Проведення аналізу після проекту і витяг уроків після кожного проекту з метою подальшого застосування в нових проектах.
- Робота з дизайнерами, редакторами, креативщиками, логістичними кампаніями.
- Підготовка пропозицій та фінальних звітів по завершенню проектів для клієнтів.
- Участь в розробці пропозицій нових проектів.

SMM:
- Створення текстового та графічного контенту.
- Налаштування таргетингу.
- Контроль виконання KPI's."
71,"Допомогла компанії зібрати команду з нуля та налагодити процес роботи. Успішна локалізація глобальної бази інформації про товари.

Координація та управління командною роботою місцевого підрозділу перекладу: збір вимог, взаємодія з зацікавленими сторонами, узгодження термінів, встановлення робочого процесу, відстеження термінів.

Звітність по проектах, підготовка звітів, аналіз досягнень, підготовка календаря локалізації для підрозділу перекладу IKEA Retail Ukraine, управління бюджетом проекту.

Участь у перегляді пропозицій та контрактів з зовнішніми постачальниками послуг перекладу (перекладацькі агентства та зовнішні фахівці). Участь у тендерах, підготовка та аналіз вимог тендеру.

Основний контакт країни для матричних організацій (штаб-квартира) у Швеції для підтримки локалізації.

Участь у процедурах набору зовнішніх перекладачів: формування та контроль вимог, участь в інтерв'ю з кандидатами.

Ключові досягнення:
- Налагодження та управління підрозділом перекладу (команда з 8 осіб) для відкриття магазину IKEA в Україні.
- Успішне завершення локалізації глобального інструменту інформації про продукти для України в межах встановлених складних термінів.
- Впровадження гнучких практик і принципів для підрозділу перекладу.

Нові технології, навчання, можливості кар'єрного росту."
72,"Copywriter  
Фріланс | Грудень 2022 - дотепер  
- Написання текстів на ІТ тематику  
- Самостійне дослідження тем та технологій  
- Інтеграція ключових слів, SEO оптимізація  

Керуюча магазину прикрас  
Інстаграм | Листопад 2022 - дотепер  
- Планування та запуск проекту  
- Фінансова звітність  
- Ведення клієнтської бази  

Менеджер гуманітарного штабу  
Центр наук, Тернопіль | Березень - Листопад 2022  
- Ведення обліку, робота з документацією  
- Контроль за процесом видачі одягу та вжиття заходів щодо його вдосконалення  
- Підтримка внутрішньо переміщених осіб у вирішенні їхніх питань  
- Онбординг нових волонтерів та проведення інструктажу  

Волонтер приймальної комісії  
ХНУРЕ, Харків | Липень - Серпень 2021  
- Інформування про наявні спеціальності та умови вступу  
- Допомога з укладенням контракту та іншими організаційними питаннями  

Освіта та професійний розвиток  
- Закінчила курс із проджект-менеджменту  
- Ознайомлююсь з професійною літературою  
- Шукаю можливість застосувати знання на практиці в якості помічника/асистента  

Волонтерський досвід  
- Виконання обов’язків заступника вожатого у літньому таборі  
- Волонтерство у гуманітарному штабі  
- Робота з людьми з різними бекграундами, розуміння людської психології та мотивації  

Навички  
- Відповідальність та швидке навчання  
- Мультизадачність та організація процесів  
- Здатність працювати у команді та ефективно комунікувати  
- Відкритість до вивчення нового та знаходження ефективних рішень  "
73,"Успішно підготував та провів у складі команди понад 15 виставкових заходів, які охоплювали більше 500 компаній-учасників, залучали понад 30 000 професійних відвідувачів, займали понад 35 000 кв.м. експозиційної площі та приймали понад 40 іноземних делегацій.

Організував власний бізнес, виступаючи співзасновником, від етапу реєстрації ТОВ та розробки бренду до виходу на ринок і формування лояльної аудиторії.

Організував Національні павільйони та колективні експозиції на міжнародних заходах.

Успішно залучав провідні компанії як ключових партнерів заходів.

Маю понад 10 років досвіду в управлінні та координації проектами. Володію високими організаторськими здібностями та орієнтований на результат. Успішно вів кілька проектів одночасно. Можу ефективно працювати як у команді, так і самостійно, як в офісі, так і віддалено. Керував командою до 5 осіб. Приділяв значну увагу додатковій освіті, поглибленню знань у проектному менеджменті та розумінню SDLC. Постійно працюю над розвитком особистих гнучких та технічних навичок."
74,"[Ім'я та контактна інформація]

Професійний досвід

Телебачення та кіно
- Ведуча та журналістка на телебаченні
- Режисер дубляжу теле- та кіно-продуктів (3 роки досвіду)

Копірайтинг та SMM
- Копірайтер та рерайтер статей для бігунів-спортсменів з 2019 року
- SMM-менеджер у біговому ком'юніті від Puma (1 рік)

Маркетинг та проджект-менеджмент
- Проджект-менеджер з маркетингу в рекламному агентстві (2022 рік)
  - Розробка та покращення рекламних пропозицій
  - Запуск реклами на платформі
  - Співпраця з брендами, блогерами та лідерами думок
  - Робота з відомими брендами, банками та виробниками

М'які навички
- Критичне мислення
- Висока самоорганізація
- Комунікаційні навички
- Стійкість до стресу
- Адаптивність, гнучкість
- Прагнення до нових знань"
75,"Fabiosa Media, Проєктний асистент  
1 рік 11 місяців  

Вела електронний документообіг та підтримувала робочі таблиці. Контролювала заповнення даних та коректну роботу формул. Була відповідальна за створення звітів за запитом та оформлення контенту для соціальних мереж.  

Досягнення: автоматизація робочих процесів, систематизація зберігання файлів, наведення порядку в робочих файлах та таблицях. Прагнула до ефективності та результативності для забезпечення максимальної продуктивності та досягнення цілей.  

СТК Авангард, Аналітик  
3 роки 4 місяці  

Досвід роботи в дистриб'юторській компанії, включаючи створення звітів за запитом. Успішна комунікація з торговими агентами, клієнтами та постачальниками для забезпечення ефективної співпраці та досягнення бізнес-цілей. Відповідала за внутрішню документацію команди та замовлення канцелярських товарів.  

Досягнення: автоматизація процесів та звітів для швидкої та точної обробки даних, зниження ризику помилок. Працювала уважно та детально для забезпечення якості та точності виконання завдань.  

Не розглядаю вакансії, пов'язані з продажами."
76,"Професійний досвід у студентських організаціях Національного технічного університету України ""Київський політехнічний інститут імені Ігоря Сікорського"" (понад 3 роки):

- Організація та підтримка понад 20 студентських заходів, включаючи «Intel-Техно Україна 2016-2017», «Intel-Техно Україна 2017-2018», «POLYTECO Україна 2018-2019», XVІ Всеукраїнський студентський фізичний турнір, Студентську олімпіаду з програмування «KPI-OPEN 2018» та інші розважальні події.
- Промоція заходів у соціальних мережах: Telegram, Instagram, Facebook.
- Волонтерська діяльність як асистент організатора на конференціях:
  - OWASP Ukraine'18
  - Intel-Techno Ukraine (2016, 2017, 2018)
  - BSides Kyiv (2019)."
77,"I am an experienced manager with a strong blend of leadership, management skills, communication acumen, and entrepreneurial experience. I have successfully led my own projects and am currently open to new opportunities in the IT domain. I have managed teams of up to 9 people across various industries, including medical, entertainment, NGO, and retail. I am interested in engaging projects, a dynamic team, and continuous skill development."
78,"Участь у проекті:
- Організація та контроль діяльності команди
- Впровадження системи організації та звітності
- Налагодження робочого процесу
- Впровадження нової системи управління завданнями

IELTS експерт:
- Підготовка учнів до міжнародного іспиту з англійської мови
- Мотивування студентів
- Надання чітких інструкцій щодо тесту
- Робота через Zoom, Skype та інші канали зв'язку

ESL Teacher - вчитель англійської мови (дистанційно):
- Планування і проведення занять загальної та бізнес англійської
- Робота з дорослими студентами різних рівнів
- Перевірка домашніх завдань
- Регулярний контроль прогресу учнів
- Робота на інтерактивній платформі
- Проведено більше 5000 занять
- Робота в методичному відділі
- Перевірка нових викладачів
- Використання Slack для комунікації викладачів

Тім лід у сфері холодних продаж (американський ринок):
- Здійснення дзвінків в різноманітні американські компанії
- Організація роботи команди
- Онбординг нових працівників
- Створення і перевірка дотримання робочого плану
- Використання CRM систем Zoho, Salesforce

Офіс-менеджер:
- Підтримка функціонування офісу
- Консультування клієнтів
- Підписання контрактів
- Ведення звітності та документообігу
- Забезпечення роботи працівників
- Вирішення кризових ситуацій

Мета на посаді Junior Project Manager:
- Працювати в команді та переймати досвід від досвідчених колег
- Розвивати навички через роботу над різноманітними проектами
- Взяти на себе відповідальність за виконання завдань
- Досягати поставлених цілей
- Активно навчатися та вносити вагомий внесок в проекти компанії"
79,"Працівник року 2012 у ПАТ КБ Приватбанк  
Сертифікат про закінчення курсів ІТ Projector у 2023 р  
Англійська мова рівень B1  

IT PROJECTOR ACADEMY, Project Management:  
- Написання user stories  
- Створення Lean Canvas  
- Робота з ризиками та стейкхолдерами  
- Робота з реальним замовником по проекту, комунікація  

PAT KB PRIVATBANK:  
- Обслуговування клієнтів  
- Залучення нових клієнтів  
- Робота з базами даних  "
80,"IT Юрист

Квітень 2021 – Серпень 2021 (5 місяців)  
Юридична компанія «Віглекс»  
- Управління клієнтськими проєктами, комунікація з замовниками з різних країн світу  
- Управління молодшим персоналом під час виконання завдань, контроль, постановка задач  
- Ведення електронного документообігу на підприємстві  

Юрист, Заступник керівника

Червень 2019 – Квітень 2021 (1 рік 11 місяців)  
Юридична компанія «Правова допомога»  
- Керування юридичним відділом (юристами та молодшими юристами), постановка та контроль задач, бюджетів, строків, часу роботи над замовленням  
- Контроль всіх замовлень компанії  
- Керування підбором та звільненням персоналу, проведення адаптацій юристів та їх розробка  
- Юридичне та кадрове обслуговування інших компаній, надання інших юридичних послуг  "
81,"Допоміг компанії вийти з кризи, залучивши нових великих клієнтів. Завдяки добре розвинутим навичкам багатозадачності, комунікабельності та управління проектами, успішно контролював та здавав більшість замовлень компанії.

Досвід роботи:
- Менеджер проектів у Astra Multimedia (виробництво типографії), 2 роки
- Курси з QA тестування, практика в невеликій команді тестування

Обов'язки:
- Написання технічних специфікацій (тест-кейси, чек-листи, звіти про помилки)
- Тестування веб- та мобільних додатків
- Увага до деталей
- Робота з термінами
- Вміння працювати в умовах багатозадачності та пріоритизувати завдання

Маю велике зацікавлення в IT як сфері майбутнього, прагну розвиватися в цьому напрямку."
82,"Найбільш значущі проекти: 

1. Впровадження мобільної камери спостереження на проводниках у приміському сполученні: від закупівлі камер до налагодження передачі даних та створення системи звітності, презентація матеріалів.
2. Модернізація з розробкою проекту сучасного вагономийного комплексу для приміського сполучення.

JSX “Ukrzaliznytsia”, регіональна філія “Придніпровська залізниця”.  
Остання посада: керівник виробничо-технічного відділу структурного підрозділу “Дніпровський локомотивний депо”.  
Участь у проектах:  
- Проект ""Вагонопромивний комплекс для електропоїздів""  
- Проект розробки програмного забезпечення ""Автоматизована система управління lockbrig""  

Особистий проект:  
Організація, регіональний контроль, пошук рішень у створенні системи контролю відеозапису на проводниках, від закупівлі до систематизації та передачі інформації кінцевому користувачу.  
Організував регіональний контроль за виконанням технічних завдань.  

Переваги роботи: злагоджений колектив, лояльне ставлення компанії до працівника, гідна оплата, відповідна соціальна програма."
83,Lemon.school - Курс з управління проєктами | Листопад 2021 - Січень 2022
