,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2
98314,"PROFESSIONAL SUMMARY  
Detail-oriented UX/UI Designer focused on creating seamless, intuitive user experiences for web and mobile applications. Experienced collaborating with cross-functional teams to deliver visually appealing, user-centered interfaces. Strong foundation in design principles, a keen eye for detail, and solid problem-solving skills, with a commitment to crafting impactful interfaces that resonate with users.

PROJECTS  

Table Tab — Mobile App Design | Jun 2023 – Aug 2023  
- Designed an app solution to book restaurant seats in a few clicks.  
- Conducted reference research and iterated on wireframes.  
- Compared and selected design systems based on product needs and usage.  
- Prototyped UI screens and delivered final design outcomes.  
- Developed a rewards UI option to encourage engagement and strengthen the overall user impression.

Host Radar — Project Design | Apr 2023 – Jun 2023  
- Designed a web service enabling visitors to exchange work for hosting services (accommodation, food, etc.) while traveling to new locations.  
- Conducted market and competitor analysis.  
- Gathered references to inform the work process.  
- Prepared wireframes and created animated prototypes.  
- Completed case finishing.

Mainsal Realty Company — Website Redesign | Feb 2023 – Apr 2023  
- Created a modern, user-friendly website to showcase services, foster customer loyalty, and support business growth.  
- Assessed an existing site that was overloaded and unclear.  
- Researched and compared competitors in the US market.  
- Redesigned the website to improve convenience and overall user experience.  
- Delivered the project from research through final design.

CAREER OBJECTIVE  
Continue developing UX/UI design skills and knowledge while contributing to innovative, user-centric projects. Collaborate with senior designers and stakeholders, take on new challenges, and deliver compelling user experiences that exceed expectations."
98315,"PROFESSIONAL SUMMARY  
UI/UX designer and recent Plural Code Academy graduate with hands-on experience designing web and mobile interfaces. Skilled in Figma and core UX methods including user research, wireframing, prototyping, and usability testing. Currently an intern at a software agency, contributing end-to-end design work across multiple client projects.

EDUCATION  
Plural Code Academy — Graduate

EXPERIENCE  
UI/UX Design Intern — Software Agency (Current)  
- Designed and completed website and mobile views for a cryptocurrency platform  
- Created a comprehensive website design for a resort center  
- Applied UI and UX design principles across multiple client projects  

PROJECTS  
Mobile App for Salon — Capstone Project, Plural Code Academy  
- Designed a complete mobile application as a capstone project  
- Applied UI/UX principles to a real-world client solution  

SKILLS  
- UI/UX Design  
- Figma  
- User Research  
- Wireframing  
- Prototyping  
- Usability Testing  
- Web Design  
- Mobile Application Design  
- Problem-Solving  
- Team Collaboration  
- Project Management  

PROFESSIONAL ATTRIBUTES  
Quick learner committed to delivering high-quality work and meeting deadlines in collaborative team environments."
98316,"PROFESSIONAL SUMMARY  
Marketing professional with over two years of experience transitioning to UI/UX design. Combines creative and strategic thinking to deliver visually appealing design solutions aligned with client needs and business objectives. Strong understanding of user personas and pain points informed by marketing experience across various industries. Experienced in project management, team collaboration, and client communication.

SKILLS  
- UI/UX Research & Design  
- User-Centered Design  
- Empathy-Driven Solutions  
- Strategic Thinking  
- Project Management  
- Team Leadership  
- Team Collaboration  
- Client Communication  
- Figma  
- Adobe Photoshop  
- Protopie  

PROFESSIONAL EXPERIENCE  
Marketing Professional | Over 2 years of experience  
- Delivered visually appealing design solutions aligned with client needs and goals  
- Developed expertise in understanding user personas and pain points  
- Managed projects and maintained effective communication with diverse clients across various industries  
- Applied creative and strategic skills to support business objectives  

PROJECT EXPERIENCE  
Travel Service Website  
- Conducted UI/UX research, design, adaptation, and prototyping  
- Collaborated with a team of two designers to deliver project objectives  
- Managed project timelines effectively  
- Created thoughtful design solutions to connect users from around the world  

Scan-and-Go Mobile App  
- Performed market analysis to inform design decisions  
- Designed a simplified shopping experience based on regular user patterns  
- Created a functional prototype using Figma, Adobe Photoshop, and Protopie  
- Delivered a user-friendly mobile shopping solution  

Case Studies Project | Team Leader  
- Led a team by managing tasks and coordinating project deliverables  
- Modified designs and features to meet target audience needs  
- Applied empathy skills to support user-friendly experiences  
- Supported a collaborative approach to team management  

PROFESSIONAL GOAL  
Seeking opportunities to apply UI/UX design skills with teams that value both business objectives and user-friendly customer experiences."
98317,"UI DESIGNER

Results-driven UI Designer with 3 years of experience designing intuitive, visually compelling interfaces for web and mobile applications. Skilled in Figma, Adobe Photoshop, and Adobe Illustrator, with a user-centered approach and strong attention to detail to support brand identity and user satisfaction.

CORE COMPETENCIES
- User Interface (UI) Design
- Web Design
- Mobile Design
- User-Centered Design
- Visual Design
- User Experience (UX) Principles
- Attention to Detail
- Figma
- Adobe Photoshop
- Adobe Illustrator

PROFESSIONAL EXPERIENCE
UI Designer | 3 years
- Designed intuitive and aesthetically refined interfaces for web and mobile applications
- Collaborated with clients to gather project requirements and translate vision into effective design solutions
- Created user-friendly interfaces with clear navigation and strong visual appeal
- Produced high-quality design deliverables using Figma, Photoshop, and Illustrator
- Applied a detail-oriented approach to ensure design quality and user satisfaction
- Developed designs that strengthened brand identity and enhanced user engagement

TECHNICAL SKILLS
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Web Interface Design
- Mobile Interface Design
- Visual Design
- User Experience (UX) Principles"
98318,"UI/UX Designer

Designing intuitive, visually appealing digital interfaces that enhance user experience. Experience across landing pages, web services, redesigns, and mobile applications in both team and independent projects.

Skills
Figma • Adobe Photoshop • Adobe Illustrator • Canva

Projects

Cozy House Web Service — Full-cycle design (Team project)
Platform for host reservation connecting travelers with hosts who share their homes and culture while providing safe and affordable accommodation. Completed end-to-end design work including competitive analysis, user personas, JTBD, CJM, user flows, wireframes, visual design, and adaptation.

Cucina di Catherina Website — Full-cycle redesign
Redesigned an outdated website to attract potential customers by refreshing visual content with high-quality photography, improving navigation through updated information architecture, and clarifying the product’s unique selling proposition.

Professional Objective
Seeking a full-time role collaborating with teams and incorporating feedback to deliver strong outcomes. Eager to learn from experienced designers and contribute a fresh perspective to projects."
98319,"UI/UX Designer

PROFESSIONAL SUMMARY
UI/UX Designer focused on creating visually appealing, user-friendly web and mobile experiences. Skilled at translating concepts into practical designs that address user needs and simplify everyday tasks. Collaborative team contributor with a commitment to high-quality, detail-oriented execution.

PROFESSIONAL EXPERIENCE

UI/UX Designer — Coaches Service
Current
- Designing a commercial coaches service application for web and/or mobile platforms

Team Lead & UI/UX Designer — Travel Service
- Led a team developing the interface for a web-based travel service (“change of environment” platform)
- Created a platform connecting hosts and tourists for apartment exchanges in return for household assistance
- Developed separate user flows for hosts and tourists
- Produced wireframes and responsive/adaptive versions across multiple devices

PROJECTS

Table Booking Service Application — Personal Project
- Designed a table-booking application enabling users to reserve tables without calling
- Created an interface for browsing and selecting available tables at restaurants and cafes

Ukrainian School Website Redesign
- Redesigned a school website to provide comprehensive school information and contact functionality
- Created wireframes, desktop designs, and adaptive versions for tablet and mobile devices

CORE COMPETENCIES
- UI Design
- UX Design
- Wireframing
- Responsive/Adaptive Design
- User Flow Development
- Web & Mobile Application Design
- Team Leadership"
98320,"# UI/UX DESIGNER

## PROFESSIONAL SUMMARY
UI/UX Designer experienced in creating intuitive, visually appealing user interfaces for mobile applications, websites, and software. Skilled in collaborating with cross-functional teams to deliver user-centered design solutions aligned with user goals and business objectives.

## CORE COMPETENCIES
- User Research & Analysis  
- Usability Testing  
- Wireframing & Prototyping  
- User Flow Design  
- Visual Design  
- Stakeholder Collaboration  
- Accessibility & Inclusive Design  
- UI/UX Best Practices  

## TECHNICAL SKILLS
- Design Tools: Sketch, Figma, Adobe XD  
- Prototyping Tools: InVision, Marvel  

## PROFESSIONAL EXPERIENCE
### UI/UX Designer
- Collaborate with product managers, developers, and designers to understand user needs and translate them into design solutions  
- Conduct user research and analyze user feedback to inform design decisions  
- Perform usability testing to validate design effectiveness  
- Create wireframes, user flows, and high-fidelity visual designs  
- Develop interactive prototypes to communicate design concepts  
- Ensure designs meet accessibility guidelines and support diverse user bases  
- Stay current with UI/UX design trends and best practices  

## KEY PROJECTS
### Mobile Banking Application
- Designed a comprehensive user interface for a mobile banking application  

### Health App User Research
- Conducted user research to enhance the user experience for a health application  

## PROFESSIONAL APPROACH
Focused on creating seamless, user-centered interfaces that help users achieve goals efficiently while maintaining strong visual design and usability standards."
98321,"UI/UX DESIGNER

PROFESSIONAL SUMMARY
UI/UX designer experienced in creating user-centered design solutions for web and mobile applications. Skilled across end-to-end design processes, including problem definition, task and competitive analysis, target audience research, journey mapping, user flow definition, wireframing, prototyping, visual style development, and responsive interface design to deliver user-friendly products aligned with client needs.

CORE SKILLS
- User research, problem definition & competitive analysis
- Target audience definition & customer journey mapping
- User flow definition & information structure
- Wireframing & interactive prototyping
- Responsive design (desktop, tablet, mobile)
- Visual design & interface design

TOOLS
Figma • FigJam • Adobe Photoshop • Adobe Illustrator

PROJECT EXPERIENCE

Travel Go — Web Service | UI/UX Designer
- Designed a web service to help users organize affordable or free stays in other countries through volunteering opportunities
- Conducted problem definition, competitive analysis, and target audience research
- Created customer journey maps and defined user flows
- Developed wireframes and prototypes based on user needs
- Designed responsive layouts for desktop, tablet, and mobile

ReserveNow — Mobile Application | UI/UX Designer
- Designed a mobile application for restaurant table booking featuring a visual hall layout
- Supported seat/table selection and time-based reservations through the interface concept
- Completed the design cycle from research through prototyping
- Created mobile and tablet adaptations

Additional Personal & Team Projects | UI/UX Designer
- Led and contributed to UI/UX design across multiple personal and collaborative projects
- Applied a comprehensive design methodology across projects"
98322,"UI/UX Designer

Creative, detail-oriented UI/UX Designer with 1.5 years of web design experience specializing in user-centered interface design. Skilled in creating visually appealing, intuitive, and accessible digital experiences aligned with industry standards and user needs.

Core Competencies
- UI/UX Design Principles & Methodologies
- Wireframing & Prototyping
- High-Fidelity Design Development
- Responsive Web Design
- Accessibility Standards & Implementation
- Cross-Functional Collaboration
- Design Tools: Sketch, Adobe XD, Figma

Professional Experience
UI/UX Designer | 1.5 Years
- Designed user-centered interfaces for websites and web applications to ensure usability, clarity, and visual appeal
- Created wireframes, prototypes, and high-fidelity designs using Sketch, Adobe XD, and Figma
- Developed responsive and accessible designs aligned with current industry standards and trends
- Collaborated with designers, developers, and stakeholders to deliver high-quality designs that met project objectives and deadlines
- Applied UI and UX design principles to support an optimal user experience across digital touchpoints"
98323,"UX/UI Designer

EXPERIENCE

UX/UI Designer | 2022–2023  
- Built and managed a design team focused on UX research, prototyping, design, knowledge sharing, and teamwork  
- Developed leadership skills while consistently delivering high-quality design projects

UX/UI Designer | Medical Clinic Interface Project | Feb 2023–Mar 2023  
- Developed a complete interface for a medical clinic  
- Conducted UX research to create a user-friendly, intuitive interface aligned with business and user needs

Freelance Graphic & UX/UI Designer | Mar 2023–Present  
- Develop websites and social media posts for clients  
- Work independently with individual clients and collaboratively in small teams

Team Leadership Experience | Ukraine  
- Completed a UX/UI design course and applied learnings to create and lead a design team  
- Fostered a collaborative, creative environment where team members shared ideas, learned new skills, and developed innovative products

SKILLS
- UX Research  
- UI Design  
- Prototyping  
- Team Leadership & Management  
- Graphic Design  
- Web Design  
- Collaboration & Teamwork"
98324,"UX/UI DESIGNER

PROFESSIONAL SUMMARY
UX/UI Designer specializing in designing meaningful digital experiences that solve problems and simplify users’ lives. Experienced in web and mobile application design with a full-cycle approach spanning analysis, prototyping, visual design, and implementation. Background in motion design that enhances visual communication and interaction design.

EDUCATION & CERTIFICATION
UX/UI Design Certificate — 8-month comprehensive course
- UX/UI Design
- Web Design
- Mobile Design

DESIGN PROCESS
Full-cycle design approach including:
- Task analysis and research
- Interface prototyping aligned with target audience needs
- Visual style development consistent with brand identity
- Creating seamless, intuitive user experiences

PROJECT EXPERIENCE
Unreal — Restaurant Booking Mobile Application | Mobile App | Full Cycle Design
- Designed a platform for booking tables in unusual and unique restaurants
- Created a convenient reservation system enabling specific table selection
- Delivered a memorable end-to-end user experience for diners

Wings of Hope — Ukraine Social Infrastructure Restoration | Web Service | Full Cycle Design
- Developed a web service interface connecting restoration requests for war-damaged social infrastructure with assistance offers from Ukrainian and foreign partners
- Designed a solution intended to attract communities, government officials, private organizations, and investors
- Supported social infrastructure restoration efforts through a streamlined experience

Slavsko Ski Resort Website Redesign | Website | Full Cycle Design
- Created a modern redesign for the Slavsko ski resort website
- Restructured the site architecture
- Developed a unique, recognizable visual style
- Designed to help attract increased local and foreign tourism

Audi Q3 Test Drive Landing Page | Landing Page | Full Cycle Design
- Designed an advertising landing page for Audi with integrated test drive booking functionality

PROFESSIONAL OBJECTIVE
To collaborate with product managers, developers, and designers to bring design ideas to life and contribute to complete digital products."
98325,"# Web Designer

## Professional Summary
Web designer with hands-on UI/UX experience gained through personal project work. Focused on creating user-centered interfaces that balance visual design, functionality, and intuitive navigation. Skilled in translating user personas and requirements into clear, engaging layouts.

## Skills
- UI/UX Design  
- Interface Design  
- Visual Design  
- Layout Creation  
- Navigation Design  
- User Persona Analysis  
- Requirements Analysis  
- Design Tools  

## Projects
### Museum Website
- Designed an attractive, informative interface for museum visitors  
- Created page layouts aligned to persona requirements and museum environment specifics  
- Implemented strategic exhibit placement with attention to visual perception  
- Developed functional, aesthetically appealing interfaces guided by UI/UX design principles  
- Designed an intuitive navigation system to improve user experience  
- Conducted detailed requirements analysis to guide design decisions  

## Career Objectives
- Advance as a UI/UX designer through collaboration on professional teams  
- Work directly with clients to understand needs and deliver tailored design solutions  
- Expand technical proficiency by learning emerging technologies and design tools  
- Strengthen design skills and apply new methodologies to future projects  
- Create memorable user experiences that support company success"
98326,"RESUME

EDUCATION

Projector Institute
Completed Modules:
- Web Design Beginning
- Web Design Junior
Currently Enrolled:
- UX Design Module

PROJECT EXPERIENCE

Web Design Junior Module – Client Projects
- Completed redesign projects for two clients, delivering high-detailed prototypes of existing websites

Responsibilities:
- Conducted client briefings
- Gathered references
- Created mindmaps
- Developed wireframes
- Designed UI
- Developed mobile-adaptive versions

PROFESSIONAL EXPERIENCE

Sahu Media — German Design Bureau
Intern
- Created advertisement banners for clients using Photoshop
- Worked on WordPress-based websites"
98327,"EDUCATION & PROFESSIONAL DEVELOPMENT

IT School “Hillel”  
Web Design Basic Course | 2022–2023

Ongoing Studies | 2023–Present  
Web Design | UI/UX Design | Mobile Design

TECHNICAL SKILLS

Figma | Adobe Photoshop | Adobe Illustrator

PROJECT EXPERIENCE

- Designed landing pages  
- Created end-to-end website designs  
- Completed website redesign projects  
- Designed a web service with mobile application adaptation  
- Conducted target audience research  
- Performed competitor analysis  

PROFESSIONAL QUALITIES

Detail-oriented | Responsible | Committed to continuous skill development in IT"
98328,"UX/UI Designer

Fresh UX/UI Designer with a focus on user-centered research and data-informed design decisions. Experienced in competitive analysis, wireframing, UI kit development, and prototyping to create user-friendly interfaces. Seeking to contribute creativity, organization, and problem-solving skills to an innovative design team to improve customer experiences.

PROJECT EXPERIENCE

Landing Page for a Flower Shop
- Created a landing page promoting bouquet ordering with delivery
- Conducted competitor analysis and built a moodboard to support the product’s emotional context
- Designed wireframes and a UI kit, then produced the complete landing page

Redesign of the Italian Roastery Website (Il Griso)
- Redesigned the website to improve visual appeal and ease of use
- Conducted competitor analysis and developed an organizational structure for site elements
- Created wireframes and a UI kit for selected pages, then redesigned the site with prototyping and adaptation

Web Service for a Cleaning Company
- Designed a web service for a cleaning company

Mind Map — Team Project
- Served as Scrum Master for a team project focused on mind-mapping functionality

SKILLS
- User Research
- Competitive Analysis
- Data-Driven Design
- Wireframing & Prototyping
- UI Kit Development
- Responsive Design & Adaptation
- Scrum Methodology"
98329,"PROFESSIONAL EXPERIENCE

Web Designer Assistant
• Developed landing pages and online store designs with an emphasis on user experience and conversion
• Created prototypes and digital assets, including banners and marketing materials
• Designed print materials such as price lists and promotional collateral
• Produced designs for Western-market clients, including Etsy store product designs
• Designed event collateral including invitations, labels, photo banners, business cards, price lists, and order forms
• Created social media content for Pinterest pins, Instagram posts, and Instagram Stories

TECHNICAL SKILLS

Design Tools: Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Canva
Design Knowledge: UI/UX principles, Bootstrap grid system, adaptive design

PROFESSIONAL ATTRIBUTES

Self-disciplined, responsible, and organized with strong planning skills. Collaborative team contributor with leadership qualities. Committed to continuous learning and professional development."
98330,"# UI/UX Designer

## Profile
UI/UX Designer with commercial project experience, with a focus on healthcare website design. Building a freelance practice while developing proficiency in modern design tools and user-centered design methodologies. Committed to staying current with industry trends and delivering practical, user-focused design solutions.

## Experience
**Freelance UI/UX Designer**
- Completed a commercial website project for a dental clinic
- Delivered an end-to-end design solution for a healthcare client

## Skills
- UI/UX Design
- Figma (developing proficiency)
- Product observation and analysis
- Trend research and implementation
- Collaboration and teamwork
- Strong work ethic and learning aptitude

## Availability
Immediately available for remote internship opportunities."
98331,"PROJECTS

BALANCE SPA (Training Project)  
Landing page design project including Lo‑fi/Hi‑fi wireframes, prototyping, UI kit, and developer handoff preparation.
- Created Lo‑fi and Hi‑fi wireframes  
- Developed prototype  
- Designed UI kit  
- Prepared project for developer handoff  

FOODLY (Training Project)  
Mobile application design for supermarket product delivery.
- Conducted client briefing  
- Defined target audience  
- Created Lo‑fi and Hi‑fi wireframes  
- Created sitemap and user flow  
- Designed UI kit  
- Performed competitor and heuristic analysis  
- Conducted user testing  
- Developed adaptive design  

JOCCELLUM (Training Project)  
E‑commerce jewelry platform design project.
- Conducted client briefing  
- Defined target audience  
- Created Lo‑fi and Hi‑fi wireframes  
- Created sitemap  
- Designed UI kit  
- Performed competitor and heuristic analysis  
- Conducted user testing  
- Developed adaptive design"
98332,"Anastasia  
Web Designer

PROFESSIONAL SUMMARY  
Beginner web designer currently studying UI/UX design at Hillel Computer School. Interested in opportunities in product companies or game development. Focused on continuous learning, hands-on practice, and contributing to effective design solutions.

EDUCATION  
UI/UX Designer Courses — Hillel Computer School

SKILLS & KNOWLEDGE  
Design Fundamentals  
- Typography (font theory)  
- Color theory  
- Images, illustrations, and icons  

UI/UX Design  
- UI kits  
- Auto Layout  
- Styles and components  
- Atomic approach  
- Grids  
- Prototyping  
- Responsive/adaptive design  

User Research & Strategy  
- Website types  
- Target audience analysis  
- Personas  

CAREER INTERESTS  
- Product companies  
- Game development"
98333,"PROFESSIONAL EXPERIENCE & PROJECTS

UI/UX Design Projects
- Redesigned the Turkish Airlines mobile application under mentor supervision by conducting a heuristic analysis of the existing design and identifying opportunities for improvement while considering the needs of the regular user base
- Developed a system design and created mobile application and website designs for Richard Bank through “from zero to hero” courses

EDUCATION

Art Academy
- Built foundational graphic design skills in typography, composition, and color theory

Professional Development
- Adobe Photoshop (coursework)
- Adobe Illustrator (coursework)
- Figma (coursework)

EXHIBITIONS
- The Art of Change — Ukrainian House
- 24.02 Before and After — photo exhibition
- Cardiff School of Art and Design, Cardiff Metropolitan University — exhibition

ADDITIONAL INFORMATION
- Gained practical experience through part-time projects during studies
- Seeking opportunities to apply and further develop skills in a professional environment"
98334,"CAR WASH APP  
Mobile application for finding and booking car wash services. Enables users to locate nearby car wash providers using geodata, reserve a specific date and time, choose required services, and complete payment online.

ROLE: Team Leader

RESPONSIBILITIES  
- Led the project team throughout development  
- Conducted competitive analysis  
- Created user flow documentation  
- Designed wireframes and prototypes  
- Developed the final design"
98335,"PROFESSIONAL EXPERIENCE

CloudyClean Webservice
- Enabled users to find and order cleaning services through filtered search functionality
- Conducted competitor analysis and user flow research
- Developed prototypes and designed the complete user interface

Alaska Pete’s Website Redesign
- Modernized the user interface to improve convenience, comprehensibility, and visual appeal
- Analyzed user flow, site blocks, and site logic prior to implementation

Landing Page for FlowerLover
- Designed an intuitive, aesthetic landing page for a flower shop
- Analyzed buyer user logic to inform design decisions

SKILLS & QUALIFICATIONS
- Team collaboration experience
- User flow analysis
- Competitor analysis
- Prototype development
- User interface (UI) design
- Completed 3 projects

CAREER OBJECTIVE
Seeking one-off project opportunities, a junior designer position in an office setting, or a remote position."
98336,"PROFESSIONAL EXPERIENCE

UX/UI Designer (Project) — NOVI Luxe  
- Collaborated directly with NOVI Luxe to design and develop the company’s e-commerce website.  
- Conducted user research through surveys and interviews to inform design direction.  
- Created wireframes, user flows, and interactive prototypes using Figma to visualize design concepts.  
- Implemented A/B tests to validate design decisions.  
- Delivered the project on time and within budget, receiving positive client feedback.  

SKILLS

- User research (surveys, interviews)  
- Wireframing  
- User flows  
- Interactive prototyping  
- A/B testing  
- Figma  
- E-commerce website design and development"
98337,"PROFESSIONAL EXPERIENCE

UI/UX Designer | 1+ year of professional experience  
- Collaborated with diverse clients, including Looqme, HoReCa Show, S-Prof, and Lviv Organ Hall  
- Delivered design solutions across multiple commercial projects  


EDUCATION & TRAINING

UI/UX Design Course | LITS  


TECHNICAL SKILLS

- Figma  
- InVision  
- Adobe Photoshop  
- Adobe Illustrator  
- UI/UX Design Principles  


PROFESSIONAL INTERESTS

- Pursuing challenging projects that foster skill development and collaborative teamwork opportunities"
98338,"PROFESSIONAL EXPERIENCE

Comon Agency  
January 2022 – February 2022  
- Position ended due to reduction of labor headquarters in connection with the war in Ukraine  
- Subsequently worked on individual private projects


PROJECT EXPERIENCE

“On the Way” Product Delivery Project (Client: Alexey)  
- Developed landing page  
- Created corporate identity for the website  

“Sammy Icon” E-commerce (Client: Phillip)  
- Redesigned and developed a multi-page online store website  
- Conducted UX research  
- Created wireframes  
- Produced style guide and design"
98339,"UI/UX Designer

SKILLS & EXPERTISE

Design Disciplines
• User Experience (UX) Design  
• Graphical User Interface (GUI) Design  
• Typography  

Tools
• Figma  
• Adobe Photoshop  

Methodologies
• Design Thinking  
• Human-Centered Design  

EDUCATION
UI/UX Design Course — 3-month intensive program  

PORTFOLIO
Design work across multiple application types:
• Landing page design  
• E-commerce platforms  
• Adaptive/responsive design solutions"
98340,"UX/UI DESIGNER

CERTIFICATIONS
- UX/UI Designer Certificate — Beetroot Academy
- CELI4 C1 — Italian Language Proficiency

UX RESEARCH SKILLS
- Mind mapping & information architecture
- Brief development & competitive analysis
- Empathy mapping & persona creation
- Customer journey mapping & user flow design
- Wireframing

UI DESIGN SKILLS
- Figma; Adobe Photoshop; Adobe Illustrator
- Interactive prototyping
- Responsive & adaptive UI design
- Composition, typography, & color theory
- Grid systems & design patterns
- Icon & logo design

PROJECTS (Beetroot Academy Coursework)
- Mobile application for a family medicine clinic
- Landing page for a design studio
- Website for a beauty salon

PROFESSIONAL OBJECTIVE
Seeking to join a collaborative team delivering engaging digital products, with opportunities for professional growth and skill development while contributing value to the organization."
98341,"UX/UI Designer

EDUCATION
Master’s Degree in Architecture and Urban Planning | May 2023
Research Project: “Modern Approaches to Implementing Information Technologies in Architectural Design”

Professional Training
Completed comprehensive educational courses in mobile application and website development, covering design principles through final implementation

SKILLS
- UX Research: user interviews, online surveys, competitor analysis
- User personas and user stories
- User flows and wireframes
- Animated prototypes
- HTML markup
- CSS styling
- Responsive and adaptive design
- Research and analysis
- Self-organization and critical thinking

PROJECT EXPERIENCE
FeelFull — Website Redesign | Food delivery enterprise
- Participated in client meetings
- Conducted UX research
- Designed end-to-end user experience solutions

TviyBrend — Catalogue Website | Accessories retail company
- Developed a comprehensive catalogue website
- Focused on user-centered design and visual appeal

Colory — Mobile Application | Photo colorization application (black-and-white to color)
- Designed the full mobile app experience from concept to animated prototype

PROFESSIONAL OBJECTIVE
Seeking opportunities to gain practical experience and expand expertise in UX/UI principles while creating impactful, user-centered designs."
98342,"# UI/UX Designer

## Professional Summary
UI/UX designer with team leadership experience and a strong desire to learn and grow alongside professionals. Strengthening design skills through hands-on web and mobile application projects, with experience in user research, competitor analysis, and end-to-end UI/UX delivery.

## Core Skills
- UI/UX Design
- User Research & Competitor Analysis
- Information Architecture: Site Mapping & Functional Specifications
- Wireframing & Prototyping
- Responsive Design Adaptation
- Tools: Figma, Adobe Illustrator, Adobe Photoshop
- Team Collaboration & Leadership
- Ownership, Deadline Management & Project Responsibility

## Project Experience

**Search for Lost and Found Animals** | Team Leader  
- Led a team to develop an animal search website connecting lost pets with owners and potential adopters  
- Conducted competitor analysis to identify market opportunities  
- Created a comprehensive site map and functional specifications  
- Adapted the design to support an optimal user experience  

**Furniture Store Landing Page**  
- Designed a simple, user-friendly landing page for furniture retail  
- Performed competitor analysis and selected references  
- Built prototypes and produced the final UI design for implementation"
98343,"# UX/UI Designer

## EDUCATION & PROFESSIONAL DEVELOPMENT

**UX Design Program** | Projector Institute | In Progress

**UX/UI Design Program** | Projector Institute | Completed  
Skills: Typography, Auto Layout, Wireframing, Prototyping

**Foundations of User Experience (UX) Design** | Coursera (Google) | Completed  
Skills: User Experience Design (UXD), Wireframing, Prototyping

## CORE COMPETENCIES

- User Experience Design (UXD)
- UI Design
- Wireframing
- Prototyping
- Typography
- Auto Layout"
98344,"UI/UX DESIGNER

PROFILE
UI/UX Designer experienced in translating abstract ideas into wireframes, concepts, and MVPs. Skilled in applying Design Systems to speed delivery and support clear client presentations. Background includes projects in E-commerce and EdTech, with experience working in collaborative team environments.

SKILLS
- UI Design for Web and Mobile Applications
- Wireframing & Prototyping
- Design Systems
- MVP Development
- Team Collaboration
- E-commerce & EdTech Product Design

PROJECTS
Landing Page — “Rainbow”
- Redesigned a kindergarten website, updating the visual design and restructuring information architecture
- Streamlined the user experience to support appointment booking and curriculum selection for parents

Web Service — “CleanHouse”
- Collaborated on a three-person team to design a service platform connecting users with cleaning providers
- Supported functionality for cleaner registration
- Strengthened team collaboration and project coordination in a multi-person project setting

Mobile App — “MY BRAND”
- Collaborated on a two-person team to design an online shopping app
- Designed e-commerce flows including home delivery support

EDUCATION
GoIT School — UI/UX Designer Course
February 2023 – August 2023

OBJECTIVE
Seeking a role at a company that values employee development, where I can contribute my UI/UX skills, gain professional experience, and grow as a team member."
98345,"DESIGNER / UI-UX

SUMMARY
Designer specializing in e-commerce platforms, landing pages, and mobile app interfaces with a focus on user experience, visual design, and responsive, multi-device execution. Experienced in partnering with clients to gather requirements, translating business objectives into design solutions, and iterating efficiently through Figma-based prototyping. Known for pixel-perfect implementation, quality assurance, clear communication, and reliable delivery in fast-paced environments.

CORE SKILLS
UI/UX Design • Responsive Design • E-commerce & Landing Page Design • Mobile App Interface Design • Client Requirements Gathering • Prototyping (Figma) • Iterative Design Refinement • Visual Design • Quality Assurance • Pixel-Perfect Implementation • Communication • Deadline Management

EXPERIENCE
Designer / UI-UX
• Designed and developed engaging e-commerce platforms, landing pages, and mobile app interfaces that prioritized user experience and visual appeal
• Partnered with clients to gather requirements and deliver design solutions aligned with business objectives and user needs
• Implemented responsive design principles and techniques to create user-friendly interfaces optimized for multiple devices and screen sizes
• Leveraged Figma to streamline prototyping workflows and facilitate iterative design refinement
• Delivered pixel-perfect design implementation through meticulous attention to detail and quality assurance
• Demonstrated strong communication skills and consistently met project deadlines in fast-paced environments

TOOLS
Figma"
98346,"UI/UX Designer

PROJECTS

Online Perfume Store – UI/UX Design Concept
- Developed a comprehensive UI/UX design concept for an e-commerce platform
- Mapped user flows and created interactive prototypes to optimize the customer journey
- Designed UI for 18 web pages, ensuring a consistent brand experience
- Presented the complete design system to the client

Landing Page Redesign
- Conducted analytical research and produced supporting documentation
- Created wireframes and prototypes based on research findings
- Designed a complete UI page concept focused on improving user experience
- Produced light mode, dark mode, and responsive adaptive versions"
98347,"PROFESSIONAL SUMMARY  
UX/UI Designer with hands-on experience designing e-commerce platforms, landing pages, and solutions for non-profit organizations. Completed two courses at Projector School and developed a practical, case-study-based portfolio. Background in photography and theoretical sociology.

CORE SKILLS  
- Concept Development & Prototyping  
- User Research & Interviews  
- UI Kit Creation (Figma)  
- E-commerce Design  
- Landing Page Design  
- Presentation Skills  
- Photography  

EDUCATION & TRAINING  
Projector School  
- Completed two courses with practical case studies  

PROJECT EXPERIENCE  
UX/UI Design Projects  
- Designed e-commerce platforms from concept through prototype  
- Created landing pages for various clients  
- Developed design solutions for non-profit organizations  
- Conducted user interviews to inform design decisions  
- Built UI kits in Figma to support design consistency  

ADDITIONAL EXPERTISE  
- Photography  
- Theoretical Sociology"
