,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
51,"Професійні навички:
• Робота з великими масивами даних (АСОПД/КОМТЕХ-W)
• Адміністрування систем
• Робота з ІзОД
• Знання нормативної правової бази 
• Знання пакету Office та вільне користування інтернетом

Знання мов:
• Українська та російська – вільно
• Англійська – Intermediate

Курси:
• На даний час проходжу online курс з HTML/CSS на базі сайту htmlacademy.ru

Особисті якості:
• Комунікабельність
• Доброзичливість
• Бажання навчатися новому
• Логічне мислення
• Правдивість
• Відповідальність
• Бажання бути корисною

Професійний ріст. Адекватний менеджмент. Складні задачі. Стартап. Біла зарплата."
52,"Валовий обсяг продажів мережі ресторанів, якою я керував - 600000 грн/міс.  
Найдорожчий продаж об'єкту нерухомості, коли працював рієлтором - 250000 $.  

Торговий Дім Шевченко/Проект AlcomagFood  
Керуючий партнер  

Задачі:  
- запуск проекту з нуля  
- підбір персоналу  
- переговори з постачальниками  
- контроль якості, сервісу, технології  

Зараз закінчую навчання в IT Школі Hillel за напрямком Project Manager.  
Зміню сферу діяльності, але далі прокачуватиму свої скіли, ведучи переговори на міжнародному рівні, отримуючи безцінний досвід, та за кілька років стану ПМ у потужній продуктовій компанії та створю свою сильну команду."
53,"09.2018 – 10.2019 – Sceel.io GmbH  
Position: Junior Project Manager  

Responsibilities:  
• Управління командою розробників  
• Координація графіків проектів  
• Проведення щоденних зустрічей, ініціювання ретроспектив  
• Уточнення вимог, пріоритизація завдань та проблем  
• Призначення завдань/проблем, відстеження завдань та моніторинг виконання  
• Комунікація з зацікавленими сторонами  
• Ведення проектної документації  "
54,"- Розробила план стратегічного розвитку для організації, в яку прийшла волонтерити в 15 років.
- Нафандрайзила 6 млн євро на проєкти місцевого економічного розвитку.
- Організувала і провела більше 40 конференцій і бізнес-форумів для міської ради.
- Навчила близько 5000 людей проєктному менеджменту і фандрейзингу.
- Допомогла 34 ініціативним групам започаткувати свої проєкти у сфері соціального підприємництва.
- Розробила 11 навчальних програм неформальної освіти (фандрейзинг, право, соціальне підприємництво, проєктний менеджмент для ГО).
- Написала та захистила дисертацію.

13 років пропрацювала у громадському і публічному секторі, почала волонтерити в 15 років, що призвело до роботи в проєктному менеджменті та громадських організаціях.

Понад 5 років працювала за методологією PRINCE2 і впроваджувала системний проєктний менеджмент в органах місцевого самоврядування.

Останні 3 роки працювала штатною та незалежною експерткою з фандрейзингу та стратегічного планування, допомагаючи громадським організаціям перетворювати їхні ідеї в програми і проєкти, шукала фінансування на реалізацію цих проєктів і навчала проєктному менеджменту.

З липня минулого року допомагала художниці, яка 10 років інтуїтивно вибудовувала свій бренд в офлайні, перевести все в онлайн. На цьому проєкті виконувала функції людини-оркестра, перебудовуючи операційну діяльність, будуючи з нуля відділ онлайн-продажів і створюючи вебсайти для двох онлайн-крамниць. Цей досвід був дуже цікавим.

Не цікавлять проєкти, пов'язані з фінансами, криптовалютою, нафтою. Захоплююсь проєктами, які підвищують якість життя людей на щоденній основі."
55,"Навички: організація, впорядкування та ведення робочого процесу, ведення переговорів, робота з клієнтами та постачальниками, впевнений користувач ПК: MS Office, 1С (7.7; 8.1-3), робота з електронною звітністю, постійний розвиток (читаю психологічну та економічну літературу, відвідую семінари, бізнес-зустрічі), швидке освоєння нових технологій, комунікабельність, пунктуальність, відповідальність.

Досвід роботи:

1996р. – 2000р. підприємець, торгівля автозапчастинами до іномарок.

2000р. - 2002р. підприємець, гуртова торгівля дитячими іграшками.

2002р. - 2016р. підприємець, співзасновник і співвласник ТМ Гойдалка (goydalka.com) - виготовлення дитячих іграшок та меблів з бука, меблів з дерево-стружкових плит та дитячих ігрових споруд з металу та дерева.

Виконувані обов’язки:
- створення замкнутого виробничого циклу: розпилювання лісоматеріалів, проміжний склад; дві сушильні камери для дерева об’ємом по 50м2, котельня потужністю 600кВт (на відходах виробництва); склад пиломатеріалів, механічна, складальна, меблева дільниця, цех по виготовленню металевих конструкцій, опорядження готових виробів, пакування продукції, склад готової продукції.
- планування та покращення технологічного процесу, внутрішньої логістики, підтримування технічного стану обладнання, забезпечення безперебійної роботи підприємства.
- робота з постачальниками комплектуючих, пошук нових, розробка меблевої фурнітури.
- співпраця по створенню та супроводу офіційного сайту.
- реєстрація та зміни торгової марки Гойдалка.
- участь у розробці артикулів, етикеток, каталогів, інструкцій, проведенні фотосесій нових виробів.
- активна участь у нормуванні праці, аналізу собівартості продукції та загальної господарської діяльності.
- впровадження системи обліку робочого часу.
- організація роботи працівників охорони, котельні та інших служб.
- підбір кадрів для основного виробництва і допоміжних служб.
- підготовка документації та участь у тендерах по закупівлі меблів.
- участь в різноманітних виставках у Львові, Києві, а також в Польщі та Німеччині."
56,"1. Бариста  
MyCOFFEE / травень 2018 - вересень 2018  
На цій посаді я отримала навички спілкування з різними клієнтами.  

2. Заступник голови студентського самоврядування  
ГО ""StudHeads"" / лютий 2020 - по теперішній час  
Обов'язки:  
а. оформлення сторінки в соціальній мережі;  
b. планування діяльності (генерація ідей, складання чітких планів заходів, підготовчих заходів та розподіл обов'язків);  
c. організація команди.  

3. Курсова робота на тему: ""З'ясування технічних можливостей готового веб-додатку для розповсюдження навчальної інформації"" / Лютий 2022 - дотепер  
Проект все ще знаходиться в процесі доопрацювання, оскільки веб-додаток знаходиться на локальному сервері. Наразі я працюю над розміщенням сайту на хостингу та додаванням нових можливостей для користувачів.  

4. Курсова робота на тему: ""Розробка 3D моделі"" / Жовтень 2021 - січень 2022  
Розробив 3D модель майбутнього безпілотника в середовищі SolidWorks.  

Зацікавлена розвиватися у напрямку Project Manager, особливо у ІТ компанії. Об'єктивно підходжу до пошуку роботи, тож згодна на посаду помічника чи стажиста, головне — щоб була можливість розвитку. Отже, головним пріоритетом є те, щоб ваканція стосувалась ІТ напрямку."
57,"1. Міністерство закордонних справ України, дипломат (листопад 2020 - липень 2021).  
Обов‘язки:  
- аналіз тенденцій у міжнародних відносинах;  
- планування розвитку подій;  
- переклад;  
- організація зустрічей та участь у переговорах як з іноземними партнерами, так і українцями;  
- участь у стратегічних сесіях стосовно розроблення політик.  

2. Львівська міська рада, провідний спеціаліст (листопад 2017 - листопад 2020).  
Обов’язки:  
- переклад;  
- підготовка аналітичних та інформаційних матеріалів;  
- організація зустрічей з іноземцями, поїздок закордон;  
- участь у переговорах;  
- керування проєктами та практиками стажерів/практикантів;  

3. ГО «Молода дипломатія», президент (травень 2016 - травень 2017), віце-президент (травень 2015 - травень 2016).  
Обов’язки:  
- координування роботи ради організації;  
- допомога у реалізації проєктів, конференцій, заходів;  
- розвиток студентів;  
- організація зустрічей;  
- відкриття нових підрозділів в Україні;  
- забезпечення участі української сторони в роботі міжнародної організації “international week”.  

Маю намір продуктивно проводити свій робочий час, реалізовувати цікаві проекти, постійно навчатися новому та мати можливість професійно розвиватися."
58,"**Резюме**

**1) Посада: Sales Manager**  
Головні аспекти роботи:  
- Ведення клієнтів за розробленою воронкою продаж  
- Контроль над відвантаженнями товару і розрахунками з покупцями  
- Аналіз ринку, конкурентів, ЦА  
- Забезпечення документообігу при обслуговуванні клієнтів  
- Складання звітів та накладних  

**2) Посада: Researcher-Analyst**  
Головні аспекти роботи:  
- Пошук та обробка інформації  
- Складання аналізу даних  
- Впровадження нових технологій та започаткування нових проєктів на засадах компанії  
- Складання звітів  
- Презентація результатів дослідження  

**3) Посада: Інженер-технолог**  
Головні аспекти роботи:  
- Аналіз конструкторської документації, опрацювання креслень  
- Технологічний супровід процесів складання вузлів, агрегатів вертолітної техніки, написання технологічних карт  
- Підбір оснащення та інструменту  
- Складання паспортів деталей і виробів  

**Володію такими програмами та застосунками:**  
Bitrix, 1C, ClickUp, Notion, Jira, Slack, Asana, Google (весь пакет аплікацій), Microsoft Office (весь пакет аплікацій), інженерні застосунки/програми: програмне забезпечення для автоматизованого проектування (CAD): Siemens NX, CATIA, Kompas 3D; Mathcad."
59,"Вища освіта:  
Національна академія статистики, обліку і аудиту (НАСОА) (2006-2012)  
Спеціаліст. Факультет «Облік і аудит»  
Курси: QA Light “IT Project manager” 2022 р.  

1. ТОВ «Новотрейдінг» - Менеджер по логістиці грудень 2020 – по теперішній час  

2. ТОВ «Redfort» - Керівник складу. 10.2018 – 07.2020  
   - Прийом/облік/раціональне розміщення/збереження товару на складі;  
   - Облік в базі 1С;  
   - Моніторинг залишків та аналіз необхідної кількості товару на складі;  
   - Проведення інвентаризації;  
   - Управління командою до 10 осіб;  
   - Планування задач кожному члену команди на певний період.  

3. ТОВ «Європромоптторг» - Керівник виробництва 06.2016-09.2018  
   - Управління командою на виробництві;  
   - Організація безперебійного виробництва товару;  
   - Ефективне виконання виробничих норм;  
   - Контроль якості товару відповідно до інструкції;  
   - Контроль технічного стану обладнання;  
   - Щоденний облік готового та проданого товару;  
   - Щомісячні звіти про роботу виробництва.  "
60,"2014-2015  
Sales manager, Приватбанк  

Обов'язки  
Робота з клієнтами: виявлення потреб, обробка заперечень.  
Консультування та адаптація продуктів під індивідуальні обставини.  
Вирішення проблемних ситуацій.  

Цей досвід розвинув навички комунікації, управління запереченнями та створення довіри клієнтів до продуктів.  

2015-2017  
Самозайнята особа (Бізнес-посередник із пошуку оптових зв'язків)  

Обов'язки  
Активний пошук торгових точок і аналіз конкурентів.  
Складання договорів і нагляд за реалізацією продукції.  
Ефективне вирішення проблемних ситуацій і стратегічне ціноутворення.  
Глибоке розуміння запитів клієнтів.  

Протягом 2 років успішно організовував пошук оптових постачальників і точок збуту продукції. Цей досвід розвинув навички пошуку партнерів, аналізу ринку, управління контрактами та клієнтської взаємодії.  

2020-2022  
Самозайнята особа (Бізнес-консультант)  

Обов'язки  
Організація і координація усіх аспектів проєкту.  
Реалізація концепції та дизайну.  
Робота з інвесторами.  
Управління бюджетами близько 50к$.  
Налаштування операційної діяльності команди.  
Вирішення конфліктних ситуацій.  
Автоматизація бізнес-процесів закладів.  

Успішно запускав офлайн проєкти в готельно-ресторанній сфері. Мої зусилля допомогли досягти високого рівня клієнтської задоволеності та збільшення прибутку.  

Шукаю роботу для зростання як особистості та професіонала. Ціную видимі результати та командну роботу. Готовий вчитися, втілювати проєкти та розвиватися як фахівець в управлінні проєктами."
61,"**Додаткова інформація:**  
українська, російська - вільно, англійська – базовий, досвідчений користувач ПК (Word, Excel, MeDOC, 1С:Бухгалтерія 7,8, «Клієнт-банк», «Вчасно», «Електронний кабінет платника податків», Інтернет), займаюся самоосвітою, слідкую за змінами законодавства України, участь у вебінарах щодо змін бухгалтерського та податкового обліку, хобі – читання літератури.

**Досвід роботи:**

**2016-2020 р.**  
**Акціонерне Товариство «Оператор газорозподільної системи «Луганськгаз», заступник головного бухгалтера**  
- Податковий облік з податку на додану вартість, податку на прибуток, податку на нерухомість, податку на землю (оренда землі), екологічного податку.  
- Складання та подання звітності.  
- Взаємодія з податковими органами.  
- Оскарження податкових повідомлень-рішень у адміністративному та судовому порядку.  
- Участь у складі тендерного комітету у державних закупівлях на тендерних майданчиках.  
- Участь у складанні фінансового плану підприємства.  

**Державна податкова інспекція у м. Лисичанську ГУ Міндоходів у Луганській області**  
**старший державний податковий ревізор-інспектор, головний державний податковий ревізор-інспектор, головний державний ревізор-інспектор, заступник начальника відділу податкового аудиту** (Травень 2009 - лютий 2015)  
- Приймання участі у проведенні планових та позапланових перевірок суб'єктів господарювання з питань дотримання вимог податкового, валютного та іншого законодавства, перевірок по постановам слідчих та правоохоронних органів, перевірок по ліквідації підприємств.  
- Приймання участі у розгляді заперечень до актів перевірок суб'єктів господарювання.  
- Приймання участі у судовому оскарженні результатів перевірок.  
- Складання національного плану перевірок фінансових установ та суб'єктів ЗЕД.  

**Бажання:** Хочу працювати віддалено. Дуже цікаво спробувати себе в цій сфері. Готова бути інтерном."
62,"Strategic minded, great communicator, ready for challenges Project Manager with vivid experience in leading projects in Marketing, Events, PR and social & political spheres.

2019- Freelance Software Test Engineer  
Testing on TestIO, UTest, TestFlight.

2004-2018 Marketing & PR Specialist  
Golden Collection of Various Companies  
— From Office Manager to National Coordinator  
— Account manager/Coordinator in Marketing, PR, Event, BTL Production and Manufacturing projects.  
— Personnel Trainer  

2009-2011 Host/Facilitator/Journalist/TL  
World Sport Media  
— Hosting of meetings, facilitating teleconferences  
— Team Leader for a group of 5  
— Conducting reports and creating project conclusions  
— Execution of secret missions.  

Хочу стати корисною і застосовувати отримані знання. Хочу отримувати нові знання. Хочу комбінувати офісну та віддалену роботу, щоб лишався час на материнство."
63,"2020-2021  Менеджер ІТ-проектів компанії DK Services  
2021 – Головний аккаунт-менеджер українського сегменту WoodandHearts  
2021-2022 Керівник ІТ-департаменту в компанії Інфоконтроль  
Керував невеликими командами розробників до 6 чоловік. Маю навички роботи з такими інструментами: Jira, Confluence, Miro, Figma, Slack, VS Code."
64,"2 проекти на курсі IT Project Management з реальними замовниками Boosta і Podushka.ua.  
Boosta - побудова таймлайну по проєктним активностям компанії, використовуючи метод критичного шляху. Внесення пропозицій по скороченню часу на виконання проєкту. Інструменти: Miro, Gantter.  
Podushka.ua - вирішення проблем доставки і моніторингу замовлених клієнтом товарів. Інструмент: Miro."
65,"- Отримала сертифікат про участь у міжнародному проєкті Media Dialog 2020.
- Пройшла курси з копірайтингу та створення сайтів на Тільді.
- Маю позитивний відгук від роботодавця з попереднього місця роботи.
- Займаю лідерську позицію в Іеститутському рейтингу успішності в навчанні.
- Член Студпарламенту ІЖ КНУ.
- 5 місяців копірайтером в креативній онлайн-студії копірайтингу.
- Вела їх сторінки в Інстаграм та Телеграм.
- Проходила практику project manager у Фундації Дарини Жолдак (Fedoriv group). Була одним із проджектів проєкту КарочєХаб, організовувала лекції для підлітків з відомими людьми та збирала аудиторію.
- Брала участь у міжнародному проєкті Media Dialog 2020, була представником блог групи проєкту.
- Проджект-менеджер проєкту Інституту журналістики КНУ з пошуку вакансій для студентів.

Бажаю знайти вакансію для початківця, яка матиме подальші перспективи для професійного розвитку та допоможе розвинути мої практичні навички. Хочу працювати у команді, що підтримає та допоможе, а я в свою чергу зроблю все можливе від себе, аби моя робота стала успішною та максимально продуктивною."
66,"Я вмію помічати те, що інші не помічають  
- 6+ місяців досвіду тестування (програмне забезпечення, веб, мобільні додатки)  
- Знання документації для ручного тестування (тест-план, тест-кейси, тестовий звіт, звіт про помилки, чек-лист)  
- Розуміння методологій QA, включаючи Agile  
- Тестові активності: функціональне тестування, нефункціональне тестування, тестування, пов'язане зі змінами  
- Досвід роботи з системами відстеження помилок, такими як Atlassian Jira, Redmine, Mantis  
- Досвід роботи з програмним забезпеченням для управління тестовими випадками, таким як Testrail, TestLink  
- Досвід автоматизації QA – Selenium  
- Знання SQL  
- Знання HTML, CSS  
Я хочу примножити свій практичний досвід, навчатися та розвиватися у своїй новій діяльності."
67,"Ключові досягнення:
- Відкриття офісу компанії.
- Створення дилерської мережі.
- Набір персоналу та створення команди.
- Впровадження waterfall методології у компанії.

8 років досвіду ведення великих складних проектів у агросфері. По своїй структурі проекти в агросфері та айті дуже схожі з точки зору менеджменту. 

Досвід ведення проектів в айті: створення сайту представництва компанії, виступав як РМ зі сторони замовника, а також проект створення мобільної аплікації на курсах з IT PM."
68,"9 років досвіду роботи на посаді топ-менеджера в ресторанному бізнесі. 

Займалася документацією: фінансовий план, план проекту, матриця відповідальності, стратегія/ризики, P&L, система CRM.

Володію знаннями CSS, SQL, HTML, HTTP. Застосовую методології Scrum, Agile, Waterfall. 

Маю досвід роботи з Postman, Jira, JSON. 

Працювала з тестовою документацією: Test Plane, Test Case, Bug Report. 

Маю бажання розвиватися та стати Senior Project Manager."
69,"Координування відділу пошуку клієнтів  
Комунікація із клієнтами  
Контроль роботи відділу продажів  
Аналітичні здібності  
Командний гравець  
Вмію планувати та керувати часом  

Закінчила курс ""Основи проєктного менеджменту""  

Account manager  
Maxi Group Kyiv | Лютий 2019 - по поточний час  
Київ | 2020-2024  
- Перевіряла діалоги з клієнтами та їх анкети  
- Контролювала якість ведення клієнтів відділами продажів  
- Передавала уточнення та запити між відділами пошуку клієнтів та відділами продажів  
- Працювала з CRM системою  
- Складала звіти  

Account manager  
Maxi Group Kyiv | Жовтень 2018 - Лютий 2019  
- Перевіряла діалоги з клієнтами та їх анкети  
- Уточнювала деталі співпраці у телефонному режимі  
- Допомагала в розробці методологій для покращення проєкту  "
70,"Успішно реалізовано 22 проекти: http://na-proby.com/

Social Media Marketing program from the Digital Marketing Institute (Ireland). Certificate Social Media Marketing Campaign Manager Influencer marketing  
Медіакомпанія ""Бурда-Україна"" (червень 2018 - теперішній час)

- Планування, контроль та координація запуску проекту на сайті.
- Комунікація з клієнтами та підтримка проекту протягом усього періоду (від 3-ох до 6-ти місяців).
- Контроль виконання KPI's.
- Управління пріоритетами в проекті, виявлення ризиків і управління ними на постійній основі.
- Забезпечення правильного розподілу ролей і обов'язків між членами команди проекту.
- Складання та забезпечення інформацією про хід виконання проекту його учасників.
- Проведення аналізу після проекту і витяг уроків після кожного проекту з метою подальшого застосування в нових проектах.
- Робота з дизайнерами, редакторами, креативщиками, логістичними кампаніями.
- Підготовка пропозицій та фінальних звітів по завершенню проектів для клієнтів.
- Участь в розробці пропозицій нових проектів.

SMM:
- Створення текстового та графічного контенту.
- Налаштування таргетингу.
- Контроль виконання KPI's."
71,"Допомогла компанії зібрати команду з нуля та налагодити процес роботи. Успішна локалізація глобальної бази інформації про товари. 

Координація та управління командною роботою місцевого підрозділу перекладу: збір вимог, взаємодія з зацікавленими сторонами, узгодження термінів, встановлення робочого процесу, відстеження термінів. 

Звітність по проектах, підготовка звітів, аналіз досягнень, підготовка календаря локалізації для підрозділу перекладу IKEA Retail Ukraine, управління бюджетом проекту. 

Участь у перегляді пропозицій та контрактів з зовнішніми постачальниками послуг перекладу (перекладацькі агентства та зовнішні фахівці). Участь у тендерах, підготовка та аналіз вимог тендеру. 

Основний контакт країни для матричних організацій (штаб-квартира) у Швеції для підтримки локалізації. 

Участь у процедурах набору зовнішніх перекладачів: формування та контроль вимог, участь в інтерв'ю з кандидатами. 

Ключові досягнення: 
- Налагодження та управління підрозділом перекладу (команда з 8 осіб) для відкриття магазину IKEA в Україні. 
- Успішне завершення локалізації глобального інструменту інформації про продукти для України в межах встановлених складних термінів. 
- Впровадження гнучких практик і принципів для підрозділу перекладу. 

Нові технології, навчання, можливості кар'єрного росту."
72,"Copywriter  
фріланс | грудень 2022 - дотепер  
Написання текстів на ІТ тематику  
Самостійне дослідження тем та технологій  
Інтеграція ключових слів, SEO оптимізація  

КЕРУЮЧА МАГАЗИНУ ПРИКРАС  
інстаграм | листопад 2022 - дотепер  
Планування та запуск проекту  
Фінансова звітність  
Ведення клієнтської бази  

МЕНЕДЖЕР ГУМАНІТРНОГО ШТАБУ  
центр наук, Тернопіль | березень - листопад 2022  
Ведення обліку, робота з документацією  
Контроль за процесом видачі одягу та вжиття заходів щодо його вдосконалення  
Підтримка внутрішньо переміщенних осіб у вирішенні їхніх питань  
Онбординг нових волонтерів та проведення інструктажу  

ВОЛОНТЕР ПРИЙМАЛЬНОЇ КОМІСІЇ  
ХНУРЕ, Харків | липень - серпень 2021  
Інформування про наявні спеціальності та умови вступу  
Допомога з укладенням контракту та іншими організаційними питаннями  

Закінчила курс із проджект-менеджменту, ознайомлююсь з професійною літературою та шукаю можливість застосувати знання на практиці в якості помічника/асистента. Наразі працюю IT-копірайтером на фрілансі.  

Мій волонтерський досвід пов'язаний із роботою з людьми. Починаючи від виконання обов’язків заступника вожатого у літньому таборі і до волонтерства у гуманітарному штабі, я покращувала навички взаємодії з людьми і прагнула приносити їм користь. Як волонтер працювала з людьми з різними бекграундами, тож постійно вправлялась у розумінні людської психології та мотивації і можу знайти підхід до кожного.  

Я відповідальна та швидко навчаюсь новому, мене не лякають ні мультизадачність, ні організація процесів. Маю здатність працювати у команді, ефективно комунікувати та досягати поставлених цілей. Відкрита до вивчення нового та знаходження ефективних рішень, впевнена, що мої навички та досвід можуть стати в нагоді у роботі."
73,"# Успішна підготовка та проведення у складі команди 15+ виставкових заходів, масштабністю 500+ компаній учасників, 30 000+ професійних відвідувачів, 35 000+ кв.м. експозиції, 40+ іноземних делегацій.
# Організація власного бізнесу. Брав участь як співзасновник, від реєстрації ТОВ, розробки бренду до виходу на ринок та формування лояльної аудиторії.
# Організація Національних павільйонів та колективних експозицій на міжнародних івентах.
# Успішне залучення Топ Компаній у якості Ключових Партнерів заходів.

Маю більше 10 років досвіду участі в управлінні та координації проектами. Володію високим рівнем організаторських здібностей. Орієнтований на результат. Маю успішний досвід ведення декількох проектів одночасно. Можу продуктивно працювати як в команді, так і самостійно, як в офісі, так і віддалено. Керував роботою команди до 5 осіб. Багато часу приділив додатковій освіті, поглибленню знань в проектному менеджменті та розумінню SDLC. Постійно працюю на розвиток особистих гнучких та технічних навичок."
74,"Більшу частину свого життя я працювала над теле і кіно проектами. Маю досвід роботи на телебаченні - в якості ведучої, журналіста та трирічний досвід роботи режисером дубляжу теле і кіно-продуктів. Також з 2019 року активно працювала копірайтером, рерайтером статей для деяких бігунів-спортсменів і маю рік роботи smm-manager’ом в біговому ком’юніті від Puma. В 2022 році (до повномасштабного вторгення) почала працювати проджект-менеджером з маркетингу в рекламному агентстві. Ми змінювали рекламні пропозиції, покращували, радили і запускали рекламу на нашій платформі, в додаток зв’язували бренди з блогерами і лідерами думок для ще більшого притоку клієнтів. Працювали з відомими брендами, банками та виробниками. На жаль, через російську агресію проект припинено.

Мої м'які навички:
* критичне мислення
* висока самоорганізація
* комунікаційні навички
* стійкість до стресу
* адаптивність, гнучкість
* прагнення до нових знань"
75,"Fabiosa Media, Проєктний асистент  
1 рік 11 місяців  

Вела електронний документообіг та підтримувала робочі таблиці. Контролювала заповнення даних та коректну роботу формул. Була відповідальна за створення звітів за запитом та оформлення контенту для соціальних мереж.  

Досягнення на цій посаді включають автоматизацію багатьох робочих процесів, систематизацію зберігання файлів, а також наведення порядку в робочих файлах та таблицях. Завжди прагнула працювати ефективно та результативно, щоб забезпечити максимальну продуктивність та досягнення поставлених цілей.  

СТК Авангард, Аналітик  
3 роки 4 місяці  

Маю досвід роботи в дистриб'юторській компанії, що включає навички створення звітів за запитом. Успішно вела комунікацію з торговими агентами, клієнтами та постачальниками, що допомагало забезпечувати ефективну співпрацю та досягнення бізнес-цілей компанії. Відповідала за внутрішню документацію команди та замовлення канцелярських товарів для офісу.  

Одне з досягнень на попередній роботі — автоматизація більшості процесів та звітів, що забезпечило швидку та точну обробку даних та знизило ризик помилок. Завжди працювала уважно та детально, щоб забезпечити якість та точність виконання завдань.  
Не розглядаю вакансії, пов'язані з продажами."
