,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat
3113,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced IT professional with over 10 years of expertise in project management, agile methodologies, and product ownership. Certified in multiple disciplines including Project Management (PMP), Scrum Mastery (CSM, SASM), Agile Coaching (ICP-ACC), and Kanban (KMP1). Skilled in facilitating teams, managing complex projects, and delivering web/mobile solutions across healthcare, education, social media, and insurance sectors. Proficient in tools such as Jira, Azure DevOps, Miro, and Microsoft Power BI.  

**Certifications**  
- Project Management Professional (PMP) – PMI  
- Certified Scrum Product Owner (CSPO) – Scrum Alliance  
- Certified Scrum Master (CSM) – Scrum Alliance  
- SAFe Advanced Scrum Master (SASM)  
- Kanban System Design (KMP1) – Kanban University  
- Kanban Maturity Model – Kanban University  
- Kanban Coaching Practices – Kanban University  
- Certified Agile Coach (ICP-ACC) – ICAgile  
- Certified Trainer – ICAgile  
- Registered Product Owner at Scale (RPOAS) – Scrum at Scale  
- Registered Scrum at Scale Fundamentals (RSASF) – Scrum at Scale  
- Facilitator – International Association of Facilitators (IAF)  

**Technical Skills**  
- **Methodologies:** RUP, Waterfall, Agile  
- **Tools:** Miro, Microsoft Power BI, Postman, Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind, Balsamiq Mockups, draw.io  
- **Languages:** SQL  
- **Modeling:** BPMN, UML (base level)  
- **MS Office:** MS Project, Word, Excel, PowerPoint, Outlook  

**Professional Experience**  
**IT Professional**  
- Over 10 years of experience in IT, specializing in project management, business analysis, and agile practices.  
- Managed web/mobile projects in healthcare, education, social media, and insurance domains.  
- Applied product ownership and business analysis skills to deliver successful outcomes.  
- Facilitated teams and coached organizations in agile and Kanban methodologies.  

**Languages**  
- English: Upper-Intermediate"
3118,"[Your Name]  
[Your Contact Information]  

**Education**  
Warsaw University of Technology (WUT)  
Faculty of Computer Science (studied in English)  
Study Grant Recipient | Duration: 1 year and 6 months  

**Professional Experience**  
**Tech Lead, Project Manager Department**  
Duration: 1 year and 3 months  
- Led and managed project teams, ensuring successful project delivery.  
- Collaborated with stakeholders to align project goals with business objectives.  

**Project Manager**  
Duration: 1 year  
- Oversaw project planning, approval, and execution.  
- Transformed customer requirements into actionable project plans.  
- Delivered lectures on Project Management, team dynamics, and customer understanding at 3 annual conferences.  

**Front-end Developer**  
Duration: 4 months  
- Contributed to the development of a Fortune TOP 500 website.  
- Successfully launched 8 new domains, exceeding the initial target of one.  

**Single Point of Contact**  
Duration: 2 months  
- Acted as the primary liaison between teams and stakeholders.  

**Skills**  
- Project Management  
- Team Leadership  
- Stakeholder Collaboration  
- Front-end Development  
- Customer Requirement Analysis  

**Achievements**  
- Launched 8 new domains for a Fortune TOP 500 website.  
- Delivered impactful lectures at 3 annual conferences on Project Management and team dynamics.  

**Work Environment**  
Cozy office and friendly team atmosphere.  

**Additional Information**  
Available upon request: Detailed CV with technical skills and project-specific information."
3120,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced professional skilled in managing time and material projects, fixed-price projects, and enterprise-level development across e-commerce, financial, and big data domains. Proficient in risk management, time management, cost management, and scheduling. Strong leadership, communication, and negotiation abilities. Expertise in Agile, Scrum, and Kanban methodologies. Proficient in tools including Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble.  

**Skills**  
• Time and Material Project Management  
• Fixed Price Project Management  
• Enterprise Development  
• E-commerce Development  
• Financial Development  
• Big Data Development  
• Risk Management  
• Time Management  
• Cost Management  
• Scheduling  
• Leadership  
• Communication  
• Negotiation  
• Agile Methodologies  
• Scrum  
• Kanban  
• Jira  
• Confluence  
• Trello  
• Redmine  
• VSTS  
• Salesforce  
• Kimble  

**Professional Experience**  
[Company Name] – [Job Title]  
[Start Date] – [End Date]  
• Managed time and material projects and fixed-price projects.  
• Led enterprise-level development initiatives in e-commerce, financial, and big data domains.  
• Implemented risk management, time management, cost management, and scheduling strategies.  
• Utilized Agile, Scrum, and Kanban methodologies to drive project success.  
• Collaborated with cross-functional teams using tools such as Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble.  

**Education**  
[Degree] – [Institution Name]  
[Graduation Year]  

**Certifications**  
[Certification Name] – [Issuing Organization]  
[Year Earned]  

**Languages**  
[Language] – [Proficiency Level]  

**References**  
Available upon request."
3122,"**Professional Summary**  
Experienced Agile Delivery Manager with a strong background in version planning, CI/CD pipelines (Jenkins, GitHub Actions), and cloud deployments (Azure, AWS). Skilled in establishing and optimizing delivery and release processes, leading Scrum events, and managing project artifacts. Adept at creating roadmaps, resource plans, and mitigating risks to ensure timely value delivery. Collaborative team leader with expertise in stakeholder engagement, pre-sales activities, and process improvement. Passionate about contributing to meaningful projects that drive positive impact.  

**Key Skills**  
- Agile & Scrum methodologies  
- CI/CD pipeline management (Jenkins, GitHub Actions)  
- Cloud deployment (Azure, AWS)  
- Release & delivery process optimization  
- Roadmapping & resource planning  
- Business requirements & user story documentation  
- Stakeholder collaboration & pre-sales support  
- Team leadership & mentorship  
- Risk mitigation & issue resolution  

**Professional Experience**  
**Agile Delivery Manager**  
- Planned and executed version releases, managing builds via Jenkins and GitHub Actions, and deploying to Azure and AWS environments (dev and production).  
- Established and streamlined end-to-end delivery and release processes from scratch.  
- Organized and facilitated Scrum events (stand-ups, retrospectives, sprint planning) and maintained Scrum artifacts.  
- Developed project roadmaps, resource plans, charters, and reports to ensure on-time value delivery.  
- Authored business requirements, user stories, and job stories, conducting domain research to gather critical insights.  
- Collaborated closely with developers, UI/UX teams, and stakeholders to drive project success.  
- Supported pre-sales activities, including client meetings, estimations, and proposal preparation.  
- Contributed to company process improvements, role documentation, and stakeholder interviews, working alongside the CTO.  
- Led teams through daily stand-ups, 1:1 meetings, retrospectives, task management, and skills development.  

**Values & Interests**  
- Committed to ethical work, avoiding industries such as gambling, betting, banking, and dating.  
- Passionate about projects that create meaningful, positive change.  
- Thrives in collaborative environments where continuous learning and growth are encouraged.  

**Career Objective**  
Seeking a role where diverse expertise can drive impactful results while fostering professional development."
3123,"Certified Agile Project Manager | Certified Scrum Master  
Experienced in IT Project Management, Business Analysis, and Product Development  

**Key Skills**  
Agile Methodologies (Scrum, Kanban, DSDM) | Project Management Tools (Jira, Redmine) | Business Analysis | UI/UX Design | Prototyping (Axure) | Remote Team Management | Change/Risk Management | Scope Clarification & Prioritization | Leadership & Delegation | Business Development | Advanced Business English | Technical Background (PHP, Drupal, iOS, Android)  

**Professional Experience**  
- Managed IT projects from inception to completion, including startups and long-term products.  
- Led cross-functional teams in projects with 80+ members, ensuring successful delivery.  
- Conducted medical, business, and educational projects/products, implementing business analysis stages in customer relations.  
- Discovered and expanded into new Western markets, driving business growth.  
- Hired and managed developers, fostering a collaborative and productive team environment.  
- Completed dozens of projects successfully, fulfilling roles as Project Manager, UX Designer, Business Analyst, and QA Specialist.  
- Engaged clients in technology discussions, aligning solutions with business needs.  
- Managed remote teams effectively, ensuring seamless communication and project execution.  

**Certifications**  
Certified Agile Project Manager | Certified Scrum Master  

**Technical Proficiencies**  
Jira | Redmine | Axure | Mindmap | PHP | Drupal | iOS | Android  

**Languages**  
Advanced Business English  

**Preferences**  
Product-oriented companies | Professional growth opportunities | Informal work environment | Office near metro station"
3133,"8 years of experience as a Project Manager, Business Analyst, and Scrum Master in outsourcing and product environments.  

**Core Competencies:**  
- Agile project management (Scrum, XP, Kanban).  
- Product ownership and business analysis.  
- Presale activities (solution design, estimation).  
- Leading multiple development teams (3-9 members each) and managing concurrent projects.  

**Key Contributions:**  
- Guided teams and clients in Agile adoption (MVP, feedback loops, CI, pair programming, TDD, code reviews).  
- Improved organizational processes (Presale, Hiring, Onboarding, Feedback).  
- Provided 1:1 coaching and group facilitation (certified coach).  

**Business Domains:** Web, E-commerce, Gaming.  

**Workload Capacity:**  
- 1-3 concurrent projects/teams  
- OR 1-2 projects/teams + Presale engagement.  

**Principles:** Transparency in communication, simplicity in processes."
3134,"Bitbay.Market  
01/2018 - 06/2018 | Kharkiv Blockchain Project  
- Developed a suite of free-to-use, multi-platform applications, including the world’s first fully-functional Decentralized Marketplace.  
- Delivered MVP two weeks ahead of schedule, leading to a client investment exceeding $1 million.  
- Applied Agile methodologies: Scrum, Kanban, Lean, XP, and Waterfall.  
- Managed PMO tasks, including briefs, estimations, project plans, reports, and Gantt charts.  
- Conducted risk and resource management.  
- Proficient in touch typing.  

Project Manager/Scrum Master  
Sensorama Lab | 07/2018 - 06/2028 | Kiev  
VR, AR, MR, AI Development Company  
- Implemented Agile methodologies and principles across the organization, managing sprint planning, stand-ups, reviews, and retrospectives.  
- Collaborated with Product Owner to define, document, maintain, and communicate the product roadmap.  
- Created briefs, estimations, project plans, and other documentation.  
- Translated discussions into detailed user stories, epics, and tasks, managing backlog prioritization, tracking, and acceptance.  
- Managed release scope and schedule, ensuring timely delivery of value and maintaining schedules, documentation, and status reports.  
- Refined product backlog to eliminate ambiguity in specifications.  
- Worked with management to identify and implement team process and workflow improvements.  
- Defined and refined Agile metrics and reporting to communicate team performance.  

Project Manager  
Maybe.Works | 01/2017 - 06/2018 | Kharkiv  
Outsourcing IT Company  
- Led a team of developers, designers, 3D artists, and QA testers through the project lifecycle using Agile methodologies.  
- Acted as the primary client contact, building strong relationships and managing project-related communication.  
- Created and managed schedules, user stories, risk mitigation plans, scope, and budget tracking to ensure on-time delivery.  
- Sourced and managed external partners, ensuring clear transfer of project requirements and tracking progress.  
- Reviewed contracts and authored change orders as needed."
3135,"Certified SAFe® 5 Agilist  

Completed Product Owner Mentoring Program hosted by Pentalog  

**Endava**  
December 2021 — Present  
Agile Project Manager  

**FinTech & Banking Project**  
- Completed the main part of the Product’s Annual Roadmap on time and within budget.  
- Resolved issues with scope creep and managed dependencies with third-party vendors.  
- Established communication, stakeholder management, and reporting, creating a trustworthy and transparent environment.  

**Data Centre to AWS Migration Project**  
- Created a roadmap for Discovery and Migration Strategy.  
- Facilitated the Discovery process, including communication plan and workshop planning.  
- Managed resources, including team ramp-up and onboarding process.  

**Key IVR**  
March 2020 — November 2021  
Technical Project Manager  

- Delivered 15+ projects on time and within budget.  
- Proficient knowledge of major International Gateways (Barclays EPDQ, WorldPay, Global Payments).  
- Conducted high-level technical review of specifications.  

**Zeroqode**  
March 2019 — March 2020  
Project / Product Manager  

- Improved Backlog Health Status by introducing DoR & DoD, enhancing estimation accuracy.  
- Completed a new landing page for the company product, setting up metrics and customer behavior tracking, increasing conversion by 10% and reducing CPA.  
- Executed a growth-hacking campaign, bringing 15% new clients with different subscription plans.  
- Conducted customer development through direct communication, surveys, and other methods.  

**Enticon.app**  
December 2018 — February 2019  
Project Manager  

- Configured workflow for the first Kanban development team.  
- Decomposed technical assignments into estimable tasks.  
- Created and managed the onboarding process for new team members.  
- Provided reporting for C-Level management.  

**EBS Integrator**  
September 2018 — December 2018  
Project Manager  

- Created a complete project plan for a Fix Price project, including scope, time, cost, quality, HR, communication, and RAID management.  
- Tracked major project metrics.  
- Conducted weekly client reporting and facilitated demo sessions.  

**GoSocial**  
February 2018 — September 2018  
Project Manager  

- Delivered 2 web projects within budget and time, managing on-site and outsourced development teams.  
- Collaborated with internal departments (Design, SMM) to achieve post-launch goals.  

**Opportunities for Professional Growth and Development**  
- A collaborative and supportive work culture valuing teamwork, open communication, and mutual support.  
- Competitive compensation and benefits.  
- Work-life balance."
3136,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced IT professional with a background in web development and project management. Skilled in building and leading successful teams under challenging conditions. Proficient in people management and Scrum processes, with a focus on delivering impactful projects.  

**Professional Experience**  
**Project Manager**  
[Company Name] | [Start Date] – Present  
- Managed diverse projects including web, data-driven, and mobile applications.  
- Led teams ranging from 2 to 24 developers, ensuring successful project delivery.  
- Applied Scrum methodologies to optimize team performance and project outcomes.  
- Focused on fostering team growth and scalability, particularly in mid-sized projects of around 18 people.  

**Web Developer**  
[Company Name] | [Start Date] – [End Date]  
- Developed and maintained web applications, contributing to various projects.  
- Collaborated with cross-functional teams to deliver high-quality solutions.  

**Skills**  
- People Management  
- Scrum Process Knowledge  
- Team Building and Leadership  
- Project Management  
- Web Development  

**Education**  
[Degree, Major]  
[University Name] | [Graduation Year]  

**Interests**  
Passionate about working on exciting, globally impactful projects that benefit people worldwide."
3137,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Agile Project Manager with extensive experience in Scrum, Kanban, and Nexus methodologies. Proven track record of building and implementing Agile practices across 14 teams and establishing Scrum from scratch in 5 teams. Successfully managed over 100 production releases and guided teams from zero releases to regular monthly releases. Skilled in scope, release, people, risk, quality, and stakeholder management. Experienced in process creation, culture development, and team coordination across design and development departments.  

**Professional Experience**  
**Agile Project Manager**  
- Built and followed best Agile practices across 14 teams, establishing Scrum from scratch in 5 teams.  
- Managed over 100 successful production releases on live projects.  
- Acted as Crisis Manager, transitioning a team from zero releases to regular monthly releases.  
- Developed processes from ideation to development, testing, and release.  
- Coordinated the work of design and development departments.  
- Conducted PM interviews and interviewed tech specialists to ensure alignment with team and company values.  
- Worked on process standards, approaches, culture development, and implementation within development teams.  
- Built and maintained Scrum in multiple teams simultaneously.  
- Experienced in fintech, health, e-commerce, social networks, education, and other industries.  

**Scrum Master / Product Owner**  
- Started and maintained Scrum practices in teams from scratch.  
- Ensured successful delivery of team projects through effective scope, release, people, risk, quality, and stakeholder management.  
- Familiar with SAFe framework.  

**Skills**  
- Agile Methodologies: Scrum, Kanban, Nexus, SAFe  
- Project Management: Scope, Release, Risk, Quality, Stakeholder Management  
- Process Development: Ideation to Release  
- Team Coordination: Design and Development Departments  
- Crisis Management  
- Interviewing: PM and Tech Specialist Roles  

**Preferences**  
- Seeking a role in a product company with a healthy atmosphere and opportunities for process creation and decision-making.  
- Prefers flexibility in workplace location (office or remote).  
- Aims to enhance development process quality, speed, and transparency through knowledge and experience."
3138,"Karine  
Project Manager  

Professional Experience:  
Project Manager | [Company Name] | [Dates of Employment]  
- Minimized wasted effort and aligned team focus with client goals to deliver successful project outcomes.  
- Collaborated closely with software development teams to ensure efficient project execution.  
- Coached upper management on implementing Scrum and Agile principles company-wide.  
- Designed and optimized Jira environments, including components and swimlanes, to streamline developer workflows.  

Availability:  
- Monday to Friday, GMT+4 time zone.  

Contact Information:  
[Your Email Address] | [Your Phone Number] | [LinkedIn Profile or Portfolio Link]  

Best regards,  
Karine"
3139,"**Certifications:**  
- Scrum Certification (SAFe)  
- Soft Skills and Project Management Certification (ITEA)  
- PMP Exam Preparation Course  

**Professional Experience:**  
- Managed full project lifecycle for web development projects, including budget oversight.  
- Led project discovery phases to define scope, objectives, and deliverables.  
- Coordinated and delivered high-quality product releases within agreed timelines.  
- Facilitated Scrum ceremonies (stand-ups, retrospectives, estimations, sprint planning).  
- Planned sprints using Jira and Confluence, created tasks, and tracked time.  
- Maintained team performance by reviewing member progress and fostering growth opportunities.  
- Worked effectively with remote teams.  
- Served as Scrum Master for a team of 19 members.  
- Prepared PSRs (Project Status Reports) with detailed project updates.  

**Key Achievements:**  
- Successfully delivered a financial analysis web solution while managing 2 large and 3 small projects concurrently.  
- Contributed to launching an IT Project Management Process using Scrum methodology from scratch.  
- Received positive client feedback for project execution and deliverables.  

**Professional Interests:**  
Engaging projects, collaborative team environments, and continuous skill development."
3140,"CSM  
Management 3.0  

Over 4 years of experience in the Game industry, holding roles as Scrum Master, Scrum Coach, Project Manager, and Group Manager.  

**Responsibilities and Achievements:**  
- Expanded a company department from 10 to 40 employees.  
- Successfully implemented Agile values and principles across 40+ individuals.  
- Advocated for scaled Agile best practices and tools to maximize business and product value delivery company-wide.  
- Promoted a culture of quality, emphasizing a zero-defects approach across teams.  
- Managed and developed professionals within a matrix-like organizational structure, overseeing individual HR processes within teams.  
- Led continuous improvement initiatives in process and engineering practices at the company level.  
- Managed day-to-day operations of dispersed teams in Kiev, Kharkov, and Dnipro (20+ individuals).  
- Supported and empowered teams in evolving into self-organized Scrum teams, ensuring execution aligned with plans and commitments.  
- Coached and guided Scrum Masters in team ceremonies (sprint planning, demos, retrospectives), release planning, dependency and risk management, and impediment resolution.  
- Supported development processes and measured team performance.  

**Objective:**  
Seeking a role where I can fully express my capabilities and achieve exceptional results."
3141,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
More than 5 years of experience in agile project management for iOS, Android, and WEB development with teammates around the world.  

**Professional Experience**  
Agile Project Manager  
- Managed cross-functional teams globally for iOS, Android, and WEB development projects.  
- Implemented agile methodologies to ensure efficient project delivery.  
- Collaborated with international teammates to achieve project goals.  

**Skills**  
- Agile Project Management  
- iOS, Android, and WEB Development  
- Global Team Collaboration  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
[Graduation Year, if applicable]  

**Certifications**  
[Your Certifications, if applicable]"
3142,"[Your Name]  
[Your Address] | [Your Phone Number] | [Your Email] | [LinkedIn Profile] | [Portfolio/Website]  

**Professional Summary**  
Experienced Scrum Master and Agile Project Manager with a proven track record in team management, operations management, and client relationship management. Skilled in managing the development of cloud platforms and web applications, with a solid understanding of the Software Development Life Cycle (SDLC). Adept at fostering Agile culture, facilitating cross-functional collaboration, and delivering high-quality solutions that meet business needs.  

**Professional Experience**  

**Pacto Systems, Ltd, UK**  
*Scrum Master/Agile Project Manager*  
*08/2017 – Present*  
• Applied Agile values and principles to integrate Agile methodology into daily operations.  
• Conducted daily standups, sprint planning, sprint reviews, and retrospective meetings.  
• Organized Agile teams and supported the company’s cultural shift toward Agile practices.  
• Tracked team velocity and removed impediments to achieve sprint goals.  
• Performed backlog grooming, lead generation, customer relations, and business analysis.  
• Elicited, elaborated, and documented requirements, ensuring alignment with business needs.  
• Investigated data discrepancies and identified relationships between datasets.  
• Facilitated client demos and produced business requirements documents (BRD).  
• Ensured requirements met quality standards and were approved by stakeholders.  
• Updated backlogs based on client change requirements and analyzed processes for improvement.  
• Ensured compliance with policies, standards, and best practices.  
• Evaluated processes, products, and services to identify opportunities for optimization.  

**Tungus, LLC, Clermont, FL, USA**  
*Agile Project Manager*  
*10/2015 – 10/2017*  
• Built company operations from the ground up, automating processes and managing day-to-day tasks.  
• Oversaw document flow, client collaboration, and team coaching and motivation.  
• Ensured the team had the necessary resources for healthy operations.  
• Provided feedback and advice to the project team, ensuring effective team management.  

**Skills**  
• Agile Project Management • Scrum Mastery • Team and Operations Management  
• Client Relationship Management • Business Analysis • Requirement Elicitation  
• Process Improvement • SDLC • Strong Communication  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
[Graduation Year, if applicable]  

**Certifications**  
[Your Certifications, if applicable]  

**Interests**  
Seeking a workplace that values individuals as professionals and fosters a positive organizational culture. Passionate about contributing to environments where employees feel valued, motivated, and satisfied with their work."
3143,"**Resume**  

**Project Manager | Scrum Master | Agile Coach**  
Results-driven professional with extensive experience in IT project management, agile methodologies, and quality assurance.  

**Core Competencies**  
- **Agile Leadership**: 5+ years of experience leading and coaching agile teams (Scrum, Kanban).  
- **Quality Assurance & Test Automation**: 3+ years of hands-on experience in QA processes and automation.  
- **Process Optimization**: Strong expertise in setting up tailored development and QA processes, implementing Agile ceremonies, and scaling frameworks.  
- **Scaled Agile**: Proven ability to scale Agile for large teams (up to 100 members), establishing cross-team collaboration, synchronization, and release management.  
- **People Management**: Skilled in hiring, onboarding, mentoring, and personal development planning for team members.  

**Technical Proficiency**  
- **SDLC & CI Tools**: Jira, Confluence, Jenkins.  
- **Frameworks**: Scrum, Kanban, Scaled Agile Framework (SAFe).  

**Professional Approach**  
- Minimizing bureaucracy while maximizing agility and efficiency.  
- Advocating for product quality as a top organizational priority."
3144,"- Established and led an Agile team from inception, ensuring effective implementation of Scrum practices.  
- Facilitated daily scrum, sprint planning, sprint demo, and retrospective meetings to drive team collaboration and progress.  
- Coached team members on Scrum methodologies to enhance productivity and adherence to Agile principles.  
- Delivered client-facing demo presentations to showcase project progress and deliverables.  
- Guided the estimation and project planning process to ensure accurate timelines and resource allocation.  
- Onboarded and integrated new team members during project execution, ensuring seamless transitions.  
- Assisted the product owner in creating, prioritizing, and maintaining product backlogs using user story templates.  
- Identified and removed impediments to optimize team efficiency and project delivery.  
- Conducted risk assessments and implemented tracking mechanisms to mitigate project risks.  
- Analyzed user stories and requirements to align development efforts with client needs.  
- Mentored new team members to foster professional growth and team cohesion.  
- Managed complex tasks and contributed to continuous professional development in a dynamic office environment."
3145,"[Your Name]  
[Your Contact Information]  

**Professional Experience**  

**CTO**  
Agrifinance.io  
- Created and developed start-up Agrifinance.io from idea to successful product.  

**Head of PMO**  
Minexsystems.com  
- Gathered team and developed the first crypto-bank in the world.  

**Senior Project Manager**  
Prozorro.sale  
- Created and developed multiple small projects in state reformatory startup.  

**Certifications**  
- Certified Project Manager, TUV Rheinland Academy (Cologne, Germany)  
- Certified Specialist in ISO 9001, TUV Rheinland Academy (Cologne, Germany)  

**Summary**  
- Certified Project Management Professional (by TUV Rheinland).  
- Scrum Master.  
- Managed teams of up to 160 technical professionals.  
- Experienced in Fixed Price and Time & Material contracts.  
- Proficient in Scrum, Kanban, and Waterfall methodologies.  

Forward-thinking senior executive with a proven record of accomplishment in the high-tech field over a 10-year career. Driven and ambitious change manager dedicated to continuous business improvement, focusing on enhancing revenue and streamlining operations. Committed to profit maximization through multifaceted business approaches."
3146,"Certified Scrum Master (PSM I) and Agile Project Manager (ICP-APM)  
Proven track record of successfully delivering projects for over 3 years  

**Professional Experience**  
- Implemented Scrum framework, Kanban, and project management tools & techniques across multiple companies and teams  
- Improved company structures to enhance efficiency and productivity  
- Prepared, arranged, and conducted reports, workshops, and meetups focused on Lean startup, Lean software development, Agile, and Scrum methodologies  

**Key Skills**  
- Managing projects effectively, leading teams from ideation through development to commercial launch  
- Setting up efficient working processes for in-house and distributed development teams to achieve project goals within time and budget constraints  
- Superb communication and leadership skills, inspiring teams to achieve their full potential  
- Coordinating and planning project activities to exceed set targets  
- Promoting Agile culture, mindset, and acting as a change agent in any environment  

**Certifications**  
- Certified Professional Scrum Master (PSM I)  
- Certified Agile Project Manager (ICP-APM)  

**Personal Attributes**  
Decisive, committed, and skilled in creating environments where great ideas thrive"
3147,"**Professional Summary**  
Experienced IT and business professional with a strong background in team leadership, agile project management, and software development. Skilled in building and mentoring high-performing teams, delivering innovative products, and driving business growth in the iGaming and startup sectors. Fluent in English and German, with native proficiency in Ukrainian and Russian.  

**Key Achievements**  
- Built and led two teams in Ukraine: an IT engineering team for software development and an operational team for game/platform management.  
- Implemented Agile/Scrum methodologies to optimize development processes.  
- Mentored, coached, and fostered team collaboration to enhance productivity.  
- Successfully launched and operated a Fantasy Sport startup as a standalone business.  
- Developed and delivered multiple casino games in Flash and HTML.  
- Managed four concurrent mobile projects (iOS/Android), including business documentation (presentations, business plans, bids) and development specifications.  

**Core Competencies**  
**IT Practice:**  
Agile Project Management | Business Analysis | PMBOK | BABOK | SCRUM | Kanban | Waterfall | Mobile & Web Development | iGaming & Casino Industry  

**Business Competence:**  
Startup & Business Development | Marketing & Sales | Public Speaking | Brand & Product Management | Customer Service | Company & People Management | Team Building | Coaching & Motivation  

**Professional Experience**  
- Led teams of 20+ professionals in multinational environments (UK, German, and Swiss companies).  
- Managed cross-functional teams to deliver enterprise-level projects.  

**Languages**  
- English: Fluent  
- German: Upper-Intermediate  
- Polish: Low-Intermediate  
- Ukrainian: Native  
- Russian: Native  

**Career Expectations**  
- Enterprise-level projects  
- Collaborative and respectful team environment  
- Opportunities for creativity, learning, and professional growth  
- New challenges to expand expertise"
3148,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Agile Project Manager and Scrum Master with over 12 years of experience in software development. Proven expertise in improving project processes, implementing Agile best practices, and leading cross-functional teams to deliver successful business outcomes. Previously worked as a Software Developer and Architect for over 10 years, specializing in high-quality software development for US and European clients, with proficiency in C/C++.  

**Core Competencies**  
• Agile Project Management and Scrum Mastery  
• Software Development and Architecture  
• Expertise in C/C++  
• Communication, Consensus Building, and Conflict Management  
• Leadership and Team Coaching  
• Problem-Solving and Decision-Making  
• Liaison Between Management, Clients, and Teams  
• Multilingual: English, Russian, Ukrainian  

**Professional Experience**  
**Agile Project Manager and Scrum Master**  
[Current Company] | [Dates]  
• Improved project processes and implemented Agile best practices across teams.  
• Led and coached project teams to deliver results and drive successful business outcomes.  

**Software Developer and Architect**  
[Previous Company] | [Dates]  
• Developed high-quality software for US and European customers.  
• Participated in diverse and challenging projects, leveraging expertise in C/C++.  

**Education**  
[Your Degree, if applicable]  
[Your Institution] | [Dates]  

**Languages**  
• English (Excellent)  
• Russian (Native)  
• Ukrainian (Native)  

**Contact**  
If you have a project I can help with, please get in touch."
3149,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced Agile Project Manager and Delivery Manager with over 8 years in IT, including 4+ years specializing in Agile methodologies. Proven expertise in implementing Kanban, Scrum, Lean, and other Agile techniques to optimize product development, enhance quality, and improve efficiency. Skilled in leading cross-functional teams, managing large organizations, and driving cultural change through safe and human-compatible processes.  

**Professional Experience**  
**Agile Project Manager / Delivery Manager**  
[Company Name] | [Dates of Employment]  
- Implemented the Kanban approach across all levels of the organization, resulting in a doubling of deliverables and a 33% reduction in Time to Market.  
- Initiated cultural changes using the Kanban Maturity Model and Evolutionary Change Model, ensuring compatibility with human conditions and organizational safety.  
- Optimized processes to focus on critical deliverables, significantly improving efficiency and output.  
- Led atomic Scrum teams and managed cross-functional units of 40+ FTEs, with experience overseeing organizations of 100+ FTEs.  
- Applied Scrum, Kanban, Lean, and other Agile techniques to enhance product development quality and speed.  

**Skills**  
- Agile Methodologies (Scrum, Kanban, Lean)  
- Project Management  
- Team Leadership (Atomic Scrum Teams, Cross-Functional Units)  
- Process Optimization  
- Cultural Change Management  
- Time to Market Reduction  
- Deliverable Improvement  

**Education**  
[Degree, Major] | [University Name] | [Graduation Year]  

**Certifications**  
[Certification Name] | [Issuing Organization] | [Year]  

**Languages**  
[Languages Spoken]  

**Availability**  
Open to new opportunities. Let’s collaborate to make your organization “harder, better, faster, stronger.”"
3150,"**Professional Experience**  

**Delivery Manager & Scrum Master**  
- Managed and coached 3 Scrum Teams (40+ team members) concurrently in cross-functional environments.  
- Established end-to-end Release Management processes across multiple teams and domains.  
- Designed and implemented requirements gathering, processing, and delivery frameworks from inception.  
- Conducted high-level quarterly planning (Q-planning) and performance metric tracking for continuous improvement.  
- Achieved 4.9/5 overall team satisfaction through leadership and Agile best practices.  

**Key Responsibilities as Scrum Master:**  
- Facilitated Agile ceremonies (PBRs, sprint planning, stand-ups, retrospectives) and iteration demos.  
- Strengthened collaboration between developers, QA, BAs, and stakeholders through structured communication.  
- Implemented peopleware practices (1:1s, check-ins) to enhance team engagement and performance.  
- Conducted Scrum training workshops to foster Agile maturity.  

**Key Responsibilities as Project Manager:**  
- Led end-to-end project execution across FinTech and healthcare domains ($100–150K monthly budget).  
- Developed project plans, monitored timelines, and controlled scope changes with risk mitigation strategies.  
- Managed Risk Registers and stakeholder communication for transparency on progress and blockers.  
- Analyzed requirements via stakeholder interviews, user story mapping, and change request evaluation.  

(*Note: Formatting adjusted for clarity; no factual content added or removed.*)"
