Unnamed: 0,resume
98278,"During the UI/UX designer courses, I already have 4 pet projects. 
She worked both alone and in a team. In the team, she worked on the user interface, filter and verification methods in the web service.
About Me
I am a dedicated UI/UX designer from Ukraine, specializing in creating intuitive, convenient and beautiful design projects. I believe that understanding user problems is the starting point for creating design solutions. Overall, my passion for design, attention to detail, and willingness to learn and grow make me a valuable asset to any team committed to creating outstanding products.
· Figma (auto layout, styles, components, design systems)
· Creating user-centered designs by understanding business requirements
· Identifying and troubleshooting UX problems

Project Experiences
Lunushka Shop mobile app 
The main task was to create a mobile application for an online store. Before starting the work, a study was conducted, which included such main points as: analysis of competitors, analysis of the target audience, personas and their needs, wishes and fears, creation of user flow, detailed wireframes were developed, development of an intuitive and good design for the project, onboarding, creation animated prototype for the customer and protopie for onboarding.

Globetrot web service 
This project is devoted to the creation of a web service for the organization of an economic stay in different countries. An in-depth study was conducted with the help of which problems were formed and the design of solutions for their solution was proposed. Based on this, detailed wireframes and UI for the web service, adaptive design and animation of prototypes were developed.

Redesign Website Tattoo Studio
As part of this project, after a detailed analysis, the website was updated, modern design was developed, an understandable interface was created, and informative pages were developed to attract new customers and tattoo artists to cooperate with the tattoo studio.

Flower shop with delivery landing page
The project is dedicated to creating a landing page for a flower shop with an innovative delivery service. I carefully approached the project, conducting detailed user research, competitor analysis, and creating a persona. At the next stage, a moodboard was created. Paying attention to every detail, I created a prototype. Combining all this in a spectacular design, providing convenient navigation and a pleasant interface for customers. The purpose of this landing page is to make the process of choosing and ordering flowers as pleasant and convenient as possible for customers. The final process was the adaptation of the landing page for tablets and mobile devices.
Corporate training and development within the company.
Career growth.
Mutual respect and friendly atmosphere."
98279,"I was a team member in the project ""NADIYA"" pet search webservice, now we are working in the team on a mobile app for flower & gift delivery. Also I have two own projects: website redesign of ""MIMINO"" restaurant & hotel complex and landing for yoga studio.
ABOUT ME
I am a Junior UI/UX Designer with experience of working on the team and individual design projects.
Doing my projects, I perform the whole design cycle: analysis, developing ideas, prototyping, user interface design, adaptation. I competent at creating user-friendly interfaces with an easily navigable design.
I am open for work on interesting projects, which will close your goals and solve problems.

PROJECT EXPERIENCE 
Website redesign | Restaurant & Hotel Complex
October 2022 – November 2022

The aim was to redesign old website, make it more attractive, modern and user-friendly.
I've analyzed old website, found its disadvantages and solutions for it, picking up references. The detailed prototype, then visual design and adaptation were done for this project.

UI/UX Design | Pet Search Webservice
December 2022 – February 2023 

The goal was to develop a webservice that will help owners of lost animals find them faster.
It was a team project, so I've improved my communication, organisational, delegation skills and time-management. Competitor analysis, user personas, sitemap, high fidelity prototypes, user interface, adaptation were performed to create simple, usable and visually pleasing webservice.
- Mutual respect and friendly atmosphere
- Only remote work
- Corporate training and development within the company
- Career growth"
98280,"Successfully created two own project and one team-project.
Proficiently worked in Figma, Adobe Photoshop, Adobe Illustrator, Canva.
Skilled in using such web-service like SimilarWeb.
Efficiently worked with Design Systems, User Flows, CJM.
About me
I am a self-motivated and focused Junior UX/UI Designer who pays a lot of attention to details. 
My passion is to create high-quality products for users and businesses. 

Project Experience 
∙ Barbershop - Landing page
The purpose of this project is presentation and promotion of a new barbershop in Ukraine which offers different services and could attract potential customers. As a result was created a landing page with a range of services and also good design. During creating this project I used such tools as Figma and adobe Photoshop.
∙ India Cafe - Website redesign
The main goal of this project is updating the website of India cafe to attract more visitors and to demonstrate all advantages of this place. The design of this website was old and not attractive so the best solution of this problem is redesigning. To solve this task I've studied the key competitors and conducted several user interviews. As a result I've created an attractable website that is in good demand.
∙ Look for - Web-service
he goal was to analyze the target audience, developed a clear interface and work on the User Interface part. Also the main key of this project was to create safe and convenient platform to help people find and accommodation according to their opportunities and needs. Project was designed and launched in 3 stages: overall user-end interface, payment interface and admin-side interface. To create this platform I used such tools as Figma, Canva, Adobe Illustrator.
I would like to join a team and create high-quality products for users and businesses. I'm eager to accept any new challenges in the web-design processes."
98281,"While studying on the UI/UX design course, I worked on the following projects:
- Adaptive redesign of the site
- Adaptive design of a web service for hiring employees of a cleaning company.
- Development of a mobile application for booking tables in a restaurant
- And also performed many short tasks on web design according to the curriculum

I worked for 8 years in graphic design, I have a lot of experience in this field.

For the past 3 years, she was the Chief designer (Head of Department). My duties included: organization and preparation of the company's creative projects, development of concepts and designs in accordance with the company's corporate style. And also the organization of the work process for employees of the department.

The following projects were implemented:
- Re-design of the company website 
- Interface design for popcorn machine
- Landing design for KinoboardPRO
- Design-project for a city café, іnterior design of the conference-hall.
ABOUT ME

I aspire to gain experience in IT, learn and grow as UI/UX designer. I am passionate about digital product design for business and can make it easy in use, with understandable and intuitive logic and modern interface. I am a result-oriented person and ready for further development, for my clients to have the best possible design. 
I am a team player and ready to give your company all my experience and help it to profit even more.

PROJECT EXPIRIENCE

Redesign of the website, MAINSAIL, realty company.
The purpose of the redesign is to: update the design, divide the content into logical sections and create simple navigation, convenient forms and elements that will help
users interact with the site easily and comfortably.
To start the work, research and analysis of competitors was carried out, Wireframe, UI-kit was made, and further adaptation for Tablet, Mobile. Maintained color scheme
of the initial site.

Interface redesign for popcorn machine, Kinoprokat-Sumy.
For our company, the developers proposed a standard interface design for the popcorn machine.The task was to redo the design in the colors and style of the company. Change the background, button color, font, develop a new icon design. But without changing the size and location of the buttons. And also develop several animations.
I am looking for a reliable and qualified company. The possibility of career and financial growth.
Flexible work schedule to maintain work-life balance.
Remote work is preferred.

Contact me if you are looking for a UI/UX Designer who will benefit and be part of your team. 

I will be glad to communicate with you!"
98282,"
About me

I'm a motivated junior UI-UX designer with a background in HR and strong passion in design and innovation. I find great joy in creating visually appealing and user-friendly web-sites or apps. I like learning and always improve my skiills. I'm really excited about the idea of working for a great company and being around interesting people.


Project experience:
1. Eventize- mobile application (2023)
Eventize is a mobile application that provides users with the ability to find and book venues or events, as well as plan their own special occasions. This app offers a comprehensive platform for creating and managing events with the possibility to select necessary items by category and plan important tasks.

2. Guesture - web-application (2022)
Guesture is a web service that helps people to change their environment and work and rest in a new place. The idea is like couch-surfing, but for the opportunity to be a guest the visitor must pay or perform the work indicated by the host. The service is targeted toward student and young people who want to see the world, but don’t have enough money.
I am looking for a full-time or a part-time position in a company that innovative and growing.
I am a fast learner, responsible, and ready for challenging tasks."
98283,"I am the team leader of the team with whom I am working on the pet project of the web service "" Shine"" - a web service of cleaning companies. As a team leader, I am responsible for all organizational aspects, take part in the work on the project and do not forget to inspire and support my team
About me: 
I'm a responsible Junior UX/UI Designer with attention to detail. The user experience of the consumers of my project is important to me, so each of my work is very well thought out and done with quality, but also don't forget that it takes time. I focus 65% of my attention on the user experience part, respectively 35% on the visual part. 
Now I am the team leader of the team I work with on the courses I am taking. 
I want to become a professional UX/UI Designer and start my own brand.

My projects:
   -   Landing ""FlowerLover"" is my first pet-project of flower delivery. My task was to create a minimalistic one-page website with lots of images, but to implement it so that the site would not be overloaded and users could easily go with the action. Stages of my work: analysis of competitors and target audience, selection of references, moodboard, vairframes, protitype, paralelny folded ui-kit, slightly animated the project, made adaptations for tablet and mobile  and in the end made a case study on Behance.  

  -   Website redesign "" A Kids Place Childcare"" is a modern kindergarten. My main task was to redesign the website. The original site did not attract the attention of clients and the coverage had fallen. On this project I had to do the following stages of work: analyze the current site and find the problem, analyze the target audience and competitors, search for references, moodboard, wireframes, prototypes, ui-kit, adaptations, animation and case study on Behance. In the end, I managed to achieve the desired result and the project goal was fulfilled
I don't want to work with a client who doesn't value my work and time."
98284,"COURCES:
Web Design (UX/UI) Courses in UX Energy IT School, Jun 2018 – Sep 2018
After completing the web design courses I got knowledge of creating site structure, interaction flows, page wireframes and interface requirements as well as the visual styles for sites and
applications including layout, color, typography and iconography.
Adobe Photoshop, Adobe Illustrator, Adobe Experience Design, Axure, InVision
I’m seeking for a Junior UI\UX Designer position."
98285,"
A few words about me
Hello, my name is Dima, Iam from Kyiv.

I am a junior UI/UX designer with little
experience, but with a great desire to work on creating
applications with a convenient, modern and interesting
interface. I can make wireframes of varying detail and
prototypes that work with components and autolayouts in
Figma. I have experience in creating landing sites and
multi-page projects. I care about details, deadlines, and
most importantly about self-improvement. I've completed
a few courses and don't have much experience, but I'm
ready to increase my skills and knowledge!

Education:
Projector — Creative & Tech Online Institute
Web Design Beginning
2022-2022

Projector — Creative & Tech Online Institute
Web Design Junior
2022-2023
"
98286,"
A highly motivated and creative designer with a passion for delivering excellent user experience and beautiful UI. Having a strong understanding in design process,  as well as background in marketing, I am eager to contribute my expertise as a UI/UX or graphic designer.

On my current role as a sole Marketing Manager/Designer I am successfully covering the following task: 
- Designing various marketing materials such as brochures, leaflets, stands in Figma, Adobe Photoshop and Adobe Illustrator
- Creating images for the website, social media posts and  campaigns
- Planning and creating email newsletters
- Editing videos for social media
- Writing content for the website, marketing materials, various campaigns, email newsletters, etc.
"
98287,"Understanding of the interface design process and experience with them;

Ability to create prototypes for different types of products;

Ability to analyze conditions, test prototypes, and use data to improve design;

Understanding of user needs and knowledge of examples of good design;

Experience in creating simple and clear web browser layouts;

Experience in designing interactive UX applications;

Ability to work in a team and knowledge of the principles of collaboration.
alkima web & design
UI/UX Designer
March 2023 - to date

My tasks are to conduct user experience research. Creating sitemaps, developing warframes and user interfaces.

Have experience with the Webflow builder.

In this position, I also gained experience in creating banners for the website and creatives for social networks. Development of a logo.  Creation of a design system (concept).

Vinnytsia Distribution Company
Sales Manager 
Jan 2019 - Feb 2022
I look forward to working in a team and creating projects that help people make better use of technology. Develop interfaces for websites, mobile apps, and software."
98288,"
All of my work experience has been gained through freelance projects, ranging from small gaming projects in their early stages of development to cryptocurrency exchanges and websites related to cryptocurrencies in general. During this time, I had to interact with both project managers who acted as clients and web developers who clarified layout-related details.
"
98289,"
All work is done in Figma.
Study case 1 - designed a landing page for a Law Firm. The steps included - briefing the client, researching and analyzing the law field, creating mood boards, choosing fonts and colors, working with brand identity, wireframing, creating different design concepts, and creating the final design. After that, work included adaptive design for different gadgets, such as phones, and tablets.
Study case 2 - a website for a pastry shop with delivery. The main goal was to learn auto layouts in Figma and use previous knowledge of design basics.
"
98290,"
Although I have no previous work experience, I am a quick learner and easily adapt to new challenges. I am always open to learning new software and tools related to graphic design. I have skills in using Adobe Photoshop, Illustrator and Figma.
"
98291,"I have 2 own Pet-projects.
Succesfully created and executed test cases to ensure software quality and functionality.
Genereted comprehensive and accurate bug reports to help developers identify and resolve issues quickly.
Effectively utillized SQL to databases and verify data accuracy.
A motivated UI/UX designer who has the basic requirements for this profession. Creates seamless UI and UX with creative and functional design.
Let's create and implement cool projects together that will bring not only pleasure to users, but also decent payment for us.

Redesign for web-site “A Kids Place Childcare” (Study project)
This project is website redesign for  A  Kids  Place childcare located in North Olmsted, Ohio. It was developed children with a nurturing fun, educational, and  safe environment. 
Basic goals: create a good-structured, modern and user-friendly design. 
Design Process: User Research, Competitve Analysls, WireFrame, Prototype, Conclusions
Tools: Figma, Adobe illustrator

Web Service “Medical Clinic” (Study project)
This project is a web service for a private medical clinic, that will help: organize and document a meeting between a doctor and a patient; it will provide an opportunity to consult not only in the clinic, but also online; this will reduce the doctor's time spent filling out the documentation, by introducing speech recognition technology and filling out reports automatically; patients will have the opportunity to choose a doctor independently according to certain criteria and rating. We have created a visual solution for such a service with an overview of the necessary set of interface elements for successful use of the system. 
Responsibility: base line study, brainstorm, Jobs-to-be-done, User Flow, CJM, prototipe, UI, adaptation.
Tools: Figma, Adobe illustrator, Slack.
I am looking for a flexible work schedule or  full-time pisition in a company that is aimed at making both every day and business easier more productive and user-friendly. I am fast learner, respinsible and ready for challenging tasks."
98292,"Have graduated from mentoring on UX/UI Design, where landing pages, sign up / log in forms etc were created. Had worked in design studio in Kyiv on mobile app project ""DayDrive"" 
Spoken English is at an Advanced level
Appreciate solving UX problems and finding possibilities to improve user experiences. Proficient at conducting thorough researches, building wireframes and interactive prototypes. My approach is to find the balance between usability and aesthetics, between business solutions and user empathy. I’m looking for an opportunity to enhance my career and implement my skills and knowledge
"
98293,"Finished UI/UX Design Advanced lvl course with first-class degree diploma from IT School Hillel (took 2nd place in student rate),
Constantly taking design-related online course on different design-related resources.
Apr 2020 - till now - Freelance UI/UX Designer in Upwork (Top Rated)
- CRM re-design;
- Creating components library for site-builder service;
- Mob App design;
- CRM design

Sep 2019 - Mar 2020 - During my studies I've learned UX (from analyzing and investigation to prototyping), basics of typography, grid compositions, animations, color system, responsive design etc and put all gained knowledges into diploma project - CRM System for sport complex.

July - August 2019 - Working on a field which is not related with web-design, I've made landing page for educational courses, cooperated with developers (regarding testing and design CRM, web-design)  and decided to got education as UI/UX Designer.
I'm looking for company with warm and friendly team, where I could grow up as designer, taking part in challenging and interesting projects."
98294,"Ui/Ux
APR - MAY 2023
App Project
App Food Delivery
UX part including Persons, CJM, Empathy Map, Competitor analysis, Site Map, User Flow
UI part including Wireframing, Concept, Visual design 
JUNY 2023
Landing Page
Landing page for brewery craft beer
UX part including analyse competitors, information architecture, moodboard
UI part including wireframing, visual design,animation.
"
98295,"Study projects:
- Vinyl Shop web site: desktop/mobile version;
- Sign language study app: UX research, Human Interface/Material design, landing page;
- Car trip planning app: UX research, Design system, Human Interface design, Landing page;
Artists express themselves. Designers solve problems.

I was an arty kid who caused problems, so it was vital to turn my cons into pros and become a problem solver. Now I am an aspiring UX/UI designer who will not make your product just pretty but useful and money-making.

I've grown my skills in design and acquired a set of essential tools that will make your idea come true:

- Vector and raster graphics in Adobe Illustrator and Adobe Photoshop;
- Target audience research. UX research: User Flow, User Story, CJM, User Scenario;
- Low- and high-fidelity prototyping, interactive prototyping in Figma;
- Logo creating;

- Color theory;
- Typography;
- Composition;
- Material Design & Human Interface Guideline;
- Design systems & UI-kit;

- Styles, components, variants, autolayout in Figma;
- Adaptive design;

- Basic knowledge of HTML and CSS
- Tilda.

I am currently seeking a new job opportunity in the web design field. If you have something that might fit, please contact me/
"
98296,"I help a charitable foundation as a designer. (Creating a landing page, banners, logo)
As a beginner designer I don't have any experience in teamwork yet. While studying I got experience in creating various projects - landing pages, mobile apps, hf/lf prototypes, adaptive/responsive design, conducting UX research and much more) I want to further develop in design) Now in search of new experience and knowledge)
"
98297,"Designer with an experience in individual and teamwork on landing pages, website redesign, web services, and mobile application projects. I have developed 3 projects, one of which is a team project. Working on a team project, my role was to research and implement a patient-side user flow.
As a beginner designer with a desire to develop in the profession.
I have a solid knowledge base that I got during my IT courses. I have an understanding of the professional tools that are necessary for successful work in the field of design.
I have good communication skills and the ability to work in a team. I am open to feedback, ready to cooperate, and always take care of completing tasks on time.
I am looking for opportunities for development and growth in the profession and am open to new challenges.

PROJECT EXPERIENCE 

Landing page “Barbershop in Kyiv”
One-page site
The page will become an effective tool for attracting customers and promoting services. To achieve this goal, information about services, a description of the work of professional masters, customer reviews, and other advantages that distinguish Barbershops from competitors are posted.

Web service for a medical clinic  
Website fully, cycle design, teamwork
I worked on creating a patient page. The possibility of choosing an appointment for an online appointment or a live meeting with a doctor. View information about medical history and payment history.

Redesign for Design “KIDS PLACE”
A website full, cycle redesign
The project's goal is to create a modern and convenient site that will make it possible to attract more visitors. I made an adaptive version of the site for greater accessibility and expansion of the site’s target audience.
I'm looking for a full-time and part-time designer position at a company that's focused on creating user-friendly and productive
product for business and life considering the user experience.
I am a quick learner, purposeful, responsible, and ready to perform complex tasks."
98298,"In my arsenal, there is a non-commercial project in close cooperation with the customer and several pet projects, namely Landing Page, website redesign, housing reservation service, and application for booking tables in restaurants, cafes, and bars.

While working on the customer's project, the task was to develop a logo and create a corporate style for a young Ukrainian brand of modern women's clothing Ina&Mi. The task is completed, and the customer is satisfied. To create the corporate style of the brand, he used such resources as Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.

Figma and Adobe Photoshop resources were used in the work on pet projects. Performed market analysis, competitor analysis, work on personas and wireframes, sitemap, and UI|UX design. The corporate style of the company has been preserved in the work on the landing page and redesign.
As a beginner in UI/UX design, I analyze competitor sites, redesign, work on landing pages, websites, web services and mobile applications. My goal is to create an efficient and convenient user interface and experience for every user.

1. Freedom. Working in the development team of a free web service for booking accommodation, I gained experience working in a team to study and analyze competitors, develop strategies and collaborate on other important aspects of the project. This experience allowed me to develop communication and collaboration skills useful for my future work in a team environment. In addition, I possess leadership, flexibility, creativity, organization, and interpersonal skills that can be useful in working successfully in a design and development team.

2. InaMi. At graphic design courses, I gained experience working with the customer. Successfully created a logo and identity for the young Ukrainian women's clothing brand InaMi. In addition, I have skills in using Adobe Illustrator, Photoshop and After Effects to create visual solutions.
My expectations as a UI/UX designer are pretty simple.

Working as a team to create quality products for businesses and users that meet their needs.

To know that there is room for development and career in the company. Grow as a professional and in rank.

I expect the company to provide training, support, and mentoring opportunities.

What can I offer instead?

Support and assist colleagues to jointly achieve success in solving set goals and tasks.

Creativity and willingness to cooperate. Bring a fresh perspective on solving problems and tasks facing the team, and offer new ideas and solutions. Share your knowledge and experience with colleagues.

Enthusiasm and desire to learn from the experience of colleagues, learn new things, and develop."
98299,"Project Crypto Wallet allowed me to hone my skills as a UI/UX designer and provided me with valuable experience in designing for complex and challenging projects in the crypto space.
• Developed a secure and user-friendly platform for managing cryptocurrencies.
• Conducted user research and implemented user-centered design principles to ensure that the product met the needs of its target audience.
The redesign of the Cucina di Catherina online store was a challenging and rewarding project that allowed me to apply my UI/UX design skills to enhance the customer experience and achieve the client's goals.
• Successfully created a fresh, modern look that aligned with the brand's vision and values.
• Improved the website's user experience by making it more intuitive and engaging.
• Increased website traffic and engagement metrics by X% after the redesign.
As a highly creative and detail-oriented junior UI/UX designer, I have a passion
for crafting intuitive and engaging digital experiences. With a strong foundation
in design principles and a natural ability to solve complex problems, I am able to create user-centered designs that meet the needs of diverse audiences. I am eager to continue learning and growing as a designer, and I am excited to bring my skills and passion to a dynamic and innovative team.

Crypto Wallet Tutis
Application, full cycle design
This experience has challenged me to consider complex design problems such as security and data privacy, and to think deeply about the user's needs in managing their cryptocurrencies.
Throughout the project, I focused on creating a secure and intuitive platform that would provide a seamless user experience while ensuring the safety of their assets.
I also conducted extensive user research to understand the needs of crypto wallet users and incorporated their feedback into the design process. This helped to create a user-centered design that met the needs of a diverse audience.

Redesign Cucina di Catherina
Online Store Website, full cycle design
The goal of the project was to create a more modern and user-friendly platform that would enhance the customer experience and increase sales.
I began by conducting extensive user research to understand the pain points and needs of customers when shopping on the current website. I also designed new visual elements and a fresh color palette to modernize the brand's image and enhance the overall aesthetic of the site.
Throughout the design process, I conducted usability testing to ensure that the new design met the needs of users and addressed any issues that arose.

Skills:
• Adobe Suite.
• Creating web interfaces, mobile design, and landing pages in Figma. 
• Experience in the redesign.
• Developing user personas, user scenarios, and sitemaps.
• UX research and analysis of competitors.
• Using Google Material Design Guidelines.
• Work with photos in Photoshop.
• Design of icons, logos, and illustrations in Illustrator.
• Wireframing and Prototyping.
• Visual Interface.
• Site map and user flow.
• Adaptation
I expect to work on a variety of projects that require designing engaging and intuitive user experiences. Additionally, I would like to collaborate with cross-functional teams, including product managers, developers, and stakeholders, to ensure that my designs meet both business goals and user needs.

I would also like the opportunity to conduct user research and create user personas to inform design decisions. Furthermore, I would like to design wireframes and prototypes to test and iterate on design concepts, develop design systems and style guides to maintain visual consistency across products, collaborate with developers to ensure that designs are technically feasible and implemented correctly, advocate for user-centered design principles, and promote the user throughout the design process. Lastly, I want to continuously gather feedback and iterate on designs to improve the user experience.

Overall, I expect to work in a dynamic and challenging environment that requires me to think creatively and solve complex design problems."
98300,"In previous worked on various jobs, have good communication skills.
Currently I’ve just finished UI/UX design courses, have several personal projects.
As a highly motivated UX/UI designer, my passion for design is rooted in my desire to make complex tasks simple and enjoyable for users. I strive to create experiences that not only look beautiful, but also function seamlessly and provide value to users.  I am committed to continuously improving my skills to effectively contribute to the company's success.
"
98301,"
As a Junior UI/UX Designer, I am equipped with a diverse range of design skills and strong knowledge of various design tools and software. 
My education and training from Design IT Step Academy have given me the necessary expertise in graphic design, 3D modelling, animation and UI/UX design. 
Additionally, my proficiency in Figma, Photoshop, Illustrator, After Effects, Maya and Premiere Pro allows me to create visually appealing designs. 
I also possess a strong understanding of design principles and techniques such as prototyping, design research, SWOT analysis, typography principles, image making and illustrating which helps me to create effective and user-friendly designs
"
98302,"I was a team leader in the Paw Rescue project and had two main responsibilities: organizing the team's work and designing the prototypes' visual aspects.
As a junior UI/UX designer, I am passionate about designing aesthetically pleasing and effective web and mobile applications. I am driven by the desire to turn ideas into reality and create interfaces that solve problems and simplify daily goals for my target audience. With a keen eye for detail and a full cycle design approach, I analyze tasks, create prototypes, design visual styles, and implement them into usable and simple end products. 

Redesign for Italian sauce website
The project aimed to revamp a website to attract customers and make it user-friendly. Competitor research was done to learn from successful solutions. Improvements like updated color scheme, uniform photos, and modern typography were made to enhance the appearance and convenience of the site. I also made adaptations for the mobile version and the tablet.

Landing page for Flower Lover 
The project aimed to analyze the target audience for flower shop websites, create a clear interface that includes all the necessary menu items, and most importantly, build the interface from scratch.

Team work for finding lost pet service Paw Rescue
This is a team assignment, we were set a goal to design a website for finding lost and found animals. The main goal was competitor analysis, which helped to structure the website. It was also important to make a clear user flow that would quickly guide the user to the goal. We had experience working with the design system, and created a convenient and modern website interface.
I am looking for a remote office position in a company 
Mutual respect and friendly atmosphere 
Corporate training and development within the company
Career growth"
98303,"Skilled in using tools like Adobe Photoshop, Figma or similar software for creating user interfaces and visual designs.
Skilled in creating wireframes and interactive prototypes to visualize design concepts.
Able to design interfaces that adapt well to various screen sizes and devices.
Understanding of design systems and their components.
Proficient in creating user flows and journey maps to illustrate the path users take through an application or website.
Able to use graphic editing tools like Photoshop or Illustrator to create and modify visual assets.
Organized in managing design tasks, meeting deadlines, and collaborating effectively with team members.
As a Junior UI/UX Designer I had the chance to work on various web services and mobile apps. I collaborated with teams to design user interfaces that are easy to use and look good. For web services, I created layouts that worked well on different devices. When it came to mobile apps, I designed screens that considered touch interactions and made sure everything was clear and organized. I learned how to adapt to different project requirements and improve my skills. I used programes like Figma, Adobe Photoshop and Protopie to make layouts and mockups.
There are the description of some of my project that I worked with:
1. Tattoo studio website ""Custom Concepts"" redesign. This project is a redesign for tattoo salon website. The main purpose is to redesign the existing website - to make it easier and more convenient for customers. So I added some changes to the main color palette, use high-quality photos, create a simple booking form and also add a new structured visual hierarchy. 
2. Web-service for searching animals ""PetRescue"". PawRescue is a web application for searching lost pets in an online platform designed to help reunite lost animals with their owners. This application serves as a web-site where people can report and search for missing pets in their area. The goal of a web application for searching lost pets is to facilitate the reunion of lost animals with their owners by providing a platform where missing pet information can be shared, searched, and matched effectively. Main tools: Figma, Adobe Photoshop, FigJam, Adobe Illustrator.
My native language is Ukrainian and I'm fluent in Russian. I speak English at an upper-intermediate level and I'm also at the elementary level of Polish language.
I've been part of design projects where I helped make apps and websites. I want to keep learning and getting better at design. I'm ready to work on different projects and learn new ways to work as a UI/UX designer. I know how to use tools to create designs that look great on screens. I also care about making designs that everyone can enjoy. I always listen to feedback and make changes to designs to make them better."
98304,"I was a team lead in the Buki School project, organized the work of the team, and also presented the entire project to the customer.
As a junior UI/UX designer, I specialize in creating digital experiences that not only look great but also offer optimal user experience. I worked on landing pages, redesigns, web services and mobile applications. I have experience in conducting in-depth interviews, questionnaires, formation of personas and empathy maps.

Redesign for Buki School (Team Project)
Stakeholders have addressed such problems as the existing cabinet doesn’t seem intuitively simple and low attendance and involvement in visiting cabinet. We should create a new vision of cabinet, so students can quickly and intuitively find all the necessary information for them. A full-fledged UX research was conducted, which included competitive analysis, heuristics analysis, in-depth interviews, personas, surveys. A clickable cabinet prototype was also created.
I participated in all stages, as well as created a prototype and presented our project to the customer.

DocMe Web Service (Team Project)
The goal was to create web service that will help organize and document a meeting between a doctor and a patient. We have created web service with unique function of automatic report generation and separate cabinets in the forms of dashboards for the doctor and the patient. Such methodologies as competitor and target audience analysis, personas method, JBTD, CJM were used.
My role was in UX research and creating a main site and also I helped to make changes in patient's and doctor's cabinets.
I hope to be working with a team of like-minded individuals who are just as passionate about design and innovation as I am.  I expect my employer to recognize the value of investing in training and development, allowing me to keep up-to-date with the latest trends and techniques in web design."
98305,"I was a team leader on the ""Web-service for finding lost pets"" project. My responsibilities included determining the direction of work, distributing responsibilities between team members, and scheduling team meetings. Thanks to the organization of the workflow, the team managed to function smoothly, an intuitive interface was created that meets the expectations of the target audience, the project was completed on time and was highly appreciated by the mentor.

Also in this period of time I work together with student developers on a start-up project. The essence of the project is the creation of a web service to help accountants and other related professionals calculate salaries, bonuses, etc.
As a junior UI/UX designer who has completed a special course and has completed 6 study cases, I have gained valuable experience in the field of user interface and experience design. During your course, I was exposed to the principles of design and how to apply them to create user-friendly and visually appealing interfaces.

More about some my projects:
- Mobile app for mobile application for a chain of coffee shops.
The main task was to create an application design with an intuitively understandable interface, well-developed functionality and youth style. The design process included competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation and animation.

- Web-service for finding lost pets
This project was developed in a team.To create this service, a number of analyzes were carried out, such as analysis of competitors, analysis of the target audience, compilation of user-personas, JTBD, CJM, User-Flow. As a result, with the help of teamwork, a design was developed for a web service that fully meets the expectations of the target audience.  In addition to participating in analysis and development, I was aslo a team-leader so I organized work-process, distributed tasks between team members.

-Travel agency website redesign
The main task of this project was to create a clear and concise design for  a wide range of target audience. The main problem was to  figure out how to stand out from the competition and understand how to structure a large amount of information. In the course of the work, an analysis of competitors, an analysis of the target audience, the compilation of personas and the development of a user flow were carried out. In addition, the design included the development of wireframes, uidesign, adaptation and animation. The result of the work is a clean and neat design using quality photos.
I want to work in a team of specialists who strive to develop and improve the level of their projects. I want to put my theoretical knowledge into practice and be able to climb the career ladder over time."
98306,"
As a Junior UX/UI designer, basic knowledge is important to me. So I began my way from courses UX Design, Interaction Design on Projektor and UI/UX in Skill-up school . During my study I got strong theoretical knowledge and good implementation of UX principles. I participated in all stages of the project, starting with setting requirements of stakeholder, research, working with personas in Miro, task analysis to creating high-fidelity wireframes and interactive prototypes in Figma, usability testing and presentations. My projects are: planner application, re-design eCommerce website, landing page, CRM system, corporate website.
I am interesting in position where I can realize my potential and quickly develop myself, and bring more benefits to the company."
98307,"
As a Junior UX/UI Designer, I have worked on a diverse range of projects as a freelancer.
1. E-commerce skincare website redesign:
 -optimized the usability and visual design, conducted user research, including competitor analysis and user personas, to uncover users' pain points and preferences;
-utilized knowledge of usability heuristics to create intuitive prototypes and simplify the user experience. 
2. Landing pages for educational courses and Agricultural companies:
- employed clear call-to-actions to enhance user engagement;
- emphasized the benefits and outcomes of the courses, which allowed users to quickly understand the value they would receive by signing up;
- used a combination of color schemes, typography, and images that reflect the essence of selected topics.
All of the projects are designed to be fully responsive.
"
