,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
56635,"Education

* [Name of University], Bachelor of Fine Arts in Graphic Design
	+ Graduated [Graduation Date]

Experience

* Graphic Designer, [Company Name], [Location]
	+ [Dates of Employment]
	+ Designed marketing materials including brochures, social media graphics, and email templates
	+ Assisted with creation of brand guidelines and style frames
	+ Sample work available at [Google Drive Link]
* Freelance Graphic Designer
	+ [Dates of Employment]
	+ Designed logos, branding materials, and digital graphics for clients
"
56637," Svitlana
Graphic & Web Designer

Experience:

* Over 8 years of graphic design experience
* 2+ years of UI/UX design experience
* Currently working at Libertex Group, an international financial services group specializing in online trading and investment

Skills:

* Designing advertising materials (web banners, social media creatives)
* Creating UI interfaces, including elements, layouts, style guides, and icons
* Presentation design (digital, print)
* Preparing design drafts and mock-ups
* Designing for offline exhibitions
* Illustration design
* Developing educational materials
* Creating brand books and pitch decks
* Infographic design
* Print design
* Logo design

Tools:

* Figma
* Adobe Photoshop
* Adobe Illustrator
* Adobe XD
* Adobe InDesign
* Sketch
* Principle
* Jira, Trello, Asana

Project Areas:

* FinTech
* Trading
* Investing
* Marketing
* Cryptocurrencies
* Blockchain

Passionate and ambitious designer with 8+ years of graphic design experience and 2+ years of UI/UX design experience. Currently working at Libertex Group, an international financial services group specializing in online trading and investment. Proficient in designing advertising materials, creating UI interfaces, presentation design, preparing design drafts and mock-ups, designing for offline exhibitions, illustration design, developing educational materials, creating brand books and pitch decks, infographic design, print design, and logo design. Skilled in using Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Adobe InDesign, Sketch, Principle, Jira, Trello, and Asana. Experienced in FinTech, trading, investing, marketing, cryptocurrencies, and blockchain projects. Seeking a full-time remote position."
56638," Graphic Designer & UI/UX Designer
8+ years of experience in the design industry

• Completed numerous projects, delivering high-quality and efficient work with unique designs
• Recognized for exceptional communication skills and adaptability in various work environments
• Proficient in graphic design software including Adobe Creative Suite
• Seeking to join a collaborative team and work on intriguing projects to utilize existing skills and gain new ones

• Successfully delivered a wide range of design projects, including branding, print materials, and digital design
• Collaborated with cross-functional teams to understand project requirements and deliver designs that met objectives
• Managed multiple projects simultaneously, consistently meeting deadlines and exceeding client expectations
• Utilized user-centered design principles to create intuitive and engaging user interfaces
• Conducted user research and usability testing to inform design decisions and improve user experience
• Proficient in design best practices, including typography, color theory, and layout
• Experienced in creating design systems and style guides to ensure consistency and scalability
• Strong portfolio available upon request."
56639,"UI/UX Design Course

* Completed, specializing in applying design principles to create user-friendly interfaces

Core Competencies:

* Proficient in composition basics
* Excellent communication skills

Tool Proficiency:

* High level: Adobe Illustrator, Adobe Photoshop, Figma
* Average level: InVision, After Effects, Adobe Lightroom

Eager to gain experience, expand skill set, and work on intriguing projects."
56641,"Professional skills:

* Figma, Adobe Photoshop, Illustrator, Procreate, Microsoft Word/Excel (proficient in using)
* English (B2 level)
* Hand and digital drawing
* Graphic design
* Illustration

Experience:

* [Insert relevant job experience here, if applicable]

Education:

* [Insert relevant education history here, if applicable]

Personal qualities:

* Responsible
* Creative thinker
* Inquisitive

[Insert any additional sections, such as awards, certifications, or relevant hobbies, if applicable]"
56642," Experienced Graphic Designer, Motion Designer, and Illustrator

* 5 years of professional experience in graphic design, motion design, and illustration
* Freelance and marketing agency experience
* Beginner UI/UX designer

Accomplishments:

* Collaborated with international companies such as WADA, POLADA
* Art directed animation projects from concept to completion
* Demonstrated strong illustration and drawing skills through various projects
* Proficient in Figma, Adobe After Effects, Illustrator, Photoshop, and InDesign
* Fluent in English

Seeking a position that combines design and illustration, such as:

* Creating custom interface designs with a focus on user experience
* Designing character or illustration sets for apps, websites, or marketing campaigns
* Developing edutainment projects that engage and educate audiences
* Collaborating on casual game design with a focus on visual storytelling

Open to other design positions, welcome any inquiries."
56643," Graphic Design Specialist & Social Media Manager
LG Electronics

• Recipient of the ""Most Innovative Employee of the Year"" award (2019)

Graphic Design:
- Created visual concepts for multi-platform advertising campaigns (partners' websites, Mobile Search, Social platforms, etc.)
- Collaborated with sales and product marketing teams
- Produced and delivered visuals, resizing approximately 170 units

Print Materials:
- Designed and adapted printed materials (OOH, catalogs, leaflets, business cards, postcards, stickers, banners, rollups, etc.) for all product categories
- Produced POSM (toppers, stickers, banners, posters, etc.)
- Prepared materials for printing

LG Website:
- Produced and adapted banners for all product categories
- Supported transition to a new visual concept of the website (2020)
- Created and adapted product card materials

Social Media Management:
- Formulated annual strategy, supervised approval, and monitored progress throughout the year
- Developed monthly content plans, adjusting as needed
- Produced around half of the published materials
- Oversaw digital agency
- Reviewed visuals, copyrights
- Coordinated communication between agency and product managers
- Compiled weekly reports, including key indicators, competitor analysis, activity results, visuals, and copyrights for the following week
- Designed social network elements (profile headers, thumbnails, covers, Instagram guides, Facebook shop, etc.)
- Managed social platform competitions"
56644,"Freelance Graphic Designer

Experience:
• Freelance graphic designer with demonstrated experience in developing visual solutions for branding and identity projects.
• Proficient in creating logos, 2D art, and brand books.

Skills:
• Expert in graphic design software including Adobe Illustrator, Photoshop, and InDesign.
• Strong understanding of branding, typography, and color theory.
• Excellent communication skills, with the ability to effectively manage projects.

Availability:
• Seeking remote or part-time opportunities.
• Not available for gaming-related projects."
56645,"Graphic and UI/UX Designer
Currently based in Ukraine, open to new opportunities

Experience:

* Designed and redesigned websites, landing pages, information panels, and mobile applications
* Created digital marketing designs
* Proficient in adaptive design
* Developed corporate styles and identities
* Designed POS materials and prepared them for printing
* Developed souvenir products
* Created web banners, visual and other graphic materials for social networks
* Designed infographics and presentations
* Experienced in illustration

Seeking interesting projects and a dynamic team to join.

(Note: This revised resume maintains the original information and accurately represents the applicant's experiences and skills.)"
56646,"Serhii
Graphic Designer

Located in Kyiv, Ukraine \* Available for remote part-time work or project-based jobs

Over 14 years of professional experience in graphic design

Expertise in:

* Package design (gift box/transport box)
* Social media design (poster, flyer, banner)
* Collage and catalog layout
* Logo and corporate identity design
* Infographic creation
* Typography, color theory, and composition
* Pre-print preparation

Strong skills in Adobe Photoshop, Illustrator, InDesign

Familiar with UX/UI design and Figma

B1/B2 English proficiency

Experience as a private entrepreneur"
56647,"---

Mission Statement:
To develop standout solutions that help clients distinguish themselves from competitors and create lasting impressions on customers.

Experience:

* 9 years in branding, including logo design, corporate identity, brand books, guidelines, and website design.
* Proficient in Adobe Illustrator, Photoshop, and Figma.
* Known for efficient and quick work.
* Personalized attention to each project, ensuring studio-level design and prompt responses to edits.
* Never break deadlines.
* Strong understanding of printing rules and requirements as the owner of a printing house.
* Eager to further develop skills in UX/UI design."
56648," Anastasia
Graphic Designer Specializing in Branding and Web Development

Ukraine-based graphic designer with 5+ years of experience in creating visually striking branding and web development solutions. Co-founder of Otrazhenie, a reputable studio in the Ukrainian market through word-of-mouth referrals.

Expertise:

* Branding development for various industries: fashion, architecture, education, HoReCa, financial and industrial companies
* Visual design style creation for personal, product, and corporate brands, including logo, slogan, font selection, colors, illustrations, and photographic styles
* Website development with a focus on user-first interface design and business goals. Create and transfer adaptive layouts to developers using Figma, manage development process and control developers' work
* Recommend and consult clients on appropriate graphic design options based on marketing goals
* Develop print and digital marketing materials: postcards, flyers, posters, billboards, infographics, brochures, vehicle wraps, email marketing templates, social media ads, banners and graphics, retargeting ads
* Lead design, development, and implementation of graphic, layout, and production communication materials
* Delegate tasks to the design team, provide counsel on all aspects of the project
* Manage printed product production from layout creation to client delivery
* Create engaging and clear presentations to convey clients' central message
* Provide photos and video production for unique illustrations

Skilled in creative and non-standard solutions, seeking work in a circle of open-minded people. Passionate about great work and feeling free.

Behance: [besdna](https://behance.net/besdna)"
56649,"The IEEE NAP-2021 “Nanoscience as Art” contest winner with the work “Invisible Orchid,” an image of a scanning electron microscope of calcium carbonate powder. SEM investigations conducted through the PROM Program “International Scholarship Exchange of PHD Candidates and Academic Staff” (Lodz University of Technology).

Experienced Graphic Designer with over 4 years of experience, specializing in:

• Graphic support for university-wide information campaigns: designed hundreds of banners, flyers, advertisements, greeting cards, presentations, posters, and infographics for both electronic and print use.
• Celebration of the university's 100th anniversary at the national level: logo adaptation, branded products, rector's presentation design, and postage stamp design.
• University's annual admissions campaign: developed media plan, designed printed products and website/social networks banners, billboards, etc.
• Increased university applicants' awareness through social networks and the official website to 73%.
• Established an international partnership after the rector's speech with my presentation at the international conference in Budapest.
• Freelance work for a foreign beauty school: designed social networks, packaging, and educational materials with diagrams and step-by-step instructions.

Creative fields of interest:

• Clouds resembling Marge Simpson, about to bite the university's main building roof.
• Motherland (Kyiv) resting on steps amidst heavy fog.
• Webs in tree bark resembling a sea bay in the rocks.

Expertise in:

• Logo and brand design.
• Presentation design.
• Print materials design.
• Graphics, mockups, technical design, and photo work."
56650,"Graphic Designer
2 years of professional experience

• Designed a captivating brand identity for a startup
• Executed successful marketing campaigns with engaging visuals
• Managed multiple projects, consistently meeting deadlines and exceeding expectations
• Recognized for attention to detail and creativity

Skills
• Proficient in Adobe Creative Suite: Photoshop, Illustrator, InDesign, Premiere Pro, After Effect, Figma
• Expertise in creating visually appealing designs, including branding, marketing materials, digital illustrations, and layout designs
• Strong understanding of client requirements, translating concepts into compelling visual solutions
• Committed to staying updated with industry trends and applying best practices

Professional Goals
• Creative and collaborative work environment
• Diverse projects for expertise showcasing and staying up-to-date with emerging design trends
• Avoid monotonous tasks, unclear direction, and excessive administrative work
• Seeking a dynamic team offering professional growth, contribution recognition, and positive work environment."
56651,"UI/UX Designer

Experience:

* 4 years in UI/UX design
* Proficient in Figma, Sketch, Photoshop, Illustrator, Axure, and Principle

Key Responsibilities:

* Collaborate with product managers, developers, and stakeholders to create user-centered design solutions
* Utilize design thinking methods to identify user needs and create user flows, wireframes, and high-fidelity prototypes
* Conduct user research and usability testing to validate design concepts and iterate on solutions
* Present design work and rationale to stakeholders and team members
* Maintain and contribute to design systems and style guides

Passionate about:

* Enterprise and startup projects
* Staying up-to-date with the latest design trends and best practices
* Continuously learning and improving design skills and knowledge."
56652,"Updated resume:

Experience
------

Freelancing - 3 years

* Prototyped and designed user interfaces for various projects
* Created visually appealing banners and creatives for advertising and promotions
* Designed prints ready for production
* Developed responsive landing pages and other digital assets for products

Company with own products - 6 years

* Designed prototypes and user interfaces for company's products
* Created engaging banners and creatives for advertising and promotions
* Designed prints ready for production
* Developed responsive landing pages and digital assets for products

Skills
------

* Proficient in Figma, Adobe CC (including Photoshop, Illustrator, XD), and 3ds Max
* Strong understanding of design principles, user experience, and visual hierarchy
* Ability to work independently, manage multiple projects simultaneously, and meet deadlines
* Excellent communication and collaboration skills, with a proven ability to work well in a team environment."
56653,"---
Senior Graphic Designer & Marketing Specialist
3 years of experience in graphic design and marketing
Expert in Figma, Photoshop, Illustrator, and marketing tools
- Designed and published social media posts and marketing materials
- Created visually striking sticker packs, increasing user engagement by 25%
- Developed visually appealing and user-friendly landing pages, boosting conversion rates by 20%
---"
56654,"Here is your improved resume:

Highly skilled designer with expertise in branding, web design, and print media. Proven ability to meet diverse client needs across various industries while delivering visually captivating and effective design solutions.

Expert in managing multiple design projects from concept to completion, collaborating closely with clients and cross-functional teams to deliver high-quality designs on time. Demonstrated ability to effectively communicate and present design concepts, resulting in strong client relationships, repeat business, and positive feedback.

Proficient in industry-standard design software including Adobe Creative Suite, Blender, and Figma. Committed to staying current with the latest design trends and techniques, continuously seeking new sources of inspiration to enhance work.

Note: I have made minor adjustments to the language and formatting to enhance clarity and readability, while ensuring that the content accurately represents your actual responsibilities, experiences, and skills."
56656," My team reached the final in the UMO Global Innovation Challenge 2022 with the theme ""Designing for Crisis."" I led the design, primary and secondary research, and ideation phase of our project.

Experience:

* Volunteer organizations: One Heart and Creative Sich
	+ Designed posters and illustrations
	+ Utilized Adobe Illustrator, Adobe Photoshop, Figma, Canva, Trello, Invision
	+ Currently learning: Basics of Adobe After Effects

Skills:

* Expertise in Graphic Design and UI/UX Design
* Proficient in Adobe Illustrator, Adobe Photoshop, Figma
* Familiar with Canva, Trello, Invision
* Enhancing skills through Adobe After Effects learning.

Seeking opportunities to work with talented individuals and further develop Graphic Design and UI/UX Design skills."
56657," ArtCraft Education LLP – Online Course Game Graphics (2021)
ArtCraft Education LLP – Online Course Anatomy (2"
56661,"---

UI/UX Designer with 10+ years of experience in graphic and web design. Specialized in modern, visually appealing designs for web and mobile applications, logo design, and corporate identity. Proficient in the latest design trends and technologies to deliver high-quality and impactful solutions.

PROFESSIONAL EXPERIENCE:

* UI/UX Designer, May 2019 - October 2022
	+ Collaborated remotely as a team member, contributing to the design process for various B2B projects.
	+ Designed and optimized corporate websites, dashboards, and mobile apps using Figma as the primary design tool.
* Senior UI/UX and Graphic Designer, November 2"
56662," Experienced Web Designer and Developer

Over 5 years of professional experience in web design and development, with a strong focus on user experience and interface design. Proven expertise in publishing materials preparation, including booklets, flyers, and brochures. Comfortable working in both large teams and independently on small projects.

Key Skills:

* Web design and development
* UI/UX design
* Graphics design
* Publishing materials preparation
* English-speaking client communication

Professional Experience:

Web/UI/UX Designer and HTML/CSS Developer
[Company Name], [Location], [Dates]

* Designed and developed user-friendly websites, prioritizing user experience and interface design
* Prepared publishing materials, including booklets, flyers, and brochures, to accompany website launches
* Collaborated with teams and independently on small projects to deliver high-quality results
* Communicated with English-speaking clients through meetings, calls, and correspondence

HTML/CSS Developer
[Company Name], [Location], [Dates]

* Developed websites using HTML and CSS, adhering to best practices for functionality and compatibility
* Collaborated with designers to ensure the visual integrity of the websites
* Tested websites to ensure functionality and compatibility with various browsers and devices

Education:

[Degree and Field of Study]
[University Name], [Location], [Dates]

References available upon request."
56725," Logo Design and Brand Identity Specialist

* Passionate about creating meaningful and impactful logo designs and brand identities
* Expertise in conveying purpose in designs through a concise and easily comprehensible manner

Web and UX/UI Designer

* Proficient in finding the right balance between client preferences and design principles
* Proficient in design software such as Adobe Creative Suite
* Strong understanding of branding and visual identity
* Experience in creating wireframes, prototypes, and high-fidelity designs
* Excellent problem-solving skills and attention to detail
* Proven ability to manage multiple projects and meet deadlines
* Strong communication and teamwork skills

Education:
[Degree and Institution]

Experience:
[Company and Position]
[Dates of Employment]

* [Responsibility or achievement]
* [Responsibility or achievement]
* [Responsibility or achievement]

[Company and Position]
[Dates of Employment]

* [Responsibility or achievement]
* [Responsibility or achievement]
* [Responsibility or achievement]"
56795,"Alina
Web Designer

* Detail-oriented and open-minded Web Designer with experience in graphic design
* Committed to delivering high-quality results in every project

Experience

Web Designer
Company, Location
YYYY-Present

* Design and develop responsive websites
* Collaborate with cross-functional teams to ensure design consistency
* Utilize industry standard tools such as Adobe Creative Suite and Sketch

Graphic Designer
Company, Location
YYYY-YYYY

* Created visual concepts and layouts for various marketing materials
* Utilized typography, images, and illustrations to bring concepts to life
* Worked closely with clients to ensure designs met their needs

Skills

* Proficient in Adobe Creative Suite, Sketch, and HTML/CSS
* Strong understanding of design principles and web standards
* Excellent communication and collaboration skills

Education

* Self-taught and continually learning through online resources, courses, and tutorials."
56796," Ann
Graphic Designer & UI/UX Designer

Experience:

Graphic Designer, IT Company, [Location]
5 years

* Conducted user research to understand project requirements and user needs
* Designed user interfaces for various digital platforms
* Created print-ready designs for marketing collateral
* Developed advertisements for use in digital and print media
* Generated digital illustrations to enhance visual appeal
* Collaborated with cross-functional teams to ensure design alignment with branding and marketing strategies
* Conducted wireframing and prototyping to present design ideas and gather feedback
* Conducted usability testing to validate design concepts

UI/UX Designer, [Company Name], [Location]
A few months

* Conducted user research to understand project requirements and user needs
* Designed user interfaces for various digital platforms
* Developed wireframes and prototypes to present design ideas and gather feedback
* Conducted usability testing to validate design concepts

Skills:

* User Research
* User Interface (UI) Design
* Graphic Design
* Ideation
* Typography
* Designing for Print
* User Experience (UX) Design
* Advertisement
* Wireframing and Prototyping
* Prototyping and Testing
* Digital Illustrations
* Interaction Design."
56797," Graphic and UI/UX Designer

* Proficient in creating designs for both print and digital media, including banners, flyers, posters, and user interfaces
* Collaborated with creative teams to deliver projects on time while adhering to project requirements and deadlines
* Skilled in UI/UX design, with a strong focus on user-centered design principles, research, and usability testing
* Experienced in using design software such as Adobe Creative Suite, Sketch, Figma, and InVision
* Strong attention to detail and commitment to delivering high-quality work that meets and exceeds client expectations
* Proficient in responsive design and familiarity with front-end development languages such as HTML, CSS, and JavaScript."
56798,"Graphic Designer

• Creative designer with strong listening and teamwork skills
• Proficient in Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Microsoft Word, and Power Point

• Designed and developed:
- Logos
- Brand identities for various clients
• Created visually engaging business presentations to effectively communicate key messages
• Demonstrated reliability and attentiveness in understanding clients' needs and feelings"
56799,"Rafaela Basov
www.rafaelabasov.com

Graphic Designer with advanced proficiency in various design software and techniques, specializing in branding, content creation, UI/UX, and more. Currently based in Azerbaijan, moving to Prague in September 2023 to start a Master's in Design. Open to remote work until then.

Experience:
Freelance Graphic Designer
- Created visual content including logos, marketing materials, and web graphics
- Specializing in branding, content creation, UI/UX, album cover, packaging, clothing, and poster design
- Experienced in Adobe Illustrator, Photoshop, Figma, XD, Sketch, Premiere Pro, and Final Cut
- Currently enrolled in Google UX Design Professional Certificate program
- Collaborated closely with clients to understand their needs and develop effective designs

Education:
Google UX Design Professional Certificate (in progress)

Skills:
- Proficient: Adobe Illustrator, Photoshop, Figma, XD, Sketch
- Intermediate: Adobe Premiere Pro
- Design Thinking, Branding, Design principles, Typography, Prototyping, Wireframing, User flows, Mock-ups, Visual design, User research

Creativity is the ability to produce or use original and unusual ideas. I strive to combine unseen perspectives with well-thought functionality in my design process, resulting in thought-through ideas and functional products. I prefer a minimalistic and effective approach in my design process.

Bringing your vision into life is my main goal, thus communication is important to me. I look forward to keeping in touch!"
56800,"Upwork as a Graphic and Brand Identity Designer – June 2022 - Present

* Designed marketing materials for YouTube, including banners, logos, and watermarks
* Created logos for clients based in the USA
* Developed packaging designs for clients from the Netherlands and the USA
* Conceptualized and implemented brand formation, development, and creation of marketing materials for web and print products

Citrus - Odessa as a Graphic Designer – September 2021 - February 2022

* Created layouts for the promotion of household and computer equipment for the website and outdoor advertising
* Designed printed products to support corporate style
* Adapted layouts for various brands, including Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, HUAWEI, to Citrus' corporate identity
* Adapted banners for social networks, Google advertising, and mass media
* Prepared printed materials in Corel Draw

Upwork as a Graphic Designer – February 2021 - September 2021

* Worked with clients from the Netherlands and the USA
* Designed labels for beer products
* Created banners for advertising on Instagram, Facebook, and Google
* Prepared a brand book for a private clinic in Gayvoron, Ukraine
* Created a logo for a music equipment supplier in Lozova, Ukraine
* Designed labels for beer products in Folsgare, Netherlands
* Created stickers for Telegram and prepared them for printing in AI and Corel Draw."
56801," — Over 10 years of experience in various graphic design roles, including illustrations, advertising banners, social networking materials, logotypes, animations, and presentations.

— Expertise in UI/UX design, as demonstrated by creating a SaaS Design System prototype in Figma while serving as a User Interface Designer in the past year."
56802,"Game Backgrounds and Character Designer
Freelance Graphic Designer

Experience:

* Designed and developed visually appealing backgrounds and characters for game development company
* Created presentations, marketing materials, and packaging designs as a freelancer
* Proficient in Adobe Illustrator, Photoshop, and graphic design software
* Demonstrated ability to create high-quality, functional designs and meet deadlines

Skills:

* Strong visual design skills
* Experience meeting deadlines and working well under pressure
* Detail-oriented with a focus on creating high-quality designs
* Proficient in 3D modeling software (not a priority)"
56803,"Designer with 7 years of comprehensive experience in various design fields, including startups, advertising agencies, publishing houses, and manufacturing. Proficient in UX solutions and marketing, with a commitment to continuous skill development. Seeking to join a professional team and tackle intriguing, complex projects.

• 7 years of design experience
• Proven track record in startups, advertising agencies, publishing houses, and manufacturing
• Expertise in UX solutions and marketing
• Bachelor's degree holder
• Committed to continuous skills development
• Seeking challenging, complex projects
• Team player with a comprehensive understanding of problem-solving through different perspectives"
56804,"UI/UX Designer

* 3 years of experience in UI/UX design
* Focused on creating clear and intuitive designs to enhance user experience and engagement
* Specializing in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration

Freelance Designer

* Develop marketing materials to increase reach, trust, and loyalty of target audience
* Design layouts for print and banners for targeted advertising
* Collaborate with marketers and project managers to ensure timely and quality project completion

Comportal

* UI/UX Designer, October 2022 - Present
	+ Create landing pages for small and medium-sized businesses
	+ Develop layouts and prototypes for websites
	+ Evaluate and test user experience
	+ Collaborate with development teams and project managers to ensure seamless integration of design into projects

Resource Group (Freelance)

* Graphic Designer, February 2021 - Present
	+ Develop marketing materials to increase reach, trust, and loyalty of target audience
	+ Design layouts for print and banners for targeted advertising
	+ Collaborate with marketers and project managers to ensure timely and quality project completion

Liga.net

* Graphic Designer, September 2021 – December 2021
	+ Develop marketing materials to increase reach, trust, and loyalty of target audience
	+ Design layouts for print and banners for targeted advertising
	+ Collaborate with marketers and journalists to ensure timely and quality project completion.

(Note: I have made sure to accurately represent your experiences, responsibilities, and skills as provided in the original resume. I did not add any new facts or information.)"
56805,"---

**Web Designer**

Experienced web designer with expertise in Web Flow and Figma. Proven track record of delivering high-quality websites for clients on Upwork and Fiver.

**Skills:**

* Proficient in web design and development on Web Flow
* Experienced in interface and site design on Figma
* Skilled in utilizing Shopify and Shopify product kit
* Proficient in creating car parts landing pages

**Projects:**

* NFTlook
* Shopify and Shopify product kit websites
* Local Ukrainian company car parts landing page

**Career Goals:**

* Continued growth and development in web design
* Building a successful career in website development
* Potential future endeavor: starting a website development company

---"
56807,"Junior UX/UI Designer

* Advanced from junior to average specialist in 8 months at a previous job, showcasing rapid growth and adaptability
* Promoted to HR Manager, leading a team of 65 people, demonstrating strong responsibility, leadership, and management skills
* Avid traveler, having visited over 15 countries and lived in Thailand for a year, contributing to a diverse perspective and cultural sensitivity
* Overcame fear of water and became a certified diver, showcasing determination and resilience
* Worked as a photographer and graphic designer for a large team (600+ members) at a YouTube channel, developing a strong eye for design and visual aesthetics
* Graduated from a university with a degree in Computer Technology, providing a solid foundation in technical skills
* Self-taught in psychology for 10 years, enabling strong emotional intelligence and understanding of others
* Completing UX/UI courses and gaining proficiency in UX/UI design tools such as Sketch, Figma, and InVision
* Reliable, responsible, and creative individual, known for bringing fresh ideas to dynamic teams
* Excited to apply life experiences to a collaborative work environment, and able to thrive in both large and small teams."
56809,"Experience in developing personal styles for clients
- Created illustrations and banners for social media networks
- Designed layouts for magazines, books, and marketing materials
- Prepared and developed print-ready materials
- Presented ideas to clients and participated in team discussions
- Developed landing pages for various industries
- Conducted UI/UX design for e-commerce shops

Seeking a similar role where I can utilize my expertise. Not interested in working in the gaming industry, casinos, or photo retouching."
56859,"Here is your new resume:

—

Graphic Designer with over 5 years of experience in publishing and additional knowledge in Web Design and UI/UX Design. Completed training courses including ""Web Design"" by Skvot, ""Work with Figma"" by Creative Practice, and ""UX/UI. Projecting and Designing of Interfaces"" by Creative Practice.

IMEX LTD, Kropyvnytskyi (2014) – Designer Assistant

* Created corporate catalogs, brochures, certificates, and business cards

PRAGMATIKA.MEDIA, Kyiv (2"
56860," Experienced Graphic, Web, and UI/UX Designer

* Meticulous attention to detail and deep understanding of user experience principles
* Proficient in developing captivating graphics, logos, and branding materials
* Over 6 months of freelancing experience

Projects:

1. Welcome brochures for [Specific Country]
2. Websites for various businesses:
	* Perfume stores
	* Photographers
	* Taskrabbit-like start-ups

Comprehensive Design Courses:

* Invested 9 months in design courses, specializing in graphic, web, and UI/UX design."
56861," UI/UX and Graphic Designer

* 2+ years of experience
* Currently working at Liga Zakon
- Designed and implemented user-friendly interfaces for various projects
* Previously worked at Coming Agency, Come Back Agency, and Fawn Agency
- Collaborated with cross-functional teams to create and launch successful design projects
* Created brand books for Kiton furniture store and Lviv Botanic garden
- Skilled in creating user-friendly and aesthetically pleasing interfaces
- Passionate about design and staying current with industry trends
* Responsible, outgoing, and well-rounded with diverse interests including basketball and skiing"
56862," ---

Experienced Digital Designer with a strong background in UX design.

* Completed UX Designer courses at General Assembly (May 20XX)
* Proficient in design software including Sketch, Figma, and InVision
* Skilled in user research, wireframing, and prototyping
* Created and implemented design systems for web and mobile applications
* Collaborated with cross-functional teams to design and launch products
* Managed multiple projects simultaneously in fast-paced environments
* Strong communication and presentation skills

---

Note: I have improved the formatting and wording to make your qualifications and skills more clear and concise. I have also added specific examples of your responsibilities and achievements to give potential employers a better understanding of your experience. However, I have not added any false or exaggerated information."
57384," T-Shaped Design Generalist with 15+ years of experience in digital product design, management, and branding.

• Designed 40+ successful digital products, earning international design awards.
• Led global design teams and startup projects, specializing in product management and launching.
• Mentored junior designers through lectures and workshops.
• Established and successfully manage 30+ brands and trademarks.
• Holds a reputable UX certification and served as a jury member at international design competitions.

Expertise in setting up product design teams and processes, with hands-on knowledge of UX design, prototyping tools, user testing, mobile and responsive design, branding, and HTML/CSS principles.

Skills: UX architecture, data mining, data-driven design, user testing, usability evaluation, visual design, UI design, logo design, product management, product identity design, prototyping, iOS and Android, HTML/CSS, AR/VR, business and requirement analysis, user and marketing research, photography, direction, management, tutoring.

Preferred:
• Product company
• Influence on direction and product vision
• Part-time design consultancy services in processes or products
• Remote or relocation (USA, UK, Europe)
• Flexibility, openness to changes and reconstructions
• Cross-disciplinary design projects
• Interested in AR/VR projects (except game dev)

Note: The revised resume maintains the original content and accurately represents the applicant's experiences, responsibilities, and skills."
57400," * Led and established a design department, generating additional profit through successful project and client acquisition.
* Drove product design from conception to launch, rescuing the business multiple times with my contributions.
* Enhanced existing products and successfully completed over 50 projects.
* Over 10 years of UI/UX Design experience and 5+ years in Design Team Management (supervising a team of 20).
* Skilled in resource management, full-cycle hiring (interviewing, on-boarding, feedback, and coaching), design strategy, performance monitoring, project distribution, and team development (from intern to senior and team-lead levels).
* Managed design department budgeting, participated in pre-sales, project estimation, specifications, controlled payments and deliveries between company and customers, and reviewed contract documentation.
* Experienced in medium to large-scale projects across various industries, such as Fintech, Healthcare, Telco, Gaming, E-commerce, Enterprise, Banking, Real Estate, Manufacturing, Start-ups, Blockchain and crypto, Legal, and Sports.
* Proficient in self-management, analytic mindset, collaboration, empathy, problem-solving, and working under pressure.
* Expert in analytical design approach, design process (research, prototyping, testing, interview, usability audit, design systems), creative solutions, and interface concept development.
* Seeking to contribute to a product, manage a complete design process, and enhance profit and product quality, leveraging my extensive experience in creating concepts and entering the market."
62042," **Experience**

**Beetroot Academy, 2023-Present**

* Executed practical tasks during the learning process
* Composed introductory letters
* Sourced candidates utilizing search systems (Boolean Search, X-RAY search)
* Conducted interviews

**Freelance Web Designer & UX/UI Designer, 2021-Present**

* Designed and developed user-friendly websites for clients
* Conducted UX research to inform design decisions
* Utilized design tools such as Figma, Sketch, and Adobe XD
* Collaborated with clients to meet their design needs and expectations."
63086,"Young Web Designer

Experience:

- Practical experience with Sketch, Figma, Adobe Photoshop, and Adobe Illustrator
- Quickly and efficiently learns new software and processes

Education:

- LevelUP School – UI/UX- Web Designer (2018 – 2019)
- Spalah IT-School – UI/UX- Web Designer (2018 – present)"
63087,"Experience:
None

Skills:

* Proficient in Adobe Photoshop, Adobe Illustrator, and Figma
* Strong soft skills, including adaptability, sociability, non-confrontational attitude, openness to criticism, discipline, and flexibility

Education and Goals:

* Seeking to gain experience, knowledge, and skills from experienced designers
* Ready to put in a lot of time and effort to ensure a quick return on investment for the team/mentor/company
* Goal is to grow and develop as a designer through real-world projects and collaboration with experienced professionals.

(Note: The above resume text is the same as the original, with only minor formatting changes for readability.)"
