Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
98305,"Here’s your resume with improved clarity and conciseness while retaining all original facts:  

---  

### **Professional Summary**  
Team leader and junior UI/UX designer with skills in project management, workflow coordination, and collaborative teamwork. Experienced in competitor analysis, audience research, persona creation, and interface design. Completed 6 study cases and a specialized UI/UX design course.  

### **Experience**  
**Team Leader & UI/UX Designer**  
*Web-Service for Finding Lost Pets*  
- Led team workflow and ensured project deadlines were met.  
- Performed competitor and audience analysis, created personas, JTBD, and CJM.  
- Designed intuitive interfaces recognized by mentors.  
- Organized meetings, delegated tasks, and fostered team collaboration.  

**Junior UI/UX Designer**  
*Start-Up Project: Financial Management Web Service*  
- Collaborated with developers to design user-friendly interfaces.  
- Applied UI/UX principles to enhance functionality and usability.  

### **Projects**  
**Mobile App for Coffee Shop Chain**  
- Designed a functional, youth-oriented app.  
- Conducted competitor analysis, user research, wireframing, and animations.  

**Travel Agency Website Redesign**  
- Improved clarity and visual appeal for broader audience engagement.  
- Researched, structured information, and developed wireframes.  

### **Skills**  
- UI/UX Design  
- Competitor & User Research  
- Persona & User Flow Development  
- Wireframing  
- Animation  
- Team Leadership  
- Project Management  

### **Education**  
Specialized UI/UX design course (6 study cases completed).  

### **Career Goals**  
Seeking a collaborative role to apply project development skills and grow professionally.  

---"
98306,"**Junior UX/UI Designer**  

Passionate about foundational UX/UI principles, I strengthened my expertise through structured coursework in **UX Design** and **Interaction Design** at Projektor and **UI/UX** training at Skill-up School. Hands-on application deepened my theoretical knowledge, enabling me to deliver user-centered solutions efficiently.  

**Key Experience & Skills:**  
- Led end-to-end project phases, including stakeholder interviews, user research, and task-driven analysis.  
- Developed **personas** and workflows in **Miro** to align design strategies with user needs.  
- Designed **high-fidelity wireframes** and **interactive prototypes** in **Figma** for seamless user experiences.  
- Executed moderated **usability testing** and refined designs based on actionable insights.  

**Project Highlights:**  
- Planner application (end-to-end UX/UI design)  
- eCommerce website redesign (improved conversion flows)  
- Landing page design (optimized engagement)  
- CRM system interface (streamlined workflows)  
- Corporate website (responsive UI enhancements)  

Seeking a collaborative role to apply my skills, accelerate growth, and create meaningful digital experiences."
98307,"**Junior UX/UI Designer** – Freelance  

**E-Commerce Skincare Website Redesign**  
- Conducted user research, competitor analysis, and persona development to identify pain points and preferences.  
- Applied heuristic principles to optimize usability and visual design, streamlining the user experience.  
- Developed intuitive prototypes to enhance navigation and functionality.  

**Landing Pages (Educational & Agricultural Sectors)**  
- Designed conversion-focused layouts with clear call-to-actions to improve user engagement.  
- Effectively communicated value by highlighting key benefits and outcomes.  
- Aligned designs with brand identity and audience needs through strategic color schemes, typography, and imagery.  

**Cross-Project Expertise**  
- Delivered fully responsive designs for seamless desktop and mobile experiences.  
- Collaborated with stakeholders to refine design solutions based on feedback.  
- Ensured consistency in visual and interactive elements across projects."
98308,"**Junior UX/UI Designer**  

**Education**  
- **Digital Marketing Professional Certificate**, University of Miami  
- **Bachelor’s Degree in Hospitality and Tourism Management**, Minor in International Relations, Florida International University  

**Professional Summary**  
Detail-oriented UX/UI Designer skilled in Figma, Adobe Illustrator, and Adobe Photoshop. Combines digital marketing expertise and a disciplined background as a professional athlete to create user-centric designs. Proficient in user research, problem-solving, and translating ideas into intuitive interfaces. Dedicated to crafting seamless user experiences while staying updated with industry trends.  

**Key Skills**  
- UX/UI Design (Wireframing, Prototyping, User Flows)  
- Figma, Adobe Illustrator, Adobe Photoshop  
- User Research & Usability Testing  
- Visual Design & Branding  
- Digital Marketing & Analytics  

**Portfolio Highlights**  
- **VitalMed**: Designed a responsive web service for a private medical clinic, improving patient accessibility.  
- **Tattoo Salon**: Led a website redesign, enhancing visual appeal and user navigation.  
- **Citroen C4**: Developed a high-converting landing page, aligning with brand guidelines.  

**Career Goals**  
Seeking to enhance UX/UI skills in a collaborative environment by addressing complex design challenges. Focused on delivering data-driven solutions while expanding knowledge in interaction design and user psychology. Committed to continuous learning and impactful design outcomes."
98309,"Junior Web Designer  
[Your Name]  
[Your Contact Information]  

**Professional Experience**  
**Junior Web Designer**  
[Company Name] – [Location]  
[Start Date] – [End Date]  

- Designed and developed the company website from scratch, ensuring a user-friendly and visually appealing interface.  
- Maintained design control over finished web pages, ensuring consistency and quality across all deliverables.  
- Collaborated closely with a team of developers and testers to implement and refine design elements.  
- Created wireframes, mockups, and prototypes to effectively communicate design concepts and ideas.  
- Designed marketing materials, including social media covers, YouTube video previews, and promotional footage.  
- Produced YouTube videos demonstrating the functionality of the company’s product, enhancing user understanding and engagement.  
- Utilized tools such as Figma, Adobe Illustrator, and OBS Studio to execute design tasks efficiently.  

**Skills**  
- Web Design  
- Graphic Design  
- Wireframing and Prototyping  
- Collaboration with Development Teams  
- Marketing Material Design  
- Video Production  
- Proficiency in Figma, Adobe Illustrator, OBS Studio  

**Objective**  
Seeking to enhance my professional skills as a designer by contributing to new projects and delivering innovative, impactful design solutions."
98310,"Mid Product Designer  
Responsible for designing consumer products, enhancing existing designs, and analyzing competitor product concepts to match quality and performance. Proficient in identifying industry trends and applying insights to improve product functionality and user experience. Skilled in collaborating with cross-functional teams to align with business goals and customer needs. Demonstrated potential to advance to senior, executive, or managerial roles based on industry and company requirements."
98311,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Skilled UI/UX Designer proficient in Figma, Prototyping, and Adobe Photoshop. Recognized for delivering innovative solutions and maintaining a meticulous approach to task execution. Strong communicator and collaborator with a focus on motivation, decision-making, and attention to detail. Seeking a remote role with flexible hours to excel as a designer.  

**Skills**  
- UI/UX Design  
- Figma  
- Prototyping  
- Adobe Photoshop  
- Communication  
- Collaboration  
- Motivation  
- Decision-Making  
- Attention to Detail  

**Experience**  
Freelance UI/UX Designer  
- Delivered multiple freelance projects, providing creative and effective solutions.  
- Ensured precise and thorough task execution.  
- Adapted swiftly to new tools and workflows.  

**Education**  
[Your Education Details]  

**Additional Information**  
- Prioritizes work comfort and flexibility.  
- Dedicated to maximizing potential in a remote, flexible-time setting."
98312,"[Your Name]  
[Your Contact Information]  

**Objective**  
Seeking an entry-level UX/UI designer role to leverage my analytical background, creative design skills, and passion for user-centric design to contribute effectively to innovative projects and grow within the field.  

**Professional Experience**  
**Graphic and Social Media Post Designer**  
Education Center, [Your Hometown]  
- Designed engaging social media posts, posters, and printables for branding purposes.  
- Managed the entire branding process, ensuring consistency and visual appeal.  
- Developed a strong understanding of user-centric design principles and aesthetics.  

**Auditor**  
[Company Name], [Location]  
- Applied analytical skills and attention to detail to ensure accuracy and compliance.  
- Worked within strict deadlines, demonstrating discipline and precision.  
- Developed problem-solving skills and a meticulous approach to tasks.  

**Education**  
**Master’s Degree in Economics**  
[University Name], [Year]  

**Bachelor’s Degree in Economics**  
[University Name], [Year]  

**Skills**  
- Graphic Design: Proficient in creating visually compelling designs for branding and social media.  
- Analytical Thinking: Strong foundation in economics and auditing, with attention to detail and problem-solving abilities.  
- User-Centric Design: Understanding of design principles focused on enhancing user experience.  
- Creativity: Passion for translating ideas into intuitive and aesthetically pleasing designs.  

**Interests**  
- Exploring the psychology of user behavior and its impact on design.  
- Continuous learning and improvement in UX/UI design practices.  
- Creating meaningful and impactful user experiences."
98313,"**UI/UX Designer**  

**Skills**  
- UX Research  
- Design Systems Creation  
- Guidelines Implementation  
- Marketing Materials Creation  
- Mobile Design (Rules, Patterns)  

**Experience**  
**UI/UX Designer**  
- Designed mobile applications (guide app, lottery app).  
- Redesigned corporate website (web, mobile, and tablet adaptive).  

**Key Responsibilities**  
- Conducted design analysis of existing screens.  
- Developed design systems using the Design Thinking process.  
- Created marketing materials for the marketing team.  
- Designed visual content for company’s social media across all platforms.  
- Produced case studies and Behance projects.  

**Project Tech Stack**  
- Angular Material, Kendo UI, Human Interface Guidelines, Google Material Design.  

**Additional Contributions**  
- Conducted user research and competitor analysis.  
- Participated in brainstorming sessions.  
- Built style guides and information architecture.  
- Created prototypes, wireframes, and mockups.  
- Developed adaptive designs.  
- Collaborated with client teams and developers."
98314,"**Professional Summary**  
Detail-oriented UX/UI specialist with a passion for creating seamless, visually engaging user experiences. Expertise in cross-functional collaboration, problem-solving, and applying design principles to develop intuitive web and mobile interfaces. Committed to continuous learning and delivering impactful, user-centered solutions.  

**Projects**  

**Table Tab Mobile App Design**  
*Jun 2023 – Aug 2023*  
- Collaborated with a team to design a user-friendly restaurant seat-booking application.  
- Researched design references, refined wireframes, and optimized design systems.  
- Prototyped UI screens and contributed to a rewards feature to boost user engagement.  

**Host Radar Project Design**  
*Apr 2023 – Jun 2023*  
- Designed a web platform for work-exchange accommodations (hosting/work-for-stay model).  
- Conducted market and competitor analysis, gathered design references, and created wireframes.  
- Developed animated prototypes and finalized the design case to ensure smooth user workflows.  

**Mainsal Realty Company Redesign**  
*Feb 2023 – Apr 2023*  
- Modernized an outdated website to enhance UX, improve clarity, and support business growth.  
- Performed competitor research (US market) and streamlined information architecture.  
- Led full design lifecycle—from research to final interface—improving usability and customer retention.  

**Career Goals**  
Seeking to expand design expertise through collaboration with senior designers and stakeholders. Excited to take on challenges in innovative projects, delivering exceptional user experiences that surpass expectations."
98315,"[Your Name]  
[Your Address]  
[Your City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

**Objective**  
To secure a UI/UX design position where I can apply my skills in user interface and experience design, contribute to innovative projects, and grow professionally in a collaborative environment.  

**Education**  
Plural Code Academy  
Graduated: [Insert Graduation Date]  
Relevant Coursework: User Interface Design, User Experience Design, User Research, Wireframing, Prototyping, Usability Testing  

**Experience**  
UI/UX Design Intern  
[Software Agency Name] | [Start Date] – Present  
- Designed and completed a website and mobile views for a cryptocurrency platform.  
- Developed a website for a resort center, ensuring responsive design and user-friendly navigation.  
- Collaborated with team members to deliver high-quality design solutions within project deadlines.  

**Projects**  
Mobile App Design for Salon  
Plural Code Academy | [Completion Date]  
- Designed a mobile app for a salon, focusing on intuitive user interface and seamless user experience.  
- Conducted user research to identify pain points and improve usability.  
- Created wireframes and prototypes using Figma, followed by usability testing to refine the design.  

**Skills**  
- Proficient in Figma for UI/UX design  
- User research, wireframing, and prototyping  
- Usability testing and iterative design  
- Responsive web and mobile design  
- Strong problem-solving and collaboration skills  

**Personal Attributes**  
- Quick learner with a strong commitment to continuous improvement  
- Detail-oriented and dedicated to delivering high-quality work  
- Team player who thrives in collaborative environments  
- Reliable in meeting deadlines and managing multiple projects  

**References**  
Available upon request."
98316,"**Team Leader & UX Designer**  
Led a case studies project, managing tasks and refining designs to align with audience needs. Applied empathy to adapt features and deliver user-friendly solutions. Strengthened project management and teamwork through collaboration.  

**Marketing Professional & Strategic Thinker**  
2+ years of experience developing creative marketing strategies and visually compelling designs tailored to client objectives. Analyzed user personas and pain points to craft effective solutions. Improved project management and communication skills across diverse industries.  

**UI/UX Contributor – Travel Service Website**  
Researched, designed, and prototyped solutions for a global audience. Collaborated in a two-person team to meet deadlines, enhancing adaptability and teamwork.  

**Product Designer – Scan-and-Go Mobile App**  
Conducted market analysis and designed streamlined shopping experiences using Figma, Adobe Photoshop, and Protopie. Delivered a functional prototype focused on intuitive user interactions.  

**Transitioning Marketer & Design Enthusiast**  
Passionate about merging strategic marketing insights with user-centered design. Excited to collaborate on projects that balance business goals with exceptional UX."
98317,"Here’s an improved version of your resume while strictly adhering to your original content:  

---  

**UI Designer**  

- **3+ years of experience** specializing in **Figma, Photoshop, and Illustrator**  
- Expertise in designing **intuitive and visually appealing interfaces** for web and mobile applications  
- Strong ability to **interpret user needs** and translate them into **functional, engaging designs**  
- Dedicated to delivering **high-quality UI work** that aligns with **brand identity** and improves **user experience**  
- Passionate about creating **captivating digital experiences** that drive engagement  

---  

Let me know if you'd like further refinements while staying within the original facts."
98318,"Here’s your refined resume with improved clarity while retaining all original details:

---

[Your Name]  
[Your Address] | [Your Email] | [Your Phone Number] | [LinkedIn Profile] | [Portfolio Website]  

**UI/UX Designer**  
Passionate about crafting intuitive digital interfaces that prioritize user experience. Skilled in Figma, Adobe Photoshop, Adobe Illustrator, and Canva. Proven track record in end-to-end design for landing pages, web services, redesigns, and mobile applications.  

**Professional Experience**  

**Cozy House Web Service**  
*Team Project, Full-Cycle Design*  
- Designed a reservation platform connecting travelers with hosts offering safe, affordable accommodations.  
- Executed competitive analysis, user personas, JTBD, CJM, and user flows.  
- Delivered wireframes, visual designs, and adaptive layouts.  

**Cucina di Catherina Website**  
*Redesign, Full-Cycle Design*  
- Revitalized outdated website to enhance customer appeal through updated visuals and streamlined navigation.  
- Reorganized content to emphasize core value proposition.  

**Projects**  
- Led three full-cycle design projects, including one collaborative team effort.  
- Developed landing pages, web services, redesigns, and mobile applications.  

**Skills**  
- UI/UX Design  
- Wireframing & Prototyping  
- Visual Design  
- User Research & Analysis  
- Cross-functional Collaboration  

**Education**  
[Your Degree, if applicable] | [Your Institution] | [Graduation Year, if applicable]  

**Availability**  
Open to full-time roles. Adept at teamwork, receptive to feedback, and committed to delivering impactful solutions. Eager to grow alongside seasoned professionals while contributing innovative ideas.  

---  

(No additions or alterations to original facts.)"
98319,"Here’s your refined resume with improved clarity and conciseness while preserving all original facts:  

---  

**UI/UX Designer**  

**Projects**  

**Booking Table Service Application (Pet Project)**  
- Designed and developed a restaurant/cafe table booking app, eliminating phone-based reservations.  
- Implemented a table selection feature for users to choose available options.  

**Travel Service (Team Lead Role)**  
- Led UI/UX design for a web platform facilitating ""change of environment"" stays.  
- Created dual user flows: hosts listing accommodations and tourists booking via household assistance.  
- Delivered wireframes and adaptive layouts for desktop, tablet, and mobile.  

**Ukrainian School Redesign**  
- Revamped a school information platform to improve accessibility and communication.  
- Produced wireframes and responsive designs for desktop, tablet, and mobile.  

**Commercial Coaches Service (Current Project)**  
- Contribute to UI/UX design for a coaching service platform.  

**Skills & Approach**  
- Proficient in wireframing, adaptive design, and user flow optimization.  
- Focused on intuitive, visually appealing interfaces.  
- Dedicated to translating concepts into functional, user-centric designs.  

**Objective**  
Seeking challenging projects to expand UI/UX expertise while delivering collaborative, high-quality design solutions.  

---"
98320,"Here’s the improved version of your resume with refined wording and structure while maintaining factual accuracy:  

---  

**UI/UX Designer**  

**Projects:**  
- Designed an intuitive mobile banking application with a focus on seamless navigation and user-friendly interfaces.  
- Conducted user research for a health app, identifying pain points and implementing usability improvements.  

**Skills & Tools:**  
- **Design Software:** Sketch, Figma, Adobe XD  
- **Prototyping Tools:** InVision, Marvel  
- **Core Competencies:** Wireframing, interactive prototyping, high-fidelity UI design  

**Responsibilities:**  
- Collaborated with cross-functional teams (product managers, developers, designers) to align designs with user needs and business objectives.  
- Executed user research, analyzed feedback, and conducted usability testing to refine design solutions.  
- Developed wireframes, user flows, and visually cohesive interfaces to elevate user experience.  

**Focus Areas:**  
- Advancing usability and accessibility in digital products.  
- Leveraging industry trends, best practices, and accessibility standards in design.  
- Strengthening user research and testing methodologies to validate design decisions.  

**Objective:**  
To craft visually engaging, accessible, and effortless user experiences that empower users to achieve their goals.  

---  

(Note: The content mirrors your original resume precisely, with no additions or fabrications.)"
98321,"[Your Name]  
[Your Contact Information]  

**UI/UX Designer**  

**Professional Summary**  
Experienced UI/UX designer specializing in user-centered designs for web and mobile applications. Skilled in defining client problems, conducting competitive analysis, identifying target audiences, and developing user flows. Proficient in creating wireframes, mobile and tablet adaptations, and prototypes that address user needs.  

**Projects**  
**Travel Go**  
- Designed a web service to help users organize affordable or free stays in foreign countries through volunteering opportunities.  
- Conducted task analysis, created user flows, and developed wireframes and prototypes.  

**ReserveNow**  
- Developed a mobile application for restaurant table reservations, enabling users to view restaurant layouts, select preferred seats/tables, and book reservations.  
- Designed mobile adaptations, created prototypes, and ensured a user-friendly interface.  

**Skills**  
- Tools: Figma, Adobe Photoshop, FigJam, Adobe Illustrator  
- Design Processes: Competitive analysis, user flow creation, wireframing, prototyping, mobile and tablet adaptation  
- Approach: Comprehensive design, task analysis, visual style establishment, user-centered design  

**Approach**  
Dedicated to delivering user-friendly and straightforward designs through thorough task analysis, interface prototyping, and visual style development. Passionate about collaborating on impactful design solutions for web and mobile applications."
98322,"Here’s the revised version of your resume with improved clarity and conciseness while retaining all original facts:  

---  

**UI/UX Designer**  
Creative and detail-oriented professional with 1.5 years of experience in web design, specializing in user-centered interfaces. Skilled in wireframing, prototyping, and high-fidelity design using Sketch, Adobe XD, and Figma. Experienced in developing responsive, accessible websites and web applications that adhere to industry standards. Collaborative team player, adept at working with designers, developers, and stakeholders to deliver high-quality designs on time.  

---  

Let me know if you'd like any further refinements!"
98323,"**Junior UX/UI Designer**  
Ukraine  

**Experience**  
**UX/UI Designer** (2022–2023)  
Built and managed a design team focused on UX research, prototyping, and interface design. Led knowledge-sharing initiatives and fostered teamwork to deliver high-quality design projects. Developed leadership skills while ensuring alignment with business and user needs.  

**UX/UI Designer** (Feb–Mar 2023)  
Designed the full interface for a medical clinic, conducting UX research to create an intuitive, user-friendly solution. Collaborated effectively with stakeholders to balance business goals and usability.  

**Freelance Graphic & UX/UI Designer** (Mar 2023)  
Developed websites and social media content, working independently with clients and in small teams.  

**Achievements**  
Completed a UX/UI design course and applied skills to assemble and lead a design team. Cultivated a collaborative environment where team members shared ideas, honed skills, and delivered innovative solutions. Demonstrated ability to motivate teams and execute design projects successfully."
98324,"Here’s the improved version of your resume while maintaining all original facts:  

---  

**[Your Name]**  
UX/UI Designer  

**About Me**  
Passionate about creating meaningful digital experiences that solve problems and simplify user lives. Specialize in web and mobile design, transforming ideas into reality through a full-cycle design process—analyzing tasks, prototyping interfaces, and crafting visual styles that align with brand identity. Background in motion design enhances my ability to create dynamic, engaging interfaces.  

**Education & Certification**  
Successfully completed an 8-month course with practical knowledge in UX/UI design, web design, and mobile design.  

**Projects**  

**Unreal**  
*Mobile Application for Booking Unique Restaurants*  
- Full-cycle design for an app enabling users to reserve tables in unusual restaurants.  
- Goal: Streamline table reservations while ensuring a memorable dining experience.  

**Wings of Hope**  
*Web Service for Restoring Ukraine’s Social Infrastructure*  
- Full-cycle design of a platform connecting reconstruction requests with aid from Ukrainian and foreign partners.  
- Goal: Mobilize communities, officials, and investors to rebuild damaged infrastructure.  

**Slavsko Ski Resort Website Redesign**  
*Website Modernization*  
- Full-cycle redesign to attract more local and international tourists.  
- Revamped site structure and introduced a distinctive, recognizable style.  

**Audi Q3 Test Drive Landing Page**  
*Promotional Landing Page*  
- Designed a landing page for Audi Q3 promotions, including test drive bookings.  

**Collaboration Approach**  
Eager to work with product managers, developers, and designers to bring ideas to life and deliver complete digital products.  

---"
98325,"[Your Name]  
[Your Contact Information]  

**Objective**  
To secure a position as a UI/UX designer where I can apply my design skills, collaborate with teams, and create impactful user experiences.  

**Skills**  
- Proficient in UI/UX design principles  
- Skilled in creating aesthetically appealing and functional interfaces  
- Experienced in designing page layouts and positioning elements  
- Strong understanding of navigation and visual perception  
- Proficient in design tools  

**Experience**  
**Personal Project: Museum Website**  
- Designed an attractive and informative interface tailored to museum visitors  
- Created page layouts considering persona requirements and museum environment specifics  
- Focused on exhibit placement, navigation, and visual perception  
- Applied UI/UX design principles to ensure functionality and aesthetic appeal  
- Conducted detailed requirements analysis to optimize user experience  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  

**Goals**  
- Develop as a UI/UX designer and gain team collaboration experience  
- Work directly with clients to understand their needs and deliver superior design solutions  
- Learn new technologies and tools to enhance design capabilities  
- Create interfaces that deliver unforgettable user experiences and help companies achieve their objectives"
98326,"[Your Name]  
[Your Contact Information]  

**Education**  
Projector Institute  
Completed Modules: Web Design Beginning, Web Design Junior  
Currently Enrolled: UX Design Module  

**Experience**  
**Sahu Media** – Internship  
- Designed advertisement banners for clients using Photoshop.  
- Developed and maintained websites using WordPress.  

**Projects**  
**Web Design Junior Module**  
- Partnered with two clients to redesign their websites.  
- Conducted client briefings to understand project requirements.  
- Created mindmaps and gathered design references.  
- Designed wireframes and user interfaces.  
- Developed mobile-responsive versions of the websites.  

**Skills**  
- Web Design  
- UI/UX Design  
- Wireframing  
- Adobe Photoshop  
- WordPress Development  
- Mobile-Responsive Design"
98327,"2022-2023 | Completed the Web Design Basic course at the IT school ""Hillel""  
2023-Present | Studying Web Design, UI/UX Design, Mobile Design  

**Skills:**  
- Proficient in Figma, Photoshop, Illustrator  
- Developed landing pages, websites, and web service redesigns  
- Adapted web designs for mobile applications  
- Conducted target audience and competitor research  

**Attributes:**  
- Highly attentive and detail-oriented  
- Responsible and committed to continuous skill improvement in IT"
98328,"Astute and Organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user-friendly wireframes and prototypes.  

**PROJECT EXPERIENCE**  

**Scrum Master – Team Project “Mind Map”**  
Served as Scrum Master for a collaborative team project, facilitating agile processes, ensuring effective communication, and guiding the team to achieve project goals.  

**Landing Page for a Flower Shop**  
Designed a landing page to promote the flower shop’s new bouquet delivery service. Conducted competitor analysis and created a moodboard to convey the product’s emotional context. Developed wireframes, a UI kit, and finalized the landing page design.  

**Redesign of the Italian Roastery Website**  
Redesigned the website for “Il Griso” Italian roastery to enhance visual appeal and usability. Analyzed competitor sites, restructured site elements, and created wireframes and a UI kit. Prototyped and adapted selected pages for the redesign.  

**Web-Service for the Cleaning Company**  
Designed a web-service for a cleaning company, focusing on user-friendly navigation and functionality. Developed wireframes, prototypes, and ensured seamless user experience across devices.  

Seeking to join an innovative design team to enhance the user experience for customers, leveraging creativity and problem-solving skills to create industry-leading products."
98329,"**Professional Summary**  
Detail-oriented and creative web designer with expertise in developing landing pages, online stores, and printed marketing materials. Proficient in prototyping, banner design, and creating assets tailored for the Western market. Skilled in Figma, Adobe Creative Suite (Photoshop, Illustrator, XD), Canva, and UI/UX principles, including Bootstrap grid systems and responsive design. Collaborative team player with strong organizational, leadership, and self-discipline skills. Dedicated to expanding expertise and tackling new challenges.  

**Professional Experience**  
**Web Designer Assistant**  
- Designed and developed landing pages and online stores.  
- Created banners, price lists, and other printed marketing materials.  
- Prototyped web and digital products.  
- Produced graphics for themed events, including invitations, labels, photo banners, business cards, and order forms.  
- Designed Pinterest pins, Instagram posts, and stories.  
- Contributed to Western-focused market designs, including Etsy store products.  

**Skills & Tools**  
- UI/UX Design  
- Responsive & Adaptive Design  
- Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Canva  
- Bootstrap Grid System  

**Soft Skills**  
- Self-disciplined, responsible, and organized  
- Strong teamwork and leadership abilities  
- Proactive planner with a growth mindset  

**Career Objective**  
Committed to refining design skills and embracing new learning opportunities to deliver innovative solutions."
98330,"[Your Name]  
[Your Email] | [Your Phone Number] | [Portfolio/LinkedIn (if applicable)]  

**UI/UX Designer | Freelance**  
- Designed and delivered a fully functional website for a dental clinic, ensuring an intuitive user experience and modern visual appeal.  
- Collaborated with stakeholders to align design with business goals and user needs.  

**Skills & Expertise**  
- **UI/UX Design:** Proficient in Figma, with a keen eye for detail and usability.  
- **Continuous Learning:** Actively follows industry trends and refines design techniques.  
- **Soft Skills:** Highly motivated, team-oriented, and adaptable to fast-paced environments.  

**Availability**  
Open to remote internships and available to start immediately."
98331,"Here’s your refined resume with improved clarity and conciseness without adding or altering any facts:  

---  

**Balance Spa (Training Project)**  
Developed a landing page, including Lo-fi and Hi-fi wireframes, prototypes, and UI kits. Prepared the project for developer handoff to ensure seamless transition and implementation.  

**Foodly (Training Project)**  
Designed a mobile app for supermarket product delivery. Conducted client briefings, created Hi-fi and Lo-fi wireframes, and defined the target audience. Developed UI kits, performed competitor and heuristic analysis, and executed user testing. Designed sitemaps, implemented adaptive design, and crafted user flows.  

**Joccellum (Training Project)**  
Designed an e-commerce platform for jewelry. Conducted client briefings, created Hi-fi and Lo-fi wireframes, and defined the target audience. Developed UI kits, performed competitor and heuristic analysis, and executed user testing. Designed sitemaps and implemented adaptive design.  

---"
98332,"Anastasia  
Beginner Web Designer  

**Education**  
Hillel Computer School – UI/UX Designer Courses  
Topics Covered: Font theory, images, illustrations and icons, color theory, UI Kit, Auto Layout, styles, components, atomic approach, site types, target audience, personas, grids, prototypes, adaptability.  

**Objective**  
Seeking opportunities in product companies or game development. Committed to learning, practicing, and contributing to impactful work.  

**Skills**  
UI/UX Design Fundamentals, Prototyping, Wireframing, Atomic Design, Responsive Design, Collaboration  

**Interests**  
Product Design, Game Development, User-Centered Design  

**Contact**  
[Your Email] | [Your Phone Number] | [Portfolio/LinkedIn, if applicable]"
98333,"**Exhibitions**  
- Participated in *The Art of Change* (Ukrainian House)  
- Featured in the photo exhibition *24.02 Before and After*  
- Included in the Cardiff School of Art and Design, Cardiff Metropolitan University exhibition  

**Education & Skills**  
- Acquired foundational graphic design skills in typography, composition, and color theory  
- Completed courses in Photoshop, Illustrator, and Figma  
- Developed UI/UX design expertise through mentorship-led projects, including a heuristic analysis and redesign proposal for the Turkish Airlines app  

**Projects**  
- Designed a system, mobile app, and website for Richard Bank during a guided course  
- Applied academic knowledge to practical projects while pursuing freelance and part-time opportunities  

**Objective**  
Seeking to leverage and refine my design skills in a professional environment, with a focus on UI/UX and digital design. Prefer roles excluding packaging design."
98334,"Car Wash App  
Mobile Application Developer and Team Leader  

- Developed a mobile application for locating car washes using geodata, enabling users to reserve dates and times, select services, and make online payments.  
- Led a team throughout the project lifecycle, ensuring timely delivery and effective collaboration.  
- Conducted competitor analysis to identify market trends and improve application features.  
- Designed User Flow, Wireframes, and Prototypes to enhance user experience.  
- Created and implemented the application’s visual design, ensuring usability and aesthetic appeal."
98335,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Detail-oriented and collaborative designer with experience in creating user-friendly and visually appealing digital solutions. Skilled in conducting competitor analysis, prototyping, and designing intuitive user interfaces. Adept at working in team environments to deliver high-quality projects.  

**Projects**  
**CloudyClean Webservice**  
- Conducted in-depth competitor analysis and user flow evaluation to inform design decisions.  
- Developed prototypes and designed the user interface for a cleaning service platform, enabling users to efficiently find and book cleaners.  

**Alaska Pete's Website Redesign**  
- Modernized the website’s user interface to enhance convenience, comprehensibility, and visual appeal.  
- Analyzed user flow, site blocks, and site logic to guide the redesign process.  

**Landing Page for FlowerLover**  
- Designed an aesthetic and user-friendly landing page for a flower shop, focusing on usability and buyer logic.  
- Conducted pre-design analysis to ensure the landing page met the needs of potential customers.  

**Skills**  
- User Interface Design  
- Prototyping  
- Competitor Analysis  
- User Flow Analysis  
- Team Collaboration  

**Availability**  
Open to one-off project orders, junior designer positions in-office, or remote work opportunities."
98336,"Collaborated with NOVI Luxe to design and develop their e-commerce website. Conducted user research via surveys and interviews, created wireframes, user flows, and interactive prototypes using Figma to visualize design concepts. Implemented A/B testing to validate design decisions. Delivered the project on time and within budget, earning positive client feedback."
98337,"Here’s your refined resume:  

**Experience**  
1+ year collaborating with partners such as Looqme, HoReCa Show, S-Prof, and Lviv Organ Hall.  
Commerce experience with partners including Looqme, HoReCa Show, S-Prof, and Lviv Organ Hall.  

**Education & Training**  
Completed UI/UX design courses at LITS.  

**Skills**  
- Adobe Photoshop  
- Adobe Illustrator  
- Figma  
- InVision  
- UI/UX principles  

**Additional**  
Contributed to diverse projects for skill development and effective teamwork."
98338,"**Commercial Experience**  
Comon Agency — 28.01.2022–24.02.2022  
*(Reduction of labor headquarters in connection with the war in Ukraine)*  
Individual private projects — 2022–Present  

**Non-Commercial Experience**  
- **""On the Way"" Product Delivery Project**  
  Collaboration with Alexey: Landing page development, corporate identity creation.  
- **""Sammy Icon"" E-Commerce**  
  Collaboration with Phillip: Redesign and development of a multi-page online store website, including UX Research, Wireframing, and Style-Guide & Design."
