,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
56661,"**GRAPHIC AND WEB DESIGNER**

Results-driven graphic and web designer with over ten years of experience delivering modern, visually compelling designs for web applications, mobile interfaces, and corporate branding. Proven expertise in UI/UX design, logo development, and visual identity systems. Adept at leveraging industry-leading tools and design methodologies to create high-impact solutions that enhance user experience and strengthen brand presence.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer | May 2019 - October 2022**
Collaborated remotely with cross-functional teams to design and deliver B2B digital solutions. Created and optimized corporate websites, dashboards, and mobile applications using Figma, ensuring intuitive user experiences and visual consistency across platforms.

**UI/UX and Graphic Designer | November 2015 - June 2019**
Led design initiatives for Canadian real estate startup, developing comprehensive website and mobile interface designs. Created compelling visual assets and user-centered designs using Photoshop and Figma. Directed brand implementation across print materials, including promotional collateral for presentations and international trade shows.

**Web Designer | February 2012 - March 2019**
Contributed to diverse projects at Israeli digital agency, working collaboratively with design team on internal and client initiatives. Designed website for innovative fashion design software platform. Utilized Sketch, Figma, and Photoshop to deliver polished, professional design solutions.

**PROFESSIONAL OBJECTIVES**

Seeking remote design position offering challenging projects and opportunities for continued professional growth. Collaborative team player committed to delivering exceptional results through creative problem-solving and technical expertise."
56662,"# Professional Summary

Results-driven Web/UI/UX/Graphics Designer and HTML/CSS Developer with over 5 years of experience creating compelling digital and print solutions. Proven expertise in brand design, web development, and print materials including booklets, flyers, and brochures. Demonstrated ability to deliver successful projects across both large-scale team environments and independent assignments. Experienced in collaborating with English-speaking clients through meetings, calls, and written correspondence.

# Core Competencies

- Web Design & Development
- UI/UX Design
- Graphic Design
- HTML/CSS Development
- Brand Identity Design
- Print Production (Booklets, Flyers, Brochures)
- Team Collaboration & Independent Project Management
- Client Relations & Communication
- Cross-Cultural Client Engagement

# Professional Experience

**Web/UI/UX/Graphics Designer & HTML/CSS Developer**
*5+ Years of Progressive Experience*

- Designed and developed user-centered web interfaces utilizing HTML and CSS
- Created comprehensive UI/UX solutions optimizing user experience and interface functionality
- Produced professional print materials including booklets, flyers, and brochures for publication
- Developed and executed brand design strategies and visual identity systems
- Collaborated effectively within team environments on large-scale projects
- Managed and delivered small-scale projects independently from concept to completion
- Maintained ongoing communication with English-speaking clients through virtual meetings, phone calls, and email correspondence"
56725,"**PROFESSIONAL SUMMARY**

Brand identity designer specializing in logo design, web design, and UX/UI. I create meaningful, purposeful designs by combining technical expertise with conceptual thinking. My approach transforms ideas into clear, impactful visual solutions that balance client objectives with principles of composition, typography, visual hierarchy, and user experience.

**CORE COMPETENCIES**

• Logo Design & Brand Identity
• Web Design & UX/UI Design
• Typography & Composition
• Visual Hierarchy & Concept Development
• Client-Focused Visual Solutions"
56795,"# Alina
## Web Designer

**Professional Summary**

Results-driven Web Designer with a strong foundation in graphic design, delivering exceptional solutions across web and digital projects. Leverages multidisciplinary design expertise to create high-quality user experiences. Committed to continuous professional development and staying ahead of emerging design tools and industry trends.

**Core Competencies**

- Web Design
- Graphic Design
- User Experience & Interface Design
- Emerging Design Tools & Technologies
- Continuous Professional Development
- Cross-Disciplinary Design Application

**Professional Experience**

**Web Designer**
- Deliver high-quality design solutions for web projects
- Apply multidisciplinary design expertise to achieve optimal results
- Leverage graphic design background to enhance web design capabilities

**Graphic Designer**
- Applied graphic design principles and techniques
- Developed foundational skills that support web design work
- Built transferable expertise in visual communication and design methodology"
56796,"# Ann
## Graphic Designer | UI/UX Designer

Experienced graphic designer with five years in the IT industry and several months specializing in UI/UX design. Seeking opportunities to contribute to creative projects and advance design career.

---

## Skills

**User Experience & Interface Design**
- User Research & Ideation
- User Interface (UI) Design
- User Experience (UX) Design
- Wireframing and Prototyping
- Prototyping and Testing
- Interaction Design

**Graphic & Visual Design**
- Graphic Design
- Typography
- Digital Illustrations
- Print Design
- Advertisement Design"
56797,"# Graphic and UI/UX Designer

## Professional Summary
Results-driven Graphic and UI/UX Designer with 1 year of professional experience creating compelling visual content across print and digital platforms. Demonstrated expertise in designing promotional materials and social media graphics while maintaining consistent on-time project delivery. Strong collaborator with proven ability to contribute effectively to creative teams.

## Core Competencies
- Graphic Design
- UI/UX Design
- Print & Digital Media Design
- Social Media Content Creation
- Promotional Materials (Banners, Flyers, Posters)
- Project & Deadline Management
- Cross-Functional Team Collaboration

## Professional Experience

**Graphic and UI/UX Designer**
*1 year of experience*

- Developed visually engaging banners, flyers, and posters for print and digital distribution
- Produced social media visual content to support marketing initiatives
- Maintained 100% on-time project delivery record
- Partnered with creative teams to execute project goals and deliver cohesive design solutions"
56798,"# GRAPHIC DESIGNER

## PROFESSIONAL SUMMARY

Creative Graphic Designer with expertise in brand identity development and visual communication. Proven ability to translate client needs into effective design solutions through attentive listening and strong interpersonal skills. Collaborative team player committed to delivering reliable, high-quality work with accountability and attention to detail.

## CORE COMPETENCIES

**Design Expertise**
- Brand Identity Development
- Logo Design
- Business Presentations
- Visual Communication

**Technical Proficiencies**
- Adobe Creative Suite (Illustrator, InDesign, Photoshop)
- Microsoft Office Suite (PowerPoint, Word)

## PROFESSIONAL STRENGTHS

- Client-focused approach with strong communication and listening skills
- Highly responsible and accountable in all project deliverables
- Collaborative team environment contributor
- Empathetic understanding of stakeholder needs
- Detail-oriented with calm, methodical work style
- Quick learner responsive to project requirements"
56799,"# RAFAEL ABASOV

**Graphic Designer**

www.rafaelabasov.com

---

## PROFESSIONAL SUMMARY

Creative graphic designer with extensive experience in branding, UI/UX, packaging, and digital content creation. Specializes in minimalistic, functional design that transforms client vision into impactful visual communication. Master's student in Design in Prague. Available for remote work opportunities.

---

## PROFESSIONAL EXPERIENCE

**Freelance Graphic Designer**

- Design comprehensive visual content including logos, marketing materials, web graphics, album covers, packaging, clothing designs, and posters
- Collaborate with clients to understand objectives and develop designs that effectively communicate their messages
- Deliver branding solutions and content creation across multiple platforms
- Produce video content using industry-standard editing software

---

## EDUCATION

**Master's in Design** | Prague | Starting September 2023

**Google UX Design Professional Certificate** | In Progress

---

## TECHNICAL SKILLS

**Design Software:** Adobe Illustrator, Adobe Photoshop, Figma, Adobe XD, Sketch, Adobe Premiere Pro, Final Cut

**Core Competencies:** Design Thinking, Branding, Typography, Prototyping, Wireframing, User Flows, Mock-ups, Visual Design, User Research

---

## DESIGN PHILOSOPHY

Focused on minimalistic and effective design methodology that combines original perspectives with functional execution. Committed to continuous skill development and staying current with evolving design trends."
56800,"# GRAPHIC AND BRAND IDENTITY DESIGNER

**Upwork** | Graphic and Brand Identity Designer | June 2022 – Present

• Design comprehensive marketing materials for YouTube content creators, including channel banners, logos, and watermarks
• Develop distinctive logo designs and complete brand identity systems for clients across the USA
• Create custom packaging designs for product lines in the Netherlands and USA markets
• Design label systems for Dutch craft beer brands
• Execute end-to-end branding projects from concept through delivery, including brand formation, brand development, and creation of marketing materials for digital and print applications

**Citrus, Odessa** | Graphic Designer | September 2021 – February 2022

• Designed promotional layouts for household and computer equipment across website and outdoor advertising channels
• Created printed collateral aligned with corporate brand standards
• Adapted global brand assets from Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, and HUAWEI to align with Citrus corporate identity guidelines
• Produced banner advertisements optimized for social media platforms, Google advertising campaigns, and mass media outlets
• Prepared print-ready materials using Corel Draw

**Upwork** | Graphic Designer | February 2021 – September 2021

• Collaborated with international clients based in the Netherlands and USA
• Designed product labels for craft beer brands in Folsgare, Netherlands
• Created banner advertisements for Instagram, Facebook, and Google advertising platforms
• Developed comprehensive brand book for private medical clinic in Gayvoron, Ukraine
• Designed logo and brand identity for music equipment supplier in Lozova, Ukraine
• Produced custom sticker designs for Telegram messenger and prepared print-ready files in Adobe Illustrator and Corel Draw"
56801,"**GRAPHIC & UI/UX DESIGNER**

Visual designer with 10+ years of experience creating compelling brand and digital experiences. Expertise spans illustration, advertising campaigns, social media content, logo design, animation, and presentation design. Recently expanded into UI/UX design, prototyping SaaS Design Systems in Figma.

**PROFESSIONAL EXPERIENCE**

**User Interface Designer**
• Prototyped SaaS Design System in Figma, applying UI and UX design principles
• Collaborated with team to develop scalable design components and patterns

**Graphic Designer** | 10+ Years
• Created illustrations, advertising banners, and marketing materials for diverse clients
• Designed social media content and brand assets across multiple platforms
• Developed logotypes and visual identity systems
• Produced animations and presentations for various business needs

**CORE COMPETENCIES**

Design Expertise: Graphic Design • Illustration • Logo Design • Animation • Presentation Design • UI/UX Design

Marketing & Branding: Advertising Materials • Marketing Campaigns • Social Media Content

Digital Tools & Methods: Figma • Design Systems • Prototyping"
56802,"**PROFESSIONAL EXPERIENCE**

**Graphic Designer | IT Company**
- Designed backgrounds and characters for game development
- Created visual assets supporting game environments and narrative
- Collaborated with development team to ensure cohesive visual storytelling

**Freelance Graphic Designer**
- Developed compelling client presentations and pitch materials
- Designed product mockups and packaging solutions across multiple industries
- Managed complete project lifecycle from concept to final delivery

**SKILLS**
- Background Design
- Character Design
- Visual Asset Creation
- Game Environment Design
- Mockup Design
- Packaging Design
- Client Presentations

**ADDITIONAL INFORMATION**
3D modeling is not a primary focus of my work."
56803,"**PROFESSIONAL SUMMARY**

Designer with 7 years of experience across mobile app startups, advertising agencies, publishing houses, and direct manufacturer partnerships. Bachelor's degree holder with a comprehensive problem-solving approach informed by cross-disciplinary expertise in UX solutions, marketing considerations, and production resource planning. Committed to continuous professional development.

**EXPERIENCE**

**Designer**
Multiple Organizations | 7 Years

- Collaborated with mobile application startup to deliver UX-focused design solutions
- Executed design projects for advertising agency clients
- Developed design solutions for publishing house
- Partnered directly with manufacturers on design initiatives
- Applied multi-disciplinary problem-solving methodology integrating UX, marketing, and production considerations
- Optimized design outcomes through strategic integration of user experience and marketing principles
- Evaluated production resources to ensure feasibility of design solutions

**EDUCATION**

Bachelor's Degree

**SKILLS**

- User Experience (UX) Design
- Marketing-Informed Design
- Cross-Functional Collaboration
- Production Resource Planning
- Multi-Disciplinary Problem-Solving

**PROFESSIONAL DEVELOPMENT**

Continuously developing skills through ongoing study and professional learning

**CAREER OBJECTIVES**

Seeking opportunities to contribute to complex projects within a collaborative team environment"
56804,"**UI/UX DESIGNER**

UI/UX designer with 3 years of experience specializing in creating clear and intuitive designs that enhance user experience and increase engagement. Expertise in layout development, prototyping, user interface testing, user behavior analysis, and technical integration.

---

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer | Comportal**  
October 2022 - Present

Create landing pages for small and medium-sized businesses

• Develop layouts and prototypes for websites  
• Evaluate and test user experience  
• Design and develop user interfaces  
• Collaborate with development teams and project managers to ensure seamless integration of design into projects

**Graphic Designer (Freelance) | Resource Group**  
February 2021 - Present

Develop marketing materials to increase reach, trust, and loyalty of target audience

• Design layouts for print materials  
• Create banners for targeted advertising and website news  
• Collaborate with marketers and project managers to ensure timely and quality project completion

**Graphic Designer | Liga.net**  
September 2021 - December 2021

Developed marketing materials to increase reach, trust, and loyalty of target audience

• Designed layouts for print materials  
• Created banners for targeted advertising  
• Developed collages for website news  
• Collaborated with marketers and journalists to ensure timely and quality project completion

---

**ADDITIONAL EXPERIENCE**

Independent designer creating websites, banners, landing pages, and print design for small and medium-sized businesses"
56805,"**WEB DESIGNER & DEVELOPER**

**PROFESSIONAL SUMMARY**

Web designer and developer specializing in Webflow, Figma, and Shopify platforms. Experienced in creating custom websites, UI/UX design, and e-commerce solutions for diverse clients across multiple industries.

**CORE COMPETENCIES**

• Web Development – Webflow Platform
• UI/UX Design & Prototyping – Figma
• E-commerce Development – Shopify Customization & Configuration

**PROFESSIONAL EXPERIENCE**

**Freelance Web Designer & Developer**
Upwork & Fiverr

• Developed custom websites and user interfaces utilizing Webflow and Figma
• Designed and launched NFTlook project
• Built and customized Shopify e-commerce websites, including Shopify winning product kit
• Created car parts landing page for Ukrainian company client

**CAREER OBJECTIVE**

Seeking opportunities to leverage web design and development expertise in a growth-oriented role within a dynamic website development company."
56807,"# Professional Summary

Creative professional with 3+ years of experience in visual design, including photography and graphic design for a 600+ person YouTube organization. Bachelor's degree in Computer Technology with formal UX/UI design training in progress. Proven ability to advance rapidly from junior to average specialist in 8 months as HR Manager for a 65-person team. Strong foundation in psychology, user empathy, and cross-functional collaboration with demonstrated success in fast-paced environments.

---

# Professional Experience

**HR Manager**  
*Team of 65 people*

- Advanced from junior specialist to average specialist within 8 months
- Successfully managed human resources operations for mid-sized team
- Demonstrated strong performance and rapid professional growth

**Photographer & Graphic Designer**  
*YouTube Channel (600+ person organization)*  
*3 years*

- Created visual content including photography and graphic design assets for large-scale digital media platform
- Collaborated effectively within extensive creative team
- Delivered high-quality visual content for digital publishing

---

# Education

**Bachelor's Degree in Computer Technology**  
*University Graduate*

**UX/UI Design Courses**  
*Currently completing*

**Self-Directed Psychology Studies**  
*10 years*

---

# Skills

**Design & Creative**
- UX/UI Design (Junior level)
- Graphic Design
- Photography
- Creative problem-solving

**Technical & Analytical**
- Understanding of programming structure and technical concepts
- User Psychology & Empathy

**Leadership & Collaboration**
- Team Management
- Cross-functional Collaboration
- Strong interpersonal skills
- Adaptable to teams of all sizes

---

# Personal Attributes

- Reliable and responsible
- Continuous learner
- Adaptable and flexible
- Strong communication skills

---

# Additional Information

International experience with travel to 15+ countries and extended residence in Thailand. Certified diver. Committed to ongoing personal and professional development."
56809,"# Professional Summary

Creative design professional with comprehensive experience in brand development, digital and print media design, and client presentation. Proven ability to create cohesive visual identities across multiple platforms including social media, e-commerce, and marketing materials.

# Core Competencies

• Brand Development & Style Consulting
• Digital Illustration & Social Media Graphics
• Print Design (Magazines, Books, Marketing Materials)
• Landing Page & Campaign Design
• UI/UX Design for E-commerce Platforms
• Client Presentations & Stakeholder Communication
• Cross-Functional Team Collaboration & Creative Strategy
• Layout Design & Typography

# Professional Experience

**Design Consultant**

• Developed personalized style guides for clients to establish distinctive brand identities
• Created custom illustrations and banner graphics for social network platforms
• Designed and executed layouts for magazines and books
• Prepared comprehensive marketing materials for print production
• Built and delivered engaging client presentations
• Collaborated with cross-functional teams to conceptualize and refine creative concepts
• Designed landing pages for marketing campaigns
• Developed UI/UX solutions for e-commerce platforms

# Areas of Interest

Brand design, digital marketing, e-commerce design, and creative consulting."
56859,"**GRAPHIC DESIGNER**

Versatile graphic designer with 5+ years of experience in publishing, web design, and UI/UX design. Proven expertise in magazine layout, corporate branding, and digital content creation across print and digital platforms.

---

**PROFESSIONAL EXPERIENCE**

**Freelance Graphic Designer**  
Inka, Kyiv | 2020–2023
- Designed custom magazine publication for Premier Hotel
- Developed corporate catalogs and brochures for diverse client needs

**Graphic Designer**  
PRAGMATIKA.MEDIA, Kyiv | 2018–2023
- Designed magazine layouts, including typography, visual hierarchy, and overall aesthetic direction
- Produced presentations, forms, and marketing materials for internal and external communications
- Created social media and website visual content, including post graphics, page layouts, collages, and promotional leaflets

**Designer Assistant**  
IMEX LTD, Kropyvnytskyi | 2014
- Designed corporate catalogs, brochures, certificates, and business cards

---

**EDUCATION & TRAINING**

UX/UI: Projecting and Designing of Interfaces – Creative Practice  
Work with Figma – Creative Practice  
Web Design – Skvot"
56860,"# Graphic, Web, and UI/UX Designer

## Professional Summary

Graphic, web, and UI/UX designer with expertise in creating visually appealing websites featuring seamless navigation and user-friendly interfaces. Strong attention to detail and understanding of user experience principles enable the development of immersive digital experiences. Proven ability to design compelling graphics, logos, and branding materials that effectively communicate brand identities.

## Experience

**Freelance Designer** | 6 months

- Designed welcome brochures for international clients
- Developed websites for perfume stores, photographers, hotels, and start-ups
- Created dashboard interface for local bank
- Built website for solar panel company
- Designed menu for local restaurant
- Developed cinema app interface

## Education & Training

Completed comprehensive design courses over 9 months

## Skills

- Graphic Design
- Web Design
- UI/UX Design
- E-commerce Websites
- Corporate Branding
- Interface Design
- Marketing Collateral
- Responsive Web Design

## Portfolio Highlights

- E-commerce websites
- Corporate branding materials
- UI/UX interfaces for financial and entertainment applications
- Marketing collateral for hospitality and retail sectors
- Web design for service-based platforms

## Project Preferences

Focused on projects that create positive impact and serve broad audiences. Not available for adult entertainment or gambling-related design work."
56861,"# UI/UX & Graphic Designer

**Professional Summary**

UI/UX and graphic designer with 2+ years of experience creating user-friendly and aesthetically pleasing interfaces. Skilled and diligent professional passionate about design excellence with strong attention to detail and a collaborative approach to team projects.

**Professional Experience**

**UI/UX Designer**  
Liga Zakon | Current

**Designer**  
Coming Agency | Previous

**Designer**  
Come Back Agency | Previous

**Designer**  
Fawn Agency | Previous

**Key Projects**

• Developed comprehensive brand book for Kiton furniture store
• Developed comprehensive brand book for Lviv Botanic Garden

**Core Competencies**

UI/UX Design | Graphic Design | Brand Development | Interface Design | Brand Identity | Visual Communication

**Interests**

Basketball | Skiing | Design"
56862,"# Digital Designer

Results-driven Digital Designer with five years of experience delivering innovative graphic design, branding, and user experience solutions. Expertise in developing comprehensive brand identities and executing creative strategies for corporate clients across diverse industries.

## Professional Experience

**Freelance Designer** | 2021 - Present
- Partner with international clients to deliver tailored design solutions that meet strategic objectives
- Design and maintain portfolio of completed, functional websites

**Graphic Designer** | Network Advertising Agency | 2020 - Present
- Lead collaborative initiatives with cross-functional teams to develop cohesive brand concepts
- Architect and implement corporate style guidelines for over eight brands
- Oversee large corporate client accounts, ensuring artistic excellence and on-time project delivery
- Leverage technical expertise and communication skills to exceed diverse client requirements

## Education & Training

**UX Designer Courses** | Projector | Completed May 2022
- Acquired foundational understanding of user experience design principles
- Cultivated proficiency in UX methodology and best practices

## Core Competencies

- Graphic Design
- Brand Identity Development
- Corporate Style Guidelines
- User Experience (UX) Design
- Client Communication & Relationship Management
- Cross-Functional Team Collaboration
- Website Design & Development
- Freelance Project Management"
57384,"# PROFESSIONAL SUMMARY

T-shaped design generalist with product thinking and 15+ years of experience. Designed more than 40 successful digital products and created more than 30 brands and trademarks successfully operating in the market. Led design teams and design projects worldwide with expertise in product design team and process setup. Experience in product management and startup launches.

Proven expertise across the full design process and product lifecycle, from business analysis and research through detailed visual design and implementation. Strong hands-on skills in UX design, prototyping, user testing, mobile and responsive design, branding, and HTML/CSS.

Hold respected UX certification and international design awards. Jury member at international design competitions.


# CORE COMPETENCIES

**Design & UX:** UX architecture and design • UI design • Visual design • Prototyping • Usability evaluation • User testing • Mobile and responsive design • iOS and Android • AR/VR

**Product & Strategy:** Product management • Product identity design • Data-driven design • Business and requirement analysis

**Research & Analysis:** User and marketing research • Data mining • Data-driven design

**Technical:** HTML/CSS • Prototyping tools

**Creative:** Logo design • Branding • Photography

**Leadership:** Team direction and management • Mentoring • Team setup and process development


# KEY ACHIEVEMENTS

• Designed more than 40 successful digital products across global markets
• Led and managed design teams on worldwide design projects
• Created and launched more than 30 brands and trademarks successfully operating in the market
• Mentored junior designers and delivered lectures and workshops
• Received international design awards
• Served as jury member at international design competitions


# WHAT I OFFER

Strategic design leadership with the ability to influence product direction and vision. Expertise in cross-disciplinary design projects with flexibility and openness to change. Available for product company roles with professional management that clearly communicates business needs and goals. Interested in AR/VR projects. Open to remote work, relocation opportunities (USA, UK, Europe), and part-time design consultancy for process or product development."
57400,"# PROFESSIONAL SUMMARY

Design leader with over 10 years of experience in UI/UX Design and 5+ years managing design teams of 20 members. Established design department that attracted projects and clients to generate additional profit. Proven track record of guiding products from concept to market launch with 50+ successfully implemented projects across diverse industries.

# CORE COMPETENCIES

**Leadership & Management**
- Design team management and resource planning
- Full-cycle hiring: interviewing, onboarding, feedback, and coaching
- Performance monitoring and evaluation
- Team development from intern/junior to senior/team-lead level
- Design strategy development and implementation
- Project distribution across design teams

**Business Operations**
- Design department budgeting
- Pre-sales participation and project estimation
- Contract documentation review
- Payment and delivery oversight
- Specifications development

**Design Expertise**
- Complete design process: research, prototyping, testing, interviews, usability audits
- Design systems development
- Interface concept development and creative solutions
- Product improvements and optimization
- Analytical approach to design
- Product design from idea to launch

# KEY ACHIEVEMENTS

- Established design department from the ground up, driving client acquisition and generating additional revenue streams
- Delivered critical business value through strategic design initiatives across 50+ successfully implemented projects
- Led complete product design cycles from concept to market launch, increasing profit and quality
- Improved existing products through iterative design processes and usability optimization
- Developed innovative concepts and guided market entry strategies for diverse client portfolios

# INDUSTRY EXPERIENCE

Fintech | Healthcare | Telco | Gaming | E-commerce | Enterprise | Banking | Real Estate | Manufacturing | Start-ups | Blockchain & Crypto | Legal | Sports

# PROFESSIONAL ATTRIBUTES

Self-management | Analytical mindset | Collaboration | Empathy | Problem-solving | Performance under pressure"
62042,"# PROFESSIONAL EXPERIENCE

**Beetroot Academy**  
*Recruiter in Training*  
2023 - Present

- Write outreach letters to prospective candidates
- Find candidates using Boolean Search and X-RAY search techniques
- Conduct candidate interviews

**Freelancer**  
*Web Designer, UX/UI Designer*  
2020 - Present

- Designed website for Fortified Capitals exchange trading platform
- Created landing pages and business cards
- Developed Smart Home mobile application

**Partner Ukraine LLC**  
*Personal Assistant, Project Manager (Part-time)*  
2020 - 2023

- Maintained project documentation and negotiated contracts
- Identified solutions to recurring problems
- Assigned tasks to project participants and monitored implementation
- Motivated team members
- Managed supplier and customer relationships
- Created and implemented business processes (BPMN) for all structures and departments

**LLC Trade House Alfa-Komplekt EKB**  
*Deputy General Director for Quality*  
2018 - 2020

- Controlled quality of supplied products
- Conducted reclamation work
- Developed and implemented organization's QMS policy and goals
- Prepared documentation for obtaining Certificates and Licenses
- Organized participation in exhibitions, conferences, and seminars

**Alfa-Sert LLC**  
*Marketer*  
2015 - 2018

- Developed, implemented, and improved company branding
- Prepared, approved, and launched advertising campaigns aligned with company policy
- Developed product catalogs based on organizational specifications
- Created and launched POSM materials (leaflets, booklets, souvenirs)
- Managed contractors including designers, web developers, printing houses, and exhibition organizers

**Albion Trading Company LLC**  
*Marketer*  
2012 - 2014"
63086,"# WEB DESIGNER

Results-driven web designer with hands-on experience creating user-centered digital solutions using industry-standard design tools. Proven ability to quickly master new software and adapt to evolving design processes.

## TECHNICAL SKILLS

**Design Tools:** Sketch, Figma, Adobe Photoshop, Adobe Illustrator

## PROFESSIONAL DEVELOPMENT

**UI/UX Web Designer**  
Spalah IT-School | 05/2018 – Present

**UI/UX Web Designer**  
LevelUP School | 10/2018 – 04/2019"
63087,"# RESUME

**OBJECTIVE**
Motivated designer seeking an entry-level position to apply foundational design skills and contribute to real-world projects while learning from experienced professionals.

---

**SKILLS**

**Design Software**
- Adobe Photoshop
- Adobe Illustrator
- Figma

**Professional Strengths**
- Customer service excellence
- Time management
- Effective collaboration in fast-paced team environments
- Strong communication and interpersonal skills
- Adaptability and flexibility
- Receptive to feedback and constructive criticism
- Disciplined and reliable
- Ability to work under pressure

---

**EXPERIENCE**

**Restaurant Industry**
Developed essential professional skills including customer service, time management, ability to work under pressure, and effective collaboration in fast-paced team environments.

---

**PROFESSIONAL GOALS**
Committed to mastering design principles and delivering quality work. Eager to accelerate learning and provide value through dedication and strong work ethic."
83710,"# Graphic and UI/UX Designer

Experienced Graphic and UI/UX designer seeking challenging opportunities to create innovative digital solutions.

## Professional Experience

### UI/UX and Graphic Designer
**Outsource Company - Fintech and Blockchain Specialization**

- Designed web and mobile applications from scratch for clients in the USA, Canada, and the UK
- Collaborated with international clients to understand and solve their business challenges
- Developed blockchain corporate project featuring a tokenized game
- Designed website for blockchain trading company from ground up
- Created Brand Book and corporate identity materials
- Designed branded merchandise including cups, hoodies, t-shirts, and pens
- Produced banners, printouts, and posters in corporate style
- Designed corporate interactive notebook for employee anniversaries, including custom character illustrations and thematic pages
- Created Instagram corporate posts that served as templates for future content
- Developed animation for Behance case study

### Freelance Designer

- Logo design for Ukrainian bag manufacturer
- Website redesign project

## Core Competencies

- UI/UX Design
- Graphic Design
- Web Design
- Mobile App Design
- Brand Identity Development
- Corporate Materials Design
- International Client Communication
- Animation Design

## Professional Objectives

Seeking opportunities to collaborate with experienced designers and business analysts in a supportive team environment with structured processes and clear project timelines. Committed to continuous improvement through active feedback integration."
83711,"**Marketing & Communications Specialist**

**Professional Experience**

**Marketing Communications Coordinator**
- Created targeted newsletters for three distinct audience segments, delivering tailored content to maximize engagement
- Developed comprehensive marketing plans and conducted analytical analysis of company advertising campaigns to optimize performance
- Designed graphic elements for websites and social media platforms, ensuring brand consistency across digital channels
- Managed social media accounts for Medimost and subsidiary projects, driving audience growth and engagement

**Humanitarian Support Volunteer**
- Provided medical aid assistance through refugee support infoline for Ukrainians, delivering critical information and resources to displaced individuals

**Core Competencies**
- Newsletter Development & Audience Segmentation
- Digital Design & Brand Management
- Marketing Strategy & Campaign Analysis
- Social Media Management
- Cross-Cultural Communication
- Humanitarian Assistance"
86666,"# WEB DESIGNER

Results-driven Web Designer with over two years of experience at a digital marketing agency, specializing in modern, responsive corporate websites and landing pages that deliver both visual impact and exceptional user experience.

## CORE COMPETENCIES

• Responsive Web Design & Development
• Corporate Website & Landing Page Design
• User-Friendly Interface Design
• Digital Experience Design
• Client Requirements Analysis & Collaboration
• Design Tools & Software Proficiency
• High-Quality Design Solution Delivery

## PROFESSIONAL EXPERIENCE

**Web Designer | Digital Marketing Agency**
*2+ Years*

• Design and develop modern, responsive corporate websites and landing pages that are visually appealing and user-friendly
• Create digital experiences that meet the needs of clients and their customers
• Collaborate with clients to understand requirements and deliver effective design outcomes
• Utilize variety of design tools and software to deliver high-quality design solutions

## PROFESSIONAL DEVELOPMENT

Actively pursuing transition to UI/UX Designer role to expand skillset and deepen expertise in creating effective digital experiences."
87779,"PROFESSIONAL EXPERIENCE

Bank Gutmann
Design and Digital Marketing

Deutsche Börse
Global Relationship Management, Sales, and Client Services

727.ventures
Growth Assistant / Product Manager


ADDITIONAL INFORMATION

Full curriculum vitae available upon request."
97622,"# UI/UX Designer

UI/UX Designer with 1.5 years of hands-on experience designing for desktop and mobile applications, plus 3 years of experience creating illustrations, graphics, and content for books, booklets, and posts.

## Core Competencies

**User Research & Strategy**
- User experience research and analysis
- Empathy map development
- User scenario creation
- Problem and needs identification

**Design & Prototyping**
- Clickable prototype development and testing
- Web application design
- Mobile application design
- Design patterns and user behavior analysis

**Visual Design**
- Illustration creation
- Graphic design
- Content design for publications and social media

## Professional Approach

Proactive designer focused on delivering optimal solutions through direct client communication, project roadmap creation, and design matrix development. Committed to improving user experiences through clear, intuitive, and attractive design solutions.

## Experience Summary

**UI/UX Design** (1.5 years)
- Desktop and mobile application design
- Clickable prototypes and user testing
- Client collaboration and project planning

**Visual Design & Content Creation** (3 years)
- Illustrations and graphics for publications
- Content design for books and booklets
- Social media design assets"
98134,"**PROFESSIONAL SUMMARY**

Results-driven professional with a Master's Degree and 3 years of project management experience in the NGO sector, now transitioning to UI/UX design. Completed specialized training in Adobe Illustrator, Photoshop, After Effects animation and motion design, and Web Design. Proven track record in analytical thinking, strategic planning, and problem-solving with strong transferable skills for user-centered design.

**EDUCATION**

Master's Degree

**TECHNICAL SKILLS**

- Adobe Illustrator
- Adobe Photoshop
- Adobe After Effects (Animation and Motion Design)
- Web Design

**PROFESSIONAL EXPERIENCE**

Project Manager | NGO Sector
3 years

- Analyzed project requirements and stakeholder needs to develop strategic plans and deliver results
- Applied problem-solving methodologies to address complex organizational challenges
- Managed end-to-end project delivery from conception through completion
- Collaborated with cross-functional teams to achieve organizational objectives

**CORE COMPETENCIES**

- Strategic Planning and Analysis
- User-Centered Problem Solving
- Project Management
- Cross-Functional Collaboration
- Results-Oriented Execution
- Attention to Detail

**CAREER OBJECTIVE**

Seeking a Junior UI/UX Designer position or traineeship to apply project management expertise, design training, and analytical skills to create intuitive, user-focused digital experiences."
