Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
170,"[Ваше ім'я]

[Контактна інформація]

Мета:
Прагну розвиватися в галузі дизайну, працюючи в сучасній компанії, де зможу створювати цікавий та якісний продукт. Мене надихає можливість допомагати людям з усього світу втілювати їхні ідеї в життя та знайомитися з багатьма чудовими людьми.

Досвід роботи:
[Ваш досвід роботи, якщо є]

Освіта:
[Ваша освіта, якщо є]

Навички:
- Креативність та інноваційність у дизайні
- Вміння працювати в команді
- Здатність до швидкого навчання та адаптації

Додаткова інформація:
- Захоплення дизайном та сучасними тенденціями
- Бажання постійно вдосконалювати свої навички та знання

[Дата]"
171,"Академія:
На курсі ""проектний практикум"" отримав найвищий бал за створення прототипу платформи для перегляду відео на YouTube та розробку теоретичного матеріалу про UI/UX дизайн.

Freelancer:
Використовуючи навички в Adobe Photoshop і Blender 3D, створив логотипи, прев'ю, початкові/кінцеві екрани та живий дизайн для стрімерів."
172,"G.Bar
- Виконання дипломного проекту на курсах від КАМА, що включав виявлення проблем користувачів через дослідження та інтерв'ю.
- Розробка інтуїтивного флоу для додатка та проведення юзер-тестів.

Osteria
- Створення сайту для малого інтернет-магазину з конструктором для збору букетів.
- Підбір кольорової гами та шрифтів, що відповідали бренду магазину."
173,"Certified in web design courses  
Proficient in Figma and Photoshop  
Dedicated to enhancing skills in web design  
Values experience and personal growth  
Open to working for a lower salary to gain learning opportunities  
Eager to receive feedback"
174,"Графічний дизайнер та UI/UX дизайнер з досвідом у створенні айдентики, креативів для соцмереж, іконок, веб-дизайну, ілюстрацій та UI/UX дизайну. Випускниця курсу в Lemon.School, володію Adobe Illustrator, Photoshop, Figma. Вмію ефективно розподіляти час та виконувати завдання вчасно. Захоплююсь творчістю та завжди працюю з натхненням."
175,"Женя  
Графічний та UI/UX Дизайнер  

Досвід роботи:  
З 2018 року працюю в різних компаніях, від регіональних до європейських, зосереджуючись на печатних та веб-продуктах. Наразі працюю в галузі UI/UX на фрилансі.  

Навички:  
- Знання основних принципів дизайну та юзабіліті  
- Візуалізація дизайн-концепцій, створення wireframes та прототипів  
- Аналіз користувацької поведінки та використання даних для поліпшення дизайну  
- Робота в корпоративному стилі  
- Робота з компонентами та автоматичними макетами, використання плагінів  
- Постійний моніторинг тенденцій у дизайні та вивчення нового для оптимізації роботи  
- Досконале володіння: Figma, Adobe Photoshop, Adobe Illustrator  
- Базові знання: Adobe After Effects, Adobe Premier Pro  

З радістю поділюся своїм досвідом та навичками з вашою компанією."
176,"HEX and HSB color models  
Gradient colors HSB  
Icon library, components  
UI kit - simple Inputs  
Inputs with icons  
Custom Inputs  
Labels, Textarea and Variants  
Indentation system and AL  
Simple buttons  
Composite buttons  
Selectors  
Dropdowns  
Dropdown Calendar  
Radio Buttons, Checkboxes, Toggles  
Labels & Social Icons  
Tabs & Choice Chips  
Tooltips  
Notifications  
Sliders  
Pagination & Carousel  
Breadcrumbs, Progress Bars & Indicators  
Tables with components  
Tables with tall rows  
Graph Bars  
Graphs  
Pie Charts  
Dark Mode  
Dropdown adaptation  
Table adaptation  
Widget adaptation  
PopUps: Moodboard & User Flow  
PopUps: UI & micro UX  
Audio player: composition, moodboard  
Audio player: UI&UX process  
Video player  
Products Cards, Spacers, AL  
Authorization: description in Notion and User Flow  
Authorization: basics of atomic design  
Authorization: creating form organisms  
Authorization: creating templates, pages and UI design  
Dashboard: layouts and independent work  
Form: basics of interactive macro-UX prototyping  
Form: interactive components, micro-UX  
Mastering Smart Animate, easing  
UX testing and analytics  
Tokenization, mastering Figma Tokens  
Creating libraries, design system documentation, projects in Figma  
Brand, theme + task description  
Research, exploration, moodboard and User Flow  
Design concept  
UI + UX design of the program  
Testing and refining design  
Description of the program's design system  
I aim to continue developing and expanding my skills, growing alongside colleagues in a friendly company."
177,"Досвід:

- Дизайн веб-сайтів
- Дизайн мобільних додатків
- Створення інтерактивних прототипів
- Розробка адаптивного дизайну
- Створення каркасів сайтів (wireframes)
- Створення карт додатків
- Аналіз сценаріїв користувачів
- Аналіз конкурентів на ринку

Мета:

Прагну здобути новий досвід та готова до нових викликів. Сподіваюсь на плідну співпрацю."
178,"Vika

Web Designer

Summary:
Passionate web designer with a focus on creating engaging and user-friendly designs. Completed a web design course at Shendrikov Education and currently employed as a UX designer at Fozzy Group, specializing in design for Silpo.

Experience:
- UX Designer at Fozzy Group (Silpo)

Education:
- Web Design Course, Shendrikov Education

Soft Skills:
- Communication
- Teamwork
- Punctuality
- Creativity
- Balance

Hard Skills:
- Prototyping
- E-commerce structure
- Typography and color theory
- Landing page design
- Mobile design
- Adaptive responsive design
- Proficiency in Photoshop, Illustrator, After Effects
- Advanced skills in Figma
- Presentation design
- Social media creative design

Motivated to continue learning and achieving outstanding results."
179,"Kate

Graphic Designer | UI/UX Designer

---

**Education:**

- Bachelor’s Degree in Graphic Design
- Graduated from Art School, College, and University

---

**Skills:**

- Proficient in Figma, Adobe Illustrator, Adobe Photoshop, InDesign, After Effects
- Strong time management and planning abilities

---

**Experience:**

- Developed designs for business cards, booklets, posters, corporate identity, and catalogs at a printing house
- Created illustrations for clothing in the knitwear industry
- Participated in various design competitions

---

**Objective:**

Eager to collaborate on exciting projects and expand my knowledge and skills in the field of graphic design."
180,"Курс ""веб-розробка"" Академії ШАГ, Одеса.

Досвід у створенні та підтримці різних типів веб-сайтів, включаючи корпоративні сайти, сайти електронної комерції та посадочні сторінки. Розробка інтерактивних прототипів та логіки сайту, створення графічного контенту для соціальних мереж та сайтів. Досвід у розробці дизайну поліграфічних продуктів та створенні елементів корпоративного стилю.

Володіння принципами фронтенд-розробки, високі знання HTML5 та CSS3, вміння створювати CSS-анімації, адаптивну верстку, використання CSS-фреймворків (Bootstrap, Foundation) та робота з сітками.

Понад 5 років досвіду роботи з CMS Wordpress, створення унікальних дизайнів та власних шаблонів.

ДОСВІД РОБОТИ:
NetBee 2016-2017 (WEB-DEVELOPER)
- Розробка веб-сайтів на CMS Wordpress.
- Адаптивна та кросбраузерна верстка HTML/CSS.
- Створення та дизайн інтерфейсів сайтів.

VP Production 2017-2019 (WEB-DESIGNER)
- Створення та підтримка дизайну різних типів сайтів, розробка клікабельних прототипів та логіки сайту, робота над презентаціями проектів.
- Розробка корпоративного стилю, брендування, дизайн поліграфічних продуктів, створення елементів реклами.

Готовий наполегливо працювати, вдосконалювати власні навички та створювати унікальні дизайнерські рішення."
181,"ICan App - мобільний застосунок для благодійності  
Мобільний додаток, дизайн повного циклу  
ICan - мобільний додаток для благодійного проекту. Метою було створити простий у використанні додаток для благодійного проекту. Проект був розроблений і запущений в 3 етапи: загальний користувацький інтерфейс, платіжний інтерфейс та інтерфейс адміністратора. Також була створена зручна навігація.

Open Doors - веб-сервіс наукової сторінки Юлії Турченко  
Посадкова сторінка, дизайн повного циклу  
Цей веб-сервіс був створений для забезпечення персональних наукових публікацій у світовій науковій спільноті.

Веб-сервіс для громадської організації  
Веб-сайт, дизайн повного циклу  
Сайт неурядової організації, яка об'єднує зусилля для підтримки безлічі проектів по всьому світу. Платформа надає можливість людям, які змінюють світ і створюють зміни, реалізувати своє унікальне призначення.

Веб-сервіс для платформи Crownfinding  
Веб-сайт, дизайн повного циклу  
Краудфандингова платформа для вирішення соціальних проблем. Платформа об'єднує соціальні проекти на одній сторінці, дозволяючи створювати або підтримувати проекти. Доступний пошук за фільтрами."
182,"I developed landing pages and full-fledged website pages, including a site for a company engaged in landscape design. After discussing the project brief, the task was to create a simple and stylish site without unnecessary details to attract potential customers. The site is bilingual, targeting both American and European markets. I use Figma, Illustrator, and Photoshop for site creation. In Figma, I design the site and create videos to demonstrate site functionality, ensuring user-friendly UX. I create mockups in Photoshop to present the final version to the client. The project also included a mobile adaptation for user convenience. The site was presented to the client in two versions with different styles.

I frequently design banners for stores and street boards, resulting in a 25% increase in calls and a 3% increase in purchases. I used Figma and Photoshop and collaborated with printing services to ensure quality."
183,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль або інший професійний сайт]

Освіта та сертифікати:

1. Work with Figma, Creative Practice Certificate
   - Навички: Типографіка, робота з фігурами, робота з компонентами, AutoLayouts, робота зі стилями, прототипування (базовий рівень).

2. Web - designer 3.0, Genius Space
   - Навички: Основи UX - UI дизайну, етапи створення дизайну, Tilda.

3. Безперервне вивчення англійської мови
   - Курс англійської мови, рівень A2, Lingva Skills (Сертифікат)
   - Англійська для STEM, Prometheus (Сертифікат)
   - Індивідуальний курс англійської мови з репетитором, рівень B1 (в процесі)

Досвід роботи:

- Попередній досвід роботи був пов'язаний з продажами, що значно допомогло розвинути навички комунікації, роботи в команді та знаходження підходів до різних людей. Легко адаптуюсь і ефективно працюю як в офісі, так і віддалено.

Навички:

- Комунікація
- Робота в команді
- Адаптивність
- Дизайн UX/UI
- Прототипування
- Англійська мова (рівень A2-B1)"
184,"- Досвід роботи з CRM системами та дизайном додатків
- Створення дизайн-систем на основі принципів атомарного дизайну
- Прототипування, дизайн та переробка веб-сайтів, електронних комерційних сайтів, лендінгів
- Робота з модульною сіткою та атомарним дизайном
- Ведення документації та створення інтерактивних прототипів
- Робота з графічними програмами: Figma, Sketch, Adobe Photoshop, Adobe Illustrator
- Досвід роботи з InVision та Jira
- Прагнення працювати у продукті, з нативними мобільними додатками та у дизайн-студії
- Відмова від співпраці з російськими компаніями"
185,"Досвідчений керівник команди дизайнерів, відповідальний за уточнення вимог, розподіл навантаження, контроль виконання та презентацію робіт замовнику. Володію навичками interaction design, wireframing, prototyping та visual design. Працюю в дружній команді дизайнерів, де менеджмент підтримує ефективність без зайвої бюрократії. Маю досвід роботи над проектами з декількома дизайнерами, що дозволяє ефективну командну роботу, а також досвід прямого спілкування з замовниками."
186,"Курси:
- Projector Humanitarium та Web-Maysternya 2.0
  - Композиція та історія дизайну
  - Кольорова теорія
- UX/UI марафон GoIT

Проекти:
- Розробка landing page для жіночої білизни та інтернет провайдера
- Розробка landing page для майстер-класу
- Розробка айдентики для ательє ""Carrots studio""
- Розробка логотипу для інтернет-магазина X-Auto

Мета:
Знайти посаду, де можна розкрити свій потенціал та вдосконалити здібності. Відкрита до нового, професійно розвиваюсь та слідкую за тенденціями ринку."
187,"Team Lead в продуктовій компанії з досвідом у створенні та підтримці командного духу. Успішно переорієнтував проект на користувача, покращив інтерфейс та спростив функціонал. Займався усуненням невідповідностей, створенням нової UI та написанням Style guide. Експерт у Lead, User Interface (UI), User Experience (UX), Product design. Володію навичками в Sketch, InVision, Marvelapp, Zeplin, Principle, Abstract, Presentation, Keynote. Досвід роботи в умовах білого заробітку, стартапу та цікавого проекту з дружнім колективом."
188,"LEMON SCHOOL  
July 2022 - September 2022  
Responsibilities:  
- Created content for social media (posts, stories, reels)  
- Developed new company branding  

MUSIC CYCLE FESTIVAL (freelance)  
May 2015 - February 2022  
Responsibilities:  
- Developed branding for ""Music Cycle Festival""  
- Created landing page  
- Designed logo for the festival  
- Designed tickets and posters, social media content  
- Designed corporate clothing  

LOMBARD ""PERШИЙ""  
March 2020 - June 2021  
Responsibilities:  
- Lead designer  
- Developed company brand book, image advertising campaigns  
- Created social media content posts  
- Designed and prepared layouts for printing  

KAPITAL LOMBARD  
November 2018 - October 2019  
Responsibilities:  
- Head designer  
- Developed advertising campaigns, souvenir product design, vehicle branding, design of billboards and banners  

PPM (Production of Promo Materials)  
March 2018 - September 2018  
Responsibilities:  
- Thematic design of trade platforms, window design, various exhibitions, vehicle branding  

KLION  
June 2017 - February 2018  
Responsibilities:  
- Designed packaging, labels  
- Designed outdoor advertising and advertising campaigns for brands such as ""Veladis"" and ""Darwin""  "
189,"Multidisciplinary designer with 4 years of experience in UX/UI/Visual Design for iOS, Android, and Web applications. Possesses a Bachelor of Arts degree in Music from Vasyl Stefanyk Precarpathian National University. Seeking opportunities to further enhance design expertise."
190,"Мета моєї діяльності - перетворювати ідеї на реальність через дизайн. Я створюю складні, адаптивні, доступні рішення, засновані на реальних потребах користувачів. Спеціалізуюсь у веб-дизайні та дизайні мобільних додатків.

Досвід у розробці: B2B, B2C, NFT, Landing Page, Dashboard.

Навички: Веб-дизайн, Дизайн мобільних додатків, Дизайн інтерфейсу користувача, Прототипування, Wireframing, UX Research.

Маю середні знання у Front-End розробці та управлінні проектами. Завдяки великому досвіду та постійному самоосвіті легко розумію більшість процесів веб-розробки.

Захоплююся фотографією та музикою.

Відкритий для нових контактів та знайомств.

Мрію працювати в IT. Працюючи Project Manager у сфері нерухомості, часто відвідував відділ IT, насолоджуючись атмосферою та нестандартним мисленням спеціалістів. Бажаю поглибитись у цю сферу, брати участь в проектах, постійно вчитись новому та реалізовувати свої знання. Не хочу стояти на місці, для мене важливий потік інформації та експериментів."
191,"Мої навички:
• Типографія
• Кольористика
• Робота з файрфреймами
• Навички роботи в Figma, Adobe Photoshop, Adobe Illustrator
• Структура сайту та сценарій користувача
• Можливість створювати мобільний дизайн, веб-дизайн, ілюстрації, мокапи
• Розстановка пріоритетів та управління часом
• Знання англійської мови рівень В1

Досвід роботи:
• Працювала в компанії jefa.io над проєктом jefa.ua за ставкою $20 за годину протягом 1,5 місяців. Після зупинки українського проекту, ми успішно виконали багато роботи для українських жінок.
• Фріланс проект (лендінг, веб-сайт, крео)

Додатково:
• Активно вивчаю front-end (CSS, HTML) для того, щоб доводити дизайн-проєкти до кінця."
192,"New Tribe Agency  
Працювала в команді дизайнерів над різними проектами. Основні завдання включали редагування зображень у Photoshop та створення користувацьких інтерфейсів для веб-сайтів і мобільних додатків. Також брала участь у розробці CRM системи для менеджерів.

Freelance  
Розробляла крос-платформний мобільний додаток для пошуку роботи, читання новин на конкретну тему та отримання інших послуг у співпраці з іншим дизайнером. Працювала над вебсайтом для ринку продуктів краси, створюючи десктопну, планшетну та мобільні адаптації самостійно.

Projector  
Під час навчання реалізувала два проекти: лендінг для компанії, що організовує авторські подорожі, та вебсайт для українського бренду сумок і гаманців."
193,"Мета: Отримати першу роботу в сфері UI/UX дизайну для набуття комерційного досвіду та подальшого розвитку.

Навички:
- Знання основних концепцій UX, UI, Product design, Web-design
- Досвід роботи з інструментами Figma, Photoshop, Adobe XD, Illustrator
- Проведення основних етапів UX досліджень: User Research, Persona, Journey Map, Empathy Map, Information Architecture
- Візуалізація та створення клікабельних прототипів, Sketching, Prototyping, Wireframing, UX Testing
- Розуміння принципів дизайну: композиція, ритм, акценти, зв'язки, контраст, управління сприйняттям, шрифти, кольорознавство, відступи, форми
- Досвід у дизайні мобільних додатків, CRM систем, Landing pages, Material design
- Знання методик керування проектами та комунікації з командою
- Навички роботи з Adobe Illustrator, Adobe Photoshop, Figma
- Досвід роботи з Photoshop: верстка тексту, робота з кольором, малювання, шари, векторні форми, фільтри, ефекти, світлини, ретуш

Освіта:
- Курси WEB Дизайну (UI/UX) в CASES.Media Creative platform"
194,"OO Dental
- Збільшення на 30% записів

Bizzy
- Отримання 3 офферів до офіційного релізу сервісу від будівельних компаній з урізаним функціоналом

Oblivion
- Проведення 5 івентів протягом 3 сезонів
- Залучення 800+ відвідувачів
- Збір додатково 2к$ для потреб військових

Illustrator у OO Dental (Стоматологія)
- Розробка дизайну візитівок
- Підготовка до друку

Figma у Christina cosmetics (Онлайн магазин косметики)
- Створення макету майбутнього сайту
- Створення UI відповідно до брендбуку компанії
- Адаптація для різних web розширень екранів

Figma та Illustrator у Eco Time (Онлайн продаж квитків)
- Лого проєкту
- Аналіз конкурентів
- Створення макету майбутнього сайту
- Створення UX карти для макету
- UI desktop/mobile версій сайту
- Адаптація відповідно до актуальних розширень екранів
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки

Створення презентацій для продажу послуг студії у Digiway media

Figma та Illustrator у Coinswap.io (Онлайн крипто обмінник)
- Векторизація ескізу лого
- Побудова UX сайту
- Створення UI сайту проєкту
- Створення 3D моделей елементів сайту
- Дизайн та верстка презентації проєкту
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки

Figma та Illustrator у Bizzy (Saas)
- Аналіз ринку
- Сувмісна розробка майндмапи для деталізації розуміння потреб користувачів
- Сувмісна розробка web/mobile прототипу з ідеологом проєкту
- Розробка та створення лого/айдентики проєкту
- Створення UI web/mobile версії проєкту
- Використання гайдлайнів iOS для UI mobile app
- Створення клікабельних та анімованих прототипів web/mobile app
- Створення презентації проєкту для партнерів

Figma, Illustrator та Photoshop у Oblivion (EBM/Disco івенти)
- Розробка лого та айдентики проєкту
- Створення структури та графічних матеріалів для маркетингу (афіши, пости інстаграм)
- Створення дизайну друкованої продукції (постери, стікери)
- Підготовка до друку графічних матеріалів

Figma та Illustrator у Foodistic (Мобільний додаток)
- Редизайн наявного додатку проєкту
- Покращення UX додатку
- Інтеграція та спрощення функцій додатку."
195,"Роман Поліщук

Контактна інформація:
Вебсайт: www.polishchuk.me

Досвід роботи:
- Понад 12 років у сфері створення вебсайтів, зокрема 7 років у UI/UX дизайні.
- Створення сотень лендінгів, вебсайтів, прототипів мобільних додатків і веб-інтерфейсів.
- Розробка тисяч рекламних банерів для соціальної та таргетованої реклами.
- Отримання сотень позитивних відгуків на фріланс біржах.

Професійні навички:
UI/UX дизайн та графічний дизайн:
- Інструменти: Figma, Photoshop, Illustrator, Axure, Sketch, Final Cut Pro.
- Елементи дизайну: Grids, Icons, Wireframes & Prototyping.
- Проектування мобільних додатків та веб-додатків.

Додаткові навички:
- Front-end / Back-end розробка: HTML5, CSS, Bootstrap, jQuery, PHP, MySQL, JS, React.js, Next.js.
- Операційні системи: Mac OS, Linux (Debian, Ubuntu, Cent OS), Microsoft Windows.
- Інструменти управління проектами: Jira, Trello.
- Системи контролю версій: GIT/GitLab/GitHub.
- Робота з командним рядком (CLI).

Про себе:
Я завжди прагну розуміти потреби клієнтів та повністю занурююся в кожен проект. Маю значний досвід у дизайні та розробці, постійно вдосконалюю свої навички та вивчаю нові технології. Дизайн є моєю основною спеціалізацією, на яку я приділяю найбільше уваги."
196,"UX/UI дизайнер з досвідом у створенні та розвитку медіа від 10 до 400 000 підписників. Організатор та ведучий Behance Portfolio Review. Володію навичками роботи з Sketch, Proto.io, MockingBot, Principle, Invision. Маю досвід у мобільному дизайні, UI/UX, прототипуванні та веб-дизайні. Знання Responsive Design, Apple HIG, Material Design. Пройшов курси з UX Design, Strategy And Prototyping в Netology."
197,"Я шукаю можливість, яка дозволить мені розвиватися та покращувати свої навички в UI/UX та Web-дизайні. Маю досвід реалізації як індивідуальних, так і командних проєктів. Розгляну всі пропозиції роботи, в тому числі волонтерські.

**Досвід роботи**

**Restoplace**  
Mobile application for iOS, full cycle design  
Restoplace — це мобільний додаток, що поєднує зручний пошук ресторанів, можливість швидкого резервування столиків та попереднього замовлення страв, які можна оплатити безпосередньо в додатку.

**MedOnline**  
Web application, full cycle design  
MedOnline — це веб-додаток для проведення онлайн-дзвінків між лікарем та пацієнтом, що дозволяє не лише проводити онлайн-консультації, але й автоматично документувати результати зустрічі. Також створено адаптивні версії для планшетів та мобільних пристроїв."
198,"Senior UX/UI Designer  
з 04.2022 по теп. час  
Grivallure, Київ  
- Розробка дизайну для цифрових продуктів: веб-сайти, мобільні та веб-додатки  
- Проведення досліджень користувачів та юзабіліті-тестування  
- Наставництво молодших дизайнерів  
- Участь у критиці дизайну та формуванні стратегії дизайну  

UX/UI Designer  
з 10.2021 по 04.2022  
Betasprint, Київ  
- Розробка дизайну для цифрових продуктів: веб-сайти, мобільні та веб-додатки  
- Проведення досліджень користувачів та юзабіліті-тестування  
- Дизайн веб-сайтів  
- Створення логотипів  

UX/UI, Graphic Designer  
з 02.2020 по 10.2021  
Brain Tank, Київ  
- Дизайн інтерфейсів  
- Розробка дизайну веб-сайтів  
- Розробка мобільних додатків  
- Створення візуальних концепцій рекламних матеріалів  
- Створення логотипів та фірмового стилю  "
199,Designer at Diia since 2020 and lecturer at Skvot since 2023. Specializing in crafting high-quality presentations and websites with a focus on style and speed. Skilled in mentoring and guiding others in these areas. Not interested in logo design or branding.
200,"Навички:
- Розробка та дослідження
- Створення логотипів та корпоративного стилю
- UX-карта та скетчі
- Moodboard
- Дизайн інтерфейсу та UI Kit
- Адаптивний дизайн (планшет: 1000px, 768px; мобільний: 480px, 360px; або інші)
- Анімація
- Знання HTML5/CSS3

Програмне забезпечення:
- Figma (вільно, використовую в даний час)
- Adobe Photoshop (просунутий, використовую в даний час)
- Adobe Illustrator (просунутий, використовую в даний час)
- Adobe InDesign (просунутий, використовую в даний час)
- Adobe After Effects (середній, використовую в даний час)"
201,"Досвідчений дизайнер з фокусом на розробці Landing pages та редагуванні дизайну мобільних додатків у сфері E-commerce. Працювала в Startup з жовтня 2021 по січень 2022, де вдосконалювала навички у створенні ефективних цільових сторінок. Під час стажування в Softengi з липня 2022 по січень 2023 займалася дизайном функціональностей для різноманітних проектів, що дозволило розширити професійний досвід. У компанії PGM з лютого по квітень 2023 працювала над розробкою Landing pages та рекламою сервісу, що сприяло покращенню навичок у сфері маркетингу. Моя кар'єрна мета - здобути корпоративний досвід для подальшого професійного розвитку."
202,"Пройшов міні-курс від WayUp та GoIT, а також курс від Hillel IT School. Наразі активно працюю над створенням портфоліо. Маю намір розвиватися в компанії на позиції Trainee/Junior."
203,"Trainee UI/UX Designer  
Квітень 2022 - дотепер

- Розробка дизайну веб-сайтів, додатків та ігор, включаючи створення нових проєктів та вдосконалення існуючих.
- Створення email-банерів для рекламних кампаній.
- Використання Figma для роботи з компонентами, стилями та варіантами.
- Прототипування інтерфейсів.
- Розробка адаптивного дизайну.
- Робота з растровою та векторною графікою."
204,"UI/UX дизайнер з Києва, Україна з досвідом у дослідженні, розробці, створенні та підтримці дизайн проєктів для різних галузей. Маю досвід у створенні маркетингової продукції, що супроводжує проєкт.

Технічні навички:
- Проєктування і розробка
- Wireframing і прототипування
- Адаптивний веб-дизайн
- GUI для Android і iOS
- Методології UX і CX
- Аналітика досліджень
- Просування та оптимізація
- Композиція, колір, типографія

Особисті якості:
- Естетичний художній смак
- Креативне мислення
- Самостійність
- Адаптованість та гнучкість
- Презентація продукту
- Комунікабельність
- Жага знань

Досвід роботи:
- UI/UX Designer в ""UAZMI"" - агрегатор новин
- UI/UX Designer в ""Barbaricum"" - науково-дослідна лабораторія
- Freelance UI/UX Designer - розробка дизайну для різних проєктів

Займався аналізом конкурентів та цільової аудиторії, розробкою архітектурної структури сайту та навігації, створенням ескізів та прототипів, розробкою чистого мінімалістичного дизайну та логотипів. Співпрацював з розробниками для створення адаптивного дизайну."
205,"UI/UX Designer, Web Designer  
Arifmetica, Marketing agency  
Aug 2017 - Jan 2022 - 5 years, Ukraine  

- Conducted marketing research and competitor analysis for clients based on collected data.  
- Analyzed client input data and user behavior, creating user flows.  
- Conducted client interviews to understand user goals.  
- Worked with Google Analytics and user touch maps.  
- Designed interfaces based on data and functionality.  
- Created mood boards and optimized existing interfaces through product audits.  
- Conducted user and client interviews to evaluate and improve product usefulness.  
- Optimized websites, increasing conversion rates and user retention time.  
- Simplified information retrieval for wholesale clients.  
- Collaborated with clients on project defense and presentation.  
- Worked with developers, testing final products and creating technical documentation.  
- Led a team of designers, setting tasks and acting as a project manager.  
- Collaborated with developers and SEO specialists.  
- Developed concepts for future projects and selected references for clients.  
- Identified ""problem space"" to improve task completion and processes.  
- Gathered requirements, developed alternatives, prototyped, and evaluated solutions.  
- Developed brand books, identity, and web banners.  
- Designed product packaging from sketching to printing/assembly for a medical product.  
- Worked with the SMM department on design concept creation.  

Digital Marketing  
GAF, Kyiv (Telecommunications)  
Aug 2015 - Aug 2017 (2 years)  

- Conducted company data and marketing communication analytics.  
- Performed competitor analysis and online representation.  
- Created reports and lead improvement plans.  
- Established the first line sales department and wrote scripts for it.  
- Developed and presented company promotion strategies on social media and forums.  
- Developed and tested advertising strategies, preparing advertising materials.  
- Created sales reports and planning.  
- Collaborated with the design department.  
- Updated websites, collecting data on user behavior and identifying blind spots.  
- Developed visual concepts for social media.  

Web Designer, Freelance  
Aug 2015 - Aug 2017 (2 years)  

- Created design solutions for various projects.  "
206,"Mobios School - жовт 2021 - бер 2021  
UI/UX Design & Mob

IT Labs - вер 2020 - лист 2020  
Web Design

Відкритість та бажання освоїти нові знання, комунікабельність, здатність до самоаналізу, вміння вислухати та сприйняти конструктивну критику, швидконавчання

UI/UX Designer - серп 2021 - по теперішній час  
Мережа Ланет  
Обов’язки:  
- UX: аналіз конкурентів, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.

Freelancer - січ 2021 - серп 2021  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.

UI/UX Дизайнер (Проектна робота) - трав 2021 - лип 2021  
Aventus Group  
Робота над новим проектом у сфері онлайн кредитування  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, створення прототипу  
- UI: створення UI kit, дизайн мобільного додатку, дизайн онлайн карти, участь у створенні дизайну фізичної карти

UI/UX Дизайнер - квіт 2015 - квіт 2016  
Qwert-Media  
Обов’язки:  
- UX: аналіз конкурентів, створення wireframe, часткове проектування вже існуючих сайтів  
- UI: створення UI kit, дизайн web сайтів, дизайн адаптивних версій, дизайн та підтримка вже існуючих проектів  
Аналіз та проектування, створення сучасного дизайну як для Web, так і для мобільних додатків, підтримка вже існуючих проектів. Співпраця із командою дизайнерів та розробників. Підготовка макету до верстки."
