Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free
98255,"I am a highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs. Equipped with a solid foundation in design principles, user research, interactive prototyping, and adaptive design.

Experience:

1. DeliverEats Mobile Service
Created a mobile design for a food delivery service, conducting UX research, wireframing, UI design, prototyping, and launching it on Behance. The design included features such as:
	* Search on the home page
	* Filter for quick sorting
	* Ability to add products to favorites
	* Convenience and simplicity for easier understanding

2. PetSearch Web Service
Participated in a team project, creating a web service to search for lost animals. Conducted UX research, created user flows, personas, JTBD, and CJM, and designed the UI, including:
	* Warm color scheme
	* Functionality to help users take action faster
	* Adaptive design for mobile devices
	* Convenience and clarity

Skills:
UX Research, Wireframing, UI Design, Prototyping, Adaptive Design, User-Centric Design, Interactive Prototyping, Design Principles."
98256,"Here is the rewritten resume in a more traditional and polished format:

**Experience**

1. **FlowerLower**: Landing Page for Flower Delivery Company (Case Study)
	* Conducted competitor analysis and research
	* Created high-fidelity wireframes
	* Developed UI style guides, including typography, responsive layouts, color palette, and buttons

2. **Mimino**: Redesign of Georgian Cuisine Website (Case Study)
	* Conducted competitor analysis and research
	* Created high-fidelity wireframes
	* Developed UI Kit, including typography, responsive layouts, color palette, and components
	* Created prototypes
	* Adapted design for mobile and tablet devices

3. **Wanderstay**: Couchsurfing Web-Service (Team Project, Case Study)
	* Conducted competitor analysis and research
	* Applied design thinking principles
	* Created JTBD (Jobs To Be Done) and user personas
	* Developed Information Architecture and User Flow
	* Created Customer Journey Map (CJM)
	* Designed wireframes, dashboards, and 404 page
	* Implemented parallax effect
	* Adapted design for mobile and tablet devices
	* Created prototypes"
98257,"Independently developed a web cleaning service, completing all stages from competitor analysis to design.

Experience:
1. Led the development of a marketing strategy for a barbershop ""BARBER"", conducting competitor and target audience research, and utilizing this insight to inform design decisions and create an effective leading strategy.

2. Redesigned the website ""India Cafe"", researching the target audience to determine their needs and improve the site's design for enhanced visual perception and usability.

3. Created the web service ""CLEAN"", a platform connecting cleaners with clients, navigating all UX/UI stages including user flow, prototyping, sitemap, payment pages, and design.

Career Aspirations:
I aim to join a company with a collaborative and results-driven team, where I can work flexibly in both office and remote settings. I am eager to continuously learn, develop professionally, and advance rapidly in my career."
98258,"Master’s Degree in Law, 2018

Key Strength: Responsibility

Professional Experience:

1. Notary Assistant (3 years)
   - Prepared and worked with documents
   - Conducted client consultations
   - Managed electronic registers
   - Handled business correspondence

2. Customer Support Manager (1 year)
   - Provided service support for site issues
   - Transferred requests to relevant departments
   - Industry: Gambling

3. Head of Quality Control Department of Customer Support at Rocket Delivery, Cyprus (6 months)

Education and Training:
- Master’s Degree in Law, 2018
- Completed UI/UX Design course at DanIT Academy

Current Interests: IT sphere, specifically UI/UX design"
98259,"I conduct competitor analysis, create user flow, site maps, mood boards, develop landing pages, websites, and web services, and engage in prototyping and adaptive design. 

Key Projects:
- OURPAWS: Redesigned search service for missing animals, utilizing Figma, Adobe Illustrator, and Adobe Photoshop to enhance the user experience for those searching for lost animals.
- LA MESA: Contributed to the development of a mobile application for booking tables in restaurants, leveraging Figma, Adobe Illustrator, and Adobe Photoshop.

Professional Expectations and Goals:
- Continuous development and learning of new skills and technologies.
- Advanced training in Adobe Illustrator to enhance proficiency.
- Improvement in vector graphics skills to deliver high-quality designs.
- Foster effective communication and collaboration among colleagues and management, promoting a culture of mutual respect and support."
98260,"Results-Driven Designer
Highly skilled in creating user-friendly designs that attract customers

Project Experience:

1. Landing Page for FlowerLover Flower Shop
   - Designed a user-friendly landing page in accordance with client requirements
   - Conducted competitor research and target audience analysis
   - Developed a clear interface and worked on User Interface (UI) design

2. Redesign of Alaska Pete's Restaurant Website
   - Redesigned the website to create a modern and user-friendly interface
   - Improved the overall aesthetic appeal to attract potential customers
   - Added a reservation form to enhance user experience

Skills:
- User Interface (UI) design
- User Experience (UX) design
- Competitor research and analysis
- Target audience analysis
- Designing for customer attraction and engagement"
98261,"Team Leader, Project ""See World""
Project ""See World""
- Led the development of a user-friendly interface for searching and finding affordable living spaces
- Implemented a robotic method for streamlining the process of discovering new places to live
- Ensured the design was intuitive, allowing users to easily navigate and submit applications

Project ""GenieTable""
- Contributed to the design concept of a mobile application for restaurant table reservations
- Developed an association with a cartoon character to create an engaging user experience
- Designed a color scheme and theme to attract users and provide a seamless booking service

Project ""Nice View"" (Team Project)
- Collaborated on the creation of a landing page for a residential complex presentation
- Designed the page to promote the complex as an ideal location for family life and work
- Implemented a minimalist style to convey a sense of calmness, safety, and professionalism"
98262,"Here is the rewritten resume:

**Experience**

* Completed 3 PET projects during studies, focusing on:
	+ Analyzing competitors and company nuances
	+ Developing minimalism sites and landing pages
	+ Creating CRM systems and mobile applications
	+ Prototyping and responsive design
* Redesigned a tattoo salon website as an individual project for GoIT, including:
	+ Reference selection
	+ Audience analysis
	+ UI-kit creation
	+ Adaptation for tablet and mobile versions
	+ Link creation
* Created a landing page, including:
	+ Reference selection
	+ Moodboard creation
	+ UI-kit development
	+ Main page design
* Collaborated on a web service project to organize affordable stays in another country, including:
	+ Reference selection
	+ Audience analysis
	+ USER FLOW and CJM preparation
	+ Design system selection
	+ Adaptation for tablet and mobile versions
	+ Link creation

**Preferred Work Environment**

* Results-driven and design-focused team
* Open and respectful team atmosphere
* Friendly and mutual respect
* Partially remote work options
* Corporate training and development opportunities"
98263,"Summary:
Highly motivated individual with experience in designing and developing innovative projects, including 2 personal and 2 team-based initiatives. Proven ability to establish effective communication and collaboration, resulting in the creation of user-friendly and engaging products.

Experience:

1. Redesign Tattoo Company: Full Cycle Design
   - Updated the company's website design to align with the target audience's needs and modern trends, enhancing user experience and conversion rates.

2. Easy Yoga Web Service: Desktop and Adaptation Design
   - Conceptualized and designed the web service from scratch, streamlining communication between yoga instructors and individuals seeking suitable teachers.

3. Mobile Application for Performance Enhancement
   - Designed a mobile application aimed at boosting productivity, featuring day planning and monitoring of physical and mental health through various integrated functions.

Projects:
- 2 personal projects
- 2 team projects, including the development of a web service for yoga classes and a mobile application for productivity enhancement."
98264,"Team Leader & UX/UI Designer
Project ""Travelhaven""
- Led team and designed user experience and user interface for project

Personal Projects:
- Developed 2 personal projects, focusing on innovative solutions and user-centered design

Social Project:
- Contributed to the development of a website for volunteers, enhancing online presence and community engagement

Key Projects:
1. Alaska Pete's Roadhouse Grille Website Redesign
   - Conducted competitor analysis to inform design decisions
   - Redesigned website for alaskapetes.com, enhancing user experience and visual appeal

2. Web Service for Affordable Travel
   - Designed interface for a web service facilitating affordable stays in new locations
   - Conceptualized platform for users to exchange work for accommodation, targeting students and young travelers seeking budget-friendly options"
98265,"Team Leader, SweepUp Cleaning Web-service

Project Experience:

1. TimeWell Daily Planner Mobile App
    Created detailed analysis of competing applications, User Personas, and User flows
    Developed high-fidelity prototypes and UI design
    Designed detailed animation in Protopie
    Instruments: Figma, Photoshop, Illustrator, Protopie

2. SweepUp Cleaning Web-service
    Conducted market and competitor analysis, brainstorming, and developed User Personas, JTBD, CJM, and User flows
    Created prototypes, UI design, and relinking and adaptation within the existing design system
    Instruments: Figma, Photoshop, Illustrator

3. Bravo Furniture Site Redesign (Personal Project)
    Performed market analysis, competitor research, and screen prototyping
    Designed UI, responsive layouts for mobile and tablet versions, and developed a UI-kit
    Instruments: Figma, Photoshop, Illustrator

4. Citroen C4 Landing Page (Coursework)
    Conducted market analysis and competitor research
    Created a moodboard, wireframes, and a final animated interface using Figma

Additional Experience:
Participated in an addendum project for GoIT, with landing design implemented by students-developers"
98266,"Summary:
Highly motivated and experienced team leader and designer with a strong background in web service and landing page design. Proven track record of successfully leading teams and delivering high-quality designs that meet client needs.

Experience:
Team Leader, Travel Joy Project
- Led a team in the design of a web service that facilitates work and rest in a new environment
- Conducted competitor analysis, created user flow, and developed wireframes and prototypes
- Successfully developed a well-designed web service with convenient functionality and a good user interface

Designer, Nice View Project
- Created a landing page for selling apartments in a new residential complex
- Conducted competitor analysis, studied target audience, and developed low-detailed and high-detailed prototypes
- Selected fonts and color palette to attract maximum number of new buyers

Current Project:
- Working on a mobile app for table booking in a restaurant as part of a team

Skills:
- Team leadership
- Web service design
- Landing page design
- Competitor analysis
- User flow development
- Wireframing and prototyping
- Font and color palette selection
- Figma

Projects:
- Travel Joy: web service for travel and work in a new environment
- Nice View: landing page for selling apartments in a new residential complex
- Mobile app for table booking in a restaurant (current project)"
98267,"Volunteering Projects Aggregator for Ukraine
Created a user-friendly platform showcasing various volunteering initiatives in Ukraine, providing detailed project information, enabling donations, and facilitating exploration of related projects and volunteer organizations to promote engagement and support for meaningful causes.

Landing Page for Kickstarter Project
Designed a landing page for a nightstand that transforms into four chairs, utilizing the AIDA marketing model to promote the product and encourage purchases. Developed skills in competitor analysis, reference selection, high-fidelity wireframing, and creating an adaptive website.

Landing Page about Rihanna
Developed a landing page introducing users to Rihanna and generating interest in her, honing skills in mood boards, references, wireframes, complex composition, typography, and prototyping."
98268,"Here is the rewritten resume:

**Personal Projects**

* Mobile Event App (in progress)

**Web Design Experience**

1. **A Kids Place Childcare Website Redesign**
	* Conducted full-cycle redesign of the preschool website for parents
	* Improved site attractiveness and user experience
	* Performed competitor analysis
	* Ensured adaptability for mobile and tablet devices
2. **Pet Service Team Project**
	* Collaborated on full-cycle design of a web service for finding pets
	* Created a one-stop platform for pet-related services
	* Studied target audience market and worked on team collaboration skills
	* Ensured adaptability for mobile and tablet devices"
98269,"Brilliantly finished Projector UX Beginner Course
KronaStudio&School Web Design Course
2 months of internship working on pet project with a small dev team

Projector UX Beginner: 
  - Stakeholder project as self-dependent designer 
  - Stakeholder project in a design-team 
  - UX research 
  - Problem-solving 
  - Transforming into UI solutions

1 year of volunteering in University IT HUB: 
  - Redesigning university websites 
  - Designing interfaces for university needs 
  - Cooperating with a team 
  - Managing tasks in Jira

Rapidly improving UI skills by: 
  - Working with a UI library 
  - Being mentored 
  - Participating in UX research 
  - Evaluating solutions 
  - Cooperating with developers and PM to enrich teamwork experience"
98270,"Summary:
Highly motivated and detail-oriented individual with experience in 3D graphics, UI/UX design, and team leadership. Proficient in HTML, CSS, and SketchUp.

Experience:
3D Graphic Specialist, HOVER Ukraine (Feb 2021 - Jun 2023)
- Created 3D exteriors and interiors using SketchUp
- Reviewed and checked finished 3D models from other modelers

Project Experience:
- Redesign of the Sophie Scholl Realschule website: researched and analyzed school websites and web design best practices, redesigned the site to be aesthetically pleasing and user-friendly
- YoHome web service: developed interface from scratch, created simple user flow, and adapted design with minimal changes

Leadership Experience:
- Team Leader, YoHome project: led the team in creating a website for hosting and renting housing

Skills:
- HTML
- CSS
- SketchUp
- UI/UX design
- 3D modeling
- Team leadership

Personal Projects:
- 3 pet projects on various topics

Work Environment:
- Seeking a full-time or part-time position with a mutual respect and friendly atmosphere
- Interested in training and development opportunities within the company
- Focused on achieving results"
98271,"4 years of experience in designing various types, including interior, graphic, and industrial design.
Master's degree in Environmental and Industrial Design.
Developed interior design projects, created graphic designs, logos, business cards, banners, and artwork while studying. Worked as a freelancer and as an interior designer for a company.
Since 2022, focused on web design, completing courses from GENIUS, including ""Fundamentals of Web Design"", ""Working with Figma"", and ""UX/UI: Projecting and Design of Interfaces"".
Aiming to specialize in UI/UX design.
Language skills: English (B1), Polish (B2), Spanish (B1)."
98272,"UI/UX Designer

Summary:
Highly motivated UI/UX designer with 6 months of experience in creating designs for various platforms, including landing pages, e-commerce sites, portfolio sites, and mobile applications. Proficient in the full design process, from competitor analysis to responsive design.

Experience:
UI/UX Design Experience (6 months)
- Created designs for landing pages, e-commerce sites, portfolio sites, and mobile applications (iOS, Android)
- Conducted competitor analysis, user flows, wireframing, prototyping, and built unique UI designs for websites
- Adapted websites for mobile and tablet devices, ensuring responsive design
- Collaborated with front-end developers to bring designs to life
- Utilized basic website animation techniques to enhance user experience

Education:
UI/UX Design Coursework (5 months)
- Studied principles and technologies of the full UI/UX design process
- Gained in-depth understanding of Google Material Design Guidelines and Human Interface Guidelines
- Applied knowledge in coursework to develop comprehensive design skills

Career Goals:
Seeking a UI/UX design position to apply skills and knowledge, with a strong desire to continue improving design abilities and contributing to innovative projects."
98273,"Entry-Level UX Designer

Summary:
Highly motivated and detail-oriented individual with a strong foundation in UX design principles, seeking an entry-level position in a collaborative environment.

Experience:
Freelance UX Designer (6 months)
- Created social media banners for Instagram, Twitter, and Facebook
- Assisted in planning applications and websites
- Developed a blog using Webflow
- Designed landing pages and banners

Education:
Hillel IT School, Course Completion
- Studied foundational concepts in UX design, including user-centered design, the design process, accessibility, and equity-focused design
- Gained understanding of design sprints and their importance in UX design

Skills:
- User-centered design
- Design process
- Accessibility
- Equity-focused design
- Design sprints
- Webflow
- Social media banner design
- Landing page design
- Blog development
- Application and website planning"
98274,"Junior UI/UX Designer

About me:
As a Junior UI/UX Designer, I am passionate about creating effective and aesthetically pleasing designs that improve the user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services.

Project experience:
During my 6-month UI-UX Design course, I worked on 3 individual and 2 team projects.

* ""Wish"" - gift delivery mobile app: I designed a full-cycle process, including competitive analysis, UX personas, user flow, wireframes, and UI design, for a flower and gift delivery app.
* ""Fitroom"" - corporate website redesign for a fitness studio: I performed competitor analysis, established a stylistic direction, built prototypes, optimized interfaces for phone and tablet, and developed a UI kit to create a modern and attractive user interface.
* ""VDOMA"" - Ukrainian couch-surfing web service: I applied a full-cycle design process, including competitive analysis, UX personas, empathy map, sitemap, definition MVP, and user flow diagram, and created tablet and mobile adaptations, followed by A/B testing to correct disadvantages.

Additional projects:
* Designed UI for a cleaning company's service accounting table
* Created UI for a website's sidebar
* Developed a team page with AutoLayout-based paddings
* Designed a user page for an online learning resource
* Created a dashboard for an ed-tech product for school students
* Designed a site's start screen desktop UI with animation
* Developed a modal window for confirming card-to-card money transfers
* Designed a dashboard for managing user rights for administrators

I am excited to bring my knowledge, skills, and passion to your team and help create designs that elevate business. Thank you for considering me for your next project."
98275,"Junior UX/UI Designer

As a passionate and creative designer, I am driven by my love of design and commitment to creating exceptional user experiences. With a strong foundation in design principles and a keen eye for aesthetics, I continually seek innovative ways to improve digital interactions and positively impact users. I stay updated on industry trends and evolving technologies to improve and innovate in my field.

PROJECT EXPERIENCE

I have developed three personal projects that showcase my skills in UX/UI design.

Petsearch is a web service designed to help shelters and promote volunteerism by connecting lost and found animals with their owners. The goal was to create a user-friendly service that provides quick results and a positive user experience. The service offers various functionalities to facilitate the reunion of pets with their owners.

I also redesigned the website for ""A kids place childcare"", a children's project. The project involved analyzing the old design, researching competitors, and identifying user expectations. I created a UI kit with all the UI elements and formed the visuals of the pages based on the research.

Additionally, I designed a landing page for the FlowerLover flower shop. The project included competitor analysis, moodboard creation, page structure determination, and color palette selection. I aimed to create a high-quality and useful product that meets user needs.

I am excited to contribute my skills to new and challenging projects that align with my passion for design and user experience. I am committed to delivering top-quality products that make a positive impact on users."
98276,"Junior UI/UX Designer

About Me
Hello, I am a Junior UI/UX designer with a desire to grow and develop in this field. I have experience working on individual design projects and have a foundation in design principles, including color theory, typography, and design. I am looking for an opportunity to expand my experience in this area and am willing to learn and grow with a team to create the best user experience.

Self-Education
I have pursued self-education in UI/UX design through online courses, literature, and learning about cutting-edge design technologies. I am continuously developing my portfolio, adding new projects, and improving the quality of my work.

Project Experience

Website Redesign | Tattoo Studio
December 2022 – January 2023
I redesigned the tattoo studio website to create a more modern and user-friendly interface. The new site design includes clearer navigation elements, new functions for ordering tattoos, improved image quality of tattoo artists' work, and customer reviews.

UI/UX Design | Service for Finding Lost Animals
February 2023 – March 2023
This study project involved designing a web service for finding lost pets. The functionality includes creating and publishing ads about lost or found animals, aiming to facilitate quick and efficient information dissemination and communication between pet owners.

Career Goals
I am seeking opportunities to work in a team with experienced designers, receive assignments, and engage in exceptional communication. I aim to develop my professional skills, learn new technologies and trends in UI/UX design, and work on a variety of projects to explore new areas of design."
98277,"UX/UI Designer

About me
I am a creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products. I specialize in designing websites, web services, mobile apps, logos, advertisements, and posters.

Work experience

Korg sound library cover design
Created two illustrations serving as covers for sound libraries, analyzing reference photos and designing the covers accordingly after discussing project details with the client.

Sinevibes logo (3D animation)
Designed an animated 3D logo, creating the model, shading, and rendering the final animation after client approval.

My projects

UrbanFest landing page design
Designed a landing page from scratch, creating a moodboard, wireframe, and final design, resulting in a minimalistic landing page.

CustomConcepts tattoo website redesign
Redesigned an existing website, analyzing related websites, prototyping, and creating a modern and comprehensive website.

Web service UX and UI design
Created a web service for finding accommodation abroad at a low price, conducting UX analysis, creating user personas and a customer journey map, and designing the interface.

Beatcraft mobile app design
Designed a music-related app, analyzing the target audience, creating wireframes, and designing the interface, including details like two-factor authentication and in-app achievements.

Completed four individual projects, conducting extensive UX research and designing UI for dashboards, tables, websites, and web services. Collaborated in a team, leading the design and presentation of a literature-related project.

I am looking for a remote opportunity to work with like-minded people, leveraging my ability to quickly learn new skills and take on challenges."
98278,"About Me
I am a dedicated UI/UX designer from Ukraine, specializing in creating intuitive, convenient, and beautiful design projects. I believe that understanding user problems is the starting point for creating design solutions. Overall, my passion for design, attention to detail, and willingness to learn and grow make me a valuable asset to any team committed to creating outstanding products.

Skills
· Figma (auto layout, styles, components, design systems)
· Creating user-centered designs by understanding business requirements
· Identifying and troubleshooting UX problems

Project Experiences
Lunushka Shop mobile app 
The main task was to create a mobile application for an online store. Before starting the work, a study was conducted, which included such main points as: analysis of competitors, analysis of the target audience, personas and their needs, wishes and fears, creation of user flow, detailed wireframes were developed, development of an intuitive and good design for the project, onboarding, creation animated prototype for the customer and protopie for onboarding.

Globetrot web service 
This project is devoted to the creation of a web service for the organization of an economic stay in different countries. An in-depth study was conducted with the help of which problems were formed and the design of solutions for their solution was proposed. Based on this, detailed wireframes and UI for the web service, adaptive design and animation of prototypes were developed.

Redesign Website Tattoo Studio
As part of this project, after a detailed analysis, the website was updated, modern design was developed, an understandable interface was created, and informative pages were developed to attract new customers and tattoo artists to cooperate with the tattoo studio.

Flower shop with delivery landing page
The project is dedicated to creating a landing page for a flower shop with an innovative delivery service. I carefully approached the project, conducting detailed user research, competitor analysis, and creating a persona. At the next stage, a moodboard was created. Paying attention to every detail, I created a prototype. Combining all this in a spectacular design, providing convenient navigation and a pleasant interface for customers. The purpose of this landing page is to make the process of choosing and ordering flowers as pleasant and convenient as possible for customers. The final process was the adaptation of the landing page for tablets and mobile devices.

Work Experience
During the UI/UX designer courses, I worked on 4 pet projects, both alone and in a team, where I was responsible for the user interface, filter, and verification methods in a web service.

Career Goals
I am looking for a role that offers corporate training and development, career growth, mutual respect, and a friendly atmosphere."
98279,"Junior UI/UX Designer

ABOUT ME
I am a Junior UI/UX Designer with experience in team and individual design projects, performing the whole design cycle: analysis, developing ideas, prototyping, user interface design, and adaptation. I create user-friendly interfaces with easily navigable design.

PROJECT EXPERIENCE

Website Redesign | Restaurant & Hotel Complex ""MIMINO""
October 2022 – November 2022
Redesigned the old website to make it more attractive, modern, and user-friendly. Analyzed the old website, identified disadvantages, and found solutions. Created a detailed prototype, visual design, and adaptation.

UI/UX Design | Pet Search Webservice ""NADIYA""
December 2022 – February 2023
Developed a webservice to help owners of lost animals find them faster. Improved communication, organizational, delegation, and time-management skills in a team project. Performed competitor analysis, created user personas, sitemap, high-fidelity prototypes, user interface, and adaptation to create a simple, usable, and visually pleasing webservice.

CURRENT PROJECT
Mobile App | Flower & Gift Delivery
Currently working on a mobile app for flower and gift delivery as part of a team.

OWN PROJECTS
Landing Page | Yoga Studio
Designed a landing page for a yoga studio.

WORK ENVIRONMENT PREFERENCES
- Mutual respect and friendly atmosphere
- Remote work
- Corporate training and development
- Career growth"
98280,"Junior UX/UI Designer

About Me
I am a self-motivated and focused Junior UX/UI Designer who pays a lot of attention to details. My passion is to create high-quality products for users and businesses.

Skills
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
- Skilled in using web-services like SimilarWeb
- Experienced in working with Design Systems, User Flows, CJM

Project Experience
 Barbershop - Landing Page
Created a landing page for a new barbershop in Ukraine, utilizing Figma and Adobe Photoshop to promote services and attract potential customers.
 India Cafe - Website Redesign
Redesigned the website of India Cafe to attract more visitors, conducting competitor research and user interviews to create an attractive and in-demand website.
 Look for - Web-Service
Analyzed the target audience, developed a clear interface, and worked on the User Interface for a web-service aimed at helping people find accommodation. The project was designed and launched in three stages, using Figma, Canva, and Adobe Illustrator.

Career Goals
I am eager to join a team and create high-quality products for users and businesses, accepting new challenges in the web-design process."
98281,"Here is the rewritten resume:


UI/UX Design Course Projects:
- Adaptive redesign of a website
- Adaptive design of a web service for hiring employees of a cleaning company
- Development of a mobile application for booking tables in a restaurant
- Various short tasks on web design according to the curriculum

Graphic Design Experience:
8 years of experience in graphic design, with a strong background in the field.

Chief Designer (Head of Department), 3 years:
- Organized and prepared the company's creative projects
- Developed concepts and designs in accordance with the company's corporate style
- Managed the work process for department employees

Notable Projects:
- Re-design of the company website
- Interface design for a popcorn machine
- Landing design for KinoboardPRO
- Design-project for a city café, including interior design of the conference-hall

About Me:
I aspire to gain experience in IT, learn and grow as a UI/UX designer. I am passionate about digital product design for business, creating easy-to-use products with intuitive logic and modern interfaces. I am result-oriented and ready for further development to deliver the best possible design for my clients. I am a team player, ready to contribute my experience to help the company profit.

Project Experience:
- Redesign of the MAINSAIL realty company website: updated design, logical content sections, simple navigation, and convenient forms for easy user interaction
- Interface redesign for the Kinoprokat-Sumy popcorn machine: redesigned the interface in the company's colors and style, developed new icon design and animations

Career Goals:
I am looking for a reliable and qualified company offering career and financial growth opportunities, a flexible work schedule for work-life balance, and remote work options.

Contact:
I am a UI/UX Designer looking to join a team and contribute my skills. I welcome the opportunity to discuss how I can benefit your company."
98282,"About Me

I'm a motivated junior UI-UX designer with a background in HR and a strong passion for design and innovation. I find great joy in creating visually appealing and user-friendly websites and apps. I continuously learn and improve my skills. I'm excited about the opportunity to work for a great company and collaborate with interesting people.

Project Experience:

1. Eventize - Mobile Application (2023)
Eventize is a mobile application that enables users to find and book venues or events, as well as plan their own special occasions. This app offers a comprehensive platform for creating and managing events, allowing users to select necessary items by category and plan important tasks.

2. Guesture - Web Application (2022)
Guesture is a web service that helps people change their environment and work or rest in a new place. The concept is similar to couch-surfing, but visitors must pay or perform tasks indicated by the host to be a guest. The service targets students and young people who want to explore the world but have limited financial resources.

I am seeking a full-time or part-time position in an innovative and growing company. As a fast learner, responsible individual, and team player, I am ready to take on challenging tasks."
98283,"Junior UX/UI Designer & Team Leader

Summary:
Results-driven Junior UX/UI Designer with a strong focus on user experience, leading a team on various projects, including the pet project ""Shine"" - a web service for cleaning companies. Proven track record of delivering high-quality designs that meet project goals.

About Me:
As a responsible and detail-oriented Junior UX/UI Designer, I prioritize user experience, allocating 65% of my attention to this aspect and 35% to visual design. I am committed to delivering well-thought-out and high-quality work, recognizing that this requires time and dedication.

Experience:
Team Leader, ""Shine"" Web Service Project
- Led the team in all organizational aspects, contributing to project development, and inspiring and supporting team members.
- Currently leading a team in courses, further developing my skills and expertise.

Projects:

* Landing ""FlowerLover""
  - Created a minimalistic one-page website for flower delivery, ensuring a user-friendly experience despite numerous images.
  - Conducted competitor and target audience analysis, reference selection, moodboard creation, wireframing, prototyping, UI-kit development, animation, and adaptation for tablet and mobile devices.
  - Presented the project on Behance, including a case study.

* Website Redesign ""A Kids Place Childcare""
  - Redesigned the website for a modern kindergarten, addressing the issues of low client engagement and decreased coverage.
  - Analyzed the current site, target audience, and competitors, and developed references, moodboards, wireframes, prototypes, UI-kits, adaptations, and animations.
  - Successfully achieved the project's desired outcome, as demonstrated in the Behance case study.

Professional Goals:
Aspiring to become a professional UX/UI Designer and establish my own brand, I am committed to continuous learning and growth, seeking collaborations that value my work and time."
98284,"Web Design (UX/UI) Courses
UX Energy IT School, Jun 2018 – Sep 2018

Key Skills:
- Adobe Photoshop
- Adobe Illustrator
- Adobe Experience Design
- Axure
- InVision

Summary:
Junior UI/UX Designer with foundational knowledge in creating site structure, interaction flows, page wireframes, and interface requirements. Proficient in visual styles for sites and applications, including layout, color, typography, and iconography.

Objective:
Seeking a Junior UI/UX Designer position."
98285,"Dima
Junior UI/UX Designer

Highly motivated and detail-oriented junior UI/UX designer with a strong passion for creating modern and user-friendly interfaces. Proficient in designing wireframes and prototypes using Figma, with experience in creating landing sites and multi-page projects.

Key Skills:
- Wireframing and prototyping in Figma
- Creating landing sites and multi-page projects
- Attention to detail and meeting deadlines
- Strong desire for self-improvement and skill development

Education:
- Projector — Creative & Tech Online Institute, Web Design Beginning, 2022
- Projector — Creative & Tech Online Institute, Web Design Junior, 2022-2023"
98286,"Highly Motivated and Creative Designer

Results-driven designer with a passion for delivering exceptional user experience and visually stunning UI, leveraging a strong understanding of the design process and a background in marketing.

Current Role: Marketing Manager/Designer

Key Responsibilities:
- Design marketing materials, including brochures, leaflets, and stands, utilizing Figma, Adobe Photoshop, and Adobe Illustrator
- Create images for websites, social media posts, and campaigns
- Plan and develop email newsletters
- Edit videos for social media platforms
- Write content for websites, marketing materials, campaigns, email newsletters, and other media

Skilled in UI/UX and graphic design, with a strong foundation in marketing principles."
98287,"UI/UX Designer
Alkima Web & Design
March 2023 - Present

* Conduct user experience research
* Create sitemaps, wireframes, and user interfaces
* Utilize Webflow builder for design development
* Design banners for websites and creatives for social networks
* Develop logos and design systems

Sales Manager
Vinnytsia Distribution Company
January 2019 - February 2022

Skills:
* Understanding of the interface design process
* Ability to create prototypes for various products
* Analyze conditions, test prototypes, and use data to improve design
* Knowledge of user needs and examples of good design
* Experience in creating simple and clear web browser layouts
* Designing interactive UX applications
* Team collaboration and principles of teamwork

Career Goal:
To work in a team and create projects that help people make better use of technology, developing interfaces for websites, mobile apps, and software."
98288,"Freelance Project Experience
-----------------------------

Utilized skills in various freelance projects, including:
- Early-stage gaming projects
- Cryptocurrency exchanges
- Cryptocurrency-related websites

Key Interactions:
- Collaborated with project managers in a client capacity
- Coordinated with web developers to clarify layout details"
98289,"Experienced UI/UX Designer

Summary:
Highly skilled in designing visually appealing and user-friendly interfaces using Figma, with a strong foundation in design principles and a keen eye for detail.

Experience:

* Designed a landing page for a Law Firm, including:
	+ Briefing the client and researching the law field
	+ Creating mood boards, choosing fonts and colors, and working with brand identity
	+ Wireframing and developing multiple design concepts
	+ Creating the final design and adapting it for various devices, including phones and tablets
* Created a website for a pastry shop with delivery, focusing on:
	+ Utilizing auto layouts in Figma
	+ Applying knowledge of design basics to create an effective user experience

Skills:
Figma, UI/UX design, design research, brand identity, wireframing, adaptive design, auto layouts."
98290,"Recent Graduate
No prior work experience, but eager to apply skills and knowledge in a professional setting
Key Skills:
  Adobe Photoshop
  Adobe Illustrator
  Figma
  Quick learner, adaptable to new challenges and software
  Strong willingness to learn and grow in the field of graphic design"
