Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini
12457,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Business Analyst with nearly 10 years of experience in developing solutions of various sizes and complexities. Strong background in quality assurance and project management, with a proven ability to identify client needs and deliver effective solutions.

**Professional Experience**  

**Engagement Manager**  
[Company Name] – [Location]  
[Month, Year] – Present  
- Prepared initial proposals and conducted comprehensive analyses for pre-sale engagements.  
- Collaborated with cross-functional teams to ensure alignment on project objectives and deliverables.  

**Business Analyst / Project Manager**  
[Company Name] – [Location]  
[Month, Year] – [Month, Year]  
- Developed product concepts and planned architecture in collaboration with technical experts.  
- Conducted user training and managed system deployment to ensure successful implementation.  

**Quality Assurance Engineer**  
[Company Name] – [Location]  
[Month, Year] – [Month, Year]  
- Acquired a deep understanding of the Software Development Life Cycle (SDLC) through 4 years of experience in quality assurance.  
- Identified client needs and market requirements to propose optimal solutions.  

**Entrepreneur**  
[Your Business Name] – [Location]  
[Month, Year] – [Month, Year]  
- Founded and managed a business, gaining valuable experience in process construction and sales.  

**Skills**  
- Business Analysis  
- Project Management  
- Quality Assurance  
- Client Engagement  
- Solution Development  
- User Training  
- System Deployment  

**Education**  
[Your Degree]  
[Your University] – [Location]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**References**  
Available upon request.  "
12458,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Detail-oriented Product Manager with experience in gathering requirements, writing user stories, and managing product backlogs. Proven ability to collaborate with cross-functional teams to enhance user experience and deliver high-quality SaaS solutions.

**Experience**  

**Product Manager**  
[Your Company Name] - [City, State]  
[Month, Year] - Present  
- Gather requirements from stakeholders to inform product development.  
- Write and define user stories and use cases to guide project direction.  
- Create roadmaps and user flows for a SaaS platform, establishing permission structures from the ground up.  
- Collaborate closely with designers to enhance user experience through iterative changes.  
- Manage the Product and Sprint Backlogs to ensure alignment with project goals.  
- Conduct daily stand-ups, grooming sessions, and retrospective meetings to facilitate team communication and project progress.  
- Decompose user stories into actionable tasks, prioritizing them for development.  
- Specify data delivery requirements from the data science department to the backend systems.  
- Support the creation and maintenance of product documentation to ensure clarity and consistency.  

**Skills**  
- Requirements Gathering  
- User Story Development  
- SaaS Product Management  
- UX Collaboration  
- Agile Methodologies  
- Backlog Management  
- Task Prioritization  
- Data Specification  
- Product Documentation  

**Education**  
[Your Degree]  
[Your University] - [City, State]  
[Year of Graduation]  

**Certifications**  
[Relevant Certification]  
[Issuing Organization] - [Year]  "
12459,"Alex  
Project Manager  
Marrix Power  

Professional Summary  
Dedicated Project Manager with extensive experience in managing multiple projects and leading teams. Skilled in gathering and documenting requirements, ensuring effective communication with clients, and transforming ideas into actionable project plans.

Experience  
Project Manager  
Marrix Power  
- Managed 16 distinct projects with teams of 3-5 members.  
- Maintained constant communication with all clients to ensure project alignment and satisfaction.  
- Elicited and documented numerous requirements for all projects, facilitating clear understanding and execution.  
- Oversaw the entire project development process, from initial idea to design and planning.  

Skills  
- Project Management  
- Requirements Gathering  
- Client Communication  
- Team Leadership  
- Project Planning and Development  "
12460,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Results-oriented professional with 4 years of experience in sales management, project management, and business analysis. Demonstrated expertise in client engagement, team management, and delivering innovative solutions.

**Core Competencies**  
- Client Nurturing and Management  
- Team Leadership and Stakeholder Engagement  
- Interactive Prototyping and Wireframing (MockingBot, Figma)  
- Business Process Model and Notation (BPMN) (draw.io, Camunda)  
- Requirements Elicitation and Definition  
- User Stories and Use Cases Preparation  
- Upselling Strategies  
- Technical Documentation Development and Validation  

**Professional Experience**  

**Sales Manager / Project Manager / Business Analyst**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Managed client relationships to ensure satisfaction and retention.  
- Led development teams and coordinated with stakeholders to align project goals.  
- Created interactive prototypes and wireframes using MockingBot and Figma to visualize project concepts.  
- Developed BPMN diagrams using draw.io and Camunda to streamline processes.  
- Elicited and defined requirements to ensure clarity and alignment with client needs.  
- Prepared user stories and use cases to guide development efforts.  
- Implemented upselling strategies to enhance revenue streams.  
- Developed and validated technical documentation to support project deliverables.  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**References**  
Available upon request.  "
12461,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dedicated professional with extensive experience in project implementation, ensuring customer requirements are met within agreed timelines and budgets. Proven ability to analyze client needs, collaborate with cross-functional teams, and manage project scope effectively.

**Core Competencies**  
- Requirements Analysis  
- Solution Architecture  
- Project Management  
- Agile Methodologies  
- Client Collaboration  
- User Acceptance Testing (UAT)  
- Documentation and Reporting  

**Professional Experience**  

**[Your Job Title]**  
**[Your Company Name]**  
**[City, State]**  
**[Month, Year] – Present**  
- Responsible for project implementation, ensuring customer requirements are met within agreed timelines and budget.
- Analyze client requirements by eliciting, elaborating, and documenting business and functional requirements in user stories, main and alternative flow diagrams, including block diagrams in Visio and wireframes.
- Collaborate with Developers, Engineers, and QA to discuss solution architecture, estimation, and acceptance criteria, ensuring the team understands the expected outcomes for the client.
- Manage client requirements, including new requests and change requests, in Confluence, obtaining approvals from clients regarding scope and estimations.
- Plan project scope for sprints in Jira by prioritizing tasks and participating in sprint planning and retrospectives to ensure tasks are processed according to agreed priorities and timelines.
- Follow up and report on project progress to stakeholders.
- Create use cases and test scenarios; review test results with QA; test custom solutions prior to deployment.
- Present solutions to clients and assist with User Acceptance Testing (UAT) to ensure customer satisfaction and acceptance.

**Education**  
**[Your Degree]**  
**[Your University]**  
**[City, State]**  
**[Year of Graduation]**  

**Certifications**  
- [Your Certification]  
- [Your Certification]  

**Technical Skills**  
- Jira  
- Confluence  
- Visio  
- [Other Relevant Tools/Technologies]  

**References**  
Available upon request."
12462,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Professional Summary**  
Results-driven System Analyst with a strong background in technical solutions and application development. Proven ability to optimize processes, minimize manual work, and effectively communicate with stakeholders at all levels.

**Experience**  

**System Analyst**  
[Company Name] - [Location]  
[Month, Year] - Present  

- Provide innovative technical solutions that reduce estimated project time by up to 90%.  
- Engage in constructive discussions with top management to advocate for optimal solutions.  
- Streamline the technical documentation process to reduce bureaucratic overhead.  
- Collaborate on an application that serves as a template for app creation, server management, and front-end libraries, ensuring seamless integration through APIs.  

**Key Responsibilities:**  
- Write Business Requirements Documents (BRD), Software Requirements Specifications (SRS), API Specifications, and User Guides.  
- Design database structures to support application functionality.  
- Estimate backlog requests to prioritize development efforts.  
- Conduct demo meetings to showcase completed work to stakeholders.  
- Facilitate retrospective meetings to evaluate project outcomes and improve processes.  
- Perform API testing, manual testing, and automated testing to ensure software quality.  
- Develop smoke scope, regression test cases, and test scenarios for comprehensive testing coverage.  
- Write release notes and delivery protocols to document project milestones.  
- Assume team lead responsibilities in the absence of the team lead.  

**Skills**  
- Technical Documentation  
- API Development and Integration  
- Database Design  
- Testing Methodologies (Manual and Automated)  
- Project Estimation and Backlog Management  
- Team Leadership and Collaboration  
- Effective Communication and Stakeholder Engagement  "
12463,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Motivated and detail-oriented individual seeking to leverage skills in software development and project analysis.

---

**Education**  
LPNU  
Bachelor of Arts in [Your Major]  
[Month, Year] - Present  

- Completed three course projects focusing on:
  - Defining problems through analysis, suggesting solutions via prototyping and persona development, and creating use case diagrams for solution development.
  - Analyzing the current state of a company and working out the desired future state.
  - Utilizing requirement elicitation techniques.
  - Gaining knowledge in machine learning concepts.

---

**Experience**  

**Novomind, Germany**  
Java Developer Intern  
[Month, Year] - [Month, Year] (3 months)  

- Developed solutions for small cases, contributing to project goals.
- Collaborated within an Agile team environment, enhancing teamwork and project delivery.
- Communicated effectively in English to ensure clarity and understanding among team members.

---

**Skills**  
- Proficient in Java programming  
- Experience with Agile methodologies  
- Strong analytical and problem-solving abilities  
- Knowledge of machine learning concepts  
- Effective communication skills in English  "
12464,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Results-driven professional with diverse experience in project management, business ownership, and efficiency management. Proven ability to manage project lifecycles, develop business models, and optimize processes to enhance operational efficiency.

---

**Experience**  

**Project Manager / Business Analyst**  
[Company Name] – [Location]  
[Month, Year] – Present  
- Managed lifecycle processes of multiple projects, ensuring timely delivery and adherence to quality standards.  
- Gathered and analyzed requirements through documentation, interviews, workflows, and review sessions.  
- Maintained and coordinated development processes, fulfilling the role of Scrum Master.  
- Tracked progress, monitored risks, and managed changes using tools such as backlog grooming, velocity charts, Gantt charts, and retrospective meetings.  
- Transformed stakeholder requirements into user stories, use cases, visual models, Functional Requirements Specifications (FRS), and Software Requirements Specifications (SRS).  
- Facilitated communication among multiple stakeholders to ensure alignment and clarity.  
- Composed technical standards for development processes to enhance efficiency and consistency.

**Business Owner**  
[Your Business Name] – [Location]  
[Month, Year] – Present  
- Operated an online shop selling products in the U.S. market, sourcing from manufacturers in China.  
- Executed day-to-day operations, including customer support, procurement, promotions, and logistics.  
- Negotiated with suppliers and contractors to secure favorable terms and maintain quality.  
- Adapted business strategies to respond to the dynamic market environment.

**Efficiency Manager**  
[Company Name] – [Location]  
[Month, Year] – [Month, Year]  
- Re-engineered business processes by analyzing scope, business rules, existing practices, and alternatives.  
- Designed new functionalities for the internal ERP system to improve operational efficiency.  
- Developed and implemented a routing system for Sales Departments to streamline workflows.  
- Authored Technical Tasks for the development team to guide project execution.  
- Provided training to employees during the integration of changes to ensure smooth transitions.

---

**Skills**  
- Project Management  
- Business Analysis  
- Requirements Gathering  
- Scrum Methodology  
- Process Improvement  
- Stakeholder Communication  
- Technical Documentation  
- Negotiation  
- ERP Systems  

---

**Education**  
[Your Degree]  
[Your University] – [Location]  
[Year of Graduation]  

---  

**Certifications**  
[Relevant Certification]  
[Issuing Organization] – [Year]  

---  

**References**  
Available upon request.  "
12465,"Proactive and skilled Business Analyst / Project Manager with over 6 years of commercial experience across various domains. Highly motivated and disciplined, possessing strong technical, communication, and organizational skills, with a focus on achieving results and meeting company goals.

- Over 2 years of experience in IT outsourcing
- 2 years of experience in project management
- 5 years of experience with ERP/CRM systems
- 6 years of experience in the retail sector
- 2 years of experience in healthcare
- 2 years of experience in sales and marketing"
12466,"**Skills:**
- Strong analytical skills with the ability to analyze complex problems
- Project management expertise
- Proficient in statistics and data analysis
- Business process optimization and business modeling
- Excellent communication and presentation skills
- Capable of working independently or in a team while managing multiple engagements
- Skilled in negotiation and conflict resolution
- Experienced in learning and teaching
- Confident PC user, advanced in Excel and PowerPoint
- Fluent in English and Russian; native in Ukrainian; basic knowledge of German

**Experience:**
- Developed Terms of Reference (ToRs) and technical requirements
- Implemented data processing systems
- Verified and compiled data for various projects
- Created specifications for construction and equipment projects
- Conducted research and analytics, producing analytical reports
- Performed functional and effectiveness analysis
- Identified, analyzed, and interpreted trends and patterns in data
- Described and optimized business processes
- Analyzed best practices and international experiences of central purchasing bodies
- Developed strategic proposals for the Central Purchasing Body (CPB) in Ukraine
- Analyzed public procurement procedures in Ukraine using QlikView and QlikSense BI tools
- Monitored the e-procurement system, ProZorro, focusing on compliance, reporting, research, and investigations
- Contributed to the development of terms of reference and technical tasks for the e-procurement system in accordance with the Open Contracting Data Standard
- Searched, gathered, and processed catalogs and information
- Communicated with BI users, procurers, suppliers, controllers, and other clients
- Participated in public events, conferences, and lectures as a speaker and BI expert
- Supported the development of an e-procurement risk indicators system
- Reported and analyzed trends in public procurement procedures for government institutions."
12467,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Detail-oriented Business Analyst with a strong background in marketing analysis and coordination within the FMCG sector. Proven ability to leverage client-oriented approaches and business insights in IT projects. Experienced in both pre-sales processes and project delivery, with a blend of Business Analyst and Project Manager functions.

**Skills**  
- SRS (Use Cases, UML)  
- Backlog Management (User Stories, Acceptance Criteria)  
- User Experience (UX)  
- Agile Methodologies (Agile Certified Professional - IC Agile, Scrum)  
- Technical Skills: MySQL, HTML, CSS (basic level)  

**Professional Experience**  

**[Current Job Title]**  
[Current Company Name]  
[City, State]  
[Month, Year] – Present  
- Engage in pre-sales processes and project delivery, ensuring alignment with client needs and business objectives.  
- Perform Business Analyst functions, including requirements gathering, documentation, and stakeholder communication.  
- Support Project Manager functions, contributing to project planning, execution, and monitoring.

**Marketing Analyst / Marketing Coordinator**  
[Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Conducted market analysis to inform strategic decisions and improve marketing effectiveness.  
- Coordinated marketing campaigns and initiatives, ensuring alignment with business goals.  
- Developed insights into consumer behavior and market trends to support product development and positioning.

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Professional Development**  
- Agile Certified Professional (IC Agile)  
- [Any other relevant certifications or training]  

**Interests**  
Seeking opportunities in a dynamic environment with interesting projects and a fast-paced atmosphere."
12468,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven Business Analyst and Project Manager with three years of experience in the Healthcare domain. Proficient in Business Intelligence (BI) tools and adept at quickly immersing in project technical details. Committed to applying professional skills to achieve project goals and providing support to the team at every execution stage. Experienced soft skills trainer, capable of fostering a safe and energized team atmosphere while effectively managing conflicts.

---

**Professional Experience**  

**Business Analyst / Project Manager**  
[Company Name] – [City, State]  
[Month, Year] – Present  
- Collaborate with cross-functional teams to define project requirements and deliverables.  
- Utilize BI tools to analyze data and provide insights that drive decision-making.  
- Support project execution by ensuring alignment with technical specifications and project goals.  
- Facilitate communication among team members to maintain a cohesive working environment.  
- Implement conflict resolution strategies to address team challenges and enhance collaboration.  

---

**Education**  
[Your Degree]  
[Your University] – [City, State]  
[Year of Graduation]  

---

**Skills**  
- Business Analysis  
- Project Management  
- Business Intelligence Tools  
- Team Collaboration  
- Conflict Resolution  
- Soft Skills Training  "
12469,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Detail-oriented language professional with extensive experience in translation and proofreading for the healthcare and pharmacy sectors. Proven ability to teach English effectively using various online platforms and resources.

**Experience**  

**Translator and Proofreader**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Translate and proofread reports, presentations, and websites from and into English for major clients in the healthcare and pharmacy industries, including Novo Nordisk, Bayer, Parexel, and EURORDIS.  
- Ensure accuracy and clarity in all translated materials, maintaining the integrity of the original content.

**English Teacher**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Teach English to students using the Zoom platform and various online resources, incorporating Google tools to enhance learning experiences.  
- Develop individual educational plans tailored to each student's needs, providing ongoing assessment and evaluation to track progress.

**Skills**  
- Translation and proofreading  
- Online teaching and curriculum development  
- Proficient in Zoom and Google tools  
- Strong communication and interpersonal skills  
- Ability to work independently and collaboratively  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Certifications**  
[Relevant Certification]  
[Issuing Organization]  
[Year]  "
12470,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Results-oriented professional with experience in supporting startups and established products. Proficient in validating product ideas, conducting user research, setting product strategy, and managing design teams. Seeking opportunities to engage in challenging multi-platform projects and enhance business analysis skills.

**Experience**  

**Product Consultant**  
[Company Name] - [Location]  
[Month, Year] – Present  
- Collaborate with founders to validate product ideas and ensure alignment with market needs.  
- Conduct user research to gather insights and inform product development.  
- Develop and implement product strategies that drive growth and user engagement.  
- Manage and lead design teams to create user-centered solutions.

**Education**  
[Your Degree]  
[Your University] - [Location]  
[Month, Year]  

**Skills**  
- Product Validation  
- User Research  
- Product Strategy  
- Team Management  
- Business Analysis  

**References**  
Available upon request.  "
12471,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Business Analyst / Project Manager with over 7 years of experience in IT project management and business analysis across various sectors, including education, medical tourism, e-commerce, and fintech. Demonstrated ability to manage teams of up to 15 members, develop processes aligned with client pipelines, and deliver projects on time and within budget. Proficient in customer service, strategic planning, user experience, and user interface design.

**Professional Experience**  

**IT Project Manager / Business Analyst**  
[Company Name] – [Location]  
[Month, Year] – Present  
- Managed teams of up to 15 members, ensuring effective collaboration and communication.  
- Developed processes according to clients' pipelines to enhance project efficiency.  
- Organized work schedules to avoid overtime and maintain team morale.  
- Resolved issues with clients regarding budgets and deadlines, fostering strong relationships.  
- Established a working environment that promotes productivity and teamwork.  
- Led the creation of 9 new internet projects and improved over 22 existing projects.  
- Managed multiple projects simultaneously, ranging from start-ups to large organizations with over 8000 employees.  
- Conducted negotiations, business correspondence, and composed commercial offers.  
- Collaborated with customers, developers, designers, and copywriters to ensure project success.  
- Conducted usability tests and accepted and tested tasks to ensure quality deliverables.  
- Interacted with both in-house and remote development teams to streamline project workflows.  

**Skills**  
- Project Management Methodologies: Agile, SCRUM, Kanban  
- Tools: Jira, Confluence, Asana, CRM, ERP, BPMN  
- Digital Marketing: SEO, Email Marketing, Google Analytics, Hotjar  
- Design: Adobe Photoshop, Adobe Illustrator, Adobe InDesign, CMS WordPress, Drupal  
- Basic Knowledge: HTML, CSS  
- Strong communication, negotiation, and problem-solving skills  

**Education**  
[Your Degree]  
[Your University] – [Location]  
[Month, Year]  

**Certifications**  
[List any relevant certifications]  

**Availability**  
Open to full-time or part-time opportunities, with experience in both office and remote work environments.  

**References**  
Available upon request.  "
12472,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dynamic and results-oriented professional with 9 years of experience in managing a web studio as a founder. Proven expertise in project management and business analysis, with a strong background in various roles including sales manager and developer. Skilled in leading teams of 5 to 20 employees and delivering successful projects such as online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

**Professional Experience**  

**Founder & Project Manager**  
[Web Studio Name] – [Location]  
[Start Date] – [End Date]  
- Led the development and management of diverse web projects, ensuring alignment with client requirements and business goals.  
- Oversaw project management and business analysis functions, facilitating effective communication between stakeholders and team members.  
- Managed a team of 5 to 20 employees, fostering a collaborative and productive work environment.  
- Developed and implemented project roadmaps, user stories, and product management strategies to enhance project delivery.  
- Conducted manual testing and utilized tools such as Jira and Trello for project tracking and management.  

**Key Skills**  
- Project Management  
- Business Analysis  
- Agile Methodologies (Scrum)  
- Product Management  
- User Experience (UX/UI)  
- Manual Testing  
- Analytics  
- Marketing  
- HTML, MySQL, PHP  
- B2B Applications  

**Education**  
[Your Degree]  
[Your University] – [Location]  
[Graduation Year]  

**Certifications**  
[List any relevant certifications]  

**Professional Affiliations**  
[List any relevant professional organizations]  

**References**  
Available upon request.  

**Objective**  
Seeking new opportunities as a Business Analyst or Project Manager in a large IT company."
12473,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Business Analyst and Project Manager with over 6 years of experience in managing diverse projects. Successfully participated in more than 50 projects, leading teams of 2-7 members with budgets up to $250,000. Proficient in various project management methodologies including Scrum, Kanban, and Waterfall. Experienced as a Product Owner in an IT startup environment.

---

**Professional Experience**  

**Business Analyst / Project Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Led and managed multiple projects, ensuring timely delivery and adherence to budget constraints.  
- Collaborated with cross-functional teams to define project scope and objectives.  
- Utilized Scrum, Kanban, and Waterfall methodologies to enhance project efficiency.  
- Conducted data analysis to inform business decisions and improve processes.  

**Product Owner**  
[Your IT Startup Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Defined product vision and roadmap, prioritizing features based on customer feedback and market trends.  
- Worked closely with development teams to ensure alignment with business goals.  
- Facilitated communication between stakeholders and technical teams to streamline project execution.  

---

**Hard Skills**  
- Scrum | Kanban | Waterfall  
- Lean | BPMN | MS Visio  
- Jira | Asana | Trello  
- Zoom | MS Teams | Google Meet  
- Google Docs | Excel  
- SQL and Java (basic level)  

---

**Soft Skills**  
- Leadership skills  
- Goal-oriented | Proactive  
- Project management  
- People management  
- Analytical thinking  
- Business systematization  
- Ability to think ""outside the box""  

---

**Languages**  
English - B1 (Upper-Intermediate)  

---

**Objective**  
Currently seeking an opportunity to leverage my skills and knowledge in a project or company that shares my values."
12474,"| November 2019 - February 2020 | Teacher, “Software Testing” Courses at Quality Assurance Group  

**Topics:**  
• Quality Assurance Basics  
• Business Analysis Basics  

-----  
| September 2019 - February 2020 | Business Analyst at QArtrock  

**Project 1: Corporate Website**  
**Project Description:** Official website of a Turkish international trading company  
**Responsibilities:**  
• Project Definition  
• Requirements Elicitation  
• Concept Creation, System Modeling  
• Requirements Analysis  
• Requirements Documentation  

**Project 2: Store Website**  
**Project Description:** Website of an electronics store with online trading capabilities  
**Responsibilities:**  
• Project Definition  
• Requirements Elicitation  
• Concept Creation, System Modeling  
• Requirements Analysis  
• Requirements Documentation  

-----  
| May 2019 – August 2019 | QA Trainee at Quality Assurance Group  

**Project 1: Pharmacy Management System**  
**Project Description:** Web application developed for apothecaries to manage pharmacies online  
**Responsibilities:**  
• Requirements Analysis  
• Test Design  
• Writing and Executing Test Cases  
• Writing Bug Reports  

**Project 2: Online Education Platform**  
**Project Description:** Program for selecting educational courses based on survey results  
**Responsibilities:**  
• Performance Testing in JMeter  
• Database Testing in MySQL  
• API Testing in Postman  

**Project 3: Construction Online Store**  
**Responsibilities:**  
• Requirements Analysis  
• Writing the Test Plan  
• Test Design  
• Writing and Executing Test Cases  
• Writing Bug Reports  
• Writing a Test Summary Report  

-----  
| October 2011 - April 2019 | Scientific Consultant  

**Responsibilities:**  
• Diagnostic, improvement, and analytical support for the development and implementation of scientific projects  

**Topics:**  
• Implementation of Innovative Technologies in Educational Systems  
• Psychological Maintenance of Innovative Activity  "
12475,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Objective**  
Dedicated professional with over 3 years of experience in project management, team building, and client communication, seeking a position to leverage my skills and contribute to team success.

**Experience**  
**BA, IWIS LLC**  
October 2020 – January 2021  

**Project Manager, LLC «Politara»**  
March 2019 - December 2019  

**Lead Analyst, ITek**  
2016 - 2018  

**Implementation Specialist of Accounting Systems, Production, and Trading Processes; System Administrator, LLC «Sky»**  
2013 - 2015  

**EDMS Analyst, SC «Zovnishtorhvydav»**  
2012 - 2013  

**System Administrator, PrJSC «UkrSRINDT»**  
2011 - 2012  

**System Administrator, LLC «PIPING INTEGRATION COMPANY»**  
2010 - 2011  

**Professional Skills**  
- ERP implementation  
- Adaptability in project management approaches to meet business needs  
- Technical documentation drafting; requirements gathering; user acceptance testing; reporting  
- Conflict management  
- Technical writing specifications; task setting; user manual creation; development and testing of accounting, production management, and process management systems based on 1C configurations (7.7, 8.2, 8.3)  
- Knowledge of UPP, UTP, UNF, retail, and production configurations; user training and technical support  
- Administration of computer systems based on MS Server (2008, 2012) and Unix systems; MS SQL database administration  
- Administration of virtual systems using VMware and VirtualBox  

**Education**  
**Taras Shevchenko National University of Kyiv**  
Specialist, 2006 - 2011  
Department of Theoretical and Applied Mechanics  

**Institute of Postgraduate Education**  
Master, 2014 - 2017  
Common Law  

**Certificates**  
**MindsetPM**  
- Big IT Project Management Program, July 2019, certificate №PM-EDU-20190728-03  
- Manipulations Practice and Defence, August 2019, certificate №PM-EDU-20190804-07  

**Additional Information**  
Eager to apply my potential and knowledge in a collaborative environment. Committed to building strong teams and achieving outstanding results. I approach each new goal as a personal challenge."
12476,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven professional with eight years of experience in the ICT sector, specializing in business analysis, project management, and business intelligence. Proven ability to analyze business needs, manage projects, and leverage data to drive decision-making.

**Experience**  

**Business Analyst**  
Sumaks Technologies  
[Start Date] – [End Date]  
- Analyzed business needs and identified opportunities for improvement in a hardware development startup.  
- Collaborated with stakeholders to gather requirements and provide actionable insights.

**Project Manager**  
Business Insights International Research Group  
[Start Date] – [End Date]  
- Led a team in evaluating individual and branch KPIs for an insurance company.  
- Managed data collection, entry, and preprocessing, ensuring accurate insights were extracted and reported to stakeholders.

**Business Intelligence Manager**  
Helind Company  
[Start Date] – [End Date]  
- Improved decision-making processes by analyzing and visualizing data related to renewable energy solutions and electronic devices.  
- Leveraged business intelligence expertise to drive strategic initiatives.

**Education**  
- Completed ""Data Science with Python"" course, focusing on Python programming, machine learning models, and data preprocessing.  
- Acquired SQL skills for data science applications.  
- Currently self-studying R language, deep learning algorithms, and natural language processing (NLP).

**Skills**  
- Business Analysis  
- Project Management  
- Business Intelligence  
- Data Analysis  
- Python  
- SQL  
- R Language  
- Machine Learning  
- Data Visualization  

**Interests**  
- Healthcare  
- Energy  
- Manufacturing  
- Marketing  
- Fintech  
- Retail  

**Work Preferences**  
- Seeking remote job opportunities.  "
12477,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Detail-oriented product manager with experience in specification development, feature breakdown structures, and user story creation. Proficient in various project management methodologies including Scrum, Kanban, Waterfall, LEAN, and RAD. Strong communicator with a focus on teamwork, conflict resolution, and public speaking.

**Skills**  
- **Product Management:** Specification, Feature Breakdown Structure, RoadMap, User Stories, Change Requests Log, Risk Matrix, Sprint Release, SWOT Analysis, MVP development.  
- **Project Management:** Communication plans, Standup meetings, Sprint Planning, Sprint Retrospectives.  
- **Technical Skills:** Familiar with Android and iOS guidelines, UI best practices, REST API, Postman, Relational Databases, SQL (basic requests), Microsoft SQL Server Management Studio.  
- **Data Analysis:** Excel (pivot tables, basic statistical calculations), Basics of QlikView, QlikSense, Basics of Google Analytics, Kibana.  
- **Prototyping Tools:** Axure, NinjaMock.  
- **Project Management Tools:** Asana, Redmine, Bitrix24, Trello, Jira.  
- **E-commerce Platforms:** Magento, WordPress, OpenCart, BPMonline.  
- **Payment Systems:** WayForPay, Bitcoin.  
- **Interpersonal Skills:** Teamwork facilitation, Conflict settlement, Problem solving, Public speaking, B2B negotiations, Presentation skills.  
- **Emerging Technologies:** Interest in Big Data, AI, AR/VR, and gaming.  

**Experience**  
[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Developed and managed product specifications, feature breakdown structures, and user stories to guide project development.  
- Collaborated with cross-functional teams to implement Agile methodologies, including Scrum and Kanban, to enhance project efficiency.  
- Conducted brainstorming sessions, focus groups, and user interviews to gather insights and drive product improvements.  
- Utilized various project management tools to track progress and facilitate communication among team members.  

[Your Previous Job Title]  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Assisted in the development of product roadmaps and change requests, ensuring alignment with business objectives.  
- Engaged in public speaking and B2B negotiations to present product features and benefits to stakeholders.  
- Supported the implementation of data analysis tools to derive actionable insights from user data.  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Salary Expectations**  
Minimum salary of $2200/month, with a salary review every 12 months.  

**References**  
Available upon request.  "
