Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
6231,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dedicated and detail-oriented Project Management Specialist with extensive experience in financial consulting. Proven ability to manage projects efficiently, communicate effectively with stakeholders, and deliver results. Strong analytical skills and a commitment to achieving organizational goals.

---

**Professional Experience**  

**Project Management Specialist**  
Grant Thornton Ukraine, Kyiv  
[Month, Year] – Present  

- Facilitate communication with customers and contractors to ensure project alignment and success.
- Maintain comprehensive work documentation and project schedules to ensure timely execution.
- Collect and analyze data critical for project implementation.
- Provide administrative support during work meetings to enhance productivity.
- Prepare detailed reports to track project progress and outcomes.

**Key Projects:**

- Developed a monitoring system for the Sustainable Development Goals at the Kyiv city level.
- Conducted anti-corruption policy audits to ensure compliance and transparency.
- Performed audits of financial statements to verify accuracy and integrity.

---

**Technical Skills**  

- Proficient in Microsoft Office Suite
- Experienced with 1C/BAS software
- Skilled in CRM Bitrix 24
- Competent in Smart Tender platform

---

**Language Proficiency**  

- English: Upper-intermediate

---

**Career Aspirations**  

- Information Technology Manager
- Product Manager
- Assistant Team Manager
- Assistant Project Manager
- Project Office Coordinator

---

**Personal Attributes**  

- Responsible and attentive
- Self-motivated and hardworking
- Team-oriented and adaptable
- Capable of working independently with strong analytical skills

---"
6232,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and attentive manager with a proven track record of successfully executing over 20 educational projects for more than 500 members across various companies, including Boeing, Ubisoft, and Xpand. Possess excellent communication skills, organizational prowess, and the ability to manage multiple tasks under pressure. Quick learner with a strong desire to advance in the IT management field.

---

**Core Competencies**  
- Agile and Scrum Methodologies: Conducting 1-1 meetings, stand-ups, retrospectives, and fostering team motivation.  
- Lean Methodology: Focused on continuous project improvement.  
- Project Design and Profitability: Engaging in discussions to optimize project design and setup, identifying key profitability drivers, and implementing cost-saving solutions.  
- Field Operations Management: Monitoring and enhancing performance to ensure timely and accurate delivery.  
- Stakeholder Liaison: Serving as a communication link across various stakeholders on project-related matters.  
- Customer Relations: Direct communication to clarify requirements, manage expectations, and handle changes.  
- Project Planning and Monitoring: Overseeing task progress, prioritizing team workload, and organizing project documentation.  
- Project Updates and Coordination: Planning and providing regular updates, coordinating project launch schedules and activities.  
- Risk Management: Identifying and mitigating potential project risks.

---

**Professional Experience**  

**Project Manager**  
[Your Company Name]  
[Location]  
[Month, Year] – Present  

- Successfully managed and delivered over 20 educational projects for diverse companies, impacting over 500 members.  
- Implemented Agile and Scrum methodologies to enhance team performance and project outcomes.  
- Applied Lean methodology to drive continuous improvement and efficiency in projects.  
- Collaborated in project design discussions, focusing on profitability and cost-saving measures.  
- Ensured high performance in field operations, achieving timely and accurate project delivery.  
- Acted as a liaison between stakeholders, facilitating effective communication and project alignment.  
- Managed customer relationships, ensuring clear communication of requirements and expectations.  
- Planned and monitored project tasks, prioritizing team workload and maintaining comprehensive documentation.  
- Provided regular project updates and coordinated launch schedules and activities.  
- Conducted risk management to proactively address potential project challenges.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University/College Name]  
[Location]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**Technical Skills**  
[List any relevant technical skills]  

---

**References**  
Available upon request."
6233,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Experience**

**British Autoclub Assistance, Kyiv**  
*IT Manager*  
September 2018 – March 2019  

- Gathered requirements for MVP development on web, app, and CRM system projects.
- Conducted black box/grey box testing and acceptance testing on CRM and app projects.
- Managed app project delivery in collaboration with a foreign outsource team, including project backlog formation, sprint backlog formation, manual testing, and bug tracking.
- Supported 1C accountancy management and developed new features.

**Pride International LLC., Kyiv**  
*Project Manager Assistant / QA Manager*  
August 2017 – September 2018  

- Facilitated sprint planning and product backlog management.
- Conducted quality assurance tests during sprint workflows and final product releases.
- Assisted in resolving app and web-version defects.
- Helped the team remove impediments by understanding control and release processes.
- Tracked and communicated team velocity and sprint/release progress to teams and management.
- Assisted in defining and deploying new product development processes and facilitated continuous improvement of existing processes.

**MBM Partners, Kyiv**  
*Head of Lead-Generation and Advertising Departments*  
June 2015 – August 2017  

- Managed and controlled activities related to lead-generation and traffic management.
- Developed strategic guidelines and tactics for the company's social media activities (SMM).
- Planned and implemented social media marketing strategies.
- Created tasks for script development for social media lead extraction.
- Integrated and controlled automation tools for social media content.

---

**Education**

[Your Degree]  
[Your University/College Name], [Location]  
[Year of Graduation]

---

**Skills**

- Project Management
- Quality Assurance
- Lead Generation
- Social Media Marketing
- CRM Systems
- 1C Accountancy Management
- Manual Testing
- Bug Tracking

---

**References**

Available upon request."
6239,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Aspiring to start a career in a project management role within a customer-focused, innovative, and challenging environment, where I can leverage my skills in communication, management, and problem-solving to contribute to team success and personal growth.

---

**Education**  
**World TESOL Academy**  
- 120-Hour TESOL/TEFL Certificate  
- Accredited by ACCREDITAT & The CPD Certification Service  

---

**Professional Experience**  

**ESL Teacher/Tutor**  
Self-Employed | 2018 - Present  
- Develop activities and integrate technology to diversify instruction.  
- Increase ESL students' reading, grammar, and speaking levels; adapt lesson plans for students needing extra guidance.  
- Create monthly academic status reports based on in-depth student evaluations.  
- Document student attendance and progress against goals.  
- Conduct speaking clubs and business English lessons.  
- Manage individual and group online English lessons.  
- Conduct quarterly assessments and retrospectives of student progress.  

**Assistant SMM Manager**  
Instagram | [Year]  
- Created content and copywriting for social media platforms.  

**Cashier**  
McDonald's, Germany | [Year]  
- Participated in the student exchange program ""Work and Travel in Germany.""  

**Customer Support Specialist Intern**  
[Company Name] | August [Year]  
- Interacted with customers via text and calls using Crisp.  
- Resolved product and service issues to ensure customer satisfaction.  
- Worked with the company's CRM system and sales tools such as Email Finder, Email Verifier, Email Warm-up, and Drip Campaigns.  

---

**Skills**  
- Project Management: Experience in teaching, mentoring, managing, and psychological support for over 20 people.  
- Fluent in English (Advanced); Excellent written and verbal communication.  
- Understanding of project lifecycle and main metrics for project management.  
- Familiar with Agile methodology, including Scrum, Kanban, and Waterfall.  
- Proficient in MS Office; Ability to multitask and solve problems.  
- Sense of responsibility and punctuality.  
- Awareness of copywriter’s and videographer’s workflow.  

---

**Additional Experience**  
- Volunteering and participation in student startups and rallies during studentship.  

---

**Professional Development**  
- Actively learning Agile methodology and regularly analyzing progress to achieve over 80% of goals.  
- Practicing Sprint Retrospectives with students to enhance teaching methods.  

---

**References**  
Available upon request.  "
6240,"Objective:  
Aspiring Project Manager with a focus on developing skills in SDLC, Team Management, and Project Management through continuous learning and practical experience.

Education:  
- October 2021: Completed ""Fundamentals of Team and Project Management in IT. Preparatory"" by Prometheus.  
- May 2022: Completed ""Project Manager Profession | 10.0"" by GeniusMarketing.  
- July 2022: Completed Basic Course by Online Ukrainian School of Project Management by Denys Prylutskyi.  

Professional Experience:  

People Coordinator, Crunch  
- Serve as the primary point of contact for clients regarding project information and updates.  
- Ensure stakeholders are regularly updated on project status through meetings, correspondence, and status trackers.  
- Forecast, track, and manage resource planning.  
- Identify necessary project resources and collaborate with company managers to acquire them.  
- Build and nurture an effective and collaborative project team, promoting individual and team performance.  
- Track internal project team assignments.  
- Monitor team and individual states to identify and prevent risks such as dismissal, professional burnout, and conflicts.  
- Inform and consult specialists about the company's social and remuneration policies.  
- Participate in organizing and conducting team-building activities based on team needs and current state.  

Professional Development:  
- Actively participate in webinars on various SDLC, Team Management, and Project Management topics.  "
6254,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and sociable professional with experience in marketing, lead generation, and business development. Skilled in managing social media platforms and executing targeted advertising campaigns. Adept at planning, creating frameworks, and effectively allocating time using tools like Miro. Passionate about project management and eager to learn and grow in a collaborative environment.

---

**Experience**  

**Lead-Generation Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Managed lead generation for a website development company.
- Utilized platforms such as Facebook Ads and LinkedIn for targeted advertising.
- Collaborated with teams to enhance social media presence and engagement.

**Business Developer/SDR/Sales Manager/Account Manager**  
[Crypto Marketing Agency Name], [Location]  
[Month, Year] – [Month, Year]  
- Developed and maintained client relationships in the crypto marketing sector.
- Engaged in sales and account management to drive business growth.
- Contributed to strategic planning and idea generation for marketing initiatives.

---

**Skills**  
- Social Media Management: Facebook Ads, Instagram, LinkedIn  
- Project Management: Miro, Asana  
- Design and Collaboration: Figma  
- CRM and Sales Tools: Pipe Drive, Expandi  
- Productivity: Google Meet, Google Sheets, Google Docs  

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Month, Year] – [Month, Year]  

---

**Personal Attributes**  
- Creative thinker with a passion for developing innovative ideas.
- Strong interpersonal skills and a desire for engaging, dynamic work.
- Committed to continuous learning and professional development."
6255,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dedicated and proactive Delivery Coordinator/Error Manager with extensive experience as a Senior Test Engineer in the automotive industry. Over 8 years of expertise in automotive embedded projects, demonstrating strong skills in customer communication, team organization, and project management tools such as Jira and Confluence. Committed to delivering high-quality results and fostering effective collaboration within teams.

**Education**  
Master's Degree in Automobile/Automotive Mechanics Technology  
National Transport University  

**Professional Experience**  

**Senior Test Engineer**  
[Company Name], [Location]  
[Month, Year] – Present  

- Lead and manage testing processes for automotive embedded projects, ensuring high standards of quality and performance.
- Coordinate with cross-functional teams to streamline project delivery and error management.
- Utilize Jira and Confluence for efficient test planning and project tracking.
- Foster strong communication channels with customers to understand and meet their requirements effectively.

**Delivery Coordinator/Error Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Oversaw delivery schedules and error management for automotive projects, ensuring timely and accurate project completion.
- Organized and led team meetings to enhance productivity and address project challenges.
- Developed and maintained strong relationships with clients, ensuring satisfaction and repeat business.

**Skills**  
- Customer Communication  
- Team Organization  
- Jira & Confluence  
- Test Planning  

**Career Objective**  
Seeking a challenging position in an automotive project where I can leverage my extensive experience and passion for the field to contribute to innovative and high-quality solutions.  

---

**References available upon request.**"
6342,"Mrowki-UA  
Consulting, HR  
2021-2022  
Automation Project Manager  
Led automation initiatives for company processes and managed website development related to automation. Developed messenger bots to enhance and expedite communication.

Interra  
Online School  
www.interra.bz  
2020-2022  
Automation Project Manager / Business Analyst  
Conducted business process analysis and recommended transformations. Implemented automation in Bitrix and analytics solutions in Power BI, resulting in cost savings, time efficiency, and improved service quality.

RublevFamily  
Quest Franchise  
fr.fortfamily.ru  
2018-2022  
Automation Project Manager  
Initiated automation for the franchise sales department and extended automation solutions to all franchise partners, enhancing their sales departments and establishing marketing analytics.

BizRaise  
Marketing Agency  
bizraise.pro  
2017-2018  
Automation Project Manager / Business Analyst  
Engaged in diverse business areas, focusing on business process automation. Analyzed current customer processes and addressed specific requests or problems through tailored automation solutions."
7630,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and results-driven marketing professional with extensive experience in market research, social media marketing, and digital advertising. Proven ability to manage teams, coordinate projects, and create effective systems to achieve organizational goals. Skilled in leveraging data analytics and digital tools to optimize marketing strategies and drive business growth.

---

**Core Competencies**  
- Market Research & Analysis  
- Social Media Marketing (SMM)  
- Digital Advertising (Google, Instagram, Facebook Ads)  
- Contractor Management  
- Basic SEO & Backlink Strategies  
- Content Creation & Strategy  
- Team Coordination & Conflict Resolution  
- System Development & Process Improvement  

---

**Technical Skills**  
- Google Ads (Editor), Google Tag Manager (GTM), Google Analytics  
- Facebook Business Manager, LinkedIn, Mailchimp  
- Website Development: Tilda, Wix  
- CRM & Analytics: Bitrix, Ahrefs, Serpstat, SimilarWeb  
- Microsoft Office Suite: Excel, PowerPoint  
- Basic SQL & HTML  
- Adobe Creative Suite: Photoshop, Illustrator  

---

**Languages**  
- Ukrainian, Russian (C2)  
- English, German (C1)  
- Spanish, French (A2 - In Progress)  

---

**Professional Experience**  

**[Your Job Title]**  
[Your Company Name], [Location]  
[Month, Year] – Present  

- Conduct comprehensive market research to inform marketing strategies and business decisions.  
- Develop and execute social media marketing campaigns across multiple platforms.  
- Manage digital advertising efforts, optimizing campaigns for maximum ROI.  
- Coordinate and manage contractors to ensure timely and quality project delivery.  
- Implement basic SEO strategies and build backlinks to enhance online visibility.  
- Create engaging content tailored to target audiences.  
- Lead teams in developing transparent systems and resolving conflicts effectively.  

---

**Education**  
[Your Degree]  
[Your University], [Location]  
[Year of Graduation]  

---

**Professional Affiliations**  
- [Any relevant professional organizations or groups]  

---

**Additional Information**  
- Committed to ethical marketing practices; no involvement in gaming, gambling, dating, or fraudulent activities.  

---"
7654,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Telecommunications professional with 14 years of experience in B2B sales and customer service. Proven track record in managing network coverage requests for corporate clients, enhancing analytical skills through complex business case development, and delivering effective training programs. Committed to continuous learning and professional growth, with a strong interest in social media and content marketing.

---

**Experience**  

**Network Coverage Specialist**  
[Your Company Name]  
[Location]  
[Month, Year] – Present  

- Spearheaded the launch of business processes for handling network coverage requests for B2B customers.
- Developed and improved analytical skills through the creation of business cases for base station construction, involving complex interactions with colleagues, contractors, customers, landlords, and engineers.
- Conducted financial analyses, including payback calculations and revenue projections, to optimize technical solutions and assess client service relevance.
- Negotiated equipment placement, rent rates, and informed stakeholders about radiofrequency radiation.
- Engaged with managers at all levels within the company, emphasizing openness and honesty as keys to successful interactions.

**Customer Service Representative, B2B Sales**  
[Your Company Name]  
[Location]  
[Month, Year] – [Month, Year]  

- Acquired foundational skills in analytics, management, and negotiation within the customer service division.
- Contributed to building long-term customer relationships through high-quality service delivery.

---

**Training and Development**  

- Delivered training courses on the life cycle of customer coverage requests, fostering engagement and interaction with participants through examples, questions, and multimedia presentations.

---

**Education and Professional Development**  

- Ongoing English language studies since March 2018.
- Completed a course in content marketing and copyrighting in December 2020, enhancing skills relevant to freelance work and client acquisition.

---

**Skills**  

- Analytical and managerial skills
- Negotiation and communication
- Business case development
- Training and presentation
- Content marketing and social media
- English proficiency

---

**Career Aspirations**  

Aspiring to advance into a B2B Sales Manager or Project Manager role, leveraging a passion for closing deals and a commitment to high corporate standards and financial motivation."
8890,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced professional with a strong background in business analysis, project management, and UI/UX design. Proficient in Agile methodologies, including Scrum and Kanban, with a focus on IT process optimization and quality assurance. Skilled in utilizing tools such as Confluence, Redmine, and Jira for effective project tracking and collaboration. Knowledgeable in ERP and CRM systems, with technical expertise in CSS, HTML, JavaScript, HTML5, UML, and Python.

---

**Core Competencies**  
- Business Analysis & Project Management  
- UI/UX Design  
- Agile Methodologies (Scrum, Kanban)  
- Quality Assurance (QA)  
- IT Process Optimization  
- Knowledge Base Management  
- Confluence, Redmine, Jira  
- RUP (Rational Unified Process)  
- ERP & CRM Systems  
- Web Technologies: CSS, HTML, JavaScript, HTML5  
- UML & Python  

---

**Professional Experience**  

**[Your Job Title]**  
[Your Company Name], [Location]  
[Month, Year] – Present  

- Lead and manage projects using Agile methodologies, ensuring timely delivery and quality outcomes.
- Collaborate with cross-functional teams to optimize IT processes and enhance system functionalities.
- Conduct UI/UX design and testing to improve user experience and interface design.
- Utilize Confluence, Redmine, and Jira for project documentation and tracking.
- Implement quality assurance practices to maintain high standards in project deliverables.

**[Previous Job Title]**  
[Previous Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Analyzed business requirements and translated them into technical specifications.
- Managed ERP and CRM system implementations, ensuring alignment with business objectives.
- Developed and maintained knowledge bases to support organizational learning and efficiency.
- Applied RUP methodologies to streamline project workflows and improve outcomes.

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]  

---

**Technical Skills**  
- CSS, HTML, JavaScript, HTML5  
- UML, Python  

---

**Personal Interests**  
- Committed to ethical industries, with a preference to avoid Forex, gambling, alcohol, and smoking sectors.  

---

**References**  
Available upon request."
8916,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
IT professional with 10 years of experience in the industry, specializing in project participation and management for governmental and broadcasting sectors. Proven track record in IT distribution as a Business Development Manager and Channel Manager.

**Professional Experience**  

**IT Project Participation**  
- Contributed to multiple projects for governmental organizations in Azerbaijan, including the card system for the Central Bank and the inventory system for the Treasury of the Azerbaijan Republic.  
- Gained extensive experience in managing and executing complex IT projects, ensuring alignment with organizational goals and compliance with regulatory standards.

**Broadcasting Project Management**  
- Managed projects in the broadcasting sector, notably the development and implementation of an online TV system.  
- Coordinated cross-functional teams to deliver projects on time and within budget, enhancing the digital broadcasting capabilities of the organization.

**IT Distribution**  
- Over 5 years of experience in IT distribution, serving as a Business Development Manager and Channel Manager.  
- Developed and maintained strong relationships with key stakeholders, driving business growth and expanding market reach.  
- Implemented strategic initiatives to optimize distribution channels and improve overall efficiency.

**Skills**  
- Project Management  
- IT Systems Development  
- Stakeholder Relationship Management  
- Strategic Planning and Execution  
- Cross-Functional Team Leadership  

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Languages**  
- [Language 1]  
- [Language 2]  

**References**  
Available upon request."
9028,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Over 10 years of experience in reporting and developing Business Intelligence (BI) and Data Warehousing (DWH) solutions. Extensive expertise in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes. Demonstrated proficiency across various data domains, including Financial, Trading, Accounting, and other banking business departments.

**Experience**  

**Team Lead / Tech Lead**  
- Over 4 years of experience in leading teams and technical projects.
- Proven ability to guide teams in achieving project goals and meeting deadlines.

**Data Architecture, Modeling, and Analysis**  
- 9+ years of experience in Data Architecture, Data Modeling, and Data Analysis.
- Strong understanding of business goals and priorities in the financial and product sectors.

**Technical Skills**  
- Oracle BI, PL/SQL, SQL, XML, Visual Basic (VB), SAP BO, Tableau
- Agile development practices: Scrum, Kanban
- Tools: Jira, SVN, Crucible

**Key Competencies**  
- Proficient in writing technical design and requirements documents.
- Effective in prioritizing requirements with customers.
- Proactive communication and leadership skills within teams.
- Expertise in Pixel Perfect reporting and financial and management banking reports.

**Domain Knowledge**  
- Financial and management banking reports, bank accounting
- Familiarity with data structures: Siebel, B2, iFobs, isCard

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]

**Certifications**  
[List any relevant certifications]

**References**  
Available upon request."
9066,"• Provide consulting services for public procurement processes.
• Oversee the full cycle of tender procedures.
• Manage and coordinate service proposals, addressing both technical and commercial aspects, from the issuance of tender documents to bid submission.
• Organize bid logistics, develop team schedules, and set responsibilities and expectations for the bid process.
• Act as a liaison for the preparation of technical, commercial, and contractual submissions in collaboration with all relevant services.
• Coordinate and participate in the drafting of documents.
• Ensure the quality and compliance of service proposals within stipulated deadlines.
• Facilitate communication and gather necessary information from all internal and external parties involved, including HR, finance, purchasing, legal services, and partners.
• Manage proposal costs and deadlines effectively.
• Collaborate closely with account directors on service proposals and submission documents, as well as during communications, discussions, and client meetings throughout the proposal process and its development.
• Enhance the effectiveness of the service proposal process.
• Improve tools to increase the quality of submission documents and ensure compliance with standards and guidelines."
9445,"Branch Manager / Project Manager

Summary:
Experienced Branch Manager and Project Manager with over 15 years in the IT industry. Proven track record in managing businesses and development teams ranging from five to fifty members. Adept at overseeing full project cycles and delivering complex systems across various sectors.

Recent Projects:
- Developed a comprehensive ""Legal Management System"" facilitating multi-attorney workflows from claim filing to executive proceedings.
- Implemented a CRM system for a leading wholesale supplier of tourism products, managing hundreds of customers and tens of thousands of products across multiple warehouses.
- Created a SaaS management platform tailored for fitness and dance clubs, as well as small businesses, alongside several online stores of varying complexity.

Skills:
- Project & Product Management
- Agile Methodologies (SCRUM)
- Requirements Management
- Branch Management

Technical Proficiencies:
- Atlassian Jira
- LAMP Stack
- CSS, HTML, PHP4-5
- SQL, jQuery, AJAX
- Bootstrap, PostgreSQL
- AWS, CVS, Mercurial, Git
- Nginx, CMS, CRM

Objective:
Seeking a challenging opportunity in a well-established company to leverage my expertise in a Branch Manager or Senior Project Management role."
9542,"Red Bull Basement 2021  
- 437 applications  

Silpo  
- 1 realized project  
- Coordinated creation of product ""Recipes Silpo"" (not realized due to the war)  
- Created content for the database of recipes (170+)  
- Managed video production  

Lynksen  
- Full copywriting for website (not realized due to the war)  

Volunteer Project  
- Created content for site and social media  
- Coordinated 8 members in the core team  
- Established cooperation between companies, universities, and students  
- Sought partners and maintained communication  
- Evaluated and tracked event success  

Brand Manager, Red Bull  
- Developed social media strategy  
- Assisted in event organization  
- Conducted marketing research  

Marketing Project Manager, Silpo  
- Planned, executed, and monitored projects  
- Coordinated IT, Design, and Operational Departments  
- Created content for site, social media, Viber, and email lists  
- Managed video production  

Genesis Marketing School  

Digital Marketing Manager, Genesis, Keiki  
- Created and scaled Facebook advertising campaigns  
- Managed a monthly budget of $50,000 with positive ROMI  
- Collaborated with content manager to develop engaging content  
- Analyzed key metrics and made strategic decisions  "
9546,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

**Professional Summary**  
Dynamic and motivated professional with extensive experience in project management, event management, and business strategy. Proven ability to build and lead effective teams, manage complex projects, and deliver results in high-pressure environments. Strong public speaking skills and a commitment to continuous learning and self-improvement. Seeking a challenging role in IT development as a Project Manager or Event Manager with a focus on innovation and collaboration.

**Professional Experience**

**Business Assistant for CEO**  
[Company Name]  
07/2022 - 09/2022  
- Developed company strategy and communication processes.  
- Created and managed business processes.  
- Managed a sales team of 5 people.  
- Developed and managed marketing strategies.  
- Coordinated with design, development, copywriting, and HR teams.

**Event Project Manager**  
Ant Hill Event Agency, Kyiv, Ukraine  
03/2020 - 10/2021  
- Managed full project lifecycle for major clients including Metro Cash & Carry, Kyivstar, Metinvest, and Intersport.  
- Handled project budgeting, bid preparation, and client communication.  
- Led turnkey project implementation including design creation, production preparation, and technical support.  
- Achievements:  
  - Developed and led an online production project for Metro Cash & Carry.  
  - Managed a conference for 500+ guests during quarantine.  
  - Organized a sports olympiad for Metinvest across 5 cities.  
  - Secured agency victories in Kyivstar tenders with project ideas totaling over 5 million UAH.  
  - Built strong client relationships.

**Co-Owner & COO**  
Event Agency ""Believe in You"", Kyiv, Ukraine  
03/2019 - 09/2019  
- Engaged in client, partner, and investor communication.  
- Managed budgeting and documentation.  
- Developed the company website and design identity.  
- Supported events and managed teams.

**Project Manager & COO**  
TAG (Ukrainian Startup)  
03/2016 - 12/2018  
- Recruited and adapted employees, managed teams and tasks.  
- Oversaw project and product management from development to pre-release.  
- Managed budgeting and project documentation.  
- Prepared development stage reports and presented projects internationally.  
- Achievements:  
  - Built a high-performing development team with limited resources.  
  - Led the startup to the pre-launch stage and presented at the London Road Show.

**Skills**  
- Team Building and Leadership  
- Project and Event Management  
- Public Speaking and Training  
- Conflict Resolution and Mediation  
- Strategic Planning and Execution  
- Budgeting and Financial Management  
- Continuous Learning and Adaptability

**Education**  
- Ongoing self-education in psychology, marketing, brand & product management, philosophy, and technology.

**Additional Information**  
- Seeking remote work opportunities.  
- Based in Lodz, Poland.  
- Open to junior positions to enhance IT PM skills and grow within a company.  
- Committed to working with companies that do not cooperate with Russia or employ Russian nationals."
9547,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in project management, marketing, and HR. Proven track record of launching successful programs and initiatives that enhance company performance and employee engagement. Seeking a challenging role that offers ownership and collaboration within a friendly and open-minded team.

---

**Professional Experience**  

**Philip Morris Ukraine**  
*Brand Executive in Marketing*  
[Month, Year] – [Month, Year]  
- Provided continuous support for the Parliament brand, ensuring consistent market presence and brand integrity.
- Successfully launched the L&M Double Mix product, achieving target share of market (SOM) through comprehensive support strategies.

*Project Manager Specialist in HR*  
[Month, Year] – [Month, Year]  
- Spearheaded the launch of the Philip Morris Business Academy with a nationwide roll-out, achieving a Net Promoter Score (NPS) of 90%.
- Implemented the Employee Value Proposition (EVP) roll-out, adapting global strategies to meet local market demands, and initiated the Employee Ambassador program.

*Customer Care in Sales*  
[Month, Year] – [Month, Year]  
- Engaged with customers to enhance satisfaction and loyalty, contributing to the overall success of the sales department.

**Nestle Ukraine**  
*Purchasing Department*  
[Month, Year] – [Month, Year]  
- Supported purchasing operations, contributing to efficient procurement processes and supplier management.

---

**Key Achievements**  
- Launched a nationwide internship program, increasing the retention rate of graduates from 50% to 70%.
- Initiated a global internship program with an 80% retention rate of graduates.
- Successfully executed the Hostess Project twice, achieving 20,000 contacts per month with full support.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Location]  
[Year of Graduation]

---

**Skills**  
- Project Management  
- Marketing Strategy  
- HR Initiatives  
- Customer Relationship Management  
- Brand Development  

---

**References**  
Available upon request."
9583,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in project management, procurement, and operational leadership. Proven track record in developing and scaling systems from inception to national implementation. Adept at team leadership, financial management, and strategic planning. Committed to continuous improvement and innovative problem-solving.

---

**Professional Experience**

**Project Manager**  
*Distance Selling System Development*  
- Spearheaded the development of a distance selling system from the ground up, achieving national scale implementation.
- Led cross-functional teams to ensure project milestones were met on time and within budget.

**Manager / Head of Department**  
*Procurement System Organization*  
- Managed and organized the procurement system for a network of construction supermarkets.
- Oversaw procurement processes, ensuring efficiency and cost-effectiveness.

**Private Business Owner**  
*Electronic Diary Project in Kharkiv Schools*  
- Developed and implemented the ""Electronic Diary"" project in schools, enhancing educational communication and record-keeping.

**Director**  
*Operational Management of a Scientific Institution*  
- Directed the operational management of a scientific institution, optimizing processes and improving organizational performance.

---

**Skills**  
- Team Leadership and Collaboration  
- Human Resources and Recruitment  
- Financial Management and Budgeting  
- Distance Management  
- Information Analysis and Structuring  
- Project Organization and Execution  
- Purchasing and Sales Experience  
- Transaction Support and Document Preparation  
- Strategic Planning and Problem Solving  

---

**Professional Development**  
- Committed to personal and company growth through skill enhancement and a flexible approach to challenges.  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**References**  
Available upon request."
