Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
63086,"[Your Name]  
[Your Contact Information]  
[Your Portfolio/Website (if applicable)]  

**Web Designer**  
Skilled and motivated web designer with hands-on experience in Sketch, Figma, Adobe Photoshop, and Adobe Illustrator. Quick learner with a strong ability to adapt to new software and workflows.  

**Education & Training**  
**UI/UX Web Designer**  
LevelUP School | 10/2018 – 04/2019  

**UI/UX Web Designer**  
Spalah IT-School | 05/2018 – [Current/Present]  

**Skills**  
- Sketch  
- Figma  
- Adobe Photoshop  
- Adobe Illustrator  
- Fast learner with strong adaptability to new tools and processes"
63087,"Here's the improved resume while ensuring all information remains factual and unchanged:  

---

[Your Name]  
[Your Address] | [Your Phone Number] | [Your Email Address]  

**Objective**  
Detail-oriented professional seeking hands-on experience in design and eager to contribute to real projects. Committed to mastering Adobe Photoshop, Illustrator, and Figma while collaborating with industry experts.  

**Skills**  
- Proficient in Adobe Photoshop, Adobe Illustrator, and Figma  
- Strong adaptability and flexibility in dynamic environments  
- Excellent interpersonal and communication skills  
- Receptive to feedback and constructive criticism  
- Highly disciplined with a dedication to continuous learning  

**Professional Experience**  
**Restaurant Industry**  
- Demonstrated adaptability and teamwork in fast-paced, customer-facing roles  
- Maintained professional collaboration with diverse teams  
- Applied discipline and flexibility to meet shifting workplace demands  

**Education**  
[Your School Name]  
[Your Degree or Program, if applicable]  

**Additional Information**  
- Committed to dedicating time and effort for rapid skill acquisition  
- Passionate about learning and contributing to team success  
- Seeking mentorship and hands-on experience to advance as a designer"
83710,"**Graphic & UI/UX Designer**  

**Professional Summary**  
Creative and detail-oriented Graphic & UI/UX Designer with experience in fintech and blockchain industries. Skilled in designing web and mobile applications from scratch, branding, and corporate design. Adept at collaborating with clients and teams to deliver visually appealing and functional solutions.  

**Experience**  
**UI/UX & Graphic Designer**  
*Outsource Company (Fintech & Blockchain Specialization)*  
- Designed web and mobile applications from scratch for clients in the USA, Canada, and the UK.  
- Contributed to a blockchain-based corporate project involving a tokenized game.  
- Developed branding materials, including Brand Books, corporate merchandise (cups, hoodies, t-shirts, pens), banners, printouts, and posters.  
- Created a custom-designed interactive notebook for employee anniversaries, featuring original character illustrations and thematic pages.  
- Produced corporate Instagram posts that served as templates for future content.  

**Freelance Projects**  
- Designed a logo for a Ukrainian bag manufacturer.  
- Redesigned an outdated website to improve usability and aesthetics.  
- Created an animation showcased on Behance.  

**Skills**  
- UI/UX Design (Web & Mobile Apps)  
- Branding & Corporate Identity  
- Graphic Design (Print & Digital)  
- Illustration & Animation  
- Client Communication & Problem-Solving  

**Additional Information**  
- Eager to learn and grow under the mentorship of experienced designers and business analysts.  
- Thrives in structured environments with clear tasks and reasonable deadlines.  
- Unable to convert designs to HTML.  

**Looking For**  
A collaborative, friendly team with well-defined projects and constructive feedback."
83711,"Here is the improved resume with clarified phrasing while maintaining factual accuracy:  

---  

**Professional Experience**  

- **Newsletter Development & Design**: Created original newsletters tailored to three distinct target audiences.  
- **Graphic Design**: Produced visuals for websites, social media, and marketing materials.  
- **Marketing Strategy**: Developed promotional plans and analyzed advertising performance metrics.  
- **Humanitarian Support**: Assisted with a medical aid hotline for Ukrainian refugees.  
- **Social Media Management**: Oversaw accounts for Medimost and associated initiatives.  

---  

(The revised version organizes responsibilities more clearly while strictly preserving the original content. No embellishments or new details were added.)"
86666,"**Web Designer**  
Digital Marketing Agency · 2+ years of experience  

Specializing in modern, responsive corporate websites and landing pages, with a focus on visually appealing, user-friendly design. Proficient in leading design tools and software, ensuring high-quality digital experiences.  

**Skills & Expertise:**  
- Responsive Web Design  
- UI/UX Principles  
- Landing Page Optimization  
- Design Software Proficiency  

**Career Goal:**  
Transitioning into UI/UX Design to further enhance digital experiences by deepening expertise in user-centered design methodologies."
87779,"Bank Gutmann: Design and Digital Marketing  
Deutsche Börse: Global Relationship Management, Sales, Client Services  
727.ventures: Growth Assistant / Product Manager  

You can learn more by contacting me, I will gladly share my CV with you."
97622,"**UI/UX Designer**  

**Professional Summary**  
UI/UX Designer with 1.5 years of hands-on experience designing intuitive interfaces for desktop and mobile applications. Additional 3 years of expertise in creating illustrations, graphics, and content for books, booklets, and social media.  

**Key Skills & Expertise**  
- User-centered design (empathy maps, user scenarios, problem identification)  
- Clickable prototyping and usability testing  
- Data-driven design decisions  
- Web and mobile application design (behavioral patterns, responsive layouts)  
- Illustration and graphic design for print and digital media  
- Client communication and project roadmap development  

**Professional Experience**  
- Delivered optimal design solutions through face-to-face collaboration, project roadmaps, and design matrices.  
- Conducted user research to identify needs and improve experiences.  
- Developed clear, user-friendly, and visually compelling designs.  

**Tools & Technologies**  
Proficient in industry-standard design and prototyping tools (e.g., Figma, Adobe XD, Illustrator).  

**Commitment**  
Dedicated to enhancing customer experiences through thoughtful, accessible, and aesthetically engaging designs."
98134,"[Your Name]  
[Your Contact Information]  
[Your Email]  
[Your Portfolio/Website (if applicable)]  

**Objective**  
Motivated junior UI/UX designer with foundational training in design tools and a background in project management. Seeking opportunities to apply creative and analytical skills in a trainee or junior role to grow professionally in the IT industry.  

**Education**  
[Your University Name] – Master’s Degree  
[Year of Graduation]  

**Relevant Coursework**  
- Adobe Illustrator  
- Adobe Photoshop  
- Web Design  
- Animation and Motion Design (Adobe After Effects)  

**Professional Experience**  
**Project Manager** | [NGO Name]  
[Employment Dates: MM/YYYY – MM/YYYY]  
- Led projects from conception to completion, ensuring alignment with organizational goals.  
- Developed problem-solving strategies and analytical plans to achieve measurable results.  
- Collaborated with cross-functional teams to deliver projects on time and within scope.  

**Skills**  
- UI/UX Design Fundamentals  
- Adobe Creative Suite (Illustrator, Photoshop, After Effects)  
- Web Design Principles  
- Project Management  
- Problem-Solving & Analytical Thinking  

**Career Interests**  
- Junior UI/UX Designer roles  
- Trainee programs in IT/Design  
- Opportunities for professional growth in the tech industry."
98135,"Here’s the improved version of your resume while retaining all the original facts:  

---  

**UI/UX Designer**  
1+ years of experience  

- Skilled in employing industry and design best practices throughout the website build process.  
- Proficient in analyzing user behavior, detecting and troubleshooting UX issues.  
- Experienced in creating prototypes in Figma for landing pages.  
- Adept at working with style, selecting fonts, colors, and illustrations.  
- Ensures website functionality across devices (desktop, mobile, tablet).  
- Skilled in logo creation.  

Seeking a new opportunity to further develop skills and gain additional experience.  

---  

No new facts were added, and all original responsibilities remain intact. Let me know if you'd like any adjustments."
98136,"**UI/UX Designer**  
1.5 years of experience specializing in Figma and Adobe Photoshop. Proficient in English with a strong passion for professional growth in UI/UX design.  

**Freelance UI/UX Designer**  
*8 months*  
- Delivered UI/UX solutions for diverse small-scale projects.  
- Created wireframes, prototypes, and high-fidelity designs.  
- Tools: Figma, Adobe Photoshop.  

**UI/UX Designer at Start-up**  
*4 months*  
- Designed intuitive interfaces for an online clothing store targeting the EU market.  
- Collaborated with cross-functional teams (Product Manager, 2 developers, 1 QA) to align design with business goals.  
- Tools: Figma, Adobe Photoshop.  

**UI/UX Designer for British Clothing Store**  
*2 months*  
- Developed prototypes, layouts, and user-centered UI/UX designs.  
- Ensured seamless user experiences through iterative design improvements.  
- Tools: Figma, Adobe Photoshop.  

**Skills:**  
Figma, Adobe Photoshop, UI/UX Design, Prototyping, Wireframing, Layout Creation, Collaboration."
98137,"[Your Name]  
Lviv, Ukraine  
[Your Email] | [Your Phone Number] | [LinkedIn Profile] | [Portfolio Website]  

**UI/UX Designer**  

**Objective**  
Assistant enterprises in designing and launching new digital products or redesigning existing projects, ensuring ease of use and improved user experience.  

**Summary**  
Beginning UI/UX designer with a strong foundation in user-centered design principles. Skilled in designing digital products and enhancing usability through redesigns. Fast learner, responsible, and collaborative, committed to continuous skill development.  

**Skills**  
- User-Centered Design  
- UI/UX Design Principles  
- Digital Product Design  
- Redesign of Existing Projects  
- Fast Learner  
- Collaborative Team Player  

**Education**  
Projector Institute – Web Design Beginning Course  
Udemy.com – Basics of UI and UX Design (Two Online Courses)  
Mentorship – Valentine Skliarov (Lead Designer at Cieden)"
98138,"[Your Name]  
[Your Email] | [Your Phone Number] | [Your Portfolio/LinkedIn (if applicable)]  

**Summary**  
Detail-oriented and collaborative designer with a strong focus on clean, user-friendly interfaces. Skilled in UI/UX design, prototyping, and visual aesthetics, with a passion for simplicity and usability. Continuously expanding expertise in design tools and web development.  

**Skills**  
- UI/UX Design (Figma: Components, Variants, Auto Layout, Bootstrap, Prototyping, Mockups)  
- Adobe Photoshop (Photo Editing) | Basic Adobe Illustrator  
- Typography, Grid Systems, Color Theory, Composition, Usability Principles  
- Webflow (Currently Learning)  
- English (Proficient, Continuously Improving)  

**Projects**  
- Designed and developed educational fake projects, including landing pages and authorization forms.  
- Created interactive prototypes and mockups to refine user experience.  

**Education**  
[Your Degree/Program Name] | [Institution Name] | [Year]  

**Languages**  
- [Your Native Language] (Fluent)  
- English (Proficient)"
98171,"[Your Name]  
[Your Contact Information]  
[Your Portfolio/LinkedIn (if applicable)]  

**UI/UX Designer**  

Highly motivated and creative UI/UX Designer with 1 year of experience in freelance and startup environments. Skilled in developing innovative digital solutions while collaborating effectively in team settings.  

**Skills:**  
- UI/UX Design  
- Figma, Photoshop, Illustrator, AutoCad, Blender  
- Photography & Music (Creative Projects)  

**Strengths:**  
Ambitious, Proactive, Cooperative, Polite, Creative  

**Areas for Growth:**  
Diligence, Modesty, Demandingness  

**Experience:**  
**Freelance UI/UX Designer** | [Year-Present]  
- Designed and developed creative digital projects.  
- Collaborated with clients to deliver tailored solutions.  

**UI/UX Designer (Startup Team)** | [Year-Present]  
- Contributed to team-based UI/UX projects.  
- Assisted in product development and design iterations.  

**Education:**  
[Degree/Institution] | [Year]  

**Interests:**  
Photography, Music, Creative Arts"
98172,"Dmitry  
UI/UX Designer  

Professional Summary  
Passionate UI/UX Designer dedicated to creating modern and stylish designs. Continuously improves skills and seeks inspiration to deliver exceptional results. Eager to apply expertise to real-world projects.  

Skills  
- UI/UX Design  
- Modern and Stylish Design Creation  
- Skill Improvement and Inspiration Seeking  

Experience  
UI/UX Designer  
- Focused on enhancing design skills and creating visually appealing designs.  
- Actively sought inspiration to ensure modern and stylish outcomes.  
- Committed to delivering high-quality work on real projects."
98173,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced web and mobile application designer skilled in creating intuitive, modern designs using Figma, Adobe Photoshop, Adobe Illustrator, and CorelDRAW. Proven ability to collaborate with cross-functional teams, meet deadlines, and align designs with user needs. Committed to staying updated with industry trends to enhance functionality and aesthetics.  

**Professional Experience**  

**Web and Mobile Application Designer**  
- Designed responsive websites and mobile applications using Figma, Adobe Photoshop, Adobe Illustrator, and CorelDRAW.  
- Developed wireframes, layouts, and high-fidelity interfaces to improve user experience.  
- Worked closely with developers and stakeholders to ensure timely project delivery and adherence to requirements.  
- Researched and implemented current design trends to optimize usability and visual appeal.  

**Projects**  

**GetPet – Web Service for Finding Lost Animals**  
- Performed competitor analysis, user persona development, and user flow mapping.  
- Designed wireframes and final UI interfaces.  
- Coordinated with the development team throughout the project lifecycle.  

**Redesign of Poltava Music School Website**  
- Overhauled the existing interface to improve aesthetics and usability.  

**Skills**  
- UI/UX Design (Web & Mobile)  
- Graphic Design: Figma, Adobe Photoshop, Adobe Illustrator, CorelDRAW  
- User Research & Analytics  
- Wireframing & Prototyping  
- Cross-Functional Team Collaboration  

**Career Objective**  
Seeking a remote role with a flexible schedule in a collaborative environment that encourages innovation and the development of high-quality digital products."
98245,"[Your Name]  
[Your Contact Information]  

**Education**  
Successfully completed design courses, defended thesis, currently pursuing professional course.  

**Skills**  
- UX Research  
- Audience Research  
- Competitor Analysis  
- Design System Creation  
- UI Kit Development  
- Prototyping  
- Adaptive Design  
- Basic Animation  

**Experience**  
**Freelance Designer**  
- Designed posters, rendered videos, and created a logo for a dance festival.  
- Duration: 6 months  

**Projects**  
- Conducted UX research, analyzed competitors, and developed a design system and UI kit.  
- Created prototypes and adaptive designs, with basic animation work."
98250,"05.2021 - 08.2021  
Hillel (IT School)  
Design Basic  

10.2021 - 05.2022  
Hillel (IT School)  
UI/UX Design Pro  

03.2016 - 05.2022  
Innovation Group - Media Buyer/Marketer  
Collaborated with advertising networks, managed traffic distribution for advertising campaigns, developed creatives and landing pages, monitored campaign performance, and optimized campaigns for efficiency.  

01.2013 - 02.2016  
Sprava - Account Manager  
Established and nurtured strategic client partnerships, expanded accounts, onboarded new customers, and ensured seamless transitions to regular clients. Supported SEO setup to enhance partner account monetization."
98251,"Here’s an improved version of your resume with refined formatting, clearer phrasing, and stronger impact while remaining factual:  

---  

**Education**  
2022 | Successfully completed *""Basics of Web UI Development""* on Prometeus.  
2023 | Successfully completed *""UI/UX Design Basic""* on Prometeus.  

**Professional Experience**  
**Aviation Security Officer**  
*PLC «Master-Avia», Kyiv* | 04.2017–12.2017  
- Conducted systematic baggage monitoring to ensure passenger safety.  
- Communicated effectively with passengers and staff in a high-traffic airport environment.  

**Photographer & Retoucher**  
*The Svadba, Kyiv* | 03.2018–04.2019  
- Specialized in wedding photography, capturing portraits and candid moments.  
- Edited and retouched photos to enhance visual quality.  
- Designed and sold custom photo albums.  

**Studio Photographer**  
*The Moment, Kyiv* | 09.2020–02.2022  
- Executed professional photo shoots for groups and individuals.  
- Collaborated with teams to deliver high-quality retouched images.  
- Managed album layout design and client deliverables.  

**UX/UI Designer (Freelance)**  
*Self-Employed* | 03.2023–Present  
- Conducted user research to identify pain points and opportunities.  
- Designed wireframes, user flows, and interactive prototypes in Figma.  
- Developed user personas to align design solutions with target audiences.  

**Skills**  
- Photography & Advanced Retouching  
- UX/UI Design (Figma, Wireframing, Prototyping)  
- User Research & Persona Development  
- Team Collaboration & Client Communication  

---"
98252,"05.2021  
VBakery  
Developed a responsive website for a bakery catering to dessert enthusiasts. Designed and implemented features including an interactive pastry catalog, custom cake builder, and secure user registration for personalized accounts. Enabled customers to leave reviews, track order history, and save favorite items for quick reordering. Integrated bakery information, location details, and contact forms for user convenience.  

06.2021  
Dim Kultury  
Created a promotional website to attract investments for renovating local monuments and establishing a cultural center. Focused on three key initiatives:  
- **ЖИВОТ**: Transformed the city’s oldest nightclub into a multifunctional youth center operating day and night.  
- **ДІМ КУЛЬТУРИ**: Developed a cultural hub to unite financially stable social business projects under one platform.  
- **ДВІР**: Designed a communal urban space featuring a green theater, summer stage, and food court."
98253,"06.2023 - Present  
Baza Trainee Ukraine – Creating real-life products for the social sector.  
- Team Lead of designers for the website project of the volunteer organization ""4.5.0.""  
- Team Lead of designers for the project “1000+1 song. Kolyskovi.”  
- Finalist of the Hackathon 4.0: Ukraine Heritage Edition project.  
Tools: Figma, Trello, Slack, Discord, Time Tracking.  

01.2023 - 06.2023  
CURSOR Education – E-commerce platform for a real craft business.  
- Conducted stakeholder interviews, competitor analysis, user research, SWOT analysis, CJM, and IA.  
- Developed wireframes and initiated the UI design and prototyping process.  
Tools: Figma, Miro, Notion, Google Workspace."
98254,"[Your Name]  
[Your Contact Information]  

---  

**UX/UI Designer**  

Completed a UX/UI design course with proficiency in design fundamentals and Figma.  

- Redesigned a website interface, optimizing usability and visual appeal.  
- Developed interactive designs to enhance user engagement and product interaction.  

---  

**Projects**  

1. **Social Media Banners for Charitable Organization**  
   - Designed visually compelling banners to promote the organization’s mission.  

2. **Fitness Coach Website Redesign**  
   - Simplified an overly complex layout for improved navigation.  
   - Strategically emphasized key elements to attract potential clients.  

3. **Landing Page for Handmade Artist (UX/UI Case Study, Real Client)**  
   - Crafted a page to showcase unique products for international audiences.  
   - Developed wireframes and selected a natural color palette to complement the artist’s style.  
   - Integrated subtle parallax animation for an engaging introduction.  

4. **Gift Delivery Mobile App (UX/UI Case Study)**  
   - Designed an intuitive app for selecting and scheduling gift deliveries (e.g., flowers).  
   - Implemented features for precise delivery timing and occasion-based recommendations.  

---  

**Experience**  
- Collaborated with agencies, startups, and product companies.  
- Designed landing pages, mobile applications, and web services."
98255,"**UI/UX Designer**  

**Professional Summary**  
Highly motivated UI/UX Designer with a passion for crafting user-centric digital experiences. Proficient in translating complex ideas into intuitive and visually appealing designs. Equipped with a solid foundation in design principles, user research, interactive prototyping, and adaptive design. Eager to contribute skills and enthusiasm to create impactful and user-friendly products that elevate the user's journey.  

**Projects**  

**DeliverEats Mobile Service**  
- Designed a mobile service enabling users to order food delivery quickly and efficiently.  
- Developed key pages including catalog, product page, and account.  
- Conducted UX research, analyzed market trends, and evaluated competitors to inform design decisions.  
- Implemented features such as:  
  - Search functionality on the home page  
  - Filters for quick sorting  
  - Ability to add products to favorites  
  - Emphasis on convenience and simplicity for user understanding  
- Created wireframes, UI designs, prototypes, and launched the project on Behance.  

**PetSearch Web Service**  
- Collaborated on a team project to design a web service for searching lost animals.  
- Addressed the needs of two user groups: those who lost pets and those who found them.  
- Conducted market analysis, competitor research, and defined the target audience.  
- Incorporated design elements such as:  
  - Warm color scheme  
  - Functionality to expedite user actions  
  - Adaptive design for mobile device users  
  - Focus on convenience and clarity  
- Executed full-cycle design, including UX research, personas, user flows, JTBD, CJM, wireframing, UI design, prototyping, and project launch on Behance.  

**Skills**  
- UX Research  
- Wireframing  
- UI Design  
- Prototyping  
- Adaptive Design  
- User-Centered Design  
- Market and Competitor Analysis  
- Team Collaboration  

**Tools**  
- Behance  
- Figma  

**Education**  
[Include relevant education or certifications, if applicable]."
98256,"**Professional Experience**  

**FlowerLower**  
Landing Page for Flower Delivery Company – Case Study  
- Conducted competitor analysis and research  
- Created high-fidelity wireframes  
- Developed UI style guides, including typography, responsive layouts, color palettes, and button designs  

**Mimino**  
Redesign of Georgian Cuisine Website – Case Study  
- Performed competitor analysis and research  
- Designed high-fidelity wireframes  
- Developed a comprehensive UI Kit, including typography, responsive layouts, color palettes, and components  
- Created prototypes  
- Ensured mobile and tablet adaptation  

**Wanderstay**  
Couchsurfing Web-Service – Team Project – Case Study  
- Conducted competitor analysis and research  
- Applied design thinking methodologies  
- Developed Jobs-to-be-Done (JTBD) frameworks and user personas  
- Designed information architecture and user flows  
- Created customer journey maps (CJM)  
- Produced wireframes and dashboards  
- Designed a 404 page and implemented parallax effects  
- Ensured mobile and tablet adaptation  
- Developed prototypes"
98257,"**Resume**  

**Experience**  

**Lead Designer – BARBER (Barbershop)**  
- Conducted competitor and target audience research to inform design strategy.  
- Developed user-centric lead generation solutions based on research insights.  
- Designed high-converting landing pages optimized for user engagement.  

**UX/UI Designer – India Cafe (Website Redesign)**  
- Researched target audience behavior to identify UX/UI improvement opportunities.  
- Redesigned the website for improved aesthetics, usability, and performance.  
- Ensured design alignment with user needs and business objectives.  

**Founder & UX/UI Designer – CLEAN (Web Service)**  
- Built a web platform connecting cleaners with clients, handling end-to-end design.  
- Executed full UX/UI process: user flows, sitemaps, wireframes, and prototypes.  
- Designed intuitive payment interfaces and streamlined service transactions.  

**Career Goals**  
Seeking a dynamic role in a collaborative environment to contribute both in-office and remotely. Committed to professional growth, skill development, and career advancement."
98258,"Here’s your improved resume while ensuring all facts remain accurate:  

---  

**Education**  
Master’s Degree in Law – 2018  

**Professional Experience**  
**Notary Assistant**  
- Reviewed and prepared legal documents, drafted contracts, and advised clients on notarial procedures.  
- Maintained electronic registers and managed business correspondence.  
- **Duration:** 3 years  

**Customer Support Manager**  
- Assisted users with website navigation and technical issues.  
- Escalated complex inquiries to appropriate departments for resolution.  
- **Industry:** Gambling  
- **Duration:** 1 year  

**Head of Quality Control, Customer Support**  
- Oversaw quality assurance for customer support operations, ensuring service standards.  
- **Employer:** Rocket Delivery  
- **Location:** Cyprus  
- **Duration:** 6 months  

**Skills & Certifications**  
- UI/UX Design Certification (DanIT Academy)  
- Attention to detail, analytical mindset, and strong organizational skills.  

**Interests**  
- IT and UI/UX design, with ongoing self-study in the field.  

---"
98259,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Detail-oriented designer specializing in competitor analysis, user experience design, and digital prototyping. Proficient in creating user flows, site maps, mood boards, and adaptive designs for landing pages, websites, and web services. Skilled in Figma, Adobe Illustrator, and Adobe Photoshop. Committed to collaboration, innovation, and ongoing skill development.  

**Key Skills**  
- Competitor & Market Analysis  
- User Flow & Site Mapping  
- Mood Board & Visual Design  
- Landing Page & Website Development  
- Prototyping & Adaptive Design  
- Figma | Adobe Illustrator | Adobe Photoshop  

**Professional Experience**  

**OURPAWS** – Search Service Redesign for Missing Animals  
- Collaborated on redesigning a platform to help locate lost pets.  
- Developed wireframes, prototypes, and visual assets using Figma, Adobe Illustrator, and Photoshop.  

**LA MESA** – Restaurant Table Booking Mobile App  
- Supported the design of a reservation app for restaurants.  
- Created UI elements and interactive prototypes with Figma, Illustrator, and Photoshop.  

**Career Goals**  
- Deepen proficiency in vector graphics and advanced Adobe Illustrator techniques.  
- Cultivate a teamwork-driven environment with transparent communication.  
- Pursue continuous learning to stay ahead of industry trends and tools."
98260,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced in designing user-friendly and visually appealing web interfaces with a focus on attracting and retaining customers. Skilled in analyzing target audiences, studying competitors, and creating modern designs that enhance user experience.  

**Projects**  

**Project: Landing Page for Flower Shop ""FlowerLover""**  
- Designed a user-friendly landing page tailored to the client’s requirements.  
- Conducted competitor analysis and target audience research to inform design decisions.  
- Developed a clear and intuitive interface, focusing on the User Interface (UI) to enhance customer engagement.  

**Project: Redesign Website for Alaska Pete's Restaurant**  
- Redesigned the restaurant’s outdated website to create a modern and visually appealing interface.  
- Added a table reservation form to improve functionality and customer convenience.  
- Focused on creating a user-friendly design to attract potential customers and enhance the overall user experience.  

**Skills**  
- Web Design  
- User Interface (UI) Design  
- Competitor Analysis  
- Target Audience Research  
- Customer Engagement Strategies  

**Education**  
[Your Education Details]  

**Certifications**  
[Your Certifications, if applicable]  

**Languages**  
[Your Languages, if applicable]"
98261,"**Professional Experience**  

**Project: ""See World""**  
- Spearheaded the development of a streamlined housing search platform interface, optimizing usability and accessibility.  
- Partnered with management to integrate an automated solution for identifying cost-effective living options.  
- Enhanced website functionality, enabling seamless navigation, application submissions, and listing publications.  

**Project: ""GenieTable""**  
- Conceptualized and designed a mobile app featuring an interactive lamp-touch mechanic for restaurant table reservations.  
- Crafted a visually cohesive theme and color scheme inspired by the character’s magical essence to improve engagement.  
- Delivered an intuitive booking system requiring minimal user input for a frictionless experience.  

**Project: ""Nice View"" (Team Project)**  
- Collaborated on a landing page for a residential complex, targeting prospective residents with compelling visuals.  
- Curated a serene color palette to evoke the property’s family-oriented and professional atmosphere.  
- Executed a minimalist design approach to reinforce the development’s sophistication and trustworthiness.  

**Skills**  
- User Interface Design  
- Team Leadership  
- Cross-Functional Collaboration  
- Minimalist Design Principles  
- Strategic Color Application"
98262,"**Resume**  

**Projects**  

**Tattoo Salon Website Redesign** (Individual Project, GoIT Course)  
- Analyzed target audience and selected design references.  
- Redesigned website UI with a cohesive UI-kit.  
- Ensured responsive design for tablet and mobile compatibility.  
- Integrated functional navigation links.  

**Landing Page Design** (Individual Project)  
- Researched references and curated a moodboard.  
- Developed UI-kit and designed the main landing page.  
- Independently conceptualized and executed project theme.  

**Budget Travel Web Service** (Team Project, GoIT Course)  
- Performed audience research and reference analysis.  
- Created USER FLOW and Customer Journey Map (CJM).  
- Established design system and implemented responsive layouts.  
- Optimized for tablet and mobile with interactive elements.  

**Skills & Expertise**  
- Competitor and market analysis.  
- Task prioritization and conceptual planning.  
- Moodboard and visual reference curation.  
- Minimalist web and landing page design.  
- CRM and mobile application interface development.  
- Wireframing, prototyping, and adaptive design.  

**Work Values**  
- Results-oriented with a collaborative approach.  
- Emphasis on respect and positive team dynamics.  
- Adaptable to hybrid or remote work structures.  
- Dedicated to continuous learning and skill enhancement."
98263,"[Your Name]  
[Your Contact Information]  

### PROJECT EXPERIENCE  

**1. Redesign Tattoo Company**  
_Full-Cycle Design_  
- Redesigned the company’s website to align with target audience needs and modern trends.  
- Improved usability and clarity, enhancing conversion rates and customer acquisition.  

**2. Easy Yoga Web Service**  
_Desktop & Mobile Adaptation Design_  
- Designed the service from scratch to streamline communication between yoga teachers and students.  
- Ensured an intuitive interface for users to find compatible instructors.  

**3. Productivity Mobile Application**  
_UI/UX Design_  
- Developed a mobile app to boost productivity through day planning and health tracking.  
- Incorporated features to monitor physical and mental well-being.  

### SKILLS  
- UI/UX Design  
- Responsive Design (Desktop & Mobile)  
- User-Centered Design  
- Collaboration & Communication"
98264,"**Professional Experience**  
**Team Leader & UX/UI Designer** – *Travelhaven*  
- Directed design initiatives and facilitated team collaboration for project success.  
- Executed competitor research and analysis to identify effective solutions.  

**Pet Projects**  

1. **Website Redesign – Alaska Pete's Roadhouse Grille** (*alaskapetes.com*)  
- Conducted competitor analysis and research to inform redesign strategy.  
- Created modern UX/UI solutions for the restaurant’s website.  

2. **Web Service for Affordable Travel & Work Exchange**  
- Designed a user-friendly web interface for a budget-conscious travel/work exchange platform.  
- Focused on students and young travelers seeking affordable lodging in exchange for work.  

**Volunteer Work**  
- Developed a website for a social project aimed at supporting volunteers."
98265,"**Professional Experience**  

**TimeWell Daily Planner Mobile App**  
Designed and developed a mobile application for time management, task planning, and goal tracking. Conducted competitor analysis, defined User Personas and User flows, and created high-fidelity prototypes with UI design. Implemented animations using Protopie.  
*Instruments:* Figma, Photoshop, Illustrator, Protopie  

**SweepUp Cleaning Web-service**  
Led a team in designing a web-service for booking cleaning specialists. Performed market and competitor research, defined User Personas, JTBD, and CJM, and developed User flows. Created prototypes, UI design, and adapted layouts within an existing design system.  
*Instruments:* Figma, Photoshop, Illustrator  

**Bravo Furniture Site Redesign**  
Redesigned a luxury furniture store’s website, including market and competitor analysis, prototyping, UI design, and responsive layouts for mobile and tablet. Developed a UI-kit as a personal project.  
*Instruments:* Figma, Photoshop, Illustrator  

**Citroen C4 Landing Page**  
Designed a landing page for Citroen C4 test drive bookings as coursework. Conducted market research, created moodboards, wireframes, and an animated interface in Figma.  
*Instruments:* Figma  

**Skills**  
UI/UX Design, Prototyping, User Research, Wireframing, Animation, Responsive Design  
*Tools:* Figma, Photoshop, Illustrator, Protopie"
98266,"**Professional Experience**  

**Team Leader – Travel Joy**  
*Web-Service, Full Cycle Team Design*  
- Led the development of a web service designed to facilitate work and rest in new environments.  
- Conducted competitor analysis, created user flows, and developed wireframes and prototypes using Figma.  
- Managed the team to deliver a well-designed web service with convenient functionality and an intuitive user interface.  
- Addressed challenges such as working within a predefined design system to ensure project success.  

**Designer – Nice View**  
*Landing Page, Full Cycle Design*  
- Designed a landing page for selling apartments in a new residential complex based on client requirements.  
- Conducted competitor analysis and studied the target audience to create low-detailed and high-detailed prototypes.  
- Selected fonts and a color palette to maximize buyer appeal.  
- Delivered a visually appealing landing page design that met client needs and included functionality for home inspection applications and client feedback.  

**Personal Project**  
- Developed a project concept for a new residential complex, focusing on innovative design and functionality.  

**Skills**  
- Full cycle design (research, prototyping, wireframing)  
- Competitor and target audience analysis  
- Figma proficiency  
- Team leadership and project management  
- User interface and user experience design"
98267,"Volunteering Projects Aggregator for Ukraine  
Developed a user-friendly platform to showcase volunteering initiatives in Ukraine. Enabled users to explore projects, donate, and connect with volunteer organizations, fostering engagement and support for meaningful causes nationwide.  

Landing Page for Kickstarter Project  
Designed a landing page for a multifunctional nightstand product, utilizing the AIDA marketing model to drive Kickstarter engagement. Conducted competitor analysis, selected references, created high-fidelity wireframes, and developed an adaptive website.  

Landing Page About Rihanna  
Created a landing page to introduce users to Rihanna and generate interest in her career. Applied skills in mood boards, reference selection, wireframing, complex composition, typography, and prototyping."
