,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
3147,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in IT project management, team building, and business development. Proven track record in leading diverse teams and delivering innovative solutions in the iGaming and casino industry. Fluent in English, with strong communication skills in German, Polish, Ukrainian, and Russian.

---

**Professional Experience**  

**Team Leader & Project Manager**  
[Company Name]  
[Location]  
[Month, Year] - Present  

- Built and managed IT engineering and operational teams in Ukraine, focusing on software development and game/platform operations.
- Implemented Agile/Scrum frameworks to enhance development processes, improving efficiency and project delivery.
- Mentored and coached team members, fostering a collaborative and high-performance work environment.
- Delivered a Fantasy Sport startup, managing it as a standalone business.
- Developed and launched several casino games using Flash and HTML technologies.
- Managed four mobile projects (iOS and Android), overseeing business documentation, development specifications, and project execution.

---

**Core Competencies**  

- Agile Project Management  
- Business Analysis  
- PMBOK & BABOK  
- SCRUM & Kanban  
- Waterfall Methodology  
- Mobile & Web Software Development  
- iGaming & Casino Industry  

**Business Skills**  

- Startup and Business Development  
- Marketing and Sales  
- Public Speaking  
- Brand and Product Management  
- Customer Service  
- Company and People Management  
- Team Building  
- Coaching and Motivation  

---

**Languages**  

- English: Fluent  
- German: Upper-Intermediate  
- Polish: Low-Intermediate  
- Ukrainian: Native  
- Russian: Native  

---

**Additional Experience**  

- Collaborated with companies from the UK, Germany, and Switzerland.
- Led teams of 20+ members, driving successful project outcomes.

---

**Career Objectives**  

- Engage in enterprise-level projects with a focus on innovation and excellence.
- Join a friendly and respectful team that values creativity and open-mindedness.
- Seek new experiences and challenges to foster professional growth."
3148,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

**Professional Summary**  
Dynamic and results-driven Agile Project Manager and Scrum Master with over 12 years of experience in software development. Proven track record in enhancing project processes, implementing best Agile practices, and leading project teams to achieve successful business outcomes. Extensive background as a Software Developer and Architect, specializing in C/C++ for US and European clients. Adept at communication, consensus building, and conflict management, with strong leadership skills and a passion for problem-solving and decision-making.

**Professional Experience**  

**Agile Project Manager and Scrum Master**  
[Current Company Name], [Location]  
[Month, Year] – Present  
- Enhanced project processes and implemented best Agile practices across project teams.
- Led and coached project teams to deliver results and drive successful business outcomes.
- Facilitated communication and collaboration between top management, clients, and personnel.

**Software Developer and Architect**  
[Previous Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Developed high-quality software for US and European customers.
- Specialized in C/C++ across numerous exciting projects.
- Excelled at learning new tools, techniques, practices, and methodologies.

**Skills**  
- Strong leadership and networking abilities
- Excellent communication and conflict management skills
- Proficient in conveying complex information concisely
- Competent liaison between management, clients, and personnel

**Languages**  
- English (Fluent)  
- Russian (Native)  
- Ukrainian (Native)  

**Contact**  
If you have a project I can help with, please get in touch."
3149,"Implemented the Kanban approach across all company levels, utilizing the Kanban Maturity Model and Evolutionary Change Model to drive safe, culturally compatible changes. This optimization process resulted in doubling the count of deliverables and reducing the Time to Market metric by one-third.

With 8 years in IT and over 4 years as an Agile Project Manager and Delivery Manager, I have successfully managed IT projects across various formats and methodologies. My expertise in Scrum, Kanban, Lean, and other Agile techniques has consistently optimized product development to achieve the highest quality.

Experienced in working with atomic Scrum teams and leading cross-functional units with 40+ FTEs, I am also adept at managing organizations with 100+ FTEs and am well-versed in related processes.

I am seeking new opportunities. If your organization aims to become ""harder, better, faster, stronger,"" let's collaborate to achieve these goals."
3150,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic Delivery Manager and Scrum Master with extensive experience in managing and coaching multiple Scrum Teams. Expert in establishing processes from the ground up, including release management, requirements gathering, and performance metrics. Proficient in leading cross-functional teams and managing high-budget projects in diverse domains such as FinTech and Healthcare.

---

**Professional Experience**  

**Delivery Manager & Scrum Master**  
[Company Name]  
[Location]  
[Month, Year] – [Month, Year]  

- Successfully managed and coached three Scrum Teams on a large-scale project involving 40+ personnel.
- Spearheaded the establishment of a Release Management process across various teams and domains.
- Developed and implemented a robust requirements gathering and implementation process.
- Conducted strategic quarterly planning sessions.
- Designed and implemented team performance metrics from inception.
- Achieved a team feedback satisfaction score of 4.9 out of 5.
- Led and managed over 25 team members in diverse environments.
- Directed projects in FinTech and Healthcare domains with monthly budgets of $100K to $150K.

**Scrum Master Responsibilities**  

- Led cross-functional teams, including developers, QA, BA, and stakeholders.
- Established effective peopleware practices such as 1-to-1 meetings and check-ins.
- Facilitated Agile ceremonies, including planning, daily stand-ups, and retrospectives.
- Set up delivery processes and organized iteration demos.
- Enhanced communication between development teams and product owners.
- Conducted comprehensive Scrum workshops.

**Project Manager Responsibilities**  

- Developed and executed detailed development plans.
- Managed change requests and mitigated risks associated with requirements changes.
- Maintained the Risk Register and developed Risk Mitigation plans.
- Reported progress and communicated changes to stakeholders.
- Analyzed and documented requirements through stakeholder interviews and user story mapping.

---

**Preferences**  

- Prefer to avoid managing numerous small/support projects.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University/College Name]  
[Location]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**Skills**  

- Agile Methodologies  
- Scrum Framework  
- Release Management  
- Risk Management  
- Cross-Functional Team Leadership  
- Requirements Gathering and Analysis  
- Performance Metrics Implementation  

---

**References**  
Available upon request."
3153,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**

With over 11 years in the IT industry and more than 7 years in Agile project management, I have effectively led teams using Scrum and Kanban methodologies. I am dedicated to continuous improvement, enhancing both soft and hard skills through training sessions as an attendee or host. Passionate about fostering growth, I seek a dynamic work environment that offers challenges and a friendly atmosphere.

---

**Core Competencies**

- Agile Project Management
- Scrum & Kanban Methodologies
- JIRA
- Risk Management
- Conflict Management
- Change Management
- Team Building & Motivation
- Applications Deployment

---

**Professional Experience**

**[Your Most Recent Job Title]**  
[Company Name], [Location]  
[Month, Year] – Present

- Lead Agile project management initiatives using Scrum and Kanban to enhance team efficiency and project success.
- Promote continuous improvement through regular training sessions, boosting team capabilities and performance.
- Manage risk, conflict, and change to meet project objectives and ensure stakeholder satisfaction.
- Build and motivate high-performing teams, fostering a collaborative and supportive work environment.

**[Previous Job Title]**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]

- [Responsibility/achievement]
- [Responsibility/achievement]
- [Responsibility/achievement]

---

**Education**

[Your Degree] in [Your Major]  
[University/College Name], [Location]  
[Year of Graduation]

---

**Certifications**

- [Certification Name], [Issuing Organization]
- [Certification Name], [Issuing Organization]

---

**Professional Development**

- Regularly participate in training sessions as both attendee and host to continuously improve skills and knowledge.

---

**References**

Available upon request."
3155,"Agile Transformation Leader

- Spearheaded Agile transformation initiatives for teams exceeding 50 members, significantly boosting collaboration and productivity.
- Acted as Scrum Master for five teams concurrently, driving the adoption of effective Scrum practices and fostering team development.
- Directed projects in accordance with PMBOK standards, guaranteeing successful project delivery and high stakeholder satisfaction."
3156,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dedicated and results-driven professional with extensive experience in enhancing team efficiency, fostering self-management, and optimizing agile processes. Proven track record in collaborating with cross-functional teams to achieve strategic goals and improve productivity. Skilled in facilitating communication, removing obstacles, and implementing best practices to support organizational success.

---

**Professional Experience**

**Agile Team Collaboration**  
- Collaborated with three teams to enhance efficiency and self-management, reduce dependencies, and focus on releasing increments at the end of each sprint.  
- Improved readiness criteria and removed obstacles to achieve team goals.  
- Ensured Scrum events were positive, productive, and adhered to time constraints.  

**Product Management Support**  
- Worked with three Product Owners to define product and sprint goals, manage the Product Backlog, and prepare and implement planning.  
- Facilitated interaction and communication with stakeholders to align on objectives and deliverables.  

**Organizational Support and Process Optimization**  
- Supported the organization in understanding agile software development approaches and implementing best practices.  
- Optimized, created, implemented, and maintained processes to enhance operational efficiency.  
- Fostered productive relationships, assisted in staff hiring, and facilitated inter-departmental cooperation by removing obstacles.  

---

**Skills**  
- Agile Methodologies  
- Scrum Facilitation  
- Process Optimization  
- Stakeholder Communication  
- Team Collaboration  
- Problem Solving  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**Certifications**  
[Relevant Certification], [Year]  

---

**References**  
Available upon request."
3157,"Gulnar Abasova

---

**Objective**  
Aspiring to expand my skills in agile management and discover new opportunities, particularly in start-up environments, while pursuing a Master's in International Project Management at Vilnius University.

---

**Education**  
**Master's in International Project Management**  
Vilnius University  
- Awarded the Lithuanian State Scholarship

---

**Professional Experience**  

**Scrum Master / Agile Facilitator**  
- Facilitated Scrum events, including sprint planning and retrospectives, ensuring adherence to Agile/Scrum principles.
- Managed project schedules and coordinated grooming sessions with Product Owners.
- Oversaw communication between Product Owners and development team members, including testers.
- Contributed to doubling project deadline efficiency through effective team management.
- Worked on Fintech projects, including internal systems for sales teams and online banking applications.

---

**Skills**  
- Agile/Scrum Methodologies  
- Project Management Tools: Notion, Jira Atlassian, MS Project  
- Product Development Lifecycle: Idea Generation, UX Research, Wireframing, QA, Debugging  

---

**Personal Statement**  
I am passionate about working with development teams, especially in dynamic start-up environments, and am eager to leverage my skills and experience to drive project success.

---

**Contact**  
Email: [Your Email]  
Phone: [Your Phone Number]"
3158,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with over 5 years of experience managing distributed teams of up to 40 FTEs and 3 years in a Scrum Master role. Expert in implementing project management best practices and facilitating Scrum ceremonies to foster a collaborative team environment. Skilled in coaching agile teams towards self-organization and cross-functionality, while promoting a high-performance team culture. Proven ability to build and maintain trustful relationships with clients and streamline organizational communication processes.

---

**Core Competencies**  
- Project Management  
- Scrum Facilitation  
- Agile Coaching  
- Team Collaboration  
- Client Relationship Management  
- Communication Processes  
- Risk Management  
- Problem Solving  
- Analytical Skills  
- People Management  
- Resourcing and Recruitment  

---

**Certifications**  
- Certified SAFe® 5 Scrum Master  
- Certified SAFe® 5 Advanced Scrum Master  
- Certified AgilityHealth® Facilitator for SAFe®  

---

**Professional Experience**  

**Scrum Master**  
[Company Name], [Location]  
[Month, Year] – Present  

- Manage distributed teams of up to 40 FTEs, ensuring effective collaboration and communication.  
- Facilitate Scrum ceremonies, remove impediments, and establish a collaborative team environment.  
- Coach agile teams in self-organization and cross-functionality development, promoting a high-performance culture.  
- Build and maintain trustful relationships with clients, driving effective communication and meeting facilitation.  
- Provide regular reporting, track project statuses, manage risks, and collect metrics to ensure project success.  
- Demonstrate strong problem-solving, analytical, and research skills in various project scenarios.  
- Oversee people management, resourcing, and recruitment for projects, ensuring optimal team composition.  

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]  

---

**Professional Affiliations**  
- [Any relevant professional organizations or groups]  

---

**References**  
Available upon request."
3159,"Agile Project Manager and Scrum Master

Profile:
Dynamic and results-oriented Agile Project Manager and Scrum Master with a proven track record of leading diverse teams across various projects. Skilled in aligning teams with business objectives and tracking progress to ensure timely completion of project milestones with desired outcomes. Adept at defining and implementing processes and tools tailored to each project's needs, while adapting to different methodologies based on project specifics and client goals. Strong team-building capabilities, excellent communication skills, and adaptability to frequently changing requirements.

Key Skills:
- Agile Project Management
- Scrum Mastery
- Team Leadership and Development
- Process and Tool Optimization
- Business Objective Alignment
- Milestone Tracking and Achievement
- Effective Communication
- Adaptability to Change

Experience:
- Led teams of varying sizes across multiple projects, ensuring alignment with business objectives and timely completion of milestones.
- Defined and implemented processes and tools best suited for each project, adapting methodologies as needed to meet client goals.
- Fostered strong team dynamics and communication, enhancing collaboration and productivity in frequently changing environments.

Education:
[Your Education Details Here]

Certifications:
[Your Certifications Here]

Contact Information:
[Your Contact Information Here]"
3160,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven IT professional with over 12 years of experience in the Information Technology industry. Proven expertise in all stages of project management, including initiation, planning, implementation, monitoring, control, maintenance, and closure. Adept at managing teams of up to 30 members and delivering successful projects. Proficient in both Agile and Waterfall SDLC models.

**Core Competencies**  
- IT Management  
- Agile Methodologies (Scrum, XP, Kanban)  
- Waterfall Methodologies  
- Team Leadership and Development  
- Project Management  
- Agile Community Building  
- Scrum Master and Product Owner Roles  
- Soft Skills, Leadership, and Mentorship  
- Project Management Tools  

**Professional Experience**  

**IT Manager**  
[Company Name], [Location]  
[Month, Year] – Present  
- Lead and manage multiple engineering teams, each with over 30 engineers.  
- Successfully deliver projects by overseeing all project stages from initiation to closure.  
- Build and develop engineering teams from the ground up.  
- Evangelize Agile values and maintain an active Agile community within the organization.  
- Fulfill roles of Scrum Master and Product Owner, ensuring alignment with Agile practices.  

**Previous Position**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- [Responsibility/Task]  
- [Responsibility/Task]  
- [Responsibility/Task]  

**Certifications**  
- Certified ScrumMaster (CSM)  
- Certified Scrum Product Owner (CSPO)  
- ICAgile Certified Professional in Agile Project Management (ICP-APM)  

**Education**  
[Degree] in [Field of Study]  
[University Name], [Location]  
[Year of Graduation]  

**Additional Information**  
- Extensive experience in both outsource and product development environments.  
- Strong track record of professional management and successful project delivery.  

---  

**References**  
Available upon request."
3161,"Full-Scale Project Manager

Profile:
Dynamic and proactive project manager with over 10 years of experience in IT companies, specializing in guiding projects from initial concept to successful launch. Proven track record in managing distributed teams of up to 50 members and overseeing more than 5 projects simultaneously. Delivered over 20 projects of varying sizes and complexities, consistently focusing on client needs and team well-being.

Experience:
- Over 10 years of experience in project management within international product and IT outsourcing companies.
- Successfully released more than 5 products in the past year, including platforms, marketplaces, mobile apps, and websites.
- Demonstrated ability to establish effective communication with diverse stakeholders and quickly adapt to new subjects and challenges.

Skills:
- Strong personal initiative and proactive approach to project management.
- Expertise in managing distributed teams and coordinating multiple projects concurrently.
- Focused on client satisfaction and fostering a supportive team environment.

Achievements:
- Delivered over 20 projects, ensuring high-quality outcomes and client satisfaction.
- Managed teams of up to 50 people, maintaining effective collaboration and communication across distributed locations."
3162,"Senior Scrum Master & Agile Coach

Summary:
Accomplished Senior Scrum Master and Agile Coach with extensive experience in managing and delivering complex projects across diverse domains such as CRM, logistics, sales, finance, and marketing. Proficient in portfolio management, risk management, and release planning. Expert in coaching teams, facilitating multi-team events, and collaborating with Product Owners and stakeholders. Strong technical skills in SQL, HTML, CSS, JS, React, .Net, and Core. Experienced in using GitHub, Jira tools, and TFS. Fluent in English.

Experience:

Senior Scrum Master & Agile Coach
- Led up to 5 teams (35 FTE) as a Senior Scrum Master, overseeing portfolio-level activities, risk management, and release and delivery planning.
- Acted as an Agile Coach in a LessHuge setup for 1 product area (6 teams), organizing workflows, coaching Product Owners, and facilitating multi-team events.
- Managed full-cycle ERP projects (CRM, sales, logistics, finance) at Carlsberg Ukraine, including implementing UPS logistics for 60 distributors.
- Supported and consulted over 3000 users and participated in the automation project for «Ukrtelekom» («Record-keeping», «Finances», «Management»).
- Developed and tested websites, wrote technical specifications, and maintained software documentation.
- Conducted training sessions for users and delivered presentations to stakeholders.

Project/Delivery Manager
- Managed projects using both time and material and fixed-price approaches.
- Provided administrative and technical support for projects, including process management and team coaching.
- Engaged in tendering, negotiations, and business process discussions with customers and developers.
- Participated in large-scale projects, system configuration, and alpha-testing.
- Developed output forms, additional components, and accounting solutions.

Technical Skills:
- SQL, HTML, CSS, JS, React, .Net, Core
- GitHub, Jira tools, TFS

Motivation:
Motivated by a creative and collaborative environment, I am eager to contribute to product development alongside high-caliber professionals. Committed to sharing my experience, learning from others, and growing professionally. Interested in working with diverse teams across different countries and industries, with a strong desire to improve processes for effective and impactful results."
3186,"Managed and coordinated up to 30 projects, showcasing exceptional multitasking skills while maintaining high standards of quality and efficiency.

Led large-scale data operations projects, ensuring seamless collaboration between customers and data labeling teams.

Assisted customers in developing and implementing production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy.

Maintained a strong customer service orientation by tracking key metrics, addressing customer concerns promptly, and delivering superior results.

Evaluated and optimized the performance of the data labeling workforce, providing guidance and support to maximize productivity and achieve outstanding outcomes.

Conducted regular calls with customers and service providers, building and nurturing strong relationships to facilitate effective communication.

Calculated customer budgets and estimated costs for service providers, promoting financial transparency and cost-efficiency.

Created comprehensive statements of work (SOW) and ensured ongoing alignment with stakeholders, establishing clear expectations for project deliverables.

Monitored industry trends and emerging technologies, leveraging insights to provide valuable recommendations for product enhancements and process optimizations.

Supervised and guided the Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement.

Collaborated closely with service providers, cultivating strong partnerships and driving successful project delivery.

Demonstrated leadership skills, fostering a collaborative and inclusive work environment, and encouraging cross-functional cooperation.

Utilized organizational and multitasking abilities to manage a substantial workload, meet deadlines, and achieve project milestones."
3225,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic marketing professional with extensive experience in managing and executing successful projects across diverse industries. Expertise in crafting and implementing strategic marketing plans, with a strong emphasis on reputation management and marketplace optimization.

---

**Professional Experience**

**Amazon Marketing Manager**  
*Digiorange, Brooklyn, NY, USA*  
*January 2022 - Present*  
- Managed and executed over 10 marketing initiatives across various sectors.
- Developed and implemented innovative processes for reputation management.

**Marketing Project Manager**  
*TBI-PRO, Chicago, IL, USA*  
*September 2021 - January 2022*  
- Directed marketing projects from start to finish, ensuring alignment with organizational objectives.

**Marketplaces Project Manager**  
*FDS-IT, Staten Island, NY, USA*  
*December 2018 - September 2021*  
- Led marketplace projects, optimizing strategies to boost brand presence and sales performance.

**Amazon Manager**  
*Shopping Cart Elite, Brooklyn, NY, USA*  
*2015 - 2018*  
- Managed Amazon operations, driving growth and enhancing product visibility.

---

**Skills**  
- Project Management  
- Marketing Strategy Development  
- Reputation Management  
- Marketplace Optimization  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
3315,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Accomplished Business Analyst with a strong focus on writing use cases and user stories, and extensive experience in BPMN, Agile, and Scrum methodologies. Adept at planning and executing business analysis activities, defining business needs and solution scope, and performing stakeholder analysis. Proficient in eliciting, collecting, analyzing, and documenting business, functional, and non-functional requirements. Skilled in managing solution scope, communicating requirements, and conducting solution assessment and validation. Dedicated to knowledge transfer and effective project management.

**Skills**  
- Use Cases and User Stories Writing  
- BPMN  
- Agile, Scrum  
- Planning and Executing Business Analysis Activities  
- Defining Business Needs and Solution Scope  
- Conducting Stakeholder Analysis  
- Elicitation, Collection, Analysis, and Documentation of Requirements  
- Managing Solution Scope and Communicating Requirements  
- Solution Assessment and Validation  
- Knowledge Transfer to Stakeholders  
- Project Management  
- Excel, Visual Basic (VB)  

**Professional Goals**  
- Achieving Professional Growth  
- Tackling Complex Challenges  
- Collaborating in a Supportive Team Environment  "
3321,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Motivated and detail-oriented Commodity Market Research Analyst with extensive experience in managing both qualitative and quantitative marketing research projects. Skilled in data processing, analysis, and presentation of research results. Seeking to further develop analytical skills and gain expertise in data processing tools such as SQL and Tableau. Interested in leveraging research skills to support business needs and test working hypotheses.

---

**Professional Experience**

**Kyivstar Private Joint Stock Company**  
*Commodity Market Research Analyst-Specialist*  
- Managed marketing research projects, ensuring timely and accurate delivery of insights.
- Conducted negotiations and consultations with customers to tailor research to their needs.
- Facilitated communication with contractors to ensure project alignment and success.
- Oversaw document management to maintain organized and accessible records.
- Conducted research and budget planning to optimize resource allocation.
- Managed databases, forming queries based on specific parameters to extract relevant data.
- Studied the telecom market, providing both primary and secondary marketing information.

**Silpo-Food LLC (Fozzy Group)**  
*Research Manager*  
- Led marketing research projects, specializing in both qualitative and quantitative studies.
- Engaged in negotiations and consultations with customers to design effective research strategies.
- Conducted ad-hoc and longitudinal studies to gather comprehensive data.
- Programmed questionnaires and processed data for in-depth analysis.
- Prepared detailed reporting materials and presented research findings to stakeholders.
- Supervised field supervisors and operators to ensure quality data collection.
- Acquired relevant primary and secondary marketing information to support business objectives.

---

**Skills**  
- Marketing Research Project Management  
- Customer Consultation and Negotiation  
- Data Processing and Analysis  
- Questionnaire Programming  
- Report Preparation and Presentation  
- Database Management  
- Telecom Market Analysis  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Professional Development**  
- Developing skills in data processing tools such as SQL and Tableau.  
- Aspiring to work as an analyst to support business needs through survey-based hypothesis testing.  

---

**References**  
Available upon request."
3332,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dedicated software developer with extensive experience in implementing customer relationship management systems and desktop applications. Proficient in market analysis, stakeholder communication, and project management, with a history of delivering successful software solutions.

---

**Professional Experience**  

**Software Developer**  
- Developed and implemented software solutions, including customer relationship management systems and desktop applications.
- Performed comprehensive market analysis to guide development strategies.
- Maintained effective communication with stakeholders to ensure alignment of project goals and expectations.
- Directed development efforts by setting clear goals and deadlines.
- Created prototypes to demonstrate system functionality and design.
- Conducted User Acceptance Testing to verify system compliance with user requirements.
- Ensured successful system implementation with seamless integration and functionality.

**Tools Used:**  
- MS Project  
- Trello  
- Atlassian  
- Office 365  
- Pencil and Paper  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Skills**  
- Market Analysis  
- Stakeholder Communication  
- Project Management  
- Prototyping  
- User Acceptance Testing  
- System Implementation  

---

**References**  
Available upon request."
5877,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Accomplished architect and project manager with expertise in designing and implementing large-scale data storage solutions, serverless architectures, and infrastructure automation. Demonstrated success in product management, human resources, and leading projects across diverse industries.

---

**Professional Experience**  

**Architecture / Databases**  
- Engineered data storage solutions up to 50 Terabytes using Hadoop.  
- Developed cost-efficient serverless architecture.  
- Streamlined delivery processes by implementing infrastructure as code on Kubernetes with minimal DevOps involvement.

**Product/Project Management**  
- Spearheaded the Messenger project across major mobile platforms, achieving a full-feature product launch on Apple Store and Google Play within six months.  
- Contributed significantly to cost-saving measures in the software development lifecycle.

**Human Resources**  
- Recruited over 50 developers in four months, maintaining a turnover rate of less than 5%.

---

**Latest Projects**  

**NDA, 2019**  
- Role: Architect/DevOps  
- Developed infrastructure as code on AWS using Terraform, Kubernetes, Helm, and CI/CD.

**Ternary Intelligence, 2018**  
- Role: Architect/Project Manager  
- Designed serverless AWS cloud architecture within the fintech domain.  
- Website: [ternaryintelligence.com](http://ternaryintelligence.com)

**One Space, 2018**  
- Role: Architect/Data Scientist  
- Built Hadoop infrastructure for web scraping and data engineering.  
- Website: [spywords.ru](https://spywords.ru)

**Defcom, 2016**  
- Role: Project Manager/Architect  
- Managed mobile development for secure messaging applications.  
- Website: [defcom.com](https://defcom.com)

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]

---

**Skills**  
- Hadoop, AWS, Terraform, Kubernetes, Helm, CI/CD  
- Serverless Architecture, Infrastructure as Code  
- Project Management, Product Development  
- Human Resources, Talent Acquisition  

---

**Interests**  
- Enthusiastic about working on live projects and exploring innovative solutions in technology."
5981,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven Product Manager with extensive experience in developing innovative applications and managing complex augmented reality (AR) projects. Proven track record in delivering MVPs and validating value hypotheses. Skilled in balancing client expectations with team capabilities and enhancing cross-functional team processes.

---

**Professional Experience**  

**Product Manager**  
HeyJoy Toy Store, US-based Retail-Tech Startup  
- Spearheaded the creation of an app, delivering the first MVP and validating the value hypothesis.

**Project Manager**  
Snap  
- Led major AR projects for high-profile clients including Disney, Nike, Microsoft, Universal, and Verizon.
- Managed complex AR project development within the Sponsored Lenses department.
- Balanced client expectations with team capabilities, evaluated risks, and adapted development strategies.
- Enhanced processes between cross-functional teams to improve project outcomes.

**Lead of Internal AR Innovations**  
Sponsored AR Department, Snap  
- Directed internal AR innovation initiatives, driving advancements in AR technology and applications.

---

**Skills**  
- Product Development: From concept to MVP and launch
- AR Project Management
- Client and Production Team Negotiations
- Cross-Functional Team Collaboration
- Risk Evaluation and Strategy Adaptation

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
6043,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic project manager with over five years of experience in team management and project documentation. Demonstrated success in defining team values, resolving conflicts, and managing diverse teams. Adept at balancing stakeholder interests and proficient in project management processes, including risk, scope, schedule, and quality management. Experienced in Agile methodologies such as Scrum and Kanban.

---

**Professional Experience**

**Project Manager**  
SoftServe  
October 2021 - Present  

**Service Manager**  
Veteran Hub Dnipro  
September 2020 - October 2020  
- Led a team of six, managing personnel hiring and onboarding.  
- Developed work and reporting processes for a multidisciplinary team.  
- Ensured adherence to organizational standards and facilitated conflict resolution.  

**Junior 3D Artist (Freelance, Remote)**  
December 2019 - September 2020  
- Focused on low and high-poly modeling, UV unwrapping, texturing, baking, and level design.  

**Hotel Manager**  
Mykulychyn  
November 2018 - November 2019  
- Managed hotel operations, reservations, and online presence, boosting client satisfaction.  
- Enhanced Booking.com rating from 8.7 to 9.0 through effective management and guest communication.  

**Artillery Battery Control Platoon Commander**  
4th Rapid Reaction Brigade of the National Guard of Ukraine, Gostomel  
November 2016 - November 2018  
- Led a team of 10, fostering team spirit and managing diverse personnel.  
- Conducted precise mathematical calculations and managed high-value equipment.  
- Analyzed logistics routes and observation data for strategic decision-making.  

**Hotel Manager (Remote)**  
April 2015 - November 2016  

---

**Education and Certifications**  
- IT Project Manager Courses, Beetroot and SoftServe Academies  

---

**Skills**  
- Team Management  
- Project Documentation  
- Conflict Resolution  
- Stakeholder Management  
- Agile Methodologies (Scrum, Kanban)  
- Risk, Scope, Schedule, and Quality Management  

---

**Languages**  
[Language(s) Spoken]  

---

**References**  
Available upon request."
