,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
2741,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Phone Number]  
[Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in operations management, project leadership, and facilities management. Proven track record in optimizing processes, leading cross-functional teams, and driving business continuity across multiple locations. Recognized for exceptional negotiation skills and strategic planning abilities.

---

**Professional Experience**

**Head of Facilities, Ukraine Operations**  
Dev-Pro.net, [Location]  
[Month, Year] - Present  
- Lead administrative functions across five development centers in Ukraine (Kyiv, Lviv, Dnipro, Kharkiv), overseeing 5,000+ sq.m. of facility space.
- Ensure business continuity and manage all aspects of services and operations.
- Supervise a team of 15+ professionals, driving efficiency and operational excellence.

**Site TS Program Manager, HS&E Department Leader**  
Procter & Gamble LCC, [Location]  
[Year] - [Year]  
- Managed a team of 43 employees, focusing on site technology and health, safety, and environmental standards.
- Led international projects for the startup of new production lines for brands such as Tide, Ariel, and Gala.
- Spearheaded the discontinuation of brands DAX and BONUX, optimizing manufacturing capacities and support departments.

**Operations Technology Project Leader**  
Procter & Gamble LCC, [Location]  
2015 - 2017  
- Directed the startup of new production lines and the discontinuation of select brands.
- Achieved process reliability of 84%, reduced unplanned downtime to less than 2%, and minimized scrap to less than 1%.

**Facilities and Operations Manager**  
[Company Name], [Location]  
2013 - 2015  
- Led the restructuring and merging of multiple units into a single department.
- Negotiated with authorities to reduce rental rates, saving 37% of general plant costs.
- Optimized operating expenses and utilities, achieving a 23% reduction.

---

**Achievements**  
- CEO Award, 2014  
- CBN Award, 2013  

---

**Skills**  
- Operations Management  
- Administrative Facilities Management  
- Managed Services  
- Customer Service Leadership  
- Project Management  
- Startup Management  
- System Integration  
- Team Management  
- Change Management  
- Business Development  
- Product Management  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Location]  
[Year of Graduation]  

---

**References**  
Available upon request."
2766,"- Led seven-figure marketing campaigns, focusing on trafficking and optimization.
- Enhanced yield by 20% in CEE markets through the introduction of new targeting capabilities.
- Developed the concept and architecture, and managed the creation of a rich media building platform to expand advertising capabilities.
- Improved viewability of specific ad units by 40% to combat banner blindness.

With over 8 years of diverse experience in the digital marketing field, I have collaborated with industry giants such as Ubisoft, Sony, Nintendo, Samsung, and Apple.

Experienced in both performance marketing and ad operations on the publisher side, I have led multiple projects across global markets aimed at revenue growth and yield optimization."
2793,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Seeking a challenging role in project management or art direction, leveraging extensive experience in advertising and team collaboration.

---

**Education**  
**2022** - Completed Advertising Course, Hillel School  
**Education in Computer Technology**

---

**Professional Experience**  

**Model**  
2022 - Present  

**Art Director/Stage Manager**  
Synergy Group  
2018 - 2021  
- Led creative projects and managed stage operations.
- Coordinated with designers, content writers, and freelancers to ensure project success.
- Conducted deep research on products and competitors to enhance project outcomes.

**Disc Jockey**  
2018 - Present  

---

**Skills**  
- Proficient in advertising platforms: Google Ads, Facebook Ads, MyTarget, Taboola, Capterra, LinkedIn Ads (EU and USA markets).
- Expertise in analyzing ad performance, competitor analysis, and creating performance reports.
- Skilled in media planning, keyword planning, and optimization in search campaigns.
- Strong organizational skills in managing team tasks and meeting deadlines.
- SEO proficiency: keywords, titles, descriptions.
- Excellent analytical skills for report creation and competitor analysis.
- Effective communication with partners and stakeholders for project discussions and implementations.
- Fluent in English, Ukrainian, and Russian.

---

**Personal Attributes**  
- Team player with strong organizational skills.
- Positive attitude and ability to maintain a good atmosphere in an online office environment.
- Enthusiastic about engaging in interesting tasks."
2810,"**Support Specialist (Finance)**  
NDA (Gambling)  
2021 - February 2023  
- Provided technical support for financial issues  
- Prepared financial statements  

**Project Manager**  
Cowboy Art (Advertising and PR Services)  
- Analyzed the advertising market in Ukraine and globally  
- Served as a brand ambassador  
- Managed customer protection  
- Prepared and detected profits  
- Developed proposals  
- Oversaw and maintained projects from inception to completion  

**Project Manager**  
Sicore (Advertising and PR Services)  
April 2018 - February 2020  
- Researched the outdoor advertising market  
- Achieved planned sales targets  
- Sourced and engaged with customers  
- Conducted meetings, presentations, and negotiations  
- Collaborated with other departments within the company  "
2824,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Results-driven Affiliate Manager with over 7 years of experience in launching and managing affiliate programs across diverse niche markets. Proven track record in driving revenue and results through strategic affiliate recruitment and management. Skilled in both third-party networks and in-house programs, with expertise in e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media. Strong background in marketing analysis, project management, and digital marketing strategies.

---

**Professional Experience**  

**Affiliate Manager**  
- Successfully launched and managed affiliate programs from inception in various niche markets.  
- Led a team to provide quality management of existing affiliate programs and new program launches.  
- Delivered personalized consultation and assessment, followed by comprehensive affiliate program management.  
- Drove revenue by recruiting and managing top affiliates.  
- Extensive experience with CPA Networks: Commission Junction, LinkShare, Linkconnector, Webgains, Shareasale.  

**Account Manager**  
- Worked with advertisers and affiliates at an Advertising Ad Network.  
- Searched for new traffic sources and launched new partnership projects.  
- Analyzed trends for affiliate campaigns, maintaining and improving current projects.  
- Managed day-to-day communication with internal and external customers, monitoring campaign delivery.  
- Coordinated benefits in accordance with agreements and contracts.  
- Created and coordinated development of marketing materials, including text slogans, banners, HTML creatives, and landing pages.  
- Conducted competitor analysis and market positioning.  
- Engaged in B2B activities, increasing brand awareness through email marketing and social activities.  

**Marketing Analyst**  
- Investigated data collection market and provided competitor analysis.  
- Coordinated marketing communications, including webinars and email campaigns.  
- Collaborated with Brand and Project Management departments.  
- Promoted company websites through SEO, PPC, and email marketing.  
- Developed marketing materials and improved company websites.  
- Conducted A/B tests to optimize marketing strategies.  

**Project Manager**  
- Completed a Project Management course from Laba, earning an EADL diploma.  
- Managed various IT projects with a team of 2-3 subordinates.  
- Seeking to leverage 10 years of IT experience in a project management role.  

---

**Skills**  
- Affiliate Program Management  
- Digital Marketing Strategies  
- Competitor Analysis  
- B2B and Social Activities  
- SEO, PPC, and Email Marketing  
- Project Management  
- A/B Testing  

---

**Education**  
- EADL Diploma in Project Management, Laba  

---

**Additional Experience**  
- Experience in email marketing, social activities, B2B activities, A/B testing, PPC, and SEO.  
- Launched corporate social media accounts and engaged with audiences to drive website traffic.  

---

**References**  
Available upon request."
3002,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Dedicated and experienced support agent seeking a managerial position to gain new experiences and enhance skills in a dynamic environment. Eager to contribute to service improvement and team development.

---

**Professional Experience**  

**Support Agent**  
- Conducted order checking and managed customer interactions through calls and chats.
- Organized and streamlined work processes to enhance efficiency.
- Mentored new team members, providing guidance and support for their development.
- Identified and implemented new strategies for service improvement.

---

**Skills**  
- Strong organizational and process management abilities.
- Effective communication and mentoring skills.
- Innovative problem-solving and service enhancement strategies.
- Adaptable and open to new challenges, with a preference for non-sales roles.

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**References**  
Available upon request."
3021,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
To secure a position as an Affiliate Manager/Project Manager in an international company/organization.

---

**Professional Experience**

**Head of Project**  
[Previous Company Name]  
2020 - 2021  

- Ensured the survival of a new project without active outdoor advertising during pandemic restrictions, leading to a consistent increase in visitors.
- Managed a working group in IT & Cyber Security, achieving ""committee"" status within one year.

**Business Development Manager**  
The German-Ukrainian Chamber of Industry and Commerce  
2019 - 2020  

- Created, planned, and implemented complex projects from scratch.
- Developed and organized content for online and offline events.
- Managed teams of up to 8 people, focusing on results and meeting deadlines.
- Coordinated working groups and communities.
- Built and maintained relationships with local and international partners.

---

**Skills**

- Project management and business development
- Strong organizational and leadership abilities
- Excellent communication and interpersonal skills
- Proficient in coordinating and managing teams
- Experience in content preparation and event organization

---

**Education**

[Your Degree]  
[Your University/College Name]  
[Year of Graduation]  

---

**Languages**

- [Language 1] (Fluent/Proficient)
- [Language 2] (Fluent/Proficient)

---

**References**

Available upon request."
3093,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
With nine years of experience in the IT industry, I have worked with numerous startups, including mobile apps, B2B, and SaaS applications, collaborating with diverse teams from various cultures and nationalities. Over the past four years, I have been part of a scale-up experiencing hyper-growth, where I have successfully leveraged my skills to lead transformation and growth. I am recognized as a manager, coach, and mentor.

**Core Competencies**  
- Agile and Lean Mindset Implementation  
- Team Coaching and Mentorship  
- Effective Communication and Decision-Making  
- Relationship Building  
- Process Improvement and Transparency  

**Professional Experience**  

**[Current Company Name]**  
[Your Job Title]  
[Month, Year] – Present  

- Spearheaded the adoption of Agile and Lean methodologies within teams, fostering an environment that encourages delivering business value.  
- Created a supportive space for team members to excel, enhancing their capabilities and performance.  
- Developed a clear and concise communication style, enabling effective evaluation of information and data to make informed decisions.  
- Provided insights and observations that strengthened relationships and collaboration within the organization.  
- Utilized tools such as Jira, Confluence, GitHub, and Code Climate to enhance transparency and organize processes for continuous improvement.  

**[Previous Company Name(s)]**  
[Your Job Title(s)]  
[Month, Year] – [Month, Year]  

- Collaborated with startups in various sectors, including mobile apps, B2B, and SaaS applications, to drive growth and innovation.  
- Worked with internal and outsourced teams from diverse cultural backgrounds, enhancing cross-cultural communication and collaboration.  

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University/College Name], [Location]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Technical Skills**  
- Jira  
- Confluence  
- GitHub  
- Code Climate  

**Languages**  
[List any languages you speak]  

**References**  
Available upon request."
3105,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and results-driven professional with over 10 years of experience in management and technology roles within IT outsourcing and outstaffing. Proven track record in establishing and enhancing PMOs, managing delivery for teams of 50+ employees, and driving pre-sales, risk management, budgeting, and cost control initiatives. Adept at process improvements, quality management, and leadership, with a strong focus on Lean Agile methodologies and rolling wave planning. Recognized for strengthening compliance, elevating output quality, and boosting customer satisfaction and employee morale to unprecedented levels. Skilled in conceptualizing and executing program visions from inception to completion, managing complex milestones, and adapting to changing priorities. Experienced in leading international, cross-functional, and distributed engineering teams to deliver strategic initiatives that enhance systems, processes, and bottom-line results. Highly effective in managing stringent budgets, driving cost savings, and accurately forecasting additional needs.

**Core Competencies**  
- PMO Establishment and Improvement  
- Delivery Management  
- Pre-Sales and Risk Management  
- Budgeting and Cost Control  
- Process and Quality Improvements  
- Leadership and People Management  
- Lean Agile Methodologies  
- Rolling Wave Planning  

**Professional Experience**  

**[Your Most Recent Job Title]**  
[Your Most Recent Employer]  
[Location]  
[Month, Year] – Present  

- Lead and manage delivery for a team of 50+ employees, ensuring alignment with strategic goals and objectives.  
- Drive pre-sales activities, risk management, and budgeting initiatives to optimize resource allocation and cost control.  
- Implement process improvements and quality management practices to enhance operational efficiency and output quality.  
- Foster a culture of leadership and people management, promoting professional and personal development opportunities.  
- Utilize Lean Agile methodologies and rolling wave planning to adapt to changes and shifting priorities effectively.  
- Collaborate closely with clients nationally and internationally, ensuring high levels of customer satisfaction.  
- Travel as required to support client engagements and project delivery.  

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University/College Name], [Location]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Languages**  
[List any languages you speak]  

**References**  
Available upon request."
3113,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced IT professional with over 10 years in the industry, specializing in project management, agile methodologies, and product ownership. Certified in multiple agile frameworks and methodologies, with a strong background in web and mobile projects across various sectors including healthcare, education, social media, and insurance. Proficient in business analysis and experienced in product development.

---

**Certifications**  
- Project Management Professional (PMP) - PMI  
- Certified Scrum Product Owner (CSPO) - ScrumAlliance  
- Certified Scrum Master (CSM) - ScrumAlliance  
- SAFe Advanced Scrum Master (SASM)  
- Kanban System Design (KMP1) - Kanban University  
- Kanban Maturity Model Course - Kanban University  
- Kanban Coaching Practices Course - Kanban University  
- ICAgile Certified Professional in Agile Coaching (ICP-ACC)  
- Certified ICAgile Trainer  
- Registered Product Owner at Scale (RPOAS) - Scrum at Scale  
- Registered Scrum at Scale Fundamentals (RSASF) - Scrum at Scale  
- Member and Facilitator - International Association of Facilitators (IAF)  

---

**Professional Experience**  
- Extensive experience in RUP, Waterfall, and Agile methodologies  
- Managed web and mobile projects in healthcare, education, social media, and insurance sectors  
- Experience in product development and business analysis  

---

**Technical Skills**  
- SQL, BPMN, UML (base level)  
- Microsoft Office Suite: MS Project, Word, Excel, PowerPoint, Outlook  
- Tools: Miro, Microsoft Power BI, Postman, Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind, Balsamiq Mockups, draw.io  

---

**Languages**  
- English: Upper-Intermediate  

---"
3118,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Dedicated and experienced professional with a strong background in project management and front-end development, seeking to leverage skills in a dynamic and challenging environment.

---

**Education**  
**Warsaw University of Technology (WUT)**  
Faculty of Computer Science  
- Awarded a study grant for a one-year and six-month program  
- Studied in English  

---

**Professional Experience**  

**Tech Lead Project Manager Dept.**  
[Company Name]  
[Location]  
[Dates: Start Date - End Date]  
- Led the project management department for 1 year and 3 months  
- Successfully launched 8 new domains for a Fortune TOP 500 website with USA stakeholders  
- Fostered a collaborative and friendly team atmosphere  

**Project Manager**  
[Company Name]  
[Location]  
[Dates: Start Date - End Date]  
- Managed projects for 1 year, focusing on planning, approval processes, and customer understanding  
- Transformed customer desires into actionable projects  

**Front-end Developer**  
[Company Name]  
[Location]  
[Dates: Start Date - End Date]  
- Worked as a front-end developer for 4 months  

**Single Point of Contact**  
[Company Name]  
[Location]  
[Dates: Start Date - End Date]  
- Served as the single point of contact for 2 months  

---

**Conferences and Speaking Engagements**  
- Delivered lectures at 3 annual conferences on topics including project management, planning, customer understanding, and team dynamics  

---

**Additional Information**  
- Known for creating a cozy office environment and fostering a friendly team atmosphere  
- Available to provide a more detailed CV with a list of technical skills and information about previous projects upon request  

---

**References**  
Available upon request.  "
3120,"**[Your Name]**

**[Your Address]**  
**[City, State, ZIP Code]**  
**[Your Phone Number]**  
**[Your Email Address]**  

---

**Professional Summary**

Experienced professional with a strong background in managing time and material projects as well as fixed price engagements. Skilled in enterprise, e-commerce, financial development, and big data solutions. Proven expertise in risk, time, cost management, and scheduling. Demonstrated leadership abilities with excellent communication and negotiation skills. Proficient in Agile methodologies including Scrum and Kanban.

---

**Core Competencies**

- Project Management: Time and Material, Fixed Price
- Industry Expertise: Enterprise, E-commerce, Financial Development, Big Data
- Management Skills: Risk Management, Time Management, Cost Management, Scheduling
- Leadership: Strong Leadership, Communication, Negotiation
- Agile Methodologies: Agile, Scrum, Kanban
- Tools: Jira, Confluence, Trello, Redmine, VSTS, Salesforce, Kimble

---

**Professional Experience**

*Details of your professional experience would be listed here, including job titles, companies, and dates of employment.*

---

**Education**

*Details of your educational background would be listed here, including degrees, institutions, and graduation dates.*

---

**Certifications**

*Details of any relevant certifications would be listed here.*

---

**References**

Available upon request."
3122,"Agile Delivery Management

- Version planning, building versions using Jenkins and GitHub Actions, and deploying to Azure and AWS environments (development and production).
- Setting up and streamlining delivery and release processes from scratch.
- Organizing and leading Scrum events, managing Scrum artifacts.
- Creating roadmaps, resource plans, project charters, and reports; mitigating risks and ensuring regular and timely delivery of value.
- Writing business requirements, user stories, and job stories; conducting research in the project domain to gather essential information.
- Collaborating closely with developers, UI/UX teams, and stakeholders to contribute to project development.
- Participating in pre-sales activities, client meetings, and preparing estimations and proposals.
- Involved in setting up company processes, writing role descriptions, interviewing stakeholders, and daily collaboration with the CTO.
- Leading teams through daily stand-ups, 1:1 meetings, retrospectives, task management, skills development, issue resolution, and creating supporting documentation.
- Embrace challenges and believe that with a great team, anything is possible.
- Committed to contributing to projects that make a positive impact on the world; choosing not to engage in betting, gambling, banking, and dating domains.
- Seeking opportunities where diverse experiences can drive results and support continuous learning and self-development."
3123,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Certified Agile Project Manager and Scrum Master with extensive experience in leading IT projects from inception to completion. Proven track record in discovering new markets, hiring and managing development teams, and growing startups. Skilled in conducting projects across medical, business, and educational sectors. Adept at engaging clients in technology discussions and implementing business analysis in customer relations. Experienced in managing remote teams and leading long-term products.

---

**Key Skills**  
- Agile Project Management (Certified)  
- Scrum Master (Certified)  
- Kanban, DSDM, Agile Methodologies  
- Project Management (80+ member teams)  
- Remote Team Management  
- Change and Risk Management  
- Business Analysis and Development  
- Sales and Account Management  
- Scope Clarification and Prioritization  
- UI/UX Design and Prototyping  
- Technology Discussions and Client Engagement  
- Advanced Business English  
- Tools: Jira, Redmine, Axure, Mindmap  
- Programming: PHP, Drupal  
- Platforms: iOS, Android  

---

**Professional Experience**  

**Project Manager**  
- Led dozens of successful projects in roles including Project Management, UX, Business Analysis, and Quality Assurance.  
- Managed and grew startups, discovering new Western markets.  
- Conducted projects in medical, business, and educational fields.  
- Implemented business analysis stages in customer relations.  
- Engaged with clients in technology discussions, ensuring alignment with project goals.  

**Team Leader**  
- Hired and managed development teams, fostering professional growth and ensuring project success.  
- Managed remote teams, maintaining productivity and communication across different time zones.  
- Led long-term product development, ensuring continuous improvement and adaptation to market needs.  

---

**Education and Certifications**  
- Certified Agile Project Manager  
- Certified Scrum Master  

---

**Languages**  
- Advanced Business English  

---

**Additional Information**  
- Adept at working in informal settings with adequate management.  
- Committed to professional growth and development.  
- Experience working in a product-oriented company.  

---

**References**  
Available upon request.  "
3133,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Project Management professional with 8 years of experience in PM, BA, and Scrum Master roles within outsourcing and product environments. Proven expertise in Agile methodologies, product management, and presale processes. Skilled in managing multiple development teams and projects, fostering Agile adoption, and enhancing organizational processes.

---

**Core Competencies**  
- Agile Project Management (Scrum, XP, Kanban)  
- Product Management and Business Analysis  
- Solution Design and Estimation in Presale  
- Team and Project Management (3-9 members per team)  
- Agile Mindset Adoption and Practice Implementation (MVP, Feedback Loops, CI, PP, TDD, CR)  
- Organizational Process Improvement (Presale, Hiring, Onboarding, Feedback)  
- Certified Coach with 1:1 Coaching and Group Facilitation Skills  

---

**Business Domains**  
- Web  
- E-commerce  
- Gaming  

---

**Professional Experience**  

**[Your Most Recent Job Title]**  
[Your Most Recent Company Name], [Location]  
[Month, Year] – Present  

- Lead and manage multiple development teams, ensuring effective project delivery and team collaboration.  
- Facilitate Agile practices and mindset adoption across teams and customers, tailoring approaches to fit specific contexts.  
- Oversee presale activities, including solution design and estimation processes, to support business growth.  
- Enhance organization-wide processes, contributing to presale, hiring, onboarding, and feedback initiatives.  
- Provide 1:1 coaching and facilitate group sessions to develop team capabilities and performance.  

**[Previous Job Title]**  
[Previous Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Managed simultaneous projects and teams, balancing workload and ensuring project success.  
- Supported Agile transformation efforts, implementing practices such as MVP, feedback loops, and continuous integration.  
- Collaborated with stakeholders to ensure transparency in communications and simplicity in processes.  

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University/College Name], [Location]  
[Year of Graduation]  

---

**Certifications**  
- Certified Coach  

---

**Additional Information**  
- Capable of managing 1-3 simultaneous projects/teams or 1-2 projects/teams with presale involvement.  

---

**References**  
Available upon request.  "
3134,"**Bitbay.Market**  
*Project Manager*  
01/2018 - 06/2018, Kharkiv Blockchain Project  

- Developed a suite of free-to-use, multi-platform applications, including the world’s first fully-functional Decentralized Marketplace.  
- Successfully delivered MVP two weeks ahead of schedule, resulting in the client receiving an investment of over $1 million.  
- Utilized Agile methodologies such as Scrum, Kanban, Lean, and XP, as well as Waterfall.  
- Managed PMO, including briefs, estimation, project plans, reports, Gantt charts, risk management, and resource management.  
- Proficient in touch typing.  

**Sensorama Lab**  
*Project Manager/Scrum Master*  
07/2018 - 06/2028, Kiev  

- Implemented agile methodologies and principles across the organization. Managed sprint planning, stand-ups, reviews, and retrospectives with team and Product Owner.  
- Collaborated with Product Owner to define, document, maintain, and communicate roadmap across the organization.  
- Created briefs, estimations, project plans, and other documentation.  
- Translated discussions into detailed user stories, epics, and tasks. Managed the story writing, prioritization, tracking, and acceptance of the product backlog.  
- Managed the release scope schedule, focusing on regular and timely delivery of value. Prepared, maintained, and communicated schedules, documentation, and statuses.  
- Ensured product backlog was prioritized, groomed, and refined to avoid ambiguity in specifications.  
- Worked with management and other leaders to continually identify and implement team processes and workflow improvements.  
- Defined and refined agile metrics and reporting to understand and communicate team performance.  

**Maybe.Works**  
*Project Manager*  
01/2017 - 06/2018, Kharkiv Outsourcing IT Company  

- Led a team of developers, designers, 3D artists, and QA testers through the entire project lifecycle using Agile development methodologies.  
- Acted as the main client contact for all project-related communication, building strong relationships.  
- Created and managed schedules, user stories, risk mitigation plans, scope and budget tracking, and other production-related items to ensure the team stayed on track to meet delivery and launch milestones.  
- Sourced and managed external partners, ensuring a clear transfer of project requirements and timeline, and closely tracked progress for out-of-office teams.  
- Reviewed contracts and authored change orders as needed.  "
3135,"Certified SAFe® 5 Agilist

Completed Product Owner Mentoring Program hosted by Pentalog

**Endava, December 2021 — Present**  
*Agile Project Manager*  

- FinTech & Banking Project: Successfully completed the main part of the Product’s Annual Roadmap on time and within budget. Resolved issues with scope creep and managed dependencies with third-party vendors. Fostered a trustworthy and transparent environment through effective communication, stakeholder management, and reporting.  
- Data Centre to AWS Migration Project: Developed a roadmap for Discovery and Migration Strategy. Facilitated the Discovery process, including communication planning and workshop organization. Managed resources, including team ramp-up and onboarding processes.  

**Key IVR, March 2020 — November 2021**  
*Technical Project Manager*  

- Delivered 15+ projects on time and within budget.  
- Possess proficient knowledge of major International Gateways (Barclays EPDQ, WorldPay, Global Payments).  
- Conducted high-level technical reviews of specifications.  

**Zeroqode, March 2019 — March 2020**  
*Project / Product Manager*  

- Improved backlog health status by introducing DoR & DoD, enhancing estimation accuracy.  
- Completed a new landing page for a company product, set up metrics and customer behavior tracking, resulting in a 10% increase in conversion and reduced CPA.  
- Executed a growth-hacking campaign that brought in 15% new clients with various subscription plans.  
- Engaged in customer development through direct communication and survey creation.  

**Enticon.app, December 2018 - February 2019**  
*Project Manager*  

- Configured workflow for the first Kanban development team.  
- Decomposed technical assignments into estimable tasks.  
- Created and managed the onboarding process for new team members.  
- Provided reporting for C-Level management.  

**EBS Integrator, September 2018 - December 2019**  
*Project Manager*  

- Developed a comprehensive project plan for a Fixed Price project, covering scope, time, cost, quality, HR, communication, and RAID management.  
- Tracked major project metrics.  
- Facilitated communication through weekly client reporting and leading demo sessions.  

**GoSocial, February 2018 - September 2018**  
*Project Manager*  

- Delivered 2 web projects within budget and time constraints.  
- Managed on-site and outsourced development teams.  
- Collaborated with internal departments (Design, SMM) to achieve post-launch goals.  

**Opportunities for Professional Growth and Development**  

- A collaborative and supportive work culture that values teamwork, open communication, and mutual support.  
- Competitive compensation and benefits.  
- Emphasis on work-life balance.  "
3136,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Dynamic IT professional with over a decade of experience, transitioning from web development to project management. Proven track record in building and leading successful teams under challenging conditions. Expertise in people management and scrum processes, with a focus on delivering impactful projects that benefit users globally.

---

**Experience**  

**Project Manager**  
[Company Name], [Location]  
[Month, Year] – Present  

- Lead and manage projects with teams ranging from 2 to 24 developers, ensuring successful delivery of web, data-driven, and mobile projects.
- Utilize strong people management skills to foster team growth and productivity.
- Implement and oversee scrum processes to enhance project efficiency and team collaboration.
- Focus on developing exciting projects with global impact and utility.

**Web Developer**  
[Company Name], [Location]  
2009 – [Month, Year]  

- Developed and maintained web applications, contributing to various projects with a focus on user experience and functionality.
- Collaborated with cross-functional teams to deliver high-quality software solutions.
- Gained foundational skills in IT that facilitated a seamless transition to project management.

---

**Skills**  

- Project Management
- People Management
- Scrum Process Implementation
- Web Development
- Team Leadership
- Cross-functional Collaboration

---

**Education**  

[Bachelor’s/Master’s Degree in Relevant Field]  
[University Name], [Location]  
[Year of Graduation]  

---

**Certifications**  

- [Certification Name], [Issuing Organization], [Year]
- [Certification Name], [Issuing Organization], [Year]

---

**References**  

Available upon request."
3137,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and results-driven Agile Project Manager with extensive experience in building and implementing Agile practices across multiple teams. Proven track record in leading successful production releases and establishing efficient processes from concept to deployment. Adept at managing scope, release, people, risk, quality, and stakeholder engagement to ensure successful project delivery. Skilled in fostering a collaborative culture and developing process standards within development teams. Experienced in conducting interviews and building project management departments. Proficient in Scrum, Kanban, Nexus, and familiar with SAFe, with a diverse background in fintech, health, e-commerce, social networks, and education sectors.

**Professional Experience**  

**Agile Project Manager**  
- Spearheaded the implementation of Agile practices in 14 teams, establishing Scrum from the ground up in 5 teams.  
- Successfully managed over 100 production releases, ensuring timely and quality delivery.  
- Acted as Crisis Manager, transforming a team from zero releases to consistent monthly releases.  
- Developed and implemented processes from ideation through development, testing, and release.  
- Oversaw scope, release, people, risk, quality, and stakeholder management to drive project success.  
- Led initiatives in process standards, approaches, and cultural development within development teams.  
- Built and expanded the project management department, conducting interviews for PM and tech roles to ensure alignment with team and company values.  
- Coordinated efforts between design and development departments to streamline project workflows.  
- Worked with Scrum, Kanban, and Nexus frameworks, with familiarity in SAFe methodologies.  

**Industry Experience**  
- Fintech  
- Health  
- E-commerce  
- Social Networks  
- Education  

**Career Objective**  
Seeking a position in a product company with a healthy work environment that values process creation and decision-making. Eager to leverage my expertise to enhance the quality, speed, and transparency of development processes, with flexibility in work location preferences.  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Skills**  
- Agile Methodologies  
- Scrum, Kanban, Nexus  
- Project Management  
- Stakeholder Management  
- Process Development  
- Team Leadership  
- Risk Management  

**References**  
Available upon request."
3138,"Karine [Last Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Project Manager with 3 years of experience in enhancing project value by minimizing wasted effort and aligning team focus with client goals. Skilled in management, with a strong background in collaborating with software development teams and advising upper management on Scrum and Agile best practices. Proficient in defining Jira environments with components and swimlanes to streamline developer workflows.

---

**Experience**  

**Project Manager**  
[Company Name], [Location]  
[Month, Year] – Present  

- Enhanced project value by minimizing wasted effort and aligning team focus with client objectives.
- Collaborated closely with software development teams to ensure effective project execution.
- Coached upper management on implementing Scrum and Agile principles across the organization.
- Defined Jira environments with components and swimlanes to facilitate efficient project management and developer workflows.

---

**Skills**  

- Project Management  
- Scrum and Agile Methodologies  
- Jira Environment Configuration  
- Team Collaboration  
- Client Goal Alignment  

---

**Availability**  
Available MON-FRI, GMT+4 time zone.

---

**Contact**  
Please feel free to reach out via email or phone for further discussion.

---

**Best regards,**  
Karine [Last Name]"
