,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
2660,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in sales management, recruitment, and regional leadership. Proven track record in customer support management and adept at fostering strong business communications and negotiations. Skilled in issue resolution, requirements analysis, and risk management. Seeking to leverage expertise in project management, business analysis, or business development roles.

---

**Experience**  

**Sales Manager**  
[Small Startup Company]  
- Led sales initiatives and strategies to drive growth and revenue.  
- Developed and maintained strong client relationships to ensure customer satisfaction and retention.  

**Recruiter**  
- Managed full-cycle recruitment processes, including talent acquisition and candidate evaluation.  
- Collaborated with hiring managers to identify staffing needs and develop job descriptions.  

**Regional Director**  
- Oversaw regional operations and implemented strategies to enhance business performance.  
- Coordinated with cross-functional teams to achieve organizational goals.  

**Customer Support Manager**  
- Directed customer support operations to ensure high-quality service delivery.  
- Resolved customer issues efficiently, enhancing customer satisfaction and loyalty.  

---

**Education**  

**Project Management Courses**  
- Completed coursework in project management principles and practices.  

---

**Skills**  
- Business Communications  
- Business Negotiations  
- Issue Resolution  
- Requirements Analysis  
- Risk Management  
- Conflict Resolution  
- Customer Service  
- Public Relations  
- International/Intercultural Relations  
- Recruiting  
- Talent Acquisition  
- Translations  

---

**Language Proficiency**  
- English: Upper-Intermediate to Advanced  

---

**Career Interests**  
- Seeking roles as Project Manager, Project Coordinator, or Account Manager.  
- Open to opportunities in Business Analysis or Business Development Management.  "
2741,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in operations management, project leadership, and facilities management. Proven track record in optimizing processes, leading successful startups, and managing large-scale projects. Skilled in team management, change management, and business development.

---

**Professional Experience**

**Head of Facilities, Ukraine Operations**  
Dev-Pro.net, Kyiv, Lviv, Dnipro, Kharkiv  
[Year] - Present  
- Oversee all aspects of services and operations for a 5,000+ sq.m. facility across five development centers in Ukraine.
- Lead business continuity initiatives and manage a team of 15+ people.
- Successfully launched and managed additional company spaces.

**Operations Technology Project Leader**  
Procter & Gamble LCC  
2015 - 2017  
- Led international projects for the startup of new production lines for brands such as Tide, Ariel, and Gala.
- Managed the discontinuation of brands DAX and BONUX.
- Optimized manufacturing capacities and support departments, achieving process reliability of 84%, unplanned downtime of less than 2%, and scrap rates of less than 1%.

**Site TS Program Manager & HS&E Department Leader**  
Procter & Gamble LCC  
2013 - 2015  
- Restructured plant infrastructure, transferred warehouses to 3PL, and initiated production facilities startups.
- Led a team of 43 employees in the HS&E department.

**Key Achievements**  
- Negotiated with authorities to lower rental rates for land from 13% to 6%, saving 37% of general plant costs (2017-2018).
- Achieved a 23% reduction in operating expenses and utilities.
- Successfully led six external audits without critical observations.
- Managed the restructuring and merging of several units into one department.

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]

---

**Skills**  
- Operations Management  
- Project Management  
- Startup Management  
- System Integration  
- Team Management  
- Change Management  
- Business Development  
- Product Management  

---

**Awards & Recognitions**  
- CEO Award, 2014  
- CBN Award, 2013  

---

**Languages**  
[Languages you speak]  

**References**  
Available upon request."
2766,"- Led seven-figure marketing campaigns, including trafficking and optimization.
- Enhanced yield by 20% in CEE markets through the introduction of new targeting capabilities.
- Developed the concept and architecture, and managed the creation of a rich media building platform to expand advertising capabilities.
- Improved viewability of specific ad units by 40% to address banner blindness.
- Over 8 years of diverse experience in digital marketing, collaborating with companies such as Ubisoft, Sony, Nintendo, Samsung, and Apple.
- Skilled in Performance Marketing and Ad Operations on the publisher side, leading multiple global projects focused on revenue growth and yield optimization."
2793,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in advertising, modeling, and the entertainment industry. Proficient in digital marketing strategies, team management, and creative direction. Fluent in English, Ukrainian, and Russian, with a strong educational background in computer technology. Thrives in challenging environments and excels in remote work settings.

---

**Work Experience**  

**Model**  
2022 - Present  
- Engaged in various modeling assignments, showcasing versatility and adaptability in diverse projects.

**Art-Director/Stage Manager**  
Synergy Group  
2018 - 2021  
- Directed and managed artistic and stage elements for productions, ensuring seamless execution and high-quality outcomes.
- Organized and assigned tasks to designers, content writers, and freelancers to optimize team performance.
- Conducted in-depth research on products and competitors to enhance creative strategies.

**Disc Jockey**  
2018 - Present  
- Delivered engaging and dynamic performances at events, maintaining a strong connection with audiences.

---

**Education**  

**Courses in Advertising**  
Hillel School  
2022  

**Education in Computer Technology**  

---

**Skills**  

- Proficient in digital advertising platforms: Google Ads, FB Ads, Mytarget, Taboola, Capterra, and LinkedIn Ads.
- Expertise in analyzing ad performance, competitor analysis, and media planning.
- Skilled in keyword planning, optimization, and SEO tasks.
- Strong analytical skills for report creation and strategy implementation.
- Effective communicator with partners, adept at conducting meetings and overseeing project implementation.
- Team player with excellent organizational skills and ability to meet deadlines.
- Experience in remote office settings.

---

**Languages**  
- English (Fluent)  
- Ukrainian (Fluent)  
- Russian (Fluent)  

---

**Personal Attributes**  
- Enjoys challenging tasks and thrives in a positive work environment."
2810,"SUPPORT SPECIALIST (FINANCE)  
NDA (GAMBLING)  
2021 - 02.2023  
- Provided technical support for financial issues  
- Prepared financial statements  

PROJECT MANAGER  
COWBOY ART (ADVERTISING AND PR SERVICES)  
- Analyzed the advertising market in Ukraine and globally  
- Acted as a brand ambassador  
- Ensured customer protection  
- Prepared and detected profits  
- Formulated proposals  
- Managed projects from receipt to implementation  

PROJECT MANAGER  
SICORE (ADVERTISING AND PR SERVICES)  
04.2018 - 02.2020  
- Researched the outdoor advertising market  
- Achieved planned sales targets  
- Prospected and acquired customers  
- Conducted meetings, presentations, and negotiations  
- Collaborated with other departments within the company  "
2824,"Affiliate Manager

Profile:
Affiliate Manager with over 7 years of experience in launching and managing Affiliate Programs across diverse niche markets. Proven expertise in working with advertisers and affiliates as an Account Manager at an Advertising Ad Network. Proficient in managing affiliate platforms and industries such as e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media. Skilled in email marketing, social activities, B2B activities, A/B testing, PPC, and SEO. Adept at driving revenue by recruiting and managing top affiliates.

Professional Experience:

Marketing Analyst
- Conducted market research and data collection analysis
- Provided comprehensive competitor analysis
- Coordinated marketing communications with customers
- Collaborated with Brand and Project Management departments
- Engaged in partner programs
- Promoted company websites through SEO, PPC, and email marketing
- Developed marketing materials and conducted A/B tests

Affiliate/Account Manager
- Sourced new traffic channels and launched partnership projects
- Analyzed daily, weekly, and monthly trends for affiliate campaigns
- Managed day-to-day communication with internal and external customers
- Coordinated benefits in line with agreements and contracts
- Created and coordinated text slogans, banners, HTML creatives, and landing pages
- Conducted competitor analysis
- Engaged in B2B and social activities
- Experienced with CPA Networks: Commission Junction, LinkShare, Linkconnector, Webgains, Shareasale
- Successfully launched Affiliate Program from scratch
- Identified and recruited new affiliates, maintaining detailed contact lists

Project Manager
- Completed Project Management course and obtained EADL diploma
- Over 10 years of IT experience managing various projects with teams of 2-3 subordinates
- Holds an EADL diploma in Project Management
- Interested in exploring project management opportunities and willing to assist with affiliate or general marketing initiatives

Education:
- EADL Diploma in Project Management

Skills:
- Affiliate Program Management
- Market Analysis
- SEO, PPC, and Email Marketing
- A/B Testing
- B2B and Social Activities
- Project Management
- Competitor Analysis
- Communication and Coordination

[Note: Ensure that your contact information, such as phone number and email address, is included at the top of your resume.]"
3002,"Support Agent with Team Management Experience

[Your Name]
[Your Address]
[City, State, ZIP]
[Your Phone Number]
[Your Email Address]

Objective:
Dedicated support agent with experience in managing team members, seeking a managerial position to further develop skills and gain new experiences. Open to new challenges, excluding sales roles.

Professional Experience:

Support Agent
- Managed order checking, handling calls, chats, and other tasks connected to the process.
- Organized and streamlined the working process to enhance efficiency.
- Mentored new team members, providing guidance and support to ensure smooth integration.
- Identified and implemented new ways to improve service quality and customer satisfaction.

Skills:
- Strong organizational and process management skills.
- Effective communication and mentoring abilities.
- Proactive in finding innovative solutions for service improvement.
- Experienced in team management and support operations.

Education:
[Your Degree]
[Your University/College]
[Year of Graduation]

References available upon request."
3021,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Experience**

**Head of Project**  
[Previous Company Name]  
2020 - 2021  

- Led the creation, planning, and implementation of complex projects from inception to completion.
- Managed teams of up to 8 people, ensuring strong focus on results and adherence to deadlines.
- Coordinated working groups and communities to achieve project goals.
- Built and maintained relationships with local and international partners.

**Business Development Manager**  
The German-Ukrainian Chamber of Industry and Commerce  
2019 - 2020  

- Developed and executed strategies for business growth and development.
- Prepared content and organized both online and offline events to engage stakeholders.
- Fostered relationships with partners to enhance business opportunities.

---

**Skills**

- Project Management
- Team Leadership
- Strategic Planning
- Event Organization
- Relationship Building

---

**Education**

[Your Degree]  
[Your University/College Name]  
[Year of Graduation]  

---

**Languages**

- [Language 1]
- [Language 2]

---

**References**

Available upon request."
3093,"**Experience**

- Over nine years in the IT industry, specializing in mobile apps, B2B, and SaaS applications with startups.
- Extensive experience collaborating with diverse teams, including internal and outsourced employees from various cultural and national backgrounds.
- Four years at a scale-up company, contributing to its hyper-growth phase.
- Demonstrated success in leading transformation and growth as a manager, coach, and mentor.
- Advocate for Agile and Lean methodologies, coaching teams to deliver business value through support and guidance.
- Strong communication skills, adept at evaluating information and data to make informed decisions and provide valuable insights.
- Expertise in building and maintaining strong professional relationships.
- Proficient in using tools such as Jira, Confluence, GitHub, and Code Climate to enhance transparency and drive continuous process improvements."
3105,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and results-driven professional with over 10 years of experience in management and technology roles within IT outsourcing and outstaffing. Proven track record in establishing and enhancing PMOs, managing delivery for teams of 50+ employees, and driving pre-sales, risk management, budgeting, and cost control initiatives. Adept at process improvements, quality management, and leadership, with a strong focus on Lean Agile methodologies and rolling wave planning. Recognized for strengthening compliance, elevating output and quality, and boosting customer satisfaction and employee morale to unprecedented levels.

**Core Competencies**  
- PMO Establishment and Improvement  
- Delivery Management  
- Pre-Sales and Risk Management  
- Budgeting and Cost Control  
- Process and Quality Improvements  
- Leadership and People Management  
- Lean Agile Methodologies  
- Rolling Wave Planning  

**Professional Experience**  

**[Your Most Recent Job Title]**  
[Your Most Recent Company Name], [Location]  
[Month, Year] – Present  

- Conceptualize and execute program vision from inception to completion, managing complex milestones while adapting to changes and shifting priorities.  
- Lead international, cross-functional, and distributed engineering teams in delivering strategic initiatives that enhance systems, processes, and bottom-line results.  
- Effectively manage stringent budgets, drive cost savings, and improve delivery while forecasting additional needs.  
- Foster strong relationships with clients both nationally and internationally, ensuring high levels of satisfaction and engagement.  

**[Previous Job Title]**  
[Previous Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Spearheaded initiatives to strengthen compliance and improve processes, resulting in elevated output, quality, and customer satisfaction.  
- Stimulated and rewarded a lucrative career with numerous opportunities for professional and personal development.  
- Demonstrated ability to travel and work closely with clients across various locations.  

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University/College Name], [Location]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Languages**  
[List any languages you speak]  

**References**  
Available upon request."
3113,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
IT professional with over 10 years of experience, specializing in project management, agile methodologies, and product development. Certified in multiple agile frameworks and project management disciplines, with a proven track record in diverse industries including healthcare, education, social media, and insurance. Proficient in business analysis and a variety of technical tools and methodologies.

---

**Certifications**  
- Project Management Professional (PMP) - PMI  
- Certified Scrum Product Owner (CSPO) - ScrumAlliance  
- Certified Scrum Master (CSM) - ScrumAlliance  
- SAFe Advanced Scrum Master (SASM)  
- Kanban System Design (KMP1) - Kanban University  
- Kanban Maturity Model - Kanban University  
- Kanban Coaching Practices - Kanban University  
- ICAgile Certified Professional in Agile Coaching (ICP-ACC)  
- ICAgile Certified Trainer  
- Registered Product Owner at Scale (RPOAS) - Scrum at Scale  
- Registered Scrum at Scale Fundamentals (RSASF) - Scrum at Scale  
- Facilitator and Member - International Association of Facilitators (IAF)  

---

**Professional Experience**  

**[Your Most Recent Job Title]**  
[Your Most Recent Company Name], [Location]  
[Month, Year] – Present  

- Lead and manage IT projects using RUP, Waterfall, and Agile methodologies.
- Collaborate with cross-functional teams on web and mobile projects across healthcare, education, social media, and insurance sectors.
- Conduct business analysis to align product development with client needs and market trends.
- Utilize SQL, BPMN, UML, and MS Office Suite for project documentation and reporting.
- Facilitate agile ceremonies and coach teams in agile practices.

**[Previous Job Title]**  
[Previous Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Managed product development initiatives, ensuring alignment with business objectives.
- Implemented agile frameworks to enhance team productivity and project delivery.
- Engaged in business analysis to support strategic decision-making processes.
- Developed and maintained project documentation using tools like Jira, Confluence, and Azure DevOps.

---

**Technical Skills**  
- **Methodologies:** RUP, Waterfall, Agile  
- **Tools:** Miro, Microsoft Power BI, Postman, Jira, Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind, Balsamiq Mockups, draw.io  
- **Languages & Frameworks:** SQL, BPMN, UML  
- **Software:** MS Project, Word, Excel, PowerPoint, Outlook  

---

**Languages**  
- English: Upper-Intermediate Proficiency  

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]  

---

**Professional Affiliations**  
- International Association of Facilitators (IAF)  

---

**References**  
Available upon request."
3118,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated and skilled professional with a degree in Computer Science from Warsaw University of Technology. Proven track record in project management, front-end development, and team leadership. Seeking to leverage expertise in a dynamic and challenging environment.

---

**Education**  
**Warsaw University of Technology (WUT)**  
Bachelor of Science in Computer Science  
- Awarded a study grant

---

**Professional Experience**  

**Tech Lead Project Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Led a team in the successful launch of 8 new domains for a major website of a Fortune TOP 500 company.
- Acted as the Single Point of Contact for 2 months, ensuring seamless communication and project execution.

**Project Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Managed projects with a focus on planning, customer understanding, and team dynamics.
- Presented at 3 annual conferences on topics including Project Management and team dynamics.

**Front-end Developer**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Developed user-friendly interfaces and enhanced user experience.

---

**Skills**  
- Project Management  
- Front-end Development  
- Team Leadership  
- Customer Relationship Management  
- Conference Presentation  

---

**Additional Information**  
- Skilled in creating a friendly atmosphere within teams and transforming customer desires into real projects.
- Additional technical skills and project information available upon request.  

---

**References**  
Available upon request."
3120,"**[Your Name]**

**[Your Address]**  
**[City, State, ZIP Code]**  
**[Your Phone Number]**  
**[Your Email Address]**  
**[LinkedIn Profile URL]**

---

**Professional Summary**

Dynamic and results-driven professional with extensive experience in managing time and material projects as well as fixed price engagements. Expertise in enterprise, e-commerce, financial development, and big data solutions. Adept at risk management, time management, cost management, and scheduling. Strong leadership, communication, and negotiation skills, with a proven track record in Agile, Scrum, and Kanban methodologies.

---

**Core Competencies**

- Project Management: Time and Material, Fixed Price
- Industry Expertise: Enterprise, E-commerce, Financial Development, Big Data
- Methodologies: Agile, Scrum, Kanban
- Tools: Jira, Confluence, Trello, Redmine, VSTS, Salesforce, Kimble
- Skills: Risk Management, Time Management, Cost Management, Scheduling
- Leadership: Strong Communication and Negotiation Skills

---

**Professional Experience**

**[Your Most Recent Job Title]**  
**[Company Name]**  
**[Location]**  
**[Month, Year] – Present**

- Managed and delivered projects within time and budget constraints, utilizing both time and material and fixed price models.
- Led cross-functional teams in enterprise, e-commerce, and financial development projects, ensuring alignment with business objectives.
- Implemented Agile, Scrum, and Kanban methodologies to enhance project efficiency and team collaboration.
- Utilized tools such as Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble to streamline project management processes.
- Developed and maintained project schedules, managing risks and costs effectively.

**[Previous Job Title]**  
**[Company Name]**  
**[Location]**  
**[Month, Year] – [Month, Year]**

- Spearheaded big data initiatives, driving innovation and efficiency in data management and analysis.
- Coordinated with stakeholders to ensure project deliverables met quality standards and business requirements.
- Enhanced team performance through effective communication and negotiation, fostering a collaborative work environment.

---

**Education**

**[Your Degree]**  
**[Your Major]**  
**[University/College Name]**  
**[Location]**  
**[Year of Graduation]**

---

**Certifications**

- [Certification Name]  
- [Certification Name]

---

**References**

Available upon request."
3122,"**[Your Name]**

[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]

---

**Professional Summary**

Dynamic and results-driven Agile Delivery Manager with extensive experience in version planning, building, and deployment across Azure and AWS environments. Adept at setting up and optimizing delivery and release processes, leading Scrum events, and managing Scrum artifacts. Proven ability to create strategic roadmaps, resource plans, and project charters while mitigating risks to ensure timely delivery of value. Passionate about contributing to impactful projects and fostering a collaborative team environment.

---

**Core Competencies**

- Agile Delivery Management
- Scrum Events & Artifacts Management
- Roadmap & Resource Planning
- Risk Mitigation & Issue Resolution
- Business Requirements & User Stories
- Pre-Sales Activities & Client Engagement
- Team Leadership & Development
- Process Optimization & Documentation

---

**Professional Experience**

**Agile Delivery Manager**  
[Company Name], [Location]  
[Month, Year] – Present

- Spearhead Agile delivery management, including version planning and deployment to Azure and AWS environments.
- Establish and streamline delivery and release processes from inception.
- Organize and lead Scrum events, ensuring effective management of Scrum artifacts.
- Develop comprehensive roadmaps, resource plans, and project charters to facilitate regular and timely delivery.
- Conduct thorough investigation research and write detailed business requirements and user stories.
- Collaborate with developers, UI/UX teams, and stakeholders to drive project development.
- Engage in pre-sales activities, including client meetings, estimations, and proposal preparation.
- Set up company processes, write role descriptions, and collaborate daily with the CTO.
- Lead teams through daily stand-ups, 1:1 meetings, retrospectives, and task management.
- Foster skills development and create supporting documentation to resolve issues effectively.

---

**Education**

[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Month, Year] – [Month, Year]

---

**Certifications**

- [Certification Name], [Issuing Organization]
- [Certification Name], [Issuing Organization]

---

**Professional Affiliations**

- [Affiliation Name], [Role/Position]

---

**Personal Attributes**

- Enthusiastic about challenges and teamwork.
- Committed to projects with a positive impact, avoiding domains such as betting, gambling, banks, and dating.
- Eager to leverage diverse experiences and continue learning in a supportive environment.

---

**References**

Available upon request."
3123,"Certified Agile Project Manager, Scrum Master Certified

Professional Experience:
- Initiated and developed IT projects from inception
- Explored and penetrated new Western markets
- Recruited and managed developer teams
- Fostered growth in startup environments
- Led projects in medical, business, and educational sectors
- Integrated business analysis into customer relations
- Successfully completed numerous projects in PM, UX, BA, and QA roles
- Managed and led long-term product development
- Oversaw project management for teams exceeding 80 members
- Engaged clients in technology-focused discussions
- Executed change and risk management strategies
- Managed remote teams effectively
- Possess a strong technical background

Skills:
- Agile methodologies: Kanban, DSDM
- Project management tools: Jira, Redmine
- Mobile platforms: iOS, Android
- Team and remote management
- Advanced Business English proficiency
- Business Analysis and Development
- Sales and Account Management
- Scope clarification and prioritization
- Leadership, delegation, and influencing skills
- UI/UX design and prototyping: Axure, Mindmap
- Programming: PHP, Drupal

Preferred Work Environment:
- Informal atmosphere
- Supportive and adequate management
- Product-focused company
- Opportunities for professional growth
- Office location near metro access"
3133,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Dynamic and results-driven professional with 8 years of experience in project management, business analysis, and Scrum mastery within both outsourcing and product environments. Expertise in Agile project management methodologies, including Scrum, XP, and Kanban. Proven track record in product and business analysis, presale solution design, and estimation processes. Skilled in managing multiple development teams and projects, fostering Agile adoption, and enhancing organizational processes.

**Core Competencies**  
- Agile Project Management (Scrum, XP, Kanban)  
- Product and Business Analysis  
- Presale Solution Design and Estimation  
- Team and Project Management  
- Agile Mindset and Practice Adoption  
- Organizational Process Improvement  
- 1:1 Coaching and Group Facilitation  
- Communication and Process Simplification  

**Professional Experience**  

**Project Manager / Business Analyst / Scrum Master**  
[Company Name], [Location]  
[Month, Year] – Present  

- Lead and manage multiple development teams, ranging from 3 to 9 members, across various projects.  
- Facilitate the adoption of Agile practices, including MVP, feedback loops, continuous integration, pair programming, test-driven development, and code reviews.  
- Collaborate with teams and customers to instill an Agile mindset and implement context-appropriate practices.  
- Contribute to organization-wide processes, including presale activities, hiring, onboarding, and feedback mechanisms.  
- Provide 1:1 coaching and facilitate group sessions, leveraging certified coaching skills.  
- Ensure transparency in communications and simplicity in processes to enhance team efficiency and project outcomes.  
- Manage 1-3 simultaneous projects/teams or 1-2 projects/teams with presale involvement.  

**Business Domains**  
- Web  
- E-commerce  
- Gaming  

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]  

**Certifications**  
- Certified Coach  

**Technical Skills**  
- Agile Tools: [List any specific tools you are proficient in, e.g., JIRA, Trello]  
- Development Tools: [List any relevant tools, e.g., Git, Jenkins]  

**References**  
Available upon request."
3134,"**Bitbay.Market**  
*Project Manager*  
01/2018 - 06/2018 | Kharkiv Blockchain Project  

- Developed a suite of free-to-use, multi-platform applications, including the world’s first fully-functional Decentralized Marketplace.
- Delivered MVP two weeks ahead of schedule, resulting in a client investment exceeding $1 million.
- Utilized Agile methodologies: Scrum, Kanban, Lean, XP, and Waterfall.
- Managed PMO activities, including Briefs, Estimation, Project Plans, Reports, and Gantt Charts.
- Oversaw Risks and Resource Management.
- Proficient in Touch Typing.

**Sensorama Lab**  
*Project Manager/Scrum Master*  
07/2018 - 06/2028 | Kiev  

- Implemented agile methodologies and principles across the organization.
- Managed sprint planning, stand-ups, reviews, and retrospectives with team and Product Owner.
- Collaborated with Product Owner to define, document, maintain, and communicate the roadmap.
- Created Briefs, Estimations, Project Plans, and other documentation.
- Translated discussions into detailed user stories, epics, and tasks.
- Managed story writing, prioritization, tracking, and acceptance of the product backlog.
- Oversaw release scope schedule, focusing on regular and timely delivery of value.
- Prepared, maintained, and communicated schedules, documentation, and statuses.
- Ensured product backlog is prioritized, groomed, and refined to avoid ambiguity.
- Worked with management to identify and implement team processes and workflow improvements.
- Defined and refined agile metrics and reporting to communicate team performance.

**Maybe.Works**  
*Project Manager*  
01/2017 - 06/2018 | Kharkiv Outsourcing IT Company  

- Led a team of developers, designers, 3D artists, and QA testers through the project lifecycle using Agile methodologies.
- Acted as the main client contact for all project-related communication, building strong relationships.
- Created and managed schedules, user stories, risk mitigation plans, scope and budget tracking.
- Sourced and managed external partners, ensuring clear transfer of project requirements and timelines.
- Reviewed contracts and authored change orders as necessary."
3135,"Certified SAFe® 5 Agilist

Completed Product Owner Mentoring Program hosted by Pentalog

**Endava, December 2021 — Present**  
*Agile Project Manager*

- **FinTech & Banking Project**  
  - Completed main part of the Product’s Annual Roadmap on time and within budget  
  - Resolved issues with scope creep and managed dependencies with third-party vendors  
  - Created a trustworthy and transparent environment through effective communication, stakeholder management, and reporting  

- **Data Centre to AWS Migration Project**  
  - Developed a roadmap for Discovery and Migration Strategy  
  - Facilitated the Discovery process, including communication planning and workshops  
  - Managed resources, including team ramp-up and onboarding processes  

**Key IVR, March 2020 — November 2021**  
*Technical Project Manager*

- Delivered 15+ projects on time and within budget  
- Possess proficient knowledge of major International Gateways (Barclays EPDQ, WorldPay, Global Payments)  
- Conducted high-level technical reviews of specifications  

**Zeroqode, March 2019 — March 2020**  
*Project / Product Manager*

- Improved Backlog Health Status by introducing DoR & DoD, enhancing estimation accuracy  
- Completed a new landing page for a company product, set up metrics and customer behavior tracking, increasing conversion by 10% and reducing CPA  
- Executed growth-hacking strategies, resulting in a 15% increase in new clients with various subscription plans  
- Engaged in customer development through direct communication and survey creation  

**Enticon.app, December 2018 - February 2019**  
*Project Manager*

- Configured workflow for the first Kanban development team  
- Decomposed technical assignments into estimable tasks  
- Created and managed the onboarding process for new team members  
- Provided reporting for C-Level management  

**EBS Integrator, September 2018 - December 2019**  
*Project Manager*

- Developed a complete project plan for a Fixed Price project, covering scope, time, cost, quality, HR, communication, and RAID management  
- Tracked major project metrics  
- Facilitated and led demo sessions, providing weekly reports to clients  

**GoSocial, February 2018 - September 2018**  
*Project Manager*

- Delivered 2 web projects within budget and time constraints  
- Managed both on-site and outsourced development teams  
- Collaborated with internal departments (Design, SMM) to achieve post-launch goals  "
3136,"Experienced IT professional with over 10 years in web development and project management. Skilled in leading and building successful teams in challenging environments. Proficient in managing diverse projects, including web, data-driven, and mobile initiatives. Strong background in people management and expertise in scrum processes. Proven track record of successfully leading projects with teams ranging from 2 to 24 developers. Specializes in middle-sized projects with the ability to scale and grow. Passionate about working on impactful projects that benefit people globally."
3137,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

**Professional Summary**  
Dynamic and results-driven Agile Project Manager with extensive experience as a Product Owner and Scrum Master. Proven expertise in implementing and maintaining Scrum across multiple teams, with a focus on scope, release, people, risk, quality, and stakeholder management. Demonstrated success in delivering projects across diverse industries, including fintech, health, e-commerce, social networks, and education. Proficient in Scrum, Kanban, Nexus, and SAFe frameworks. Experienced in building and leading a Project Management department, conducting interviews for PM roles, and coordinating design and development teams. Seeking a role in a product company that values collaboration and innovation within a flexible work environment.

**Professional Experience**  

**Agile Project Manager / Product Owner / Scrum Master**  
[Company Name], [Location]  
[Month, Year] – Present  

- Implemented and maintained Scrum methodology across multiple teams, ensuring effective scope, release, people, risk, quality, and stakeholder management.
- Delivered successful projects in fintech, health, e-commerce, social networks, and education industries.
- Utilized Scrum, Kanban, Nexus, and SAFe frameworks to optimize team performance and project outcomes.
- Built and led a Project Management department, enhancing organizational efficiency and project delivery.
- Conducted interviews and selected candidates for Project Management roles, contributing to team growth and capability.
- Coordinated the work of design and development departments to ensure alignment and successful project execution.

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Month, Year] – [Month, Year]

**Certifications**  
- Certified Scrum Master (CSM)  
- Certified Scrum Product Owner (CSPO)  
- [Any other relevant certifications]

**Skills**  
- Agile Project Management  
- Scrum, Kanban, Nexus, SAFe  
- Stakeholder Management  
- Risk and Quality Management  
- Team Leadership and Development  
- Cross-functional Team Coordination  

**References**  
Available upon request."
3138,"Karine [Last Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Project Manager with 3 years of experience specializing in optimizing efficiency and aligning projects with client objectives. Proven track record in collaborating with software development teams and coaching upper management on Scrum and Agile methodologies. Skilled in configuring Jira environments with components and swimlanes to enhance project management processes. Available Monday to Friday in GMT+4 time zone.

**Professional Experience**  

**Project Manager**  
- Minimized wasted effort by focusing on client goals and streamlining project processes.
- Collaborated closely with software development teams to ensure alignment with project objectives.
- Provided coaching to upper management on the implementation of Scrum and Agile principles.
- Defined and optimized Jira environments with components and swimlanes to improve project management for developers.

**Skills**  
- Project Management  
- Scrum and Agile Methodologies  
- Jira Configuration  
- Team Collaboration  
- Coaching and Mentoring  

**Availability**  
- Monday to Friday, GMT+4 time zone  

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

**Certifications**  
[Relevant Certification, if any]  

**References**  
Available upon request."
