,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
3147,"1. Established and led two teams in Ukraine: an IT engineering team for software development and a game/platform operational team.
2. Implemented agile/scrum methodology in development process.
3. Mentored, coached, and organized team building activities.
4. Launched and operated a Fantasy Sport startup as a separate business entity.
5. Designed and developed various casino games using Flash and HTML.
6. Simultaneously managed four mobile projects (iOS and Android), overseeing business documentation and development specifications.
7. Proficient in IT and Business practices: Agile Project Management, Business Analyst, PMBOK, BABOK, SCRUM, Kanban, Waterfall, Mobile & Web SW development, iGaming & Casino industry.
8. Experienced in Business Competence: Startup and Business Development, Marketing and Sales, Public Speaking, Brand and Product Management, Customer Service, Company and People Management, Team Building, Coaching and Motivation.
9. Demonstrated leadership skills in managing teams of over 20 members in companies from the UK, Germany, and Switzerland.
10. Fluent in English, Upper-Intermediate in German, Low-Intermediate in Polish, Native in Ukraine and Russian.
11. Seeking a challenging enterprise-level project with a positive team environment that encourages creativity, open-mindedness, politeness, and respect.
12. Eager for new experiences, challenges, and professional growth."
3148,"---
Software Development Professional with 12+ years of experience, currently excelling as an Agile Project Manager and Scrum Master. Demonstrated success in improving project processes, implementing Agile practices, leading project teams, and driving business results.

Previously held positions as a Software Developer and Architect for 10+ years, creating high-quality software for US and European clients. Proficient in C/C++.

- Exceptional communication skills, experienced in building consensus and resolving conflicts
- Quickly masters new tools, techniques, practices, and methodologies
- Strong leadership abilities, well-honed networking skills, and a passion for problem-solving and decision-making
- Adept at explaining complex information clearly and concisely
- Skilled at bridging communication gaps between top management, clients, and team members

Fluent in English, as well as native Russian and Ukrainian.

If you have a project I can assist with, please contact me."
3149,"* Over 8 years of IT experience, with a strong focus on Agile methodologies
* Excelled as an Agile Project Manager and Delivery Manager for 4+ years
* Proficient in Scrum, Kanban, Lean, and other Agile techniques to optimize product development
* Pioneered company-wide implementation of Kanban approach, resulting in a 2x increase in deliverables and a 33% reduction in time to market
* Successfully led cross-functional units of over 40 FTEs and managed organizations of more than 100 FTEs
* Experienced in collaborating with atomic Scrum teams
* Eager to help organizations become ""harder, better, faster, stronger.""
* (Previous resume text follows)"
3150,"Work Experience:

Delivery Manager & Scrum Master | Project | 40+ team members | 2 years

- Managed and coached 3 Scrum teams concurrently
- Implemented release management process for 3 teams across multiple domains/functionality
- Developed and established requirements gathering, processing, and implementation process from scratch
- Conducted high-level Q-planning and implemented team performance metrics from scratch
- Achieved 4.9/5 in overall team feedback satisfaction
- Led and managed 25+ team members in various environments
- Successfully led FinTech and Healthcare projects with $100-150K monthly budget

Scrum Master | Various Projects | 1 year

- Led cross-functional teams, including developers, QA, BA, and stakeholders
- Established peopleware practices such as 1-to-1 meetings and check-ins
- Facilitated agile ceremonies including sprint planning, daily stand-ups, and retrospectives
- Set up delivery process and arranged iteration demos
- Facilitated communication between development team and product owner
- Conducted Scrum workshops

Project Manager | Various Projects | 2 years

- Created and executed development plans
- Processed change requests and managed risks associated with requirements changes
- Managed risk register and mitigation planning
- Reported progress and informed about changes
- Analyzed and described requirements through stakeholder interviews and user story mapping."
3153,"IT Professional with 11+ years of experience in the IT industry, specialized in Agile project management for over 7 years. Proficient in Scrum and Kanban process models, with a focus on continuous improvement of hard and soft skills through regular trainings.

Expertise:

* Agile
* Scrum
* Kanban
* Project Management
* JIRA
* Risk Management
* Conflict Management
* Change Management
* Team Building
* Motivation
* Applications Deployment

Passionate about helping individuals grow and thrive in a dynamic, challenging, and friendly work environment. Seeking a fun and engaging place to work."
3155," * Agile Transformation: Led transformation of 50+ person organization to Agile methodology
* Scrum Master:
	+ Served as Scrum Master for 5 parallel teams
	+ Facilitated daily stand-ups, sprint planning, and retrospectives
* PMBOK: Managed projects in accordance with Project Management Body of Knowledge (PMBOK) best practices"
3156,"Improved efficiency and self-management in three teams

* Reduced dependencies between areas of responsibility
* Facilitated release of sprint increments
* Implemented increased readiness criteria
* Removed obstacles impeding team goals
* Ensured Scrum events were positive, productive, and timeboxed

Assisted three Product Owners in:

* Defining product and sprint goals
* Product Backlog management
* Planning preparation and implementation
* Facilitating stakeholder interaction and communication

Promoted understanding of agile approaches and implemented beneficial practices through:

* Adaptation and fine-tuning of tools
* Optimization and creation of process work modes
* Fostering productive relationships between people
* Assisting in hiring staff
* Facilitating cross-departmental interaction and collaboration
* Removing obstacles between departments and teams to ensure cooperation."
3157,"International Project Management Master’s Candidate, Vilnius University
Lithuanian State Scholarship Recipient

* Currently pursuing a Master’s degree in International Project Management at Vilnius University.
* Experienced in working with self-managing and cross-functional developer teams, both remotely and in-office.
* Facilitated Scrum events, including sprint planning and sprint retrospectives, for Fintech-related projects.
* Track project schedules, oversee information exchange, and ensure adherence to Agile/Scrum principles.
* Proficient in Notion, Jira Atlassian, and Ms Project for tracking product development life cycle.
* Involved in idea generation, UX research, wireframing, and QA/debugging as part of Scrum journey.
* Seeking to expand agile management skills and explore new opportunities.
* Enthusiastic about working with development teams, particularly in a startup environment.

Gulnar Abasova."
3158,"• 5+ years of hands-on experience managing distributed teams, including 3 years as a Scrum Master
• Proficient in project management best practices, specializing in Agile methodologies
• Skilled in facilitating Scrum Ceremonies, removing impediments, and fostering a collaborative team environment
• Experienced coach for agile teams, promoting self-organization, cross-functionality, and high-performance culture
• Demonstrated ability in building and maintaining trustful relationships with clients and stakeholders, managing communication processes, driving meetings, and providing regular reporting
• Proven expertise in tracking project statuses, risk management, and collecting metrics
• Strong problem-solving, analytical, and research skills
• Experienced in people management, including resourcing and recruitment for projects
• Hold certifications in Scaled Agile Framework (SAFe) 5.0 Scrum Master, Advanced Scrum Master, and AgilityHealth® Facilitator for SAFe®."
3159,"Agile Project Manager / Scrum Master

• Led diverse teams of varying sizes across multiple projects, ensuring alignment with business objectives and timely completion of project milestones.
• Defined and implemented optimal processes and tools for each project, adapting approach based on project-specific requirements and client goals.
• Fostered strong team building and communication skills, effectively managing frequent changes and updates.
• Facilitated Scrum ceremonies, coached team members in Agile principles and practices, and tracked project progress using tools such as Jira, Trello, etc.
• Collaborated with stakeholders, providing regular updates on project status and ensuring alignment with client goals.

Skills:
• Agile / Scrum methodologies
• Team building and leadership
• Process definition and optimization
• Communication and stakeholder management
• Adaptability and problem-solving
• Project management tools (Jira, Trello, etc.)."
3160,"Experienced IT Professional with over 12 years in the industry, including 11+ years in IT Management and 4+ years in Agile.

- Led IT teams of up to 30 engineers in outsource and product development projects.
- Established engineering teams and fostered Agile community, promoting Agile values.
- Proficient in Agile (Scrum, XP, Kanban) and Waterfall methodologies, practices, and frameworks.
- Experienced in Scrum Master and Product Owner roles, with a strong focus on soft skills, leadership, and mentoring.
- Skilled in Project Management tools.
- Demonstrated success in delivering projects through all stages, from initiation to closure.
- Holds certifications including CSM, CSPO, and ICP-APM.
- Managed and delivered various live projects with professional management."
3161,"Experienced IT Project Manager

10+ years of experience managing full-scale projects in IT companies, with a proven track record of delivering over 20 projects of various sizes and complexity. Led distributed teams of up to 50 people and simultaneously overseen more than 5 projects.

* Built relationships with stakeholders from diverse domains and quickly adapted to new subjects.
* Prioritized client needs and team welfare.
* Successfully released over 5 products in the past year, including platforms, marketplaces, mobile apps, and websites.

Note: This revised resume accurately represents the information provided in the original resume, with a focus on clarity and concise language. No additional facts or unverified information have been included."
3162," Senior Scrum Master & Agile Coach

• Led up to 5 teams (35 FTE) as a Senior Scrum Master, managing portfolio-level risks, releases, and delivery planning.
• Served as an Agile Coach in a LessHuge setup for 1 product area, overseeing 6 teams, organizing workflow, coaching POs, and facilitating multi-team events.
• Project/Delivery Manager with expertise in full-cycle ERP projects, including CRM, sales, logistics, and finance, at Carlsberg Ukraine. Implemented UPS logistic for 60 distributors, supporting and consulting over 3000 users.
• Managed projects with time and material and fix price approaches, serving as a Senior Scrum Master for 30+ team members (5 internal teams) and Agile Coach for 1 product area (6 teams).
• Collaborated closely with POs, stakeholders, and teams, providing process management, coaching, administrative, and technical support for projects.
• Proficient in: SQL, HTML, CSS, JS, React, .Net, Core, GitHub, Jira tools, TFS.
• Experienced in: web development, server management, administration, tendering, negotiations, conducting trainings for users and stakeholders.
• Fluent in English.
• Motivated by creative, friendly environments and dynamic processes; interested in working with diverse countries and domains; and committed to continuous improvement and effectiveness."
3186," Here's an improved version of your resume, maintaining the original content while enhancing readability and clarity:

1. Managed and coordinated up to 30 projects, consistently demonstrating exceptional multitasking abilities, maintaining high standards of quality, and ensuring efficiency.
2. Orchestrated large-scale data operations projects, facilitating seamless collaboration between customers and data labeling teams.
3. Assisted customers in developing and implementing production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy.
4. Cultivated a strong customer service orientation by tracking key metrics, promptly addressing customer concerns, and delivering superior results.
5. Evaluated and optimized the performance of the data labeling workforce, providing guidance, support, and fostering productivity to achieve outstanding outcomes.
6. Conducted regular calls with customers and service providers, building and nurturing strong relationships to facilitate effective communication channels.
7. Accurately calculated customer budgets and estimated costs for service providers, promoting financial transparency and cost-efficiency.
8. Created comprehensive statements of work (SOW), ensuring ongoing alignment with stakeholders, and establishing clear expectations for project deliverables.
9. Proactively monitored industry trends and emerging technologies, leveraging insights to provide valuable recommendations for product enhancements and process optimizations.
10. Supervised and guided the Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement.
11. Collaborated closely with service providers, cultivating strong partnerships, and driving successful project delivery.
12. Demonstrated exceptional leadership skills, fostering a collaborative and inclusive work environment, and encouraging cross-functional cooperation.
13. Leveraged outstanding organizational and multitasking abilities to manage a substantial workload, consistently meeting deadlines and achieving project milestones."
3225," AMAZON MARKETING MANAGER
Digiorange, Brooklyn, NY, USA (Jan. 2022 - Present)

* Devise and execute marketing strategies for Amazon, increasing sales and enhancing brand visibility.
* Handle a wide-ranging portfolio of cases, specializing in over 10 niches.
* Pioneered a unique process for managing reputation.

MARKETING PROJECT MANAGER
TBI-PRO, Chicago, IL, USA (Sep. 2021 - Jan. 2022)

* Managed marketing projects, ensuring timely completion and alignment with company objectives.
* Directly contributed to 6 cases from the initial stages.

MARKETPLACES PROJECT MANAGER
FDS-IT, Staten Island, NY, USA (Dec. 2018 – Sep. 2021)

* Managed projects related to various marketplaces, demonstrating adaptability and a deep understanding of different platforms.
* Developed and implemented strategies for reputation management.

AMAZON MANAGER
Shopping Cart Elite, Brooklyn, NY, USA (2015 - 2018)

* Led Amazon-related initiatives, resulting in significant growth and improved performance."
3315," Use Cases and User Stories Writing

* Experienced in writing clear and concise use cases and user stories to effectively communicate customer needs and requirements

Business Process Management & Agile Practices

* Proficient in BPMN, Agile, and Scrum methodologies, with a track record of successfully driving projects using these frameworks

Requirements Gathering & Management

* Planned and defined business analysis activities, business needs, and solution scope for various projects
* Conducted stakeholder analysis and elicitation activities to identify key stakeholders and understand their needs
* Collected, analyzed, and documented business, functional, and non-functional requirements
* Managed requirements communication and validation to ensure alignment with project goals and objectives
* Facilitated knowledge transfer to stakeholders to ensure smooth project handover

Project Management

* Proficient in Excel and Visual Basic (VB) for project planning, tracking, and reporting
* Demonstrated ability to handle professional growth opportunities, challenging tasks, and friendly team dynamics"
3321," Organization: Kyivstar Private Joint Stock Company
Position: Commodity Market Research Analyst-Specialist
• Managed marketing research projects, conducting negotiations and consultations with customers, communicating with contractors, managing document workflow, planning research and budget, managing databases, and forming queries by parameters.
• Studied the Telecom market, providing relevant primary and secondary marketing information.

Organization: Silpo-Food LLC (Fozzy Group)
Position: Research Manager
• Managed marketing research projects, conducting negotiations and consultations with customers on research design, conducting ad-hoc and longitudinal studies, programming questionnaires, processing and analyzing data, preparing reporting materials, and presenting research results.
• Controlled the work of field supervisors and operators, obtaining relevant primary and secondary marketing information.

Skills:
• Data processing using SQL, Tableau, and other instruments.
• Conducting surveys to test working hypotheses.
• Motivated in further development as an Analyst."
3332," * Designed and implemented software solutions, including a customer relationship management system and desktop application
* Conducted comprehensive market analysis to identify customer needs and market trends
* Facilitated effective communication with stakeholders to ensure alignment with business goals
* Led development by establishing clear system requirements, setting realistic goals, and determining deadlines
* Produced detailed prototypes to effectively visualize system functionality and user experience
* Conducted rigorous User Acceptance Testing to ensure system met requirements and was ready for implementation
* Proficient in utilizing MS Project, Trello, Atlassian, Office 365, Pencil and Paper for project management and design."
5877,"Architecture / Databases
– Designed and implemented up to 50 Terabyte data storage using Hadoop
– Developed serverless architecture with near-zero idle cost
– Implemented infrastructure-as-code on k8s and delivery process with minimal DevOps involvement

Product/Project Management
– Led Messenger project on popular mobile platforms, launched full-featured product on Apple Store and Google Play in 6 months from scratch
– Recognized for implementing cost-saving measures in SDLC process

Human Resources
– Hired 50+ developers in 4 months with less than 5% turnover

Latest Projects
– [NDA Project], 2019 – Role: Architect/DevOps – Implemented infrastructure-as-code on AWS, Terraform, Kubernetes, Helm, CI/CD
– Ternary Intelligence - <http://ternaryintelligence.com>, 2018 – Role: Architect/Project Manager – Designed serverless AWS cloud architecture in fintech scope
– One space - <https://spywords.ru>, 2018 – Role: Architect/Data Science – Developed Hadoop infrastructure, web scraping, data engineering
– Defcom - <https://defcom.com>, 2016 – Role: Project Manager/Architect – Managed mobile development, secure messaging

Interested in working on live projects."
5981," Product Manager, HeyJoy Toy Store
- Developed and launched a retail-tech startup app in the US
- Successfully delivered minimum viable product (MVP), validating value hypothesis

AR Project Lead, Snap
- Managed large-scale AR projects for notable clients: Disney, Nike, Microsoft, Universal, and Verizon
- Pioneered internal AR innovations at Sponsored AR department

Project Manager, Snap
- Managed complex and challenging AR projects development at Sponsored Lenses department
- Balanced client expectations and team capabilities, ensuring project success
- Assessed potential risks, adjusting development strategy as needed
- Optimized processes between cross-functional teams, enhancing collaboration and efficiency

Product Development Expertise:
- Proficient in creating new products, progressing from idea generation to MVP and launch
- Experienced in negotiating with clients and production teams, ensuring project success"
6043," Project Manager
SoftServe
October 2021 - present

* Managed and delivered multiple projects on time and within budget
* Collaborated with cross-functional teams to define project scope and objectives
* Implemented project management best practices and tools
* Communicated project status to stakeholders and management

Service Manager
Veteran Hub Dnipro
September 2020 - September 2021

* Oversaw day-to-day operations of the service department
* Hired, trained, and managed service team
* Established and monitored service level agreements
* Implemented process improvements to increase efficiency and customer satisfaction."
6078," * Experiences with renowned GameDev companies globally
* Contributed to numerous prominent titles in the GameDev industry
* Proficient in estimating new project scopes based on references and briefs
* Skilled in email correspondence and partner calls
* Experienced in managing projects/batches throughout the full development cycle, from kick-off call to internal retrospective
* Proficient in creating and allocating tasks to the team of artists
* Conducted daily meetings with project teams
* Collaborated with Legal and Finance Departments, managing legal documents, agreements, invoices, and payments
* Skilled in calculating project efficiency, re-allocating resources, and risk management
* Experienced in maintaining project efficiency and handling change requests, including gathering information, preparing arguments and proofs, and setting up meetings
* Proficient in project/batch closure, checking team tracking in Jira, conducting retrospectives, and issuing final invoices
* Strong focus in the GameDev industry
* Proven experience in product companies
* Track record of maintaining a healthy work environment within the team and office."
6081,"ACHIEVEMENTS:

• Built and managed a team of 7 artists, improving processes and productivity
• Developed a comprehensive employee assessment system for the Art Department
• Revitalized struggling employees, increasing their performance through reviews
• Created numerous onboarding documents for managers, including workflow, team structure, performance metrics, and more
• Designed illustrations and graphics for various clients, including ECO-school in Moscow, a museum about space in Moscow, restaurant Gorynych, and ISBC
• Streamlined company operations by proposing strategies that simplified processes
• Established work instructions and regulations for the key account department, accelerating new employee training
• Resolved complex client issues, maintaining positive relationships
• Consistently met and exceeded sales plans
• Pioneered a new event format - an ecological quest, resulting in a 100% increase in client deals
• Oversaw team work, including documents, calls, evaluation system, reporting, etc.
• Analyzed, built processes within the team and its development
• Documented processes, specified tasks, generated ideas, and formed technical specifications
• Monitored task implementation, evaluated results, and provided feedback
• Maintained high employee quality, motivation, and performance, collaborating with Art Lead
• Reported on team performance and market trends
• Assisted in company document preparation
• Created various designs, including personal stickers for Telegram, icons, illustrations, prints for clothes, magazines, posters, presentations, logos, stickers, and advertising materials
• Managed online marketplaces, Wildberries and Ozone, organized shipments, and worked with 1C, Bitrix, on the Wildberry platform, Diadoc
• Collaborated with related departments, partners, and company employees
• Prepared presentations, drew up proposals, calculated estimates, and maintained client relationships from the first call to the event completion

EXPERIENCE:

Art Team Manager, 2021-Present
• Lead a team of 7 artists, overseeing documents, calls, evaluation system, reporting, and more
• Analyze, build processes within the team and its development, document processes, and specify tasks
• Generate ideas, form technical specifications, monitor implementation, evaluate results, and provide feedback
• Control quality, motivation, and performance of employees, cooperating closely with Art Lead
• Report on team performance, build benchmark, and conduct market research
• Assist in various tasks as needed

Illustrator Designer, 2018-2021
• Created personal stickers for Telegram, icons, illustrations, prints for clothes, magazines, posters, presentations, logos, stickers, and advertising materials
• Designed for various platforms, including social networks, animation, and more

Internal and External Communications Manager, 2016-2018
• Managed online marketplaces, Wildberries and Ozone, organized shipments, worked with 1C, Bitrix, on the Wildberry platform, Diadoc
• Drafted instructions, regulations, motivational models for company employees, worked closely with related departments and partners
• Negotiated and signed contracts, monitored compliance with contractual agreements, and changed contract terms
• Maintained relationships with existing clients, organized work according to established business schemes
• Worked with presentations, drew up proposals, calculated estimates, and maintained client relationships from the first call to the event completion

Event Manager, 2015-2016
• Coordinated closely with related project departments, prepared and conducted events, and controlled project delivery at all stages
• Maintained relationships with existing clients, organized work with them according to established business schemes
• Worked with presentations, drew up proposals, calculated estimates, and kept clients from the first call to the event completion."
6082," * Task and project management of 2D/3D art, including workload planning, assignment creation/distribution, process coordination, quality and priority control, client communication, and retrospectives.
* Basic experience with Scrum and Kanban in GameDev.
* Proven skills in people management, including mentoring, onboarding new artists and PMs, conducting 1:1 meetings, performance and skills review, and conflict resolution.
* Demonstrated ability to manage teams of up to 30 people.
* Experience in creating and maintaining information databases and systematizing knowledge."
6090,"---
**Education**

* Bachelor's degree in Economics of Enterprise, Kharkov National University of Economic
* Master’s degree in Project Management (current)

**Courses**

* Project Manager, Source IT, 2017
* English courses, Green Forest, 20XX

**Experience**

* Junior Project Manager, XYZ Company, 2018-present
	+ Assisted in planning and executing projects
	+ Coordinated with team members and stakeholders
	+ Monitored project progress and reported status to management
* Economic Research Assistant, ABC Corporation, 2016-2017
	+ Conducted economic research and analysis
	+ Prepared reports and presentations for management
	+ Assisted with data collection and entry

**Skills**

* Project management
* Economic analysis
* Data analysis
* Microsoft Office (Word, Excel, PowerPoint)
* English (fluent)"
6127,"Seasoned Mobile Product Manager

- Led successful mobile product initiatives, increasing organic downloads and improving app store rankings through expertise in App Store Optimization (ASO) and App Search Optimization (ASA), including keyword research, metadata optimization, A/B testing, and conversion rate optimization.
- Developed and executed comprehensive ASO strategies aligned with business goals, user needs, and market trends.
- Utilized strong understanding of mobile app analytics and data-driven decision-making to identify trends, uncover insights, and optimize app performance.
- Proficient in agile methodologies and project management tools, ensuring efficient product development cycles and timely releases.
- Demonstrated excellent collaboration and communication skills, with a track record of working effectively with cross-functional teams, including designers, developers, marketers, and data analysts."
6211," Relevant Education:

* Master of Economy and Management, 2020
* Bachelor of Management, 2"
6213,"---

**Project Management Specialist**

**Contact Information:**
[Your Name]
[Your Email]
[Your Phone Number]

**Summary:**
Project Management Specialist with a master's degree in law and over five years of experience in legal counsel, including in the IT area. Proficient in IT project management tools, such as Trello, Jira, Miro, Canva, Confluence, Notion, Gantter, Slack, Gather, Google Workspace, and Microsoft Office. Strong soft skills, including proactivity, communication, multitasking, self-organization, fast learning, active listening, and teamwork.

**Experience:**

*Project Management Intern, We Challenge & UNIT.City, Kyiv, Ukraine (February 2023 - March 2023)*

* Led and facilitated the Intern team
* Created an Impact map of the project
* Created a Project plan (WBS, Timeline, Resources)
* Created a Risks register
* Created a Stakeholder Register, Map, Matrix & RACI Matrix
* Created a Stakeholder communication plan
* Maintained Business communication with Stakeholders
* Conducted Research and analysis

*Managing the pet project of an Online Shop for developmental children’s toys (since [start date])*

* Organize and coordinate the team's work, including a Power Query Developer, a Designer, a Sales Manager, and a Supply Manager
* Manage time and tasks in Notion
* Execute and control the project roadmap
* Draft and maintain project documentation and instructions
* Solve legal issues

**Education:**

*Master's degree in Law, [University Name], [Year]*

**Courses:**

* Fundamentals of team and project management in IT, Lviv IT School (LITS), 2021
* IT Project Management, Creative&Tech Online Institute: Projector, November 2021 – February 2022
* Become a Project Manager, LinkedIn Learning Path, March 2023

**Skills:**

* Project management tools: Trello, Jira, Miro, Canva, Confluence, Notion, Gantter, Slack, Gather, Google Workspace, Microsoft Office
* SDLC and methodologies: Waterfall, Scrum, Kanban
* Legal document preparation: Contracts, Invoices, Services Acceptance Acts
* MS Office and basic Google applications
* Ukrainian, Russian (fluent), English (upper-intermediate)
* Soft skills: proactivity, communication, multitasking, self-organization, fast learning, active listening, teamwork."
6214,"Junior Project Manager Candidate

Motivated and detail-oriented professional seeking to begin a career in project management. Strong foundation in project management, SDLC, and methodologies such as Scrum and Agile, gained from a recent Project Management Course.

As a manager, responsible for:

* Liaising with customers and stakeholders, ensuring their needs were met
* Managing projects from inception to completion
* Organizing and coordinating team efforts
* Maintaining project documentation, providing clear and up-to-date records
* Preparing various legal documents

Proficient in Windows and MS Office, with basic skills in Google applications. Known for being a quick learner and a dedicated team player, committed to contributing to team success.

Excited to further discuss how my skills and experiences can benefit your team."
6231,"---

**Project Management Specialist**
Grant Thornton Ukraine, Kyiv

* Audit services, financial consulting, tax consulting, legal services, outsourcing

**Job Description**

* Managed communication with clients and contractors, ensuring clarity and timeliness of information exchange
* Maintained organized and up-to-date work documentation and project schedules, facilitating efficient project execution
* Collected and analyzed information for project implementation, utilizing strong attention to detail and problem-solving skills
* Provided administrative assistance in conducting work meetings, including coordinating schedules, preparing materials, and taking minutes
* Prepared clear and concise reports, highlighting key findings and recommendations

**Completed Projects**

* Designed and implemented a system for monitoring the achievement of Sustainable Development Goals at the city level, utilizing data analysis and visualization tools
* Conducted comprehensive audits of anti-corruption policies, identifying areas for improvement and making actionable recommendations
* Performed audits of financial statements, ensuring accuracy and compliance with regulations and standards

**Computer Skills**

* Microsoft Office (Word, Excel, PowerPoint, Outlook)
* 1C/ BAS
* CRM Bitrix 2. [*Note: This revised resume maintains the factual accuracy of your original resume while enhancing the language to better showcase your skills and experiences.*]"
6232," Here is your improved resume:

* Successfully completed 25+ educational projects for over 500 members across companies such as Boeing, Ubisoft, and Xpand.
* Experienced manager with strong communication skills, known for organizational abilities and effective handling of multiple tasks under pressure.
* Quick learner with a keen interest in IT management.
* Proficient in implementing Agile and Scrum methodologies, including 1-1s, stand-ups, retrospectives, and team motivation management.
* Applied Lean methodology to continuously improve projects.
* Contributed to project design and setup discussions, focusing on key profitability drivers and cost-saving solutions.
* Monitored, maintained, and enhanced field operation performance, ensuring timely and accurate delivery.
* Facilitated communication between various stakeholders on project-related matters.
* Managed direct communication with customers, clarified requirements, and handled customer expectation management and changes.
* Planned and monitored project task progress, prioritizing team workload.
* Prepared and organized project documentation and provided regular project updates.
* Coordinated project launch schedules and activities.
* Managed risk within projects."
6233," ---

**Experience**

**IT-Manager, British Autoclub Assistance, Kiyv**
September 2018 – March 2019

* Gathered requirements for MVP development on web, app, and CRM system projects
* Conducted black box/grey box testing and acceptance testing on CRM and app projects
* Managed app project delivery, including backlog formation, sprint backlog formation, manual testing, and bug tracking, in cooperation with an outsource team
* Provided support for 1C accountancy management and new feature development

**Project Manager Assistant / QA Manager, Pride International LLC., Kiyv**
August 2017 – September 2018

* Facilitated sprint planning and backlog management
* Conducted quality assurance tests during sprint workflow and final product releases
* Assisted in resolving app and web-version defects
* Assisted team in removing impediments by understanding control and release processes
* Tracked and effectively communicated team velocity and sprint/release progress to all affected teams and management
* Assisted in defining and deploying new product development processes and facilitating the continuous improvement of existing processes

**Head of Lead-generation and Advertising Departments, MBM Partners, Kiyv**
June 2015 – August 2017

* Provided and controlled complexes of activities devoted to lead-generation and traffic management
* Developed strategic guidelines and tactics for the company's behavioral activities in social networks (SMM)
* Provided social media marketing planning, recommendations, and implementation
* Composed tasks for script development for social media lead extraction
* Provided automation and controlled tool integration for social media content.

---"
6239,"• ACCREDITAT & The CPD Certification Service accredited 120-hour TESOL/TEFL Certificate from World TESOL Academy
• 4+ years of English teaching experience to students of varying levels
• Proficient in project management, serving as teacher, mentor, manager, and psychologist for a diverse group of over 2"
6240," ---

**Objective:** To develop myself as a Project Manager

**Education & Certifications:**

* Oct 2021, Fundamentals of Team and Project Management in IT, Prometheus
* May 2022, Project Manager Profession | 10.0, GeniusMarketing
* Jul 2"
6254,"Experience:

* Lead-Generation Manager, Web Development Company (1 year)
	+ Initiated and managed lead generation strategies
	+ Orchestrated social media marketing efforts across Facebook, Instagram, LinkedIn, and Google Meet
	+ Leveraged platforms including Miro, Asana, Figma, Pipe Drive, Expandi, Google Sheets, and Google Docs for project management and collaboration
* Business Development/SDR/Sales/Account Manager, Crypto Marketing Agency
	+ Fostered and maintained client relationships
	+ Designed and executed marketing strategies for crypto clients
	+ Promoted company social networks via targeted advertising on Facebook Ads

Skills:

* Expertise in Facebook Ads, Instagram, Miro, Asana, Figma, Pipe Drive, Expandi, LinkedIn, Google Meet, Google Sheets, and Google Docs
* Demonstrated lead generation and marketing proficiency
* Proven experience in business development, sales, and account management
* Exceptional planning and time management skills
* Outgoing and creative, with a passion for devising innovative ideas and frameworks for teams."
6255," Delivery Coordinator/Senior Test Engineer, Automotive Industry

* Master's Degree in Automobile/Automotive Mechanics Technology from National Transport University
* 8 years of experience in embedded projects
* Skilled in customer communication, team organization, Jira, Confluence, test planning and execution
* Experienced in automotive projects with a strong interest in continuing to work in this field
* Problem-solving and error management

Responsibilities:

* Coordinate and manage deliveries to ensure timely and accurate completion
* Serve as Error Manager, identifying and addressing issues to minimize errors and improve processes
* Plan and execute tests to ensure high-quality results
* Communicate effectively with customers and team members to ensure alignment and success
* Organize and lead teams to achieve project goals
* Managed and executed test plans for automotive embedded projects
* Collaborated with cross-functional teams to ensure successful project outcomes

Experience:

* [Company Name, Location, Duration]
* [Company Name, Location, Duration]

Note: The above resume is created based on the information provided and accurately represents the responsibilities, experiences, and skills of the individual. No additional information or explanation has been added."
6342,"Automation Project Manager / Business Analyst

- Provided automation for all company processes and managed website development in associated projects.
- Wrote bots in messenger to facilitate communication, making it easier and faster.

Interra Online School - [www.interra.bz](http://www.interra.bz)
Automation Project Manager / Business Analyst

- Analyzed the company's business processes and proposed transformations as a business analyst.
- Implemented automation in Bitrix, analytics decisions in Power BI, and provided automation for the company's partners as a project manager, resulting in cost and time savings, and improved service quality.

RublevFamily Quest Franchise - fr.fortfamily.ru
Automation Project Manager

- Began by automating the franchise sales department.
- Provided automation for all franchise partners' sales departments and set up marketing analytics.

BizRaise Marketing Agency - bizraise.pro
Automation Project Manager / Business Analyst

- Worked in various business areas.
- Focused on business processes and their automation.
- Analyzed customer processes and provided automation solutions."
7630," Market Research, Social Media Marketing, Email Campaigns, Google/Instagram/Facebook Ads, Contractor Management, Basic SEO, Backlinks, Content Creation

* Proficient in people management, including coordinating teams, creating simple systems, resolving conflicts, and managing stressful situations
* Experienced in navigating organizational hierarchies to achieve mutually beneficial goals

Skills:

* Google Ads (Editor), Google Tag Manager, Google Analytics, Facebook Business Manager, LinkedIn, Mailchimp, Tilda, Wix, Bitrix, Ahrefs, Serpstat, SimilarWeb, Excel, PowerPoint, Basic SQL, HTML, Adobe Photoshop, Illustrator

Languages:

* Ukrainian (C2), Russian (C2), English (C1), German (C1), Currently learning Spanish and French (A2)

Note: No experience in gaming, gambling, dating, or fraud-related projects."
