,Modified_gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelgpt-4o
2766,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dynamic digital marketing expert with 8+ years in performance marketing and ad operations. Specializes in executing large-scale marketing campaigns and boosting revenue across international markets. Skilled collaborator with top firms like Ubisoft, Sony, Nintendo, Samsung, and Apple.

**Professional Experience**  

**[Your Job Title]**  
**[Your Company Name]**  
**[City, State]**  
**[Month, Year] – Present**  
- Spearheaded multi-million-dollar marketing initiatives, prioritizing precision and optimization.  
- Enhanced revenue by 20% in CEE regions by implementing advanced targeting mechanisms.  
- Initiated and oversaw the creation of a rich media development platform to broaden advertising strategies.  
- Elevated ad unit visibility by 40% to address banner blindness challenges.  

**[Previous Job Title]**  
**[Previous Company Name]**  
**[City, State]**  
**[Month, Year] – [Month, Year]**  
- [List relevant responsibilities and achievements]  

**Skills**  
- Expertise in Digital Marketing  
- Specialization in Performance Marketing  
- Proficient in Ad Operations  
- Strategic Campaign Management  
- Proven Revenue Enhancement  
- Yield Optimization Techniques  
- Advanced Targeting Solutions  
- Rich Media Development and Implementation  

**Education**  
**[Your Degree]**  
**[Your University]**  
**[City, State]**  
**[Year of Graduation]**  

**Certifications**  
- [Relevant Certification]  
- [Relevant Certification]  

**References**  
Available upon request."
2793,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Dynamic professional seeking a position utilizing expertise in advertising and project management, with a strong emphasis on collaboration and communication.

---

**Education**  
2022 - Courses in Advertising - Hillel School  
Computer Technology Education  

---

**Work Experience**  

**Model**  
2022 - Present  

**Art Director/Stage Manager**  
Synergy Group  
2018 - 2021  
- Led and managed creative projects ensuring high-quality outcomes.  
- Oversaw team collaborations, allocating tasks to designers, content writers, and freelancers effectively.  
- Conducted comprehensive product and competitor research to enhance advertising strategies.  

**Disc Jockey**  
2018 - Present  

---

**Skills**  
- Expertise in advertising platforms: Google Ads, Facebook Ads, Mytarget, Taboola, Capterra, LinkedIn Ads for EU and USA markets.  
- Competent in analyzing ad performance, assessing competitor strategies, and generating detailed performance reports and media plans.  
- Proficient in keyword planning, search campaign optimization, and utilization of ads extensions and search terms.  
- Strong analytical skills for strategy implementation and performance enhancement.  
- Excellent communication skills for productive partner meetings and project discussions.  
- Effective team player with superior organizational skills and dedication to meeting deadlines.  
- Languages: English, Ukrainian, Russian.  

---

**Interests**  
- Engaging with challenging tasks and cultivating a positive work environment in online settings."
2810,"SUPPORT SPECIALIST (FINANCE)  
NDA (GAMBLING)  
2021 - 02.2023  
- Provided technical support for financial issues.  
- Prepared financial statements.  

PROJECT MANAGER  
COWBOY ART (ADVERTISING AND PR SERVICES)  
- Analyzed the advertising market in Ukraine and globally.  
- Served as a brand ambassador.  
- Ensured customer protection.  
- Prepared and analyzed profit reports.  
- Developed proposals.  
- Oversaw project management from initiation to implementation.  

PROJECT MANAGER  
SICORE (ADVERTISING AND PR SERVICES)  
04.2018 - 02.2020  
- Researched the outdoor advertising market.  
- Met planned sales targets.  
- Identified and acquired new customers.  
- Led meetings, presentations, and negotiations.  
- Coordinated with other departments within the organization."
2824,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Dynamic Affiliate Manager with over 7 years of experience in spearheading and sustaining affiliate programs across diverse niche markets. Recognized for driving revenue growth through strategic affiliate recruitment and effective management. Solid expertise in account management within advertising networks, collaborating with advertisers and affiliates to optimize campaign performance.

**Experience**  

**Affiliate Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Spearheaded the launch of multiple affiliate programs from inception across various niche markets.  
- Led a small team to ensure quality management of ongoing affiliate programs and the successful launch of new ones.  
- Provided personalized consultation and assessment, ensuring comprehensive affiliate program management.  
- Recruited and managed top affiliates, significantly driving revenue and enhancing results.  
- Proficient with diverse affiliate platforms, including third-party networks and in-house programs.

**Marketing Analyst**  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Conducted in-depth market research through surveys and forms to gather essential data insights.  
- Performed competitor analysis to guide strategic marketing initiatives.  
- Coordinated marketing communications, engaging customers via webinars and email campaigns.  
- Collaborated with Brand and Project Management teams on key initiatives.  
- Participated in partner programs and advanced company websites through SEO, PPC, and email marketing tactics.  
- Crafted marketing materials and enhanced company websites for improved user engagement.  
- Implemented A/B tests to optimize marketing strategies.

**Affiliate / Account Manager**  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Sourced new traffic channels and initiated partnership projects to expand reach.  
- Analyzed and reported trends in affiliate campaigns, maintaining and refining existing projects.  
- Managed daily communications with stakeholders, ensuring smooth campaign delivery.  
- Composed professional letters, proposals, and documents for internal and external stakeholders.  
- Coordinated benefits in line with signed contracts and agreements.  
- Developed compelling slogans, banners, creatives, and landing pages for new initiatives.  
- Executed B2B activities to cultivate new partnerships and boost brand visibility via email marketing.  
- Established and managed corporate social media channels, enhancing engagement and driving website traffic.

**Project Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Acquired a Project Management course completion certificate from Laba and an EADL diploma.  
- Oversaw various IT projects over a decade, typically managing 2-3 subordinates per project.  
- Seeking to leverage project management expertise in new roles, while supporting ongoing affiliate and general marketing efforts.

**Skills**  
- Affiliate Program Management  
- Account Management  
- Data Analysis  
- Marketing Communications  
- SEO and PPC  
- A/B Testing  
- B2B Marketing  
- Social Media Management  
- Project Management  

**Education**  
EADL Diploma in Project Management  
Laba  
[Month, Year]  

[Your Degree]  
[Your University]  
[City, State]  
[Month, Year]  "
3002,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Objective**  
Dynamic support agent with a strong background in order checking and exceptional customer service, aspiring to leverage skills in a managerial role for career advancement and diverse experiences.

**Experience**  

**Support Agent**  
[Company Name]  
[City, State]  
[Month, Year] – Present  
- Managed order verification and responded to customer inquiries via calls and chats.  
- Enhanced operational efficiency by organizing and streamlining workflows.  
- Provided mentorship to new team members, offering guidance and support for effective integration.  
- Developed and executed strategies for service enhancement.

**Skills**  
- Outstanding customer service  
- Mentorship and team training  
- Process organization and optimization  
- Strong adaptability

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**References**  
Available upon request."
3021,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Objective**  
Seeking a position as an Affiliate Manager or Project Manager in a global organization.

**Professional Experience**  

**Head of Project**  
[Previous Company Name]  
2020 - 2021  
- Successfully maintained project growth without traditional outdoor advertising amidst pandemic restrictions, driving an increase in visitors.  
- Led an IT & Cyber Security working group to achieve “committee” status within a year.  

**Business Development Manager**  
The German-Ukrainian Chamber of Industry and Commerce  
2019 - 2020  
- Developed and executed complex projects from inception to completion.  
- Leveraged over 4 years of management expertise focusing on results and meeting strict deadlines.  
- Curated content and orchestrated both online and offline events.  
- Directed teams of up to 8 members effectively.  
- Orchestrated coordination among working groups and communities.  
- Cultivated partnerships with local and international entities.  

**Skills**  
- Project Management  
- Business Development  
- Team Leadership  
- Event Organization  
- Relationship Building  
- IT & Cyber Security Coordination"
3093,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven IT professional with nine years of experience, specializing in startups including mobile apps, B2B, and SaaS applications. Expertise in leading transformation in scale-up environments during hyper-growth periods. An adept manager, coach, and mentor dedicated to fostering team development and enhancing business value.

**Experience**  

**[Your Current Job Title]**  
[Your Current Company] – [City, State]  
[Month, Year] – Present  
- Spearhead teams through Agile and Lean transformations, boosting performance and delivering value.  
- Nurture a growth-centric environment for team members.  
- Communicate effectively for informed decision-making through data evaluation.  
- Cultivate robust relationships with team members and stakeholders for enhanced collaboration.  
- Implement Jira, Confluence, GitHub, and Code Climate to streamline processes and amplify improvements.  

**[Previous Job Title]**  
[Previous Company] – [City, State]  
[Month, Year] – [Month, Year]  
- Partnered with diverse teams, including internal and outsourced members, to fulfill project objectives.  
- Facilitated Agile methodologies for improving project outcomes and team productivity.  
- Coached and mentored team members for skill enhancement and professional development.  

**Education**  
[Your Degree]  
[Your University] – [City, State]  
[Year of Graduation]  

**Skills**  
- Agile and Lean methodologies  
- Leadership and team coaching  
- Effective communication  
- Data-driven decision-making  
- Relationship building  
- Proficient with project management tools (Jira, Confluence, GitHub, Code Climate)  

**Certifications**  
[List any relevant certifications]"
3105,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Results-driven professional with over 10 years of experience in management and technology roles within IT outsourcing and outstaffing. Proven track record in establishing and improving PMOs, delivery management for teams of 50+ employees, pre-sales, risk management, budgeting, and cost-controlling. Expertise in process improvements, quality management, leadership, people management, Lean Agile methodologies, and rolling wave planning. 

**Core Competencies**  
- PMO Establishment and Improvement  
- Delivery Management  
- Pre-sales and Client Relations  
- Risk Management  
- Budgeting and Cost Controlling  
- Process Improvements  
- Quality Management  
- Leadership and People Management  
- Lean Agile Methodologies  
- Rolling Wave Planning  

**Professional Experience**  

[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Enhanced PMO processes to boost project delivery and compliance.  
- Directed delivery for a team of over 50 employees, ensuring high-quality outcomes and customer satisfaction.  
- Spearheaded pre-sales efforts, working closely with clients domestically and internationally.  
- Implemented strategies to effectively manage project risks, ensuring successful outcomes.  
- Managed budgeting and cost-control efforts, achieving cost savings while improving delivery timelines.  
- Championed process improvements that increased quality and employee morale.  
- Developed and executed program vision from inception to completion, managing complex milestones and adapting to changing priorities.  
- Led international, cross-functional engineering teams in delivering strategic initiatives to enhance systems and processes.  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Additional Information**  
- Willingness to travel for client engagements and project needs.  "
3113,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven IT professional with over 10 years of experience in project management, product ownership, and agile coaching. Expertise in leading web and mobile projects across healthcare, education, social media, and insurance sectors. Strong background in both traditional and agile methodologies, focusing on delivering high-quality products and fostering team collaboration.

**Certifications**  
- Project Management Professional (PMP) - PMI  
- Certified Scrum Product Owner (CSPO) - ScrumAlliance  
- Certified Scrum Master (CSM) - ScrumAlliance  
- SAFe Advanced Scrum Master (SASM)  
- Kanban Management Professional (KMP1) - Kanban University  
- Kanban Maturity Model Course - Kanban University  
- Kanban Coaching Practices Course - Kanban University  
- Certified Agile Coach (ICP-ACC) - ICAgile  
- Certified Trainer - ICAgile  
- Registered Product Owner at Scale (RPOAS) - Scrum at Scale  
- Registered Scrum at Scale Fundamentals (RSASF) - Scrum at Scale  
- Facilitator, Member of International Association of Facilitators (IAF)  

**Professional Experience**  
[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Lead and manage multiple web and mobile projects, ensuring alignment with business goals and stakeholder expectations.  
- Collaborate with cross-functional teams to define product vision, roadmap, and growth opportunities.  
- Facilitate agile ceremonies and coaching sessions to enhance team performance and adherence to agile principles.  
- Utilize various project management tools to track progress, manage resources, and communicate effectively with stakeholders.  

[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Engaged in business analysis to gather requirements and translate them into actionable project plans.  
- Implemented agile methodologies to improve project delivery timelines and team collaboration.  
- Conducted training sessions for team members on agile practices and tools, fostering a culture of continuous improvement.  

**Technical Skills**  
- Methodologies: RUP, Waterfall, Agile  
- Tools: Miro, Microsoft Power BI, Postman, Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind, Balsamiq Mockups, draw.io  
- Languages: SQL, BPMN, UML (base level)  
- Microsoft Office Suite: MS Project, Word, Excel, PowerPoint, Outlook  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Languages**  
- English: Upper-Intermediate  "
3118,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Objective**  
Committed professional with expertise in project management and front-end development, eager to apply skills in a dynamic new position.

**Education**  
Warsaw University of Technology (WUT)  
- Study Grant Recipient  
- Faculty of Computer Science  
- Duration: 1 year and 6 months  
- Instruction Language: English  

**Professional Experience**  

**Tech Lead Project Manager**  
[Company Name]  
[Location]  
[Month, Year] – Present (1 year and 3 months)  
- Spearheaded project management efforts, ensuring timely and successful project completion.  
- Functioned as the Single Point of Contact for stakeholders, promoting effective communication and project coherence.  

**Project Manager**  
[Company Name]  
[Location]  
[Month, Year] – [Month, Year] (1 year)  
- Oversaw project schedules, resources, and stakeholder expectations.  
- Formulated project plans and maintained adherence to project objectives.  

**Front-end Developer**  
[Company Name]  
[Location]  
[Month, Year] – [Month, Year] (4 months)  
- Played a key role in the development of a major website listed in the Fortune TOP 500.  
- Worked with USA stakeholders to successfully launch 8 new domains, surpassing initial project expectations.  

**Conferences and Presentations**  
- Speaker at 3 annual conferences, delivering presentations on:  
  - Project Management  
  - Planning and Approval Processes  
  - Customer Insight  
  - Fostering a Positive Team Environment  
  - Translating Customer Needs into Tangible Projects  

**Skills**  
- Project Management  
- Front-end Development  
- Team Leadership  
- Stakeholder Communication  
- Customer Relationship Management  

**References**  
Available upon request.  "
3120,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Experienced project manager with a strong track record in delivering time and material projects and fixed-price contracts. Expertise in enterprise, e-commerce, financial development, and big data projects. Skilled in risk management, time management, cost management, and scheduling. Known for strong leadership, communication, and negotiation skills. Proficient with Agile frameworks like Scrum and Kanban.

**Core Competencies**  
- Project Management  
- Risk Management  
- Time Management  
- Cost Management  
- Scheduling  
- Leadership  
- Communication  
- Negotiation  
- Agile/Scrum/Kanban  

**Technical Skills**  
- Jira  
- Confluence  
- Trello  
- Redmine  
- VSTS  
- Salesforce  
- Kimble  

**Professional Experience**  
[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Oversaw time and material projects and fixed-price contracts, ensuring budget and timeline adherence.  
- Directed enterprise, e-commerce, and financial development projects, focusing on big data solutions.  
- Implemented strategies to mitigate project risks, improving project outcomes.  
- Maintained project schedules for timely deliverable completion.  
- Enhanced team performance through effective stakeholder communication and collaboration.  
- Negotiated favorable project terms and conditions for stakeholders.  
- Enhanced project processes and efficiency using Agile methodologies such as Scrum and Kanban.  

[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- [Responsibilities and achievements relevant to your role]  
- [Responsibilities and achievements relevant to your role]  
- [Responsibilities and achievements relevant to your role]  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Certifications**  
- [Relevant Certification]  
- [Relevant Certification]  

**References**  
Available upon request."
3122,"Agile Delivery Manager

**Core Competencies:**
- Agile Delivery Management: Expertise in version planning, leveraging Jenkins and GitHub Actions for version control, and deploying projects to Azure and AWS environments for both development and production.
- Process Optimization: Proven ability to establish and streamline delivery and release processes from the ground up.
- Scrum Leadership: Skilled in organizing and leading Scrum events and effectively managing Scrum artifacts.
- Strategic Planning: Experienced in creating roadmaps, resource plans, project charters, and reports, with a focus on mitigating risks and ensuring regular and timely delivery of value.
- Business Analysis: Proficient in writing business requirements, user and job stories, and conducting investigative research to gather critical project information.

**Collaboration & Development:**
- Cross-Functional Collaboration: Successfully partnered with developers, UI/UX teams, and stakeholders to drive project development.
- Pre-Sales Expertise: Participated in pre-sales activities, conducted client meetings, and prepared comprehensive estimations and proposals.
- Process Development: Played a key role in establishing company processes, writing role descriptions, and interviewing stakeholders, working closely with the CTO.

**Team Leadership:**
- Leadership & Mentorship: Guided teams through daily stand-ups, 1:1 meetings, retrospectives, and task management, while fostering skills development and resolving issues.
- Continuous Improvement: Demonstrated ability to create supporting documentation and embrace challenges, with a strong belief in the potential of a great team to achieve anything.

**Personal Values:**
- Aligned Projects: Committed to contributing to meaningful projects, with a preference to avoid certain domains such as betting, gambling, banking, and dating.
- Growth Mindset: Actively seeking opportunities where diverse experiences can drive results, and where learning and self-development are prioritized."
3123,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Certified Agile Project Manager and Scrum Master with extensive experience leading IT projects from inception to completion. Proven track record in expanding into Western markets and managing development teams. Expertise in conducting projects across medical, business, and educational sectors, with strong business analysis and customer relations skills. Demonstrated ability to manage large-scale projects with teams of over 80 members, ensuring successful delivery and client engagement.

---

**PROFESSIONAL EXPERIENCE**  

**[Your Job Title]**  
[Your Company Name] - [City, State]  
[Month, Year] – Present  
- Lead the creation and management of IT projects, aligning them with business goals and client needs.  
- Explore new Western markets to expand business opportunities.  
- Hire and manage development teams, fostering collaboration and productivity.  
- Conduct projects in medical, business, and educational sectors, ensuring high-quality outcomes.  
- Implement business analysis stages to enhance customer relations and project success.  
- Completed dozens of projects in roles including Project Manager, UX, Business Analyst, and QA.  
- Manage long-term product development, ensuring continuous improvement and client satisfaction.  
- Engage with clients in technology discussions to align project objectives with their needs.  
- Oversee change and risk management processes to mitigate challenges.  
- Manage remote teams effectively, ensuring productivity and communication across locations.  

---

**SKILLS**  
- Agile Methodologies: Certified Agile Project Manager, Certified Scrum Master, Kanban, DSDM  
- Project Management Tools: Jira, Redmine  
- Technical Skills: iOS, Android, PhP, Drupal  
- Business Skills: Advanced Business English, Business Analysis, Sales & Account Management  
- Project Management: Scope clarification and prioritization, Change/Risk management, Remote management  
- Leadership: Influencing, Leading, Delegating abilities  
- Design Tools: Prototype, Axure, Mindmap  
- Business Development  

---

**EDUCATION**  
[Your Degree]  
[Your University] - [City, State]  
[Month, Year]  

---

**ADDITIONAL INFORMATION**  
- Comfortable working in informal settings with effective management.  
- Experience in product companies with a focus on professional growth.  
- Office location conveniently near metro."
3133,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven professional with 8 years of experience in project management, business analysis, and Scrum mastery within outsourcing and product environments. Proven ability to lead teams and manage multiple projects while fostering an Agile mindset.

**Core Competencies**  
- Agile Project Management (Scrum, XP, Kanban)  
- Business Analysis and Product Management  
- Presale Activities (Solution Design and Estimation)  
- Team Management (3-9 members across multiple projects)  
- Agile Adoption and Coaching (MVP, Feedback Loops, CI, PP, TDD, CR)  
- Organizational Process Improvement (Presale, Hiring, Onboarding, Feedback)  
- 1:1 Coaching and Group Facilitation (Certified Coach)  

**Business Domains**  
- Web  
- E-commerce  
- Gaming  

**Professional Experience**  

**[Your Job Title]**  
**[Your Company Name]**  
**[City, State]**  
**[Month, Year] – Present**  
- Lead Agile project management initiatives, ensuring effective implementation of Scrum, XP, and Kanban methodologies.  
- Collaborate with cross-functional teams to design solutions and estimate project timelines during the presale process.  
- Manage multiple development teams, overseeing project delivery and maintaining high standards of quality.  
- Facilitate the adoption of Agile practices among teams and clients, promoting an Agile mindset and context-appropriate methodologies.  
- Contribute to organization-wide processes, enhancing efficiency in presale, hiring, onboarding, and feedback mechanisms.  
- Provide coaching and facilitation to individuals and groups, leveraging certified coaching skills to drive team performance.  

**[Your Job Title]**  
**[Your Previous Company Name]**  
**[City, State]**  
**[Month, Year] – [Month, Year]**  
- Supported Agile project management efforts, focusing on delivering value through iterative development and continuous feedback.  
- Engaged in presale activities, collaborating with stakeholders to design solutions and provide accurate estimations.  
- Managed project teams, ensuring alignment with project goals and fostering a collaborative work environment.  
- Assisted in the implementation of Agile practices, helping teams to embrace an Agile mindset and improve their processes.  
- Played a key role in refining organizational processes related to hiring, onboarding, and feedback to enhance overall efficiency.  

**Education**  
**[Your Degree]**  
**[Your University]**  
**[City, State]**  
**[Year of Graduation]**  

**Certifications**  
- Certified Agile Coach  
- [Any other relevant certifications]  

**References**  
Available upon request.  "
3134,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**PROFESSIONAL EXPERIENCE**  

**Bitbay.Market**  
*Project Manager*  
01/2018 - 06/2018 | Kharkiv  
- Contributed to free-to-use, multi-platform applications, including a fully-functional Decentralized Marketplace.  
- Delivered MVP two weeks early, facilitating a post-MVP investment of over $1 million.  
- Utilized Agile methodologies: Scrum, Kanban, Lean, XP, and Waterfall.  
- Managed project management office activities including briefs, estimation, planning, and reporting.  
- Oversaw risk and resource management.  
- Demonstrated strong touch typing skills.  

**Sensorama Lab**  
*Project Manager/Scrum Master*  
07/2018 - 06/2028 | Kiev  
- Applies agile methodologies to manage sprint planning, stand-ups, reviews, and retrospectives.  
- Collaborated with the Product Owner to define and communicate the roadmap across the organization.  
- Created project documentation, including briefs, estimations, and plans.  
- Translated discussions into user stories, epics, and tasks for the product backlog.  
- Focused on delivering value on a regular schedule while maintaining documentation and status updates.  
- Prioritized and refined the product backlog to avoid specification ambiguity.  
- Worked with leadership to implement team workflow improvements.  
- Defined agile metrics and communicated team performance.  

**Maybe.Works**  
*Project Manager*  
01/2017 - 06/2018 | Kharkiv  
- Led a multi-disciplinary team through the project lifecycle using Agile methodologies.  
- Served as the main client contact, building strong relationships for project communication.  
- Managed schedules, user stories, risk plans, scope and budget tracking to meet milestones.  
- Coordinated with external partners, managing requirements and progress for external teams.  
- Reviewed contracts and authored change orders as necessary.  

---

**SKILLS**  
- Agile Methodologies: Scrum, Kanban, Lean, XP  
- Waterfall  
- Project Management Office Activities  
- Project Planning and Management  
- Risk and Resource Management  
- Documentation and Reporting  
- Touch Typing  
"
3135,"Certified SAFe® 5 Agilist

Completed Product Owner Mentoring Program hosted by Pentalog  
Endava, December 2021 — Present  

**Agile Project Manager**  

**FinTech & Banking Project**  
- Delivered the primary segment of the annual product roadmap punctually and within budget constraints.  
- Mitigated scope creep and adeptly managed dependencies with third-party vendors.  
- Cultivated a reliable and transparent environment through effective communication and stakeholder management.  

**Data Centre to AWS Migration Project**  
- Developed a comprehensive roadmap for the Discovery and Migration Strategy.  
- Facilitated the Discovery phase, including planning for communication and workshops.  
- Oversaw resource management, team ramp-up, and onboarding processes.  

**Key IVR, March 2020 — November 2021**  

**Technical Project Manager**  
- Successfully delivered over 15 projects on time and within budget.  
- Demonstrated expert knowledge of key International Gateways (Barclays EPDQ, WorldPay, Global Payments).  
- Conducted high-level technical specifications reviews.  

**Zeroqode, March 2019 — March 2020**  

**Project / Product Manager**  
- Enhanced backlog health by establishing Definition of Ready (DoR) and Definition of Done (DoD), improving estimation accuracy.  
- Developed a new landing page for a company product, optimizing metrics and customer behavior tracking, which led to a 10% increase in conversion and CPA reduction.  
- Implemented a growth-hacking strategy that attracted 15% new clients with various subscription plans.  
- Carried out customer development activities through direct communication and survey creation.  

**Enticon.app, December 2018 - February 2019**  

**Project Manager**  
- Configured the workflow for the first Kanban development team.  
- Decomposed technical assignments into manageable tasks.  
- Established and managed the onboarding process for new team members.  
- Provided reporting to C-Level management.  

**EBS Integrator, September 2018 - December 2019**  

**Project Manager**  
- Created a comprehensive project plan for a Fixed Price project, addressing scope, time, cost, quality, HR, communication, and RAID management.  
- Monitored key project metrics.  
- Facilitated communication through weekly client reports and leading demo sessions.  

**GoSocial, February 2018 - September 2018**  

**Project Manager**  
- Successfully delivered two web projects within budget and on schedule.  
- Managed both in-house and outsourced development teams.  
- Collaborated with internal departments (Design, SMM) to meet post-launch goals.  

**Opportunities for Professional Growth and Development**  
- Part of a collaborative and supportive work culture that values teamwork, open communication, and mutual support.  
- Provided with competitive compensation and benefits.  
- Supported in maintaining work-life balance.  
"
3136,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dynamic IT professional with over 14 years of experience, transitioning from web development to project management. Proven ability to build and lead successful teams in challenging environments. Strong expertise in people management and Scrum methodologies, with a track record of delivering impactful projects.

**Professional Experience**  

**Project Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Lead and manage diverse teams of 2 to 24 developers, ensuring the successful delivery of web, data-driven, and mobile applications.  
- Cultivate a collaborative team environment emphasizing effective communication and team dynamics.  
- Implement Scrum methodologies to enhance productivity and project outcomes.  
- Oversee project timelines, budgets, and resource allocation for mid-sized project teams of approximately 18 members.  

**Web Developer**  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Developed and maintained web applications, contributing to projects aimed at enhancing user experience and functionality.  
- Collaborated with cross-functional teams to gather requirements, ensuring the delivery of high-quality software solutions.  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Skills**  
- Project Management  
- Team Leadership  
- Scrum Methodology  
- Web Development  
- Data-Driven Applications  
- Mobile Application Development  

**Professional Goals**  
Driven to work on projects that have a positive global impact."
3137,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Agile Project Manager with extensive experience in implementing Agile methodologies across multiple teams. Expertise in project delivery, crisis management, and process development in fintech, health, e-commerce, social networks, and education sectors. Skilled at fostering collaborative environments and enhancing processes for improved quality and efficiency.

**Professional Experience**  

**Agile Project Manager**  
[Your Current Company]  
[City, State]  
[Month, Year] – Present  
- Built and implemented Agile practices across 14 teams, establishing Scrum from scratch in 5 teams.  
- Managed over 100 successful production releases.  
- Led a team through crisis management to consistent monthly releases.  
- Developed processes from ideation through to release.  
- Managed scope, release, people, risk, quality, and stakeholders, ensuring successful delivery.  
- Worked on process standards and culture development within teams.  
- Conducted PM interviews and assessed tech specialists.  
- Coordinated design and development teams.  
- Experienced in Scrum, Kanban, Nexus; familiar with SAFe.

**Previous Roles**  
- Product Owner and Scrum Master, [Previous Company Name]  
  - Built and maintained Scrum practices across teams.  
  - Enhanced team collaboration and project outcomes.

**Skills**  
- Agile Methodologies: Scrum, Kanban, Nexus, SAFe  
- Project Management  
- Crisis Management  
- Process Development  
- Stakeholder Management  
- Team Coordination  
- Interviewing and Talent Assessment  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Certifications**  
- [Relevant Certification]  
- [Relevant Certification]  

**Work Preferences**  
Seeking a product company with a flexible work environment to contribute to process creation and decision-making for enhanced development quality, speed, and transparency."
3138,"Karine

[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Results-driven project manager with 3 years of experience enhancing project outcomes by reducing inefficiencies and aligning team efforts with client objectives. Skilled at collaborating with software development teams and advising senior management on the adoption of Scrum and Agile methodologies.

**Experience**  

**Project Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Directed project management strategies, prioritizing efficiency and client satisfaction.  
- Worked in partnership with software development teams to ensure project goals were met.  
- Guided upper management in applying Scrum and Agile principles organization-wide.  
- Optimized the Jira environment, including components and swimlanes, to improve team productivity.  
- Assisted developers in effectively utilizing the management platform.

**Skills**  
- Project Management  
- Agile Methodologies  
- Scrum Implementation  
- Jira Administration  
- Team Collaboration  
- Coaching and Mentoring  

**Availability**  
Available for contact Monday to Friday, GMT+4 time zone.  

Thank you for considering my application.  

Best regards,  
Karine. "
